"BOOTH.NO"	"PRABHU.NARAYAN.GIRI"	"MAHESHWAR.SINGH"	"YAHYA.KHAN"	"RAM.SARAN.PD..YADAV"	"SACHINDRA.PD..SINGH"	"SUMITRA.KUMARI.YADAV"	"DHRUV.SAHNI"	"JAI.PRAKASH.SAH"	"JYAUL.RASUL"	"BRAJESH.CHOUBEY"	"RAJESH.KUMAR.SINGH"	"TOTAL"
"53"	46	12	56	2	80	124	9	12	11	5	7	90	408
"54"	47	18	73	2	10	74	6	10	9	4	12	401	619
"55"	48	11	33	3	59	191	2	7	2	4	21	114	447
"56"	49	3	61	3	15	128	8	41	8	6	9	117	399
"57"	NA	1	25	20	27	50	2	15	3	5	13	133	294
"58"	50	16	43	6	94	169	16	16	14	2	16	151	543
"59"	51	5	116	26	83	167	12	2	4	4	3	34	456
"60"	52	4	33	6	124	196	7	5	9	2	10	9	405
"61"	53	4	36	1	240	80	27	10	3	5	4	16	426
"62"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"63"	1	2	3	4	5	6	7	8	9	10	11	12	13
"64"	54	15	56	7	316	76	10	14	8	3	5	9	519
"65"	55	21	61	12	359	36	14	3	11	4	7	9	537
"66"	56	39	49	4	238	146	17	7	10	3	3	19	535
"67"	57	12	9	9	342	280	21	26	25	7	12	32	775
"68"	58	12	62	3	400	135	14	6	7	2	6	10	657
"69"	59	8	26	8	390	204	11	5	11	4	1	29	697
"70"	60	2	17	6	299	188	16	6	6	6	2	26	574
"71"	61	6	30	9	196	81	11	9	6	4	5	8	365
"72"	NA	6	18	14	211	106	12	1	6	4	1	18	397
"73"	62	15	3	6	270	145	5	5	7	1	8	13	478
"74"	63	19	66	16	215	160	15	17	9	8	5	31	561
"75"	64	5	37	8	295	328	16	7	9	1	16	15	737
"76"	65	7	234	5	81	91	6	6	7	4	6	6	453
"77"	66	9	32	6	238	131	14	7	4	2	1	3	447
"78"	67	26	29	3	142	287	28	2	6	4	5	10	542
"79"	68	20	110	11	108	189	6	137	13	4	14	157	769
"80"	69	13	22	0	77	299	20	159	6	7	10	41	654
"81"	70	7	57	4	198	103	20	188	12	2	6	28	625
"82"	71	8	25	1	8	35	1	8	2	5	16	652	761
"83"	72	16	11	1	42	85	3	12	3	2	27	543	745
"84"	73	5	3	7	37	85	4	5	4	1	11	681	843
"85"	74	11	7	3	137	114	4	7	3	0	3	203	492
"86"	75	3	39	4	88	120	7	6	8	1	4	160	440
"87"	76	5	5	0	32	15	2	0	3	4	44	707	817
"88"	77	17	44	5	42	222	13	16	10	8	11	81	469
"89"	78	6	116	2	44	179	16	12	4	2	2	16	399
"90"	79	14	43	3	82	303	14	6	5	5	15	64	554
"91"	80	10	82	6	41	195	11	22	13	4	31	110	525
"92"	81	21	21	7	215	40	8	30	10	5	22	341	720
"93"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"94"	1	2	3	4	5	6	7	8	9	10	11	12	13
"95"	82	10	6	5	126	220	12	9	5	7	3	84	487
"96"	83	10	20	8	134	316	24	4	7	5	4	56	588
"97"	84	12	31	6	313	120	14	8	12	8	8	43	575
"98"	85	10	7	2	79	251	16	3	1	3	2	13	387
"99"	86	8	70	4	120	143	10	7	8	8	4	20	402
"100"	87	3	19	5	265	155	23	5	9	4	6	30	524
"101"	88	15	19	16	424	26	7	6	13	0	4	20	550
"102"	89	12	57	3	118	422	26	14	9	13	13	42	729
"103"	90	7	54	2	133	223	12	22	8	11	9	14	495
"104"	91	8	41	4	79	317	16	10	4	6	9	7	501
"105"	92	16	37	5	138	245	25	47	4	4	3	69	593
"106"	93	6	92	5	76	236	20	14	10	9	3	15	486
"107"	94	4	51	3	30	279	19	2	7	1	10	8	414
"108"	95	9	62	4	227	178	40	3	5	9	9	18	564
"109"	96	6	51	2	101	145	73	10	4	10	3	12	417
"110"	97	4	98	23	77	119	159	7	6	7	5	23	528
"111"	98	17	60	25	286	154	63	6	9	13	14	13	660
"112"	99	4	31	13	157	24	22	3	5	1	3	2	265
"113"	100	16	70	4	421	19	27	3	7	4	1	9	581
"114"	101	12	95	4	49	164	10	7	12	7	3	7	370
"115"	102	7	132	15	159	66	7	1	7	21	6	12	433
"116"	103	12	84	2	115	209	16	4	9	6	11	4	472
"117"	104	12	73	39	242	116	15	7	13	12	9	20	558
"118"	105	19	157	34	340	121	17	7	6	6	9	24	740
"119"	106	1	42	5	356	248	29	9	5	6	9	16	726
"120"	107	7	127	11	64	221	9	4	10	3	7	10	473
"121"	108	25	117	9	165	350	17	11	19	5	5	20	743
"122"	109	12	216	10	73	110	11	10	10	9	15	26	502
"123"	110	11	86	5	35	180	16	1	4	4	8	31	381
"124"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"125"	1	2	3	4	5	6	7	8	9	10	11	12	13
"126"	111	10	54	4	128	279	15	11	5	4	4	12	526
"127"	112	13	48	6	56	370	13	38	8	8	5	40	605
"128"	113	4	55	16	77	352	23	12	7	6	20	10	582
"129"	114	18	25	7	429	77	39	9	10	8	5	15	642
"130"	115	11	45	5	173	176	8	6	8	8	4	30	474
"131"	116	16	57	10	128	214	24	7	4	2	2	9	473
"132"	117	8	110	19	160	80	10	2	6	2	2	6	405
"133"	118	8	107	11	80	84	5	2	11	7	8	14	337
"134"	119	3	49	2	16	144	9	4	6	4	3	13	253
"135"	120	13	37	13	55	68	9	4	9	5	1	3	217
"136"	121	22	82	5	151	235	17	3	6	2	6	10	539
"137"	122	14	165	8	62	176	47	6	9	16	8	13	524
"138"	123	10	65	3	67	86	38	6	7	4	7	13	306
"139"	124	14	22	1	398	73	25	4	7	2	2	4	552
"140"	125	4	8	3	49	369	25	6	2	3	2	6	477
"141"	126	16	88	9	265	284	11	5	3	6	5	12	704
"142"	127	17	43	4	259	89	10	2	11	3	6	10	454
"143"	128	12	37	4	170	151	10	4	6	7	3	4	408
"144"	129	2	19	9	241	19	125	9	5	5	2	10	446
"145"	130	6	81	53	138	216	22	8	7	4	6	8	549
"146"	131	11	31	16	151	358	36	14	9	16	18	33	693
"147"	132	11	46	95	70	166	79	4	4	8	6	36	525
"148"	133	1	26	2	177	202	11	4	4	2	5	9	443
"149"	134	14	10	10	253	332	26	7	5	3	8	4	672
"150"	135	11	73	20	104	315	37	7	7	8	12	6	600
"151"	136	2	27	3	121	242	18	3	7	5	6	7	441
"152"	137	1	33	34	51	241	11	2	5	2	36	14	430
"153"	138	5	31	2	39	266	20	13	3	3	8	14	404
"154"	139	2	24	2	58	256	16	5	11	9	13	13	409
"155"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"156"	1	2	3	4	5	6	7	8	9	10	11	12	13
"157"	140	7	11	3	74	199	15	5	2	0	5	6	327
"158"	141	10	75	17	88	230	26	1	6	6	32	19	510
"159"	142	14	22	3	146	236	12	5	6	4	0	3	451
"160"	143	15	64	1	102	163	10	13	4	3	6	14	395
"161"	144	3	50	3	164	162	9	4	5	7	8	6	421
"162"	145	8	9	22	144	151	16	6	6	3	6	46	417
"163"	146	4	32	6	118	251	6	6	6	1	5	45	480
"164"	147	9	67	2	40	173	6	9	7	3	14	26	356
"165"	148	7	15	1	102	137	6	2	2	4	4	43	323
"166"	149	13	168	8	43	418	29	13	8	14	16	28	758
"167"	150	8	21	4	68	331	16	11	12	16	28	32	547
"168"	151	10	75	6	131	210	10	8	10	15	76	21	572
"169"	152	12	91	7	110	249	10	4	5	8	5	32	533
"170"	153	15	57	6	104	232	5	3	5	4	32	14	477
"171"	154	20	106	8	133	190	8	7	5	5	12	8	502
"172"	155	20	23	8	76	379	39	10	12	10	24	33	634
"173"	156	7	24	0	27	259	12	1	0	0	1	3	334
"174"	157	20	61	6	36	265	18	14	3	7	7	17	454
"175"	158	29	76	6	210	341	13	14	14	6	13	21	743
"176"	159	5	100	2	30	170	13	13	3	3	11	15	365
"177"	160	10	29	2	62	279	8	7	8	1	3	5	414
"178"	161	9	13	14	63	221	9	4	5	5	3	15	361
"179"	162	5	23	9	75	268	14	13	12	8	3	13	443
"180"	163	30	16	5	79	198	12	6	7	5	14	6	378
"181"	164	17	32	4	229	120	6	27	2	13	9	19	478
"182"	165	14	43	6	221	232	33	13	14	9	11	23	619
"183"	166	6	32	6	70	228	7	6	5	13	3	9	385
"184"	167	15	165	4	36	339	21	17	9	7	10	54	677
"185"	168	19	148	7	46	277	18	10	8	6	10	24	573
"186"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"187"	1	2	3	4	5	6	7	8	9	10	11	12	13
"188"	169	9	71	0	12	336	15	1	2	6	14	18	484
"189"	170	40	56	5	59	483	24	14	9	12	22	51	775
"190"	171	11	201	5	60	63	7	5	5	8	10	14	389
"191"	172	24	169	4	36	209	17	7	3	4	14	12	499
"192"	173	29	161	12	98	155	10	3	9	6	16	15	514
"193"	174	8	121	3	149	64	9	7	12	9	7	62	451
"194"	175	7	149	7	54	351	21	5	6	3	1	8	612
"195"	176	27	162	11	138	149	12	2	11	4	4	25	545
"196"	177	13	92	3	83	190	6	5	5	8	11	17	433
"197"	178	14	16	49	241	173	14	5	4	16	5	10	547
"198"	179	12	13	27	111	187	14	5	4	232	8	12	625
"199"	180	12	140	117	33	191	16	11	17	71	12	38	658
"200"	NA	2166	12010	3531	22966	34648	3212	2188	1296	1332	1805	9325	94479
"201"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"202"	NA	0	0	0	0	1	0	0	0	0	0	0	1
"203"	NA	2166	12010	3531	22966	34649	3212	2188	1296	1332	1805	9325	94480
"204"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"205"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"206"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
