"Candidates.Name......."	"No.of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"34"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"29"	"40"	"106"	"6"	"69"	"307"	"7"	"8"	"14"	"7"	"11"	"575"	"0"	"575"	"0"
"36"	"30"	"46"	"72"	"12"	"75"	"376"	"12"	"18"	"20"	"19"	"62"	"712"	"0"	"712"	"0"
"37"	"31"	"18"	"137"	"7"	"124"	"290"	"11"	"20"	"32"	"12"	"37"	"688"	"0"	"688"	"0"
"38"	"32"	"25"	"88"	"5"	"33"	"406"	"12"	"12"	"24"	"6"	"20"	"631"	"0"	"631"	"0"
"39"	"33"	"35"	"10"	"0"	"50"	"71"	"10"	"8"	"5"	"1"	"5"	"195"	"0"	"195"	"0"
"40"	"34"	"54"	"17"	"4"	"76"	"137"	"9"	"6"	"8"	"5"	"16"	"332"	"0"	"332"	"0"
"41"	"35"	"14"	"7"	"2"	"23"	"347"	"1"	"1"	"11"	"2"	"1"	"409"	"0"	"409"	"0"
"42"	"36"	"14"	"121"	"7"	"32"	"246"	"18"	"8"	"22"	"7"	"35"	"510"	"0"	"510"	"0"
"43"	"37"	"46"	"67"	"3"	"136"	"185"	"3"	"17"	"12"	"3"	"18"	"490"	"0"	"490"	"0"
"44"	"38"	"21"	"6"	"5"	"90"	"196"	"8"	"11"	"21"	"3"	"10"	"371"	"0"	"371"	"0"
"45"	"39"	"17"	"25"	"3"	"100"	"104"	"3"	"13"	"59"	"3"	"7"	"334"	"0"	"334"	"0"
"46"	"40"	"15"	"266"	"21"	"56"	"74"	"5"	"6"	"18"	"4"	"4"	"469"	"0"	"469"	"0"
"47"	"41"	"28"	"60"	"8"	"101"	"198"	"6"	"4"	"12"	"6"	"20"	"443"	"0"	"443"	"0"
"48"	"42"	"75"	"52"	"9"	"102"	"117"	"16"	"17"	"22"	"9"	"29"	"448"	"0"	"448"	"0"
"49"	"43"	"48"	"95"	"12"	"106"	"257"	"14"	"19"	"30"	"10"	"21"	"612"	"0"	"612"	"0"
"50"	"44"	"22"	"5"	"6"	"184"	"138"	"13"	"104"	"10"	"6"	"16"	"504"	"0"	"504"	"0"
"51"	"45"	"12"	"57"	"6"	"119"	"162"	"16"	"92"	"11"	"13"	"29"	"517"	"0"	"517"	"0"
"52"	"46"	"26"	"34"	"7"	"127"	"344"	"7"	"9"	"16"	"9"	"15"	"594"	"0"	"594"	"0"
"53"	"47"	"71"	"57"	"4"	"126"	"408"	"12"	"18"	"41"	"12"	"24"	"773"	"0"	"773"	"0"
"54"	"48"	"21"	"66"	"7"	"74"	"274"	"17"	"19"	"13"	"9"	"18"	"518"	"0"	"518"	"0"
"55"	"49"	"7"	"78"	"7"	"28"	"329"	"12"	"16"	"20"	"7"	"16"	"520"	"0"	"520"	"0"
"56"	"50"	"34"	"35"	"6"	"64"	"314"	"17"	"15"	"25"	"10"	"17"	"537"	"0"	"537"	"0"
"57"	"51"	"25"	"27"	"12"	"90"	"335"	"10"	"12"	"14"	"3"	"10"	"538"	"0"	"538"	"0"
"58"	"52"	"1"	"13"	"2"	"82"	"487"	"11"	"10"	"16"	"7"	"16"	"645"	"0"	"645"	"0"
"59"	"53"	"48"	"23"	"5"	"82"	"199"	"5"	"7"	"16"	"6"	"20"	"411"	"0"	"411"	"0"
"60"	"54"	"16"	"187"	"8"	"172"	"250"	"12"	"12"	"7"	"3"	"8"	"675"	"0"	"675"	"0"
"61"	"55"	"13"	"13"	"2"	"35"	"283"	"8"	"6"	"11"	"5"	"11"	"387"	"0"	"387"	"0"
"62"	"55A"	"9"	"17"	"5"	"44"	"279"	"4"	"6"	"13"	"3"	"5"	"385"	"0"	"385"	"0"
"63"	"56"	"17"	"59"	"4"	"119"	"298"	"8"	"5"	"13"	"6"	"21"	"550"	"0"	"550"	"0"
"64"	"Candidates Name ----->"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	""	"Upendra Sahni"	"Tahir Anish Khan"	"Mohmmad Jamaludeen"	"Sanjay Kumar Gupta"	"Sunita Singh"	"Khusnandan Ray"	"Ram Swarth Ray"	"Akhilesh Kumar Singh"	"Mohammad Hafij Raien"	"Sanjay Singh"	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered votes"
"66"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"57"	"14"	"47"	"8"	"25"	"329"	"6"	"6"	"17"	"5"	"18"	"475"	"0"	"475"	"0"
"68"	"58"	"30"	"22"	"7"	"66"	"157"	"1"	"7"	"14"	"7"	"20"	"331"	"0"	"331"	"0"
"69"	"59"	"27"	"23"	"7"	"116"	"179"	"9"	"9"	"16"	"5"	"10"	"401"	"0"	"401"	"0"
"70"	"60"	"220"	"57"	"13"	"34"	"61"	"4"	"12"	"7"	"2"	"12"	"422"	"0"	"422"	"0"
"71"	"61"	"47"	"12"	"1"	"71"	"64"	"3"	"4"	"29"	"0"	"8"	"239"	"0"	"239"	"0"
"72"	"62"	"56"	"125"	"5"	"143"	"101"	"5"	"29"	"28"	"7"	"19"	"518"	"0"	"518"	"0"
"73"	"63"	"33"	"15"	"3"	"205"	"225"	"5"	"5"	"29"	"1"	"7"	"528"	"0"	"528"	"0"
"74"	"64"	"57"	"12"	"4"	"47"	"295"	"10"	"8"	"14"	"3"	"12"	"462"	"0"	"462"	"0"
"75"	"65"	"9"	"37"	"3"	"79"	"291"	"10"	"11"	"22"	"4"	"20"	"486"	"0"	"486"	"0"
"76"	"66"	"8"	"172"	"13"	"98"	"279"	"9"	"15"	"32"	"14"	"35"	"675"	"0"	"675"	"0"
"77"	"67"	"17"	"11"	"3"	"141"	"199"	"4"	"9"	"9"	"4"	"12"	"409"	"0"	"409"	"0"
"78"	"68"	"16"	"60"	"2"	"34"	"116"	"14"	"8"	"11"	"1"	"5"	"267"	"0"	"267"	"0"
"79"	"69"	"13"	"143"	"14"	"56"	"292"	"10"	"9"	"30"	"6"	"9"	"582"	"0"	"582"	"0"
"80"	"70"	"10"	"80"	"7"	"51"	"238"	"7"	"15"	"22"	"10"	"3"	"443"	"0"	"443"	"0"
"81"	"71"	"3"	"86"	"2"	"140"	"253"	"3"	"21"	"17"	"11"	"20"	"556"	"0"	"556"	"0"
"82"	"72"	"7"	"100"	"5"	"91"	"204"	"1"	"4"	"20"	"6"	"11"	"449"	"0"	"449"	"0"
"83"	"73"	"18"	"94"	"4"	"62"	"380"	"4"	"9"	"14"	"4"	"6"	"595"	"0"	"595"	"0"
"84"	"74"	"40"	"262"	"9"	"24"	"170"	"2"	"2"	"2"	"4"	"2"	"517"	"0"	"517"	"0"
"85"	"75"	"43"	"126"	"9"	"49"	"491"	"8"	"10"	"15"	"5"	"5"	"761"	"0"	"761"	"0"
"86"	"76"	"2"	"105"	"6"	"49"	"420"	"7"	"11"	"24"	"4"	"7"	"635"	"0"	"635"	"0"
"87"	"77"	"10"	"123"	"8"	"51"	"195"	"6"	"3"	"12"	"3"	"17"	"428"	"0"	"428"	"0"
"88"	"78"	"8"	"16"	"2"	"159"	"224"	"13"	"9"	"19"	"2"	"19"	"471"	"0"	"471"	"0"
"89"	"79"	"16"	"63"	"4"	"67"	"309"	"8"	"4"	"15"	"8"	"6"	"500"	"0"	"500"	"0"
"90"	"80"	"9"	"19"	"2"	"127"	"415"	"9"	"11"	"15"	"6"	"21"	"634"	"0"	"634"	"0"
"91"	"81"	"67"	"323"	"17"	"22"	"93"	"3"	"2"	"2"	"8"	"14"	"551"	"0"	"551"	"0"
"92"	"82"	"4"	"24"	"1"	"45"	"309"	"5"	"10"	"12"	"3"	"11"	"424"	"0"	"424"	"0"
"93"	"83"	"2"	"19"	"1"	"33"	"293"	"3"	"0"	"9"	"3"	"3"	"366"	"0"	"366"	"0"
"94"	"84"	"15"	"42"	"7"	"211"	"283"	"17"	"22"	"19"	"13"	"43"	"672"	"0"	"672"	"0"
"95"	"85"	"21"	"37"	"3"	"18"	"310"	"8"	"4"	"18"	"6"	"8"	"433"	"0"	"433"	"0"
"96"	"Candidates Name ----->"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	""	"Upendra Sahni"	"Tahir Anish Khan"	"Mohmmad Jamaludeen"	"Sanjay Kumar Gupta"	"Sunita Singh"	"Khusnandan Ray"	"Ram Swarth Ray"	"Akhilesh Kumar Singh"	"Mohammad Hafij Raien"	"Sanjay Singh"	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered votes"
"98"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"86"	"16"	"25"	"2"	"11"	"272"	"7"	"15"	"14"	"5"	"12"	"379"	"0"	"379"	"0"
"100"	"87"	"27"	"43"	"6"	"160"	"305"	"5"	"7"	"16"	"6"	"14"	"589"	"0"	"589"	"0"
"101"	"88"	"15"	"55"	"5"	"125"	"218"	"8"	"11"	"13"	"5"	"22"	"477"	"0"	"477"	"0"
"102"	"89"	"13"	"341"	"18"	"183"	"40"	"10"	"15"	"10"	"14"	"30"	"674"	"0"	"674"	"0"
"103"	"90"	"6"	"44"	"6"	"110"	"161"	"4"	"16"	"10"	"6"	"12"	"375"	"0"	"375"	"0"
"104"	"90A"	"6"	"53"	"6"	"107"	"219"	"7"	"11"	"15"	"6"	"12"	"442"	"0"	"442"	"0"
"105"	"91"	"6"	"85"	"6"	"50"	"146"	"1"	"4"	"5"	"3"	"7"	"313"	"0"	"313"	"0"
"106"	"92"	"6"	"102"	"3"	"66"	"58"	"3"	"16"	"61"	"7"	"7"	"329"	"0"	"329"	"0"
"107"	"93"	"8"	"19"	"6"	"69"	"149"	"4"	"11"	"84"	"4"	"7"	"361"	"0"	"361"	"0"
"108"	"94"	"5"	"135"	"7"	"4"	"168"	"3"	"4"	"16"	"5"	"17"	"364"	"0"	"364"	"0"
"109"	"95"	"39"	"231"	"9"	"152"	"141"	"2"	"8"	"16"	"8"	"8"	"614"	"0"	"614"	"0"
"110"	"96"	"18"	"48"	"4"	"23"	"74"	"2"	"2"	"5"	"3"	"5"	"184"	"0"	"184"	"0"
"111"	"97"	"14"	"74"	"7"	"26"	"192"	"6"	"6"	"8"	"1"	"5"	"339"	"0"	"339"	"0"
"112"	"98"	"5"	"197"	"6"	"21"	"68"	"3"	"2"	"9"	"5"	"5"	"321"	"0"	"321"	"0"
"113"	"98A"	"8"	"171"	"7"	"105"	"69"	"2"	"6"	"12"	"8"	"20"	"408"	"0"	"408"	"0"
"114"	"99"	"6"	"23"	"3"	"81"	"259"	"3"	"3"	"8"	"1"	"5"	"392"	"0"	"392"	"0"
"115"	"100"	"11"	"7"	"1"	"3"	"29"	"7"	"0"	"9"	"1"	"4"	"72"	"0"	"72"	"0"
"116"	"101"	"111"	"18"	"6"	"73"	"282"	"5"	"3"	"124"	"4"	"6"	"632"	"0"	"632"	"0"
"117"	"102"	"37"	"5"	"4"	"4"	"209"	"4"	"7"	"115"	"6"	"5"	"396"	"0"	"396"	"0"
"118"	"103"	"93"	"8"	"1"	"7"	"46"	"2"	"4"	"71"	"3"	"6"	"241"	"0"	"241"	"0"
"119"	"104"	"23"	"271"	"9"	"27"	"37"	"4"	"3"	"29"	"12"	"26"	"441"	"0"	"441"	"0"
"120"	"105"	"169"	"9"	"10"	"297"	"145"	"8"	"5"	"10"	"4"	"23"	"680"	"0"	"680"	"0"
"121"	"106"	"33"	"7"	"3"	"146"	"86"	"7"	"10"	"10"	"6"	"22"	"330"	"0"	"330"	"0"
"122"	"107"	"15"	"18"	"3"	"119"	"109"	"10"	"36"	"12"	"3"	"9"	"334"	"0"	"334"	"0"
"123"	"108"	"29"	"75"	"10"	"199"	"88"	"5"	"6"	"13"	"7"	"22"	"454"	"0"	"454"	"0"
"124"	"109"	"43"	"67"	"5"	"36"	"101"	"5"	"36"	"11"	"7"	"17"	"328"	"0"	"328"	"0"
"125"	"110"	"30"	"69"	"9"	"70"	"110"	"7"	"22"	"16"	"11"	"26"	"370"	"0"	"370"	"0"
"126"	"111"	"11"	"98"	"21"	"119"	"80"	"9"	"12"	"17"	"3"	"21"	"391"	"0"	"391"	"0"
"127"	"112"	"32"	"7"	"3"	"171"	"269"	"12"	"5"	"15"	"7"	"9"	"530"	"0"	"530"	"0"
"128"	"Candidates Name ----->"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	""	"Upendra Sahni"	"Tahir Anish Khan"	"Mohmmad Jamaludeen"	"Sanjay Kumar Gupta"	"Sunita Singh"	"Khusnandan Ray"	"Ram Swarth Ray"	"Akhilesh Kumar Singh"	"Mohammad Hafij Raien"	"Sanjay Singh"	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered votes"
"130"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"113"	"39"	"24"	"2"	"181"	"156"	"6"	"1"	"7"	"7"	"12"	"435"	"0"	"435"	"0"
"132"	"114"	"26"	"136"	"10"	"82"	"235"	"14"	"7"	"13"	"14"	"34"	"571"	"0"	"571"	"0"
"133"	"115"	"31"	"230"	"20"	"91"	"240"	"10"	"7"	"15"	"11"	"11"	"666"	"0"	"666"	"0"
"134"	"116"	"33"	"21"	"4"	"42"	"209"	"1"	"22"	"7"	"8"	"14"	"361"	"0"	"361"	"0"
"135"	"117"	"15"	"19"	"1"	"26"	"199"	"14"	"30"	"10"	"3"	"10"	"327"	"0"	"327"	"0"
"136"	"118"	"9"	"30"	"41"	"80"	"316"	"5"	"2"	"21"	"2"	"12"	"518"	"0"	"518"	"0"
"137"	"119"	"8"	"120"	"53"	"113"	"269"	"6"	"12"	"31"	"37"	"22"	"671"	"0"	"671"	"0"
"138"	"120"	"35"	"14"	"4"	"63"	"409"	"5"	"6"	"71"	"9"	"23"	"639"	"0"	"639"	"0"
"139"	"121"	"147"	"50"	"3"	"40"	"240"	"5"	"10"	"57"	"4"	"9"	"565"	"0"	"565"	"0"
"140"	"122"	"22"	"81"	"8"	"93"	"448"	"5"	"10"	"47"	"5"	"14"	"733"	"0"	"733"	"0"
"141"	"123"	"56"	"211"	"13"	"130"	"41"	"7"	"5"	"30"	"1"	"10"	"504"	"0"	"504"	"0"
"142"	"124"	"68"	"119"	"16"	"121"	"141"	"10"	"38"	"28"	"11"	"38"	"590"	"0"	"590"	"0"
"143"	"125"	"29"	"85"	"12"	"32"	"431"	"7"	"24"	"68"	"22"	"17"	"727"	"0"	"727"	"0"
"144"	"126"	"23"	"176"	"9"	"68"	"163"	"8"	"51"	"66"	"6"	"13"	"583"	"0"	"583"	"0"
"145"	"127"	"52"	"83"	"9"	"67"	"176"	"10"	"7"	"50"	"3"	"9"	"466"	"0"	"466"	"0"
"146"	"128"	"15"	"27"	"3"	"46"	"490"	"4"	"10"	"100"	"2"	"4"	"701"	"0"	"701"	"0"
"147"	"129"	"30"	"6"	"8"	"164"	"129"	"23"	"114"	"32"	"13"	"18"	"537"	"0"	"537"	"0"
"148"	"130"	"39"	"234"	"18"	"49"	"105"	"5"	"9"	"26"	"113"	"10"	"608"	"0"	"608"	"0"
"149"	"131"	"6"	"200"	"25"	"18"	"11"	"7"	"3"	"13"	"158"	"27"	"468"	"0"	"468"	"0"
"150"	"132"	"15"	"136"	"10"	"38"	"77"	"3"	"37"	"16"	"8"	"12"	"352"	"0"	"352"	"0"
"151"	"133"	"30"	"123"	"9"	"126"	"191"	"6"	"7"	"45"	"12"	"17"	"566"	"0"	"566"	"0"
"152"	"134"	"32"	"62"	"8"	"77"	"147"	"9"	"8"	"88"	"11"	"17"	"459"	"0"	"459"	"0"
"153"	"135"	"16"	"99"	"6"	"10"	"59"	"2"	"4"	"33"	"5"	"2"	"236"	"0"	"236"	"0"
"154"	"136"	"25"	"36"	"2"	"182"	"10"	"4"	"37"	"43"	"5"	"14"	"358"	"0"	"358"	"0"
"155"	"137"	"47"	"25"	"2"	"155"	"24"	"6"	"18"	"49"	"5"	"18"	"349"	"0"	"349"	"0"
"156"	"138"	"13"	"103"	"9"	"28"	"107"	"2"	"9"	"42"	"3"	"7"	"323"	"0"	"323"	"0"
"157"	"139"	"22"	"121"	"13"	"64"	"108"	"10"	"38"	"55"	"17"	"17"	"465"	"0"	"465"	"0"
"158"	"140"	"33"	"282"	"33"	"76"	"21"	"4"	"5"	"9"	"13"	"13"	"489"	"0"	"489"	"0"
"159"	"141"	"61"	"48"	"1"	"61"	"271"	"7"	"2"	"60"	"2"	"11"	"524"	"0"	"524"	"0"
"160"	"Candidates Name ----->"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	""	"Upendra Sahni"	"Tahir Anish Khan"	"Mohmmad Jamaludeen"	"Sanjay Kumar Gupta"	"Sunita Singh"	"Khusnandan Ray"	"Ram Swarth Ray"	"Akhilesh Kumar Singh"	"Mohammad Hafij Raien"	"Sanjay Singh"	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered votes"
"162"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"163"	"142"	"2"	"16"	"2"	"18"	"249"	"3"	"28"	"31"	"2"	"3"	"354"	"0"	"354"	"0"
"164"	"143"	"11"	"191"	"13"	"60"	"33"	"2"	"8"	"5"	"4"	"6"	"333"	"0"	"333"	"0"
"165"	"144"	"33"	"186"	"16"	"25"	"47"	"5"	"6"	"4"	"11"	"11"	"344"	"0"	"344"	"0"
"166"	"145"	"5"	"14"	"1"	"111"	"90"	"10"	"89"	"25"	"8"	"23"	"376"	"0"	"376"	"0"
"167"	"146"	"29"	"102"	"4"	"40"	"204"	"1"	"18"	"37"	"2"	"3"	"440"	"0"	"440"	"0"
"168"	"147"	"35"	"32"	"3"	"76"	"180"	"2"	"4"	"15"	"6"	"18"	"371"	"0"	"371"	"0"
"169"	"148"	"108"	"24"	"6"	"124"	"304"	"10"	"47"	"21"	"8"	"4"	"656"	"0"	"656"	"0"
"170"	"149"	"60"	"22"	"3"	"126"	"192"	"2"	"6"	"8"	"2"	"7"	"428"	"0"	"428"	"0"
"171"	"150"	"50"	"11"	"8"	"125"	"299"	"5"	"47"	"14"	"6"	"16"	"581"	"0"	"581"	"0"
"172"	"151"	"105"	"19"	"9"	"107"	"220"	"10"	"62"	"12"	"0"	"8"	"552"	"0"	"552"	"0"
"173"	"152"	"75"	"6"	"2"	"35"	"41"	"7"	"379"	"18"	"6"	"14"	"583"	"0"	"583"	"0"
"174"	"153"	"127"	"14"	"3"	"174"	"229"	"3"	"108"	"25"	"3"	"16"	"702"	"0"	"702"	"0"
"175"	"154"	"228"	"16"	"6"	"76"	"60"	"4"	"193"	"12"	"4"	"9"	"608"	"0"	"608"	"0"
"176"	"155"	"124"	"18"	"0"	"65"	"104"	"4"	"106"	"7"	"2"	"10"	"440"	"0"	"440"	"0"
"177"	"156"	"95"	"152"	"6"	"140"	"99"	"7"	"170"	"13"	"6"	"15"	"703"	"0"	"703"	"0"
"178"	"157"	"44"	"101"	"37"	"94"	"25"	"8"	"58"	"8"	"5"	"14"	"394"	"0"	"394"	"0"
"179"	"158"	"10"	"3"	"6"	"255"	"24"	"14"	"59"	"26"	"8"	"16"	"421"	"0"	"421"	"0"
"180"	"159"	"51"	"15"	"3"	"85"	"253"	"3"	"50"	"9"	"4"	"8"	"481"	"0"	"481"	"0"
"181"	"160"	"4"	"7"	"0"	"76"	"189"	"7"	"16"	"23"	"5"	"17"	"344"	"0"	"344"	"0"
"182"	"161"	"14"	"12"	"0"	"10"	"335"	"7"	"10"	"82"	"8"	"23"	"501"	"0"	"501"	"0"
"183"	"162"	"102"	"52"	"2"	"82"	"303"	"3"	"6"	"67"	"5"	"25"	"647"	"0"	"647"	"0"
"184"	"163"	"15"	"56"	"10"	"288"	"28"	"6"	"42"	"9"	"1"	"11"	"466"	"0"	"466"	"0"
"185"	"164"	"102"	"27"	"5"	"132"	"160"	"8"	"10"	"45"	"1"	"9"	"499"	"0"	"499"	"0"
"186"	"165"	"28"	"69"	"6"	"61"	"82"	"8"	"61"	"37"	"7"	"12"	"371"	"0"	"371"	"0"
"187"	"166"	"14"	"45"	"4"	"60"	"103"	"5"	"4"	"24"	"1"	"17"	"277"	"0"	"277"	"0"
"188"	"167"	"21"	"33"	"2"	"217"	"242"	"15"	"40"	"50"	"12"	"17"	"649"	"0"	"649"	"0"
"189"	"168"	"39"	"18"	"6"	"91"	"312"	"13"	"11"	"32"	"8"	"26"	"556"	"0"	"556"	"0"
"190"	"169"	"238"	"13"	"4"	"53"	"46"	"5"	"13"	"303"	"9"	"13"	"697"	"0"	"697"	"0"
"191"	"170"	"12"	"5"	"8"	"19"	"190"	"6"	"3"	"232"	"4"	"4"	"483"	"0"	"483"	"0"
"192"	"Candidates Name ----->"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	""	"Upendra Sahni"	"Tahir Anish Khan"	"Mohmmad Jamaludeen"	"Sanjay Kumar Gupta"	"Sunita Singh"	"Khusnandan Ray"	"Ram Swarth Ray"	"Akhilesh Kumar Singh"	"Mohammad Hafij Raien"	"Sanjay Singh"	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered votes"
"194"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"171"	"4"	"16"	"6"	"45"	"216"	"9"	"17"	"366"	"10"	"17"	"706"	"0"	"706"	"0"
"196"	"172"	"35"	"7"	"1"	"3"	"66"	"1"	"2"	"437"	"8"	"3"	"563"	"0"	"563"	"0"
"197"	"173"	"18"	"3"	"2"	"4"	"45"	"2"	"10"	"380"	"2"	"4"	"470"	"0"	"470"	"0"
"198"	"174"	"79"	"5"	"4"	"19"	"127"	"6"	"6"	"158"	"7"	"11"	"422"	"0"	"422"	"0"
"199"	"175"	"11"	"71"	"5"	"139"	"173"	"5"	"7"	"51"	"3"	"7"	"472"	"0"	"472"	"0"
"200"	"176"	"111"	"61"	"6"	"60"	"176"	"2"	"5"	"43"	"5"	"12"	"481"	"0"	"481"	"0"
"201"	"177"	"71"	"33"	"6"	"66"	"96"	"5"	"13"	"7"	"5"	"21"	"323"	"0"	"323"	"0"
"202"	"178"	"53"	"65"	"3"	"87"	"232"	"6"	"7"	"38"	"11"	"22"	"524"	"0"	"524"	"0"
"203"	"179"	"35"	"21"	"4"	"17"	"210"	"6"	"19"	"26"	"6"	"16"	"360"	"0"	"360"	"0"
"204"	"180"	"5"	"6"	"8"	"36"	"225"	"5"	"19"	"30"	"2"	"6"	"342"	"0"	"342"	"0"
"205"	"181"	"71"	"9"	"6"	"183"	"187"	"4"	"113"	"20"	"5"	"14"	"612"	"0"	"612"	"0"
