"Total.No..of.Electors.in.Assembly.Constituency........200204"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"06- Nautan Legislative Assembly Constituency (Round - 1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"AMAR YADAV"	"UMESH KUMAR VERMA"	"GALLU CHOUDHA RY"	"NARAYAN PRASAD"	"MANORMA PRASAD"	"RAMESHW AR PRASAD"	"RAGHUNA THPRASA D"	"RAMCHHA TRIYA SINGH PATEL"	"SHRI KANTI DEVI"	"KAMRAN SHEIKH"	"KISHORI LAL PRASAD"	"PALAT MIYA"	"MOHAMM AD EKRAM"	"VANDHU NATH DUBEY"	"RATAN KUMAR SARKAR"	"SHAMBHU PRASAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d Votes"	"Total"	"No.   of Tender ed Votes"	""
"30"	"Polling Station No."	"AMAR YADAV"	"UMESH KUMAR VERMA"	"GALLU CHOUDHA RY"	"NARAYAN PRASAD"	"MANORMA PRASAD"	"RAMESHW AR PRASAD"	"RAGHUNA THPRASA D"	"RAMCHHA TRIYA SINGH PATEL"	"SHRI KANTI DEVI"	"KAMRAN SHEIKH"	"KISHORI LAL PRASAD"	"PALAT MIYA"	"MOHAMM AD EKRAM"	"VANDHU NATH DUBEY"	"RATAN KUMAR SARKAR"	"SHAMBHU PRASAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"31"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""
"32"	"15"	"5"	"0"	"8"	"71"	"251"	"19"	"1"	"1"	"1"	"3"	"4"	"2"	"8"	"2"	"2"	"1"	"379"	"0"	"379"	"0"	""
"33"	"16"	"30"	"5"	"29"	"64"	"306"	"13"	"5"	"1"	"1"	"9"	"10"	"7"	"16"	"9"	"3"	"16"	"524"	"0"	"524"	"0"	""
"34"	"17"	"16"	"9"	"278"	"104"	"279"	"13"	"6"	"3"	"2"	"23"	"12"	"5"	"36"	"14"	"5"	"40"	"845"	"0"	"845"	"0"	""
"35"	"18"	"11"	"1"	"24"	"27"	"215"	"14"	"4"	"3"	"6"	"32"	"6"	"5"	"5"	"3"	"10"	"41"	"407"	"0"	"407"	"0"	""
"36"	"19"	"23"	"1"	"24"	"36"	"188"	"17"	"9"	"0"	"5"	"28"	"7"	"3"	"4"	"30"	"4"	"52"	"431"	"0"	"431"	"0"	""
"37"	"20"	"11"	"2"	"65"	"162"	"272"	"42"	"5"	"3"	"9"	"20"	"14"	"16"	"45"	"11"	"6"	"15"	"698"	"0"	"698"	"0"	""
"38"	"21"	"33"	"3"	"147"	"130"	"119"	"9"	"2"	"2"	"0"	"2"	"7"	"3"	"3"	"11"	"2"	"1"	"474"	"0"	"474"	"0"	""
"39"	"22"	"5"	"2"	"23"	"162"	"229"	"6"	"3"	"0"	"3"	"3"	"9"	"3"	"5"	"5"	"5"	"7"	"470"	"0"	"470"	"0"	""
"40"	"23"	"37"	"5"	"256"	"62"	"274"	"54"	"3"	"2"	"2"	"3"	"11"	"2"	"5"	"11"	"3"	"5"	"735"	"0"	"735"	"0"	""
"41"	"24"	"243"	"8"	"109"	"84"	"236"	"12"	"3"	"4"	"10"	"9"	"9"	"10"	"3"	"9"	"18"	"41"	"808"	"0"	"808"	"0"	""
"42"	"25"	"86"	"1"	"103"	"29"	"137"	"10"	"0"	"3"	"0"	"1"	"5"	"4"	"5"	"5"	"5"	"12"	"406"	"0"	"406"	"0"	""
"43"	"26"	"216"	"7"	"22"	"91"	"53"	"13"	"1"	"2"	"5"	"3"	"2"	"1"	"1"	"3"	"4"	"10"	"434"	"0"	"434"	"0"	""
"44"	"27"	"63"	"0"	"191"	"20"	"199"	"37"	"4"	"2"	"1"	"7"	"8"	"3"	"19"	"23"	"3"	"4"	"584"	"0"	"584"	"0"	""
"45"	"28"	"64"	"6"	"219"	"47"	"102"	"77"	"9"	"3"	"3"	"15"	"9"	"0"	"38"	"5"	"5"	"15"	"617"	"0"	"617"	"0"	""
"46"	"Total"	"843"	"50"	"1498"	"1089"	"2860"	"336"	"55"	"29"	"48"	"158"	"113"	"64"	"193"	"141"	"75"	"260"	"7812"	"0"	"7812"	"0"	""
"47"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"06- Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"Total No. of Electors in Assembly Constituency -      200204"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"06- Nautan Legislative Assembly Constituency (Round - 3)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"Polling Station No."	"AMAR YADAV"	"UMESH KUMAR VERMA"	"GALLU CHOUDHA RY"	"NARAYAN PRASAD"	"MANORMA PRASAD"	"RAMESHW AR PRASAD"	"RAGHUNA THPRASA D"	"RAMCHHA TRIYA SINGH PATEL"	"SHRI KANTI DEVI"	"KAMRAN SHEIKH"	"KISHORI LAL PRASAD"	"PALAT MIYA"	"MOHAMM AD EKRAM"	"VANDHU NATH DUBEY"	"RATAN KUMAR SARKAR"	"SHAMBHU PRASAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"56"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""
"57"	"29"	"4"	"4"	"201"	"25"	"134"	"3"	"0"	"1"	"2"	"5"	"7"	"0"	"28"	"8"	"1"	"11"	"434"	"0"	"434"	"0"	""
"58"	"30"	"32"	"2"	"36"	"7"	"587"	"57"	"2"	"2"	"1"	"3"	"20"	"2"	"1"	"2"	"1"	"17"	"772"	"0"	"772"	"0"	""
"59"	"31"	"32"	"4"	"35"	"73"	"282"	"35"	"3"	"2"	"5"	"71"	"11"	"8"	"101"	"9"	"12"	"17"	"700"	"0"	"700"	"0"	""
"60"	"32"	"44"	"0"	"27"	"24"	"331"	"26"	"4"	"3"	"4"	"22"	"28"	"2"	"12"	"17"	"8"	"19"	"571"	"0"	"571"	"0"	""
"61"	"33"	"6"	"7"	"443"	"33"	"132"	"29"	"4"	"5"	"4"	"4"	"4"	"2"	"20"	"39"	"1"	"15"	"748"	"0"	"748"	"0"	""
"62"	"34"	"43"	"13"	"399"	"43"	"55"	"80"	"3"	"2"	"1"	"8"	"5"	"13"	"27"	"13"	"5"	"10"	"720"	"0"	"720"	"0"	""
"63"	"35"	"29"	"5"	"65"	"28"	"304"	"40"	"3"	"1"	"2"	"11"	"11"	"0"	"4"	"0"	"2"	"5"	"510"	"0"	"510"	"0"	""
"64"	"36"	"5"	"1"	"88"	"10"	"314"	"51"	"1"	"2"	"0"	"0"	"6"	"2"	"0"	"0"	"0"	"7"	"487"	"0"	"487"	"0"	""
"65"	"37"	"8"	"11"	"25"	"15"	"381"	"25"	"3"	"1"	"1"	"8"	"10"	"9"	"2"	"10"	"2"	"5"	"516"	"0"	"516"	"0"	""
"66"	"38"	"6"	"4"	"29"	"15"	"312"	"11"	"2"	"1"	"1"	"5"	"11"	"1"	"1"	"4"	"1"	"8"	"412"	"0"	"412"	"0"	""
"67"	"39"	"3"	"2"	"93"	"6"	"264"	"7"	"2"	"2"	"0"	"3"	"7"	"5"	"0"	"3"	"2"	"8"	"407"	"0"	"407"	"0"	""
"68"	"40"	"7"	"4"	"463"	"21"	"72"	"60"	"3"	"5"	"6"	"4"	"2"	"2"	"1"	"10"	"3"	"2"	"665"	"0"	"665"	"0"	""
"69"	"41"	"35"	"8"	"537"	"18"	"192"	"38"	"2"	"2"	"3"	"5"	"10"	"1"	"8"	"8"	"4"	"6"	"877"	"0"	"877"	"0"	""
"70"	"42"	"5"	"1"	"76"	"11"	"69"	"141"	"2"	"1"	"1"	"10"	"2"	"3"	"48"	"3"	"3"	"4"	"380"	"0"	"380"	"0"	""
"71"	"Total"	"259"	"66"	"2517"	"329"	"3429"	"603"	"34"	"30"	"31"	"159"	"134"	"50"	"253"	"126"	"45"	"134"	"8199"	"0"	"8199"	"0"	""
"72"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"06- Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"Total No. of Electors in Assembly Constituency -      200204"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"06- Nautan Legislative Assembly Constituency (Round - 4)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"Polling Station No."	"AMAR YADAV"	"UMESH KUMAR VERMA"	"GALLU CHOUDHA RY"	"NARAYAN PRASAD"	"MANORMA PRASAD"	"RAMESHW AR PRASAD"	"RAGHUNA THPRASA D"	"RAMCHHA TRIYA SINGH PATEL"	"SHRI KANTI DEVI"	"KAMRAN SHEIKH"	"KISHORI LAL PRASAD"	"PALAT MIYA"	"MOHAMM AD EKRAM"	"VANDHU NATH DUBEY"	"RATAN KUMAR SARKAR"	"SHAMBHU PRASAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"81"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""
"82"	"43"	"4"	"7"	"150"	"31"	"130"	"37"	"5"	"7"	"4"	"3"	"14"	"9"	"47"	"10"	"7"	"13"	"478"	"0"	"478"	"0"	""
"83"	"44"	"56"	"6"	"124"	"83"	"174"	"21"	"4"	"1"	"4"	"15"	"5"	"1"	"10"	"11"	"8"	"9"	"532"	"0"	"532"	"0"	""
"84"	"45"	"15"	"14"	"285"	"96"	"65"	"13"	"5"	"1"	"5"	"11"	"6"	"6"	"18"	"19"	"17"	"10"	"586"	"0"	"586"	"0"	""
"85"	"46"	"11"	"6"	"247"	"29"	"210"	"20"	"5"	"9"	"5"	"10"	"15"	"12"	"39"	"17"	"4"	"25"	"664"	"0"	"664"	"0"	""
"86"	"47"	"50"	"14"	"284"	"43"	"193"	"46"	"8"	"4"	"9"	"9"	"14"	"5"	"4"	"12"	"10"	"23"	"728"	"0"	"728"	"0"	""
"87"	"48"	"20"	"10"	"326"	"37"	"112"	"7"	"1"	"2"	"4"	"3"	"3"	"0"	"1"	"12"	"6"	"13"	"557"	"0"	"557"	"0"	""
"88"	"49"	"12"	"4"	"471"	"2"	"10"	"7"	"3"	"3"	"1"	"1"	"1"	"1"	"2"	"9"	"4"	"1"	"532"	"0"	"532"	"0"	""
"89"	"50"	"5"	"1"	"84"	"86"	"33"	"127"	"9"	"1"	"4"	"50"	"6"	"3"	"31"	"7"	"3"	"17"	"467"	"0"	"467"	"0"	""
"90"	"51"	"5"	"1"	"276"	"61"	"182"	"38"	"0"	"2"	"2"	"96"	"15"	"2"	"31"	"22"	"5"	"27"	"765"	"0"	"765"	"0"	""
"91"	"52"	"37"	"4"	"21"	"52"	"129"	"24"	"2"	"4"	"7"	"5"	"6"	"2"	"2"	"2"	"4"	"128"	"429"	"0"	"429"	"0"	""
"92"	"53"	"236"	"5"	"48"	"19"	"158"	"11"	"2"	"4"	"3"	"15"	"13"	"2"	"4"	"9"	"7"	"26"	"562"	"0"	"562"	"0"	""
"93"	"54"	"164"	"3"	"49"	"37"	"250"	"61"	"12"	"0"	"5"	"7"	"4"	"3"	"3"	"5"	"8"	"14"	"625"	"0"	"625"	"0"	""
"94"	"55"	"19"	"1"	"15"	"5"	"156"	"33"	"0"	"1"	"2"	"2"	"3"	"0"	"5"	"0"	"8"	"4"	"254"	"0"	"254"	"0"	""
"95"	"56"	"12"	"6"	"395"	"56"	"129"	"30"	"1"	"3"	"5"	"16"	"9"	"4"	"69"	"18"	"2"	"11"	"766"	"0"	"766"	"0"	""
"96"	"Total"	"646"	"82"	"2775"	"637"	"1931"	"475"	"57"	"42"	"60"	"243"	"114"	"50"	"266"	"153"	"93"	"321"	"7945"	"0"	"7945"	"0"	""
"97"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"06- Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"Total No. of Electors in Assembly Constituency -      200204"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"06- Nautan Legislative Assembly Constituency (Round - 5)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"Polling Station No."	"AMAR YADAV"	"UMESH KUMAR VERMA"	"GALLU CHOUDHA RY"	"NARAYAN PRASAD"	"MANORMA PRASAD"	"RAMESHW AR PRASAD"	"RAGHUNA THPRASA D"	"RAMCHHA TRIYA SINGH PATEL"	"SHRI KANTI DEVI"	"KAMRAN SHEIKH"	"KISHORI LAL PRASAD"	"PALAT MIYA"	"MOHAMM AD EKRAM"	"VANDHU NATH DUBEY"	"RATAN KUMAR SARKAR"	"SHAMBHU PRASAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"106"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""
"107"	"57"	"8"	"2"	"489"	"98"	"80"	"40"	"1"	"2"	"1"	"15"	"3"	"3"	"36"	"16"	"7"	"6"	"807"	"0"	"807"	"0"	""
"108"	"58"	"59"	"2"	"92"	"267"	"88"	"66"	"7"	"6"	"11"	"53"	"15"	"28"	"45"	"9"	"20"	"33"	"801"	"0"	"801"	"0"	""
"109"	"59"	"38"	"2"	"41"	"54"	"181"	"40"	"3"	"3"	"3"	"2"	"6"	"4"	"10"	"0"	"4"	"5"	"396"	"0"	"396"	"0"	""
"110"	"60"	"34"	"2"	"37"	"172"	"37"	"42"	"3"	"0"	"3"	"11"	"2"	"8"	"13"	"15"	"15"	"14"	"408"	"0"	"408"	"0"	""
"111"	"61"	"21"	"1"	"31"	"88"	"446"	"10"	"6"	"3"	"3"	"7"	"4"	"2"	"5"	"0"	"3"	"6"	"636"	"0"	"636"	"0"	""
"112"	"62"	"33"	"5"	"222"	"109"	"154"	"29"	"3"	"8"	"6"	"7"	"8"	"18"	"33"	"17"	"8"	"20"	"680"	"0"	"680"	"0"	""
"113"	"63"	"78"	"4"	"21"	"203"	"311"	"15"	"10"	"2"	"7"	"17"	"12"	"10"	"30"	"11"	"16"	"24"	"771"	"0"	"771"	"0"	""
"114"	"64"	"153"	"1"	"27"	"52"	"128"	"16"	"3"	"2"	"1"	"2"	"5"	"5"	"5"	"7"	"3"	"5"	"415"	"0"	"415"	"0"	""
"115"	"65"	"115"	"3"	"47"	"116"	"27"	"20"	"4"	"1"	"5"	"5"	"4"	"6"	"40"	"6"	"11"	"12"	"422"	"0"	"422"	"0"	""
"116"	"66"	"16"	"4"	"13"	"179"	"127"	"3"	"2"	"2"	"7"	"11"	"6"	"6"	"29"	"7"	"8"	"7"	"427"	"0"	"427"	"0"	""
"117"	"66 A"	"47"	"2"	"6"	"64"	"74"	"13"	"1"	"3"	"6"	"14"	"4"	"5"	"170"	"7"	"7"	"6"	"429"	"0"	"429"	"0"	""
"118"	"67"	"18"	"3"	"19"	"138"	"164"	"114"	"1"	"1"	"1"	"22"	"9"	"9"	"13"	"5"	"9"	"16"	"542"	"0"	"542"	"0"	""
"119"	"68"	"18"	"3"	"8"	"236"	"271"	"49"	"3"	"2"	"6"	"12"	"6"	"9"	"24"	"5"	"5"	"6"	"663"	"0"	"663"	"0"	""
"120"	"69"	"9"	"1"	"2"	"84"	"334"	"11"	"2"	"1"	"2"	"1"	"9"	"6"	"12"	"0"	"8"	"5"	"487"	"0"	"487"	"0"	""
"121"	"Total"	"647"	"35"	"1055"	"1860"	"2422"	"468"	"49"	"36"	"62"	"179"	"93"	"119"	"465"	"105"	"124"	"165"	"7884"	"0"	"7884"	"0"	""
"122"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"06- Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"Total No. of Electors in Assembly Constituency -      200204"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"06- Nautan Legislative Assembly Constituency (Round - 6)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"Polling Station No."	"AMAR YADAV"	"UMESH KUMAR VERMA"	"GALLU CHOUDHA RY"	"NARAYAN PRASAD"	"MANORMA PRASAD"	"RAMESHW AR PRASAD"	"RAGHUNA THPRASA D"	"RAMCHHA TRIYA SINGH PATEL"	"SHRI KANTI DEVI"	"KAMRAN SHEIKH"	"KISHORI LAL PRASAD"	"PALAT MIYA"	"MOHAMM AD EKRAM"	"VANDHU NATH DUBEY"	"RATAN KUMAR SARKAR"	"SHAMBHU PRASAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"131"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""
"132"	"70"	"30"	"8"	"10"	"108"	"266"	"56"	"3"	"1"	"6"	"34"	"10"	"4"	"137"	"5"	"3"	"12"	"693"	"0"	"693"	"0"	""
"133"	"71"	"30"	"4"	"5"	"48"	"405"	"40"	"2"	"4"	"6"	"13"	"16"	"2"	"12"	"1"	"4"	"23"	"615"	"0"	"615"	"0"	""
"134"	"72"	"9"	"1"	"62"	"109"	"198"	"11"	"3"	"3"	"7"	"8"	"12"	"5"	"8"	"4"	"4"	"2"	"446"	"0"	"446"	"0"	""
"135"	"73"	"11"	"3"	"22"	"89"	"109"	"20"	"4"	"1"	"4"	"26"	"3"	"4"	"31"	"9"	"5"	"13"	"354"	"0"	"354"	"0"	""
"136"	"74"	"12"	"3"	"23"	"23"	"254"	"18"	"6"	"3"	"3"	"7"	"8"	"9"	"2"	"2"	"4"	"6"	"383"	"0"	"383"	"0"	""
"137"	"75"	"13"	"0"	"4"	"18"	"67"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"3"	"0"	"1"	"2"	"113"	"0"	"113"	"0"	""
"138"	"76"	"12"	"0"	"0"	"3"	"40"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"61"	"0"	"61"	"0"	""
"139"	"77"	"2"	"1"	"14"	"20"	"39"	"3"	"1"	"0"	"3"	"2"	"3"	"0"	"1"	"3"	"1"	"0"	"93"	"0"	"93"	"0"	""
"140"	"78"	"2"	"0"	"2"	"5"	"31"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"3"	"0"	"45"	"0"	"45"	"0"	""
"141"	"79"	"39"	"1"	"9"	"5"	"101"	"20"	"1"	"1"	"0"	"2"	"8"	"4"	"2"	"1"	"6"	"5"	"205"	"0"	"205"	"0"	""
"142"	"80"	"153"	"7"	"14"	"21"	"105"	"7"	"7"	"5"	"7"	"7"	"9"	"2"	"3"	"6"	"9"	"8"	"370"	"0"	"370"	"0"	""
"143"	"81"	"33"	"0"	"52"	"44"	"32"	"21"	"0"	"3"	"2"	"1"	"3"	"1"	"1"	"4"	"2"	"4"	"203"	"0"	"203"	"0"	""
"144"	"82"	"1"	"3"	"7"	"7"	"16"	"22"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"2"	"61"	"0"	"61"	"0"	""
"145"	"83"	"1"	"2"	"15"	"35"	"14"	"5"	"1"	"1"	"1"	"5"	"1"	"0"	"2"	"0"	"2"	"0"	"85"	"0"	"85"	"0"	""
