"Candidates.Name.BOOTH.NO"	"No..of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"61"	"53"	"235"	"4"	"118"	"9"	"3"	"1"	"0"	"19"	"0"	"0"	"19"	"3"	"2"	"7"	"15"	"435"
"62"	"54"	"176"	"5"	"157"	"10"	"7"	"1"	"3"	"4"	"2"	"3"	"8"	"9"	"6"	"10"	"24"	"425"
"63"	"55"	"230"	"10"	"388"	"22"	"4"	"3"	"2"	"5"	"3"	"1"	"42"	"9"	"11"	"17"	"32"	"779"
"64"	"56"	"395"	"18"	"84"	"19"	"6"	"1"	"3"	"1"	"2"	"5"	"27"	"7"	"4"	"8"	"23"	"603"
"65"	"57"	"11"	"1"	"71"	"38"	"4"	"2"	"0"	"21"	"16"	"1"	"0"	"1"	"4"	"3"	"14"	"187"
"66"	"58"	"12"	"4"	"198"	"82"	"7"	"3"	"1"	"6"	"17"	"1"	"4"	"3"	"3"	"4"	"32"	"377"
"67"	"59"	"50"	"5"	"352"	"15"	"6"	"6"	"3"	"43"	"4"	"2"	"3"	"1"	"2"	"8"	"12"	"512"
"68"	"60"	"127"	"3"	"160"	"44"	"4"	"0"	"1"	"5"	"1"	"0"	"35"	"2"	"6"	"10"	"13"	"411"
"69"	"61"	"28"	"8"	"84"	"24"	"8"	"7"	"4"	"25"	"3"	"6"	"215"	"5"	"3"	"4"	"16"	"440"
"70"	"62"	"140"	"9"	"284"	"7"	"5"	"2"	"2"	"12"	"2"	"2"	"0"	"13"	"4"	"5"	"22"	"509"
"71"	"63"	"73"	"8"	"424"	"5"	"10"	"3"	"4"	"15"	"4"	"3"	"2"	"6"	"22"	"19"	"73"	"671"
"72"	"64"	"57"	"29"	"413"	"14"	"8"	"3"	"2"	"75"	"6"	"3"	"4"	"5"	"15"	"17"	"34"	"685"
"73"	"65"	"149"	"11"	"227"	"32"	"2"	"2"	"3"	"18"	"2"	"3"	"9"	"1"	"8"	"10"	"30"	"507"
"74"	"66"	"29"	"9"	"349"	"9"	"6"	"6"	"3"	"25"	"6"	"4"	"1"	"9"	"11"	"12"	"47"	"526"
"75"	"67"	"315"	"7"	"73"	"21"	"5"	"1"	"2"	"1"	"1"	"1"	"0"	"4"	"6"	"4"	"21"	"462"
"76"	"68"	"62"	"13"	"206"	"12"	"4"	"6"	"1"	"4"	"1"	"1"	"9"	"0"	"3"	"7"	"78"	"407"
"77"	"69"	"20"	"5"	"388"	"47"	"4"	"14"	"0"	"3"	"2"	"1"	"1"	"7"	"9"	"10"	"46"	"557"
"78"	"70"	"78"	"1"	"202"	"4"	"2"	"1"	"1"	"4"	"1"	"1"	"6"	"5"	"7"	"11"	"61"	"385"
"79"	"71"	"183"	"11"	"79"	"34"	"9"	"2"	"0"	"8"	"5"	"3"	"0"	"2"	"2"	"2"	"19"	"359"
"80"	"72"	"41"	"22"	"285"	"3"	"3"	"2"	"5"	"3"	"5"	"2"	"1"	"1"	"7"	"9"	"35"	"424"
"81"	"73"	"138"	"6"	"15"	"7"	"0"	"0"	"0"	"2"	"1"	"1"	"0"	"0"	"2"	"3"	"274"	"449"
"82"	"74"	"169"	"6"	"298"	"39"	"20"	"23"	"2"	"9"	"3"	"6"	"18"	"4"	"33"	"13"	"36"	"679"
"83"	"75"	"101"	"1"	"51"	"26"	"0"	"0"	"0"	"18"	"0"	"0"	"4"	"0"	"1"	"0"	"4"	"206"
"84"	"Candidates Name
BOOTH NO"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	""	"DR. ABDUL GAFOOR"	"BEER BIKRAM KUMAR SINGH"	"RAJ KUMAR SAH"	"BIRENDRA KUMAR JHA"	"TIRO SHARMA"	"REKHA DEVI"	"LALAN KUMAR SADA"	"GUNJESHWAR SAH"	"JAWAHAR JHA"	"TUNTUN PASWAN"	"NANHA KHAN"	"PARMESHWER MAHTO"	"MAHARUDRA JHA"	"RAGHUNATH PRASAD YADAV"	"SURENDRA YADAV"	"Total Valid Votes"
"86"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"16"
"87"	"76"	"110"	"2"	"12"	"26"	"3"	"2"	"0"	"2"	"1"	"1"	"3"	"0"	"1"	"1"	"9"	"173"
"88"	"77"	"12"	"4"	"52"	"24"	"2"	"3"	"2"	"2"	"3"	"1"	"0"	"1"	"1"	"4"	"47"	"158"
"89"	"78"	"104"	"8"	"164"	"9"	"7"	"1"	"2"	"5"	"1"	"3"	"3"	"8"	"12"	"7"	"95"	"429"
"90"	"79"	"18"	"2"	"142"	"41"	"4"	"9"	"1"	"10"	"17"	"4"	"0"	"4"	"15"	"9"	"87"	"363"
"91"	"80"	"90"	"4"	"302"	"16"	"9"	"3"	"3"	"6"	"3"	"1"	"3"	"7"	"11"	"14"	"63"	"535"
"92"	"81"	"26"	"5"	"376"	"30"	"5"	"3"	"5"	"6"	"11"	"1"	"3"	"6"	"13"	"9"	"33"	"532"
"93"	"82"	"35"	"7"	"391"	"36"	"7"	"3"	"6"	"19"	"5"	"3"	"4"	"2"	"3"	"7"	"15"	"543"
"94"	"83"	"36"	"3"	"302"	"104"	"9"	"1"	"4"	"11"	"23"	"3"	"5"	"7"	"12"	"14"	"57"	"591"
"95"	"84"	"65"	"2"	"189"	"78"	"9"	"1"	"1"	"11"	"32"	"2"	"1"	"5"	"5"	"11"	"35"	"447"
"96"	"85"	"49"	"3"	"85"	"6"	"2"	"2"	"4"	"5"	"1"	"3"	"1"	"1"	"3"	"9"	"130"	"304"
"97"	"86"	"29"	"1"	"52"	"23"	"2"	"0"	"0"	"1"	"4"	"0"	"0"	"1"	"1"	"4"	"78"	"196"
"98"	"87"	"42"	"7"	"189"	"45"	"15"	"2"	"4"	"3"	"19"	"2"	"1"	"4"	"8"	"18"	"42"	"401"
"99"	"88"	"93"	"2"	"61"	"6"	"0"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"3"	"12"	"255"	"445"
"100"	"89"	"127"	"3"	"59"	"8"	"2"	"1"	"1"	"0"	"2"	"0"	"2"	"1"	"4"	"9"	"176"	"395"
"101"	"90"	"28"	"0"	"115"	"54"	"4"	"2"	"5"	"42"	"5"	"3"	"3"	"2"	"8"	"13"	"59"	"343"
"102"	"91"	"233"	"9"	"198"	"13"	"8"	"3"	"1"	"10"	"3"	"2"	"3"	"3"	"8"	"8"	"123"	"625"
"103"	"92"	"102"	"4"	"387"	"51"	"11"	"10"	"3"	"11"	"24"	"9"	"3"	"10"	"39"	"21"	"14"	"699"
"104"	"93"	"209"	"14"	"260"	"55"	"7"	"3"	"5"	"5"	"2"	"0"	"1"	"3"	"4"	"7"	"71"	"646"
"105"	"94"	"88"	"6"	"265"	"7"	"8"	"7"	"6"	"12"	"3"	"1"	"1"	"3"	"5"	"2"	"15"	"429"
"106"	"95"	"133"	"1"	"223"	"4"	"8"	"3"	"1"	"4"	"6"	"4"	"3"	"1"	"9"	"9"	"2"	"411"
"107"	"96"	"85"	"3"	"219"	"23"	"7"	"1"	"3"	"3"	"1"	"3"	"3"	"1"	"3"	"6"	"6"	"367"
"108"	"97"	"96"	"7"	"265"	"92"	"4"	"6"	"5"	"4"	"0"	"2"	"1"	"4"	"6"	"8"	"10"	"510"
"109"	"98"	"197"	"7"	"360"	"33"	"4"	"13"	"4"	"6"	"5"	"1"	"2"	"2"	"4"	"6"	"4"	"648"
"110"	"99"	"527"	"5"	"115"	"8"	"6"	"3"	"1"	"1"	"2"	"1"	"1"	"2"	"3"	"8"	"65"	"748"
"111"	"100"	"214"	"5"	"107"	"19"	"4"	"0"	"1"	"10"	"4"	"4"	"5"	"3"	"6"	"12"	"128"	"522"
"112"	"Candidates Name
BOOTH NO"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	""	"DR. ABDUL GAFOOR"	"BEER BIKRAM KUMAR SINGH"	"RAJ KUMAR SAH"	"BIRENDRA KUMAR JHA"	"TIRO SHARMA"	"REKHA DEVI"	"LALAN KUMAR SADA"	"GUNJESHWAR SAH"	"JAWAHAR JHA"	"TUNTUN PASWAN"	"NANHA KHAN"	"PARMESHWER MAHTO"	"MAHARUDRA JHA"	"RAGHUNATH PRASAD YADAV"	"SURENDRA YADAV"	"Total Valid Votes"
"114"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"16"
"115"	"101"	"371"	"16"	"19"	"6"	"1"	"2"	"1"	"3"	"1"	"5"	"9"	"5"	"6"	"9"	"147"	"601"
"116"	"102"	"308"	"12"	"178"	"16"	"6"	"2"	"3"	"3"	"2"	"1"	"2"	"3"	"4"	"9"	"61"	"610"
"117"	"103"	"448"	"6"	"191"	"9"	"8"	"1"	"2"	"5"	"2"	"0"	"1"	"4"	"2"	"4"	"37"	"720"
"118"	"104"	"214"	"5"	"127"	"1"	"4"	"5"	"25"	"17"	"2"	"1"	"1"	"3"	"2"	"5"	"33"	"445"
"119"	"105"	"407"	"12"	"50"	"2"	"1"	"3"	"2"	"7"	"1"	"3"	"3"	"2"	"2"	"5"	"226"	"726"
"120"	"106"	"143"	"2"	"328"	"17"	"16"	"0"	"2"	"2"	"3"	"1"	"3"	"4"	"7"	"6"	"11"	"545"
"121"	"106 A"	"241"	"5"	"226"	"6"	"15"	"0"	"4"	"3"	"1"	"1"	"0"	"1"	"3"	"4"	"23"	"533"
"122"	"107"	"445"	"14"	"108"	"7"	"6"	"2"	"2"	"1"	"2"	"2"	"3"	"2"	"7"	"14"	"144"	"759"
"123"	"108"	"385"	"19"	"78"	"7"	"1"	"1"	"2"	"2"	"2"	"2"	"0"	"1"	"0"	"4"	"28"	"532"
"124"	"109"	"348"	"8"	"131"	"2"	"6"	"2"	"2"	"3"	"0"	"2"	"5"	"5"	"9"	"16"	"27"	"566"
"125"	"110"	"450"	"22"	"146"	"5"	"3"	"0"	"3"	"2"	"4"	"5"	"4"	"7"	"9"	"16"	"50"	"726"
"126"	"111"	"282"	"13"	"39"	"3"	"22"	"7"	"3"	"12"	"3"	"7"	"13"	"13"	"10"	"22"	"326"	"775"
"127"	"112"	"315"	"7"	"47"	"8"	"3"	"1"	"1"	"14"	"4"	"1"	"3"	"2"	"3"	"13"	"212"	"634"
"128"	"113"	"225"	"6"	"33"	"4"	"32"	"2"	"1"	"3"	"1"	"2"	"6"	"3"	"1"	"2"	"151"	"472"
"129"	"114"	"466"	"7"	"79"	"4"	"4"	"3"	"3"	"7"	"3"	"0"	"0"	"1"	"1"	"8"	"52"	"638"
"130"	"115"	"215"	"0"	"122"	"5"	"7"	"3"	"2"	"6"	"1"	"2"	"2"	"1"	"4"	"12"	"53"	"435"
"131"	"116"	"582"	"14"	"199"	"7"	"17"	"0"	"2"	"1"	"0"	"1"	"0"	"1"	"0"	"2"	"30"	"856"
"132"	"117"	"291"	"2"	"35"	"3"	"1"	"2"	"0"	"3"	"1"	"2"	"1"	"2"	"1"	"2"	"67"	"413"
"133"	"118"	"304"	"13"	"150"	"1"	"7"	"1"	"2"	"5"	"1"	"2"	"3"	"2"	"14"	"11"	"66"	"582"
"134"	"119"	"226"	"5"	"243"	"5"	"5"	"1"	"2"	"3"	"1"	"0"	"6"	"3"	"8"	"5"	"51"	"564"
"135"	"120"	"10"	"3"	"109"	"146"	"6"	"3"	"0"	"11"	"21"	"1"	"0"	"7"	"9"	"4"	"4"	"334"
"136"	"121"	"60"	"14"	"300"	"217"	"9"	"2"	"0"	"8"	"4"	"1"	"1"	"12"	"11"	"9"	"12"	"660"
"137"	"122"	"67"	"8"	"181"	"166"	"10"	"3"	"1"	"6"	"1"	"1"	"2"	"10"	"18"	"12"	"17"	"503"
"138"	"123"	"11"	"3"	"182"	"100"	"4"	"8"	"4"	"19"	"5"	"3"	"1"	"7"	"12"	"5"	"12"	"376"
"139"	"124"	"46"	"13"	"288"	"69"	"29"	"5"	"6"	"4"	"8"	"5"	"2"	"25"	"6"	"6"	"21"	"533"
"140"	"Candidates Name
BOOTH NO"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	""	"DR. ABDUL GAFOOR"	"BEER BIKRAM KUMAR SINGH"	"RAJ KUMAR SAH"	"BIRENDRA KUMAR JHA"	"TIRO SHARMA"	"REKHA DEVI"	"LALAN KUMAR SADA"	"GUNJESHWAR SAH"	"JAWAHAR JHA"	"TUNTUN PASWAN"	"NANHA KHAN"	"PARMESHWER MAHTO"	"MAHARUDRA JHA"	"RAGHUNATH PRASAD YADAV"	"SURENDRA YADAV"	"Total Valid Votes"
"142"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"16"
"143"	"125"	"28"	"2"	"239"	"136"	"9"	"22"	"5"	"28"	"6"	"5"	"5"	"7"	"17"	"16"	"11"	"536"
"144"	"126"	"21"	"4"	"196"	"18"	"2"	"12"	"2"	"12"	"4"	"3"	"2"	"3"	"6"	"2"	"11"	"298"
"145"	"127"	"15"	"3"	"340"	"162"	"6"	"12"	"2"	"23"	"6"	"5"	"3"	"5"	"4"	"4"	"15"	"605"
"146"	"128"	"9"	"4"	"138"	"3"	"4"	"1"	"0"	"3"	"1"	"2"	"2"	"1"	"7"	"9"	"6"	"190"
"147"	"129"	"73"	"4"	"115"	"9"	"1"	"1"	"0"	"20"	"2"	"4"	"0"	"6"	"6"	"6"	"9"	"256"
"148"	"130"	"87"	"5"	"251"	"3"	"5"	"1"	"0"	"0"	"1"	"0"	"3"	"32"	"2"	"13"	"10"	"413"
"149"	"131"	"100"	"9"	"351"	"13"	"14"	"7"	"8"	"20"	"2"	"2"	"1"	"31"	"7"	"12"	"18"	"595"
"150"	"132"	"58"	"2"	"210"	"37"	"0"	"6"	"1"	"2"	"0"	"1"	"5"	"7"	"10"	"8"	"9"	"356"
"151"	"133"	"17"	"1"	"324"	"18"	"6"	"12"	"1"	"10"	"9"	"2"	"0"	"29"	"13"	"7"	"11"	"460"
"152"	"134"	"34"	"6"	"333"	"10"	"16"	"3"	"1"	"2"	"3"	"1"	"3"	"10"	"22"	"29"	"20"	"493"
"153"	"134 A"	"54"	"2"	"316"	"28"	"6"	"2"	"1"	"3"	"24"	"2"	"1"	"24"	"5"	"5"	"8"	"481"
"154"	"135"	"55"	"6"	"283"	"10"	"4"	"0"	"2"	"12"	"11"	"3"	"2"	"39"	"12"	"12"	"7"	"458"
"155"	"136"	"65"	"7"	"400"	"6"	"5"	"5"	"2"	"2"	"2"	"1"	"3"	"29"	"13"	"12"	"15"	"567"
"156"	"137"	"119"	"2"	"454"	"30"	"7"	"10"	"0"	"12"	"0"	"4"	"2"	"22"	"12"	"10"	"8"	"692"
"157"	"138"	"55"	"11"	"459"	"19"	"17"	"35"	"12"	"14"	"9"	"8"	"11"	"64"	"30"	"19"	"37"	"800"
"158"	"139"	"53"	"5"	"274"	"104"	"5"	"15"	"1"	"7"	"10"	"2"	"4"	"9"	"6"	"9"	"12"	"516"
"159"	"140"	"17"	"1"	"116"	"40"	"3"	"147"	"2"	"7"	"28"	"3"	"1"	"13"	"10"	"3"	"7"	"398"
"160"	"141"	"25"	"1"	"304"	"15"	"11"	"48"	"2"	"12"	"2"	"1"	"0"	"3"	"14"	"9"	"42"	"489"
"161"	"142"	"115"	"4"	"137"	"1"	"5"	"44"	"0"	"7"	"5"	"1"	"2"	"6"	"4"	"10"	"20"	"361"
"162"	"143"	"355"	"4"	"186"	"17"	"6"	"9"	"3"	"5"	"12"	"4"	"6"	"3"	"2"	"13"	"64"	"689"
"163"	"144"	"79"	"6"	"345"	"46"	"11"	"3"	"1"	"26"	"13"	"2"	"3"	"3"	"5"	"10"	"39"	"592"
"164"	"145"	"362"	"9"	"104"	"1"	"0"	"3"	"2"	"0"	"1"	"0"	"0"	"5"	"3"	"10"	"21"	"521"
"165"	"146"	"32"	"5"	"213"	"109"	"7"	"2"	"3"	"4"	"45"	"2"	"2"	"2"	"7"	"11"	"22"	"466"
"166"	"147"	"44"	"5"	"91"	"6"	"0"	"11"	"2"	"3"	"25"	"0"	"5"	"3"	"3"	"6"	"22"	"226"
"167"	"148"	"95"	"5"	"186"	"12"	"6"	"6"	"3"	"12"	"14"	"3"	"2"	"2"	"11"	"15"	"23"	"395"
"168"	"Candidates Name
BOOTH NO"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	""	"DR. ABDUL GAFOOR"	"BEER BIKRAM KUMAR SINGH"	"RAJ KUMAR SAH"	"BIRENDRA KUMAR JHA"	"TIRO SHARMA"	"REKHA DEVI"	"LALAN KUMAR SADA"	"GUNJESHWAR SAH"	"JAWAHAR JHA"	"TUNTUN PASWAN"	"NANHA KHAN"	"PARMESHWER MAHTO"	"MAHARUDRA JHA"	"RAGHUNATH PRASAD YADAV"	"SURENDRA YADAV"	"Total Valid Votes"
"170"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"16"
"171"	"148 A"	"84"	"1"	"197"	"20"	"0"	"9"	"4"	"6"	"24"	"2"	"2"	"2"	"7"	"3"	"12"	"373"
"172"	"149"	"224"	"9"	"294"	"40"	"9"	"26"	"7"	"6"	"11"	"10"	"10"	"13"	"18"	"35"	"58"	"770"
"173"	"150"	"136"	"12"	"100"	"10"	"2"	"2"	"9"	"6"	"244"	"14"	"3"	"8"	"3"	"10"	"34"	"593"
"174"	"151"	"41"	"7"	"155"	"14"	"9"	"6"	"6"	"8"	"318"	"19"	"10"	"12"	"11"	"17"	"47"	"680"
