"fuokZpuksa..dk..l.apky.u..fu..e...1961"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"1"	"ºd kuwuh  fu; e  vkSj  vkns' kΩ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"i z: i  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"øfu; e  56xº2ΩºxΩnsf[ k, ¿"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"112&egkj kt xat   fo/kku  l Hkk  fuokZpu  {ks=  esa  fcgkj  fo/kku  l Hkk  d s  fy ; s  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"pÿ  l a0&01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"er nku dsUnzks dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonr  er ksa dh l a[ ; k"
"58"	""	"vft r dqekj fl ag"	"bUnq nsoh"	"nkeksnj  fl ag"	"ekfud pUn j k;"	"l quhy j k;"	"ft r sUnz ' kekZ"	": ch v: .k"	"v' kksd j k;"	"mek' kadj fl ag"	"dey i zl kn"	"dqekj  nso j at u fl ag"	"xksfoUn ukj k; .k fl ag"	"u; u i zl kn"	"fuHkk fl ag"	"j fcUnz dqekj"	"j es' k fl ag dq' kokgk"	"j foUnz
; kno"	"MkW0
fo/kq' ks[ kj i k.Ms;"	"fouksn dq0 fl ag"	"gseukj k; .k l kg"	""	""	""	""
"59"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"60"	"24"	"17"	"2"	"144"	"10"	"14"	"0"	"5"	"1"	"0"	"4"	"141"	"1"	"4"	"6"	"2"	"8"	"2"	"8"	"4"	"1"	"374"	""	"374"	""
"61"	"25"	"32"	"2"	"167"	"14"	"31"	"3"	"4"	"2"	"3"	"2"	"115"	"9"	"8"	"16"	"10"	"12"	"1"	"6"	"1"	"3"	"441"	""	"441"	""
"62"	"26"	"26"	"7"	"123"	"184"	"11"	"2"	"8"	"10"	"24"	"8"	"160"	"5"	"1"	"7"	"25"	"37"	"13"	"17"	"14"	"49"	"731"	""	"731"	""
"63"	"27"	"9"	"9"	"100"	"202"	"7"	"2"	"4"	"3"	"1"	"3"	"67"	"3"	"9"	"12"	"9"	"75"	"2"	"3"	"10"	"30"	"560"	""	"560"	""
"64"	"28"	"20"	"12"	"324"	"72"	"4"	"1"	"2"	"3"	"1"	"4"	"9"	"4"	"12"	"9"	"10"	"21"	"28"	"26"	"14"	"96"	"672"	""	"672"	""
"65"	"29"	"7"	"3"	"56"	"10"	"3"	"1"	"0"	"0"	"4"	"0"	"45"	"0"	"3"	"4"	"14"	"88"	"0"	"2"	"2"	"42"	"284"	""	"284"	""
"66"	"30"	"7"	"11"	"130"	"56"	"4"	"1"	"2"	"4"	"6"	"22"	"22"	"4"	"9"	"2"	"24"	"32"	"3"	"4"	"6"	"66"	"415"	""	"415"	""
"67"	"31"	"11"	"10"	"115"	"10"	"9"	"1"	"0"	"1"	"0"	"1"	"7"	"1"	"0"	"2"	"14"	"12"	"16"	"7"	"19"	"146"	"382"	""	"382"	""
"68"	"; ksx"	"129"	"56"	"1159"	"558"	"83"	"11"	"25"	"24"	"39"	"44"	"566"	"27"	"46"	"58"	"108"	"285"	"65"	"73"	"70"	"433"	"3859"	"0"	"3859"	"0"
"69"	"fi Nys pdzksa ds er ksa dk
; ksx"	"479"	"101"	"3730"	"2690"	"476"	"82"	"77"	"118"	"108"	"80"	"720"	"197"	"187"	"253"	"207"	"597"	"245"	"141"	"146"	"402"	"11036"	"0"	"11036"	"0"
"70"	"dqy  ; ksx"	"608"	"157"	"4889"	"3248"	"559"	"93"	"102"	"142"	"147"	"124"	"1286"	"224"	"233"	"311"	"315"	"882"	"310"	"214"	"216"	"835"	"14895"	"0"	"14895"	"0"
"71"	"fuokZph i nkf/kdkj h"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"112&egkj kt xat   fo0 l 0 fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"Page 4 of 31"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"er nku dsUnzks dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonr  er ksa dh l a[ ; k"
"75"	""	"vft r dqekj fl ag"	"bUnq nsoh"	"nkeksnj  fl ag"	"ekfud pUn j k;"	"l quhy j k;"	"ft r sUnz ' kekZ"	": ch v: .k"	"v' kksd j k;"	"mek' kadj fl ag"	"dey i zl kn"	"dqekj  nso j at u fl ag"	"xksfoUn ukj k; .k fl ag"	"u; u i zl kn"	"fuHkk fl ag"	"j fcUnz dqekj"	"j es' k fl ag dq' kokgk"	"j foUnz
; kno"	"MkW0
fo/kq' ks[ kj i k.Ms;"	"fouksn dq0 fl ag"	"gseukj k; .k l kg"	""	""	""	""
"76"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"77"	"32"	"7"	"2"	"205"	"6"	"9"	"0"	"1"	"0"	"1"	"0"	"1"	"2"	"4"	"9"	"4"	"6"	"0"	"4"	"1"	"18"	"280"	""	"280"	""
"78"	"33"	"28"	"7"	"232"	"126"	"22"	"0"	"3"	"6"	"10"	"1"	"20"	"6"	"8"	"5"	"20"	"10"	"16"	"20"	"14"	"119"	"673"	""	"673"	""
"79"	"34"	"30"	"26"	"128"	"134"	"10"	"2"	"3"	"6"	"4"	"1"	"10"	"5"	"4"	"4"	"33"	"82"	"20"	"4"	"9"	"152"	"667"	""	"667"	""
"80"	"35"	"8"	"4"	"115"	"21"	"2"	"0"	"4"	"2"	"7"	"9"	"8"	"6"	"5"	"7"	"25"	"24"	"6"	"3"	"13"	"186"	"455"	""	"455"	""
"81"	"35d"	"6"	"4"	"63"	"103"	"4"	"1"	"1"	"4"	"3"	"5"	"10"	"8"	"8"	"11"	"42"	"35"	"5"	"0"	"3"	"110"	"426"	""	"426"	""
"82"	"36"	"23"	"26"	"101"	"152"	"79"	"2"	"0"	"7"	"4"	"0"	"9"	"8"	"9"	"5"	"30"	"21"	"12"	"2"	"4"	"134"	"628"	""	"628"	""
"83"	"37"	"8"	"2"	"260"	"108"	"5"	"1"	"0"	"2"	"0"	"3"	"4"	"6"	"3"	"4"	"4"	"91"	"21"	"11"	"17"	"14"	"564"	""	"564"	""
"84"	"38"	"19"	"2"	"290"	"29"	"13"	"2"	"0"	"1"	"1"	"4"	"16"	"1"	"2"	"3"	"2"	"27"	"17"	"13"	"8"	"5"	"455"	""	"455"	""
"85"	"; ksx"	"129"	"73"	"1394"	"679"	"144"	"8"	"12"	"28"	"30"	"23"	"78"	"42"	"43"	"48"	"160"	"296"	"97"	"57"	"69"	"738"	"4148"	"0"	"4148"	"0"
"86"	"fi Nys pdzksa ds er ksa dk
; ksx"	"608"	"157"	"4889"	"3248"	"559"	"93"	"102"	"142"	"147"	"124"	"1286"	"224"	"233"	"311"	"315"	"882"	"310"	"214"	"216"	"835"	"14895"	"0"	"14895"	"0"
"87"	"dqy  ; ksx"	"737"	"230"	"6283"	"3927"	"703"	"101"	"114"	"170"	"177"	"147"	"1364"	"266"	"276"	"359"	"475"	"1178"	"407"	"271"	"285"	"1573"	"19043"	"0"	"19043"	"0"
"88"	"fuokZph i nkf/kdkj h"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"112&egkj kt xat   fo0 l 0 fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"Page 5 of 31"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"pÿ  l a0&06"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"er nku dsUnzks dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonr  er ksa dh l a[ ; k"
"93"	""	"vft r dqekj fl ag"	"bUnq nsoh"	"nkeksnj  fl ag"	"ekfud pUn j k;"	"l quhy j k;"	"ft r sUnz ' kekZ"	": ch v: .k"	"v' kksd j k;"	"mek' kadj fl ag"	"dey i zl kn"	"dqekj  nso j at u fl ag"	"xksfoUn ukj k; .k fl ag"	"u; u i zl kn"	"fuHkk fl ag"	"j fcUnz dqekj"	"j es' k fl ag dq' kokgk"	"j foUnz
; kno"	"MkW0
fo/kq' ks[ kj i k.Ms;"	"fouksn dq0 fl ag"	"gseukj k; .k l kg"	""	""	""	""
"94"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"95"	"39"	"18"	"5"	"164"	"86"	"6"	"0"	"0"	"1"	"1"	"0"	"23"	"2"	"1"	"8"	"5"	"19"	"8"	"8"	"3"	"26"	"384"	""	"384"	""
"96"	"40"	"8"	"6"	"260"	"75"	"6"	"3"	"4"	"9"	"3"	"4"	"6"	"9"	"15"	"20"	"9"	"22"	"7"	"2"	"29"	"13"	"510"	""	"510"	""
"97"	"41"	"13"	"1"	"433"	"107"	"7"	"1"	"1"	"13"	"2"	"6"	"4"	"6"	"8"	"20"	"8"	"19"	"18"	"4"	"15"	"8"	"694"	""	"694"	""
"98"	"42"	"15"	"2"	"338"	"7"	"2"	"0"	"1"	"1"	"0"	"1"	"2"	"4"	"4"	"5"	"3"	"19"	"6"	"5"	"5"	"33"	"453"	""	"453"	""
"99"	"43"	"6"	"7"	"251"	"125"	"9"	"1"	"2"	"3"	"1"	"1"	"4"	"10"	"9"	"11"	"1"	"11"	"2"	"1"	"17"	"16"	"488"	""	"488"	""
"100"	"44"	"23"	"11"	"530"	"32"	"11"	"2"	"0"	"1"	"2"	"0"	"5"	"6"	"4"	"3"	"8"	"46"	"30"	"16"	"16"	"52"	"798"	""	"798"	""
"101"	"45"	"17"	"6"	"436"	"18"	"6"	"2"	"0"	"1"	"1"	"6"	"12"	"0"	"10"	"3"	"4"	"45"	"12"	"8"	"9"	"9"	"605"	""	"605"	""
"102"	"46"	"22"	"2"	"290"	"20"	"2"	"0"	"1"	"0"	"2"	"0"	"4"	"1"	"1"	"0"	"0"	"2"	"2"	"1"	"8"	"3"	"361"	""	"361"	""
"103"	"; ksx"	"122"	"40"	"2702"	"470"	"49"	"9"	"9"	"29"	"12"	"18"	"60"	"38"	"52"	"70"	"38"	"183"	"85"	"45"	"102"	"160"	"4293"	"0"	"4293"	"0"
"104"	"fi Nys pdzksa ds er ksa dk
; ksx"	"737"	"230"	"6283"	"3927"	"703"	"101"	"114"	"170"	"177"	"147"	"1364"	"266"	"276"	"359"	"475"	"1178"	"407"	"271"	"285"	"1573"	"19043"	"0"	"19043"	"0"
"105"	"dqy  ; ksx"	"859"	"270"	"8985"	"4397"	"752"	"110"	"123"	"199"	"189"	"165"	"1424"	"304"	"328"	"429"	"513"	"1361"	"492"	"316"	"387"	"1733"	"23336"	"0"	"23336"	"0"
"106"	"fuokZph i nkf/kdkj h"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"112&egkj kt xat   fo0 l 0 fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"108"	"Page 6 of 31"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"109"	"pÿ  l a0&07"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"er nku dsUnzks dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonr  er ksa dh l a[ ; k"
"111"	""	"vft r dqekj fl ag"	"bUnq nsoh"	"nkeksnj  fl ag"	"ekfud pUn j k;"	"l quhy j k;"	"ft r sUnz ' kekZ"	": ch v: .k"	"v' kksd j k;"	"mek' kadj fl ag"	"dey i zl kn"	"dqekj  nso j at u fl ag"	"xksfoUn ukj k; .k fl ag"	"u; u i zl kn"	"fuHkk fl ag"	"j fcUnz dqekj"	"j es' k fl ag dq' kokgk"	"j foUnz
; kno"	"MkW0
fo/kq' ks[ kj i k.Ms;"	"fouksn dq0 fl ag"	"gseukj k; .k l kg"	""	""	""	""
"112"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"113"	"47"	"38"	"1"	"43"	"21"	"6"	"1"	"3"	"0"	"1"	"0"	"20"	"0"	"0"	"0"	"15"	"28"	"9"	"3"	"1"	"306"	"496"	""	"496"	""
"114"	"48"	"24"	"5"	"121"	"46"	"11"	"3"	"1"	"3"	"2"	"1"	"58"	"2"	"1"	"8"	"14"	"8"	"5"	"3"	"5"	"133"	"454"	""	"454"	""
"115"	"49"	"17"	"12"	"195"	"59"	"5"	"0"	"0"	"7"	"5"	"0"	"18"	"7"	"6"	"5"	"26"	"21"	"1"	"3"	"3"	"42"	"432"	""	"432"	""
