"Øeka.d"	"er.nku.dsUnz.dh.dz0.l.a0"	"fuEufyf..kr..ds.i..k.esa.fn...x...fof.k.ekU...er.ksa.dh.l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"dqy..fof.k.ekU...er"	"i.zfr..ksfi.r..er.ksa.dh.l.a....k"	"X..ksx"	"fufonRr..er.ksa.dh.l.a....k"
"27"	"24"	"24"	"26"	"48"	"92"	"329"	"32"	"7"	"2"	"9"	"7"	"6"	"5"	"8"	"9"	"9"	"24"	"613"	"0"	"613"	"0"
"28"	"25"	"25"	"20"	"76"	"27"	"61"	"6"	"5"	"3"	"11"	"8"	"9"	"6"	"3"	"8"	"9"	"17"	"269"	"0"	"269"	"0"
"29"	"26"	"26"	"7"	"107"	"72"	"219"	"5"	"5"	"1"	"10"	"9"	"5"	"5"	"7"	"6"	"9"	"11"	"478"	"0"	"478"	"0"
"30"	"27"	"27"	"4"	"297"	"11"	"43"	"7"	"3"	"0"	"2"	"4"	"0"	"1"	"1"	"4"	"8"	"11"	"396"	"0"	"396"	"0"
"31"	"28"	"28"	"25"	"306"	"139"	"228"	"12"	"11"	"9"	"21"	"19"	"13"	"8"	"12"	"7"	"13"	"32"	"855"	"0"	"855"	"0"
"32"	"Øeka d"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"33"	""	""	"vfu: )  i zl kn fl ag"	"xhr k fdLdq"	"pEi ;  fdLdw"	"euksgj  i zl kn fl ag"	"fl dUnj  eaMy"	"xhr k nsoh"	"t wy h gsEcze"	"Qwyeuh gsEcze"	"NksVs yky  pkSM+s"	"nkeksnj  fl ag"	"fi z; k nsoh"	"; equk i zl kn eaMy"	"j k/kk mj k¡o"	"okl qnso gsEcze"	"l quhy  l ksj su"	""	""	""	""
"34"	"29"	"29"	"15"	"236"	"151"	"110"	"3"	"6"	"1"	"9"	"14"	"5"	"0"	"1"	"4"	"3"	"10"	"568"	"0"	"568"	"0"
"35"	"30"	"30"	"34"	"163"	"121"	"302"	"12"	"8"	"8"	"23"	"22"	"6"	"5"	"3"	"4"	"5"	"9"	"725"	"0"	"725"	"0"
"36"	"31"	"31"	"27"	"36"	"91"	"524"	"12"	"9"	"4"	"10"	"15"	"12"	"17"	"13"	"16"	"4"	"29"	"819"	"0"	"819"	"0"
"37"	"32"	"32"	"39"	"31"	"28"	"565"	"35"	"9"	"3"	"15"	"5"	"5"	"4"	"2"	"5"	"4"	"28"	"778"	"0"	"778"	"0"
"38"	"33"	"33"	"11"	"226"	"32"	"260"	"4"	"2"	"0"	"5"	"4"	"4"	"2"	"3"	"2"	"10"	"18"	"583"	"0"	"583"	"0"
"39"	"34"	"34"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"0"
"40"	"35"	"35"	"8"	"80"	"77"	"369"	"10"	"3"	"4"	"7"	"5"	"3"	"5"	"14"	"4"	"8"	"22"	"619"	"0"	"619"	"0"
"41"	"36"	"36"	"18"	"33"	"37"	"366"	"5"	"1"	"1"	"11"	"2"	"3"	"4"	"7"	"3"	"2"	"7"	"500"	"0"	"500"	"0"
"42"	"37"	"37"	"10"	"371"	"85"	"83"	"25"	"4"	"3"	"11"	"12"	"2"	"2"	"3"	"2"	"8"	"14"	"635"	"0"	"635"	"0"
"43"	"38"	"38"	"23"	"501"	"14"	"162"	"36"	"52"	"8"	"12"	"9"	"5"	"8"	"15"	"3"	"14"	"34"	"896"	"0"	"896"	"0"
"44"	"39"	"39"	"23"	"235"	"11"	"393"	"9"	"7"	"9"	"14"	"7"	"3"	"2"	"4"	"3"	"2"	"8"	"730"	"0"	"730"	"0"
"45"	"40"	"40"	"22"	"459"	"19"	"92"	"36"	"6"	"2"	"10"	"12"	"4"	"4"	"6"	"5"	"16"	"35"	"728"	"0"	"728"	"0"
"46"	"41"	"41"	"15"	"428"	"115"	"19"	"51"	"1"	"3"	"4"	"6"	"0"	"1"	"0"	"10"	"6"	"1"	"660"	"0"	"660"	"0"
"47"	"42"	"42"	"7"	"7"	"105"	"167"	"7"	"4"	"13"	"8"	"18"	"22"	"3"	"17"	"11"	"8"	"12"	"409"	"0"	"409"	"0"
"48"	"Øeka d"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"49"	""	""	"vfu: )  i zl kn fl ag"	"xhr k fdLdq"	"pEi ;  fdLdw"	"euksgj  i zl kn fl ag"	"fl dUnj  eaMy"	"xhr k nsoh"	"t wy h gsEcze"	"Qwyeuh gsEcze"	"NksVs yky  pkSM+s"	"nkeksnj  fl ag"	"fi z; k nsoh"	"; equk i zl kn eaMy"	"j k/kk mj k¡o"	"okl qnso gsEcze"	"l quhy  l ksj su"	""	""	""	""
"50"	"43"	"43"	"19"	"67"	"65"	"209"	"26"	"6"	"5"	"12"	"15"	"22"	"1"	"3"	"3"	"10"	"6"	"469"	"0"	"469"	"0"
"51"	"44"	"44"	"4"	"0"	"7"	"277"	"16"	"1"	"0"	"3"	"2"	"4"	"3"	"4"	"2"	"1"	"2"	"326"	"0"	"326"	"0"
"52"	"45"	"45"	"14"	"120"	"53"	"416"	"26"	"5"	"4"	"14"	"3"	"6"	"7"	"7"	"9"	"6"	"22"	"712"	"0"	"712"	"0"
"53"	"46"	"46"	"10"	"139"	"5"	"195"	"10"	"1"	"3"	"3"	"3"	"4"	"3"	"1"	"3"	"5"	"13"	"398"	"0"	"398"	"0"
"54"	"47"	"47"	"11"	"545"	"15"	"59"	"15"	"3"	"1"	"3"	"0"	"4"	"1"	"1"	"0"	"4"	"1"	"663"	"0"	"663"	"0"
"55"	"48"	"48"	"15"	"2"	"14"	"366"	"21"	"4"	"2"	"17"	"9"	"7"	"15"	"9"	"5"	"2"	"24"	"512"	"0"	"512"	"0"
"56"	"49"	"49"	"12"	"60"	"11"	"300"	"16"	"5"	"2"	"9"	"4"	"1"	"6"	"5"	"3"	"4"	"20"	"458"	"0"	"458"	"0"
"57"	"50"	"50"	"6"	"2"	"7"	"245"	"11"	"3"	"1"	"11"	"3"	"2"	"4"	"6"	"3"	"0"	"4"	"308"	"0"	"308"	"0"
"58"	"51"	"51"	"16"	"6"	"244"	"460"	"30"	"3"	"2"	"11"	"12"	"6"	"12"	"8"	"6"	"2"	"20"	"838"	"0"	"838"	"0"
"59"	"52"	"52"	"25"	"252"	"46"	"377"	"6"	"7"	"5"	"10"	"8"	"1"	"2"	"3"	"2"	"5"	"13"	"762"	"0"	"762"	"0"
"60"	"53"	"53"	"28"	"298"	"17"	"316"	"7"	"4"	"2"	"10"	"2"	"3"	"0"	"1"	"1"	"6"	"13"	"708"	"0"	"708"	"0"
"61"	"54"	"54"	"6"	"88"	"40"	"324"	"22"	"3"	"3"	"5"	"3"	"3"	"2"	"0"	"1"	"2"	"9"	"511"	"0"	"511"	"0"
"62"	"55"	"55"	"29"	"409"	"26"	"182"	"19"	"9"	"3"	"14"	"9"	"4"	"4"	"4"	"8"	"13"	"39"	"772"	"0"	"772"	"0"
"63"	"56"	"56"	"17"	"171"	"90"	"302"	"10"	"7"	"5"	"11"	"16"	"7"	"8"	"13"	"11"	"8"	"35"	"711"	"0"	"711"	"0"
"64"	"Øeka d"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"65"	""	""	"vfu: )  i zl kn fl ag"	"xhr k fdLdq"	"pEi ;  fdLdw"	"euksgj  i zl kn fl ag"	"fl dUnj  eaMy"	"xhr k nsoh"	"t wy h gsEcze"	"Qwyeuh gsEcze"	"NksVs yky  pkSM+s"	"nkeksnj  fl ag"	"fi z; k nsoh"	"; equk i zl kn eaMy"	"j k/kk mj k¡o"	"okl qnso gsEcze"	"l quhy  l ksj su"	""	""	""	""
"66"	"57"	"57"	"6"	"440"	"121"	"91"	"14"	"0"	"4"	"2"	"6"	"4"	"1"	"3"	"9"	"5"	"14"	"720"	"0"	"720"	"0"
"67"	"58"	"58"	"11"	"44"	"163"	"209"	"5"	"3"	"4"	"7"	"9"	"6"	"4"	"6"	"8"	"3"	"19"	"501"	"0"	"501"	"0"
"68"	"59"	"59"	"9"	"152"	"72"	"401"	"15"	"3"	"2"	"25"	"17"	"7"	"7"	"12"	"10"	"15"	"25"	"772"	"0"	"772"	"0"
"69"	"60"	"60"	"19"	"4"	"41"	"244"	"6"	"4"	"9"	"18"	"3"	"15"	"3"	"7"	"11"	"6"	"19"	"409"	"0"	"409"	"0"
"70"	"61"	"61"	"19"	"264"	"82"	"241"	"15"	"5"	"1"	"10"	"7"	"1"	"4"	"3"	"0"	"7"	"26"	"685"	"0"	"685"	"0"
"71"	"62"	"62"	"33"	"621"	"45"	"79"	"42"	"2"	"3"	"4"	"8"	"0"	"1"	"3"	"3"	"3"	"4"	"851"	"0"	"851"	"0"
"72"	"63"	"63"	"21"	"9"	"105"	"527"	"18"	"12"	"8"	"18"	"11"	"5"	"10"	"10"	"7"	"8"	"24"	"793"	"0"	"793"	"0"
"73"	"64"	"64"	"26"	"344"	"134"	"116"	"16"	"3"	"4"	"8"	"13"	"11"	"1"	"4"	"7"	"5"	"20"	"712"	"0"	"712"	"0"
"74"	"65"	"65"	"8"	"2"	"36"	"238"	"8"	"5"	"0"	"7"	"4"	"1"	"2"	"0"	"2"	"6"	"11"	"330"	"0"	"330"	"0"
"75"	"66"	"66"	"7"	"3"	"162"	"106"	"6"	"4"	"4"	"9"	"67"	"8"	"3"	"15"	"2"	"1"	"11"	"408"	"0"	"408"	"0"
"76"	"67"	"67"	"12"	"23"	"84"	"229"	"3"	"3"	"0"	"7"	"35"	"7"	"1"	"1"	"1"	"0"	"3"	"409"	"0"	"409"	"0"
"77"	"68"	"68"	"8"	"483"	"44"	"29"	"52"	"3"	"0"	"4"	"4"	"3"	"1"	"5"	"3"	"17"	"14"	"670"	"0"	"670"	"0"
"78"	"69"	"69"	"4"	"209"	"196"	"40"	"3"	"0"	"4"	"14"	"23"	"3"	"2"	"3"	"7"	"6"	"8"	"522"	"0"	"522"	"0"
"79"	"70"	"69A"	"6"	"145"	"219"	"31"	"7"	"1"	"3"	"13"	"21"	"6"	"3"	"8"	"12"	"2"	"12"	"489"	"0"	"489"	"0"
"80"	"Øeka d"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"81"	""	""	"vfu: )  i zl kn fl ag"	"xhr k fdLdq"	"pEi ;  fdLdw"	"euksgj  i zl kn fl ag"	"fl dUnj  eaMy"	"xhr k nsoh"	"t wy h gsEcze"	"Qwyeuh gsEcze"	"NksVs yky  pkSM+s"	"nkeksnj  fl ag"	"fi z; k nsoh"	"; equk i zl kn eaMy"	"j k/kk mj k¡o"	"okl qnso gsEcze"	"l quhy  l ksj su"	""	""	""	""
"82"	"71"	"70"	"17"	"0"	"72"	"661"	"12"	"5"	"2"	"21"	"13"	"7"	"10"	"11"	"16"	"6"	"50"	"903"	"0"	"903"	"0"
"83"	"72"	"71"	"10"	"306"	"166"	"144"	"4"	"3"	"1"	"15"	"17"	"7"	"3"	"28"	"5"	"11"	"7"	"727"	"0"	"727"	"0"
"84"	"73"	"72"	"10"	"96"	"117"	"268"	"6"	"3"	"3"	"6"	"11"	"3"	"6"	"5"	"12"	"10"	"16"	"572"	"0"	"572"	"0"
"85"	"74"	"73"	"11"	"369"	"65"	"146"	"17"	"5"	"1"	"7"	"9"	"8"	"5"	"0"	"6"	"11"	"13"	"673"	"0"	"673"	"0"
"86"	"75"	"74"	"11"	"205"	"15"	"149"	"6"	"2"	"1"	"8"	"6"	"1"	"4"	"3"	"3"	"7"	"11"	"432"	"0"	"432"	"0"
"87"	"76"	"75"	"19"	"541"	"93"	"28"	"9"	"1"	"3"	"4"	"4"	"0"	"0"	"0"	"0"	"2"	"3"	"707"	"0"	"707"	"0"
"88"	"77"	"76"	"14"	"224"	"120"	"286"	"11"	"0"	"2"	"12"	"16"	"6"	"9"	"13"	"7"	"8"	"12"	"740"	"0"	"740"	"0"
"89"	"78"	"77"	"28"	"193"	"43"	"491"	"5"	"2"	"1"	"8"	"7"	"6"	"5"	"41"	"9"	"6"	"22"	"867"	"0"	"867"	"0"
"90"	"79"	"78"	"7"	"1"	"266"	"152"	"12"	"3"	"4"	"7"	"13"	"2"	"0"	"5"	"6"	"2"	"6"	"486"	"0"	"486"	"0"
"91"	"80"	"79"	"14"	"120"	"188"	"98"	"6"	"3"	"4"	"7"	"13"	"11"	"3"	"19"	"14"	"19"	"14"	"533"	"0"	"533"	"0"
"92"	"81"	"80"	"11"	"28"	"221"	"67"	"5"	"2"	"9"	"4"	"25"	"28"	"4"	"243"	"16"	"12"	"13"	"688"	"0"	"688"	"0"
"93"	"82"	"81"	"13"	"12"	"142"	"175"	"6"	"7"	"67"	"104"	"33"	"16"	"7"	"10"	"3"	"4"	"9"	"608"	"0"	"608"	"0"
"94"	"83"	"82"	"11"	"246"	"38"	"220"	"6"	"3"	"7"	"5"	"5"	"1"	"1"	"4"	"4"	"4"	"16"	"571"	"0"	"571"	"0"
"95"	"84"	"83"	"5"	"31"	"44"	"60"	"6"	"1"	"0"	"2"	"7"	"3"	"1"	"3"	"7"	"3"	"6"	"179"	"0"	"179"	"0"
"96"	"Øeka d"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"97"	""	""	"vfu: )  i zl kn fl ag"	"xhr k fdLdq"	"pEi ;  fdLdw"	"euksgj  i zl kn fl ag"	"fl dUnj  eaMy"	"xhr k nsoh"	"t wy h gsEcze"	"Qwyeuh gsEcze"	"NksVs yky  pkSM+s"	"nkeksnj  fl ag"	"fi z; k nsoh"	"; equk i zl kn eaMy"	"j k/kk mj k¡o"	"okl qnso gsEcze"	"l quhy  l ksj su"	""	""	""	""
"98"	"85"	"84"	"6"	"23"	"63"	"132"	"5"	"3"	"1"	"2"	"5"	"1"	"1"	"1"	"5"	"1"	"35"	"284"	"0"	"284"	"0"
"99"	"86"	"85"	"9"	"412"	"18"	"30"	"40"	"2"	"3"	"6"	"4"	"2"	"2"	"2"	"6"	"4"	"15"	"555"	"0"	"555"	"0"
"100"	"87"	"86"	"3"	"146"	"159"	"138"	"32"	"2"	"0"	"62"	"7"	"1"	"2"	"1"	"2"	"1"	"3"	"559"	"0"	"559"	"0"
"101"	"88"	"87"	"21"	"11"	"165"	"284"	"14"	"2"	"7"	"111"	"41"	"21"	"6"	"7"	"9"	"25"	"29"	"753"	"0"	"753"	"0"
"102"	"89"	"88"	"9"	"2"	"31"	"366"	"4"	"3"	"0"	"6"	"5"	"3"	"5"	"8"	"7"	"12"	"29"	"490"	"0"	"490"	"0"
"103"	"90"	"89"	"24"	"8"	"15"	"428"	"5"	"4"	"0"	"6"	"1"	"0"	"1"	"2"	"2"	"5"	"11"	"512"	"0"	"512"	"0"
"104"	"91"	"90"	"25"	"6"	"59"	"313"	"25"	"1"	"3"	"8"	"1"	"3"	"2"	"0"	"1"	"0"	"7"	"454"	"0"	"454"	"0"
"105"	"92"	"91"	"28"	"61"	"43"	"475"	"55"	"22"	"10"	"34"	"10"	"7"	"24"	"22"	"17"	"8"	"23"	"839"	"0"	"839"	"0"
"106"	"93"	"92"	"27"	"5"	"59"	"579"	"114"	"6"	"3"	"19"	"9"	"2"	"24"	"5"	"3"	"1"	"6"	"862"	"0"	"862"	"0"
"107"	"94"	"93"	"15"	"2"	"380"	"17"	"4"	"3"	"2"	"34"	"27"	"11"	"3"	"9"	"13"	"23"	"24"	"567"	"0"	"567"	"0"
"108"	"95"	"94"	"18"	"360"	"20"	"209"	"8"	"1"	"6"	"18"	"8"	"4"	"4"	"6"	"2"	"9"	"33"	"706"	"0"	"706"	"0"
"109"	"96"	"95"	"10"	"366"	"58"	"171"	"25"	"1"	"3"	"4"	"8"	"2"	"1"	"4"	"3"	"6"	"6"	"668"	"0"	"668"	"0"
"110"	"97"	"96"	"4"	"1"	"31"	"336"	"20"	"2"	"2"	"11"	"3"	"9"	"3"	"8"	"11"	"5"	"13"	"459"	"0"	"459"	"0"
"111"	"98"	"97"	"7"	"106"	"6"	"311"	"18"	"2"	"1"	"8"	"4"	"0"	"9"	"8"	"3"	"9"	"16"	"508"	"0"	"508"	"0"
"112"	"Øeka d"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"113"	""	""	"vfu: )  i zl kn fl ag"	"xhr k fdLdq"	"pEi ;  fdLdw"	"euksgj  i zl kn fl ag"	"fl dUnj  eaMy"	"xhr k nsoh"	"t wy h gsEcze"	"Qwyeuh gsEcze"	"NksVs yky  pkSM+s"	"nkeksnj  fl ag"	"fi z; k nsoh"	"; equk i zl kn eaMy"	"j k/kk mj k¡o"	"okl qnso gsEcze"	"l quhy  l ksj su"	""	""	""	""
"114"	"99"	"98"	"2"	"395"	"10"	"47"	"4"	"1"	"0"	"3"	"4"	"0"	"1"	"3"	"2"	"7"	"9"	"488"	"0"	"488"	"0"
"115"	"100"	"99"	"13"	"512"	"9"	"16"	"13"	"2"	"1"	"5"	"3"	"0"	"3"	"1"	"7"	"13"	"19"	"617"	"0"	"617"	"0"
"116"	"101"	"100"	"18"	"362"	"10"	"69"	"164"	"8"	"3"	"4"	"2"	"0"	"0"	"0"	"2"	"4"	"1"	"647"	"0"	"647"	"0"
"117"	"102"	"101"	"4"	"2"	"15"	"97"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"137"	"0"	"137"	"0"
"118"	"103"	"102"	"17"	"20"	"9"	"453"	"164"	"5"	"1"	"13"	"2"	"0"	"1"	"2"	"0"	"2"	"10"	"699"	"0"	"699"	"0"
"119"	"104"	"103"	"22"	"5"	"165"	"522"	"120"	"16"	"3"	"14"	"12"	"4"	"1"	"1"	"6"	"3"	"9"	"903"	"0"	"903"	"0"
"120"	"105"	"104"	"8"	"1"	"28"	"319"	"20"	"5"	"1"	"13"	"1"	"2"	"5"	"6"	"6"	"3"	"14"	"432"	"0"	"432"	"0"
"121"	"106"	"105"	"10"	"2"	"231"	"205"	"15"	"4"	"2"	"7"	"3"	"2"	"1"	"5"	"3"	"3"	"8"	"501"	"0"	"501"	"0"
"122"	"107"	"106"	"9"	"70"	"145"	"187"	"7"	"6"	"0"	"11"	"8"	"5"	"2"	"5"	"10"	"6"	"18"	"489"	"0"	"489"	"0"
"123"	"108"	"107"	"4"	"7"	"152"	"161"	"19"	"7"	"1"	"2"	"5"	"10"	"3"	"4"	"5"	"6"	"10"	"396"	"0"	"396"	"0"
"124"	"109"	"108"	"15"	"259"	"20"	"163"	"9"	"19"	"3"	"6"	"6"	"5"	"7"	"4"	"11"	"9"	"25"	"561"	"0"	"561"	"0"
"125"	"110"	"109"	"21"	"19"	"70"	"427"	"25"	"8"	"4"	"14"	"7"	"3"	"5"	"6"	"2"	"0"	"8"	"619"	"0"	"619"	"0"
"126"	"111"	"110"	"19"	"104"	"233"	"309"	"32"	"15"	"4"	"15"	"30"	"16"	"4"	"19"	"20"	"26"	"35"	"881"	"0"	"881"	"0"
"127"	"112"	"111"	"5"	"17"	"41"	"351"	"21"	"4"	"1"	"6"	"5"	"2"	"5"	"5"	"1"	"1"	"9"	"474"	"0"	"474"	"0"
"128"	"Øeka d"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"129"	""	""	"vfu: )  i zl kn fl ag"	"xhr k fdLdq"	"pEi ;  fdLdw"	"euksgj  i zl kn fl ag"	"fl dUnj  eaMy"	"xhr k nsoh"	"t wy h gsEcze"	"Qwyeuh gsEcze"	"NksVs yky  pkSM+s"	"nkeksnj  fl ag"	"fi z; k nsoh"	"; equk i zl kn eaMy"	"j k/kk mj k¡o"	"okl qnso gsEcze"	"l quhy  l ksj su"	""	""	""	""
"130"	"113"	"112"	"5"	"8"	"62"	"276"	"19"	"1"	"0"	"4"	"2"	"1"	"1"	"3"	"0"	"2"	"7"	"391"	"0"	"391"	"0"
