"er.nku..d.sUnz..dh.Øe..l.a....k"	"fuEufy...kr..d.s..i..k..esa..fn...x...fof.kekU...er.ksa..dh..l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"d.qy.fof.kekU...er"
"68"	"62"	11	0	107	22	138	2	6	14	5	4	0	2	6	""
"69"	"63"	14	1	147	1	20	1	18	70	6	3	5	0	1	""
"70"	"64"	14	0	68	3	62	2	9	167	11	20	2	9	11	""
"71"	"65"	16	2	100	8	166	9	11	120	15	11	5	4	6	""
"72"	"66"	15	1	59	5	103	2	4	113	3	8	4	1	5	""
"73"	"67"	40	3	217	16	52	1	12	40	5	4	10	0	15	""
"74"	"68"	9	2	72	3	91	3	2	39	71	7	3	2	10	""
"75"	"69"	41	1	57	4	81	6	2	10	5	3	1	5	28	""
"76"	"70"	16	3	119	10	112	8	4	75	10	11	1	7	26	""
"77"	"71"	29	0	83	6	247	15	14	150	13	10	10	4	27	""
"78"	"72"	17	6	37	1	182	4	2	24	10	4	1	7	26	""
"79"	"73"	7	3	117	7	79	9	7	125	14	16	7	2	19	""
"80"	"74"	13	3	0	1	223	4	3	109	7	11	1	1	24	""
"81"	"75"	5	1	80	5	180	5	7	135	13	12	4	31	30	""
"82"	"76"	39	2	75	3	27	5	5	248	15	14	3	7	8	""
"83"	"77"	15	2	268	1	28	4	6	178	10	10	4	4	14	""
"84"	"78"	18	0	133	4	223	5	3	57	20	10	3	2	13	""
"85"	"79"	3	0	26	0	219	2	3	32	5	5	0	5	109	""
"86"	"80"	7	2	35	3	102	4	9	85	4	2	1	2	18	""
"87"	"81"	14	3	184	5	116	3	5	59	9	4	7	3	9	""
"88"	"82"	19	2	43	3	230	12	5	151	12	12	12	2	9	""
"89"	"83"	4	2	11	4	180	2	2	8	7	5	2	0	25	""
"90"	"84"	6	4	204	9	178	7	1	74	12	3	4	3	25	""
"91"	"85"	36	0	103	8	201	2	22	31	7	5	1	5	57	""
"92"	"er nku  d sUnz  dh Øe  l a[ ; k"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"d qy
fof/kekU;  er"
"93"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	""
"94"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""
"95"	"86"	23	1	52	2	50	2	6	153	3	5	3	2	2	""
"96"	"87"	22	1	95	7	59	6	10	156	10	13	8	4	9	""
"97"	"88"	22	1	175	13	15	0	6	55	3	1	6	3	7	""
"98"	"89"	42	49	374	9	49	5	3	78	6	12	6	7	38	""
"99"	"90"	146	5	282	9	34	3	2	21	15	7	15	4	30	""
"100"	"91"	51	2	147	8	126	4	12	124	9	27	2	6	75	""
"101"	"92"	4	0	1	1	187	3	1	1	1	0	0	0	7	""
"102"	"93"	40	0	126	3	72	2	3	96	5	2	3	17	3	""
"103"	"94"	56	4	228	9	81	4	0	132	10	7	6	0	22	""
"104"	"95"	15	2	146	1	25	1	4	21	3	5	2	4	4	""
"105"	"96"	9	1	16	3	249	4	5	65	8	3	1	2	72	""
"106"	"97"	21	4	218	6	35	3	2	23	5	6	7	5	10	""
"107"	"98"	41	1	194	3	116	6	3	22	7	2	2	1	23	""
"108"	"99"	14	2	36	3	182	5	6	31	4	4	2	1	19	""
"109"	"100"	45	2	155	4	28	1	6	85	3	10	5	2	4	""
"110"	"101"	35	1	142	5	194	6	14	24	9	1	1	3	6	""
"111"	"102"	47	2	187	4	153	4	6	121	21	16	32	9	11	""
"112"	"103"	11	1	178	6	163	1	2	31	3	2	2	0	3	""
"113"	"104"	4	0	45	1	150	3	0	57	3	4	3	2	5	""
"114"	"105"	33	2	150	10	58	1	4	170	6	17	1	4	4	""
"115"	"106"	4	1	10	4	217	0	3	42	5	4	2	1	7	""
"116"	"107"	14	3	115	11	219	4	16	50	7	7	5	0	7	""
"117"	"108"	38	1	95	3	211	9	6	30	21	13	81	18	38	""
"118"	"109"	34	5	183	3	289	5	1	11	13	1	4	3	3	""
"119"	"110"	44	4	251	4	98	4	5	103	10	7	8	8	25	""
"120"	"111"	0	0	12	0	114	0	1	9	1	1	0	0	8	""
"121"	"112"	4	2	209	5	49	1	1	1	2	3	3	2	2	""
"122"	"113"	14	2	3	4	166	2	0	2	8	0	0	1	49	""
"123"	"114"	11	5	111	1	52	4	12	99	28	14	7	7	155	""
"124"	"115"	1	0	1	2	2	4	3	182	4	1	1	1	27	""
"125"	"116"	24	0	3	0	53	2	2	38	1	10	7	5	461	""
"126"	"117"	14	2	111	3	118	10	2	229	17	22	12	4	35	""
"127"	"118"	34	1	110	2	138	11	7	94	7	10	9	2	50	""
"128"	"119"	36	1	249	2	50	67	5	159	6	11	8	9	16	""
"129"	"120"	56	1	84	4	75	4	16	204	13	20	2	7	21	""
"130"	"121"	9	1	64	2	122	8	2	103	12	11	22	4	3	""
"131"	"122"	9	0	117	3	13	7	6	167	7	11	31	2	1	""
"132"	"123"	26	0	108	5	46	2	9	156	8	6	23	6	3	""
"133"	"124"	40	1	161	1	47	2	0	18	3	1	1	1	1	""
"134"	"125"	70	7	45	4	63	3	9	77	1	5	1	1	11	""
"135"	"126"	155	5	216	5	64	0	9	128	6	5	3	5	11	""
"136"	"127"	9	0	121	3	105	2	1	53	10	8	1	2	4	""
"137"	"128"	20	0	39	1	84	8	8	106	10	15	5	6	15	""
"138"	"er nku  d sUnz  dh Øe  l a[ ; k"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"d qy
fof/kekU;  er"
"139"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	""
"140"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""
"141"	"129"	20	2	34	11	72	5	11	57	5	3	1	3	10	""
"142"	"130"	0	0	0	0	0	0	0	0	0	0	0	0	0	""
"143"	"131"	57	1	178	4	65	2	3	108	3	10	8	2	7	""
"144"	"132"	17	1	12	7	316	6	3	66	15	7	1	5	10	""
"145"	"133"	19	4	208	4	126	3	16	39	6	15	4	5	14	""
"146"	"134"	27	3	105	6	54	8	27	128	5	12	68	4	14	""
"147"	"135"	12	1	56	4	318	5	4	38	8	4	5	4	17	""
"148"	"136"	24	6	215	8	70	7	5	129	8	18	9	9	21	""
"149"	"137"	25	4	105	13	36	4	6	187	16	15	5	4	11	""
"150"	"138"	5	0	177	5	19	3	8	170	8	9	4	3	4	""
"151"	"139"	6	0	104	8	3	2	3	67	1	6	3	8	6	""
"152"	"140"	12	2	45	3	190	4	7	123	11	11	5	2	11	""
"153"	"141"	8	0	163	16	26	3	3	166	3	2	0	1	5	""
"154"	"142"	5	1	286	5	65	3	20	143	16	6	8	3	16	""
"155"	"143"	8	4	186	4	140	3	2	113	10	3	2	0	3	""
"156"	"144"	4	1	76	2	232	4	6	25	8	4	1	0	3	""
"157"	"145"	2	1	95	1	6	1	5	59	1	2	2	0	2	""
"158"	"146"	11	2	396	4	40	1	3	44	0	3	2	4	6	""
"159"	"147"	10	2	198	8	73	9	8	137	1	12	6	7	6	""
"160"	"148"	17	8	324	7	51	8	16	413	10	10	5	3	18	""
"161"	"149"	5	2	79	5	41	3	1	24	4	1	3	2	4	""
"162"	"150"	15	2	96	1	103	4	3	75	11	6	68	1	3	""
"163"	"151"	1	0	91	0	122	2	2	33	3	1	5	0	1	""
"164"	"152"	8	0	201	2	187	5	4	4	3	2	21	1	1	""
"165"	"153"	29	3	477	11	43	4	5	52	21	8	21	14	35	""
"166"	"154"	9	1	47	3	323	4	2	105	12	5	5	2	3	""
"167"	"155"	8	2	338	5	83	5	10	73	14	10	14	5	8	""
"168"	"156"	16	3	222	13	79	8	22	160	11	9	12	7	4	""
"169"	"157"	2	0	92	4	185	4	13	89	6	4	3	2	6	""
"170"	"158"	19	2	236	10	119	4	14	123	9	6	4	4	1	""
"171"	"159"	9	0	124	6	73	3	26	167	8	6	2	0	5	""
"172"	"160"	7	0	154	1	34	2	6	224	8	9	5	5	11	""
"173"	"161"	28	2	104	4	135	11	8	176	18	18	4	8	16	""
"174"	"162"	7	4	170	3	48	3	3	142	13	7	4	6	5	""
"175"	"163"	0	30	81	3	2	8	6	219	5	10	5	3	6	""
"176"	"164"	7	3	78	3	4	4	7	189	12	6	4	2	9	""
"177"	"165"	64	5	65	5	164	0	6	58	6	2	1	1	7	""
"178"	"166"	27	2	77	6	93	4	1	123	9	15	2	1	14	""
"179"	"167"	13	1	8	0	242	1	1	10	3	0	0	0	3	""
"180"	"168"	5	0	52	1	200	7	2	190	14	8	1	2	4	""
"181"	"169"	6	1	110	8	10	7	7	99	6	15	7	2	15	""
"182"	"170"	30	1	170	3	53	4	6	70	5	3	4	0	1	""
"183"	"171"	18	1	73	2	92	4	5	246	12	14	3	2	8	""
"184"	"er nku  d sUnz  dh Øe  l a[ ; k"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"d qy
fof/kekU;  er"
"185"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	""
"186"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""
"187"	"172"	12	1	151	1	12	4	5	181	2	14	2	3	5	""
"188"	"173"	4	2	169	6	38	4	7	143	15	15	6	8	9	""
"189"	"174"	2	0	12	1	155	2	3	12	3	3	1	1	0	""
"190"	"175"	3	0	68	0	47	0	5	31	3	1	2	0	0	""
"191"	"176"	66	0	166	5	194	8	7	61	9	8	25	0	16	""
"192"	"177"	7	2	291	3	7	6	8	113	5	3	6	3	4	""
"193"	"178"	15	2	138	0	11	3	3	137	4	10	2	2	2	""
"194"	"179"	11	3	148	2	5	3	0	136	6	4	6	0	3	""
"195"	"180"	5	0	102	0	33	6	19	473	7	8	1	0	16	""
"196"	"181"	7	1	145	6	7	3	19	75	2	4	0	1	1	""
"197"	"182"	10	3	54	9	335	6	8	10	16	1	3	2	4	""
"198"	"183"	15	4	456	6	23	2	12	56	2	4	1	5	3	""
"199"	"184"	47	1	249	4	4	2	3	52	1	9	7	6	19	""
"200"	"185"	10	1	35	0	50	3	6	158	8	4	2	0	2	""
"201"	"186"	5	1	33	0	196	1	9	30	4	2	6	2	1	""
"202"	"187"	8	0	284	8	143	5	10	102	7	3	7	2	9	""
"203"	"188"	15	1	27	3	212	5	3	25	28	2	3	0	9	""
"204"	"188"	26	1	48	2	159	4	0	7	60	0	3	1	7	""
"205"	"189"	2	1	4	4	34	2	1	4	81	0	1	2	3	""
"206"	"190"	15	8	316	13	97	11	6	83	16	16	17	6	2	""
"207"	"191"	23	5	286	20	68	3	10	126	23	11	6	2	8	""
"208"	"192"	23	2	213	5	89	3	3	23	6	0	1	3	4	""
"209"	"193"	6	3	436	5	60	5	6	51	3	6	18	16	11	""
"210"	"194"	32	5	220	6	130	9	21	76	6	8	2	2	16	""
"211"	"195"	4	2	28	2	331	3	5	21	12	1	0	2	17	""
"212"	"196"	6	1	4	3	286	1	0	2	7	0	1	1	2	""
"213"	"197"	6	0	45	8	23	9	6	204	4	11	6	11	14	""
"214"	"198"	22	4	206	19	46	5	4	74	8	15	10	8	17	""
"215"	"199"	23	1	236	14	77	3	17	7	6	3	5	3	7	""
"216"	"200"	1	0	14	1	235	1	0	19	7	1	4	1	3	""
"217"	"201"	16	3	76	7	46	2	3	51	2	5	2	0	3	""
"218"	"202"	10	2	42	8	122	4	3	3	5	2	3	4	4	""
"219"	"203"	6	1	104	2	42	3	7	115	6	8	4	2	3	""
"220"	"204"	13	0	15	0	252	1	2	207	6	4	2	3	5	""
"221"	"205"	12	0	129	4	107	0	3	26	3	4	2	1	0	""
"222"	"206"	5	0	78	4	324	8	8	94	24	0	4	1	5	""
"223"	"207"	13	2	227	2	10	1	4	82	6	15	2	6	5	""
"224"	"208"	13	0	112	2	121	1	3	8	10	0	6	2	5	""
"225"	"209"	21	0	238	16	98	8	17	223	6	13	9	5	12	""
"226"	"210"	9	5	107	5	248	5	3	46	11	7	1	0	1	""
"227"	"211"	14	1	116	3	54	7	11	130	8	8	0	1	5	""
"228"	"212"	26	1	179	4	6	0	3	101	4	2	4	1	11	""
"229"	"213"	11	0	99	8	120	4	4	21	7	4	3	2	18	""
"230"	"er nku  d sUnz  dh Øe  l a[ ; k"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"d qy
fof/kekU;  er"
"231"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	""
"232"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""
"233"	"214"	1	1	83	2	82	2	1	176	8	11	2	4	6	""
"234"	"215"	20	1	203	9	132	4	1	31	14	3	2	1	2	""
"235"	"216"	39	4	237	8	167	10	4	56	15	9	8	4	21	""
"236"	"217"	6	0	5	0	144	5	3	112	7	4	2	2	3	""
"237"	"218"	13	3	79	1	11	6	8	150	17	5	4	3	11	""
"238"	"219"	8	0	265	4	40	6	9	235	12	17	9	7	16	""
"239"	"220"	18	2	152	7	121	8	3	68	9	11	7	2	8	""
"240"	"221"	41	3	79	4	8	8	29	210	12	25	2	2	9	""
"241"	"222"	30	5	158	2	21	11	22	220	12	12	1	3	5	""
"242"	"223"	17	6	194	4	107	4	5	155	5	8	7	3	8	""
"243"	"224"	11	1	17	1	124	4	7	356	16	12	1	1	9	""
"244"	"225"	19	6	216	11	53	5	13	358	12	23	7	6	14	""
"245"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	""
