"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"Form.20"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"58"	"31"	"5"	"385"	"33"	"52"	"0"	"0"	"2"	"0"	"2"	"2"	"0"	"1"	"1"	"3"	"11"	"4"	"15"	"516"
"59"	"32"	"31"	"492"	"53"	"157"	"8"	"1"	"3"	"2"	"0"	"0"	"4"	"0"	"2"	"7"	"6"	"1"	"5"	"772"
"60"	"33"	"22"	"570"	"31"	"213"	"3"	"2"	"7"	"2"	"0"	"2"	"0"	"3"	"0"	"1"	"6"	"2"	"6"	"870"
"61"	"34"	"11"	"498"	"19"	"97"	"4"	"2"	"1"	"1"	"4"	"1"	"2"	"4"	"4"	"7"	"10"	"4"	"11"	"680"
"62"	"35"	"9"	"149"	"11"	"97"	"0"	"0"	"3"	"1"	"0"	"1"	"1"	"1"	"1"	"2"	"3"	"1"	"1"	"281"
"63"	"36"	"22"	"303"	"25"	"153"	"9"	"5"	"3"	"2"	"2"	"6"	"0"	"3"	"3"	"6"	"10"	"10"	"21"	"583"
"64"	""	""	""	""	""	""	""	"Form 20"	""	""	""	""	""	""	""	""	""	""	""
"65"	""	""	""	""	""	""	""	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"66"	""	""	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 048---Forbesganj CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Form-20"	""
"68"	"Assembly Constituency :048---Forbesganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No of Voters :241677"	""	""
"69"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	""	""	""	""	""	""	""	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""
"71"	"Candidate Name"	"KAFIL AHMAD"	"PADAM PARAG ROY 'VENU'"	"PRAKASH CHOUDHARY"	"MAYA NAND THAKUR"	"SURESH PASWAN"	"CHAMPA LAL MANDAL"	"NARESH KUMAR THAKUR"	"PRADEEP YADAV"	"MANOJ SADA"	"MUKESH KUMAR SINGH"	"LALIT KUMAR BISHWAS"	"SHYAM SUNDAR SHARMA"	"SATYA NARAYAN WRITER"	"JITENDRA ROY"	"RAJA RAMAN BHASKAR"	"RAM KUMAR BHAGAT"	"SUBHASH CHAND JHA"	"Total"
"72"	"Booth No-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"74"	"37"	"10"	"223"	"15"	"120"	"6"	"3"	"2"	"0"	"0"	"1"	"0"	"5"	"9"	"6"	"8"	"16"	"1"	"425"
"75"	"38"	"13"	"390"	"21"	"10"	"1"	"0"	"1"	"1"	"1"	"0"	"2"	"2"	"0"	"2"	"5"	"2"	"2"	"453"
"76"	"38A"	"8"	"394"	"45"	"6"	"3"	"0"	"4"	"0"	"4"	"2"	"2"	"2"	"2"	"14"	"19"	"22"	"15"	"542"
"77"	""	"203"	"5439"	"411"	"1346"	"51"	"25"	"48"	"15"	"21"	"31"	"21"	"33"	"44"	"78"	"130"	"110"	"108"	"8114"
"78"	"Round-4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"39"	"38"	"439"	"95"	"150"	"7"	"1"	"10"	"7"	"3"	"2"	"2"	"6"	"3"	"18"	"10"	"3"	"12"	"806"
"81"	"40"	"31"	"499"	"76"	"154"	"2"	"5"	"15"	"2"	"4"	"6"	"3"	"2"	"8"	"24"	"18"	"13"	"14"	"876"
"82"	"41"	"20"	"228"	"24"	"276"	"9"	"12"	"13"	"4"	"5"	"8"	"2"	"3"	"5"	"14"	"5"	"10"	"39"	"677"
"83"	"42"	"38"	"39"	"25"	"378"	"11"	"7"	"13"	"1"	"1"	"1"	"1"	"3"	"5"	"13"	"4"	"6"	"6"	"552"
"84"	"43"	"17"	"408"	"50"	"69"	"1"	"0"	"9"	"1"	"2"	"2"	"1"	"2"	"1"	"4"	"1"	"1"	"3"	"572"
"85"	"44"	"19"	"378"	"52"	"110"	"6"	"3"	"6"	"1"	"2"	"0"	"1"	"2"	"5"	"7"	"1"	"5"	"25"	"623"
"86"	"45"	"19"	"306"	"18"	"232"	"7"	"8"	"3"	"4"	"3"	"3"	"3"	"6"	"12"	"13"	"10"	"15"	"8"	"670"
"87"	"46"	"29"	"184"	"15"	"230"	"3"	"1"	"5"	"1"	"1"	"1"	"1"	"1"	"0"	"8"	"3"	"1"	"1"	"485"
"88"	"47"	"22"	"352"	"31"	"102"	"3"	"1"	"4"	"2"	"0"	"1"	"1"	"1"	"2"	"5"	"5"	"4"	"14"	"550"
"89"	"48"	"17"	"8"	"33"	"321"	"6"	"1"	"7"	"2"	"0"	"2"	"2"	"4"	"11"	"4"	"3"	"6"	"4"	"431"
"90"	"49"	"5"	"336"	"43"	"100"	"3"	"4"	"7"	"4"	"3"	"3"	"0"	"2"	"8"	"8"	"11"	"12"	"7"	"556"
"91"	"50"	"30"	"713"	"103"	"27"	"4"	"2"	"4"	"3"	"1"	"3"	"5"	"2"	"1"	"15"	"31"	"39"	"18"	"1001"
"92"	"51"	"2"	"335"	"41"	"10"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"4"	"0"	"2"	"401"
"93"	"52"	"15"	"139"	"242"	"120"	"6"	"7"	"5"	"0"	"2"	"2"	"0"	"1"	"4"	"7"	"3"	"5"	"11"	"569"
"94"	""	"302"	"4364"	"848"	"2279"	"68"	"54"	"102"	"33"	"27"	"34"	"22"	"36"	"66"	"141"	"109"	"120"	"164"	"8769"
"95"	"Round-5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	""	""	""	""	""	""	""	"Form 20"	""	""	""	""	""	""	""	""	""	""	""
"97"	""	""	""	""	""	""	""	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"98"	""	""	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 048---Forbesganj CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Form-20"	""
"100"	"Assembly Constituency :048---Forbesganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No of Voters :241677"	""	""
"101"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	""	""	""	""	""	""	""	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""
"103"	"Candidate Name"	"KAFIL AHMAD"	"PADAM PARAG ROY 'VENU'"	"PRAKASH CHOUDHARY"	"MAYA NAND THAKUR"	"SURESH PASWAN"	"CHAMPA LAL MANDAL"	"NARESH KUMAR THAKUR"	"PRADEEP YADAV"	"MANOJ SADA"	"MUKESH KUMAR SINGH"	"LALIT KUMAR BISHWAS"	"SHYAM SUNDAR SHARMA"	"SATYA NARAYAN WRITER"	"JITENDRA ROY"	"RAJA RAMAN BHASKAR"	"RAM KUMAR BHAGAT"	"SUBHASH CHAND JHA"	"Total"
"104"	"Booth No-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"106"	"53"	"2"	"286"	"162"	"72"	"4"	"3"	"1"	"2"	"1"	"3"	"0"	"3"	"1"	"8"	"8"	"5"	"6"	"567"
"107"	"54"	"11"	"276"	"46"	"129"	"12"	"3"	"8"	"1"	"3"	"3"	"3"	"2"	"15"	"6"	"11"	"9"	"6"	"544"
"108"	"55"	"6"	"308"	"35"	"184"	"7"	"2"	"6"	"2"	"2"	"3"	"0"	"2"	"5"	"12"	"14"	"3"	"21"	"612"
"109"	"56"	"13"	"474"	"32"	"17"	"2"	"3"	"2"	"3"	"1"	"3"	"1"	"1"	"0"	"4"	"18"	"3"	"6"	"583"
"110"	"57"	"34"	"446"	"61"	"115"	"47"	"10"	"9"	"9"	"0"	"2"	"6"	"4"	"2"	"5"	"6"	"7"	"9"	"772"
"111"	"58"	"22"	"842"	"43"	"40"	"5"	"4"	"2"	"4"	"1"	"1"	"2"	"0"	"2"	"7"	"15"	"5"	"12"	"1007"
"112"	"59"	"10"	"253"	"9"	"96"	"3"	"1"	"2"	"3"	"0"	"0"	"1"	"0"	"1"	"4"	"3"	"3"	"6"	"395"
"113"	"60"	"25"	"342"	"42"	"196"	"12"	"5"	"4"	"3"	"0"	"2"	"17"	"5"	"11"	"16"	"19"	"21"	"1"	"721"
"114"	"61"	"12"	"286"	"21"	"178"	"6"	"11"	"6"	"3"	"0"	"2"	"25"	"2"	"2"	"2"	"6"	"1"	"4"	"567"
"115"	"62"	"8"	"357"	"45"	"135"	"11"	"39"	"2"	"1"	"0"	"2"	"3"	"1"	"0"	"3"	"0"	"6"	"6"	"619"
"116"	"63"	"15"	"228"	"15"	"82"	"2"	"1"	"3"	"0"	"1"	"2"	"4"	"3"	"1"	"2"	"5"	"4"	"7"	"375"
"117"	"64"	"64"	"106"	"26"	"441"	"17"	"2"	"8"	"2"	"3"	"2"	"3"	"3"	"17"	"9"	"6"	"23"	"4"	"736"
"118"	"65"	"4"	"264"	"12"	"52"	"3"	"0"	"2"	"0"	"2"	"0"	"8"	"0"	"2"	"2"	"6"	"5"	"11"	"373"
"119"	"66"	"34"	"280"	"27"	"354"	"10"	"6"	"23"	"3"	"5"	"3"	"3"	"8"	"12"	"11"	"8"	"16"	"14"	"817"
"120"	""	"260"	"4748"	"576"	"2091"	"141"	"90"	"78"	"36"	"19"	"28"	"76"	"34"	"71"	"91"	"125"	"111"	"113"	"8688"
"121"	"Round-6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"67"	"7"	"231"	"26"	"6"	"2"	"1"	"1"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"5"	"5"	"1"	"289"
"124"	"68"	"14"	"583"	"38"	"37"	"11"	"0"	"2"	"1"	"3"	"3"	"2"	"1"	"3"	"4"	"31"	"24"	"20"	"777"
"125"	"69"	"58"	"314"	"20"	"60"	"1"	"2"	"0"	"1"	"1"	"3"	"0"	"0"	"0"	"3"	"3"	"3"	"2"	"471"
"126"	"69A"	"20"	"337"	"27"	"22"	"8"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"3"	"2"	"5"	"3"	"5"	"435"
"127"	"70"	"84"	"195"	"15"	"118"	"1"	"2"	"4"	"4"	"4"	"0"	"0"	"0"	"3"	"3"	"2"	"2"	"3"	"440"
"128"	""	""	""	""	""	""	""	"Form 20"	""	""	""	""	""	""	""	""	""	""	""
"129"	""	""	""	""	""	""	""	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"130"	""	""	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 048---Forbesganj CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Form-20"	""
"132"	"Assembly Constituency :048---Forbesganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No of Voters :241677"	""	""
"133"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	""	""	""	""	""	""	""	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""
"135"	"Candidate Name"	"KAFIL AHMAD"	"PADAM PARAG ROY 'VENU'"	"PRAKASH CHOUDHARY"	"MAYA NAND THAKUR"	"SURESH PASWAN"	"CHAMPA LAL MANDAL"	"NARESH KUMAR THAKUR"	"PRADEEP YADAV"	"MANOJ SADA"	"MUKESH KUMAR SINGH"	"LALIT KUMAR BISHWAS"	"SHYAM SUNDAR SHARMA"	"SATYA NARAYAN WRITER"	"JITENDRA ROY"	"RAJA RAMAN BHASKAR"	"RAM KUMAR BHAGAT"	"SUBHASH CHAND JHA"	"Total"
"136"	"Booth No-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"138"	"71"	"32"	"177"	"8"	"127"	"16"	"6"	"7"	"3"	"1"	"1"	"1"	"4"	"10"	"1"	"4"	"15"	"2"	"415"
"139"	"71A"	"287"	"284"	"21"	"64"	"4"	"3"	"2"	"6"	"1"	"3"	"2"	"3"	"0"	"1"	"5"	"16"	"5"	"707"
"140"	"72"	"67"	"453"	"14"	"44"	"5"	"0"	"1"	"3"	"0"	"3"	"4"	"2"	"1"	"9"	"19"	"16"	"6"	"647"
"141"	"73"	"22"	"216"	"37"	"213"	"4"	"13"	"15"	"1"	"0"	"4"	"0"	"3"	"6"	"5"	"5"	"1"	"4"	"549"
"142"	"74"	"13"	"201"	"27"	"222"	"5"	"8"	"3"	"0"	"0"	"0"	"2"	"2"	"3"	"3"	"4"	"4"	"4"	"501"
"143"	"75"	"9"	"296"	"25"	"139"	"2"	"2"	"7"	"0"	"2"	"0"	"2"	"0"	"4"	"16"	"10"	"10"	"10"	"534"
"144"	"75A"	"16"	"103"	"72"	"286"	"3"	"0"	"3"	"1"	"1"	"0"	"2"	"0"	"3"	"7"	"3"	"3"	"12"	"515"
"145"	"76"	"41"	"249"	"33"	"181"	"27"	"9"	"5"	"2"	"2"	"2"	"1"	"1"	"8"	"3"	"12"	"19"	"5"	"600"
"146"	"77"	"11"	"551"	"26"	"59"	"8"	"2"	"0"	"1"	"3"	"2"	"3"	"5"	"2"	"3"	"5"	"3"	"9"	"693"
"147"	""	"681"	"4190"	"389"	"1578"	"97"	"48"	"51"	"24"	"18"	"22"	"23"	"21"	"46"	"60"	"113"	"124"	"88"	"7573"
"148"	"Round-7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"78"	"16"	"337"	"5"	"44"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"2"	"10"	"2"	"7"	"427"
"150"	"79"	"5"	"359"	"7"	"70"	"3"	"1"	"0"	"2"	"1"	"2"	"0"	"1"	"2"	"3"	"6"	"4"	"2"	"468"
"151"	"80"	"11"	"434"	"34"	"39"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"3"	"0"	"6"	"4"	"2"	"5"	"540"
"152"	"81"	"8"	"399"	"27"	"63"	"5"	"0"	"2"	"3"	"1"	"0"	"1"	"2"	"1"	"5"	"10"	"2"	"2"	"531"
"153"	"81A"	"0"	"122"	"4"	"16"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"143"
"154"	"82"	"3"	"484"	"34"	"72"	"2"	"3"	"2"	"1"	"1"	"0"	"0"	"2"	"2"	"0"	"3"	"0"	"3"	"612"
"155"	"83"	"6"	"497"	"27"	"111"	"2"	"0"	"0"	"2"	"0"	"2"	"0"	"0"	"4"	"2"	"7"	"1"	"5"	"666"
"156"	"84"	"5"	"400"	"22"	"68"	"12"	"1"	"2"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"3"	"1"	"0"	"518"
"157"	"85"	"6"	"579"	"16"	"69"	"1"	"1"	"2"	"2"	"2"	"2"	"0"	"1"	"2"	"7"	"19"	"6"	"9"	"724"
"158"	"86"	"4"	"378"	"16"	"125"	"2"	"0"	"2"	"1"	"2"	"2"	"2"	"1"	"3"	"6"	"9"	"6"	"1"	"560"
"159"	"87"	"8"	"471"	"27"	"48"	"0"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"3"	"9"	"0"	"2"	"572"
"160"	""	""	""	""	""	""	""	"Form 20"	""	""	""	""	""	""	""	""	""	""	""
"161"	""	""	""	""	""	""	""	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"162"	""	""	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 048---Forbesganj CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"163"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Form-20"	""
"164"	"Assembly Constituency :048---Forbesganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No of Voters :241677"	""	""
"165"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	""	""	""	""	""	""	""	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""
"167"	"Candidate Name"	"KAFIL AHMAD"	"PADAM PARAG ROY 'VENU'"	"PRAKASH CHOUDHARY"	"MAYA NAND THAKUR"	"SURESH PASWAN"	"CHAMPA LAL MANDAL"	"NARESH KUMAR THAKUR"	"PRADEEP YADAV"	"MANOJ SADA"	"MUKESH KUMAR SINGH"	"LALIT KUMAR BISHWAS"	"SHYAM SUNDAR SHARMA"	"SATYA NARAYAN WRITER"	"JITENDRA ROY"	"RAJA RAMAN BHASKAR"	"RAM KUMAR BHAGAT"	"SUBHASH CHAND JHA"	"Total"
"168"	"Booth No-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"170"	"88"	"8"	"377"	"26"	"176"	"4"	"0"	"3"	"2"	"0"	"2"	"0"	"1"	"5"	"4"	"7"	"19"	"1"	"635"
"171"	"89"	"6"	"20"	"12"	"268"	"6"	"0"	"3"	"2"	"0"	"1"	"1"	"1"	"4"	"2"	"0"	"3"	"4"	"333"
"172"	"90"	"12"	"218"	"35"	"402"	"5"	"1"	"6"	"2"	"2"	"2"	"2"	"3"	"14"	"11"	"11"	"16"	"3"	"745"
"173"	""	"98"	"5075"	"292"	"1571"	"42"	"9"	"23"	"23"	"9"	"15"	"7"	"17"	"37"	"52"	"98"	"62"	"44"	"7474"
