"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X261312.83.261395.39.Phulparas"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"23"	"B.F."	"136"	"1829"	"58"	"134"	"1667"	"76"	"981"	"68"	"73"	"1343"	"76"	"61"	"28"	"42"	"73"	"239"	"53"	"61"	"26"	"58"	"7082"	"0"	"7082"	""
"24"	"15"	"6"	"274"	"11"	"13"	"73"	"19"	"119"	"9"	"6"	"21"	"4"	"6"	"3"	"2"	"4"	"6"	"4"	"19"	"0"	"5"	"604"	""	"604"	""
"25"	"16"	"13"	"325"	"3"	"11"	"50"	"31"	"24"	"3"	"2"	"65"	"3"	"0"	"0"	"3"	"1"	"12"	"1"	"18"	"0"	"0"	"565"	""	"565"	""
"26"	"17"	"7"	"186"	"3"	"10"	"17"	"215"	"65"	"4"	"2"	"19"	"4"	"3"	"3"	"2"	"0"	"5"	"2"	"11"	"0"	"2"	"560"	""	"560"	""
"27"	"18"	"13"	"24"	"3"	"7"	"178"	"4"	"62"	"6"	"4"	"15"	"2"	"0"	"2"	"1"	"6"	"14"	"12"	"2"	"2"	"2"	"359"	""	"359"	""
"28"	"19"	"34"	"53"	"18"	"13"	"191"	"9"	"181"	"19"	"10"	"32"	"1"	"2"	"1"	"6"	"7"	"13"	"23"	"10"	"7"	"12"	"642"	""	"642"	""
"29"	"20"	"2"	"25"	"1"	"4"	"169"	"1"	"28"	"1"	"1"	"22"	"2"	"2"	"0"	"2"	"1"	"13"	"2"	"7"	"1"	"3"	"287"	""	"287"	""
"30"	"21"	"14"	"113"	"3"	"5"	"85"	"4"	"5"	"181"	"10"	"13"	"5"	"1"	"4"	"3"	"8"	"292"	"0"	"12"	"1"	"2"	"761"	""	"761"	""
"31"	"22"	"19"	"189"	"7"	"18"	"206"	"10"	"28"	"16"	"2"	"21"	"9"	"4"	"2"	"5"	"3"	"10"	"13"	"21"	"1"	"1"	"585"	""	"585"	""
"32"	"23"	"20"	"98"	"8"	"15"	"96"	"3"	"24"	"8"	"1"	"16"	"21"	"2"	"4"	"3"	"4"	"5"	"13"	"112"	"8"	"6"	"467"	""	"467"	""
"33"	"24"	"4"	"44"	"3"	"3"	"49"	"3"	"25"	"20"	"1"	"5"	"4"	"2"	"0"	"2"	"3"	"4"	"12"	"267"	"11"	"9"	"471"	""	"471"	""
"34"	"25"	"5"	"43"	"0"	"12"	"18"	"1"	"8"	"0"	"1"	"15"	"1"	"2"	"0"	"1"	"5"	"0"	"4"	"417"	"11"	"13"	"557"	""	"557"	""
"35"	"26"	"14"	"101"	"4"	"9"	"17"	"2"	"4"	"1"	"1"	"11"	"2"	"3"	"0"	"1"	"4"	"5"	"12"	"344"	"8"	"7"	"550"	""	"550"	""
"36"	"27"	"6"	"44"	"8"	"3"	"30"	"0"	"3"	"2"	"1"	"1"	"0"	"1"	"1"	"2"	"1"	"5"	"11"	"678"	"4"	"5"	"806"	""	"806"	""
"37"	"28"	"22"	"296"	"17"	"19"	"78"	"7"	"64"	"7"	"9"	"53"	"4"	"2"	"3"	"2"	"4"	"8"	"10"	"61"	"3"	"4"	"673"	""	"673"	""
"38"	"Total -2"	"179"	"1815"	"89"	"142"	"1257"	"309"	"640"	"277"	"51"	"309"	"62"	"30"	"23"	"35"	"51"	"392"	"119"	"1979"	"57"	"71"	"7887"	"0"	"7887"	"0"
"39"	""	""	""	""	""	""	"261312+83=261395
39-Phulparas"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"41"	""	"Anita Yadav"	"Guljar Devi"	"Gauri Shankar Yadav"	"Vikram Shila Devi"	"Virendra Kumar Chaudhary"	"Hitendra Narayan Thakur"	"Upendra Kumar Yadav"	"Md. Ainul"	"Chandra Shekhar Suman"	"Ram Kumar Yadav"	"Laleshwar Prasad Singh"	"Shekharjee Mishra"	"Ganga Prasad Yadav"	"Deo Nath Deon"	"Babue Lal Yadav"	"Bharat Bhushan Mandal"	"Mrityunjay Yadav"	"Ram Narayan Mandal"	"Vijay Kumar Jha"	"Satya Narayan Agrawal"	""	""	""	""
"42"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"43"	"B.F."	"315"	"3644"	"147"	"276"	"2924"	"385"	"1621"	"345"	"124"	"1652"	"138"	"91"	"51"	"77"	"124"	"631"	"172"	"2040"	"83"	"129"	"14969"	"0"	"14969"	"0"
"44"	"29"	"11"	"151"	"6"	"20"	"46"	"80"	"10"	"7"	"10"	"151"	"7"	"1"	"8"	"6"	"5"	"26"	"11"	"4"	"3"	"3"	"566"	""	"566"	""
"45"	"30"	"31"	"314"	"10"	"10"	"61"	"6"	"22"	"7"	"6"	"69"	"6"	"0"	"4"	"2"	"0"	"4"	"2"	"7"	"2"	"3"	"566"	""	"566"	""
"46"	"31"	"9"	"336"	"16"	"14"	"61"	"4"	"7"	"13"	"6"	"186"	"6"	"5"	"4"	"2"	"1"	"16"	"3"	"8"	"2"	"1"	"700"	""	"700"	""
"47"	"32"	"13"	"149"	"16"	"20"	"48"	"20"	"40"	"9"	"4"	"167"	"5"	"5"	"13"	"1"	"10"	"27"	"5"	"7"	"1"	"6"	"566"	""	"566"	""
"48"	"33"	"4"	"94"	"0"	"13"	"1"	"279"	"3"	"1"	"1"	"8"	"3"	"1"	"2"	"1"	"2"	"4"	"2"	"6"	"1"	"0"	"426"	""	"426"	""
"49"	"34"	"7"	"244"	"7"	"18"	"96"	"5"	"66"	"10"	"0"	"2"	"5"	"5"	"6"	"8"	"7"	"25"	"4"	"7"	"3"	"2"	"527"	""	"527"	""
"50"	"35"	"8"	"283"	"3"	"14"	"27"	"20"	"1"	"5"	"4"	"10"	"72"	"3"	"3"	"4"	"12"	"22"	"4"	"22"	"3"	"11"	"531"	""	"531"	""
"51"	"36"	"13"	"263"	"5"	"5"	"35"	"31"	"3"	"4"	"2"	"8"	"9"	"8"	"3"	"3"	"13"	"8"	"9"	"39"	"4"	"5"	"470"	""	"470"	""
"52"	"37"	"15"	"341"	"4"	"4"	"21"	"19"	"13"	"2"	"0"	"14"	"2"	"2"	"6"	"7"	"21"	"53"	"7"	"14"	"1"	"7"	"553"	""	"553"	""
"53"	"38"	"16"	"274"	"4"	"20"	"32"	"31"	"30"	"5"	"1"	"5"	"2"	"4"	"4"	"6"	"4"	"167"	"7"	"9"	"1"	"1"	"623"	""	"623"	""
"54"	"39"	"16"	"503"	"5"	"18"	"117"	"5"	"15"	"2"	"0"	"20"	"0"	"0"	"1"	"2"	"1"	"10"	"3"	"3"	"1"	"1"	"723"	""	"723"	""
"55"	"40"	"33"	"239"	"3"	"8"	"63"	"16"	"46"	"8"	"5"	"5"	"4"	"2"	"4"	"7"	"1"	"99"	"6"	"4"	"4"	"2"	"559"	""	"559"	""
"56"	"41"	"7"	"242"	"8"	"16"	"151"	"31"	"25"	"3"	"2"	"11"	"6"	"5"	"0"	"4"	"12"	"20"	"1"	"23"	"4"	"5"	"576"	""	"576"	""
"57"	"42"	"18"	"108"	"5"	"3"	"58"	"27"	"64"	"38"	"4"	"4"	"4"	"5"	"1"	"2"	"11"	"13"	"6"	"7"	"0"	"0"	"378"	""	"378"	""
"58"	"Total -3"	"201"	"3541"	"92"	"183"	"817"	"574"	"345"	"114"	"45"	"660"	"131"	"46"	"59"	"55"	"100"	"494"	"70"	"160"	"30"	"47"	"7764"	"0"	"7764"	"0"
"59"	""	""	""	""	""	""	"261312+83=261395
39-Phulparas"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"61"	""	"Anita Yadav"	"Guljar Devi"	"Gauri Shankar Yadav"	"Vikram Shila Devi"	"Virendra Kumar Chaudhary"	"Hitendra Narayan Thakur"	"Upendra Kumar Yadav"	"Md. Ainul"	"Chandra Shekhar Suman"	"Ram Kumar Yadav"	"Laleshwar Prasad Singh"	"Shekharjee Mishra"	"Ganga Prasad Yadav"	"Deo Nath Deon"	"Babue Lal Yadav"	"Bharat Bhushan Mandal"	"Mrityunjay Yadav"	"Ram Narayan Mandal"	"Vijay Kumar Jha"	"Satya Narayan Agrawal"	""	""	""	""
"62"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"63"	"B.F."	"516"	"7185"	"239"	"459"	"3741"	"959"	"1966"	"459"	"169"	"2312"	"269"	"137"	"110"	"132"	"224"	"1125"	"242"	"2200"	"113"	"176"	"22733"	"0"	"22733"	"0"
"64"	"43"	"13"	"253"	"4"	"26"	"73"	"142"	"67"	"10"	"3"	"41"	"18"	"4"	"9"	"4"	"16"	"22"	"1"	"5"	"2"	"1"	"714"	""	"714"	""
"65"	"44"	"13"	"235"	"8"	"17"	"34"	"35"	"21"	"11"	"3"	"15"	"5"	"14"	"5"	"5"	"14"	"13"	"7"	"135"	"6"	"6"	"602"	""	"602"	""
"66"	"45"	"15"	"174"	"17"	"9"	"55"	"56"	"40"	"8"	"5"	"23"	"2"	"1"	"4"	"3"	"3"	"76"	"7"	"15"	"5"	"6"	"524"	""	"524"	""
"67"	"46"	"5"	"157"	"6"	"15"	"34"	"14"	"44"	"4"	"3"	"18"	"1"	"1"	"4"	"1"	"1"	"19"	"1"	"13"	"0"	"0"	"341"	""	"341"	""
"68"	"47"	"17"	"54"	"9"	"6"	"114"	"15"	"89"	"6"	"4"	"19"	"6"	"5"	"10"	"4"	"5"	"6"	"25"	"7"	"8"	"13"	"422"	""	"422"	""
"69"	"47A"	"18"	"52"	"8"	"5"	"55"	"24"	"150"	"6"	"3"	"14"	"3"	"5"	"2"	"2"	"12"	"18"	"8"	"3"	"2"	"3"	"393"	""	"393"	""
"70"	"48"	"15"	"120"	"2"	"4"	"11"	"217"	"24"	"1"	"0"	"1"	"2"	"3"	"11"	"3"	"3"	"4"	"2"	"11"	"3"	"2"	"439"	""	"439"	""
"71"	"49"	"18"	"91"	"25"	"14"	"16"	"218"	"149"	"20"	"4"	"10"	"9"	"13"	"6"	"5"	"8"	"11"	"5"	"35"	"5"	"0"	"662"	""	"662"	""
"72"	"50"	"16"	"285"	"8"	"21"	"30"	"19"	"10"	"2"	"2"	"8"	"15"	"17"	"14"	"10"	"12"	"125"	"3"	"10"	"4"	"16"	"627"	""	"627"	""
"73"	"51"	"25"	"100"	"106"	"27"	"9"	"108"	"18"	"3"	"5"	"9"	"5"	"2"	"13"	"6"	"1"	"11"	"6"	"23"	"3"	"6"	"486"	""	"486"	""
"74"	"52"	"19"	"219"	"11"	"18"	"85"	"38"	"84"	"5"	"1"	"23"	"5"	"9"	"3"	"2"	"17"	"25"	"3"	"36"	"2"	"20"	"625"	""	"625"	""
"75"	"53"	"6"	"49"	"22"	"5"	"199"	"3"	"43"	"6"	"3"	"12"	"2"	"1"	"7"	"0"	"3"	"3"	"3"	"19"	"1"	"1"	"388"	""	"388"	""
"76"	"54"	"9"	"34"	"0"	"3"	"2"	"172"	"65"	"2"	"0"	"2"	"0"	"1"	"3"	"0"	"2"	"6"	"8"	"5"	"2"	"1"	"317"	""	"317"	""
"77"	"55"	"13"	"87"	"6"	"7"	"61"	"5"	"3"	"7"	"1"	"4"	"9"	"2"	"27"	"4"	"6"	"128"	"11"	"74"	"2"	"4"	"461"	""	"461"	""
"78"	"Total -4"	"202"	"1910"	"232"	"177"	"778"	"1066"	"807"	"91"	"37"	"199"	"82"	"78"	"118"	"49"	"103"	"467"	"90"	"391"	"45"	"79"	"7001"	"0"	"7001"	"0"
"79"	""	""	""	""	""	""	"261312+83=261395
39-Phulparas"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"81"	""	"Anita Yadav"	"Guljar Devi"	"Gauri Shankar Yadav"	"Vikram Shila Devi"	"Virendra Kumar Chaudhary"	"Hitendra Narayan Thakur"	"Upendra Kumar Yadav"	"Md. Ainul"	"Chandra Shekhar Suman"	"Ram Kumar Yadav"	"Laleshwar Prasad Singh"	"Shekharjee Mishra"	"Ganga Prasad Yadav"	"Deo Nath Deon"	"Babue Lal Yadav"	"Bharat Bhushan Mandal"	"Mrityunjay Yadav"	"Ram Narayan Mandal"	"Vijay Kumar Jha"	"Satya Narayan Agrawal"	""	""	""	""
"82"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"83"	"B.F."	"718"	"9095"	"471"	"636"	"4519"	"2025"	"2773"	"550"	"206"	"2511"	"351"	"215"	"228"	"181"	"327"	"1592"	"332"	"2591"	"158"	"255"	"29734"	"0"	"29734"	"0"
"84"	"55A"	"9"	"101"	"6"	"5"	"52"	"0"	"15"	"3"	"0"	"7"	"48"	"1"	"74"	"0"	"1"	"5"	"1"	"3"	"2"	"4"	"337"	""	"337"	""
"85"	"56"	"33"	"123"	"7"	"11"	"65"	"86"	"30"	"6"	"4"	"14"	"6"	"8"	"27"	"14"	"17"	"62"	"1"	"2"	"2"	"3"	"521"	""	"521"	""
"86"	"57"	"8"	"57"	"21"	"15"	"92"	"9"	"51"	"3"	"1"	"103"	"4"	"4"	"4"	"11"	"2"	"6"	"1"	"4"	"3"	"4"	"403"	""	"403"	""
"87"	"58"	"6"	"112"	"66"	"10"	"66"	"52"	"11"	"3"	"1"	"11"	"1"	"1"	"0"	"0"	"1"	"0"	"4"	"15"	"1"	"2"	"363"	""	"363"	""
"88"	"59"	"27"	"175"	"3"	"14"	"38"	"58"	"21"	"1"	"2"	"7"	"0"	"4"	"1"	"1"	"1"	"7"	"3"	"14"	"1"	"0"	"378"	""	"378"	""
"89"	"60"	"2"	"14"	"5"	"372"	"14"	"1"	"1"	"0"	"0"	"4"	"2"	"2"	"11"	"0"	"1"	"10"	"3"	"1"	"0"	"7"	"450"	""	"450"	""
"90"	"61"	"23"	"21"	"8"	"16"	"281"	"23"	"17"	"2"	"6"	"51"	"6"	"5"	"2"	"6"	"31"	"27"	"2"	"2"	"1"	"12"	"542"	""	"542"	""
"91"	"62"	"6"	"36"	"6"	"29"	"163"	"7"	"14"	"1"	"2"	"11"	"4"	"3"	"1"	"4"	"24"	"27"	"5"	"19"	"1"	"18"	"381"	""	"381"	""
"92"	"63"	"30"	"99"	"3"	"5"	"104"	"110"	"53"	"3"	"0"	"14"	"1"	"5"	"3"	"0"	"4"	"5"	"1"	"4"	"1"	"2"	"447"	""	"447"	""
"93"	"64"	"27"	"103"	"6"	"10"	"45"	"65"	"8"	"3"	"4"	"67"	"2"	"4"	"12"	"6"	"6"	"8"	"7"	"21"	"11"	"29"	"444"	""	"444"	""
"94"	"65"	"43"	"163"	"6"	"170"	"41"	"4"	"21"	"4"	"10"	"68"	"41"	"18"	"18"	"14"	"8"	"30"	"14"	"8"	"3"	"3"	"687"	""	"687"	""
"95"	"66"	"70"	"191"	"10"	"23"	"10"	"3"	"8"	"4"	"5"	"56"	"3"	"2"	"5"	"4"	"5"	"14"	"9"	"7"	"5"	"7"	"441"	""	"441"	""
"96"	"67"	"14"	"105"	"3"	"3"	"27"	"76"	"16"	"7"	"8"	"128"	"12"	"7"	"6"	"5"	"7"	"31"	"1"	"1"	"1"	"1"	"459"	""	"459"	""
"97"	"68"	"11"	"185"	"10"	"16"	"20"	"2"	"83"	"6"	"4"	"6"	"4"	"3"	"2"	"3"	"3"	"224"	"4"	"14"	"2"	"2"	"604"	""	"604"	""
"98"	"Total -5"	"309"	"1485"	"160"	"699"	"1018"	"496"	"349"	"46"	"47"	"547"	"134"	"67"	"166"	"68"	"111"	"456"	"56"	"115"	"34"	"94"	"6457"	"0"	"6457"	"0"
"99"	""	""	""	""	""	""	"261312+83=261395
39-Phulparas"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"101"	""	"Anita Yadav"	"Guljar Devi"	"Gauri Shankar Yadav"	"Vikram Shila Devi"	"Virendra Kumar Chaudhary"	"Hitendra Narayan Thakur"	"Upendra Kumar Yadav"	"Md. Ainul"	"Chandra Shekhar Suman"	"Ram Kumar Yadav"	"Laleshwar Prasad Singh"	"Shekharjee Mishra"	"Ganga Prasad Yadav"	"Deo Nath Deon"	"Babue Lal Yadav"	"Bharat Bhushan Mandal"	"Mrityunjay Yadav"	"Ram Narayan Mandal"	"Vijay Kumar Jha"	"Satya Narayan Agrawal"	""	""	""	""
"102"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"103"	"B.F."	"1027"	"10580"	"631"	"1335"	"5537"	"2521"	"3122"	"596"	"253"	"3058"	"485"	"282"	"394"	"249"	"438"	"2048"	"388"	"2706"	"192"	"349"	"36191"	"0"	"36191"	"0"
"104"	"69"	"24"	"83"	"8"	"20"	"21"	"3"	"23"	"6"	"2"	"0"	"0"	"2"	"1"	"1"	"3"	"574"	"12"	"9"	"4"	"6"	"802"	""	"802"	""
"105"	"70"	"6"	"31"	"7"	"10"	"30"	"1"	"12"	"8"	"28"	"645"	"12"	"2"	"2"	"3"	"2"	"31"	"2"	"1"	"1"	"4"	"838"	""	"838"	""
"106"	"71"	"15"	"172"	"10"	"11"	"96"	"6"	"34"	"11"	"3"	"46"	"2"	"3"	"0"	"1"	"5"	"248"	"13"	"13"	"2"	"7"	"698"	""	"698"	""
"107"	"72"	"8"	"17"	"1"	"4"	"5"	"85"	"6"	"2"	"2"	"315"	"7"	"2"	"3"	"1"	"1"	"11"	"0"	"1"	"1"	"2"	"474"	""	"474"	""
"108"	"73"	"33"	"21"	"0"	"6"	"6"	"25"	"26"	"5"	"7"	"427"	"5"	"1"	"3"	"1"	"3"	"2"	"1"	"0"	"0"	"0"	"572"	""	"572"	""
"109"	"74"	"9"	"89"	"5"	"8"	"49"	"0"	"7"	"1"	"1"	"16"	"9"	"4"	"1"	"2"	"43"	"6"	"65"	"32"	"3"	"5"	"355"	""	"355"	""
"110"	"75"	"24"	"40"	"11"	"14"	"151"	"2"	"17"	"4"	"2"	"14"	"9"	"6"	"3"	"5"	"13"	"263"	"4"	"7"	"1"	"7"	"597"	""	"597"	""
"111"	"76"	"19"	"40"	"4"	"7"	"49"	"3"	"18"	"9"	"2"	"6"	"3"	"4"	"3"	"3"	"7"	"205"	"19"	"85"	"3"	"6"	"495"	""	"495"	""
"112"	"77"	"17"	"306"	"8"	"20"	"50"	"18"	"42"	"1"	"3"	"10"	"8"	"17"	"3"	"9"	"20"	"37"	"5"	"48"	"4"	"10"	"636"	""	"636"	""
"113"	"77A"	"18"	"176"	"11"	"12"	"123"	"18"	"17"	"10"	"2"	"17"	"5"	"1"	"3"	"0"	"4"	"13"	"13"	"20"	"4"	"1"	"468"	""	"468"	""
"114"	"78"	"30"	"344"	"8"	"14"	"73"	"65"	"43"	"7"	"10"	"9"	"10"	"11"	"5"	"8"	"6"	"8"	"8"	"46"	"4"	"6"	"715"	""	"715"	""
"115"	"79"	"20"	"109"	"16"	"5"	"93"	"4"	"6"	"6"	"1"	"16"	"2"	"4"	"4"	"8"	"8"	"99"	"20"	"106"	"8"	"13"	"548"	""	"548"	""
"116"	"80"	"19"	"72"	"16"	"10"	"11"	"21"	"2"	"0"	"2"	"1"	"2"	"4"	"0"	"3"	"7"	"3"	"9"	"201"	"11"	"10"	"404"	""	"404"	""
"117"	"81"	"24"	"331"	"6"	"19"	"36"	"5"	"16"	"4"	"2"	"2"	"6"	"5"	"0"	"3"	"11"	"40"	"16"	"40"	"6"	"10"	"582"	""	"582"	""
"118"	"Total -6"	"266"	"1831"	"111"	"160"	"793"	"256"	"269"	"74"	"67"	"1524"	"80"	"66"	"31"	"48"	"133"	"1540"	"187"	"609"	"52"	"87"	"8184"	"0"	"8184"	"0"
"119"	""	""	""	""	""	""	"261312+83=261395
39-Phulparas"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"121"	""	"Anita Yadav"	"Guljar Devi"	"Gauri Shankar Yadav"	"Vikram Shila Devi"	"Virendra Kumar Chaudhary"	"Hitendra Narayan Thakur"	"Upendra Kumar Yadav"	"Md. Ainul"	"Chandra Shekhar Suman"	"Ram Kumar Yadav"	"Laleshwar Prasad Singh"	"Shekharjee Mishra"	"Ganga Prasad Yadav"	"Deo Nath Deon"	"Babue Lal Yadav"	"Bharat Bhushan Mandal"	"Mrityunjay Yadav"	"Ram Narayan Mandal"	"Vijay Kumar Jha"	"Satya Narayan Agrawal"	""	""	""	""
"122"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
