"Sl..No."	"No..of.Polling.Station"	"No..of.Valid.votes.cast..in..favour..of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"Total.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tender.ed.votes"
"31"	"29"	"29"	"18"	"79"	"2"	"55"	"15"	"4"	"318"	"2"	"4"	"3"	"2"	"10"	"512"	"0"	"512"	""
"32"	"30"	"30"	"171"	"42"	"9"	"145"	"13"	"7"	"92"	"6"	"3"	"3"	"3"	"12"	"506"	"0"	"506"	""
"33"	"31"	"31"	"58"	"97"	"4"	"59"	"6"	"5"	"248"	"4"	"2"	"0"	"2"	"3"	"488"	"0"	"488"	""
"34"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tender ed
votes"
"35"	""	""	"AKHILES H PRASAD SINGH"	"ARVIND KUMAR GUPTA"	"GAGAND EO YADAV"	"RADHA MOHAN SINGH"	"RAM CHANDR A PRASAD"	"UMESH KUMAR SINGH"	"NAGEND RA SAHANI"	"SURESH KUMAR RAJAK"	"SURES H KUMAR RAI"	"JHAGA RU MAHAT O"	"PARAS NATH PANDE Y"	"MD. MURTU JA ANSARI"	""	""	""	""
"36"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"17"	"18"	"19"	"20"
"37"	"32"	"32"	"64"	"137"	"10"	"206"	"18"	"4"	"7"	"5"	"3"	"1"	"1"	"6"	"462"	"0"	"462"	""
"38"	"33"	"33"	"94"	"10"	"3"	"210"	"21"	"4"	"7"	"1"	"11"	"1"	"2"	"9"	"373"	"0"	"373"	""
"39"	"34"	"34"	"42"	"15"	"0"	"345"	"9"	"3"	"33"	"1"	"2"	"0"	"0"	"0"	"450"	"0"	"450"	""
"40"	"35"	"35"	"53"	"54"	"5"	"34"	"4"	"4"	"254"	"3"	"2"	"2"	"2"	"10"	"427"	"0"	"427"	""
"41"	"36"	"36"	"215"	"9"	"6"	"99"	"5"	"4"	"45"	"1"	"1"	"0"	"1"	"3"	"389"	"0"	"389"	""
"42"	"37"	"37"	"110"	"8"	"2"	"99"	"3"	"3"	"175"	"3"	"1"	"2"	"3"	"7"	"416"	"0"	"416"	""
"43"	"38"	"38"	"109"	"24"	"2"	"453"	"6"	"2"	"11"	"2"	"1"	"2"	"3"	"9"	"624"	"0"	"624"	""
"44"	"39"	"39"	"220"	"15"	"6"	"46"	"1"	"3"	"0"	"2"	"1"	"0"	"4"	"5"	"303"	"0"	"303"	""
"45"	"40"	"40"	"150"	"12"	"6"	"110"	"10"	"5"	"39"	"1"	"4"	"0"	"1"	"4"	"342"	"0"	"342"	""
"46"	"41"	"41"	"293"	"15"	"9"	"146"	"12"	"5"	"77"	"4"	"3"	"6"	"2"	"15"	"587"	"0"	"587"	""
"47"	"42"	"42"	"28"	"3"	"12"	"319"	"1"	"5"	"24"	"1"	"0"	"1"	"0"	"0"	"394"	"0"	"394"	""
"48"	"43"	"43"	"85"	"51"	"18"	"262"	"15"	"9"	"16"	"0"	"1"	"3"	"2"	"10"	"472"	"0"	"472"	""
"49"	"44"	"44"	"42"	"18"	"6"	"152"	"11"	"5"	"50"	"0"	"0"	"0"	"0"	"0"	"284"	"0"	"284"	""
"50"	"45"	"45"	"62"	"13"	"3"	"123"	"13"	"3"	"128"	"4"	"2"	"0"	"0"	"7"	"358"	"0"	"358"	""
"51"	"46"	"46"	"10"	"21"	"1"	"74"	"4"	"1"	"332"	"1"	"2"	"2"	"3"	"4"	"455"	"0"	"455"	""
"52"	"47"	"47"	"27"	"28"	"3"	"255"	"10"	"5"	"48"	"1"	"2"	"0"	"1"	"2"	"382"	"0"	"382"	""
"53"	"48"	"48"	"126"	"91"	"11"	"79"	"15"	"4"	"81"	"3"	"1"	"5"	"1"	"13"	"430"	"0"	"430"	""
"54"	"49"	"49"	"58"	"52"	"101"	"138"	"19"	"12"	"72"	"2"	"5"	"4"	"2"	"3"	"468"	"0"	"468"	""
"55"	"50"	"50"	"163"	"12"	"25"	"98"	"1"	"0"	"57"	"3"	"0"	"0"	"3"	"6"	"368"	"0"	"368"	""
"56"	"51"	"51"	"201"	"42"	"46"	"54"	"5"	"6"	"13"	"1"	"3"	"1"	"3"	"7"	"382"	"0"	"382"	""
"57"	"52"	"52"	"207"	"16"	"2"	"163"	"11"	"1"	"158"	"2"	"1"	"1"	"0"	"1"	"563"	"0"	"563"	""
"58"	"53"	"53"	"19"	"16"	"0"	"147"	"5"	"0"	"12"	"0"	"1"	"0"	"0"	"0"	"200"	"0"	"200"	""
"59"	"54"	"54"	"4"	"9"	"3"	"61"	"2"	"0"	"74"	"1"	"0"	"1"	"0"	"2"	"157"	"0"	"157"	""
"60"	"55"	"55"	"338"	"47"	"8"	"132"	"6"	"3"	"63"	"2"	"4"	"3"	"2"	"8"	"616"	"0"	"616"	""
"61"	"56"	"56"	"137"	"96"	"5"	"206"	"8"	"7"	"62"	"2"	"1"	"1"	"4"	"7"	"536"	"0"	"536"	""
"62"	"57"	"57"	"88"	"39"	"13"	"177"	"7"	"7"	"142"	"9"	"6"	"5"	"2"	"8"	"503"	"0"	"503"	""
"63"	"58"	"58"	"125"	"20"	"1"	"206"	"7"	"5"	"26"	"3"	"1"	"0"	"1"	"11"	"406"	"0"	"406"	""
"64"	"59"	"59"	"95"	"25"	"2"	"219"	"17"	"4"	"115"	"3"	"7"	"2"	"3"	"7"	"499"	"0"	"499"	""
"65"	"60"	"60"	"159"	"88"	"5"	"138"	"11"	"4"	"12"	"1"	"0"	"1"	"0"	"0"	"419"	"0"	"419"	""
"66"	"61"	"61"	"52"	"21"	"9"	"96"	"6"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"185"	"0"	"185"	""
"67"	"62"	"62"	"60"	"5"	"5"	"61"	"2"	"2"	"7"	"1"	"0"	"1"	"0"	"5"	"149"	"0"	"149"	""
"68"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tender ed
votes"
"69"	""	""	"AKHILES H PRASAD SINGH"	"ARVIND KUMAR GUPTA"	"GAGAND EO YADAV"	"RADHA MOHAN SINGH"	"RAM CHANDR A PRASAD"	"UMESH KUMAR SINGH"	"NAGEND RA SAHANI"	"SURESH KUMAR RAJAK"	"SURES H KUMAR RAI"	"JHAGA RU MAHAT O"	"PARAS NATH PANDE Y"	"MD. MURTU JA ANSARI"	""	""	""	""
"70"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"17"	"18"	"19"	"20"
"71"	"63"	"63"	"141"	"142"	"7"	"161"	"12"	"1"	"0"	"1"	"8"	"2"	"4"	"21"	"500"	"0"	"500"	""
"72"	"64"	"64"	"81"	"10"	"7"	"152"	"9"	"4"	"46"	"1"	"4"	"8"	"6"	"17"	"345"	"0"	"345"	""
"73"	"65"	"65"	"329"	"71"	"12"	"166"	"13"	"10"	"15"	"3"	"4"	"1"	"1"	"10"	"635"	"0"	"635"	""
"74"	"66"	"66"	"113"	"57"	"12"	"122"	"9"	"4"	"2"	"5"	"8"	"4"	"2"	"4"	"342"	"0"	"342"	""
"75"	"67"	"67"	"180"	"72"	"6"	"73"	"9"	"4"	"0"	"0"	"1"	"3"	"0"	"5"	"353"	"0"	"353"	""
"76"	"68"	"68"	"163"	"53"	"6"	"156"	"10"	"5"	"4"	"1"	"5"	"1"	"2"	"10"	"416"	"0"	"416"	""
"77"	"69"	"69"	"108"	"32"	"3"	"148"	"17"	"5"	"5"	"1"	"1"	"1"	"2"	"6"	"329"	"0"	"329"	""
"78"	"70"	"70"	"103"	"23"	"5"	"66"	"2"	"2"	"1"	"2"	"0"	"1"	"1"	"4"	"210"	"0"	"210"	""
"79"	"71"	"71"	"123"	"66"	"5"	"71"	"7"	"3"	"0"	"0"	"0"	"4"	"2"	"15"	"296"	"0"	"296"	""
"80"	"72"	"72"	"63"	"75"	"5"	"206"	"18"	"2"	"1"	"4"	"4"	"0"	"2"	"2"	"382"	"0"	"382"	""
"81"	"73"	"73"	"125"	"200"	"5"	"82"	"13"	"3"	"58"	"3"	"6"	"5"	"14"	"30"	"544"	"0"	"544"	""
"82"	"74"	"74"	"70"	"127"	"2"	"160"	"14"	"7"	"8"	"2"	"4"	"4"	"4"	"7"	"409"	"0"	"409"	""
"83"	"75"	"75"	"59"	"66"	"3"	"74"	"10"	"6"	"196"	"2"	"0"	"0"	"0"	"2"	"418"	"0"	"418"	""
"84"	"76"	"76"	"54"	"117"	"7"	"147"	"11"	"13"	"6"	"1"	"3"	"2"	"3"	"10"	"374"	"0"	"374"	""
"85"	"77"	"77"	"60"	"11"	"4"	"180"	"7"	"4"	"72"	"0"	"1"	"2"	"0"	"5"	"346"	"0"	"346"	""
"86"	"78"	"78"	"130"	"39"	"4"	"60"	"4"	"1"	"13"	"0"	"5"	"0"	"3"	"6"	"265"	"0"	"265"	""
"87"	"79"	"79"	"75"	"100"	"6"	"124"	"15"	"3"	"4"	"1"	"2"	"1"	"1"	"1"	"333"	"0"	"333"	""
"88"	"80"	"80"	"118"	"17"	"2"	"124"	"9"	"4"	"8"	"0"	"1"	"1"	"1"	"2"	"287"	"0"	"287"	""
"89"	"81"	"81"	"70"	"64"	"6"	"145"	"2"	"2"	"16"	"1"	"1"	"0"	"1"	"2"	"310"	"0"	"310"	""
"90"	"82"	"82"	"81"	"22"	"6"	"273"	"16"	"9"	"3"	"3"	"4"	"3"	"12"	"11"	"443"	"0"	"443"	""
"91"	"83"	"83"	"220"	"93"	"3"	"6"	"5"	"3"	"19"	"1"	"0"	"1"	"3"	"7"	"361"	"0"	"361"	""
"92"	"84"	"84"	"119"	"202"	"15"	"79"	"18"	"11"	"2"	"9"	"6"	"11"	"11"	"23"	"506"	"0"	"506"	""
"93"	"85"	"85"	"52"	"49"	"54"	"221"	"14"	"6"	"4"	"4"	"6"	"4"	"1"	"7"	"422"	"0"	"422"	""
"94"	"86"	"86"	"125"	"91"	"2"	"91"	"6"	"3"	"1"	"1"	"1"	"5"	"5"	"19"	"350"	"0"	"350"	""
"95"	"87"	"87"	"49"	"38"	"1"	"81"	"4"	"5"	"191"	"6"	"1"	"0"	"0"	"5"	"381"	"0"	"381"	""
"96"	"88"	"88"	"179"	"17"	"1"	"12"	"0"	"1"	"18"	"0"	"0"	"0"	"0"	"0"	"228"	"0"	"228"	""
"97"	"89"	"89"	"680"	"8"	"1"	"7"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"3"	"701"	"0"	"701"	""
"98"	"90"	"90"	"188"	"55"	"5"	"69"	"3"	"3"	"8"	"0"	"1"	"2"	"0"	"7"	"341"	"0"	"341"	""
"99"	"91"	"91"	"68"	"18"	"2"	"105"	"4"	"1"	"20"	"1"	"2"	"0"	"0"	"2"	"223"	"0"	"223"	""
"100"	"92"	"92"	"58"	"185"	"5"	"57"	"3"	"2"	"77"	"0"	"0"	"1"	"4"	"3"	"395"	"0"	"395"	""
"101"	"93"	"93"	"48"	"146"	"7"	"152"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"357"	"0"	"357"	""
"102"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tender ed
votes"
"103"	""	""	"AKHILES H PRASAD SINGH"	"ARVIND KUMAR GUPTA"	"GAGAND EO YADAV"	"RADHA MOHAN SINGH"	"RAM CHANDR A PRASAD"	"UMESH KUMAR SINGH"	"NAGEND RA SAHANI"	"SURESH KUMAR RAJAK"	"SURES H KUMAR RAI"	"JHAGA RU MAHAT O"	"PARAS NATH PANDE Y"	"MD. MURTU JA ANSARI"	""	""	""	""
"104"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"17"	"18"	"19"	"20"
"105"	"94"	"94"	"67"	"74"	"15"	"130"	"9"	"5"	"88"	"3"	"5"	"0"	"1"	"11"	"408"	"0"	"408"	""
"106"	"95"	"95"	"137"	"149"	"6"	"107"	"11"	"7"	"160"	"1"	"0"	"0"	"0"	"8"	"586"	"0"	"586"	""
"107"	"96"	"96"	"58"	"119"	"3"	"126"	"3"	"6"	"178"	"2"	"6"	"0"	"6"	"8"	"515"	"0"	"515"	""
"108"	"97"	"97"	"50"	"111"	"3"	"93"	"8"	"7"	"217"	"7"	"3"	"1"	"3"	"9"	"512"	"0"	"512"	""
"109"	"98"	"98"	"18"	"19"	"2"	"783"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"826"	"0"	"826"	""
"110"	"99"	"99"	"45"	"15"	"20"	"92"	"7"	"4"	"1"	"0"	"0"	"2"	"1"	"4"	"191"	"0"	"191"	""
"111"	"100"	"100"	"115"	"39"	"7"	"96"	"8"	"8"	"1"	"1"	"7"	"2"	"2"	"18"	"304"	"0"	"304"	""
"112"	"101"	"101"	"103"	"234"	"7"	"132"	"25"	"8"	"82"	"4"	"3"	"8"	"6"	"16"	"628"	"0"	"628"	""
"113"	"102"	"102"	"19"	"165"	"5"	"55"	"8"	"1"	"14"	"0"	"0"	"3"	"1"	"2"	"273"	"0"	"273"	""
"114"	"103"	"103"	"7"	"81"	"3"	"82"	"5"	"3"	"12"	"1"	"2"	"0"	"3"	"3"	"202"	"0"	"202"	""
"115"	"104"	"104"	"307"	"168"	"7"	"30"	"9"	"1"	"2"	"2"	"1"	"3"	"2"	"10"	"542"	"0"	"542"	""
"116"	"105"	"105"	"14"	"25"	"1"	"364"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"407"	"0"	"407"	""
"117"	"106"	"106"	"29"	"24"	"2"	"421"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"481"	"0"	"481"	""
"118"	"107"	"107"	"401"	"18"	"5"	"240"	"22"	"8"	"97"	"2"	"3"	"1"	"1"	"5"	"803"	"0"	"803"	""
"119"	"108"	"108"	"323"	"12"	"36"	"57"	"3"	"3"	"133"	"0"	"1"	"2"	"0"	"4"	"574"	"0"	"574"	""
"120"	"109"	"109"	"132"	"18"	"90"	"236"	"26"	"16"	"104"	"5"	"6"	"3"	"4"	"8"	"648"	"0"	"648"	""
"121"	"110"	"110"	"39"	"20"	"71"	"175"	"16"	"3"	"102"	"1"	"4"	"1"	"6"	"9"	"447"	"0"	"447"	""
"122"	"111"	"111"	"40"	"8"	"0"	"216"	"11"	"11"	"83"	"5"	"4"	"1"	"5"	"11"	"395"	"0"	"395"	""
"123"	"112"	"112"	"203"	"129"	"12"	"190"	"26"	"16"	"4"	"3"	"4"	"3"	"5"	"23"	"618"	"0"	"618"	""
"124"	"113"	"113"	"85"	"161"	"4"	"272"	"27"	"6"	"22"	"3"	"8"	"5"	"7"	"16"	"616"	"0"	"616"	""
"125"	"114"	"114"	"100"	"28"	"3"	"87"	"22"	"4"	"169"	"0"	"6"	"0"	"2"	"14"	"435"	"0"	"435"	""
"126"	"115"	"115"	"395"	"25"	"4"	"66"	"9"	"5"	"127"	"1"	"0"	"2"	"3"	"6"	"643"	"0"	"643"	""
"127"	"116"	"116"	"195"	"49"	"8"	"86"	"5"	"2"	"1"	"1"	"2"	"5"	"0"	"14"	"368"	"0"	"368"	""
"128"	"117"	"117"	"61"	"18"	"1"	"217"	"8"	"0"	"35"	"2"	"0"	"0"	"0"	"3"	"345"	"0"	"345"	""
"129"	"118"	"118"	"142"	"13"	"4"	"45"	"12"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"218"	"0"	"218"	""
"130"	"119"	"119"	"69"	"7"	"2"	"35"	"5"	"4"	"71"	"1"	"1"	"0"	"1"	"6"	"202"	"0"	"202"	""
"131"	"120"	"120"	"213"	"20"	"1"	"86"	"48"	"1"	"8"	"2"	"2"	"0"	"2"	"2"	"385"	"0"	"385"	""
"132"	"121"	"121"	"59"	"79"	"7"	"91"	"26"	"7"	"25"	"1"	"1"	"1"	"5"	"10"	"312"	"0"	"312"	""
"133"	"122"	"122"	"201"	"39"	"3"	"114"	"41"	"6"	"4"	"2"	"3"	"2"	"5"	"8"	"428"	"0"	"428"	""
"134"	"123"	"123"	"74"	"9"	"5"	"199"	"25"	"4"	"2"	"3"	"11"	"4"	"3"	"13"	"352"	"0"	"352"	""
"135"	"124"	"124"	"96"	"9"	"5"	"227"	"17"	"5"	"10"	"0"	"9"	"3"	"10"	"46"	"437"	"0"	"437"	""
"136"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tender ed
votes"
"137"	""	""	"AKHILES H PRASAD SINGH"	"ARVIND KUMAR GUPTA"	"GAGAND EO YADAV"	"RADHA MOHAN SINGH"	"RAM CHANDR A PRASAD"	"UMESH KUMAR SINGH"	"NAGEND RA SAHANI"	"SURESH KUMAR RAJAK"	"SURES H KUMAR RAI"	"JHAGA RU MAHAT O"	"PARAS NATH PANDE Y"	"MD. MURTU JA ANSARI"	""	""	""	""
"138"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"17"	"18"	"19"	"20"
"139"	"125"	"125"	"168"	"9"	"9"	"365"	"27"	"13"	"4"	"2"	"19"	"6"	"7"	"39"	"668"	"0"	"668"	""
"140"	"126"	"126"	"155"	"14"	"6"	"389"	"21"	"13"	"3"	"4"	"7"	"2"	"7"	"22"	"643"	"0"	"643"	""
"141"	"127"	"127"	"99"	"7"	"26"	"137"	"19"	"9"	"95"	"4"	"3"	"1"	"1"	"3"	"404"	"0"	"404"	""
"142"	"128"	"128"	"23"	"19"	"24"	"154"	"17"	"6"	"135"	"6"	"5"	"0"	"0"	"6"	"395"	"0"	"395"	""
"143"	"129"	"129"	"131"	"21"	"2"	"214"	"9"	"2"	"15"	"0"	"2"	"1"	"4"	"6"	"407"	"0"	"407"	""
"144"	"130"	"130"	"32"	"25"	"28"	"59"	"15"	"3"	"127"	"3"	"2"	"1"	"0"	"0"	"295"	"0"	"295"	""
"145"	"131"	"131"	"16"	"70"	"1"	"142"	"13"	"1"	"40"	"0"	"1"	"1"	"1"	"22"	"308"	"0"	"308"	""
"146"	"132"	"132"	"218"	"15"	"7"	"138"	"9"	"7"	"33"	"2"	"2"	"4"	"0"	"5"	"440"	"0"	"440"	""
"147"	"133"	"133"	"184"	"56"	"6"	"310"	"26"	"19"	"75"	"6"	"6"	"3"	"10"	"18"	"719"	"0"	"719"	""
"148"	"134"	"134"	"53"	"11"	"3"	"172"	"10"	"7"	"222"	"5"	"7"	"2"	"3"	"9"	"504"	"0"	"504"	""
"149"	"135"	"135"	"129"	"40"	"7"	"329"	"20"	"17"	"18"	"4"	"8"	"7"	"3"	"14"	"596"	"0"	"596"	""
"150"	"136"	"136"	"44"	"38"	"6"	"440"	"12"	"7"	"63"	"2"	"3"	"2"	"1"	"8"	"626"	"0"	"626"	""
"151"	"137"	"137"	"42"	"21"	"7"	"177"	"10"	"5"	"281"	"0"	"1"	"0"	"2"	"5"	"551"	"0"	"551"	""
"152"	"138"	"138"	"229"	"16"	"4"	"166"	"7"	"6"	"8"	"3"	"1"	"2"	"3"	"10"	"455"	"0"	"455"	""
"153"	"139"	"139"	"175"	"52"	"13"	"159"	"15"	"7"	"4"	"4"	"4"	"5"	"3"	"7"	"448"	"0"	"448"	""
"154"	"140"	"140"	"49"	"27"	"0"	"246"	"4"	"1"	"7"	"0"	"1"	"1"	"0"	"1"	"337"	"0"	"337"	""
"155"	"141"	"141"	"39"	"51"	"2"	"174"	"4"	"2"	"4"	"0"	"0"	"0"	"1"	"1"	"278"	"0"	"278"	""
"156"	"142"	"142"	"118"	"8"	"5"	"327"	"21"	"10"	"1"	"3"	"7"	"4"	"1"	"14"	"519"	"0"	"519"	""
"157"	"143"	"143"	"119"	"54"	"34"	"352"	"18"	"15"	"15"	"3"	"11"	"4"	"5"	"23"	"653"	"0"	"653"	""
"158"	"144"	"144"	"10"	"30"	"3"	"108"	"3"	"1"	"3"	"0"	"0"	"1"	"0"	"0"	"159"	"0"	"159"	""
"159"	"145"	"145"	"84"	"51"	"9"	"342"	"13"	"4"	"15"	"3"	"4"	"2"	"5"	"21"	"553"	"0"	"553"	""
"160"	"146"	"146"	"149"	"39"	"25"	"317"	"14"	"9"	"28"	"2"	"5"	"4"	"5"	"10"	"607"	"0"	"607"	""
"161"	"147"	"147"	"158"	"108"	"14"	"87"	"41"	"4"	"1"	"2"	"2"	"1"	"2"	"9"	"429"	"0"	"429"	""
"162"	"148"	"148"	"185"	"87"	"5"	"59"	"7"	"6"	"24"	"2"	"3"	"1"	"4"	"10"	"393"	"0"	"393"	""
"163"	"149"	"149"	"79"	"87"	"3"	"48"	"5"	"1"	"42"	"0"	"0"	"1"	"1"	"4"	"271"	"0"	"271"	""
"164"	"150"	"150"	"67"	"76"	"3"	"330"	"17"	"4"	"54"	"3"	"7"	"0"	"3"	"6"	"570"	"0"	"570"	""
"165"	"151"	"151"	"118"	"192"	"8"	"102"	"18"	"6"	"13"	"1"	"2"	"0"	"2"	"8"	"470"	"0"	"470"	""
"166"	"152"	"152"	"152"	"46"	"6"	"128"	"7"	"10"	"19"	"2"	"2"	"1"	"3"	"3"	"379"	"0"	"379"	""
"167"	"153"	"153"	"169"	"18"	"5"	"287"	"17"	"4"	"1"	"2"	"1"	"2"	"1"	"2"	"509"	"0"	"509"	""
"168"	"154"	"154"	"94"	"68"	"3"	"121"	"6"	"5"	"1"	"0"	"1"	"1"	"2"	"2"	"304"	"0"	"304"	""
"169"	"155"	"155"	"152"	"235"	"7"	"122"	"8"	"2"	"20"	"1"	"1"	"1"	"1"	"5"	"555"	"0"	"555"	""
"170"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tender ed
votes"
"171"	""	""	"AKHILES H PRASAD SINGH"	"ARVIND KUMAR GUPTA"	"GAGAND EO YADAV"	"RADHA MOHAN SINGH"	"RAM CHANDR A PRASAD"	"UMESH KUMAR SINGH"	"NAGEND RA SAHANI"	"SURESH KUMAR RAJAK"	"SURES H KUMAR RAI"	"JHAGA RU MAHAT O"	"PARAS NATH PANDE Y"	"MD. MURTU JA ANSARI"	""	""	""	""
