"Name.of.Candidate"	"Dr..Arun.Kumar"	"Jagdish.Sharma"	"Ramadhar.Sharma"	"Surendra.Prasad.Yadav"	"Ayasha.Khatun"	"Prof..Jai.Ram.Prasad.Singh"	"Tara.Gupta"	"Mahanand.Prasad"	"X."	"Ramasray.Prasad.Singh"	"Md..Shahabubin.Jahan"	"Shravan.kumar"	"Sadhu.Sinha"	"Syed.Akber.Imam"	"Ajay.Kumar.Verma"	"Abhay.Kumar.Anil"	"Dr..Arbind.Kumar"	"Arvind.Prasad.Singh"	"Upendra.Prasad"	"Jagdish.Yadav"	"Prikshit.Singh"	"Prabhat.Kumar.Ranjan"	"Ranjit.Sharma"	"Rakeshwar.Kishor"	"Siya.Ram.Prasad"	"Sumirak.Singh"	"Total.Valid.Votes"	"No..of.Reject.ed.votes"	"Total"	"No..of.tender.ed.votes"
"34"	"27"	43	108	1	22	1	2	1	51	""	1	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	234	NA	234	NA
"35"	"28"	42	43	6	186	7	3	1	20	""	0	0	3	3	4	1	2	6	0	0	0	0	0	0	0	0	1	328	NA	328	NA
"36"	""	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"37"	"Total"	310	1104	336	3725	37	24	12	300	""	17	2	9	15	204	26	174	118	25	11	14	12	35	7	4	3	10	6534	NA	6534	NA
"38"	"Round 3"	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"39"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	"Mahanand Prasad"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"40"	"Booth No."	1	2	3	4	5	6	7	NA	"8"	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"41"	"29"	29	185	14	145	5	1	3	NA	"64"	1	0	0	1	2	1	0	11	0	4	0	0	0	0	0	0	2	468	NA	468	NA
"42"	"30"	41	219	3	103	1	2	5	NA	"15"	3	2	0	0	2	2	3	19	6	4	7	4	0	3	2	3	8	457	NA	457	NA
"43"	"31"	4	266	5	42	1	0	1	NA	"0"	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	322	NA	322	NA
"44"	"32"	6	306	4	22	1	4	1	NA	"14"	0	0	0	0	0	2	0	18	1	0	1	0	0	0	0	0	0	380	NA	380	NA
"45"	"33"	72	229	11	48	0	4	1	NA	"11"	2	2	0	0	2	4	0	5	4	1	0	0	1	0	0	1	0	398	NA	398	NA
"46"	"34"	42	342	4	92	2	4	0	NA	"29"	1	0	1	0	1	1	0	6	0	0	0	0	0	0	0	0	0	525	NA	525	NA
"47"	"35"	56	462	7	57	6	6	0	NA	"9"	1	2	1	0	0	1	5	8	0	1	2	0	1	0	1	0	4	630	NA	630	NA
"48"	"36"	20	193	4	150	4	4	4	NA	"34"	0	2	0	0	1	4	1	6	2	0	0	1	1	1	0	1	0	433	NA	433	NA
"49"	"37"	18	111	20	755	4	0	1	NA	"5"	0	0	1	1	0	0	1	8	1	0	0	0	0	0	0	0	0	926	NA	926	NA
"50"	"38"	0	17	1	298	2	1	0	NA	"2"	0	0	0	0	0	0	1	5	1	1	0	2	0	1	0	0	0	332	NA	332	NA
"51"	"39"	13	302	30	54	3	6	2	NA	"113"	8	1	1	0	0	4	3	15	0	2	0	0	3	1	0	0	0	561	NA	561	NA
"52"	"40"	0	3	0	408	0	1	0	NA	"9"	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	431	NA	431	NA
"53"	"41"	16	151	19	198	7	6	4	NA	"20"	3	1	0	3	1	1	1	1	4	1	2	2	3	0	0	0	3	447	NA	447	NA
"54"	"42"	63	94	13	98	2	7	1	NA	"36"	0	1	1	0	0	1	0	11	4	5	2	4	1	0	2	1	1	348	NA	348	NA
"55"	""	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"56"	"Total"	380	2880	135	2470	38	46	23	NA	"361"	19	12	5	5	9	21	15	124	23	20	14	13	10	6	5	6	18	6658	NA	6658	NA
"57"	"Round 4"	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"58"	"43"	95	166	76	64	4	4	1	NA	"22"	0	1	0	2	2	4	1	3	2	2	3	0	1	1	1	0	0	455	NA	455	NA
"59"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	"Mahanand Prasad"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"60"	"Booth No."	1	2	3	4	5	6	7	NA	"8"	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"61"	"44"	95	197	1	99	7	0	1	NA	"19"	1	1	3	1	0	2	4	6	0	0	0	0	0	0	0	0	0	437	NA	437	NA
"62"	"45"	21	249	2	102	6	4	1	NA	"32"	0	0	0	0	3	1	2	5	1	0	2	0	0	0	0	0	0	431	NA	431	NA
"63"	"46"	32	97	20	177	3	3	0	NA	"5"	0	0	1	1	1	1	2	6	3	4	1	0	1	0	0	0	0	358	NA	358	NA
"64"	"47"	77	178	12	27	1	4	0	NA	"12"	1	0	0	2	3	1	4	14	3	0	1	0	0	1	1	1	0	343	NA	343	NA
"65"	"48"	12	436	1	14	0	0	0	NA	"27"	0	0	0	0	0	1	0	1	0	7	2	0	0	0	0	0	1	502	NA	502	NA
"66"	"49"	8	436	3	37	2	2	0	NA	"12"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	501	NA	501	NA
"67"	"50"	25	365	7	93	0	6	2	NA	"72"	2	1	0	0	2	0	0	12	0	0	0	0	2	0	0	0	1	590	NA	590	NA
"68"	"51"	12	409	45	34	1	2	0	NA	"41"	0	0	1	0	0	2	1	6	3	1	2	1	0	1	0	0	1	563	NA	563	NA
"69"	"52"	8	310	0	26	0	5	3	NA	"18"	1	1	2	0	3	5	1	15	0	0	3	0	2	0	0	0	0	403	NA	403	NA
"70"	"53"	22	271	7	67	2	2	1	NA	"52"	3	1	1	0	1	2	1	13	3	4	3	1	1	0	2	3	2	465	NA	465	NA
"71"	"54"	58	72	1	130	3	0	7	NA	"27"	0	0	1	0	0	9	2	16	6	3	6	1	0	0	0	1	2	345	NA	345	NA
"72"	"55"	40	153	2	45	1	10	1	NA	"11"	3	2	0	2	0	4	3	38	3	4	2	0	0	0	0	0	2	326	NA	326	NA
"73"	"56"	16	19	3	36	0	1	2	NA	"507"	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	589	NA	589	NA
"74"	""	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"75"	"Total"	521	3358	180	951	30	43	19	NA	"857"	15	7	9	8	15	32	21	137	24	25	25	3	7	3	4	5	9	6308	NA	6308	NA
"76"	"Round 5"	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"77"	"57"	5	28	4	440	1	0	0	NA	"3"	0	0	0	0	0	1	0	2	1	1	0	0	0	0	0	0	0	486	NA	486	NA
"78"	"58"	13	124	5	313	3	3	1	NA	"39"	2	0	1	1	1	4	3	11	0	0	0	0	0	0	0	0	0	524	NA	524	NA
"79"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	"Mahanand Prasad"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"80"	"Booth No."	1	2	3	4	5	6	7	NA	"8"	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"81"	"59"	35	134	44	195	4	3	1	NA	"121"	2	0	0	1	0	3	1	6	3	2	1	0	0	1	0	1	0	558	NA	558	NA
"82"	"60"	11	50	2	186	1	2	0	NA	"41"	2	0	0	0	0	1	0	3	1	1	0	0	1	0	0	2	0	304	NA	304	NA
"83"	"61"	15	135	0	127	8	1	0	NA	"78"	2	0	1	0	0	3	0	1	2	0	1	0	1	2	0	1	0	378	NA	378	NA
"84"	"62"	22	25	2	25	1	0	0	NA	"9"	0	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	1	91	NA	91	NA
"85"	"63"	12	52	22	18	1	3	2	NA	"170"	8	1	0	2	0	3	1	2	3	2	1	4	1	1	0	3	7	319	NA	319	NA
"86"	"64"	23	67	12	40	1	0	1	NA	"33"	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	180	NA	180	NA
"87"	"65"	171	151	5	48	3	2	0	NA	"55"	0	1	0	3	1	3	3	14	7	0	1	4	2	2	0	1	0	477	NA	477	NA
"88"	"66"	121	42	6	12	1	2	1	NA	"65"	2	1	0	0	0	0	0	12	2	0	0	1	0	0	0	0	0	268	NA	268	NA
"89"	"67"	28	131	1	43	2	2	3	NA	"77"	5	1	1	0	0	0	0	7	1	0	1	1	0	0	1	0	0	305	NA	305	NA
"90"	"68"	9	77	0	300	1	3	1	NA	"6"	0	1	0	2	2	0	1	0	0	2	0	0	0	0	0	0	0	405	NA	405	NA
"91"	"69"	24	6	6	560	2	0	0	NA	"1"	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	602	NA	602	NA
"92"	"70"	12	35	317	21	0	0	0	NA	"3"	0	0	0	2	0	1	1	4	1	0	1	1	0	0	0	0	0	399	NA	399	NA
"93"	""	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"94"	"Total"	501	1057	426	2328	29	21	10	NA	"701"	24	5	4	11	5	20	10	64	22	9	6	11	9	6	1	8	8	5296	NA	5296	NA
"95"	"Round 6"	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"96"	"71"	2	39	3	273	2	2	1	NA	"15"	0	1	0	0	0	0	0	4	1	1	0	1	0	0	0	1	0	346	NA	346	NA
"97"	"72"	32	123	16	33	1	2	2	NA	"78"	1	1	0	0	0	0	3	18	2	0	0	0	1	0	1	0	2	316	NA	316	NA
"98"	"73"	43	120	1	99	2	1	1	NA	"56"	0	1	1	0	1	2	2	8	1	0	2	1	0	0	0	1	2	345	NA	345	NA
"99"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	"Mahanand Prasad"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"100"	"Booth No."	1	2	3	4	5	6	7	NA	"8"	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"101"	"74"	13	112	11	117	1	2	0	NA	"93"	6	0	0	2	1	2	1	5	1	1	0	1	0	0	1	1	1	372	NA	372	NA
"102"	"75"	27	79	3	53	2	0	3	NA	"68"	3	1	0	0	2	1	0	12	1	1	1	1	0	1	0	0	2	261	NA	261	NA
"103"	"76"	8	153	27	30	4	3	8	NA	"103"	4	2	2	1	4	4	2	18	3	2	4	0	1	0	0	3	2	388	NA	388	NA
"104"	"77"	11	9	7	213	3	0	3	NA	"59"	0	0	0	0	0	0	0	5	14	2	2	5	1	1	1	1	4	341	NA	341	NA
"105"	"78"	10	44	2	68	0	0	3	NA	"208"	4	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	2	344	NA	344	NA
"106"	"79"	33	816	5	33	2	1	0	NA	"89"	1	1	1	0	0	1	2	13	3	1	0	1	1	0	0	1	0	1005	NA	1005	NA
"107"	"80"	0	17	0	82	0	0	2	NA	"308"	1	0	1	1	0	0	1	11	0	0	0	0	0	0	0	0	1	425	NA	425	NA
"108"	"81"	20	147	5	27	1	0	3	NA	"145"	3	2	0	0	0	0	2	2	2	1	1	0	0	1	0	2	4	368	NA	368	NA
"109"	"82"	13	78	3	16	2	3	2	NA	"90"	1	0	0	0	1	0	2	4	1	7	1	0	1	0	1	3	4	233	NA	233	NA
"110"	"83"	40	167	4	30	0	2	7	NA	"156"	3	2	1	3	0	0	1	3	5	0	0	0	0	1	0	0	0	425	NA	425	NA
"111"	"84"	12	59	15	17	2	0	1	NA	"151"	2	2	0	0	0	0	0	8	2	3	2	2	1	0	0	0	0	279	NA	279	NA
"112"	""	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"113"	"Total"	264	1963	102	1091	22	16	36	NA	"1619"	29	13	6	7	9	10	16	112	36	19	14	13	6	4	4	13	24	5448	NA	5448	NA
"114"	"Round 7"	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"115"	"85"	37	317	8	119	3	3	1	NA	"23"	1	0	2	1	1	1	2	7	2	2	1	1	0	25	0	0	1	558	NA	558	NA
"116"	"86"	10	41	25	187	6	1	12	NA	"9"	1	1	1	1	0	1	0	2	5	0	1	1	1	36	2	0	9	353	NA	353	NA
"117"	"87"	154	69	73	69	3	9	0	NA	"55"	2	0	0	0	1	2	0	7	1	0	0	0	0	0	0	1	0	446	NA	446	NA
"118"	"88"	34	260	21	29	4	3	1	NA	"24"	2	1	0	0	1	0	0	4	1	2	6	2	1	2	0	4	1	403	NA	403	NA
"119"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	"Mahanand Prasad"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"120"	"Booth No."	1	2	3	4	5	6	7	NA	"8"	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"121"	"89"	12	160	9	93	6	5	2	NA	"192"	11	4	1	4	1	2	3	17	4	3	3	5	2	1	0	1	8	549	NA	549	NA
"122"	"90"	0	236	0	49	0	0	0	NA	"30"	0	0	0	0	1	3	0	1	0	0	1	1	0	0	0	0	0	322	NA	322	NA
"123"	"91"	4	98	1	195	1	0	3	NA	"11"	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	316	NA	316	NA
"124"	"92"	19	281	3	19	4	6	0	NA	"39"	4	1	0	0	0	2	1	10	1	0	0	2	0	0	0	1	0	393	NA	393	NA
"125"	"93"	12	112	20	234	3	3	0	NA	"45"	1	1	1	1	0	1	0	8	0	2	1	0	0	0	1	1	2	449	NA	449	NA
"126"	"94"	33	185	89	130	1	1	4	NA	"83"	1	1	0	0	1	3	2	6	3	2	1	2	0	0	0	1	1	550	NA	550	NA
"127"	"95"	8	79	7	36	3	1	1	NA	"193"	2	0	0	0	1	1	5	7	0	3	0	1	0	0	1	9	2	360	NA	360	NA
"128"	"96"	32	57	3	86	5	3	1	NA	"76"	3	0	0	0	0	0	0	1	3	0	0	2	1	0	0	1	2	276	NA	276	NA
"129"	"97"	29	170	1	74	2	1	0	NA	"54"	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	340	NA	340	NA
"130"	"98"	30	165	16	1	1	0	2	NA	"84"	2	0	0	1	0	0	1	6	0	1	1	0	1	0	0	0	0	312	NA	312	NA
"131"	""	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"132"	"Total"	414	2230	276	1321	42	36	27	NA	"918"	33	9	5	8	7	16	14	84	20	15	16	17	6	64	4	19	26	5627	NA	5627	NA
"133"	"Round 8"	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"134"	"99"	133	51	19	35	0	4	1	NA	"27"	0	0	1	0	0	2	0	41	0	0	0	2	1	0	0	0	3	320	NA	320	NA
"135"	"100"	59	222	12	75	6	8	2	NA	"90"	1	1	1	1	2	0	1	17	1	1	3	1	2	2	0	1	1	510	NA	510	NA
"136"	"101"	16	110	6	246	6	1	2	NA	"41"	2	0	1	1	0	0	1	9	6	3	11	1	5	1	0	5	5	479	NA	479	NA
"137"	"102"	25	761	3	4	0	0	0	NA	"51"	1	0	0	0	0	2	0	2	1	4	1	0	0	0	1	1	0	857	NA	857	NA
"138"	"103"	31	356	14	70	2	2	0	NA	"140"	2	1	1	1	2	5	4	21	0	2	2	0	1	1	0	0	1	659	NA	659	NA
"139"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	"Mahanand Prasad"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"140"	"Booth No."	1	2	3	4	5	6	7	NA	"8"	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"141"	"104"	18	274	30	68	1	1	0	NA	"88"	1	1	0	1	1	1	1	6	1	4	0	1	0	1	0	1	3	503	NA	503	NA
"142"	"105"	3	7	0	948	3	1	0	NA	"12"	0	0	1	0	1	0	0	7	0	0	0	0	0	0	0	0	0	983	NA	983	NA
"143"	"106"	49	246	2	78	1	0	0	NA	"12"	0	0	0	0	1	0	0	14	0	0	0	0	0	0	0	0	0	403	NA	403	NA
"144"	"107"	12	57	8	93	3	3	2	NA	"51"	2	2	2	1	1	2	0	11	9	2	2	2	2	2	3	0	0	272	NA	272	NA
"145"	"108"	23	126	19	86	3	3	2	NA	"152"	7	3	2	2	2	3	1	17	9	4	2	4	1	0	1	4	3	479	NA	479	NA
"146"	"109"	11	215	5	28	0	2	3	NA	"172"	3	2	1	1	0	1	0	3	2	1	0	0	2	0	0	1	0	453	NA	453	NA
"147"	"110"	11	709	1	2	0	0	0	NA	"0"	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	727	NA	727	NA
"148"	"111"	51	436	103	57	3	0	1	NA	"4"	0	2	0	1	3	1	2	7	2	1	1	1	1	0	0	1	3	681	NA	681	NA
"149"	"112"	12	120	6	122	3	1	2	NA	"33"	0	0	0	2	1	0	0	2	7	0	0	0	0	0	0	0	0	311	NA	311	NA
"150"	""	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"151"	"Total"	454	3690	228	1912	31	26	15	NA	"873"	19	12	10	11	14	17	10	158	39	22	23	12	16	7	5	14	19	7637	NA	7637	NA
"152"	"Round 9"	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"153"	"113"	12	247	33	63	2	6	0	NA	"4"	0	0	2	0	1	3	2	26	1	3	2	0	2	2	0	0	1	412	NA	412	NA
"154"	"114"	26	97	22	171	3	1	5	NA	"33"	3	3	0	1	0	2	2	21	1	1	2	0	0	0	0	1	1	396	NA	396	NA
"155"	"115"	54	334	40	121	3	3	1	NA	"61"	2	0	0	1	0	3	1	11	0	1	3	0	2	0	0	0	2	643	NA	643	NA
"156"	"116"	2	129	63	9	0	1	0	NA	"20"	0	0	0	0	0	2	0	9	1	0	0	0	0	0	0	0	0	236	NA	236	NA
"157"	"117"	51	191	10	61	4	2	0	NA	"3"	1	0	0	1	3	1	2	5	1	1	0	2	0	0	0	0	0	339	NA	339	NA
"158"	"118"	13	168	38	149	2	3	0	NA	"76"	0	0	1	2	3	3	3	10	1	0	1	0	0	0	0	1	0	474	NA	474	NA
"159"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	"Mahanand Prasad"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"160"	"Booth No."	1	2	3	4	5	6	7	NA	"8"	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"161"	"119"	32	570	6	84	1	6	2	NA	"92"	1	0	1	4	4	1	2	41	2	3	1	1	2	0	0	2	4	862	NA	862	NA
"162"	"120"	52	126	10	218	2	1	0	NA	"23"	0	1	1	0	0	0	0	35	2	0	0	0	0	0	1	0	0	472	NA	472	NA
"163"	"121"	32	52	4	120	2	0	0	NA	"30"	1	1	0	0	1	1	0	7	0	1	0	1	0	0	0	0	0	253	NA	253	NA
"164"	"122"	0	27	0	341	1	0	0	NA	"2"	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	374	NA	374	NA
"165"	"123"	133	169	108	46	2	5	0	NA	"2"	1	1	0	0	0	0	1	6	6	1	2	1	0	2	1	0	3	490	NA	490	NA
"166"	"124"	39	157	4	168	0	1	0	NA	"0"	2	2	0	0	1	1	1	11	0	1	0	2	0	0	0	0	2	392	NA	392	NA
"167"	"125"	108	161	11	60	2	3	3	NA	"6"	2	1	0	0	1	4	2	8	7	1	1	0	1	0	0	1	3	386	NA	386	NA
"168"	"126"	16	464	12	38	0	0	0	NA	"0"	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	534	NA	534	NA
"169"	""	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"170"	"Total"	570	2892	361	1649	24	32	11	NA	"352"	13	9	6	9	14	21	17	191	22	13	13	9	7	4	2	6	16	6263	NA	6263	NA
