"PC.No."	"AC.No."	"BOOTH.No."	"BOOTH.EXT"	"ARCHN.A.CHAND.RA"	"NIKHIL.KUMAR"	"SHAKIL.AHMAD.KHAN"	"SUSHIL.KUMAR.SINGH"	"ANIL.KUMAR.SINGH"	"AMERIK.A.MAHTO"	"RAM.KUMAR.MEHTA"	"VIJAY.PASWA.N"	"ASLAM.ANSARI"	"INDRA.DEO.RAM"	"UDAY.PASWAN"	"PUNA.DAS"	"RANJEE.T.KUMAR"	"RAJEND.RA.YADAV"	"RAMSW.ARUP.PRASAD.YADAV"	"SANTOS.H.KUMAR"	"TOTAL"
"18"	37	227	18	""	15	20	105	254	4	6	2	6	1	0	5	11	8	7	7	13	464
"19"	37	227	19	""	12	46	130	228	6	4	2	0	0	0	0	1	2	2	1	2	436
"20"	37	227	20	""	15	15	49	225	8	10	8	6	2	1	3	10	5	1	1	3	362
"21"	37	227	21	""	33	4	43	154	3	5	1	9	4	2	5	10	4	8	6	9	300
"22"	37	227	22	""	17	21	166	253	7	2	1	2	1	1	1	3	1	1	1	3	481
"23"	37	227	23	""	1	4	209	25	0	1	1	1	0	0	0	1	0	0	0	0	243
"24"	37	227	24	""	13	15	57	140	6	1	1	3	2	0	2	1	3	0	0	7	251
"25"	37	227	25	""	5	3	31	123	2	4	2	0	0	0	3	3	6	3	0	2	187
"26"	37	227	26	""	10	5	68	196	7	4	3	2	1	1	1	4	7	1	2	4	316
"27"	37	227	27	""	19	9	136	142	4	11	11	5	3	6	5	9	12	8	6	36	422
"28"	37	227	28	""	12	5	112	164	6	5	1	2	0	1	3	3	4	4	6	24	352
"29"	37	227	29	""	11	9	137	327	14	10	5	4	1	0	2	1	3	3	3	9	539
"30"	37	227	30	""	2	20	489	23	1	0	3	2	0	2	1	3	4	5	1	3	559
"31"	37	227	31	""	0	10	109	6	0	0	2	0	1	0	0	0	0	2	0	0	130
"32"	37	227	32	""	0	2	422	4	0	0	0	0	0	0	1	0	0	1	0	0	430
"33"	37	227	33	""	13	19	144	113	2	6	4	4	2	2	3	10	7	6	14	4	353
"34"	NA	NA	NA	"BOOTH EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"35"	37	227	34	""	3	93	19	212	4	0	2	0	2	1	1	4	6	1	2	2	352
"36"	37	227	35	""	111	10	43	90	3	4	0	2	3	2	1	4	3	2	0	4	282
"37"	37	227	36	""	20	25	107	186	5	8	1	1	0	1	2	5	9	3	5	8	386
"38"	37	227	37	""	4	3	181	51	3	2	0	0	0	1	2	2	1	3	2	5	260
"39"	37	227	38	""	82	13	117	282	11	5	4	6	3	1	6	9	6	6	2	16	569
"40"	37	227	39	""	11	23	340	222	5	4	0	0	2	0	0	5	1	0	3	9	625
"41"	37	227	40	""	12	11	142	140	17	13	4	6	0	3	4	8	5	10	3	20	398
"42"	37	227	41	""	14	12	173	197	14	2	2	6	2	4	5	13	13	9	6	13	485
"43"	37	227	42	""	29	2	544	25	1	0	1	0	0	0	0	0	0	1	0	0	603
"44"	37	227	43	""	13	9	75	150	7	7	5	1	0	0	2	5	6	2	1	7	290
"45"	37	227	44	""	33	9	97	74	6	2	3	3	4	1	6	5	8	9	4	6	270
"46"	37	227	45	""	19	8	119	146	6	3	0	1	0	0	0	4	7	2	0	2	317
"47"	37	227	46	""	4	16	233	206	2	1	2	0	1	1	0	2	3	0	1	3	475
"48"	37	227	47	""	10	43	16	147	4	1	1	2	0	0	1	8	4	1	0	2	240
"49"	37	227	48	""	7	9	149	134	6	2	0	1	0	0	0	1	0	0	1	2	312
"50"	37	227	49	""	47	5	53	138	3	1	3	1	1	1	1	4	1	7	4	5	275
"51"	37	227	50	""	10	41	31	264	0	3	1	0	1	0	0	1	3	0	0	3	358
"52"	37	227	51	""	23	8	32	126	9	6	3	3	1	0	2	6	2	1	3	12	237
"53"	37	227	52	""	3	33	35	112	3	0	1	1	0	1	0	5	4	2	4	4	208
"54"	37	227	53	""	22	14	102	111	15	8	8	6	3	1	4	8	11	10	8	29	360
"55"	37	227	54	""	32	36	47	73	2	3	0	0	1	1	1	9	2	2	3	6	218
"56"	37	227	55	""	43	19	79	83	7	9	1	2	3	0	2	5	9	3	4	4	273
"57"	37	227	56	""	4	7	24	153	4	3	1	1	0	0	1	1	3	0	1	2	205
"58"	37	227	57	""	10	7	24	148	6	6	3	3	1	0	3	4	3	1	3	7	229
"59"	37	227	58	""	30	26	49	80	3	2	3	0	3	2	1	7	2	3	2	4	217
"60"	37	227	59	""	23	40	102	67	3	1	1	3	1	1	2	2	3	1	1	2	253
"61"	37	227	60	""	2	2	94	183	5	9	2	2	1	4	4	8	7	8	3	5	339
"62"	37	227	61	""	20	4	65	73	2	2	3	2	0	1	0	2	2	1	7	12	196
"63"	37	227	62	""	29	22	123	192	7	0	2	4	2	2	3	8	10	10	9	27	450
"64"	37	227	63	""	9	7	120	167	10	2	5	3	1	4	2	0	6	2	2	25	365
"65"	37	227	64	""	1	7	58	141	1	1	1	0	0	0	0	1	0	0	0	0	211
"66"	37	227	65	""	0	3	2	562	0	0	0	1	0	0	0	0	0	0	0	1	569
"67"	37	227	66	""	1	2	7	421	4	3	0	1	0	1	1	0	0	1	2	8	452
"68"	NA	NA	NA	"BOOTH EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"69"	37	227	67	""	37	8	69	307	11	11	9	6	1	3	5	13	5	2	1	11	499
"70"	37	227	68	""	29	6	61	214	3	5	4	3	2	1	0	7	2	1	5	14	357
"71"	37	227	69	""	0	4	7	431	1	9	0	1	0	0	0	0	1	0	0	3	457
"72"	37	227	70	""	13	7	3	122	1	0	1	1	0	1	0	3	4	0	2	4	162
"73"	37	227	71	""	7	15	12	307	2	4	2	1	2	0	1	10	5	1	3	5	377
"74"	37	227	72	""	0	0	3	236	7	3	0	1	1	0	0	4	0	0	2	6	263
"75"	37	227	73	""	2	4	19	239	2	11	0	0	0	0	0	0	1	0	0	2	280
"76"	37	227	74	""	4	5	46	125	2	8	9	7	3	0	4	7	5	5	1	8	239
"77"	37	227	75	""	21	20	96	258	4	2	2	3	1	1	0	3	3	1	3	10	428
"78"	37	227	76	""	21	25	109	134	4	7	8	7	1	2	5	10	10	8	3	2	356
"79"	37	227	77	""	29	14	63	97	5	3	5	3	1	0	2	10	4	3	4	10	253
"80"	37	227	78	""	5	7	52	107	3	6	2	3	3	2	5	6	4	1	4	7	217
"81"	37	227	79	""	18	13	168	142	6	4	3	5	3	0	4	12	14	13	11	8	424
"82"	37	227	80	""	8	8	42	210	7	2	4	1	2	1	2	5	10	5	6	8	321
"83"	37	227	81	""	9	15	125	281	7	3	2	3	3	0	3	3	7	3	3	13	480
"84"	37	227	82	""	10	9	52	87	6	15	1	3	3	3	4	8	12	6	4	6	229
"85"	37	227	83	""	9	47	92	242	2	4	1	1	0	0	0	2	8	3	2	5	418
"86"	37	227	84	""	5	11	330	46	1	1	1	1	2	0	2	0	2	0	1	1	404
"87"	37	227	85	""	18	15	63	144	1	5	2	3	1	0	1	3	3	0	3	12	274
"88"	37	227	86	""	2	5	69	166	2	2	1	2	0	1	1	2	2	1	0	3	259
"89"	37	227	87	""	18	26	130	137	8	6	2	3	0	0	1	7	9	6	2	11	366
"90"	37	227	88	""	23	12	222	61	4	2	3	2	3	1	1	2	3	5	5	15	364
"91"	37	227	89	""	16	116	10	95	10	4	3	0	2	0	1	2	1	2	3	33	298
"92"	37	227	90	""	7	10	16	258	1	1	0	0	0	0	1	1	0	0	0	15	310
"93"	37	227	91	""	2	41	81	20	1	0	0	0	0	0	0	0	0	2	1	107	255
"94"	37	227	92	""	1	8	109	531	4	2	0	1	1	1	1	2	0	1	0	12	674
"95"	37	227	93	""	47	30	138	203	5	5	1	1	6	1	1	4	5	2	1	9	459
"96"	37	227	94	""	20	31	99	360	3	9	3	1	4	1	1	0	7	2	1	8	550
"97"	37	227	95	""	9	17	23	169	9	5	1	3	1	3	2	6	5	8	8	40	309
"98"	37	227	96	""	16	22	30	136	2	5	8	3	0	1	8	11	9	7	9	169	436
"99"	37	227	97	""	5	2	15	304	0	8	0	0	0	0	0	1	1	0	1	14	351
"100"	37	227	98	""	39	14	28	137	6	6	3	4	3	0	2	7	7	6	2	5	269
"101"	37	227	99	""	22	5	62	77	3	5	1	1	3	2	1	2	5	6	4	7	206
"102"	NA	NA	NA	"BOOTH EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"103"	37	227	100	""	8	82	41	11	2	1	0	1	0	1	0	2	1	0	1	1	152
"104"	37	227	101	""	10	10	109	142	2	4	0	1	1	0	1	3	3	2	3	4	295
"105"	37	227	102	""	3	1	9	169	6	0	0	1	0	0	0	1	0	0	0	0	190
"106"	37	227	103	""	39	10	107	171	5	4	4	8	1	2	5	8	9	3	3	9	388
"107"	37	227	104	""	4	4	169	28	2	0	0	0	1	1	0	0	0	0	0	0	209
"108"	37	227	105	""	9	96	20	144	3	1	2	2	2	0	1	1	3	3	0	3	290
"109"	37	227	106	""	15	16	140	35	3	2	2	4	1	1	2	4	4	4	3	12	248
"110"	37	227	107	""	9	59	13	129	4	1	3	0	0	0	1	1	1	0	2	7	230
"111"	37	227	108	""	6	38	125	107	4	0	0	0	0	0	2	0	2	2	4	0	290
"112"	37	227	109	""	35	4	85	88	1	0	3	0	2	0	1	1	2	2	1	4	229
"113"	37	227	110	""	10	5	79	173	1	4	1	3	1	2	2	12	4	7	2	9	315
"114"	37	227	111	""	7	12	185	127	4	3	1	2	2	1	1	4	2	7	2	3	363
"115"	37	227	112	""	5	16	116	115	5	3	3	0	2	0	0	1	1	1	1	3	272
"116"	37	227	113	""	19	11	51	201	6	7	2	4	1	0	2	1	7	3	1	7	323
"117"	37	227	114	""	13	9	50	94	7	4	3	1	2	0	2	3	1	4	0	10	203
"118"	37	227	115	""	20	14	175	125	2	6	0	4	3	1	1	3	0	9	7	6	376
"119"	37	227	116	""	20	5	68	357	8	2	0	4	0	3	2	8	3	1	3	6	490
"120"	37	227	117	""	1	0	19	324	2	1	0	0	2	0	1	0	0	0	1	0	351
"121"	37	227	118	""	4	15	122	79	2	1	1	1	0	0	1	3	2	8	1	2	242
"122"	37	227	119	""	43	49	154	13	3	2	3	3	0	0	0	2	2	1	5	12	292
"123"	37	227	120	""	17	23	198	211	9	3	6	7	3	3	5	4	7	4	4	14	518
"124"	37	227	121	""	18	144	107	38	6	6	3	4	2	1	1	2	2	4	3	5	346
"125"	37	227	122	""	0	6	25	437	0	0	0	0	0	0	0	0	0	0	0	0	468
"126"	37	227	123	""	23	54	70	39	9	2	2	8	3	0	0	3	2	1	4	11	231
"127"	37	227	124	""	4	62	187	13	1	0	2	0	0	0	0	0	1	2	4	1	277
"128"	37	227	125	""	36	7	94	132	8	13	7	12	4	1	1	2	4	0	2	10	333
"129"	37	227	126	""	7	22	140	26	2	3	1	3	0	1	4	1	0	2	1	4	217
"130"	37	227	127	""	2	10	297	43	2	2	0	0	0	0	1	0	1	2	0	1	361
"131"	37	227	128	""	5	11	327	90	4	4	0	5	0	0	0	1	1	0	0	1	449
"132"	37	227	129	""	25	40	79	83	5	6	4	4	10	0	3	6	2	7	7	10	291
"133"	37	227	130	""	25	65	75	165	6	10	5	3	2	5	4	10	11	13	4	42	445
"134"	37	227	131	""	2	15	17	407	2	2	0	1	1	0	1	0	0	0	0	3	451
"135"	37	227	132	""	7	30	78	230	9	6	1	4	5	1	1	7	4	2	10	8	403
"136"	NA	NA	NA	"BOOTH EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"137"	37	227	133	""	28	66	87	201	8	10	7	4	2	2	2	6	5	2	7	4	441
"138"	37	227	134	""	9	27	102	140	3	1	7	5	1	2	2	2	2	9	2	31	345
"139"	37	227	135	""	72	17	142	225	9	11	9	6	3	0	2	7	5	8	6	11	533
"140"	37	227	136	""	26	18	230	103	3	6	8	3	3	1	5	5	3	3	5	3	425
"141"	37	227	137	""	23	22	171	98	7	6	2	3	0	1	1	5	2	4	3	9	357
"142"	37	227	138	""	99	60	163	173	17	13	9	3	2	0	2	2	2	5	4	8	562
"143"	37	227	139	""	20	61	175	32	1	5	4	1	1	2	4	5	2	7	4	12	336
"144"	37	227	140	""	22	9	152	67	4	1	1	0	0	0	0	0	0	0	1	3	260
"145"	37	227	141	""	6	8	108	58	3	5	2	0	2	3	0	2	2	1	0	1	201
"146"	37	227	142	""	25	29	247	89	8	6	2	2	3	2	4	1	5	2	2	2	429
"147"	37	227	143	""	14	29	147	95	5	0	1	0	1	2	2	4	1	1	0	4	306
"148"	37	227	144	""	9	110	73	169	3	6	2	4	2	0	6	3	7	6	8	21	429
"149"	37	227	145	""	33	40	33	173	4	9	7	10	2	3	3	8	8	3	9	8	353
"150"	37	227	146	""	5	40	118	49	1	0	1	0	0	0	0	2	0	0	1	2	219
"151"	37	227	147	""	8	20	70	279	4	1	2	0	2	1	2	6	4	5	3	5	412
"152"	37	227	148	""	19	4	74	207	6	8	3	6	1	1	2	12	11	3	5	26	388
"153"	37	227	149	""	3	13	358	88	4	4	0	2	1	0	0	3	1	3	2	3	485
"154"	37	227	150	""	2	105	169	125	1	2	1	0	0	1	1	0	2	2	1	0	412
"155"	37	227	151	""	1	3	372	52	1	2	0	0	1	0	0	0	0	0	0	1	433
"156"	37	227	152	""	17	23	101	130	6	3	3	1	3	0	1	1	4	0	2	10	305
"157"	37	227	153	""	16	4	76	151	3	3	4	2	0	0	0	8	2	3	2	18	292
"158"	37	227	154	""	5	8	45	517	6	6	1	2	0	0	2	7	2	3	2	8	614
"159"	37	227	155	""	7	8	68	342	3	6	3	0	3	1	2	3	0	0	1	3	450
"160"	37	227	156	""	10	16	37	177	3	7	1	1	3	2	0	3	3	0	2	8	273
"161"	37	227	157	""	4	26	138	162	3	8	3	2	1	3	2	6	7	5	5	2	377
"162"	37	227	158	""	12	28	45	138	3	8	0	2	0	5	4	9	4	3	3	4	268
"163"	37	227	159	""	18	43	194	74	9	1	2	0	0	4	1	2	1	1	2	1	353
"164"	37	227	160	""	7	9	30	55	1	4	1	5	2	3	0	7	5	6	5	17	157
"165"	37	227	161	""	1	44	114	110	4	0	1	1	1	0	1	4	5	6	1	7	300
"166"	37	227	162	""	5	1	21	213	1	3	4	0	3	0	6	6	5	4	4	7	283
"167"	37	227	163	""	7	3	66	72	3	2	2	3	0	1	2	3	11	8	5	11	199
"168"	37	227	164	""	22	19	113	87	6	9	3	4	0	7	3	3	6	3	10	20	315
"169"	37	227	165	""	10	16	85	166	13	8	6	3	3	2	3	6	5	4	1	6	337
"170"	NA	NA	NA	"BOOTH EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"171"	37	227	166	""	1	8	12	191	2	3	0	1	0	1	0	3	3	2	1	3	231
"172"	37	227	167	""	16	6	69	304	4	2	2	1	1	1	1	3	1	2	1	14	428
"173"	37	227	168	""	10	5	275	39	2	3	0	0	2	0	0	1	3	2	7	4	353
"174"	37	227	169	""	60	19	123	197	5	9	0	4	0	2	0	8	11	7	8	38	491
"175"	37	227	170	""	11	14	64	138	3	6	4	3	1	6	3	13	8	8	4	58	344
"176"	37	227	171	""	21	11	44	245	12	12	4	3	1	1	4	12	6	2	1	26	405
"177"	37	227	172	""	0	1	251	1	0	0	0	0	1	0	0	0	0	0	0	7	261
"178"	37	227	173	""	6	4	43	335	1	2	0	0	0	0	1	0	0	0	1	12	405
"179"	37	227	174	""	52	5	47	62	0	2	3	1	0	0	0	0	1	0	1	10	184
"180"	37	227	175	""	1	8	55	89	2	7	5	2	0	2	1	0	3	2	7	5	189
"181"	37	227	176	""	1	1	160	60	1	5	1	1	0	0	1	1	1	2	2	36	273
"182"	37	227	177	""	32	42	44	111	2	1	0	0	0	0	0	1	1	1	1	0	236
"183"	37	227	178	""	34	3	97	162	8	6	3	0	4	1	0	7	4	6	1	9	345
"184"	37	227	179	""	3	3	19	84	4	3	0	2	0	1	2	3	3	3	0	3	133
"185"	37	227	180	""	12	4	71	140	2	3	10	7	2	4	6	13	12	13	11	10	320
"186"	37	227	181	""	8	9	87	68	8	2	3	3	2	0	0	4	2	4	0	5	205
"187"	37	227	182	""	10	12	65	104	6	4	2	1	3	3	1	6	4	1	3	17	242
"188"	37	227	183	""	0	36	16	79	0	3	2	0	2	1	0	3	1	1	2	3	149
"189"	37	227	184	""	10	8	48	417	2	6	1	3	0	1	3	5	3	7	10	196	720
"190"	37	227	185	""	17	16	66	98	3	5	6	5	2	1	5	10	4	5	3	10	256
"191"	37	227	186	""	0	2	33	387	2	0	0	0	0	0	0	1	0	0	0	0	425
"192"	37	227	187	""	7	1	50	18	2	1	4	0	1	0	1	5	1	0	1	11	103
"193"	37	227	188	""	15	5	64	308	4	1	1	1	0	1	1	3	5	3	2	7	421
"194"	37	227	189	""	9	2	63	100	2	2	1	5	1	1	0	8	1	5	3	5	208
"195"	37	227	190	""	34	7	25	62	3	6	3	1	5	1	3	2	3	3	2	5	165
"196"	37	227	191	""	4	1	13	62	3	2	3	4	2	3	5	6	4	5	13	18	148
"197"	37	227	192	""	4	5	142	99	1	1	2	1	1	1	1	1	0	1	2	0	262
"198"	37	227	193	""	5	12	102	122	5	4	1	1	2	2	3	4	3	2	1	0	269
"199"	37	227	194	""	4	5	21	150	11	4	2	4	2	0	4	16	9	4	3	11	250
"200"	37	227	195	""	10	14	51	128	1	3	2	2	1	1	1	8	3	5	0	4	234
"201"	37	227	196	""	8	39	71	55	1	0	4	0	5	1	9	10	8	4	11	14	240
"202"	37	227	197	""	9	2	142	44	3	2	3	5	1	1	4	2	1	19	1	6	245
"203"	37	227	198	""	2	6	27	22	3	0	1	2	1	0	2	3	4	4	1	13	91
"204"	NA	NA	NA	"BOOTH EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"205"	37	227	199	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"206"	37	227	200	""	0	0	53	3	0	0	0	0	0	0	0	0	0	0	0	0	56
"207"	37	227	201	""	12	8	107	43	4	2	0	1	0	2	0	1	2	0	0	0	182
"208"	37	227	202	""	13	9	103	44	2	1	1	1	0	0	0	0	0	0	0	0	174
"209"	37	227	203	""	9	2	55	111	5	10	4	6	2	3	5	5	7	5	7	12	248
"210"	37	227	204	""	4	7	84	55	0	2	1	0	1	1	0	2	1	2	3	1	164
"211"	37	227	205	""	29	13	74	78	3	4	0	2	1	2	3	1	6	4	4	6	230
"212"	37	227	206	""	3	1	36	21	0	0	0	1	1	0	2	0	1	2	0	1	69
"213"	37	227	207	""	0	1	2	5	0	0	0	0	0	0	0	0	0	0	0	0	8
"214"	37	227	208	""	14	31	67	182	2	6	3	4	1	0	3	3	10	7	4	7	344
"215"	37	227	209	""	16	14	48	53	3	2	2	0	1	1	0	6	3	4	0	1	154
"216"	37	227	210	""	7	38	326	22	0	5	3	1	0	0	4	0	1	4	2	1	414
"217"	37	227	210	"A"	3	46	376	18	0	2	1	1	0	0	2	1	0	1	3	2	456
"218"	37	227	211	""	3	3	91	30	3	2	2	1	2	0	1	2	2	2	1	3	148
"219"	37	227	212	""	7	4	98	59	0	2	1	1	0	1	0	2	2	1	1	1	180
"220"	37	227	213	""	72	19	106	64	10	6	7	3	3	2	2	3	15	11	4	8	335
"221"	37	227	214	""	6	8	66	62	2	7	3	1	5	5	1	14	6	9	8	17	220
"222"	37	227	215	""	28	25	83	87	6	12	4	6	0	1	1	2	2	1	1	3	262
"223"	37	227	216	""	23	1	85	191	1	4	1	2	2	1	3	1	1	1	0	3	320
"224"	37	227	217	""	18	2	46	105	2	3	11	1	1	1	1	1	3	3	2	6	206
"225"	37	227	218	""	18	2	100	118	3	13	4	2	1	2	1	4	7	6	8	9	298
"226"	37	227	219	""	27	9	62	222	9	11	42	12	2	1	0	7	8	5	3	4	424
"227"	37	227	220	""	21	2	118	86	3	9	10	4	4	1	0	3	5	3	1	1	271
"228"	37	227	221	""	65	5	101	178	8	7	2	3	1	0	0	7	2	6	1	10	396
"229"	37	227	222	""	21	16	58	137	15	8	1	4	2	3	3	8	5	5	4	17	307
"230"	37	227	223	""	7	2	91	271	1	2	0	2	2	0	1	3	0	2	3	6	393
"231"	37	227	224	""	11	23	95	234	2	2	0	3	1	0	0	3	1	1	0	0	376
"232"	37	227	225	""	4	2	79	59	2	2	0	1	0	0	1	4	1	0	1	0	156
"233"	37	227	226	""	70	3	55	128	5	6	1	0	0	0	1	1	2	4	5	6	287
"234"	37	227	227	""	0	2	83	121	5	1	1	4	3	0	1	2	3	5	2	4	237
"235"	37	227	228	""	8	11	80	342	4	3	1	2	1	2	1	6	3	0	3	3	470
"236"	37	227	229	""	1	4	11	245	1	2	1	0	0	2	0	1	0	0	0	2	270
"237"	37	227	230	""	9	25	81	222	4	11	6	4	3	3	1	7	3	3	3	3	388
"238"	NA	NA	NA	"BOOTH EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"239"	37	227	231	""	52	5	63	108	4	6	2	3	0	1	0	5	3	1	1	2	256
"240"	37	227	232	""	4	9	104	124	3	3	1	2	4	0	0	6	0	1	1	0	262
"241"	37	227	233	""	7	6	79	77	1	6	0	0	1	1	0	1	4	3	1	1	188
"242"	37	227	234	""	8	12	54	96	0	0	1	2	0	0	0	1	0	0	0	1	175
"243"	37	227	235	""	19	1	15	186	0	1	0	0	0	0	0	1	0	0	0	0	223
"244"	37	227	236	""	0	22	47	94	3	2	3	3	0	0	0	5	6	6	1	1	193
"245"	37	227	237	""	6	13	150	161	3	2	1	3	0	0	0	2	1	2	2	0	346
"246"	37	227	238	""	3	3	66	248	2	1	0	1	1	0	1	6	5	1	0	3	341
"247"	37	227	239	""	3	11	43	443	5	5	2	1	1	1	1	5	3	0	2	27	553
"248"	37	227	240	""	4	3	167	126	5	3	1	2	2	0	0	4	3	2	2	3	327
"249"	37	227	241	""	5	12	117	400	6	6	5	3	3	2	5	6	7	8	4	5	594
"250"	37	227	242	""	21	13	54	114	1	0	0	2	2	0	1	3	6	6	4	8	235
"251"	37	227	243	""	14	18	25	290	8	4	1	12	3	0	3	9	3	2	5	5	402
"252"	37	227	244	""	13	21	138	74	3	5	3	4	1	1	4	8	5	8	3	8	299
"253"	37	227	245	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"254"	37	227	246	""	0	0	193	17	0	0	0	0	0	0	0	0	0	2	0	0	212
"255"	37	227	247	""	18	7	58	237	6	3	1	5	3	3	1	3	1	0	0	0	346
"256"	37	227	248	""	20	13	62	306	2	2	4	2	0	0	1	3	3	1	0	3	422
"257"	37	227	249	""	45	13	210	216	3	5	1	0	0	1	0	2	3	1	1	4	505
"258"	37	227	250	""	7	5	88	99	2	1	1	2	0	1	0	2	2	1	3	8	222
"259"	37	227	251	""	14	6	198	55	0	1	0	1	0	0	0	0	2	0	1	2	280
"260"	37	227	252	""	2	6	11	131	0	1	0	2	0	0	0	0	0	0	1	5	159
"261"	37	227	253	""	13	5	7	43	1	1	1	0	0	0	0	1	1	0	2	3	78
"262"	37	227	254	""	11	22	35	236	2	3	2	2	1	0	0	3	2	2	0	6	327
"263"	37	227	255	""	9	18	29	196	3	2	2	2	0	0	0	0	0	1	0	0	262
"264"	37	227	256	""	11	8	38	203	2	2	3	2	1	1	1	6	3	1	0	1	283
"265"	37	227	257	""	11	9	53	140	5	5	6	5	1	1	1	10	17	1	5	14	284
"266"	37	227	258	""	2	1	8	109	8	6	0	2	1	0	0	1	8	1	3	8	158
"267"	37	227	259	""	14	11	224	46	7	3	1	2	0	0	1	1	1	3	1	3	318
"268"	37	227	260	""	12	1	26	132	5	5	4	3	2	2	4	2	10	8	5	30	251
"269"	37	227	260	"A"	14	11	22	191	2	1	1	1	0	0	0	2	0	0	2	7	254
"270"	37	227	261	""	4	6	49	27	2	0	1	4	2	3	2	4	3	6	5	10	128
"271"	37	227	262	""	11	20	65	33	3	1	1	2	1	3	1	2	2	5	1	7	158
"272"	NA	NA	NA	"BOOTH EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"273"	37	227	263	""	14	13	23	153	3	7	2	4	0	1	5	2	4	5	8	12	256
"274"	37	227	264	""	39	20	175	98	8	4	6	8	3	5	5	9	6	8	9	7	410
"275"	37	227	265	""	70	53	149	131	7	2	3	1	1	0	1	1	1	2	3	6	431
"276"	37	227	266	""	3	17	162	97	4	2	2	1	0	0	0	0	0	1	0	2	291
"277"	37	227	267	""	38	21	43	110	7	6	8	3	3	2	5	6	3	4	2	4	265
"278"	37	227	268	""	4	14	126	47	4	2	0	2	3	1	3	1	5	6	3	12	233
"279"	37	227	269	""	25	15	113	160	8	7	1	2	1	0	1	3	4	1	6	7	354
"280"	37	227	270	""	18	9	63	49	6	5	0	1	3	0	0	3	1	1	2	1	162
"281"	37	227	271	""	4	5	186	87	3	4	2	2	0	1	0	7	0	2	3	4	310
"282"	37	227	272	""	10	6	103	269	3	2	4	4	1	1	2	4	5	2	5	0	421
"283"	37	227	273	""	9	2	76	84	7	4	1	6	2	1	1	12	8	7	10	18	248
"284"	37	227	274	""	0	14	47	63	5	5	2	5	1	4	2	1	4	0	1	6	160
"285"	NA	NA	NA	""	3722	4076	22626	35273	973	936	570	551	314	239	378	945	852	736	652	2271	75114
