"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X226899.32.Benipatti"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"13"	""	"10"	"101"	"8"	"93"	"236"	"22"	"7"	"6"	"5"	"3"	"9"	"4"	"1"	"4"	"10"	"509"	""	"509"	""
"14"	""	"11"	"52"	"4"	"144"	"27"	"12"	"3"	"0"	"1"	"2"	"3"	"4"	"2"	"3"	"8"	"265"	""	"265"	""
"15"	""	"12"	"21"	"2"	"52"	"177"	"20"	"5"	"1"	"5"	"2"	"3"	"6"	"3"	"3"	"23"	"323"	""	"323"	""
"16"	""	"13"	"0"	"0"	"18"	"23"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"43"	""	"43"	""
"17"	""	"14"	"93"	"11"	"70"	"228"	"28"	"11"	"5"	"2"	"0"	"6"	"2"	"0"	"3"	"2"	"461"	""	"461"	""
"18"	""	"Total -1"	"866"	"98"	"738"	"1510"	"274"	"50"	"31"	"34"	"22"	"43"	"41"	"20"	"37"	"387"	"4151"	"0"	"4151"	"0"
"19"	""	""	""	""	""	""	""	"226899
32-Benipatti"	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"21"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"22"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"23"	"Round No.2"	"15"	"86"	"3"	"30"	"150"	"14"	"1"	"3"	"4"	"2"	"4"	"5"	"4"	"7"	"12"	"325"	""	"325"	""
"24"	""	"16"	"213"	"19"	"25"	"88"	"12"	"5"	"1"	"1"	"0"	"2"	"6"	"2"	"4"	"147"	"525"	""	"525"	""
"25"	""	"17"	"148"	"4"	"14"	"77"	"18"	"1"	"1"	"3"	"3"	"0"	"3"	"2"	"1"	"13"	"288"	""	"288"	""
"26"	""	"18"	"179"	"10"	"38"	"72"	"9"	"4"	"3"	"2"	"3"	"4"	"2"	"0"	"3"	"12"	"341"	""	"341"	""
"27"	""	"19"	"144"	"7"	"19"	"110"	"27"	"4"	"3"	"6"	"5"	"4"	"10"	"2"	"6"	"69"	"416"	""	"416"	""
"28"	""	"20"	"94"	"9"	"81"	"58"	"21"	"2"	"4"	"3"	"1"	"2"	"0"	"0"	"2"	"10"	"287"	""	"287"	""
"29"	""	"21"	"111"	"7"	"128"	"12"	"4"	"1"	"0"	"1"	"0"	"3"	"0"	"1"	"1"	"1"	"270"	""	"270"	""
"30"	""	"22"	"150"	"4"	"181"	"4"	"3"	"0"	"3"	"1"	"2"	"1"	"1"	"0"	"2"	"5"	"357"	""	"357"	""
"31"	""	"23"	"154"	"6"	"46"	"150"	"25"	"8"	"5"	"1"	"6"	"7"	"5"	"5"	"2"	"55"	"475"	""	"475"	""
"32"	""	"24"	"92"	"5"	"21"	"120"	"23"	"3"	"2"	"4"	"0"	"5"	"5"	"3"	"5"	"30"	"318"	""	"318"	""
"33"	""	"25"	"41"	"1"	"22"	"201"	"18"	"1"	"2"	"1"	"1"	"1"	"0"	"1"	"3"	"9"	"302"	""	"302"	""
"34"	""	"26"	"159"	"7"	"12"	"204"	"19"	"0"	"1"	"5"	"2"	"1"	"1"	"0"	"1"	"14"	"426"	""	"426"	""
"35"	""	"27"	"60"	"2"	"7"	"94"	"17"	"1"	"5"	"1"	"1"	"0"	"7"	"3"	"4"	"51"	"253"	""	"253"	""
"36"	""	"28"	"100"	"2"	"4"	"48"	"32"	"0"	"0"	"1"	"1"	"2"	"1"	"2"	"6"	"25"	"224"	""	"224"	""
"37"	""	"Total -2"	"1731"	"86"	"628"	"1388"	"242"	"31"	"33"	"34"	"27"	"36"	"46"	"25"	"47"	"453"	"4807"	"0"	"4807"	"0"
"38"	""	""	""	""	""	""	""	"226899
32-Benipatti"	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"40"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"41"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"42"	"Round No.3"	"29"	"159"	"8"	"55"	"80"	"10"	"2"	"2"	"2"	"2"	"3"	"3"	"5"	"0"	"2"	"333"	""	"333"	""
"43"	""	"30"	"236"	"9"	"34"	"177"	"8"	"2"	"1"	"0"	"1"	"5"	"3"	"2"	"1"	"4"	"483"	""	"483"	""
"44"	""	"31"	"115"	"2"	"182"	"12"	"7"	"1"	"1"	"2"	"0"	"17"	"3"	"3"	"2"	"4"	"351"	""	"351"	""
"45"	""	"32"	"71"	"1"	"77"	"8"	"3"	"2"	"3"	"1"	"0"	"26"	"2"	"6"	"2"	"3"	"205"	""	"205"	""
"46"	""	"33"	"76"	"4"	"4"	"36"	"12"	"2"	"1"	"1"	"1"	"10"	"0"	"0"	"1"	"2"	"150"	""	"150"	""
"47"	""	"34"	"22"	"3"	"151"	"6"	"14"	"5"	"9"	"0"	"3"	"183"	"5"	"5"	"5"	"9"	"420"	""	"420"	""
"48"	""	"35"	"118"	"2"	"39"	"0"	"6"	"0"	"2"	"1"	"1"	"9"	"0"	"0"	"3"	"4"	"185"	""	"185"	""
"49"	""	"36"	"59"	"17"	"73"	"180"	"22"	"4"	"3"	"4"	"5"	"10"	"5"	"4"	"0"	"10"	"396"	""	"396"	""
"50"	""	"37"	"17"	"2"	"53"	"174"	"19"	"0"	"3"	"2"	"2"	"2"	"2"	"0"	"3"	"10"	"289"	""	"289"	""
"51"	""	"38"	"19"	"2"	"80"	"119"	"7"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"4"	"2"	"237"	""	"237"	""
"52"	""	"39"	"109"	"10"	"65"	"97"	"11"	"3"	"2"	"1"	"2"	"0"	"4"	"7"	"6"	"10"	"327"	""	"327"	""
"53"	""	"40"	"178"	"8"	"27"	"133"	"49"	"1"	"2"	"3"	"2"	"2"	"4"	"2"	"4"	"11"	"426"	""	"426"	""
"54"	""	"41"	"62"	"9"	"8"	"218"	"17"	"3"	"3"	"2"	"1"	"3"	"3"	"2"	"5"	"9"	"345"	""	"345"	""
"55"	""	"42"	"45"	"5"	"14"	"239"	"62"	"2"	"1"	"1"	"3"	"2"	"3"	"2"	"5"	"6"	"390"	""	"390"	""
"56"	""	"Total -3"	"1286"	"82"	"862"	"1479"	"247"	"28"	"34"	"20"	"24"	"272"	"38"	"38"	"41"	"86"	"4537"	"0"	"4537"	"0"
"57"	""	""	""	""	""	""	""	"226899
32-Benipatti"	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"59"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"60"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"61"	"Round No4"	"43"	"189"	"7"	"61"	"131"	"10"	"6"	"2"	"6"	"3"	"7"	"11"	"10"	"7"	"154"	"604"	""	"604"	""
"62"	""	"44"	"70"	"3"	"44"	"137"	"16"	"5"	"4"	"5"	"7"	"3"	"15"	"3"	"9"	"241"	"562"	""	"562"	""
"63"	""	"45"	"68"	"21"	"80"	"252"	"27"	"2"	"0"	"6"	"1"	"7"	"5"	"8"	"10"	"30"	"517"	""	"517"	""
"64"	""	"46"	"242"	"8"	"24"	"308"	"14"	"4"	"2"	"3"	"2"	"3"	"6"	"9"	"2"	"30"	"657"	""	"657"	""
"65"	""	"47"	"55"	"7"	"132"	"142"	"21"	"5"	"3"	"9"	"4"	"8"	"7"	"6"	"11"	"32"	"442"	""	"442"	""
"66"	""	"48"	"12"	"3"	"166"	"138"	"10"	"0"	"0"	"1"	"0"	"1"	"3"	"2"	"3"	"27"	"366"	""	"366"	""
"67"	""	"49"	"55"	"14"	"248"	"201"	"38"	"6"	"3"	"11"	"3"	"5"	"6"	"2"	"12"	"28"	"632"	""	"632"	""
"68"	""	"50"	"144"	"17"	"94"	"169"	"32"	"9"	"9"	"11"	"6"	"8"	"10"	"11"	"10"	"36"	"566"	""	"566"	""
"69"	""	"51"	"105"	"6"	"105"	"263"	"70"	"4"	"8"	"5"	"4"	"3"	"4"	"3"	"9"	"22"	"611"	""	"611"	""
"70"	""	"52"	"12"	"1"	"30"	"202"	"14"	"1"	"0"	"1"	"0"	"3"	"4"	"1"	"4"	"6"	"279"	""	"279"	""
"71"	""	"53"	"88"	"12"	"12"	"199"	"27"	"3"	"1"	"2"	"5"	"0"	"1"	"1"	"2"	"3"	"356"	""	"356"	""
"72"	""	"54"	"71"	"8"	"478"	"52"	"10"	"1"	"1"	"4"	"2"	"1"	"0"	"4"	"1"	"3"	"636"	""	"636"	""
"73"	""	"55"	"347"	"3"	"13"	"115"	"12"	"1"	"1"	"1"	"2"	"0"	"7"	"1"	"1"	"5"	"509"	""	"509"	""
"74"	""	"56"	"143"	"15"	"28"	"369"	"30"	"9"	"6"	"5"	"4"	"1"	"3"	"0"	"3"	"5"	"621"	""	"621"	""
"75"	""	"Total -4"	"1601"	"125"	"1515"	"2678"	"331"	"56"	"40"	"70"	"43"	"50"	"82"	"61"	"84"	"622"	"7358"	"0"	"7358"	"0"
"76"	""	""	""	""	""	""	""	"226899
32-Benipatti"	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"78"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"79"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"80"	"Round No 5"	"57"	"38"	"14"	"63"	"233"	"31"	"0"	"2"	"0"	"1"	"1"	"0"	"0"	"2"	"10"	"395"	""	"395"	""
"81"	""	"58"	"64"	"11"	"42"	"202"	"11"	"6"	"3"	"3"	"0"	"4"	"3"	"3"	"1"	"7"	"360"	""	"360"	""
"82"	""	"59"	"37"	"3"	"54"	"288"	"25"	"2"	"2"	"3"	"2"	"0"	"2"	"2"	"0"	"10"	"430"	""	"430"	""
"83"	""	"60"	"138"	"3"	"3"	"190"	"12"	"6"	"2"	"1"	"1"	"0"	"1"	"0"	"5"	"4"	"366"	""	"366"	""
"84"	""	"61"	"79"	"27"	"45"	"374"	"24"	"3"	"1"	"3"	"3"	"2"	"8"	"6"	"13"	"17"	"605"	""	"605"	""
"85"	""	"62"	"206"	"9"	"51"	"47"	"10"	"0"	"2"	"1"	"3"	"4"	"1"	"3"	"3"	"21"	"361"	""	"361"	""
"86"	""	"63"	"20"	"1"	"75"	"50"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"151"	""	"151"	""
"87"	""	"64"	"69"	"7"	"125"	"191"	"27"	"4"	"3"	"3"	"3"	"3"	"8"	"12"	"4"	"14"	"473"	""	"473"	""
"88"	""	"65"	"133"	"3"	"18"	"172"	"65"	"6"	"2"	"1"	"0"	"1"	"2"	"0"	"0"	"1"	"404"	""	"404"	""
"89"	""	"66"	"85"	"3"	"44"	"191"	"28"	"3"	"2"	"1"	"3"	"0"	"6"	"1"	"3"	"4"	"374"	""	"374"	""
"90"	""	"67"	"157"	"7"	"83"	"126"	"66"	"3"	"4"	"2"	"3"	"3"	"4"	"4"	"8"	"7"	"477"	""	"477"	""
"91"	""	"68"	"295"	"18"	"55"	"244"	"25"	"3"	"4"	"4"	"4"	"0"	"6"	"4"	"10"	"6"	"678"	""	"678"	""
"92"	""	"69"	"41"	"2"	"49"	"358"	"17"	"1"	"2"	"7"	"3"	"1"	"8"	"0"	"8"	"10"	"507"	""	"507"	""
"93"	""	"70"	"47"	"5"	"313"	"87"	"18"	"1"	"1"	"1"	"3"	"0"	"3"	"3"	"0"	"1"	"483"	""	"483"	""
"94"	""	"Total -5"	"1409"	"113"	"1020"	"2753"	"362"	"38"	"30"	"30"	"29"	"19"	"52"	"38"	"57"	"114"	"6064"	"0"	"6064"	"0"
"95"	""	""	""	""	""	""	""	"226899
32-Benipatti"	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"97"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"98"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"99"	"Round No 6"	"71"	"11"	"7"	"208"	"122"	"26"	"2"	"0"	"3"	"3"	"0"	"1"	"2"	"3"	"5"	"393"	""	"393"	""
"100"	""	"72"	"40"	"1"	"25"	"100"	"6"	"0"	"0"	"0"	"2"	"0"	"3"	"4"	"5"	"17"	"203"	""	"203"	""
"101"	""	"73"	"3"	"3"	"93"	"95"	"7"	"1"	"0"	"2"	"1"	"0"	"1"	"0"	"1"	"1"	"208"	""	"208"	""
"102"	""	"74"	"89"	"4"	"67"	"174"	"41"	"5"	"3"	"6"	"3"	"2"	"5"	"1"	"8"	"1"	"409"	""	"409"	""
"103"	""	"75"	"1"	"5"	"31"	"113"	"21"	"2"	"0"	"0"	"2"	"1"	"3"	"2"	"7"	"9"	"197"	""	"197"	""
"104"	""	"76"	"79"	"14"	"245"	"29"	"10"	"5"	"5"	"1"	"4"	"1"	"4"	"13"	"2"	"17"	"429"	""	"429"	""
"105"	""	"77"	"38"	"4"	"54"	"143"	"202"	"4"	"3"	"2"	"3"	"4"	"0"	"1"	"0"	"1"	"459"	""	"459"	""
"106"	""	"78"	"103"	"25"	"11"	"99"	"162"	"6"	"1"	"2"	"2"	"4"	"5"	"4"	"4"	"15"	"443"	""	"443"	""
"107"	""	"79"	"16"	"19"	"54"	"137"	"64"	"2"	"3"	"4"	"3"	"3"	"4"	"2"	"8"	"21"	"340"	""	"340"	""
"108"	""	"80"	"32"	"5"	"11"	"178"	"188"	"18"	"4"	"5"	"7"	"6"	"5"	"3"	"12"	"22"	"496"	""	"496"	""
"109"	""	"81"	"109"	"7"	"111"	"121"	"306"	"8"	"4"	"3"	"5"	"2"	"5"	"2"	"8"	"9"	"700"	""	"700"	""
"110"	""	"82"	"116"	"15"	"129"	"223"	"35"	"3"	"4"	"3"	"1"	"5"	"3"	"4"	"1"	"14"	"556"	""	"556"	""
"111"	""	"83"	"66"	"5"	"144"	"220"	"28"	"4"	"4"	"1"	"1"	"0"	"4"	"2"	"2"	"2"	"483"	""	"483"	""
"112"	""	"84"	"40"	"11"	"25"	"183"	"134"	"7"	"5"	"2"	"4"	"4"	"6"	"3"	"1"	"12"	"437"	""	"437"	""
"113"	""	"Total -6"	"743"	"125"	"1208"	"1937"	"1230"	"67"	"36"	"34"	"41"	"32"	"49"	"43"	"62"	"146"	"5753"	"0"	"5753"	"0"
"114"	""	""	""	""	""	""	""	"226899
32-Benipatti"	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"116"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"117"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"118"	"Round No 7"	"85"	"16"	"7"	"86"	"188"	"16"	"2"	"2"	"3"	"2"	"4"	"4"	"6"	"3"	"12"	"351"	""	"351"	""
"119"	""	"86"	"91"	"39"	"77"	"197"	"62"	"5"	"5"	"6"	"2"	"2"	"4"	"2"	"6"	"13"	"511"	""	"511"	""
"120"	""	"87"	"5"	"4"	"190"	"74"	"5"	"0"	"0"	"0"	"2"	"1"	"0"	"1"	"1"	"3"	"286"	""	"286"	""
"121"	""	"88"	"21"	"5"	"77"	"192"	"27"	"5"	"3"	"0"	"1"	"0"	"3"	"2"	"9"	"5"	"350"	""	"350"	""
"122"	""	"89"	"43"	"7"	"265"	"74"	"58"	"3"	"6"	"1"	"1"	"3"	"5"	"3"	"2"	"8"	"479"	""	"479"	""
"123"	""	"90"	"6"	"4"	"178"	"171"	"25"	"1"	"1"	"3"	"1"	"2"	"5"	"1"	"5"	"5"	"408"	""	"408"	""
"124"	""	"91"	"79"	"10"	"95"	"73"	"13"	"4"	"2"	"4"	"3"	"3"	"4"	"3"	"6"	"9"	"308"	""	"308"	""
"125"	""	"92"	"64"	"11"	"77"	"227"	"75"	"4"	"2"	"1"	"3"	"1"	"2"	"1"	"3"	"24"	"495"	""	"495"	""
"126"	""	"93"	"69"	"5"	"69"	"188"	"42"	"8"	"8"	"11"	"10"	"11"	"8"	"11"	"14"	"69"	"523"	""	"523"	""
"127"	""	"94"	"90"	"7"	"46"	"70"	"92"	"1"	"3"	"2"	"2"	"1"	"2"	"1"	"1"	"2"	"320"	""	"320"	""
"128"	""	"95"	"310"	"6"	"37"	"14"	"86"	"7"	"0"	"1"	"0"	"1"	"2"	"1"	"2"	"7"	"474"	""	"474"	""
"129"	""	"96"	"61"	"3"	"76"	"26"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"174"	""	"174"	""
"130"	""	"97"	"49"	"2"	"115"	"31"	"3"	"0"	"0"	"0"	"1"	"1"	"3"	"1"	"1"	"6"	"213"	""	"213"	""
"131"	""	"98"	"135"	"25"	"121"	"86"	"28"	"5"	"2"	"7"	"6"	"1"	"7"	"5"	"8"	"20"	"456"	""	"456"	""
"132"	""	"Total -7"	"1039"	"135"	"1509"	"1611"	"536"	"45"	"35"	"39"	"34"	"31"	"49"	"38"	"61"	"186"	"5348"	"0"	"5348"	"0"
"133"	""	""	""	""	""	""	""	"226899
32-Benipatti"	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"135"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"136"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"137"	"Round No 8"	"99"	"5"	"68"	"113"	"105"	"33"	"2"	"0"	"1"	"1"	"2"	"1"	"0"	"0"	"1"	"332"	""	"332"	""
"138"	""	"100"	"122"	"3"	"24"	"66"	"24"	"3"	"0"	"1"	"0"	"2"	"2"	"1"	"4"	"16"	"268"	""	"268"	""
"139"	""	"101"	"34"	"9"	"87"	"95"	"10"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"9"	"248"	""	"248"	""
"140"	""	"102"	"94"	"35"	"23"	"33"	"16"	"0"	"2"	"0"	"1"	"1"	"1"	"3"	"2"	"8"	"219"	""	"219"	""
"141"	""	"103"	"87"	"57"	"30"	"161"	"20"	"2"	"1"	"3"	"4"	"0"	"0"	"6"	"2"	"5"	"378"	""	"378"	""
"142"	""	"104"	"90"	"25"	"166"	"135"	"25"	"2"	"2"	"2"	"3"	"1"	"1"	"2"	"8"	"9"	"471"	""	"471"	""
"143"	""	"105"	"117"	"13"	"19"	"117"	"24"	"5"	"0"	"1"	"0"	"2"	"0"	"3"	"5"	"14"	"320"	""	"320"	""
"144"	""	"106"	"82"	"10"	"35"	"148"	"27"	"2"	"0"	"2"	"0"	"1"	"2"	"2"	"3"	"12"	"326"	""	"326"	""
"145"	""	"107"	"3"	"7"	"58"	"117"	"124"	"10"	"5"	"2"	"2"	"7"	"1"	"0"	"6"	"23"	"365"	""	"365"	""
"146"	""	"108"	"23"	"20"	"60"	"169"	"16"	"3"	"0"	"1"	"1"	"1"	"2"	"1"	"2"	"4"	"303"	""	"303"	""
"147"	""	"109"	"156"	"19"	"79"	"134"	"26"	"4"	"3"	"5"	"4"	"5"	"7"	"3"	"9"	"37"	"491"	""	"491"	""
"148"	""	"110"	"136"	"3"	"14"	"38"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"197"	""	"197"	""
"149"	""	"111"	"92"	"26"	"19"	"88"	"27"	"1"	"1"	"3"	"4"	"0"	"2"	"1"	"0"	"42"	"306"	""	"306"	""
"150"	""	"112"	"127"	"20"	"31"	"128"	"86"	"8"	"2"	"2"	"2"	"0"	"3"	"1"	"2"	"7"	"419"	""	"419"	""
"151"	""	"Total -8"	"1168"	"315"	"758"	"1534"	"461"	"43"	"17"	"23"	"23"	"23"	"22"	"23"	"43"	"190"	"4643"	"0"	"4643"	"0"
"152"	""	""	""	""	""	""	""	"226899
32-Benipatti"	""	""	""	""	""	""	""	""	""	""	""	""
