"er.nku.dsUnz.l.a....k"	"vfu....i.zl.kn.mQZ.l.k.kq...kno"	"i.zdk..k..k"	"j.kekJ..fl.ag"	"X..kEHkw.i.zl.kn.xqIr.k"	"Mk0.l.at...t.k..l.oky"	"QS..kt.qy.vkt.e"	"eukst...dqekj"	"l.S..n...kehe.v..r.j"	"uQhl...vgen"	"Jheku.feJk"	"l.S..n.bj.l.kn.v..r.j"	"oS....er.i...dk...ksx"	"vLohd.r.er.i...dk...ksx"	"X..ksx"	"fufonr.er.i..ksa.dh.l.a....k"
"50"	NA	291	2980	73	112	3999	90	92	95	58	102	68	7960	0	7960	0
"51"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"52"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"53"	43	13	211	3	0	105	2	5	0	0	2	1	342	NA	342	NA
"54"	44	20	226	4	5	391	8	2	0	0	1	3	660	NA	660	NA
"55"	45	17	92	1	1	227	3	2	0	1	1	2	347	NA	347	NA
"56"	46	21	148	0	5	97	0	3	1	0	2	1	278	NA	278	NA
"57"	47	12	56	1	6	140	3	1	0	1	0	2	222	NA	222	NA
"58"	48	73	156	2	66	66	0	7	11	1	1	3	386	NA	386	NA
"59"	49	18	88	3	5	255	2	4	0	2	2	4	383	NA	383	NA
"60"	50	20	68	3	1	265	6	3	2	1	1	0	370	NA	370	NA
"61"	51	34	209	6	5	308	4	5	5	7	5	2	590	NA	590	NA
"62"	52	21	105	2	2	310	4	3	3	1	0	4	455	NA	455	NA
"63"	53	51	180	6	1	166	8	4	3	3	8	2	432	NA	432	NA
"64"	54	64	102	1	13	161	0	3	3	1	3	1	352	NA	352	NA
"65"	55	20	37	3	2	191	5	0	0	0	0	0	258	NA	258	NA
"66"	56	18	141	4	22	158	5	5	4	1	6	1	365	NA	365	NA
"67"	NA	402	1819	39	134	2840	50	47	32	19	32	26	5440	0	5440	0
"68"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"69"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"70"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"71"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"72"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"73"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"74"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"75"	57	28	108	0	8	285	8	8	5	3	5	4	462	NA	462	NA
"76"	58	24	107	0	1	323	4	3	4	0	8	11	485	NA	485	NA
"77"	59	53	397	10	3	44	4	6	2	4	1	3	527	NA	527	NA
"78"	60	45	336	10	9	182	3	8	3	3	5	6	610	NA	610	NA
"79"	61	28	153	7	4	182	1	2	1	2	5	2	387	NA	387	NA
"80"	62	5	79	17	9	361	29	5	3	2	8	3	521	NA	521	NA
"81"	63	18	118	8	9	455	16	5	1	1	7	3	641	NA	641	NA
"82"	64	49	172	3	5	184	8	10	3	4	2	8	448	NA	448	NA
"83"	65	61	405	14	13	68	3	20	8	8	18	4	622	NA	622	NA
"84"	66	18	265	11	143	123	4	11	3	4	2	3	587	NA	587	NA
"85"	67	49	229	3	13	221	5	5	1	1	3	3	533	NA	533	NA
"86"	68	13	117	0	30	184	6	1	3	0	2	0	356	NA	356	NA
"87"	69	8	143	3	7	82	2	6	3	5	3	3	265	NA	265	NA
"88"	70	24	72	2	10	352	9	6	1	1	0	1	478	NA	478	NA
"89"	NA	423	2701	88	264	3046	102	96	41	38	69	54	6922	0	6922	0
"90"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"91"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"92"	71	12	305	6	27	63	2	5	4	2	5	2	433	NA	433	NA
"93"	72	25	171	4	43	106	3	9	77	9	11	9	467	NA	467	NA
"94"	73	21	169	12	4	197	10	2	59	2	11	2	489	NA	489	NA
"95"	74	16	76	0	0	191	13	2	3	1	2	10	314	NA	314	NA
"96"	75	6	120	6	4	212	6	5	1	3	3	3	369	NA	369	NA
"97"	76	33	309	4	19	311	7	8	4	6	7	4	712	NA	712	NA
"98"	77	58	320	15	22	229	14	8	8	11	7	3	695	NA	695	NA
"99"	78	36	183	9	11	268	6	6	1	3	2	5	530	NA	530	NA
"100"	79	172	306	9	6	108	9	8	8	7	11	6	650	NA	650	NA
"101"	80	101	421	11	5	14	1	4	3	5	6	5	576	NA	576	NA
"102"	81	40	89	6	54	418	16	5	8	3	13	23	675	NA	675	NA
"103"	82	33	77	2	47	137	6	3	1	1	2	5	314	NA	314	NA
"104"	83	29	82	7	10	70	1	5	0	1	1	2	208	NA	208	NA
"105"	84	34	87	8	7	254	14	5	10	1	7	6	433	NA	433	NA
"106"	NA	616	2715	99	259	2578	108	75	187	55	88	85	6865	0	6865	0
"107"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"108"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"109"	85	65	84	4	1	271	8	2	4	3	11	2	455	NA	455	NA
"110"	86	45	140	21	8	483	27	6	9	8	25	18	790	NA	790	NA
"111"	87	31	222	5	15	206	18	5	3	3	10	10	528	NA	528	NA
"112"	88	23	127	33	36	251	19	11	4	10	21	24	559	NA	559	NA
"113"	89	24	161	5	4	385	15	11	3	9	14	15	646	NA	646	NA
"114"	90	80	88	4	3	7	0	3	0	6	0	4	195	NA	195	NA
"115"	91	76	234	41	180	93	8	8	8	9	15	18	690	NA	690	NA
"116"	92	141	499	21	6	19	3	5	3	10	11	9	727	NA	727	NA
"117"	93	51	137	7	8	309	7	11	15	5	8	2	560	NA	560	NA
"118"	94	30	159	7	26	345	28	13	7	11	29	33	688	NA	688	NA
"119"	95	44	77	11	88	330	34	10	15	9	14	20	652	NA	652	NA
"120"	96	41	262	33	24	161	14	13	12	12	22	20	614	NA	614	NA
"121"	97	26	353	18	28	195	9	15	5	12	18	16	695	NA	695	NA
"122"	98	28	93	12	75	286	17	12	5	4	16	6	554	NA	554	NA
"123"	NA	705	2636	222	502	3341	207	125	93	111	214	197	8353	0	8353	0
"124"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"125"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"126"	99	8	33	1	85	57	2	0	0	0	5	0	191	NA	191	NA
"127"	100	32	154	7	17	187	21	18	9	8	11	11	475	NA	475	NA
"128"	101	38	111	6	63	257	13	11	24	2	6	1	532	NA	532	NA
"129"	102	26	236	29	30	283	21	10	4	11	9	13	672	NA	672	NA
"130"	103	1	160	5	1	174	10	3	5	7	7	4	377	NA	377	NA
"131"	104	25	213	12	39	181	15	10	14	6	9	8	532	NA	532	NA
"132"	105	22	60	4	0	361	23	1	4	3	22	7	507	NA	507	NA
"133"	106	39	249	3	1	17	1	8	3	12	15	7	355	NA	355	NA
"134"	107	54	242	9	16	266	15	13	7	13	13	8	656	NA	656	NA
"135"	108	43	135	4	7	334	13	7	6	2	13	7	571	NA	571	NA
"136"	109	21	297	7	15	127	4	8	5	8	19	6	517	NA	517	NA
"137"	110	21	221	13	10	324	14	2	12	14	11	6	648	NA	648	NA
"138"	111	35	131	3	45	154	2	3	10	3	7	9	402	NA	402	NA
"139"	112	52	178	12	9	253	13	2	3	7	13	4	546	NA	546	NA
"140"	NA	417	2420	115	338	2975	167	96	106	96	160	91	6981	0	6981	0
"141"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"142"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"143"	113	60	199	8	37	180	8	4	13	7	12	3	531	NA	531	NA
"144"	114	19	187	3	2	103	6	8	0	9	8	4	349	NA	349	NA
"145"	115	25	261	4	30	160	8	7	3	10	17	7	532	NA	532	NA
"146"	116	37	129	2	2	62	2	4	1	3	6	1	249	NA	249	NA
"147"	117	42	229	8	40	286	2	4	2	12	5	3	633	NA	633	NA
"148"	118	31	254	5	37	295	11	9	17	5	10	7	681	NA	681	NA
"149"	119	42	249	5	22	162	6	11	5	7	6	11	526	NA	526	NA
"150"	120	26	207	5	2	23	4	8	2	4	6	5	292	NA	292	NA
"151"	121	21	371	15	6	121	4	13	8	16	20	18	613	NA	613	NA
"152"	122	118	219	13	23	34	1	6	1	11	7	6	439	NA	439	NA
"153"	123	97	171	3	46	36	0	4	2	3	6	2	370	NA	370	NA
"154"	124	28	25	8	114	296	9	10	3	3	9	13	518	NA	518	NA
"155"	125	50	106	8	21	230	12	7	3	6	15	18	476	NA	476	NA
"156"	126	78	307	14	34	77	6	7	19	15	13	11	581	NA	581	NA
"157"	NA	674	2914	101	416	2065	79	102	79	111	140	109	6790	0	6790	0
"158"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"159"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"160"	127	21	131	27	38	173	14	9	79	16	17	19	544	NA	544	NA
"161"	128	197	232	19	18	212	8	7	27	15	19	17	771	NA	771	NA
"162"	129	22	164	10	127	102	7	12	92	8	15	15	574	NA	574	NA
"163"	130	28	179	6	22	95	5	8	169	4	14	3	533	NA	533	NA
"164"	131	26	130	8	106	137	9	11	112	2	10	2	553	NA	553	NA
"165"	132	16	67	2	36	421	24	12	25	12	10	22	647	NA	647	NA
"166"	133	22	31	4	29	255	14	9	291	6	10	11	682	NA	682	NA
"167"	134	23	30	1	80	142	12	7	139	6	10	8	458	NA	458	NA
"168"	135	18	196	13	7	204	3	12	9	8	9	8	487	NA	487	NA
"169"	136	111	212	3	16	34	0	4	13	4	9	1	407	NA	407	NA
"170"	137	58	118	15	107	81	8	6	97	14	11	7	522	NA	522	NA
"171"	138	47	162	5	22	79	4	4	69	3	11	3	409	NA	409	NA
"172"	139	15	119	5	19	118	2	4	21	2	5	4	314	NA	314	NA
"173"	140	39	161	4	9	64	5	5	23	6	9	3	328	NA	328	NA
"174"	NA	643	1932	122	636	2117	115	110	1166	106	159	123	7229	0	7229	0
"175"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"176"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"177"	141	78	218	10	7	75	5	9	88	6	13	10	519	NA	519	NA
"178"	142	66	188	16	20	143	9	9	55	6	17	15	544	NA	544	NA
"179"	143	137	100	13	9	310	28	12	3	7	11	5	635	NA	635	NA
"180"	144	33	20	4	24	214	19	8	7	3	15	21	368	NA	368	NA
"181"	145	326	53	12	25	149	16	6	44	4	9	13	657	NA	657	NA
"182"	146	95	31	3	2	126	6	1	15	1	5	1	286	NA	286	NA
"183"	147	34	66	3	7	166	7	1	35	1	3	4	327	NA	327	NA
"184"	148	122	136	10	30	268	10	9	59	5	15	6	670	NA	670	NA
"185"	149	19	23	2	8	69	1	7	457	5	2	5	598	NA	598	NA
"186"	150	31	81	6	33	173	9	4	72	3	13	8	433	NA	433	NA
"187"	151	120	56	13	90	364	16	7	6	5	19	7	703	NA	703	NA
"188"	152	62	212	6	17	148	6	1	15	6	5	1	479	NA	479	NA
"189"	153	41	122	2	4	152	8	1	2	7	7	4	350	NA	350	NA
"190"	154	42	54	4	6	165	14	6	9	0	8	12	320	NA	320	NA
"191"	NA	1206	1360	104	282	2522	154	81	867	59	142	112	6889	0	6889	0
"192"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"193"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"194"	155	33	71	4	5	224	10	3	0	4	10	8	372	NA	372	NA
"195"	156	58	48	93	7	431	22	4	22	3	5	9	702	NA	702	NA
"196"	157	187	82	14	11	153	9	7	21	2	1	7	494	NA	494	NA
"197"	158	22	46	15	205	67	8	5	4	7	9	9	397	NA	397	NA
"198"	159	24	43	92	11	103	6	1	23	2	2	5	312	NA	312	NA
"199"	160	86	35	43	66	176	10	4	4	2	2	5	433	NA	433	NA
"200"	161	37	91	10	1	164	15	5	6	10	16	8	363	NA	363	NA
"201"	162	61	202	12	7	97	9	11	4	12	17	17	449	NA	449	NA
"202"	163	209	31	16	9	282	18	7	5	2	11	5	595	NA	595	NA
"203"	164	41	80	9	17	311	22	7	2	6	8	11	514	NA	514	NA
"204"	165	92	91	6	27	250	6	7	130	8	17	18	652	NA	652	NA
"205"	166	122	106	17	97	120	8	10	20	3	9	5	517	NA	517	NA
"206"	167	74	19	2	2	125	1	2	5	0	2	3	235	NA	235	NA
"207"	168	93	95	6	11	301	32	8	15	12	17	16	606	NA	606	NA
"208"	NA	1139	1040	339	476	2804	176	81	261	73	126	126	6641	0	6641	0
"209"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"210"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"211"	169	108	32	4	42	188	13	7	89	4	4	7	498	NA	498	NA
"212"	170	69	42	32	11	203	10	6	1	2	2	4	382	NA	382	NA
"213"	171	44	6	30	3	130	2	0	8	1	3	6	233	NA	233	NA
"214"	172	192	51	49	9	241	19	9	6	10	12	25	623	NA	623	NA
"215"	173	21	41	14	16	121	3	3	5	1	2	3	230	NA	230	NA
"216"	174	13	13	6	19	176	5	1	1	0	1	3	238	NA	238	NA
"217"	175	58	120	68	7	92	5	4	6	5	7	3	375	NA	375	NA
"218"	176	52	62	50	33	153	14	7	7	5	12	6	401	NA	401	NA
"219"	177	36	73	49	2	149	18	8	5	10	12	10	372	NA	372	NA
"220"	178	163	104	35	12	176	7	4	4	12	10	9	536	NA	536	NA
"221"	179	52	49	4	51	209	5	5	19	2	5	2	403	NA	403	NA
"222"	180	41	167	11	6	130	7	6	12	8	7	10	405	NA	405	NA
"223"	181	16	81	4	6	232	10	10	13	3	10	9	394	NA	394	NA
"224"	182	28	12	41	25	306	4	3	119	1	3	5	547	NA	547	NA
"225"	NA	893	853	397	242	2506	122	73	295	64	90	102	5637	0	5637	0
"226"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"227"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"228"	183	38	22	6	30	267	27	15	147	4	5	30	591	NA	591	NA
"229"	184	19	19	7	34	145	10	5	294	8	4	9	554	NA	554	NA
"230"	185	2	2	1	1	46	3	1	255	0	2	2	315	NA	315	NA
"231"	NA	59	43	14	65	458	40	21	696	12	11	41	1460	0	1460	0
