"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations) Election of the HOUSE OF PEOPLE From the 14 - DARBHANGA PARLIAMENTARY Constituency PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be used for Parliamentary and Assembly elections) Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…80 - BENIPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of electors in Assembly constituency / Segment  : 224899"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Sl.
No."	"No. of Polling Station"	""	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"27"	"19"	"19"	""	"38"	"51"	"174"	"2"	"0"	""	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"2"	""	"5"	"276"	"-"	"276"	""	""
"28"	"20"	"20"	""	"25"	"224"	"156"	"9"	"3"	""	"5"	"3"	"5"	"0"	"1"	"3"	"3"	"7"	""	"6"	"450"	"-"	"450"	""	""
"29"	"21"	"21"	""	"55"	"94"	"282"	"12"	"3"	""	"1"	"1"	"2"	"8"	"3"	"2"	"2"	"2"	""	"11"	"478"	"-"	"478"	""	""
"30"	"22"	"22"	""	"15"	"94"	"125"	"5"	"4"	""	"2"	"6"	"2"	"5"	"2"	"2"	"7"	"13"	""	"10"	"292"	"-"	"292"	""	""
"31"	"23"	"23"	""	"18"	"88"	"64"	"2"	"0"	""	"2"	"0"	"3"	"0"	"5"	"0"	"3"	"9"	""	"4"	"198"	"-"	"198"	""	""
"32"	"24"	"24"	""	"64"	"306"	"128"	"8"	"1"	""	"3"	"5"	"5"	"3"	"3"	"3"	"4"	"12"	""	"18"	"563"	"-"	"563"	""	""
"33"	"25"	"25"	""	"34"	"269"	"36"	"2"	"2"	""	"1"	"1"	"1"	"4"	"1"	"3"	"1"	"6"	""	"12"	"373"	"-"	"373"	""	""
"34"	"26"	"26"	""	"43"	"216"	"230"	"36"	"9"	""	"6"	"4"	"9"	"2"	"7"	"5"	"12"	"11"	""	"11"	"601"	"-"	"601"	""	""
"35"	"27"	"27"	""	"23"	"82"	"280"	"13"	"5"	""	"2"	"4"	"3"	"4"	"5"	"4"	"5"	"11"	""	"13"	"454"	"-"	"454"	""	""
"36"	"28"	"28"	""	"6"	"373"	"5"	"0"	"0"	""	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"1"	""	"0"	"388"	"-"	"388"	""	""
"37"	"29"	"29"	""	"5"	"290"	"7"	"1"	"0"	""	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	""	"0"	"304"	"-"	"304"	""	""
"38"	"30"	"30"	""	"29"	"400"	"9"	"17"	"2"	""	"2"	"1"	"3"	"2"	"1"	"3"	"3"	"19"	""	"14"	"505"	"-"	"505"	""	""
"39"	"5/25/20113:58 PM                                                                                                                                                     benipur80                                                                                                                                                                  Page# 1 /7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"Sl.
No."	"No. of Polling Station"	""	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"41"	""	""	""	"Ajay Ku mar Jalan"	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Yugeshwar Sahani"	"Ku mari Su reshwari"	""	"Md.
Khu rsheed Alam"	"Du rga Nand
Mahabir Nayak"	"Md.
Nizamu ddin"	"Sathy Narayn Mu khiya"	"Abdu r Rahim"	"Govind Acharya"	"Bharat Yadav"	"Lal Bahadu r
Yadav"	""	"Prof. Hareram Acharya"	""	""	""	""	""
"42"	"1"	"2"	""	"3"	"4"	"5"	"6"	"7"	""	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	""
"43"	"31"	"31"	""	"8"	"211"	"3"	"3"	"1"	""	"0"	"1"	"1"	"0"	"1"	"5"	"1"	"7"	""	"0"	"242"	"-"	"242"	""	""
"44"	"32"	"32"	""	"3"	"37"	"87"	"12"	"2"	""	"1"	"2"	"3"	"3"	"1"	"5"	"12"	"9"	""	"16"	"193"	"-"	"193"	""	""
"45"	"33"	"33"	""	"52"	"109"	"199"	"10"	"1"	""	"2"	"1"	"3"	"1"	"3"	"2"	"5"	"11"	""	"11"	"410"	"-"	"410"	""	""
"46"	"34"	"34"	""	"67"	"54"	"315"	"11"	"5"	""	"6"	"1"	"2"	"1"	"6"	"10"	"15"	"4"	""	"28"	"525"	"-"	"525"	""	""
"47"	"35"	"35"	""	"32"	"37"	"414"	"2"	"0"	""	"0"	"0"	"1"	"2"	"4"	"2"	"8"	"2"	""	"7"	"511"	"-"	"511"	""	""
"48"	"36"	"36"	""	"22"	"77"	"273"	"2"	"1"	""	"6"	"5"	"0"	"12"	"8"	"9"	"21"	"15"	""	"30"	"481"	"-"	"481"	""	""
"49"	"37"	"37"	""	"58"	"180"	"243"	"8"	"2"	""	"3"	"1"	"2"	"3"	"3"	"1"	"3"	"10"	""	"4"	"521"	"-"	"521"	""	""
"50"	"38"	"38"	""	"55"	"89"	"103"	"8"	"0"	""	"3"	"3"	"4"	"3"	"2"	"3"	"3"	"7"	""	"10"	"293"	"-"	"293"	""	""
"51"	"39"	"39"	""	"22"	"102"	"142"	"3"	"0"	""	"1"	"0"	"2"	"2"	"0"	"0"	"1"	"4"	""	"6"	"285"	"-"	"285"	""	""
"52"	"40"	"40"	""	"7"	"31"	"207"	"2"	"0"	""	"0"	"0"	"1"	"0"	"0"	"0"	"4"	"0"	""	"0"	"252"	"-"	"252"	""	""
"53"	"41"	"41"	""	"11"	"35"	"207"	"7"	"3"	""	"3"	"0"	"6"	"2"	"3"	"0"	"2"	"1"	""	"4"	"284"	"-"	"284"	""	""
"54"	"42"	"42"	""	"16"	"490"	"10"	"0"	"0"	""	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"2"	""	"5"	"528"	""	"528"	""	""
"55"	"43"	"43"	""	"21"	"163"	"117"	"3"	"1"	""	"1"	"1"	"2"	"0"	"1"	"3"	"3"	"8"	""	"9"	"333"	"-"	"333"	""	""
"56"	"44"	"44"	""	"26"	"271"	"27"	"2"	"2"	""	"2"	"0"	"0"	"2"	"4"	"2"	"4"	"13"	""	"16"	"371"	"-"	"371"	""	""
"57"	"45"	"45"	""	"18"	"452"	"29"	"0"	"0"	""	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"3"	""	"3"	"510"	"-"	"510"	""	""
"58"	"46"	"46"	""	"15"	"121"	"252"	"10"	"5"	""	"5"	"2"	"2"	"2"	"2"	"1"	"2"	"4"	""	"3"	"426"	"-"	"426"	""	""
"59"	"47"	"47"	""	"41"	"134"	"165"	"4"	"3"	""	"3"	"2"	"5"	"1"	"1"	"2"	"3"	"11"	""	"6"	"381"	"-"	"381"	""	""
"60"	"48"	"48"	""	"24"	"10"	"267"	"1"	"1"	""	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	""	"1"	"308"	"-"	"308"	""	""
"61"	"49"	"49"	""	"9"	"56"	"260"	"2"	"0"	""	"0"	"1"	"2"	"0"	"0"	"1"	"8"	"5"	""	"7"	"351"	"-"	"351"	""	""
"62"	"50"	"50"	""	"28"	"49"	"475"	"2"	"0"	""	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"3"	""	"1"	"562"	"-"	"562"	""	""
"63"	"51"	"51"	""	"19"	"128"	"138"	"5"	"4"	""	"5"	"1"	"1"	"2"	"6"	"2"	"4"	"14"	""	"14"	"343"	"-"	"343"	""	""
"64"	"52"	"52"	""	"10"	"37"	"211"	"4"	"0"	""	"0"	"0"	"0"	"10"	"1"	"1"	"1"	"1"	""	"0"	"276"	"-"	"276"	""	""
"65"	"53"	"53"	""	"3"	"54"	"75"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	""	"0"	"133"	"-"	"133"	""	""
"66"	"54"	"54"	""	"39"	"40"	"220"	"6"	"3"	""	"7"	"3"	"2"	"15"	"3"	"6"	"11"	"14"	""	"32"	"401"	"-"	"401"	""	""
"67"	"55"	"55"	""	"26"	"102"	"134"	"0"	"0"	""	"1"	"1"	"2"	"25"	"1"	"5"	"4"	"6"	""	"8"	"315"	"-"	"315"	""	""
"68"	"56"	"56"	""	"37"	"71"	"253"	"5"	"0"	""	"1"	"1"	"1"	"3"	"5"	"4"	"4"	"3"	""	"18"	"406"	"-"	"406"	""	""
"69"	"57"	"57"	""	"26"	"12"	"134"	"6"	"0"	""	"1"	"0"	"1"	"0"	"0"	"1"	"4"	"2"	""	"5"	"192"	"-"	"192"	""	""
"70"	"58"	"58"	""	"22"	"93"	"73"	"8"	"2"	""	"1"	"1"	"1"	"2"	"0"	"3"	"7"	"11"	""	"40"	"264"	"-"	"264"	""	""
"71"	"59"	"59"	""	"62"	"94"	"457"	"10"	"3"	""	"1"	"0"	"0"	"1"	"1"	"1"	"3"	"7"	""	"11"	"651"	"-"	"651"	""	""
"72"	"60"	"60"	""	"46"	"293"	"39"	"6"	"4"	""	"9"	"1"	"0"	"1"	"4"	"1"	"3"	"17"	""	"15"	"439"	"-"	"439"	""	""
"73"	"61"	"61"	""	"70"	"46"	"189"	"2"	"1"	""	"1"	"0"	"2"	"0"	"0"	"0"	"4"	"2"	""	"9"	"326"	"-"	"326"	""	""
"74"	"62"	"62"	""	"82"	"23"	"130"	"2"	"1"	""	"0"	"0"	"0"	"0"	"3"	"1"	"4"	"3"	""	"3"	"252"	"-"	"252"	""	""
"75"	"63"	"63"	""	"14"	"77"	"124"	"3"	"1"	""	"5"	"1"	"0"	"8"	"0"	"2"	"3"	"7"	""	"14"	"259"	"-"	"259"	""	""
"76"	"64"	"64"	""	"20"	"179"	"160"	"3"	"1"	""	"3"	"4"	"1"	"19"	"4"	"14"	"13"	"17"	""	"24"	"462"	"-"	"462"	""	""
"77"	"65"	"65"	""	"30"	"174"	"133"	"11"	"4"	""	"1"	"5"	"2"	"5"	"4"	"7"	"5"	"10"	""	"6"	"397"	"-"	"397"	""	""
"78"	"66"	"66"	""	"20"	"143"	"160"	"6"	"0"	""	"4"	"3"	"3"	"20"	"8"	"6"	"6"	"15"	""	"12"	"406"	"-"	"406"	""	""
"79"	"67"	"67"	""	"44"	"99"	"208"	"5"	"3"	""	"1"	"1"	"4"	"29"	"3"	"5"	"3"	"17"	""	"3"	"425"	"-"	"425"	""	""
"80"	"68"	"68"	""	"42"	"43"	"287"	"6"	"1"	""	"2"	"0"	"0"	"7"	"2"	"2"	"8"	"8"	""	"26"	"434"	"-"	"434"	""	""
"81"	"69"	"69"	""	"33"	"34"	"181"	"4"	"0"	""	"0"	"0"	"0"	"1"	"0"	"0"	"4"	"1"	""	"5"	"263"	"-"	"263"	""	""
"82"	"5/25/20113:58 PM                                                                                                                                                     benipur80                                                                                                                                                                  Page# 2 /7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"Sl.
No."	"No. of Polling Station"	""	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"84"	""	""	""	"Ajay Ku mar Jalan"	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Yugeshwar Sahani"	"Ku mari Su reshwari"	""	"Md.
Khu rsheed Alam"	"Du rga Nand
Mahabir Nayak"	"Md.
Nizamu ddin"	"Sathy Narayn Mu khiya"	"Abdu r Rahim"	"Govind Acharya"	"Bharat Yadav"	"Lal Bahadu r
Yadav"	""	"Prof. Hareram Acharya"	""	""	""	""	""
"85"	"1"	"2"	""	"3"	"4"	"5"	"6"	"7"	""	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	""
"86"	"70"	"70"	""	"20"	"124"	"103"	"31"	"9"	""	"3"	"3"	"20"	"18"	"3"	"7"	"6"	"16"	""	"20"	"383"	"-"	"383"	""	""
"87"	"71"	"71"	""	"23"	"168"	"30"	"171"	"7"	""	"3"	"0"	"12"	"6"	"0"	"1"	"4"	"11"	""	"10"	"446"	"-"	"446"	""	""
"88"	"72"	"72"	""	"31"	"25"	"231"	"7"	"2"	""	"3"	"0"	"1"	"2"	"2"	"0"	"1"	"4"	""	"4"	"313"	"-"	"313"	""	""
"89"	"73"	"73"	""	"27"	"3"	"269"	"5"	"1"	""	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	""	"1"	"309"	"-"	"309"	""	""
"90"	"74"	"74"	""	"14"	"412"	"59"	"18"	"2"	""	"0"	"0"	"2"	"14"	"0"	"2"	"4"	"8"	""	"7"	"542"	"-"	"542"	""	""
"91"	"75"	"75"	""	"36"	"412"	"29"	"4"	"1"	""	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"6"	""	"2"	"496"	"-"	"496"	""	""
"92"	"76"	"76"	""	"19"	"348"	"58"	"7"	"1"	""	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"3"	""	"2"	"442"	"-"	"442"	""	""
"93"	"77"	"77"	""	"47"	"3"	"283"	"4"	"2"	""	"5"	"9"	"4"	"88"	"7"	"0"	"6"	"1"	""	"2"	"461"	"-"	"461"	""	""
"94"	"78"	"78"	""	"73"	"12"	"317"	"3"	"4"	""	"3"	"5"	"4"	"41"	"5"	"1"	"6"	"1"	""	"8"	"483"	"-"	"483"	""	""
"95"	"79"	"79"	""	"22"	"25"	"375"	"17"	"1"	""	"3"	"3"	"3"	"18"	"3"	"1"	"6"	"1"	""	"7"	"485"	"-"	"485"	""	""
"96"	"80"	"80"	""	"48"	"23"	"251"	"30"	"3"	""	"5"	"3"	"5"	"10"	"3"	"2"	"7"	"3"	""	"8"	"401"	"-"	"401"	""	""
"97"	"81"	"81"	""	"23"	"61"	"296"	"4"	"3"	""	"5"	"4"	"2"	"4"	"4"	"2"	"0"	"2"	""	"7"	"417"	"-"	"417"	""	""
"98"	"82"	"82"	""	"18"	"27"	"326"	"18"	"3"	""	"2"	"1"	"0"	"1"	"7"	"8"	"11"	"13"	""	"12"	"447"	"-"	"447"	""	""
"99"	"83"	"83"	""	"39"	"213"	"204"	"6"	"1"	""	"7"	"0"	"2"	"2"	"1"	"1"	"3"	"3"	""	"3"	"485"	"-"	"485"	""	""
"100"	"84"	"84"	""	"36"	"159"	"321"	"9"	"5"	""	"3"	"0"	"4"	"5"	"3"	"1"	"9"	"4"	""	"4"	"563"	"-"	"563"	""	""
"101"	"85"	"85"	""	"14"	"31"	"200"	"18"	"2"	""	"6"	"0"	"3"	"1"	"4"	"3"	"7"	"5"	""	"14"	"308"	"-"	"308"	""	""
"102"	"86"	"86"	""	"35"	"258"	"89"	"4"	"2"	""	"1"	"0"	"1"	"4"	"2"	"4"	"8"	"8"	""	"17"	"433"	"-"	"433"	""	""
"103"	"87"	"87"	""	"27"	"137"	"159"	"11"	"2"	""	"2"	"2"	"2"	"0"	"1"	"2"	"4"	"1"	""	"2"	"352"	"-"	"352"	""	""
"104"	"88"	"88"	""	"36"	"227"	"161"	"5"	"1"	""	"2"	"1"	"10"	"10"	"3"	"6"	"4"	"4"	""	"2"	"472"	"-"	"472"	""	""
"105"	"89"	"89"	""	"60"	"6"	"472"	"9"	"0"	""	"3"	"0"	"0"	"2"	"0"	"0"	"4"	"0"	""	"2"	"558"	"-"	"558"	""	""
"106"	"90"	"90"	""	"7"	"36"	"289"	"11"	"3"	""	"5"	"2"	"3"	"4"	"5"	"4"	"8"	"7"	""	"7"	"391"	"-"	"391"	""	""
"107"	"91"	"91"	""	"29"	"150"	"140"	"11"	"2"	""	"5"	"1"	"5"	"16"	"6"	"2"	"2"	"5"	""	"5"	"379"	"-"	"379"	""	""
"108"	"92"	"92"	""	"51"	"13"	"142"	"4"	"1"	""	"4"	"6"	"8"	"51"	"5"	"1"	"4"	"2"	""	"2"	"294"	"-"	"294"	""	""
"109"	"93"	"93"	""	"17"	"16"	"245"	"8"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"1"	"287"	"-"	"287"	""	""
"110"	"94"	"94"	""	"20"	"175"	"123"	"8"	"2"	""	"3"	"5"	"4"	"3"	"2"	"2"	"5"	"9"	""	"10"	"371"	"-"	"371"	""	""
"111"	"95"	"95"	""	"36"	"270"	"107"	"9"	"4"	""	"4"	"6"	"8"	"19"	"0"	"6"	"6"	"12"	""	"7"	"494"	"-"	"494"	""	""
"112"	"96"	"96"	""	"65"	"95"	"166"	"98"	"1"	""	"0"	"1"	"5"	"2"	"2"	"0"	"0"	"3"	""	"3"	"441"	"-"	"441"	""	""
"113"	"97"	"97"	""	"86"	"33"	"277"	"5"	"1"	""	"1"	"1"	"0"	"4"	"2"	"0"	"2"	"1"	""	"3"	"416"	"-"	"416"	""	""
"114"	"98"	"98"	""	"58"	"119"	"406"	"14"	"0"	""	"1"	"2"	"0"	"2"	"2"	"0"	"5"	"3"	""	"1"	"613"	"-"	"613"	""	""
"115"	"99"	"99"	""	"15"	"232"	"64"	"3"	"0"	""	"1"	"1"	"0"	"1"	"0"	"4"	"2"	"22"	""	"31"	"376"	"-"	"376"	""	""
"116"	"100"	"100"	""	"50"	"355"	"82"	"16"	"3"	""	"10"	"4"	"8"	"3"	"6"	"3"	"2"	"17"	""	"14"	"573"	"-"	"573"	""	""
"117"	"101"	"101"	""	"20"	"188"	"261"	"12"	"1"	""	"3"	"1"	"6"	"0"	"3"	"2"	"2"	"10"	""	"4"	"513"	"-"	"513"	""	""
"118"	"102"	"102"	""	"50"	"218"	"35"	"8"	"1"	""	"3"	"5"	"1"	"1"	"3"	"4"	"0"	"5"	""	"6"	"340"	"-"	"340"	""	""
"119"	"103"	"103"	""	"27"	"262"	"87"	"5"	"2"	""	"3"	"2"	"1"	"2"	"4"	"3"	"6"	"15"	""	"12"	"431"	"-"	"431"	""	""
"120"	"104"	"104"	""	"16"	"278"	"17"	"12"	"0"	""	"2"	"9"	"2"	"68"	"3"	"3"	"5"	"5"	""	"7"	"427"	"-"	"427"	""	""
"121"	"105"	"105"	""	"31"	"208"	"155"	"37"	"4"	""	"2"	"3"	"3"	"5"	"0"	"1"	"3"	"5"	""	"4"	"461"	"-"	"461"	""	""
"122"	"106"	"106"	""	"71"	"69"	"263"	"13"	"3"	""	"6"	"4"	"3"	"0"	"1"	"1"	"4"	"4"	""	"3"	"445"	"-"	"445"	""	""
"123"	"107"	"107"	""	"29"	"156"	"221"	"33"	"2"	""	"8"	"3"	"5"	"20"	"4"	"4"	"16"	"7"	""	"20"	"528"	"-"	"528"	""	""
"124"	"108"	"108"	""	"38"	"214"	"205"	"19"	"4"	""	"1"	"5"	"6"	"44"	"14"	"13"	"20"	"24"	""	"88"	"695"	"-"	"695"	""	""
"125"	"5/25/20113:58 PM                                                                                                                                                     benipur80                                                                                                                                                                  Page# 3 /7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"Sl.
No."	"No. of Polling Station"	""	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"127"	""	""	""	"Ajay Ku mar Jalan"	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Yugeshwar Sahani"	"Ku mari Su reshwari"	""	"Md.
Khu rsheed Alam"	"Du rga Nand
Mahabir Nayak"	"Md.
Nizamu ddin"	"Sathy Narayn Mu khiya"	"Abdu r Rahim"	"Govind Acharya"	"Bharat Yadav"	"Lal Bahadu r
Yadav"	""	"Prof. Hareram Acharya"	""	""	""	""	""
"128"	"1"	"2"	""	"3"	"4"	"5"	"6"	"7"	""	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	""
"129"	"109"	"109"	""	"21"	"208"	"87"	"10"	"2"	""	"3"	"0"	"3"	"11"	"0"	"1"	"5"	"6"	""	"4"	"361"	"-"	"361"	""	""
"130"	"110"	"110"	""	"2"	"342"	"62"	"1"	"0"	""	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"7"	""	"1"	"417"	"-"	"417"	""	""
"131"	"111"	"111"	""	"21"	"172"	"187"	"2"	"0"	""	"2"	"2"	"3"	"1"	"3"	"2"	"1"	"3"	""	"3"	"402"	"-"	"402"	""	""
"132"	"112"	"112"	""	"25"	"320"	"31"	"11"	"2"	""	"5"	"4"	"8"	"3"	"1"	"7"	"10"	"24"	""	"39"	"490"	"-"	"490"	""	""
"133"	"113"	"113"	""	"55"	"227"	"100"	"20"	"3"	""	"1"	"5"	"33"	"2"	"0"	"5"	"10"	"15"	""	"18"	"494"	"-"	"494"	""	""
"134"	"114"	"114"	""	"28"	"220"	"120"	"16"	"4"	""	"5"	"4"	"95"	"3"	"7"	"4"	"3"	"11"	""	"9"	"529"	"-"	"529"	""	""
"135"	"115"	"115"	""	"42"	"243"	"156"	"41"	"5"	""	"2"	"2"	"7"	"3"	"4"	"8"	"10"	"26"	""	"16"	"565"	"-"	"565"	""	""
"136"	"116"	"116"	""	"12"	"281"	"128"	"74"	"2"	""	"1"	"6"	"13"	"1"	"1"	"4"	"4"	"19"	""	"9"	"555"	"-"	"555"	""	""
"137"	"117"	"117"	""	"11"	"60"	"98"	"2"	"0"	""	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"10"	""	"1"	"185"	"-"	"185"	""	""
"138"	"118"	"118"	""	"17"	"158"	"9"	"2"	"1"	""	"1"	"1"	"1"	"2"	"1"	"2"	"1"	"3"	""	"4"	"203"	"-"	"203"	""	""
