"Name.of.Candidate"	"Dr..Arun.Kumar"	"Jagdish.Sharma"	"Ramadhar.Sharma"	"Surendra.Prasad.Yadav"	"Ayasha.Khatun"	"Prof..Jai.Ram.Prasad.Singh"	"Tara.Gupta"	"Mahanand.Prasad"	"Ramasray.Prasad.Singh"	"Md..Shahabubin.Jahan"	"Shravan.kumar"	"Sadhu.Sinha"	"Syed.Akber.Imam"	"Ajay.Kumar.Verma"	"Abhay.Kumar.Anil"	"Dr..Arbind.Kumar"	"X."	"Arvind.Prasad.Singh"	"Upendra.Prasad"	"Jagdish.Yadav"	"Prikshit.Singh"	"Prabhat.Kumar.Ranjan"	"Ranjit.Sharma"	"Rakeshwar.Kishor"	"Siya.Ram.Prasad"	"Sumirak.Singh"	"Total.Valid.Votes"	"No..of.Reject.ed.votes"	"Total"	"No..of.tender.ed.votes"
"33"	"25"	38	206	4	192	3	1	2	26	0	0	1	1	0	0	0	3	""	0	0	1	0	1	1	1	1	1	483	NA	483	NA
"34"	"26"	7	267	27	56	2	5	1	52	1	0	0	0	0	0	0	3	""	0	0	0	0	0	0	0	0	0	421	NA	421	NA
"35"	"27"	15	334	0	0	0	0	0	5	0	0	0	0	0	0	0	1	""	0	0	0	0	0	0	0	0	0	355	NA	355	NA
"36"	"28"	21	127	8	161	7	2	1	39	3	0	1	0	3	0	1	5	""	4	1	1	0	1	0	0	0	1	387	NA	387	NA
"37"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"38"	"Total"	679	3184	95	1520	33	27	5	320	6	2	3	1	9	4	3	151	""	16	7	7	3	3	3	3	7	11	6102	NA	6102	NA
"39"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"40"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"41"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	""	17	18	19	20	21	22	23	24	25	26	27	28	29
"42"	"Round 3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"43"	"29"	1	25	158	267	0	0	1	1	1	0	1	0	0	1	0	0	""	0	0	0	0	5	1	0	0	0	462	NA	462	NA
"44"	"30"	0	50	18	83	1	1	1	110	4	1	0	0	0	0	0	1	""	0	0	0	0	0	0	0	0	0	270	NA	270	NA
"45"	"31"	22	154	65	51	4	3	1	1	2	0	1	1	1	0	2	15	""	1	2	1	0	2	0	0	1	5	335	NA	335	NA
"46"	"32"	19	153	9	116	2	0	1	8	0	1	2	1	4	2	0	10	""	10	2	1	2	0	1	0	1	2	347	NA	347	NA
"47"	"33"	30	97	2	147	8	1	3	109	5	3	3	3	10	4	5	18	""	1	2	0	0	1	0	0	5	6	463	NA	463	NA
"48"	"34"	7	112	68	66	2	1	7	51	5	1	3	1	0	2	1	9	""	1	1	2	0	0	0	0	0	0	340	NA	340	NA
"49"	"35"	6	166	19	40	1	0	0	59	1	1	1	1	0	2	1	16	""	0	0	0	0	0	0	0	0	0	314	NA	314	NA
"50"	"36"	29	622	2	39	0	2	0	4	0	0	0	0	1	0	0	1	""	1	1	0	0	0	0	0	0	0	702	NA	702	NA
"51"	"37"	22	303	61	75	1	3	0	7	1	1	3	0	0	1	2	7	""	1	0	4	0	1	0	2	0	1	496	NA	496	NA
"52"	"38"	6	242	45	227	2	2	1	6	1	1	0	0	1	0	2	4	""	2	1	0	3	1	0	2	1	3	553	NA	553	NA
"53"	"39"	30	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	158	NA	158	NA
"54"	"40"	8	180	5	43	0	3	0	26	0	0	1	0	0	1	1	4	""	0	0	0	0	0	0	0	0	0	272	NA	272	NA
"55"	"41"	9	126	148	8	1	0	0	0	0	0	0	1	0	1	0	2	""	2	0	1	0	0	0	0	0	1	300	NA	300	NA
"56"	"42"	93	67	53	242	4	2	0	5	0	0	1	1	0	0	1	2	""	0	0	1	0	0	0	0	0	0	472	NA	472	NA
"57"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"58"	"Total"	282	2425	653	1404	26	18	15	387	20	9	16	9	17	14	15	89	""	19	9	10	5	10	2	4	8	18	5484	NA	5484	NA
"59"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"60"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"61"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	""	17	18	19	20	21	22	23	24	25	26	27	28	29
"62"	"Round 4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"63"	"43"	9	87	71	61	2	0	2	0	1	0	0	0	0	0	1	1	""	0	0	1	0	0	1	0	0	2	239	NA	239	NA
"64"	"44"	4	157	3	101	6	6	0	3	1	1	0	0	2	2	1	8	""	0	1	1	0	0	0	0	0	0	297	NA	297	NA
"65"	"45"	21	211	0	38	0	0	0	0	1	0	0	0	0	0	2	1	""	1	0	1	1	0	0	0	0	0	277	NA	277	NA
"66"	"46"	15	100	198	112	5	5	2	2	1	3	2	1	1	1	2	15	""	0	0	1	0	2	0	1	0	3	472	NA	472	NA
"67"	"47"	14	98	21	62	1	0	0	0	0	0	0	0	0	0	0	1	""	0	0	0	0	0	0	0	0	0	197	NA	197	NA
"68"	"48"	46	146	3	7	0	2	0	0	0	0	0	0	0	0	3	2	""	1	0	2	0	0	0	0	0	0	212	NA	212	NA
"69"	"49"	37	143	1	45	1	1	0	1	1	3	1	0	1	0	3	10	""	0	3	2	1	1	1	0	1	0	257	NA	257	NA
"70"	"50"	10	467	1	11	5	0	1	2	0	3	0	1	0	1	2	2	""	2	0	2	0	1	0	1	0	0	512	NA	512	NA
"71"	"51"	2	7	1	349	4	2	0	0	0	0	1	0	0	0	1	0	""	1	0	6	1	18	0	0	0	1	394	NA	394	NA
"72"	"52"	3	37	0	399	2	1	1	3	0	5	0	0	0	0	0	9	""	0	0	1	0	0	0	1	0	0	462	NA	462	NA
"73"	"53"	12	417	3	0	0	0	0	6	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	438	NA	438	NA
"74"	"54"	39	500	2	93	0	0	0	0	2	0	0	0	0	0	0	9	""	0	0	0	0	0	0	0	0	0	645	NA	645	NA
"75"	"55"	42	371	6	54	1	1	0	0	0	0	0	0	0	1	1	2	""	5	1	2	3	1	1	1	0	1	494	NA	494	NA
"76"	"56"	1	7	0	261	0	0	0	2	0	2	0	0	0	1	0	0	""	0	0	0	0	0	0	0	1	0	275	NA	275	NA
"77"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA
"78"	"Total"	255	2748	310	1593	27	18	6	19	7	17	4	2	4	6	16	60	""	10	5	19	6	23	3	4	2	7	5171	NA	5171	NA
"79"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"80"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"81"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	""	17	18	19	20	21	22	23	24	25	26	27	28	29
"82"	"Round 5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"83"	"57"	27	426	44	39	2	0	0	4	1	1	1	0	0	1	0	8	""	1	4	6	1	0	0	0	0	0	566	NA	566	NA
"84"	"58"	60	126	1	118	3	1	0	17	0	1	0	0	3	1	0	5	""	1	0	0	1	0	0	0	0	0	338	NA	338	NA
"85"	"59"	43	92	9	39	0	5	0	37	3	2	0	1	0	2	3	3	""	5	3	1	1	0	0	1	2	4	256	NA	256	NA
"86"	"60"	15	109	11	54	2	7	1	12	1	0	3	1	5	0	3	14	""	1	3	3	0	2	1	0	1	2	251	NA	251	NA
"87"	"61"	10	275	25	149	4	1	3	3	1	1	0	2	3	1	1	2	""	4	1	1	0	0	1	2	0	1	491	NA	491	NA
"88"	"62"	16	205	17	17	3	9	5	3	3	1	0	0	0	0	1	5	""	1	9	2	0	0	0	0	1	1	299	NA	299	NA
"89"	"63"	8	166	10	117	6	5	0	10	0	0	2	0	6	2	4	17	""	2	3	3	0	3	0	0	1	0	365	NA	365	NA
"90"	"64"	7	108	54	131	3	2	0	15	0	0	1	0	0	3	0	12	""	4	0	2	3	1	0	2	1	4	353	NA	353	NA
"91"	"65"	4	76	1	460	4	2	2	3	0	0	0	0	0	0	0	12	""	4	1	2	1	4	1	0	0	0	577	NA	577	NA
"92"	"66"	4	18	1	658	2	3	1	4	0	1	0	1	0	0	0	48	""	2	1	0	1	1	0	0	0	0	746	NA	746	NA
"93"	"67"	89	159	11	107	7	4	2	3	0	1	0	1	2	4	0	12	""	3	1	0	3	3	0	0	0	1	413	NA	413	NA
"94"	"68"	2	191	4	168	5	9	1	18	1	0	1	2	1	2	1	26	""	1	0	1	0	1	1	0	1	2	439	NA	439	NA
"95"	"69"	48	367	9	19	1	0	0	2	0	0	0	0	1	0	0	9	""	4	3	2	0	0	0	0	1	2	468	NA	468	NA
"96"	"70"	26	51	0	135	3	1	1	20	0	0	0	0	1	2	0	5	""	0	0	0	0	0	0	0	0	0	245	NA	245	NA
"97"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"98"	"Total"	359	2369	197	2211	45	49	16	151	10	8	8	8	22	18	13	178	""	33	29	23	11	15	4	5	8	17	5807	NA	5807	NA
"99"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"100"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"101"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	""	17	18	19	20	21	22	23	24	25	26	27	28	29
"102"	"Round 6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"103"	"71"	32	553	21	109	2	2	3	2	0	0	0	0	0	0	0	42	""	0	0	2	1	0	0	0	0	2	771	NA	771	NA
"104"	"72"	2	127	1	306	1	2	3	22	0	0	1	1	0	2	0	3	""	0	2	2	1	1	0	0	0	0	477	NA	477	NA
"105"	"73"	14	3	7	369	15	1	1	2	2	0	2	3	5	2	1	4	""	2	1	0	3	0	1	1	0	2	441	NA	441	NA
"106"	"74"	8	370	1	112	3	3	2	35	0	0	0	0	0	1	1	8	""	0	0	1	0	3	0	0	0	0	548	NA	548	NA
"107"	"75"	26	315	29	26	0	3	1	57	0	0	1	1	0	0	0	10	""	3	0	0	1	0	1	0	0	1	475	NA	475	NA
"108"	"76"	7	496	11	56	1	5	2	26	0	0	0	1	0	0	0	6	""	2	7	3	2	1	0	1	2	2	631	NA	631	NA
"109"	"77"	3	10	1	297	5	2	0	0	0	1	1	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	320	NA	320	NA
"110"	"78"	12	67	6	202	3	3	1	45	0	1	0	1	1	0	0	26	""	4	1	0	0	3	0	2	0	0	378	NA	378	NA
"111"	"79"	25	273	25	10	1	9	1	15	0	0	0	0	0	0	1	4	""	0	0	0	0	0	0	0	0	0	364	NA	364	NA
"112"	"80"	13	231	43	49	1	1	2	76	1	1	1	2	0	2	1	1	""	0	1	0	0	1	0	0	1	1	429	NA	429	NA
"113"	"81"	3	78	2	650	3	1	0	42	2	1	0	1	1	0	0	9	""	1	0	0	1	6	0	0	0	0	801	NA	801	NA
"114"	"82"	27	226	56	164	2	3	0	70	0	0	0	0	1	1	0	8	""	3	1	0	0	0	0	1	2	0	565	NA	565	NA
"115"	"83"	28	304	34	20	5	4	3	100	1	0	0	1	0	0	0	1	""	5	3	1	1	1	0	3	1	0	516	NA	516	NA
"116"	"84"	8	104	5	100	1	0	1	19	0	0	1	0	0	0	0	7	""	1	0	0	0	0	0	0	0	0	247	NA	247	NA
"117"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"118"	"Total"	208	3157	242	2470	43	39	20	511	6	4	7	11	8	8	4	129	""	21	16	9	10	16	2	8	6	8	6963	NA	6963	NA
"119"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"120"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"121"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	""	17	18	19	20	21	22	23	24	25	26	27	28	29
"122"	"Round 7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"123"	"85"	3	61	3	236	0	4	0	7	1	1	0	0	1	2	0	10	""	2	1	1	3	2	0	0	0	0	338	NA	338	NA
"124"	"86"	26	112	33	214	0	4	2	152	0	1	1	1	0	2	2	9	""	3	2	0	0	0	2	0	0	0	566	NA	566	NA
"125"	"87"	1	172	41	20	0	2	6	80	4	0	2	2	0	1	0	5	""	3	2	3	1	0	2	1	2	3	353	NA	353	NA
"126"	"88"	10	8	4	164	8	1	1	1	0	1	2	0	3	1	3	10	""	4	0	1	0	1	0	0	0	1	224	NA	224	NA
"127"	"89"	5	145	2	242	1	1	2	20	4	1	2	1	1	1	1	9	""	2	1	2	1	6	1	1	1	1	454	NA	454	NA
"128"	"90"	21	289	11	71	1	4	0	2	1	1	1	0	1	2	0	7	""	2	1	0	1	1	0	0	0	0	417	NA	417	NA
"129"	"91"	6	26	2	243	2	0	0	1	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	280	NA	280	NA
"130"	"92"	36	193	2	0	0	0	0	0	0	0	0	0	0	0	0	1	""	0	0	0	0	0	0	0	0	0	232	NA	232	NA
"131"	"93"	16	164	19	262	6	1	1	63	1	0	0	0	1	0	0	2	""	1	1	1	1	0	0	0	0	0	540	NA	540	NA
"132"	"94"	5	182	11	102	5	2	3	12	1	3	3	1	4	3	2	21	""	0	0	4	0	0	0	1	0	2	367	NA	367	NA
"133"	"95"	5	135	2	47	1	1	1	18	0	0	1	0	0	0	0	2	""	1	0	0	0	0	0	0	0	0	214	NA	214	NA
"134"	"96"	9	82	2	110	0	3	3	42	2	1	1	0	0	1	0	0	""	1	1	0	0	6	1	1	1	1	268	NA	268	NA
"135"	"97"	4	123	10	187	4	0	0	7	0	0	0	0	2	2	1	3	""	0	1	3	0	0	0	1	0	2	350	NA	350	NA
"136"	"98"	3	125	3	23	0	0	0	5	0	0	0	0	0	0	0	30	""	0	0	0	0	1	0	0	1	0	191	NA	191	NA
"137"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"138"	"Total"	150	1817	145	1921	28	23	19	410	14	9	13	5	13	15	9	109	""	19	10	15	7	17	6	5	5	10	4794	NA	4794	NA
"139"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"140"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"141"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	""	17	18	19	20	21	22	23	24	25	26	27	28	29
"142"	"Round 8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"143"	"99"	28	232	31	91	1	6	0	9	0	1	0	4	0	1	3	1	""	1	0	2	1	2	0	1	0	1	416	NA	416	NA
"144"	"100"	27	270	2	107	1	5	0	5	0	1	1	1	0	1	0	4	""	1	1	3	0	2	0	2	0	1	435	NA	435	NA
"145"	"101"	41	261	14	271	2	0	0	1	0	0	0	0	0	0	0	3	""	0	0	0	0	0	0	0	0	0	593	NA	593	NA
"146"	"102"	6	129	2	64	2	1	0	1	0	2	1	0	1	1	1	4	""	2	7	0	1	0	1	0	0	2	228	NA	228	NA
"147"	"103"	12	109	3	141	3	0	0	2	1	0	2	1	2	1	2	3	""	14	8	6	8	4	1	3	1	5	332	NA	332	NA
"148"	"104"	24	30	15	71	1	0	0	1	1	0	1	2	0	0	0	18	""	3	2	2	3	0	1	0	1	3	179	NA	179	NA
"149"	"105"	83	163	5	175	3	20	0	0	0	0	3	1	3	0	1	3	""	3	0	0	1	0	1	0	0	0	465	NA	465	NA
"150"	"106"	5	17	21	208	3	2	1	0	0	0	0	1	1	0	0	6	""	12	0	1	3	1	1	1	0	4	288	NA	288	NA
"151"	"107"	2	332	7	194	1	0	1	1	0	0	0	0	1	0	1	1	""	0	0	0	0	0	0	0	0	0	541	NA	541	NA
"152"	"108"	18	357	14	246	6	6	1	44	3	1	0	0	2	2	4	4	""	10	4	3	4	0	1	2	1	4	737	NA	737	NA
"153"	"109"	14	67	1	23	1	3	2	0	0	0	0	0	0	0	4	9	""	0	2	0	1	0	1	0	2	1	131	NA	131	NA
"154"	"110"	4	13	7	1016	3	0	0	0	0	0	0	0	0	0	0	4	""	1	0	1	0	2	0	0	0	0	1051	NA	1051	NA
"155"	"111"	0	53	1	523	1	0	0	1	11	0	0	0	0	0	0	4	""	0	0	1	0	15	0	0	0	0	610	NA	610	NA
"156"	"112"	13	103	5	106	2	2	0	2	0	0	0	1	2	1	2	5	""	4	2	3	1	1	1	0	0	1	257	NA	257	NA
"157"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"158"	"Total"	277	2136	128	3236	30	45	5	67	16	5	8	11	12	7	18	69	""	51	26	22	23	27	8	9	5	22	6263	NA	6263	NA
"159"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"160"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"161"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	""	17	18	19	20	21	22	23	24	25	26	27	28	29
"162"	"Round 9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"163"	"113"	13	46	0	243	2	0	3	1	0	0	1	0	2	0	2	6	""	5	1	1	4	3	3	0	0	2	338	NA	338	NA
"164"	"114"	0	109	4	147	1	2	0	0	0	1	0	0	1	1	1	3	""	3	1	2	0	0	0	0	0	0	276	NA	276	NA
"165"	"115"	9	141	6	205	4	4	2	1	0	1	0	0	1	0	0	2	""	2	1	1	0	0	0	0	0	1	381	NA	381	NA
"166"	"116"	4	496	1	1	0	0	0	2	0	0	0	0	0	1	0	0	""	0	1	0	0	0	0	0	0	0	506	NA	506	NA
"167"	"117"	8	212	16	35	1	9	1	174	9	1	2	0	2	6	7	16	""	1	1	0	0	0	0	1	2	1	505	NA	505	NA
"168"	"118"	55	258	5	80	4	1	2	6	5	1	2	0	1	3	1	9	""	3	2	3	0	0	0	0	0	0	441	NA	441	NA
"169"	"119"	31	265	48	144	2	3	0	3	0	2	1	0	1	1	1	2	""	1	3	5	1	0	0	0	0	0	514	NA	514	NA
