"Sl..No."	"No..of.Polling.Station"	"No..of.Valid.votes.cast..in..favou.r.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"Total.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tendere.d.votes"
"16"	"12"	"12"	"60"	"92"	"8"	"157"	"18"	"11"	"3"	"1"	"4"	"3"	"1"	"7"	"365"	"0"	"365"	""
"17"	"13"	"13"	"132"	"49"	"4"	"189"	"10"	"3"	"0"	"1"	"1"	"1"	"1"	"0"	"391"	"0"	"391"	""
"18"	"14"	"14"	"104"	"28"	"6"	"111"	"4"	"1"	"0"	"0"	"0"	"1"	"1"	"3"	"259"	"0"	"259"	""
"19"	"15"	"15"	"82"	"25"	"60"	"17"	"5"	"0"	"3"	"1"	"1"	"1"	"0"	"2"	"197"	"0"	"197"	""
"20"	"16"	"16"	"46"	"10"	"2"	"88"	"3"	"1"	"1"	"0"	"2"	"2"	"1"	"3"	"159"	"0"	"159"	""
"21"	"17"	"17"	"176"	"42"	"6"	"148"	"11"	"6"	"0"	"2"	"3"	"1"	"1"	"5"	"401"	"0"	"401"	""
"22"	"18"	"18"	"110"	"22"	"5"	"173"	"16"	"1"	"3"	"1"	"5"	"1"	"0"	"7"	"344"	"0"	"344"	""
"23"	"19"	"19"	"179"	"16"	"7"	"33"	"2"	"4"	"6"	"5"	"2"	"0"	"4"	"10"	"268"	"0"	"268"	""
"24"	"20"	"20"	"532"	"10"	"0"	"33"	"2"	"2"	"4"	"0"	"1"	"1"	"0"	"0"	"585"	"0"	"585"	""
"25"	"21"	"21"	"95"	"17"	"6"	"245"	"27"	"7"	"23"	"1"	"4"	"2"	"1"	"16"	"444"	"0"	"444"	""
"26"	"22"	"22"	"88"	"134"	"38"	"159"	"23"	"8"	"5"	"2"	"4"	"6"	"8"	"16"	"491"	"0"	"491"	""
"27"	"23"	"23"	"72"	"92"	"3"	"151"	"10"	"8"	"2"	"1"	"4"	"2"	"3"	"9"	"357"	"0"	"357"	""
"28"	"24"	"24"	"87"	"56"	"20"	"140"	"33"	"8"	"10"	"2"	"2"	"3"	"1"	"1"	"363"	"0"	"363"	""
"29"	"25"	"25"	"31"	"62"	"6"	"335"	"20"	"4"	"2"	"0"	"4"	"4"	"5"	"9"	"482"	"0"	"482"	""
"30"	"26"	"26"	"8"	"5"	"0"	"212"	"7"	"1"	"1"	"0"	"2"	"1"	"1"	"2"	"240"	"0"	"240"	""
"31"	"27"	"27"	"108"	"7"	"6"	"132"	"13"	"0"	"0"	"1"	"0"	"1"	"2"	"7"	"277"	"0"	"277"	""
"32"	"28"	"28"	"60"	"5"	"6"	"134"	"2"	"1"	"2"	"0"	"0"	"1"	"1"	"0"	"212"	"0"	"212"	""
"33"	"29"	"29"	"108"	"30"	"13"	"149"	"21"	"4"	"2"	"4"	"7"	"5"	"2"	"7"	"352"	"0"	"352"	""
"34"	"30"	"30"	"104"	"13"	"2"	"46"	"5"	"1"	"0"	"0"	"0"	"1"	"3"	"2"	"177"	"0"	"177"	""
"35"	"31"	"31"	"92"	"37"	"32"	"91"	"10"	"1"	"6"	"0"	"5"	"3"	"2"	"5"	"284"	"0"	"284"	""
"36"	"32"	"32"	"110"	"54"	"6"	"172"	"11"	"4"	"2"	"0"	"2"	"1"	"2"	"0"	"364"	"0"	"364"	""
"37"	"33"	"33"	"39"	"17"	"5"	"161"	"49"	"2"	"8"	"1"	"0"	"1"	"4"	"12"	"299"	"0"	"299"	""
"38"	"34"	"34"	"18"	"5"	"14"	"89"	"16"	"3"	"3"	"1"	"3"	"2"	"2"	"5"	"161"	"0"	"161"	""
"39"	"35"	"35"	"15"	"53"	"2"	"77"	"6"	"3"	"0"	"1"	"0"	"0"	"0"	"6"	"163"	"0"	"163"	""
"40"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendere d votes"
"41"	""	""	"AKHILES"	"ARVIND"	"GAGAND"	"RADHA"	"RAM"	"UMESH"	"NAGENDRA"	"SURESH"	"SURESH"	"JHAGAR"	"PARASN"	"MD."	""	""	""	""
"42"	""	""	"H PRASAD"	"KUMAR GUPTA"	"EO YADAV"	"MOHAN
SINGH"	"CHANDRA
PRASAD"	"KUMAR
SINGH"	"SAHANI"	"KUMAR RAJAK"	"KUMAR RAI"	"U MAHATO"	"ATHPAN DEY"	"MURTUJ A"	""	""	""	""
"43"	""	""	"SINGH"	""	""	""	""	""	""	""	""	""	""	"ANSARI"	""	""	""	""
"44"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"17"	"18"	"19"	"20"
"45"	"36"	"36"	"19"	"49"	"25"	"161"	"12"	"3"	"2"	"4"	"0"	"2"	"2"	"5"	"284"	"0"	"284"	""
"46"	"37"	"37"	"31"	"44"	"20"	"349"	"20"	"4"	"5"	"3"	"9"	"2"	"7"	"13"	"507"	"0"	"507"	""
"47"	"38"	"38"	"61"	"71"	"7"	"222"	"23"	"7"	"3"	"2"	"2"	"4"	"5"	"7"	"414"	"0"	"414"	""
"48"	"39"	"39"	"60"	"16"	"9"	"201"	"23"	"3"	"3"	"0"	"2"	"1"	"2"	"3"	"323"	"0"	"323"	""
"49"	"40"	"40"	"58"	"47"	"2"	"120"	"32"	"2"	"0"	"0"	"3"	"0"	"3"	"5"	"272"	"0"	"272"	""
"50"	"41"	"41"	"41"	"9"	"0"	"99"	"14"	"3"	"49"	"8"	"6"	"2"	"6"	"6"	"243"	"0"	"243"	""
"51"	"42"	"42"	"82"	"33"	"7"	"192"	"13"	"5"	"1"	"1"	"1"	"2"	"3"	"5"	"345"	"0"	"345"	""
"52"	"43"	"43"	"28"	"63"	"3"	"127"	"39"	"7"	"0"	"2"	"3"	"2"	"3"	"2"	"279"	"0"	"279"	""
"53"	"44"	"44"	"36"	"23"	"4"	"54"	"19"	"1"	"1"	"2"	"0"	"2"	"2"	"4"	"148"	"0"	"148"	""
"54"	"45"	"45"	"83"	"42"	"4"	"85"	"63"	"4"	"3"	"3"	"5"	"1"	"7"	"5"	"305"	"0"	"305"	""
"55"	"46"	"46"	"111"	"29"	"10"	"61"	"3"	"2"	"2"	"2"	"2"	"3"	"1"	"10"	"236"	"0"	"236"	""
"56"	"47"	"47"	"58"	"27"	"6"	"81"	"68"	"2"	"70"	"4"	"9"	"5"	"11"	"21"	"362"	"0"	"362"	""
"57"	"48"	"48"	"24"	"34"	"1"	"194"	"13"	"1"	"5"	"1"	"1"	"0"	"0"	"1"	"275"	"0"	"275"	""
"58"	"49"	"49"	"42"	"40"	"6"	"258"	"21"	"7"	"9"	"4"	"6"	"6"	"5"	"25"	"429"	"0"	"429"	""
"59"	"50"	"50"	"70"	"33"	"13"	"191"	"23"	"4"	"4"	"4"	"2"	"4"	"2"	"5"	"355"	"0"	"355"	""
"60"	"51"	"51"	"37"	"9"	"6"	"105"	"6"	"3"	"1"	"3"	"3"	"1"	"0"	"4"	"178"	"0"	"178"	""
"61"	"52"	"52"	"47"	"18"	"9"	"188"	"18"	"1"	"3"	"2"	"1"	"2"	"0"	"7"	"296"	"0"	"296"	""
"62"	"53"	"53"	"111"	"13"	"10"	"59"	"16"	"3"	"4"	"1"	"1"	"0"	"1"	"1"	"220"	"0"	"220"	""
"63"	"54"	"54"	"97"	"21"	"3"	"147"	"12"	"2"	"1"	"0"	"3"	"0"	"4"	"7"	"297"	"0"	"297"	""
"64"	"55"	"55"	"111"	"3"	"5"	"48"	"10"	"3"	"1"	"1"	"4"	"0"	"0"	"2"	"188"	"0"	"188"	""
"65"	"56"	"56"	"175"	"8"	"5"	"120"	"13"	"5"	"4"	"1"	"5"	"3"	"3"	"6"	"348"	"0"	"348"	""
"66"	"57"	"57"	"20"	"11"	"7"	"371"	"19"	"7"	"0"	"5"	"3"	"2"	"3"	"10"	"458"	"0"	"458"	""
"67"	"58"	"58"	"82"	"29"	"3"	"103"	"14"	"0"	"0"	"0"	"1"	"2"	"1"	"1"	"236"	"0"	"236"	""
"68"	"59"	"59"	"21"	"62"	"6"	"192"	"81"	"7"	"2"	"3"	"2"	"3"	"5"	"9"	"393"	"0"	"393"	""
"69"	"60"	"60"	"24"	"79"	"3"	"153"	"55"	"5"	"6"	"1"	"3"	"3"	"5"	"12"	"349"	"0"	"349"	""
"70"	"61"	"61"	"110"	"101"	"5"	"91"	"25"	"4"	"8"	"2"	"2"	"1"	"4"	"4"	"357"	"0"	"357"	""
"71"	"62"	"62"	"44"	"22"	"3"	"116"	"43"	"2"	"1"	"1"	"0"	"1"	"2"	"7"	"242"	"0"	"242"	""
"72"	"63"	"63"	"90"	"17"	"6"	"172"	"19"	"7"	"7"	"0"	"2"	"1"	"0"	"1"	"322"	"0"	"322"	""
"73"	"64"	"64"	"277"	"8"	"0"	"193"	"21"	"12"	"7"	"0"	"4"	"1"	"6"	"17"	"546"	"0"	"546"	""
"74"	"65"	"65"	"101"	"6"	"4"	"174"	"11"	"4"	"1"	"1"	"6"	"1"	"1"	"12"	"322"	"0"	"322"	""
"75"	"66"	"66"	"83"	"18"	"9"	"94"	"15"	"2"	"1"	"2"	"2"	"1"	"0"	"5"	"232"	"0"	"232"	""
"76"	"67"	"67"	"73"	"23"	"11"	"348"	"15"	"4"	"2"	"1"	"2"	"1"	"1"	"6"	"487"	"0"	"487"	""
"77"	"68"	"68"	"116"	"27"	"8"	"224"	"18"	"11"	"35"	"0"	"2"	"1"	"1"	"7"	"450"	"0"	"450"	""
"78"	"69"	"69"	"84"	"29"	"5"	"201"	"21"	"14"	"2"	"5"	"5"	"4"	"4"	"17"	"391"	"0"	"391"	""
"79"	"70"	"70"	"73"	"15"	"8"	"105"	"5"	"7"	"60"	"3"	"5"	"5"	"2"	"7"	"295"	"0"	"295"	""
"80"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendere d votes"
"81"	""	""	"AKHILES"	"ARVIND"	"GAGAND"	"RADHA"	"RAM"	"UMESH"	"NAGENDRA"	"SURESH"	"SURESH"	"JHAGAR"	"PARASN"	"MD."	""	""	""	""
"82"	""	""	"H PRASAD"	"KUMAR GUPTA"	"EO YADAV"	"MOHAN
SINGH"	"CHANDRA
PRASAD"	"KUMAR
SINGH"	"SAHANI"	"KUMAR RAJAK"	"KUMAR RAI"	"U MAHATO"	"ATHPAN DEY"	"MURTUJ A"	""	""	""	""
"83"	""	""	"SINGH"	""	""	""	""	""	""	""	""	""	""	"ANSARI"	""	""	""	""
"84"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"17"	"18"	"19"	"20"
"85"	"71"	"71"	"187"	"40"	"12"	"128"	"12"	"6"	"45"	"0"	"3"	"0"	"2"	"10"	"445"	"0"	"445"	""
"86"	"72"	"72"	"117"	"54"	"3"	"114"	"17"	"8"	"27"	"1"	"2"	"2"	"3"	"9"	"357"	"0"	"357"	""
"87"	"73"	"73"	"118"	"73"	"5"	"141"	"18"	"3"	"6"	"2"	"5"	"3"	"2"	"16"	"392"	"0"	"392"	""
"88"	"74"	"74"	"80"	"30"	"1"	"163"	"19"	"8"	"24"	"0"	"1"	"1"	"2"	"2"	"331"	"0"	"331"	""
"89"	"75"	"75"	"129"	"30"	"4"	"107"	"9"	"2"	"18"	"0"	"3"	"0"	"2"	"17"	"321"	"0"	"321"	""
"90"	"76"	"76"	"51"	"59"	"10"	"171"	"45"	"10"	"7"	"1"	"1"	"2"	"3"	"8"	"368"	"0"	"368"	""
"91"	"77"	"77"	"31"	"65"	"6"	"135"	"12"	"9"	"24"	"0"	"2"	"1"	"1"	"5"	"291"	"0"	"291"	""
"92"	"78"	"78"	"24"	"11"	"5"	"96"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"137"	"0"	"137"	""
"93"	"79"	"79"	"91"	"71"	"1"	"75"	"16"	"3"	"6"	"0"	"4"	"2"	"3"	"5"	"277"	"0"	"277"	""
"94"	"80"	"80"	"19"	"9"	"1"	"75"	"10"	"2"	"4"	"0"	"2"	"0"	"2"	"0"	"124"	"0"	"124"	""
"95"	"81"	"81"	"161"	"13"	"11"	"74"	"8"	"5"	"83"	"4"	"4"	"4"	"3"	"16"	"386"	"0"	"386"	""
"96"	"82"	"82"	"47"	"69"	"6"	"101"	"27"	"0"	"44"	"5"	"3"	"2"	"4"	"5"	"313"	"0"	"313"	""
"97"	"83"	"83"	"17"	"77"	"19"	"155"	"40"	"7"	"42"	"2"	"6"	"3"	"3"	"9"	"380"	"0"	"380"	""
"98"	"84"	"84"	"135"	"24"	"6"	"106"	"10"	"10"	"65"	"0"	"6"	"0"	"4"	"4"	"370"	"0"	"370"	""
"99"	"85"	"85"	"4"	"35"	"17"	"183"	"21"	"2"	"31"	"1"	"2"	"3"	"1"	"6"	"306"	"0"	"306"	""
"100"	"86"	"86"	"57"	"26"	"3"	"119"	"12"	"3"	"1"	"0"	"3"	"1"	"1"	"5"	"231"	"0"	"231"	""
"101"	"87"	"87"	"102"	"125"	"8"	"65"	"32"	"3"	"6"	"0"	"0"	"2"	"2"	"4"	"349"	"0"	"349"	""
"102"	"88"	"88"	"190"	"16"	"1"	"11"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"219"	"0"	"219"	""
"103"	"89"	"89"	"76"	"84"	"13"	"333"	"25"	"11"	"5"	"2"	"3"	"5"	"8"	"20"	"585"	"0"	"585"	""
"104"	"90"	"90"	"34"	"29"	"17"	"175"	"50"	"6"	"3"	"2"	"4"	"4"	"6"	"13"	"343"	"0"	"343"	""
"105"	"91"	"91"	"19"	"60"	"11"	"187"	"22"	"4"	"2"	"5"	"3"	"2"	"8"	"13"	"336"	"0"	"336"	""
"106"	"92"	"92"	"142"	"82"	"8"	"134"	"8"	"6"	"46"	"4"	"4"	"4"	"7"	"17"	"462"	"0"	"462"	""
"107"	"93"	"93"	"51"	"80"	"9"	"192"	"11"	"5"	"1"	"2"	"4"	"2"	"3"	"9"	"369"	"0"	"369"	""
"108"	"94"	"94"	"15"	"24"	"5"	"244"	"22"	"5"	"1"	"1"	"3"	"2"	"1"	"3"	"326"	"0"	"326"	""
"109"	"95"	"95"	"64"	"150"	"14"	"133"	"12"	"12"	"1"	"1"	"1"	"5"	"4"	"12"	"409"	"0"	"409"	""
"110"	"96"	"96"	"67"	"99"	"7"	"106"	"6"	"3"	"2"	"4"	"1"	"1"	"8"	"11"	"315"	"0"	"315"	""
"111"	"97"	"97"	"120"	"198"	"12"	"41"	"11"	"5"	"3"	"3"	"1"	"0"	"0"	"14"	"408"	"0"	"408"	""
"112"	"98"	"98"	"31"	"167"	"14"	"127"	"54"	"10"	"3"	"4"	"2"	"1"	"8"	"10"	"431"	"0"	"431"	""
"113"	"99"	"99"	"37"	"47"	"1"	"46"	"47"	"5"	"1"	"4"	"9"	"2"	"3"	"4"	"206"	"0"	"206"	""
"114"	"100"	"100"	"262"	"6"	"7"	"53"	"12"	"1"	"0"	"0"	"1"	"1"	"3"	"2"	"348"	"0"	"348"	""
"115"	"101"	"101"	"55"	"54"	"2"	"138"	"13"	"8"	"0"	"3"	"1"	"2"	"2"	"6"	"284"	"0"	"284"	""
"116"	"102"	"102"	"41"	"88"	"1"	"88"	"87"	"3"	"2"	"0"	"3"	"2"	"4"	"10"	"329"	"0"	"329"	""
"117"	"103"	"103"	"74"	"27"	"11"	"190"	"22"	"8"	"4"	"0"	"3"	"1"	"1"	"2"	"343"	"0"	"343"	""
"118"	"104"	"104"	"132"	"118"	"14"	"78"	"42"	"5"	"2"	"1"	"4"	"4"	"2"	"3"	"405"	"0"	"405"	""
"119"	"105"	"105"	"190"	"12"	"5"	"232"	"10"	"4"	"0"	"2"	"3"	"3"	"2"	"4"	"467"	"0"	"467"	""
"120"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendere d votes"
"121"	""	""	"AKHILES"	"ARVIND"	"GAGAND"	"RADHA"	"RAM"	"UMESH"	"NAGENDRA"	"SURESH"	"SURESH"	"JHAGAR"	"PARASN"	"MD."	""	""	""	""
"122"	""	""	"H PRASAD"	"KUMAR GUPTA"	"EO YADAV"	"MOHAN
SINGH"	"CHANDRA
PRASAD"	"KUMAR
SINGH"	"SAHANI"	"KUMAR RAJAK"	"KUMAR RAI"	"U MAHATO"	"ATHPAN DEY"	"MURTUJ A"	""	""	""	""
"123"	""	""	"SINGH"	""	""	""	""	""	""	""	""	""	""	"ANSARI"	""	""	""	""
"124"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"17"	"18"	"19"	"20"
"125"	"106"	"106"	"203"	"14"	"4"	"177"	"19"	"12"	"5"	"8"	"8"	"8"	"11"	"33"	"502"	"0"	"502"	""
"126"	"107"	"107"	"28"	"38"	"11"	"310"	"18"	"5"	"3"	"3"	"3"	"0"	"2"	"3"	"424"	"0"	"424"	""
"127"	"108"	"108"	"136"	"100"	"18"	"178"	"18"	"9"	"5"	"6"	"8"	"15"	"13"	"37"	"543"	"0"	"543"	""
"128"	"109"	"109"	"71"	"20"	"3"	"161"	"11"	"3"	"7"	"1"	"2"	"0"	"3"	"5"	"287"	"0"	"287"	""
"129"	"110"	"110"	"31"	"62"	"5"	"192"	"13"	"4"	"4"	"2"	"4"	"3"	"3"	"1"	"324"	"0"	"324"	""
"130"	"111"	"111"	"44"	"11"	"7"	"202"	"38"	"6"	"5"	"4"	"7"	"7"	"3"	"13"	"347"	"0"	"347"	""
"131"	"112"	"112"	"54"	"96"	"13"	"231"	"36"	"13"	"35"	"4"	"9"	"5"	"9"	"28"	"533"	"0"	"533"	""
"132"	"113"	"113"	"64"	"85"	"7"	"229"	"48"	"11"	"4"	"3"	"8"	"2"	"9"	"17"	"487"	"0"	"487"	""
"133"	"114"	"114"	"198"	"13"	"21"	"47"	"10"	"2"	"1"	"4"	"5"	"6"	"1"	"7"	"315"	"0"	"315"	""
"134"	"115"	"115"	"123"	"7"	"23"	"115"	"24"	"7"	"3"	"0"	"1"	"2"	"3"	"3"	"311"	"0"	"311"	""
"135"	"116"	"116"	"45"	"12"	"29"	"189"	"31"	"7"	"5"	"9"	"9"	"7"	"10"	"18"	"371"	"0"	"371"	""
"136"	"117"	"117"	"175"	"56"	"6"	"40"	"24"	"0"	"1"	"0"	"1"	"1"	"3"	"1"	"308"	"0"	"308"	""
"137"	"118"	"118"	"100"	"77"	"8"	"32"	"6"	"4"	"3"	"1"	"0"	"2"	"2"	"1"	"236"	"0"	"236"	""
"138"	"119"	"119"	"34"	"11"	"2"	"119"	"11"	"2"	"2"	"0"	"2"	"3"	"3"	"13"	"202"	"0"	"202"	""
"139"	"120"	"120"	"45"	"45"	"3"	"62"	"5"	"2"	"0"	"1"	"2"	"1"	"1"	"4"	"171"	"0"	"171"	""
"140"	"121"	"121"	"129"	"38"	"9"	"201"	"27"	"5"	"3"	"4"	"1"	"2"	"0"	"7"	"426"	"0"	"426"	""
"141"	"122"	"122"	"80"	"78"	"22"	"167"	"19"	"3"	"0"	"1"	"4"	"4"	"7"	"11"	"396"	"0"	"396"	""
"142"	"123"	"123"	"50"	"64"	"18"	"66"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"1"	"209"	"0"	"209"	""
"143"	"124"	"124"	"298"	"16"	"25"	"38"	"3"	"1"	"1"	"0"	"0"	"4"	"0"	"15"	"401"	"0"	"401"	""
"144"	"125"	"125"	"28"	"15"	"4"	"197"	"12"	"0"	"2"	"3"	"7"	"7"	"4"	"12"	"291"	"0"	"291"	""
"145"	"126"	"126"	"152"	"34"	"7"	"251"	"13"	"11"	"8"	"5"	"8"	"1"	"5"	"13"	"508"	"0"	"508"	""
"146"	"127"	"127"	"146"	"21"	"4"	"47"	"8"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"230"	"0"	"230"	""
"147"	"128"	"128"	"66"	"49"	"13"	"135"	"11"	"9"	"3"	"4"	"3"	"2"	"3"	"10"	"308"	"0"	"308"	""
"148"	"129"	"129"	"81"	"13"	"111"	"37"	"12"	"0"	"2"	"2"	"3"	"1"	"2"	"8"	"272"	"0"	"272"	""
"149"	"130"	"130"	"202"	"134"	"12"	"62"	"62"	"3"	"2"	"1"	"7"	"3"	"5"	"15"	"508"	"0"	"508"	""
"150"	"131"	"131"	"127"	"65"	"13"	"228"	"21"	"22"	"2"	"3"	"7"	"3"	"11"	"31"	"533"	"0"	"533"	""
"151"	"132"	"132"	"239"	"118"	"6"	"46"	"12"	"4"	"3"	"2"	"3"	"4"	"2"	"8"	"447"	"0"	"447"	""
"152"	"133"	"133"	"77"	"74"	"7"	"178"	"17"	"2"	"2"	"2"	"3"	"3"	"4"	"7"	"376"	"0"	"376"	""
"153"	"134"	"134"	"10"	"158"	"11"	"266"	"17"	"12"	"6"	"5"	"7"	"3"	"3"	"20"	"518"	"0"	"518"	""
"154"	"135"	"135"	"53"	"63"	"11"	"279"	"16"	"10"	"0"	"1"	"2"	"1"	"0"	"3"	"439"	"0"	"439"	""
"155"	"136"	"136"	"34"	"57"	"2"	"165"	"29"	"7"	"3"	"1"	"7"	"1"	"1"	"10"	"317"	"0"	"317"	""
"156"	"137"	"137"	"13"	"74"	"3"	"223"	"13"	"1"	"1"	"4"	"6"	"1"	"3"	"3"	"345"	"0"	"345"	""
"157"	"138"	"138"	"6"	"35"	"7"	"227"	"5"	"8"	"5"	"1"	"1"	"1"	"0"	"5"	"301"	"0"	"301"	""
"158"	"139"	"139"	"25"	"20"	"1"	"245"	"10"	"7"	"1"	"1"	"1"	"2"	"0"	"4"	"317"	"0"	"317"	""
"159"	"140"	"140"	"10"	"44"	"16"	"167"	"7"	"4"	"2"	"3"	"5"	"2"	"0"	"5"	"265"	"0"	"265"	""
"160"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendere d votes"
"161"	""	""	"AKHILES"	"ARVIND"	"GAGAND"	"RADHA"	"RAM"	"UMESH"	"NAGENDRA"	"SURESH"	"SURESH"	"JHAGAR"	"PARASN"	"MD."	""	""	""	""
"162"	""	""	"H PRASAD"	"KUMAR GUPTA"	"EO YADAV"	"MOHAN
SINGH"	"CHANDRA
PRASAD"	"KUMAR
SINGH"	"SAHANI"	"KUMAR RAJAK"	"KUMAR RAI"	"U MAHATO"	"ATHPAN DEY"	"MURTUJ A"	""	""	""	""
"163"	""	""	"SINGH"	""	""	""	""	""	""	""	""	""	""	"ANSARI"	""	""	""	""
"164"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"17"	"18"	"19"	"20"
"165"	"141"	"141"	"65"	"118"	"5"	"180"	"15"	"1"	"0"	"1"	"0"	"1"	"2"	"7"	"395"	"0"	"395"	""
"166"	"142"	"142"	"33"	"88"	"10"	"131"	"71"	"2"	"2"	"0"	"1"	"2"	"2"	"9"	"351"	"0"	"351"	""
"167"	"143"	"143"	"4"	"13"	"2"	"117"	"63"	"7"	"48"	"1"	"5"	"1"	"3"	"5"	"269"	"0"	"269"	""
"168"	"144"	"144"	"23"	"16"	"5"	"191"	"19"	"6"	"46"	"1"	"6"	"0"	"2"	"3"	"318"	"0"	"318"	""
"169"	"145"	"145"	"40"	"15"	"6"	"134"	"59"	"11"	"15"	"6"	"16"	"5"	"6"	"20"	"333"	"0"	"333"	""
"170"	"146"	"146"	"136"	"16"	"3"	"103"	"43"	"7"	"41"	"4"	"3"	"1"	"3"	"5"	"365"	"0"	"365"	""
"171"	"147"	"147"	"43"	"26"	"10"	"113"	"41"	"17"	"0"	"1"	"3"	"3"	"4"	"5"	"266"	"0"	"266"	""
"172"	"148"	"148"	"53"	"14"	"0"	"28"	"90"	"14"	"2"	"4"	"3"	"8"	"6"	"15"	"237"	"0"	"237"	""
"173"	"149"	"149"	"16"	"48"	"0"	"528"	"16"	"5"	"1"	"1"	"1"	"1"	"1"	"0"	"618"	"0"	"618"	""
"174"	"150"	"150"	"56"	"24"	"7"	"216"	"17"	"6"	"5"	"2"	"5"	"4"	"11"	"23"	"376"	"0"	"376"	""
"175"	"151"	"151"	"69"	"26"	"4"	"201"	"5"	"8"	"0"	"2"	"1"	"2"	"2"	"5"	"325"	"0"	"325"	""
"176"	"152"	"152"	"222"	"68"	"1"	"39"	"55"	"4"	"3"	"1"	"1"	"1"	"2"	"1"	"398"	"0"	"398"	""
"177"	"153"	"153"	"69"	"13"	"4"	"221"	"12"	"14"	"4"	"1"	"0"	"4"	"3"	"10"	"355"	"0"	"355"	""
