"fo.kku.l.Hkk..ks..l.a....k...oa.uke..04.cxgk"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"fuokZpdksa dh dqy  l a[ ; k&235166"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"vfUr e i fj .kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nh u"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k;
.k ; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"63"	"47"	"10"	"429"	"15"	"38"	"36"	"9"	"4"	"3"	"0"	"3"	"31"	"3"	"8"	"5"	"2"	"7"	"603"	""	"603"	""
"64"	"48"	"15"	"403"	"4"	"17"	"5"	"7"	"2"	"4"	"1"	"9"	"10"	"8"	"7"	"14"	"12"	"13"	"531"	""	"531"	""
"65"	"49"	"8"	"330"	"12"	"30"	"11"	"6"	"2"	"3"	"1"	"5"	"5"	"4"	"5"	"3"	"5"	"6"	"436"	""	"436"	""
"66"	"50"	"30"	"417"	"24"	"15"	"67"	"6"	"2"	"2"	"1"	"4"	"14"	"1"	"2"	"3"	"2"	"7"	"597"	""	"597"	""
"67"	"51"	"25"	"507"	"24"	"18"	"20"	"4"	"1"	"3"	"1"	"0"	"16"	"1"	"1"	"0"	"1"	"3"	"625"	""	"625"	""
"68"	"52"	"7"	"291"	"13"	"47"	"17"	"3"	"0"	"1"	"1"	"4"	"196"	"6"	"2"	"4"	"2"	"3"	"597"	""	"597"	""
"69"	"53"	"18"	"367"	"5"	"10"	"13"	"1"	"3"	"1"	"2"	"2"	"8"	"1"	"4"	"9"	"14"	"15"	"473"	""	"473"	""
"70"	"54"	"13"	"515"	"69"	"8"	"25"	"1"	"6"	"5"	"3"	"8"	"35"	"4"	"3"	"1"	"4"	"5"	"705"	""	"705"	""
"71"	"55"	"8"	"395"	"2"	"12"	"13"	"1"	"0"	"1"	"0"	"4"	"15"	"1"	"4"	"4"	"4"	"8"	"472"	""	"472"	""
"72"	"56"	"10"	"344"	"68"	"10"	"89"	"4"	"2"	"1"	"0"	"1"	"17"	"0"	"3"	"0"	"3"	"3"	"555"	""	"555"	""
"73"	"VksVy"	"187"	"5493"	"328"	"304"	"616"	"64"	"34"	"36"	"28"	"61"	"471"	"37"	"56"	"52"	"65"	"97"	"7929"	"0"	"7929"	"0"
"74"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nh u"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k;
.k ; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"75"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"76"	"57"	"14"	"471"	"11"	"11"	"33"	"6"	"3"	"4"	"4"	"9"	"45"	"2"	"6"	"7"	"11"	"13"	"650"	""	"650"	""
"77"	"58"	"14"	"332"	"8"	"8"	"12"	"2"	"2"	"4"	"2"	"4"	"5"	"1"	"0"	"4"	"4"	"5"	"407"	""	"407"	""
"78"	"59"	"2"	"434"	"7"	"23"	"7"	"2"	"0"	"0"	"0"	"2"	"26"	"1"	"3"	"0"	"1"	"3"	"511"	""	"511"	""
"79"	"60"	"18"	"121"	"7"	"124"	"20"	"2"	"3"	"2"	"1"	"3"	"260"	"2"	"8"	"0"	"3"	"1"	"575"	""	"575"	""
"80"	"61"	"1"	"179"	"19"	"39"	"13"	"0"	"1"	"1"	"0"	"3"	"106"	"1"	"4"	"0"	"1"	"1"	"369"	""	"369"	""
"81"	"62"	"20"	"361"	"19"	"32"	"8"	"2"	"1"	"1"	"2"	"2"	"30"	"1"	"11"	"2"	"0"	"2"	"494"	""	"494"	""
"82"	"63"	"7"	"323"	"20"	"17"	"16"	"3"	"1"	"0"	"0"	"21"	"0"	"5"	"0"	"1"	"1"	"1"	"416"	""	"416"	""
"83"	"64"	"0"	"264"	"2"	"19"	"12"	"0"	"0"	"0"	"0"	"0"	"24"	"0"	"1"	"0"	"2"	"0"	"324"	""	"324"	""
"84"	"65"	"19"	"509"	"12"	"7"	"34"	"4"	"2"	"3"	"7"	"11"	"18"	"1"	"7"	"4"	"4"	"15"	"657"	""	"657"	""
"85"	"66"	"16"	"254"	"2"	"20"	"59"	"2"	"7"	"1"	"3"	"4"	"175"	"4"	"5"	"3"	"8"	"2"	"565"	""	"565"	""
"86"	"67"	"2"	"131"	"4"	"33"	"30"	"2"	"11"	"5"	"1"	"5"	"311"	"2"	"5"	"4"	"5"	"4"	"555"	""	"555"	""
"87"	"68"	"6"	"333"	"34"	"9"	"89"	"2"	"1"	"2"	"1"	"2"	"36"	"4"	"3"	"1"	"7"	"3"	"533"	""	"533"	""
"88"	"69"	"7"	"252"	"26"	"9"	"22"	"3"	"0"	"1"	"1"	"1"	"63"	"3"	"4"	"0"	"3"	"2"	"397"	""	"397"	""
"89"	"70"	"30"	"422"	"11"	"36"	"7"	"5"	"2"	"1"	"1"	"4"	"75"	"4"	"5"	"4"	"8"	"3"	"618"	""	"618"	""
"90"	"VksVy"	"156"	"4386"	"182"	"387"	"362"	"35"	"34"	"25"	"23"	"71"	"1174"	"31"	"62"	"30"	"58"	"55"	"7071"	"0"	"7071"	"0"
"91"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nh u"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k;
.k ; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"92"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"93"	"71"	"17"	"212"	"8"	"16"	"15"	"5"	"1"	"1"	"1"	"4"	"204"	"2"	"3"	"1"	"2"	"3"	"495"	""	"495"	""
"94"	"72"	"12"	"482"	"28"	"9"	"65"	"3"	"5"	"1"	"1"	"2"	"15"	"3"	"1"	"3"	"1"	"1"	"632"	""	"632"	""
"95"	"73"	"2"	"183"	"19"	"33"	"17"	"3"	"1"	"3"	"1"	"4"	"212"	"2"	"5"	"1"	"4"	"4"	"494"	""	"494"	""
"96"	"74"	"4"	"546"	"28"	"5"	"63"	"4"	"1"	"1"	"2"	"0"	"37"	"3"	"7"	"1"	"5"	"2"	"709"	""	"709"	""
"97"	"75"	"7"	"406"	"99"	"12"	"32"	"4"	"2"	"2"	"3"	"5"	"34"	"3"	"6"	"5"	"3"	"10"	"633"	""	"633"	""
"98"	"76"	"13"	"446"	"43"	"8"	"90"	"8"	"3"	"1"	"0"	"2"	"49"	"0"	"5"	"3"	"0"	"0"	"671"	""	"671"	""
"99"	"77"	"14"	"201"	"17"	"11"	"149"	"5"	"7"	"0"	"2"	"1"	"86"	"0"	"2"	"2"	"0"	"2"	"499"	""	"499"	""
"100"	"78"	"10"	"137"	"21"	"14"	"65"	"4"	"4"	"0"	"2"	"0"	"237"	"4"	"7"	"1"	"0"	"1"	"507"	""	"507"	""
"101"	"79"	"2"	"49"	"3"	"34"	"13"	"5"	"8"	"4"	"1"	"3"	"372"	"4"	"13"	"2"	"3"	"11"	"527"	""	"527"	""
"102"	"80"	"6"	"124"	"1"	"11"	"11"	"3"	"1"	"1"	"1"	"3"	"237"	"7"	"7"	"2"	"3"	"8"	"426"	""	"426"	""
"103"	"81"	"1"	"49"	"2"	"3"	"11"	"0"	"0"	"0"	"1"	"1"	"39"	"1"	"2"	"0"	"1"	"0"	"111"	""	"111"	""
"104"	"82"	"9"	"448"	"37"	"4"	"30"	"3"	"3"	"1"	"2"	"5"	"4"	"1"	"1"	"7"	"17"	"12"	"584"	""	"584"	""
"105"	"83"	"4"	"151"	"2"	"11"	"11"	"2"	"1"	"3"	"2"	"2"	"144"	"4"	"6"	"5"	"2"	"4"	"354"	""	"354"	""
"106"	"84"	"7"	"296"	"4"	"4"	"20"	"1"	"2"	"2"	"4"	"1"	"23"	"0"	"7"	"0"	"1"	"2"	"374"	""	"374"	""
"107"	"VksVy"	"108"	"3730"	"312"	"175"	"592"	"50"	"39"	"20"	"23"	"33"	"1693"	"34"	"72"	"33"	"42"	"60"	"7016"	"0"	"7016"	"0"
"108"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nh u"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k;
.k ; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"109"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"110"	"85"	"9"	"345"	"35"	"5"	"66"	"3"	"3"	"2"	"4"	"4"	"21"	"4"	"0"	"0"	"3"	"4"	"508"	""	"508"	""
"111"	"86"	"3"	"279"	"64"	"5"	"46"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"398"	""	"398"	""
"112"	"87"	"10"	"170"	"27"	"6"	"82"	"6"	"3"	"7"	"6"	"4"	"200"	"1"	"8"	"0"	"5"	"5"	"540"	""	"540"	""
"113"	"88"	"10"	"135"	"124"	"10"	"0"	"1"	"3"	"0"	"0"	"2"	"0"	"0"	"0"	"2"	"1"	"1"	"289"	""	"289"	""
"114"	"89"	"11"	"194"	"87"	"4"	"38"	"3"	"4"	"0"	"3"	"0"	"61"	"2"	"5"	"2"	"4"	"4"	"422"	""	"422"	""
"115"	"90"	"22"	"290"	"242"	"8"	"103"	"2"	"12"	"1"	"0"	"1"	"16"	"0"	"1"	"1"	"2"	"0"	"701"	""	"701"	""
"116"	"91"	"16"	"330"	"56"	"7"	"40"	"14"	"10"	"3"	"9"	"10"	"36"	"1"	"4"	"4"	"2"	"6"	"548"	""	"548"	""
"117"	"92"	"28"	"304"	"31"	"9"	"93"	"7"	"0"	"2"	"3"	"2"	"61"	"2"	"1"	"0"	"1"	"0"	"544"	""	"544"	""
"118"	"93"	"25"	"304"	"139"	"6"	"65"	"3"	"3"	"4"	"2"	"2"	"17"	"1"	"5"	"5"	"7"	"8"	"596"	""	"596"	""
"119"	"94"	"4"	"228"	"69"	"1"	"10"	"3"	"2"	"4"	"1"	"3"	"53"	"4"	"6"	"3"	"9"	"6"	"406"	""	"406"	""
"120"	"95"	"26"	"395"	"77"	"7"	"35"	"7"	"3"	"4"	"2"	"4"	"5"	"3"	"1"	"2"	"5"	"6"	"582"	""	"582"	""
"121"	"96"	"21"	"378"	"78"	"15"	"64"	"4"	"2"	"3"	"1"	"1"	"3"	"1"	"2"	"3"	"4"	"5"	"585"	""	"585"	""
"122"	"97"	"15"	"531"	"15"	"6"	"10"	"1"	"3"	"0"	"2"	"2"	"5"	"1"	"1"	"0"	"6"	"2"	"600"	""	"600"	""
"123"	"98"	"5"	"523"	"14"	"5"	"40"	"3"	"2"	"1"	"1"	"1"	"2"	"0"	"2"	"1"	"2"	"0"	"602"	""	"602"	""
"124"	"VksVy"	"205"	"4406"	"1058"	"94"	"692"	"57"	"50"	"31"	"34"	"36"	"480"	"20"	"37"	"23"	"51"	"47"	"7321"	"0"	"7321"	"0"
"125"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nh u"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k;
.k ; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"126"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"127"	"99"	"20"	"506"	"49"	"7"	"28"	"4"	"5"	"0"	"3"	"2"	"15"	"9"	"4"	"5"	"7"	"23"	"687"	""	"687"	""
"128"	"100"	"3"	"416"	"12"	"3"	"33"	"2"	"5"	"0"	"2"	"1"	"3"	"0"	"0"	"0"	"1"	"2"	"483"	""	"483"	""
"129"	"101"	"7"	"138"	"36"	"8"	"13"	"3"	"1"	"0"	"1"	"1"	"43"	"2"	"3"	"0"	"1"	"5"	"262"	""	"262"	""
"130"	"102"	"9"	"423"	"17"	"10"	"37"	"6"	"1"	"2"	"4"	"7"	"263"	"6"	"16"	"5"	"20"	"16"	"842"	""	"842"	""
"131"	"103"	"25"	"369"	"95"	"11"	"24"	"8"	"4"	"0"	"6"	"4"	"3"	"6"	"6"	"4"	"5"	"28"	"598"	""	"598"	""
