"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X225702.33.Khajauli"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"11"	""	"8"	"26"	"1"	"129"	"173"	"5"	"3"	"1"	"2"	"3"	"1"	"3"	"347"	""	"347"	""
"12"	""	"9"	"116"	"11"	"279"	"214"	"13"	"10"	"7"	"5"	"8"	"19"	"29"	"711"	""	"711"	""
"13"	""	"10"	"111"	"4"	"78"	"158"	"5"	"6"	"3"	"0"	"2"	"3"	"2"	"372"	""	"372"	""
"14"	""	"11"	"75"	"7"	"45"	"213"	"4"	"4"	"5"	"2"	"1"	"7"	"3"	"366"	""	"366"	""
"15"	""	"12"	"61"	"6"	"161"	"246"	"7"	"27"	"5"	"7"	"6"	"3"	"4"	"533"	""	"533"	""
"16"	""	"13"	"13"	"1"	"27"	"268"	"5"	"15"	"16"	"8"	"4"	"5"	"29"	"391"	""	"391"	""
"17"	""	"14"	"91"	"3"	"41"	"170"	"2"	"29"	"4"	"0"	"2"	"4"	"1"	"347"	""	"347"	""
"18"	""	"Total -"	"1218"	"66"	"1714"	"2779"	"106"	"154"	"92"	"58"	"57"	"87"	"153"	"6484"	"0"	"6484"	"0"
"19"	""	""	""	""	""	""	""	"225702
33-Khajauli"	""	""	""	""	""	""	""	""	""
"20"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"21"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, <U+F079><U+F06B><U+F073><U+F030><U+F06C><U+F030><U+F06E><U+F079>"	"Yog Nath Mandal,
<U+F064><U+F030><U+F069><U+F06B><U+F030><U+F062><U+F061><U+F030><U+F0BC><U+F065><U+F06B><U+F030><U+F079><U+F073><U+F030>
<U+F0BD><U+F066><U+F079><U+F030>"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"22"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"23"	"Round No.2"	"15"	"69"	"5"	"30"	"108"	"3"	"39"	"2"	"1"	"2"	"2"	"1"	"262"	""	"262"	""
"24"	""	"16"	"100"	"9"	"282"	"147"	"3"	"14"	"12"	"0"	"4"	"13"	"10"	"594"	""	"594"	""
"25"	""	"17"	"103"	"5"	"249"	"282"	"11"	"6"	"11"	"5"	"2"	"6"	"12"	"692"	""	"692"	""
"26"	""	"18"	"150"	"11"	"290"	"172"	"12"	"4"	"10"	"3"	"3"	"13"	"26"	"694"	""	"694"	""
"27"	""	"19"	"0"	"1"	"306"	"21"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"330"	""	"330"	""
"28"	""	"20"	"52"	"10"	"241"	"269"	"13"	"5"	"2"	"4"	"0"	"4"	"3"	"603"	""	"603"	""
"29"	""	"21"	"59"	"3"	"377"	"168"	"3"	"6"	"3"	"6"	"2"	"7"	"9"	"643"	""	"643"	""
"30"	""	"22"	"40"	"1"	"102"	"538"	"11"	"5"	"13"	"7"	"4"	"9"	"47"	"777"	""	"777"	""
"31"	""	"23"	"90"	"3"	"16"	"386"	"3"	"4"	"6"	"2"	"2"	"4"	"5"	"521"	""	"521"	""
"32"	""	"24"	"134"	"5"	"74"	"456"	"9"	"26"	"16"	"4"	"8"	"5"	"22"	"759"	""	"759"	""
"33"	""	"25"	"84"	"9"	"90"	"401"	"18"	"8"	"6"	"5"	"6"	"8"	"5"	"640"	""	"640"	""
"34"	""	"26"	"60"	"5"	"283"	"263"	"7"	"5"	"3"	"1"	"4"	"7"	"9"	"647"	""	"647"	""
"35"	""	"27"	"34"	"3"	"88"	"314"	"5"	"5"	"7"	"2"	"4"	"3"	"7"	"472"	""	"472"	""
"36"	""	"28"	"24"	"7"	"116"	"155"	"5"	"8"	"9"	"4"	"6"	"7"	"4"	"345"	""	"345"	""
"37"	""	"Total -"	"999"	"77"	"2544"	"3680"	"103"	"136"	"100"	"44"	"47"	"88"	"161"	"7979"	"0"	"7979"	"0"
"38"	""	""	""	""	""	""	""	"225702
33-Khajauli"	""	""	""	""	""	""	""	""	""
"39"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"40"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, <U+F079><U+F06B><U+F073><U+F030><U+F06C><U+F030><U+F06E><U+F079>"	"Yog Nath Mandal,
<U+F064><U+F030><U+F069><U+F06B><U+F030><U+F062><U+F061><U+F030><U+F0BC><U+F065><U+F06B><U+F030><U+F079><U+F073><U+F030>
<U+F0BD><U+F066><U+F079><U+F030>"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"41"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"42"	"Round No.3"	"29"	"101"	"6"	"62"	"194"	"3"	"1"	"9"	"2"	"3"	"2"	"8"	"391"	""	"391"	""
"43"	""	"30"	"26"	"0"	"166"	"203"	"8"	"5"	"4"	"3"	"1"	"1"	"1"	"418"	""	"418"	""
"44"	""	"31"	"26"	"5"	"50"	"477"	"14"	"18"	"14"	"3"	"7"	"3"	"13"	"630"	""	"630"	""
"45"	""	"32"	"120"	"2"	"16"	"204"	"7"	"5"	"2"	"5"	"1"	"1"	"8"	"371"	""	"371"	""
"46"	""	"33"	"26"	"3"	"24"	"440"	"5"	"5"	"9"	"6"	"6"	"3"	"6"	"533"	""	"533"	""
"47"	""	"34"	"37"	"3"	"83"	"424"	"11"	"15"	"11"	"6"	"8"	"11"	"11"	"620"	""	"620"	""
"48"	""	"35"	"12"	"1"	"25"	"355"	"10"	"12"	"3"	"2"	"1"	"0"	"3"	"424"	""	"424"	""
"49"	""	"36"	"17"	"10"	"153"	"376"	"9"	"10"	"8"	"5"	"13"	"12"	"21"	"634"	""	"634"	""
"50"	""	"37"	"186"	"9"	"112"	"153"	"6"	"14"	"5"	"5"	"6"	"5"	"6"	"507"	""	"507"	""
"51"	""	"38"	"73"	"10"	"302"	"114"	"5"	"0"	"6"	"3"	"4"	"3"	"7"	"527"	""	"527"	""
"52"	""	"39"	"82"	"3"	"545"	"48"	"5"	"3"	"3"	"4"	"3"	"11"	"25"	"732"	""	"732"	""
"53"	""	"40"	"48"	"2"	"28"	"274"	"5"	"8"	"1"	"2"	"1"	"2"	"5"	"376"	""	"376"	""
"54"	""	"41"	"6"	"4"	"501"	"88"	"4"	"14"	"3"	"0"	"2"	"2"	"1"	"625"	""	"625"	""
"55"	""	"42"	"218"	"10"	"85"	"222"	"7"	"7"	"18"	"1"	"6"	"8"	"28"	"610"	""	"610"	""
"56"	""	"Total -"	"978"	"68"	"2152"	"3572"	"99"	"117"	"96"	"47"	"62"	"64"	"143"	"7398"	"0"	"7398"	"0"
"57"	""	""	""	""	""	""	""	"225702
33-Khajauli"	""	""	""	""	""	""	""	""	""
"58"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"59"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, <U+F079><U+F06B><U+F073><U+F030><U+F06C><U+F030><U+F06E><U+F079>"	"Yog Nath Mandal,
<U+F064><U+F030><U+F069><U+F06B><U+F030><U+F062><U+F061><U+F030><U+F0BC><U+F065><U+F06B><U+F030><U+F079><U+F073><U+F030>
<U+F0BD><U+F066><U+F079><U+F030>"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"60"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"61"	"Round No4"	"43"	"130"	"4"	"33"	"311"	"9"	"11"	"2"	"2"	"1"	"1"	"5"	"509"	""	"509"	""
"62"	""	"44"	"16"	"6"	"320"	"222"	"6"	"9"	"3"	"6"	"5"	"4"	"12"	"609"	""	"609"	""
"63"	""	"45"	"23"	"4"	"458"	"141"	"10"	"2"	"4"	"2"	"6"	"2"	"14"	"666"	""	"666"	""
"64"	""	"46"	"4"	"0"	"261"	"19"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"286"	""	"286"	""
"65"	""	"47"	"5"	"1"	"255"	"14"	"2"	"1"	"2"	"0"	"2"	"1"	"7"	"290"	""	"290"	""
"66"	""	"48"	"5"	"3"	"298"	"118"	"5"	"7"	"5"	"3"	"3"	"3"	"12"	"462"	""	"462"	""
"67"	""	"49"	"25"	"0"	"134"	"153"	"3"	"11"	"4"	"2"	"4"	"1"	"7"	"344"	""	"344"	""
"68"	""	"50"	"88"	"4"	"50"	"395"	"4"	"7"	"4"	"2"	"0"	"3"	"7"	"564"	""	"564"	""
"69"	""	"51"	"38"	"2"	"32"	"241"	"3"	"0"	"1"	"1"	"1"	"0"	"1"	"320"	""	"320"	""
"70"	""	"52"	"38"	"3"	"45"	"300"	"4"	"3"	"4"	"6"	"1"	"2"	"10"	"416"	""	"416"	""
"71"	""	"53"	"56"	"5"	"40"	"398"	"10"	"14"	"10"	"3"	"4"	"2"	"4"	"546"	""	"546"	""
"72"	""	"54"	"15"	"6"	"20"	"405"	"5"	"9"	"10"	"7"	"4"	"5"	"21"	"507"	""	"507"	""
"73"	""	"55"	"38"	"6"	"35"	"333"	"3"	"5"	"5"	"2"	"3"	"2"	"2"	"434"	""	"434"	""
"74"	""	"56"	"153"	"7"	"45"	"440"	"19"	"5"	"9"	"5"	"3"	"3"	"9"	"698"	""	"698"	""
"75"	""	"Total -"	"634"	"51"	"2026"	"3490"	"83"	"84"	"63"	"41"	"38"	"30"	"111"	"6651"	"0"	"6651"	"0"
"76"	""	""	""	""	""	""	""	"225702
33-Khajauli"	""	""	""	""	""	""	""	""	""
"77"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"78"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, <U+F079><U+F06B><U+F073><U+F030><U+F06C><U+F030><U+F06E><U+F079>"	"Yog Nath Mandal,
<U+F064><U+F030><U+F069><U+F06B><U+F030><U+F062><U+F061><U+F030><U+F0BC><U+F065><U+F06B><U+F030><U+F079><U+F073><U+F030>
<U+F0BD><U+F066><U+F079><U+F030>"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"79"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"80"	"Round No 5"	"57"	"36"	"3"	"25"	"311"	"6"	"1"	"6"	"0"	"3"	"0"	"2"	"393"	""	"393"	""
"81"	""	"58"	"109"	"3"	"43"	"249"	"10"	"18"	"10"	"12"	"12"	"11"	"24"	"501"	""	"501"	""
"82"	""	"59"	"128"	"11"	"49"	"316"	"14"	"12"	"8"	"5"	"2"	"3"	"14"	"562"	""	"562"	""
"83"	""	"60"	"160"	"8"	"77"	"15"	"2"	"4"	"5"	"5"	"7"	"11"	"29"	"323"	""	"323"	""
"84"	""	"61"	"33"	"2"	"40"	"362"	"3"	"5"	"1"	"0"	"2"	"3"	"0"	"451"	""	"451"	""
"85"	""	"62"	"277"	"11"	"103"	"332"	"10"	"8"	"9"	"5"	"6"	"3"	"5"	"769"	""	"769"	""
"86"	""	"63"	"24"	"6"	"212"	"162"	"4"	"2"	"3"	"2"	"5"	"3"	"9"	"432"	""	"432"	""
"87"	""	"64"	"21"	"6"	"196"	"319"	"10"	"3"	"9"	"4"	"3"	"3"	"1"	"575"	""	"575"	""
"88"	""	"65"	"41"	"2"	"40"	"235"	"10"	"3"	"5"	"2"	"2"	"2"	"0"	"342"	""	"342"	""
"89"	""	"66"	"100"	"9"	"42"	"317"	"9"	"13"	"11"	"9"	"4"	"9"	"31"	"554"	""	"554"	""
"90"	""	"67"	"54"	"0"	"15"	"323"	"6"	"1"	"0"	"0"	"1"	"1"	"4"	"405"	""	"405"	""
"91"	""	"68"	"47"	"9"	"309"	"242"	"11"	"8"	"5"	"6"	"4"	"4"	"4"	"649"	""	"649"	""
"92"	""	"69"	"57"	"1"	"101"	"309"	"7"	"9"	"16"	"5"	"3"	"7"	"12"	"527"	""	"527"	""
"93"	""	"70"	"109"	"7"	"75"	"167"	"5"	"4"	"3"	"0"	"0"	"3"	"8"	"381"	""	"381"	""
"94"	""	"Total -"	"1196"	"78"	"1327"	"3659"	"107"	"91"	"91"	"55"	"54"	"63"	"143"	"6864"	"0"	"6864"	"0"
"95"	""	""	""	""	""	""	""	"225702
33-Khajauli"	""	""	""	""	""	""	""	""	""
"96"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"97"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, <U+F079><U+F06B><U+F073><U+F030><U+F06C><U+F030><U+F06E><U+F079>"	"Yog Nath Mandal,
<U+F064><U+F030><U+F069><U+F06B><U+F030><U+F062><U+F061><U+F030><U+F0BC><U+F065><U+F06B><U+F030><U+F079><U+F073><U+F030>
<U+F0BD><U+F066><U+F079><U+F030>"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"98"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"99"	"Round No 6"	"71"	"30"	"3"	"102"	"307"	"9"	"6"	"17"	"4"	"4"	"7"	"16"	"505"	""	"505"	""
"100"	""	"72"	"85"	"5"	"73"	"64"	"3"	"2"	"3"	"2"	"0"	"3"	"7"	"247"	""	"247"	""
"101"	""	"73"	"32"	"2"	"169"	"305"	"15"	"16"	"6"	"5"	"2"	"6"	"13"	"571"	""	"571"	""
"102"	""	"74"	"129"	"8"	"114"	"104"	"10"	"8"	"3"	"5"	"6"	"9"	"4"	"400"	""	"400"	""
"103"	""	"75"	"35"	"11"	"172"	"252"	"9"	"12"	"10"	"4"	"6"	"8"	"8"	"527"	""	"527"	""
"104"	""	"76"	"22"	"3"	"232"	"163"	"12"	"9"	"2"	"4"	"6"	"5"	"8"	"466"	""	"466"	""
"105"	""	"77"	"7"	"5"	"211"	"58"	"4"	"4"	"2"	"1"	"4"	"3"	"5"	"304"	""	"304"	""
"106"	""	"78"	"16"	"5"	"254"	"158"	"9"	"6"	"7"	"0"	"2"	"4"	"6"	"467"	""	"467"	""
"107"	""	"79"	"39"	"3"	"58"	"274"	"33"	"12"	"12"	"6"	"6"	"3"	"9"	"455"	""	"455"	""
"108"	""	"80"	"35"	"4"	"96"	"474"	"15"	"21"	"7"	"9"	"2"	"13"	"34"	"710"	""	"710"	""
"109"	""	"81"	"74"	"3"	"48"	"113"	"3"	"6"	"4"	"2"	"3"	"4"	"10"	"270"	""	"270"	""
"110"	""	"82"	"34"	"3"	"100"	"129"	"10"	"5"	"1"	"3"	"6"	"3"	"4"	"298"	""	"298"	""
"111"	""	"83"	"74"	"9"	"221"	"202"	"6"	"6"	"8"	"4"	"1"	"5"	"4"	"540"	""	"540"	""
"112"	""	"84"	"87"	"11"	"205"	"145"	"8"	"4"	"11"	"8"	"3"	"9"	"16"	"507"	""	"507"	""
"113"	""	"Total -"	"699"	"75"	"2055"	"2748"	"146"	"117"	"93"	"57"	"51"	"82"	"144"	"6267"	"0"	"6267"	"0"
"114"	""	""	""	""	""	""	""	"225702
33-Khajauli"	""	""	""	""	""	""	""	""	""
"115"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"116"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, <U+F079><U+F06B><U+F073><U+F030><U+F06C><U+F030><U+F06E><U+F079>"	"Yog Nath Mandal,
<U+F064><U+F030><U+F069><U+F06B><U+F030><U+F062><U+F061><U+F030><U+F0BC><U+F065><U+F06B><U+F030><U+F079><U+F073><U+F030>
<U+F0BD><U+F066><U+F079><U+F030>"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"117"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"118"	"Round No 7"	"85"	"27"	"5"	"66"	"137"	"10"	"9"	"11"	"3"	"5"	"8"	"11"	"292"	""	"292"	""
"119"	""	"86"	"21"	"7"	"274"	"251"	"8"	"39"	"13"	"9"	"6"	"10"	"32"	"670"	""	"670"	""
"120"	""	"87"	"28"	"7"	"98"	"331"	"8"	"19"	"5"	"5"	"4"	"13"	"10"	"528"	""	"528"	""
"121"	""	"88"	"20"	"0"	"60"	"102"	"0"	"2"	"3"	"1"	"1"	"2"	"6"	"197"	""	"197"	""
"122"	""	"89"	"36"	"2"	"24"	"126"	"5"	"5"	"1"	"2"	"2"	"1"	"7"	"211"	""	"211"	""
"123"	""	"90"	"139"	"14"	"111"	"186"	"9"	"9"	"9"	"7"	"12"	"13"	"17"	"526"	""	"526"	""
"124"	""	"91"	"96"	"8"	"56"	"288"	"24"	"32"	"12"	"10"	"3"	"6"	"8"	"543"	""	"543"	""
"125"	""	"92"	"83"	"8"	"97"	"339"	"3"	"9"	"12"	"6"	"6"	"13"	"16"	"592"	""	"592"	""
"126"	""	"93"	"34"	"5"	"119"	"475"	"16"	"21"	"18"	"12"	"4"	"10"	"26"	"740"	""	"740"	""
"127"	""	"94"	"94"	"5"	"100"	"211"	"3"	"3"	"5"	"3"	"5"	"2"	"6"	"437"	""	"437"	""
"128"	""	"95"	"31"	"1"	"50"	"202"	"4"	"8"	"7"	"2"	"6"	"6"	"26"	"343"	""	"343"	""
"129"	""	"96"	"27"	"9"	"397"	"215"	"11"	"20"	"17"	"3"	"15"	"3"	"26"	"743"	""	"743"	""
"130"	""	"97"	"129"	"2"	"177"	"111"	"5"	"6"	"3"	"1"	"0"	"5"	"8"	"447"	""	"447"	""
"131"	""	"98"	"54"	"1"	"150"	"43"	"1"	"7"	"3"	"2"	"1"	"2"	"3"	"267"	""	"267"	""
"132"	""	"Total -"	"819"	"74"	"1779"	"3017"	"107"	"189"	"119"	"66"	"70"	"94"	"202"	"6536"	"0"	"6536"	"0"
"133"	""	""	""	""	""	""	""	"225702
33-Khajauli"	""	""	""	""	""	""	""	""	""
"134"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"135"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, <U+F079><U+F06B><U+F073><U+F030><U+F06C><U+F030><U+F06E><U+F079>"	"Yog Nath Mandal,
<U+F064><U+F030><U+F069><U+F06B><U+F030><U+F062><U+F061><U+F030><U+F0BC><U+F065><U+F06B><U+F030><U+F079><U+F073><U+F030>
<U+F0BD><U+F066><U+F079><U+F030>"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"136"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"137"	"Round No 8"	"99"	"130"	"14"	"129"	"266"	"8"	"11"	"6"	"5"	"7"	"2"	"7"	"585"	""	"585"	""
"138"	""	"100"	"118"	"8"	"173"	"80"	"12"	"18"	"7"	"2"	"1"	"9"	"17"	"445"	""	"445"	""
"139"	""	"101"	"76"	"3"	"264"	"160"	"6"	"10"	"8"	"2"	"5"	"5"	"24"	"563"	""	"563"	""
"140"	""	"102"	"22"	"8"	"488"	"121"	"3"	"2"	"4"	"2"	"1"	"2"	"3"	"656"	""	"656"	""
"141"	""	"103"	"79"	"7"	"319"	"132"	"7"	"13"	"6"	"5"	"2"	"9"	"13"	"592"	""	"592"	""
"142"	""	"104"	"26"	"5"	"108"	"294"	"12"	"10"	"11"	"8"	"12"	"12"	"13"	"511"	""	"511"	""
"143"	""	"105"	"29"	"9"	"201"	"161"	"4"	"4"	"2"	"2"	"2"	"7"	"8"	"429"	""	"429"	""
"144"	""	"106"	"51"	"8"	"206"	"86"	"8"	"49"	"5"	"3"	"4"	"8"	"7"	"435"	""	"435"	""
"145"	""	"107"	"152"	"12"	"332"	"86"	"8"	"3"	"4"	"1"	"3"	"6"	"6"	"613"	""	"613"	""
"146"	""	"108"	"200"	"11"	"36"	"50"	"3"	"3"	"1"	"6"	"1"	"5"	"4"	"320"	""	"320"	""
"147"	""	"109"	"128"	"9"	"43"	"74"	"7"	"3"	"5"	"2"	"3"	"8"	"10"	"292"	""	"292"	""
"148"	""	"110"	"11"	"3"	"174"	"105"	"5"	"16"	"13"	"11"	"9"	"15"	"16"	"378"	""	"378"	""
"149"	""	"111"	"86"	"6"	"162"	"61"	"6"	"4"	"9"	"4"	"9"	"6"	"12"	"365"	""	"365"	""
"150"	""	"112"	"38"	"11"	"270"	"254"	"14"	"21"	"11"	"13"	"7"	"16"	"38"	"693"	""	"693"	""
"151"	""	"Total -"	"1146"	"114"	"2905"	"1930"	"103"	"167"	"92"	"66"	"66"	"110"	"178"	"6877"	"0"	"6877"	"0"
"152"	""	""	""	""	""	""	""	"225702
33-Khajauli"	""	""	""	""	""	""	""	""	""
"153"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"154"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, <U+F079><U+F06B><U+F073><U+F030><U+F06C><U+F030><U+F06E><U+F079>"	"Yog Nath Mandal,
<U+F064><U+F030><U+F069><U+F06B><U+F030><U+F062><U+F061><U+F030><U+F0BC><U+F065><U+F06B><U+F030><U+F079><U+F073><U+F030>
<U+F0BD><U+F066><U+F079><U+F030>"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"155"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"156"	"Round No 9"	"113"	"32"	"12"	"196"	"195"	"8"	"16"	"11"	"8"	"8"	"10"	"20"	"516"	""	"516"	""
"157"	""	"114"	"5"	"7"	"48"	"72"	"6"	"4"	"7"	"2"	"4"	"6"	"25"	"186"	""	"186"	""
"158"	""	"115"	"76"	"12"	"386"	"130"	"10"	"12"	"7"	"7"	"8"	"8"	"19"	"675"	""	"675"	""
"159"	""	"116"	"74"	"7"	"141"	"22"	"6"	"11"	"2"	"2"	"0"	"3"	"2"	"270"	""	"270"	""
"160"	""	"117"	"11"	"1"	"164"	"38"	"2"	"3"	"0"	"0"	"1"	"2"	"0"	"222"	""	"222"	""
"161"	""	"118"	"16"	"4"	"111"	"171"	"7"	"5"	"5"	"3"	"1"	"4"	"3"	"330"	""	"330"	""
"162"	""	"119"	"201"	"12"	"99"	"124"	"6"	"8"	"1"	"2"	"1"	"1"	"5"	"460"	""	"460"	""
"163"	""	"120"	"24"	"3"	"25"	"82"	"5"	"2"	"0"	"0"	"3"	"1"	"0"	"145"	""	"145"	""
"164"	""	"121"	"54"	"1"	"74"	"213"	"7"	"7"	"3"	"6"	"4"	"11"	"25"	"405"	""	"405"	""
"165"	""	"122"	"68"	"8"	"47"	"136"	"9"	"7"	"3"	"0"	"1"	"2"	"2"	"283"	""	"283"	""
"166"	""	"123"	"52"	"7"	"159"	"313"	"13"	"11"	"12"	"7"	"3"	"8"	"6"	"591"	""	"591"	""
"167"	""	"124"	"25"	"5"	"247"	"244"	"8"	"15"	"7"	"11"	"4"	"4"	"11"	"581"	""	"581"	""
