"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X248902.39.Phulparas"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"49"	""	"36"	"45"	"3"	"34"	"276"	"6"	"0"	"4"	"6"	"3"	"4"	"10"	"391"	""	"391"	""
"50"	""	"37"	"24"	"4"	"23"	"318"	"4"	"4"	"5"	"4"	"5"	"4"	"24"	"419"	""	"419"	""
"51"	""	"38"	"40"	"1"	"92"	"311"	"7"	"5"	"6"	"7"	"4"	"5"	"11"	"489"	""	"489"	""
"52"	""	"39"	"38"	"1"	"159"	"327"	"7"	"6"	"7"	"9"	"3"	"10"	"15"	"582"	""	"582"	""
"53"	""	"40"	"15"	"4"	"82"	"288"	"6"	"2"	"6"	"5"	"1"	"2"	"21"	"432"	""	"432"	""
"54"	""	"41"	"29"	"2"	"176"	"178"	"2"	"5"	"7"	"3"	"5"	"3"	"18"	"428"	""	"428"	""
"55"	""	"42"	"188"	"7"	"81"	"20"	"0"	"1"	"2"	"0"	"1"	"1"	"4"	"305"	""	"305"	""
"56"	""	"Total -3"	"747"	"51"	"1615"	"2949"	"55"	"44"	"59"	"51"	"45"	"53"	"145"	"5814"	"0"	"5814"	"0"
"57"	""	""	""	""	""	""	""	"248902
39-Phulparas"	""	""	""	""	""	""	""	""	""
"58"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"59"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, y ks0l 0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"60"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"61"	"Round No4"	"43"	"107"	"1"	"175"	"160"	"7"	"3"	"2"	"2"	"4"	"10"	"13"	"484"	""	"484"	""
"62"	""	"44"	"34"	"4"	"64"	"349"	"6"	"6"	"8"	"7"	"4"	"5"	"21"	"508"	""	"508"	""
"63"	""	"45"	"92"	"10"	"86"	"210"	"2"	"3"	"5"	"4"	"4"	"6"	"6"	"428"	""	"428"	""
"64"	""	"46"	"23"	"4"	"43"	"205"	"2"	"0"	"2"	"1"	"0"	"1"	"5"	"286"	""	"286"	""
"65"	""	"47"	"77"	"10"	"466"	"97"	"5"	"3"	"3"	"4"	"4"	"6"	"11"	"686"	""	"686"	""
"66"	""	"48"	"109"	"2"	"62"	"79"	"1"	"2"	"6"	"1"	"3"	"0"	"6"	"271"	""	"271"	""
"67"	""	"49"	"125"	"8"	"152"	"76"	"10"	"4"	"4"	"2"	"1"	"3"	"3"	"388"	""	"388"	""
"68"	""	"50"	"55"	"6"	"65"	"339"	"8"	"9"	"7"	"3"	"2"	"8"	"17"	"519"	""	"519"	""
"69"	""	"51"	"166"	"9"	"27"	"155"	"2"	"0"	"2"	"0"	"1"	"3"	"2"	"367"	""	"367"	""
"70"	""	"52"	"66"	"9"	"91"	"251"	"9"	"9"	"5"	"3"	"0"	"4"	"7"	"454"	""	"454"	""
"71"	""	"53"	"15"	"9"	"107"	"73"	"1"	"2"	"0"	"1"	"2"	"3"	"18"	"231"	""	"231"	""
"72"	""	"54"	"170"	"6"	"7"	"54"	"2"	"2"	"0"	"1"	"0"	"1"	"8"	"251"	""	"251"	""
"73"	""	"55"	"20"	"3"	"125"	"361"	"3"	"5"	"9"	"3"	"1"	"9"	"12"	"551"	""	"551"	""
"74"	""	"56"	"89"	"8"	"177"	"135"	"3"	"3"	"3"	"3"	"7"	"5"	"14"	"447"	""	"447"	""
"75"	""	"Total -4"	"1148"	"89"	"1647"	"2544"	"61"	"51"	"56"	"35"	"33"	"64"	"143"	"5871"	"0"	"5871"	"0"
"76"	""	""	""	""	""	""	""	"248902
39-Phulparas"	""	""	""	""	""	""	""	""	""
"77"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"78"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, y ks0l 0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"79"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"80"	"Round No 5"	"57"	"11"	"13"	"362"	"46"	"0"	"0"	"2"	"4"	"1"	"3"	"4"	"446"	""	"446"	""
"81"	""	"58"	"19"	"57"	"104"	"148"	"1"	"2"	"3"	"2"	"4"	"2"	"4"	"346"	""	"346"	""
"82"	""	"59"	"44"	"4"	"76"	"211"	"3"	"4"	"2"	"0"	"1"	"3"	"3"	"351"	""	"351"	""
"83"	""	"60"	"10"	"0"	"56"	"173"	"1"	"2"	"3"	"1"	"0"	"1"	"4"	"251"	""	"251"	""
"84"	""	"61"	"21"	"4"	"282"	"106"	"6"	"5"	"4"	"2"	"0"	"1"	"4"	"435"	""	"435"	""
"85"	""	"62"	"9"	"5"	"133"	"106"	"3"	"1"	"3"	"2"	"3"	"2"	"6"	"273"	""	"273"	""
"86"	""	"63"	"174"	"8"	"162"	"60"	"6"	"2"	"2"	"0"	"1"	"1"	"2"	"418"	""	"418"	""
"87"	""	"64"	"43"	"2"	"153"	"138"	"1"	"2"	"0"	"2"	"3"	"5"	"12"	"361"	""	"361"	""
"88"	""	"65"	"35"	"11"	"81"	"329"	"6"	"12"	"5"	"4"	"0"	"4"	"6"	"493"	""	"493"	""
"89"	""	"66"	"117"	"6"	"27"	"170"	"3"	"3"	"2"	"2"	"4"	"2"	"8"	"344"	""	"344"	""
"90"	""	"67"	"90"	"3"	"78"	"115"	"3"	"2"	"6"	"2"	"4"	"6"	"9"	"318"	""	"318"	""
"91"	""	"68"	"10"	"2"	"97"	"302"	"12"	"5"	"6"	"3"	"0"	"8"	"15"	"460"	""	"460"	""
"92"	""	"69"	"9"	"4"	"79"	"574"	"3"	"2"	"2"	"1"	"0"	"2"	"6"	"682"	""	"682"	""
"93"	""	"70"	"20"	"11"	"382"	"108"	"6"	"2"	"3"	"6"	"5"	"6"	"12"	"561"	""	"561"	""
"94"	""	"Total -5"	"612"	"130"	"2072"	"2586"	"54"	"44"	"43"	"31"	"26"	"46"	"95"	"5739"	"0"	"5739"	"0"
"95"	""	""	""	""	""	""	""	"248902
39-Phulparas"	""	""	""	""	""	""	""	""	""
"96"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"97"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, y ks0l 0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"98"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"99"	"Round No 6"	"71"	"9"	"5"	"122"	"320"	"8"	"2"	"6"	"4"	"4"	"6"	"21"	"507"	""	"507"	""
"100"	""	"72"	"127"	"5"	"110"	"95"	"0"	"3"	"0"	"1"	"1"	"1"	"0"	"343"	""	"343"	""
"101"	""	"73"	"308"	"14"	"63"	"47"	"5"	"4"	"3"	"2"	"7"	"5"	"4"	"462"	""	"462"	""
"102"	""	"74"	"9"	"4"	"102"	"120"	"4"	"2"	"3"	"1"	"1"	"2"	"4"	"252"	""	"252"	""
"103"	""	"75"	"4"	"4"	"166"	"277"	"2"	"6"	"7"	"0"	"4"	"3"	"6"	"479"	""	"479"	""
"104"	""	"76"	"9"	"4"	"60"	"306"	"10"	"4"	"4"	"6"	"2"	"5"	"12"	"422"	""	"422"	""
"105"	""	"77"	"44"	"6"	"147"	"348"	"9"	"6"	"7"	"7"	"9"	"12"	"16"	"611"	""	"611"	""
"106"	""	"78"	"92"	"7"	"86"	"251"	"9"	"5"	"6"	"2"	"1"	"7"	"2"	"468"	""	"468"	""
"107"	""	"79"	"27"	"9"	"129"	"277"	"4"	"8"	"7"	"4"	"9"	"8"	"28"	"510"	""	"510"	""
"108"	""	"80"	"118"	"5"	"17"	"214"	"8"	"8"	"4"	"2"	"5"	"8"	"15"	"404"	""	"404"	""
"109"	""	"81"	"15"	"3"	"57"	"385"	"5"	"2"	"6"	"3"	"1"	"3"	"3"	"483"	""	"483"	""
"110"	""	"82"	"43"	"4"	"29"	"416"	"5"	"4"	"3"	"2"	"0"	"3"	"5"	"514"	""	"514"	""
"111"	""	"83"	"17"	"0"	"13"	"283"	"3"	"7"	"6"	"4"	"2"	"3"	"7"	"345"	""	"345"	""
"112"	""	"84"	"16"	"3"	"46"	"327"	"4"	"2"	"2"	"2"	"2"	"2"	"4"	"410"	""	"410"	""
"113"	""	"Total -6"	"838"	"73"	"1147"	"3666"	"76"	"63"	"64"	"40"	"48"	"68"	"127"	"6210"	"0"	"6210"	"0"
"114"	""	""	""	""	""	""	""	"248902
39-Phulparas"	""	""	""	""	""	""	""	""	""
"115"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"116"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, y ks0l 0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"117"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"118"	"Round No 7"	"85"	"13"	"1"	"17"	"311"	"3"	"5"	"4"	"2"	"3"	"6"	"13"	"378"	""	"378"	""
"119"	""	"86"	"10"	"1"	"14"	"475"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"504"	""	"504"	""
"120"	""	"87"	"18"	"4"	"50"	"320"	"3"	"8"	"6"	"8"	"4"	"5"	"21"	"447"	""	"447"	""
"121"	""	"88"	"12"	"74"	"155"	"167"	"3"	"2"	"2"	"4"	"3"	"1"	"3"	"426"	""	"426"	""
"122"	""	"89"	"9"	"9"	"212"	"155"	"5"	"5"	"4"	"6"	"3"	"7"	"20"	"435"	""	"435"	""
"123"	""	"90"	"15"	"2"	"6"	"381"	"3"	"0"	"2"	"0"	"1"	"0"	"4"	"414"	""	"414"	""
"124"	""	"91"	"26"	"8"	"303"	"209"	"5"	"0"	"4"	"0"	"3"	"2"	"3"	"563"	""	"563"	""
"125"	""	"92"	"2"	"1"	"56"	"291"	"4"	"2"	"5"	"3"	"1"	"3"	"3"	"371"	""	"371"	""
"126"	""	"93"	"21"	"6"	"22"	"493"	"4"	"7"	"3"	"4"	"3"	"0"	"4"	"567"	""	"567"	""
"127"	""	"94"	"15"	"1"	"17"	"268"	"1"	"6"	"5"	"4"	"3"	"7"	"16"	"343"	""	"343"	""
"128"	""	"95"	"26"	"110"	"97"	"299"	"5"	"9"	"6"	"1"	"8"	"8"	"17"	"586"	""	"586"	""
"129"	""	"96"	"17"	"22"	"210"	"73"	"1"	"0"	"5"	"0"	"0"	"1"	"6"	"335"	""	"335"	""
"130"	""	"97"	"9"	"18"	"278"	"82"	"5"	"2"	"3"	"2"	"5"	"5"	"7"	"416"	""	"416"	""
"131"	""	"98"	"30"	"11"	"142"	"229"	"4"	"3"	"3"	"2"	"2"	"2"	"7"	"435"	""	"435"	""
"132"	""	"Total -7"	"223"	"268"	"1579"	"3753"	"48"	"49"	"53"	"36"	"39"	"47"	"125"	"6220"	"0"	"6220"	"0"
"133"	""	""	""	""	""	""	""	"248902
39-Phulparas"	""	""	""	""	""	""	""	""	""
"134"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"135"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, y ks0l 0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"136"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"137"	"Round No 8"	"99"	"7"	"6"	"20"	"339"	"5"	"3"	"12"	"3"	"1"	"4"	"23"	"423"	""	"423"	""
"138"	""	"100"	"14"	"5"	"89"	"286"	"4"	"10"	"4"	"2"	"1"	"2"	"7"	"424"	""	"424"	""
"139"	""	"101"	"23"	"8"	"239"	"267"	"13"	"12"	"9"	"8"	"14"	"15"	"51"	"659"	""	"659"	""
"140"	""	"102"	"12"	"0"	"32"	"325"	"3"	"2"	"2"	"1"	"3"	"3"	"4"	"387"	""	"387"	""
"141"	""	"103"	"19"	"7"	"117"	"419"	"7"	"5"	"7"	"7"	"7"	"8"	"18"	"621"	""	"621"	""
"142"	""	"104"	"11"	"5"	"32"	"387"	"5"	"5"	"2"	"1"	"1"	"1"	"0"	"450"	""	"450"	""
"143"	""	"105"	"6"	"0"	"7"	"458"	"1"	"0"	"0"	"0"	"1"	"2"	"0"	"475"	""	"475"	""
"144"	""	"106"	"26"	"10"	"200"	"434"	"14"	"6"	"9"	"6"	"4"	"3"	"7"	"719"	""	"719"	""
"145"	""	"107"	"3"	"1"	"86"	"242"	"3"	"0"	"0"	"1"	"0"	"1"	"0"	"337"	""	"337"	""
"146"	""	"108"	"2"	"2"	"140"	"193"	"2"	"0"	"1"	"1"	"4"	"3"	"3"	"351"	""	"351"	""
"147"	""	"109"	"245"	"6"	"38"	"32"	"1"	"3"	"1"	"2"	"0"	"0"	"4"	"332"	""	"332"	""
"148"	""	"110"	"94"	"0"	"47"	"98"	"5"	"0"	"1"	"0"	"1"	"2"	"2"	"250"	""	"250"	""
"149"	""	"111"	"66"	"8"	"71"	"151"	"2"	"2"	"0"	"4"	"1"	"2"	"4"	"311"	""	"311"	""
"150"	""	"112"	"26"	"2"	"36"	"465"	"6"	"5"	"13"	"8"	"5"	"4"	"21"	"591"	""	"591"	""
"151"	""	"Total -8"	"554"	"60"	"1154"	"4096"	"71"	"53"	"61"	"44"	"43"	"50"	"144"	"6330"	"0"	"6330"	"0"
"152"	""	""	""	""	""	""	""	"248902
39-Phulparas"	""	""	""	""	""	""	""	""	""
"153"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"154"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, y ks0l 0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"155"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"156"	"Round No 9"	"113"	"4"	"1"	"329"	"181"	"5"	"2"	"4"	"2"	"0"	"2"	"2"	"532"	""	"532"	""
"157"	""	"114"	"152"	"4"	"33"	"130"	"4"	"3"	"3"	"0"	"1"	"2"	"2"	"334"	""	"334"	""
"158"	""	"115"	"240"	"6"	"19"	"72"	"1"	"0"	"1"	"2"	"0"	"0"	"3"	"344"	""	"344"	""
"159"	""	"116"	"14"	"4"	"191"	"182"	"5"	"1"	"4"	"1"	"3"	"4"	"7"	"416"	""	"416"	""
"160"	""	"117"	"34"	"1"	"25"	"323"	"6"	"3"	"1"	"1"	"1"	"0"	"5"	"400"	""	"400"	""
"161"	""	"118"	"21"	"3"	"19"	"328"	"10"	"3"	"6"	"4"	"0"	"3"	"19"	"416"	""	"416"	""
"162"	""	"119"	"25"	"3"	"92"	"308"	"4"	"4"	"9"	"6"	"3"	"1"	"10"	"465"	""	"465"	""
"163"	""	"120"	"194"	"4"	"123"	"164"	"2"	"4"	"3"	"0"	"4"	"5"	"5"	"508"	""	"508"	""
"164"	""	"121"	"207"	"2"	"38"	"33"	"1"	"3"	"0"	"1"	"1"	"3"	"4"	"293"	""	"293"	""
"165"	""	"122"	"113"	"9"	"20"	"151"	"0"	"3"	"4"	"0"	"3"	"2"	"4"	"309"	""	"309"	""
"166"	""	"123"	"238"	"6"	"14"	"72"	"4"	"5"	"1"	"0"	"0"	"2"	"9"	"351"	""	"351"	""
"167"	""	"124"	"164"	"2"	"37"	"181"	"2"	"6"	"3"	"1"	"2"	"6"	"5"	"409"	""	"409"	""
"168"	""	"125"	"120"	"11"	"48"	"353"	"0"	"9"	"7"	"1"	"0"	"4"	"4"	"557"	""	"557"	""
"169"	""	"126"	"36"	"4"	"80"	"398"	"4"	"9"	"3"	"4"	"4"	"3"	"9"	"554"	""	"554"	""
"170"	""	"Total -9"	"1562"	"60"	"1068"	"2876"	"48"	"55"	"49"	"23"	"22"	"37"	"88"	"5888"	"0"	"5888"	"0"
"171"	""	""	""	""	""	""	""	"248902
39-Phulparas"	""	""	""	""	""	""	""	""	""
"172"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"173"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, y ks0l 0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"174"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"175"	"Round No 10"	"127"	"15"	"8"	"236"	"212"	"3"	"8"	"6"	"6"	"11"	"16"	"18"	"539"	""	"539"	""
"176"	""	"128"	"25"	"7"	"93"	"271"	"6"	"3"	"5"	"2"	"3"	"5"	"12"	"432"	""	"432"	""
"177"	""	"129"	"18"	"9"	"424"	"162"	"4"	"1"	"5"	"1"	"0"	"2"	"7"	"633"	""	"633"	""
"178"	""	"130"	"33"	"10"	"260"	"322"	"9"	"7"	"8"	"2"	"9"	"7"	"4"	"671"	""	"671"	""
"179"	""	"131"	"42"	"2"	"175"	"116"	"6"	"2"	"3"	"2"	"3"	"6"	"10"	"367"	""	"367"	""
"180"	""	"132"	"5"	"1"	"281"	"88"	"3"	"2"	"1"	"0"	"1"	"1"	"0"	"383"	""	"383"	""
