"Sl..No."	"No..of.Polli.ng.Station"	"No..of.Valid..votes.cast..in..favour..of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.valid.votes"	"No..of.reject.ed.votes"	"Total"	"No..of.Tender.ed.votes"
"42"	"Sl. No."	"No. of Polli ng Station"	"No. of Valid  votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of reject ed
votes"	"Total"	"No. of Tender ed
votes"
"43"	""	""	"MD. ANWARU L HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARU N SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDRI KA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"44"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"45"	"40"	"40"	"8"	"19"	"180"	"80"	"169"	"6"	"2"	"3"	"1"	"2"	"3"	"2"	"8"	"5"	"8"	"496"	"0"	"496"	""
"46"	"41"	"41"	"49"	"6"	"337"	"27"	"61"	"0"	"2"	"4"	"1"	"1"	"1"	"1"	"4"	"1"	"6"	"501"	"0"	"501"	""
"47"	"42"	"42"	"61"	"32"	"161"	"44"	"88"	"3"	"1"	"3"	"2"	"1"	"1"	"3"	"4"	"2"	"5"	"411"	"0"	"411"	""
"48"	"43"	"43"	"13"	"8"	"79"	"49"	"293"	"7"	"0"	"7"	"0"	"2"	"5"	"0"	"8"	"5"	"4"	"480"	"0"	"480"	""
"49"	"44"	"44"	"119"	"11"	"94"	"113"	"230"	"4"	"4"	"4"	"0"	"2"	"0"	"0"	"6"	"2"	"1"	"590"	"0"	"590"	""
"50"	"45"	"45"	"5"	"0"	"124"	"10"	"349"	"3"	"2"	"0"	"1"	"0"	"1"	"1"	"3"	"2"	"1"	"502"	"0"	"502"	""
"51"	"46"	"46"	"34"	"15"	"446"	"43"	"105"	"10"	"3"	"5"	"1"	"2"	"3"	"3"	"11"	"7"	"12"	"700"	"0"	"700"	""
"52"	"47"	"47"	"8"	"6"	"151"	"62"	"107"	"0"	"1"	"0"	"0"	"0"	"1"	"2"	"3"	"1"	"1"	"343"	"0"	"343"	""
"53"	"48"	"48"	"9"	"10"	"170"	"58"	"110"	"2"	"1"	"3"	"1"	"1"	"3"	"5"	"1"	"6"	"3"	"383"	"0"	"383"	""
"54"	"49"	"49"	"330"	"7"	"134"	"18"	"69"	"2"	"0"	"4"	"0"	"0"	"2"	"3"	"8"	"9"	"21"	"607"	"0"	"607"	""
"55"	"50"	"50"	"289"	"5"	"65"	"23"	"30"	"1"	"1"	"1"	"0"	"0"	"2"	"0"	"2"	"1"	"6"	"426"	"0"	"426"	""
"56"	"51"	"51"	"170"	"4"	"173"	"15"	"16"	"0"	"1"	"2"	"0"	"0"	"1"	"0"	"2"	"2"	"4"	"390"	"0"	"390"	""
"57"	"52"	"52"	"50"	"5"	"81"	"15"	"253"	"3"	"6"	"5"	"0"	"2"	"0"	"1"	"4"	"2"	"3"	"430"	"0"	"430"	""
"58"	"53"	"53"	"99"	"18"	"152"	"12"	"70"	"4"	"6"	"2"	"1"	"0"	"2"	"6"	"4"	"0"	"7"	"383"	"0"	"383"	""
"59"	"54"	"54"	"57"	"12"	"158"	"69"	"183"	"4"	"1"	"9"	"1"	"4"	"3"	"4"	"8"	"8"	"13"	"534"	"0"	"534"	""
"60"	"55"	"55"	"28"	"13"	"293"	"139"	"146"	"4"	"1"	"4"	"0"	"2"	"3"	"3"	"7"	"1"	"10"	"654"	"0"	"654"	""
"61"	"56"	"56"	"44"	"11"	"146"	"131"	"81"	"1"	"4"	"3"	"0"	"1"	"1"	"5"	"3"	"4"	"4"	"439"	"0"	"439"	""
"62"	"57"	"57"	"64"	"14"	"303"	"31"	"130"	"4"	"0"	"1"	"1"	"0"	"0"	"2"	"2"	"2"	"2"	"556"	"0"	"556"	""
"63"	"58"	"58"	"98"	"18"	"255"	"13"	"161"	"3"	"2"	"6"	"0"	"2"	"1"	"5"	"6"	"8"	"12"	"590"	"0"	"590"	""
"64"	"59"	"59"	"57"	"27"	"285"	"23"	"58"	"0"	"4"	"0"	"2"	"1"	"0"	"2"	"4"	"0"	"3"	"466"	"0"	"466"	""
"65"	"60"	"60"	"53"	"16"	"263"	"32"	"42"	"2"	"2"	"4"	"2"	"1"	"0"	"1"	"1"	"2"	"9"	"430"	"0"	"430"	""
"66"	"61"	"61"	"47"	"18"	"300"	"28"	"72"	"5"	"3"	"6"	"2"	"3"	"0"	"4"	"7"	"6"	"6"	"507"	"0"	"507"	""
"67"	"62"	"62"	"98"	"15"	"263"	"24"	"121"	"1"	"5"	"3"	"1"	"1"	"0"	"0"	"8"	"2"	"7"	"549"	"0"	"549"	""
"68"	"63"	"63"	"23"	"10"	"163"	"18"	"253"	"3"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"8"	"5"	"493"	"0"	"493"	""
"69"	"64"	"64"	"42"	"17"	"245"	"12"	"15"	"3"	"3"	"1"	"2"	"2"	"1"	"4"	"3"	"7"	"10"	"367"	"0"	"367"	""
"70"	"65"	"65"	"72"	"19"	"265"	"39"	"63"	"1"	"0"	"0"	"0"	"2"	"0"	"3"	"5"	"3"	"6"	"478"	"0"	"478"	""
"71"	"66"	"66"	"364"	"17"	"125"	"90"	"31"	"3"	"3"	"2"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"639"	"0"	"639"	""
"72"	"67"	"67"	"174"	"14"	"165"	"15"	"105"	"5"	"1"	"1"	"1"	"0"	"0"	"1"	"2"	"3"	"6"	"493"	"0"	"493"	""
"73"	"68"	"68"	"212"	"16"	"331"	"16"	"26"	"2"	"1"	"1"	"1"	"0"	"0"	"2"	"8"	"3"	"9"	"628"	"0"	"628"	""
"74"	"69"	"69"	"37"	"8"	"191"	"8"	"223"	"9"	"2"	"4"	"0"	"2"	"0"	"4"	"3"	"3"	"1"	"495"	"0"	"495"	""
"75"	"70"	"70"	"4"	"8"	"230"	"18"	"120"	"0"	"5"	"0"	"1"	"1"	"1"	"2"	"0"	"1"	"1"	"392"	"0"	"392"	""
"76"	"71"	"71"	"103"	"12"	"229"	"45"	"209"	"15"	"8"	"3"	"4"	"2"	"2"	"7"	"3"	"3"	"15"	"660"	"0"	"660"	""
"77"	"72"	"72"	"13"	"8"	"237"	"12"	"60"	"1"	"2"	"5"	"5"	"2"	"3"	"4"	"19"	"7"	"16"	"394"	"0"	"394"	""
"78"	"73"	"73"	"48"	"15"	"360"	"12"	"12"	"0"	"0"	"1"	"1"	"1"	"1"	"5"	"10"	"3"	"6"	"475"	"0"	"475"	""
"79"	"74"	"74"	"11"	"7"	"231"	"75"	"43"	"1"	"0"	"1"	"0"	"0"	"1"	"4"	"7"	"2"	"3"	"386"	"0"	"386"	""
"80"	"75"	"75"	"84"	"2"	"84"	"25"	"116"	"1"	"3"	"3"	"1"	"0"	"0"	"1"	"5"	"3"	"7"	"335"	"0"	"335"	""
"81"	"76"	"76"	"77"	"3"	"50"	"2"	"8"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"143"	"0"	"143"	""
"82"	"77"	"77"	"103"	"21"	"131"	"100"	"23"	"3"	"1"	"2"	"4"	"1"	"0"	"0"	"0"	"2"	"3"	"394"	"0"	"394"	""
"83"	"78"	"78"	"55"	"10"	"139"	"53"	"52"	"0"	"2"	"0"	"1"	"0"	"0"	"3"	"0"	"2"	"1"	"318"	"0"	"318"	""
"84"	"Sl. No."	"No. of Polli ng Station"	"No. of Valid  votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of reject ed
votes"	"Total"	"No. of Tender ed
votes"
"85"	""	""	"MD. ANWARU L HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARU N SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDRI KA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"86"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"87"	"79"	"79"	"45"	"6"	"195"	"20"	"101"	"0"	"1"	"1"	"3"	"2"	"1"	"2"	"3"	"5"	"9"	"394"	"0"	"394"	""
"88"	"80"	"80"	"28"	"7"	"204"	"35"	"22"	"1"	"0"	"0"	"0"	"1"	"2"	"2"	"4"	"3"	"5"	"314"	"0"	"314"	""
"89"	"81"	"81"	"64"	"23"	"417"	"35"	"40"	"0"	"2"	"6"	"1"	"0"	"0"	"0"	"1"	"2"	"1"	"592"	"0"	"592"	""
"90"	"82"	"82"	"58"	"9"	"181"	"17"	"64"	"2"	"1"	"1"	"0"	"0"	"4"	"1"	"0"	"0"	"4"	"342"	"0"	"342"	""
"91"	"83"	"83"	"47"	"15"	"368"	"38"	"7"	"1"	"0"	"6"	"1"	"0"	"1"	"4"	"3"	"4"	"3"	"498"	"0"	"498"	""
"92"	"84"	"84"	"17"	"14"	"284"	"42"	"27"	"2"	"0"	"1"	"0"	"1"	"0"	"4"	"6"	"5"	"4"	"407"	"0"	"407"	""
"93"	"85"	"85"	"14"	"13"	"117"	"65"	"82"	"4"	"2"	"3"	"1"	"0"	"0"	"0"	"4"	"5"	"0"	"310"	"0"	"310"	""
"94"	"86"	"86"	"51"	"16"	"296"	"112"	"83"	"2"	"5"	"1"	"0"	"0"	"1"	"2"	"0"	"2"	"6"	"577"	"0"	"577"	""
"95"	"87"	"87"	"5"	"7"	"230"	"147"	"34"	"2"	"0"	"3"	"0"	"0"	"1"	"0"	"4"	"0"	"0"	"433"	"0"	"433"	""
"96"	"88"	"88"	"14"	"10"	"242"	"116"	"39"	"2"	"1"	"1"	"0"	"2"	"0"	"1"	"5"	"5"	"5"	"443"	"0"	"443"	""
"97"	"89"	"89"	"343"	"10"	"73"	"11"	"26"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"2"	"3"	"4"	"477"	"0"	"477"	""
"98"	"90"	"90"	"34"	"7"	"201"	"59"	"94"	"9"	"3"	"4"	"1"	"1"	"5"	"5"	"3"	"3"	"6"	"435"	"0"	"435"	""
"99"	"91"	"91"	"32"	"13"	"395"	"6"	"96"	"0"	"2"	"6"	"1"	"1"	"2"	"5"	"3"	"2"	"2"	"566"	"0"	"566"	""
"100"	"92"	"92"	"5"	"15"	"553"	"5"	"12"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"2"	"597"	"0"	"597"	""
"101"	"93"	"93"	"202"	"12"	"53"	"58"	"183"	"3"	"1"	"2"	"0"	"1"	"1"	"2"	"8"	"2"	"17"	"545"	"0"	"545"	""
"102"	"94"	"94"	"28"	"10"	"562"	"15"	"25"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"4"	"3"	"1"	"649"	"0"	"649"	""
"103"	"95"	"95"	"80"	"9"	"52"	"15"	"104"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"3"	"4"	"271"	"0"	"271"	""
"104"	"96"	"96"	"12"	"6"	"97"	"10"	"336"	"0"	"2"	"2"	"1"	"0"	"0"	"0"	"1"	"3"	"4"	"474"	"0"	"474"	""
"105"	"97"	"97"	"32"	"13"	"351"	"19"	"30"	"1"	"2"	"3"	"1"	"1"	"0"	"2"	"2"	"3"	"1"	"461"	"0"	"461"	""
"106"	"98"	"98"	"62"	"29"	"336"	"17"	"29"	"0"	"2"	"1"	"2"	"4"	"4"	"1"	"4"	"7"	"5"	"503"	"0"	"503"	""
"107"	"99"	"99"	"29"	"11"	"290"	"107"	"16"	"2"	"1"	"3"	"0"	"1"	"4"	"4"	"3"	"1"	"3"	"475"	"0"	"475"	""
"108"	"100"	"100"	"374"	"12"	"121"	"28"	"19"	"2"	"1"	"2"	"1"	"1"	"0"	"0"	"1"	"5"	"13"	"580"	"0"	"580"	""
"109"	"101"	"101"	"77"	"4"	"8"	"16"	"112"	"2"	"3"	"1"	"1"	"0"	"3"	"1"	"1"	"0"	"4"	"233"	"0"	"233"	""
"110"	"102"	"102"	"116"	"2"	"12"	"29"	"85"	"2"	"4"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"254"	"0"	"254"	""
"111"	"103"	"103"	"333"	"12"	"21"	"21"	"54"	"2"	"2"	"0"	"0"	"1"	"0"	"2"	"3"	"3"	"8"	"462"	"0"	"462"	""
"112"	"104"	"104"	"134"	"7"	"68"	"12"	"195"	"4"	"3"	"3"	"1"	"0"	"0"	"0"	"1"	"4"	"2"	"434"	"0"	"434"	""
"113"	"105"	"105"	"174"	"7"	"59"	"43"	"21"	"2"	"1"	"1"	"0"	"1"	"0"	"0"	"3"	"2"	"14"	"328"	"0"	"328"	""
"114"	"106"	"106"	"107"	"10"	"80"	"55"	"69"	"1"	"2"	"0"	"2"	"0"	"0"	"1"	"0"	"2"	"1"	"330"	"0"	"330"	""
"115"	"107"	"107"	"171"	"7"	"50"	"20"	"35"	"2"	"0"	"1"	"1"	"0"	"1"	"2"	"4"	"6"	"16"	"316"	"0"	"316"	""
"116"	"108"	"108"	"95"	"2"	"1"	"18"	"49"	"2"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"2"	"173"	"0"	"173"	""
"117"	"109"	"109"	"131"	"11"	"125"	"18"	"48"	"2"	"5"	"0"	"2"	"0"	"0"	"1"	"2"	"1"	"2"	"348"	"0"	"348"	""
"118"	"110"	"110"	"131"	"8"	"144"	"33"	"91"	"3"	"6"	"1"	"3"	"0"	"1"	"3"	"2"	"4"	"3"	"433"	"0"	"433"	""
"119"	"111"	"111"	"255"	"6"	"31"	"78"	"22"	"1"	"2"	"1"	"1"	"0"	"2"	"2"	"1"	"2"	"7"	"411"	"0"	"411"	""
"120"	"112"	"112"	"63"	"10"	"107"	"100"	"37"	"0"	"4"	"0"	"2"	"1"	"1"	"4"	"3"	"6"	"4"	"342"	"0"	"342"	""
"121"	"113"	"113"	"16"	"5"	"36"	"253"	"44"	"3"	"3"	"2"	"0"	"2"	"2"	"3"	"3"	"1"	"5"	"378"	"0"	"378"	""
"122"	"114"	"114"	"65"	"9"	"354"	"24"	"8"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"3"	"1"	"466"	"0"	"466"	""
"123"	"115"	"115"	"13"	"10"	"148"	"150"	"18"	"1"	"3"	"1"	"3"	"1"	"1"	"3"	"5"	"8"	"6"	"371"	"0"	"371"	""
"124"	"116"	"116"	"143"	"6"	"84"	"16"	"7"	"0"	"0"	"1"	"0"	"1"	"2"	"1"	"2"	"2"	"7"	"272"	"0"	"272"	""
"125"	"117"	"117"	"187"	"9"	"63"	"38"	"8"	"0"	"0"	"2"	"1"	"2"	"3"	"0"	"5"	"2"	"9"	"329"	"0"	"329"	""
"126"	"Sl. No."	"No. of Polli ng Station"	"No. of Valid  votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of reject ed
votes"	"Total"	"No. of Tender ed
votes"
"127"	""	""	"MD. ANWARU L HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARU N SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDRI KA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"128"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"129"	"118"	"118"	"79"	"23"	"174"	"20"	"58"	"5"	"3"	"0"	"2"	"5"	"2"	"3"	"11"	"3"	"13"	"401"	"0"	"401"	""
"130"	"119"	"119"	"96"	"7"	"68"	"28"	"16"	"3"	"1"	"0"	"2"	"0"	"0"	"1"	"1"	"5"	"4"	"232"	"0"	"232"	""
"131"	"120"	"120"	"61"	"10"	"224"	"84"	"117"	"4"	"1"	"2"	"2"	"2"	"2"	"3"	"5"	"4"	"6"	"527"	"0"	"527"	""
"132"	"121"	"121"	"143"	"20"	"157"	"114"	"82"	"6"	"3"	"4"	"1"	"2"	"3"	"11"	"6"	"4"	"21"	"577"	"0"	"577"	""
"133"	"122"	"122"	"114"	"15"	"217"	"39"	"23"	"2"	"2"	"1"	"0"	"1"	"1"	"3"	"2"	"5"	"18"	"443"	"0"	"443"	""
"134"	"123"	"123"	"70"	"21"	"320"	"14"	"2"	"1"	"3"	"0"	"0"	"0"	"0"	"3"	"1"	"2"	"1"	"438"	"0"	"438"	""
"135"	"124"	"124"	"248"	"6"	"7"	"6"	"10"	"2"	"3"	"0"	"3"	"0"	"0"	"2"	"1"	"2"	"15"	"305"	"0"	"305"	""
"136"	"125"	"125"	"325"	"11"	"25"	"7"	"17"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"389"	"0"	"389"	""
"137"	"126"	"126"	"198"	"16"	"136"	"37"	"25"	"1"	"0"	"0"	"1"	"0"	"3"	"0"	"4"	"4"	"11"	"436"	"0"	"436"	""
"138"	"127"	"127"	"290"	"7"	"59"	"6"	"105"	"2"	"2"	"1"	"0"	"0"	"0"	"2"	"2"	"0"	"2"	"478"	"0"	"478"	""
"139"	"128"	"128"	"77"	"12"	"326"	"24"	"58"	"1"	"2"	"1"	"0"	"0"	"1"	"1"	"4"	"8"	"1"	"516"	"0"	"516"	""
"140"	"129"	"129"	"355"	"5"	"10"	"31"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"410"	"0"	"410"	""
"141"	"130"	"130"	"403"	"5"	"119"	"13"	"8"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"552"	"0"	"552"	""
"142"	"131"	"131"	"300"	"15"	"154"	"38"	"27"	"2"	"2"	"1"	"2"	"4"	"3"	"5"	"7"	"7"	"14"	"581"	"0"	"581"	""
"143"	"132"	"132"	"386"	"6"	"18"	"3"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"8"	"424"	"0"	"424"	""
"144"	"133"	"133"	"94"	"13"	"295"	"7"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"6"	"4"	"4"	"427"	"0"	"427"	""
"145"	"134"	"134"	"137"	"7"	"88"	"33"	"26"	"1"	"1"	"4"	"0"	"0"	"0"	"3"	"1"	"1"	"2"	"304"	"0"	"304"	""
"146"	"135"	"135"	"201"	"11"	"280"	"14"	"2"	"0"	"2"	"2"	"1"	"0"	"0"	"1"	"7"	"3"	"8"	"532"	"0"	"532"	""
"147"	"136"	"136"	"77"	"9"	"390"	"8"	"1"	"1"	"0"	"3"	"1"	"1"	"2"	"1"	"3"	"2"	"6"	"505"	"0"	"505"	""
"148"	"137"	"137"	"186"	"14"	"13"	"10"	"2"	"0"	"1"	"2"	"0"	"2"	"3"	"3"	"1"	"1"	"10"	"248"	"0"	"248"	""
"149"	"138"	"138"	"224"	"37"	"17"	"10"	"3"	"0"	"2"	"0"	"1"	"1"	"7"	"1"	"5"	"3"	"11"	"322"	"0"	"322"	""
"150"	"139"	"139"	"168"	"3"	"9"	"23"	"37"	"2"	"0"	"1"	"0"	"2"	"1"	"0"	"1"	"1"	"6"	"254"	"0"	"254"	""
