"TOTAL.NO.OF.ELECTORS.IN.93.KUDHANI.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X210265"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"
"48"	"45"	""	""	"18"	""	"143"	"255"	"6"	""	"3"	"6"	"0"	"2"	"2"	"2"	"2"	"4"	"6"	"17"	"7"	"10"	"2"	"5"	"3"	"30"	"1"	"0"	"7"	"7"	"538"	""	""	""
"49"	"46"	""	""	"36"	""	"183"	"73"	"5"	""	"3"	"3"	"3"	"3"	"2"	"4"	"0"	"0"	"4"	"7"	"18"	"13"	"4"	"9"	"3"	"3"	"1"	"3"	"1"	"11"	"392"	""	""	""
"50"	"47"	""	""	"6"	""	"155"	"227"	"0"	""	"1"	"1"	"0"	"0"	"0"	"3"	"0"	"0"	"1"	"26"	"5"	"0"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"1"	"431"	""	""	""
"51"	"48"	""	""	"12"	""	"163"	"207"	"6"	""	"3"	"3"	"0"	"2"	"3"	"1"	"2"	"2"	"0"	"28"	"7"	"8"	"2"	"4"	"6"	"33"	"0"	"0"	"0"	"3"	"495"	""	""	""
"52"	"49"	""	""	"68"	""	"191"	"69"	"6"	""	"7"	"1"	"2"	"1"	"2"	"2"	"4"	"2"	"3"	"5"	"20"	"16"	"9"	"18"	"5"	"15"	"0"	"1"	"2"	"6"	"455"	""	""	""
"53"	"50"	""	""	"39"	""	"254"	"24"	"5"	""	"1"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"5"	"0"	"6"	"17"	"4"	"18"	"1"	"0"	"2"	"4"	"400"	""	""	""
"54"	"51"	""	""	"142"	""	"122"	"72"	"11"	""	"1"	"2"	"0"	"0"	"2"	"4"	"0"	"0"	"2"	"1"	"1"	"3"	"5"	"3"	"1"	"8"	"0"	"1"	"0"	"3"	"384"	""	""	""
"55"	"52"	""	""	"214"	""	"156"	"11"	"6"	""	"5"	"4"	"1"	"5"	"9"	"6"	"1"	"5"	"3"	"14"	"12"	"25"	"19"	"16"	"7"	"23"	"3"	"0"	"4"	"9"	"558"	""	""	""
"56"	"TOTAL NO OF ELECTORS IN 93-KUDHANI ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"210265"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"PS NO"	""	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	""	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	""	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"58"	"53"	""	""	"100"	""	"47"	"97"	"5"	""	"45"	"9"	"4"	"3"	"4"	"4"	"5"	"5"	"5"	"5"	"6"	"9"	"0"	"5"	"4"	"9"	"0"	"1"	"2"	"3"	"377"	""	""	""
"59"	"54"	""	""	"27"	""	"91"	"50"	"5"	""	"4"	"1"	"0"	"0"	"5"	"2"	"1"	"3"	"3"	"2"	"9"	"16"	"11"	"12"	"3"	"65"	"2"	"10"	"5"	"13"	"340"	""	""	""
"60"	"55"	""	""	"62"	""	"74"	"257"	"11"	""	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"1"	"4"	"7"	"8"	"0"	"15"	"8"	"16"	"1"	"3"	"2"	"5"	"477"	""	""	""
"61"	"56"	""	""	"0"	""	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""
"62"	"57"	""	""	"71"	""	"128"	"142"	"29"	""	"11"	"1"	"1"	"3"	"2"	"0"	"1"	"1"	"0"	"5"	"0"	"0"	"2"	"2"	"0"	"3"	"1"	"1"	"0"	"4"	"408"	""	""	""
"63"	"58"	""	""	"121"	""	"122"	"150"	"4"	""	"3"	"11"	"2"	"1"	"3"	"5"	"4"	"3"	"4"	"9"	"8"	"8"	"5"	"6"	"2"	"9"	"0"	"1"	"1"	"6"	"488"	""	""	""
"64"	"59"	""	""	"138"	""	"155"	"139"	"6"	""	"0"	"8"	"5"	"10"	"7"	"7"	"3"	"6"	"8"	"9"	"12"	"23"	"0"	"5"	"0"	"18"	"1"	"0"	"1"	"6"	"567"	""	""	""
"65"	"60"	""	""	"138"	""	"373"	"23"	"9"	""	"1"	"7"	"2"	"0"	"3"	"2"	"1"	"1"	"3"	"3"	"6"	"6"	"5"	"14"	"1"	"5"	"0"	"2"	"3"	"3"	"611"	""	""	""
"66"	"61"	""	""	"110"	""	"163"	"32"	"7"	""	"3"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"8"	"6"	"1"	"7"	"2"	"44"	"2"	"0"	"1"	"7"	"401"	""	""	""
"67"	"62"	""	""	"189"	""	"137"	"122"	"6"	""	"3"	"6"	"6"	"1"	"3"	"0"	"0"	"2"	"1"	"3"	"2"	"8"	"3"	"11"	"2"	"32"	"1"	"2"	"1"	"2"	"543"	""	""	""
"68"	"63"	""	""	"244"	""	"338"	"35"	"5"	""	"3"	"6"	"2"	"1"	"2"	"3"	"2"	"5"	"4"	"12"	"29"	"33"	"21"	"11"	"3"	"21"	"0"	"2"	"4"	"9"	"795"	""	""	""
"69"	"64"	""	""	"193"	""	"216"	"40"	"1"	""	"3"	"9"	"1"	"9"	"0"	"3"	"4"	"4"	"6"	"11"	"31"	"17"	"4"	"2"	"4"	"27"	"3"	"4"	"2"	"7"	"601"	""	""	""
"70"	"65"	""	""	"364"	""	"77"	"36"	"2"	""	"1"	"3"	"1"	"1"	"2"	"3"	"1"	"0"	"0"	"10"	"2"	"6"	"1"	"3"	"0"	"13"	"0"	"0"	"0"	"0"	"526"	""	""	""
"71"	"66"	""	""	"42"	""	"301"	"134"	"17"	""	"4"	"7"	"3"	"6"	"4"	"6"	"2"	"7"	"3"	"9"	"13"	"10"	"9"	"15"	"9"	"38"	"4"	"5"	"3"	"3"	"654"	""	""	""
"72"	"67"	""	""	"74"	""	"188"	"27"	"3"	""	"1"	"4"	"7"	"3"	"2"	"3"	"0"	"2"	"1"	"0"	"5"	"6"	"13"	"47"	"2"	"34"	"3"	"1"	"1"	"1"	"428"	""	""	""
"73"	"68"	""	""	"74"	""	"189"	"11"	"2"	""	"4"	"4"	"1"	"1"	"5"	"4"	"3"	"2"	"1"	"3"	"12"	"10"	"6"	"30"	"3"	"76"	"4"	"3"	"1"	"5"	"454"	""	""	""
"74"	"69"	""	""	"178"	""	"158"	"9"	"43"	""	"1"	"2"	"2"	"3"	"6"	"0"	"0"	"3"	"1"	"5"	"9"	"23"	"3"	"14"	"1"	"14"	"2"	"0"	"1"	"5"	"483"	""	""	""
"75"	"70"	""	""	"133"	""	"195"	"24"	"1"	""	"1"	"3"	"3"	"2"	"3"	"3"	"4"	"2"	"2"	"5"	"9"	"6"	"5"	"24"	"1"	"11"	"1"	"1"	"2"	"5"	"446"	""	""	""
"76"	"71"	""	""	"172"	""	"130"	"31"	"12"	""	"6"	"5"	"5"	"2"	"1"	"7"	"5"	"2"	"3"	"15"	"27"	"21"	"6"	"27"	"4"	"143"	"3"	"2"	"0"	"5"	"634"	""	""	""
"77"	"72"	""	""	"44"	""	"446"	"6"	"1"	""	"2"	"3"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"1"	"0"	"3"	"7"	"37"	"2"	"58"	"0"	"2"	"2"	"7"	"626"	""	""	""
"78"	"73"	""	""	"390"	""	"339"	"23"	"14"	""	"6"	"5"	"9"	"2"	"5"	"4"	"2"	"0"	"1"	"4"	"6"	"6"	"9"	"14"	"2"	"55"	"1"	"1"	"2"	"0"	"900"	""	""	""
"79"	"74"	""	""	"76"	""	"3"	"154"	"2"	""	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"5"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"250"	""	""	""
"80"	"75"	""	""	"132"	""	"427"	"46"	"5"	""	"1"	"6"	"4"	"1"	"1"	"2"	"1"	"1"	"0"	"3"	"5"	"3"	"12"	"12"	"3"	"18"	"2"	"2"	"3"	"7"	"697"	""	""	""
"81"	"76"	""	""	"61"	""	"58"	"78"	"1"	""	"1"	"1"	"4"	"4"	"3"	"4"	"3"	"1"	"2"	"3"	"3"	"5"	"4"	"59"	"0"	"27"	"2"	"0"	"0"	"2"	"326"	""	""	""
"82"	"77"	""	""	"55"	""	"102"	"46"	"2"	""	"1"	"3"	"3"	"3"	"3"	"3"	"2"	"5"	"4"	"6"	"7"	"16"	"4"	"24"	"1"	"6"	"2"	"2"	"2"	"2"	"304"	""	""	""
"83"	"78"	""	""	"109"	""	"100"	"56"	"27"	""	"2"	"5"	"0"	"0"	"2"	"5"	"1"	"1"	"2"	"2"	"7"	"6"	"3"	"22"	"2"	"20"	"1"	"1"	"1"	"3"	"378"	""	""	""
"84"	"TOTAL NO OF ELECTORS IN 93-KUDHANI ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"210265"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"PS NO"	""	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	""	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	""	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"86"	"79"	""	""	"36"	""	"267"	"123"	"7"	""	"2"	"1"	"0"	"2"	"2"	"3"	"1"	"1"	"3"	"7"	"11"	"7"	"10"	"18"	"10"	"69"	"2"	"2"	"3"	"5"	"592"	""	""	""
"87"	"80"	""	""	"12"	""	"262"	"98"	"3"	""	"2"	"2"	"4"	"0"	"2"	"9"	"4"	"3"	"0"	"11"	"15"	"15"	"3"	"6"	"3"	"30"	"2"	"0"	"3"	"4"	"493"	""	""	""
"88"	"81"	""	""	"281"	""	"186"	"22"	"5"	""	"7"	"3"	"0"	"1"	"2"	"6"	"0"	"2"	"2"	"1"	"7"	"9"	"4"	"27"	"2"	"10"	"1"	"0"	"0"	"2"	"580"	""	""	""
"89"	"82"	""	""	"39"	""	"398"	"5"	"1"	""	"1"	"0"	"0"	"1"	"1"	"2"	"3"	"2"	"2"	"2"	"23"	"9"	"11"	"20"	"1"	"6"	"2"	"2"	"3"	"6"	"540"	""	""	""
"90"	"83"	""	""	"122"	""	"309"	"18"	"3"	""	"1"	"2"	"1"	"1"	"4"	"0"	"0"	"0"	"1"	"4"	"15"	"12"	"3"	"12"	"2"	"11"	"0"	"0"	"1"	"0"	"522"	""	""	""
"91"	"84"	""	""	"133"	""	"60"	"164"	"7"	""	"5"	"11"	"0"	"2"	"2"	"1"	"4"	"1"	"3"	"4"	"7"	"9"	"2"	"9"	"2"	"43"	"1"	"1"	"2"	"3"	"476"	""	""	""
"92"	"85"	""	""	"46"	""	"201"	"49"	"3"	""	"4"	"5"	"0"	"3"	"2"	"1"	"2"	"1"	"2"	"2"	"8"	"4"	"9"	"35"	"2"	"97"	"2"	"4"	"3"	"5"	"490"	""	""	""
"93"	"86"	""	""	"173"	""	"81"	"28"	"94"	""	"2"	"2"	"2"	"4"	"4"	"1"	"3"	"2"	"4"	"14"	"11"	"15"	"5"	"16"	"4"	"64"	"2"	"2"	"2"	"13"	"548"	""	""	""
"94"	"87"	""	""	"144"	""	"121"	"79"	"1"	""	"0"	"8"	"2"	"2"	"7"	"5"	"2"	"3"	"2"	"11"	"12"	"12"	"25"	"30"	"8"	"48"	"2"	"1"	"6"	"8"	"539"	""	""	""
"95"	"88"	""	""	"379"	""	"88"	"34"	"1"	""	"0"	"2"	"3"	"1"	"5"	"6"	"0"	"1"	"1"	"6"	"5"	"11"	"13"	"24"	"3"	"7"	"0"	"1"	"1"	"1"	"593"	""	""	""
"96"	"89"	""	""	"7"	""	"346"	"28"	"4"	""	"3"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"3"	"0"	"9"	"1"	"16"	"0"	"1"	"1"	"0"	"426"	""	""	""
"97"	"90"	""	""	"43"	""	"171"	"9"	"2"	""	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"2"	"4"	"2"	"2"	"10"	"1"	"4"	"0"	"1"	"1"	"2"	"258"	""	""	""
"98"	"91"	""	""	"64"	""	"175"	"30"	"15"	""	"0"	"1"	"1"	"2"	"0"	"4"	"0"	"1"	"1"	"2"	"5"	"4"	"2"	"67"	"1"	"76"	"3"	"0"	"2"	"4"	"460"	""	""	""
"99"	"92"	""	""	"107"	""	"313"	"18"	"4"	""	"2"	"4"	"1"	"0"	"0"	"4"	"2"	"0"	"0"	"1"	"4"	"0"	"6"	"40"	"0"	"49"	"2"	"0"	"1"	"4"	"562"	""	""	""
"100"	"93"	""	""	"60"	""	"515"	"63"	"19"	""	"2"	"6"	"2"	"0"	"1"	"4"	"1"	"2"	"2"	"1"	"9"	"5"	"7"	"29"	"4"	"24"	"0"	"1"	"1"	"5"	"763"	""	""	""
