"Candidate.Name.U.2192..Booth.No.U.2193."	"No.of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"Total.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tendere.d.votes"
"11"	"10"	"11"	"94"	"522"	"29"	"3"	"1"	"5"	"2"	"3"	"3"	"3"	"2"	"1"	"11"	"4"	"31"	"0"	"4"	"729"	"0"	"729"	"0"
"12"	"11"	"4"	"142"	"196"	"14"	"0"	"3"	"4"	"1"	"1"	"3"	"2"	"0"	"9"	"7"	"4"	"30"	"5"	"17"	"442"	"0"	"442"	"0"
"13"	"12"	"5"	"260"	"29"	"32"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"6"	"1"	"4"	"341"	"0"	"341"	"0"
"14"	"13"	"2"	"66"	"248"	"123"	"6"	"1"	"1"	"4"	"1"	"1"	"0"	"1"	"11"	"5"	"2"	"7"	"3"	"3"	"485"	"0"	"485"	"0"
"15"	"14"	"14"	"33"	"295"	"130"	"5"	"4"	"4"	"0"	"4"	"5"	"3"	"2"	"1"	"5"	"7"	"13"	"0"	"3"	"528"	"0"	"528"	"0"
"16"	"15"	"22"	"28"	"184"	"30"	"0"	"3"	"2"	"1"	"1"	"0"	"3"	"1"	"2"	"6"	"2"	"13"	"0"	"2"	"300"	"0"	"300"	"0"
"17"	"16"	"14"	"471"	"59"	"11"	"0"	"0"	"14"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"4"	"580"	"0"	"580"	"0"
"18"	"17"	"10"	"520"	"5"	"5"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"7"	"552"	"0"	"552"	"0"
"19"	"18"	"27"	"45"	"159"	"267"	"4"	"7"	"0"	"2"	"0"	"0"	"3"	"0"	"2"	"2"	"1"	"2"	"10"	"10"	"541"	"0"	"541"	"0"
"20"	"19"	"7"	"32"	"89"	"184"	"6"	"0"	"8"	"2"	"3"	"2"	"3"	"0"	"7"	"2"	"4"	"9"	"3"	"2"	"363"	"0"	"363"	"0"
"21"	"20"	"9"	"65"	"357"	"79"	"4"	"1"	"4"	"2"	"5"	"3"	"2"	"0"	"3"	"8"	"8"	"21"	"5"	"10"	"586"	"0"	"586"	"0"
"22"	"21"	"6"	"21"	"118"	"102"	"0"	"2"	"2"	"2"	"4"	"2"	"1"	"1"	"3"	"0"	"5"	"4"	"5"	"6"	"284"	"0"	"284"	"0"
"23"	"22"	"3"	"56"	"241"	"53"	"1"	"2"	"1"	"0"	"3"	"2"	"0"	"1"	"1"	"2"	"4"	"7"	"0"	"3"	"380"	"0"	"380"	"0"
"24"	"23"	"6"	"130"	"134"	"11"	"1"	"5"	"0"	"4"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"298"	"0"	"298"	"0"
"25"	"24"	"9"	"58"	"288"	"37"	"3"	"9"	"10"	"1"	"5"	"4"	"0"	"3"	"5"	"6"	"9"	"13"	"8"	"34"	"502"	"0"	"502"	"0"
"26"	"25"	"7"	"307"	"213"	"3"	"2"	"4"	"1"	"3"	"2"	"0"	"1"	"2"	"1"	"0"	"7"	"6"	"3"	"1"	"563"	"0"	"563"	"0"
"27"	"26"	"43"	"13"	"163"	"6"	"8"	"8"	"3"	"3"	"8"	"5"	"5"	"3"	"4"	"3"	"8"	"157"	"9"	"6"	"455"	"0"	"455"	"0"
"28"	"27"	"9"	"219"	"59"	"35"	"0"	"1"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"1"	"4"	"3"	"1"	"1"	"336"	"0"	"336"	"0"
"29"	"28"	"16"	"137"	"237"	"62"	"5"	"10"	"0"	"1"	"4"	"2"	"0"	"2"	"3"	"6"	"4"	"20"	"2"	"11"	"522"	"0"	"522"	"0"
"30"	"29"	"14"	"101"	"210"	"40"	"1"	"1"	"1"	"2"	"6"	"3"	"2"	"2"	"2"	"19"	"5"	"5"	"12"	"13"	"439"	"0"	"439"	"0"
"31"	"30"	"11"	"65"	"435"	"4"	"1"	"4"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"4"	"1"	"4"	"2"	"2"	"537"	"0"	"537"	"0"
"32"	"31"	"11"	"282"	"237"	"7"	"5"	"5"	"2"	"1"	"4"	"2"	"2"	"3"	"0"	"8"	"5"	"16"	"1"	"19"	"610"	"0"	"610"	"0"
"33"	"32"	"10"	"323"	"135"	"9"	"0"	"2"	"3"	"1"	"0"	"3"	"1"	"2"	"1"	"3"	"9"	"16"	"3"	"10"	"531"	"0"	"531"	"0"
"34"	"33"	"3"	"12"	"249"	"86"	"2"	"2"	"0"	"0"	"3"	"3"	"2"	"1"	"5"	"1"	"4"	"12"	"2"	"5"	"392"	"0"	"392"	"0"
"35"	"34"	"10"	"403"	"149"	"33"	"0"	"2"	"28"	"1"	"1"	"1"	"1"	"0"	"0"	"2"	"3"	"8"	"3"	"5"	"650"	"0"	"650"	"0"
"36"	"Candidate Name<U+2192> Booth No<U+2193>"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendere d votes"
"37"	""	"ASARFI PRASAD MEHTA"	"CHOUDHARY MEHMOOB ALI KAISER"	"DINESH CHANDRA YADAV"	"RAVINDAR KR. RANA"	"PAWAN KUMAR \"SUMAN\""	"BABLOO PASWAN"	"BHARAT KUMAR YADAV"	"LAL BAHADUR HIMALAYA"	"HARINANDAN SINGH"	"GULAB RAJ"	"NAIMUDIN"	"NEHA CHAUHAN"	"PRADUMNA KUMAR"	"MANJU KUMARI"	"RAM NANDAN YADAV"	"SANGRAM KUMAR"	"SANJAY YADAV"	"SURESH PODDAR"	""	""	""	""
"38"	"35"	"1"	"339"	"3"	"3"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"10"	"360"	"0"	"360"	"0"
"39"	"36"	"2"	"439"	"52"	"1"	"1"	"0"	"3"	"0"	"0"	"4"	"1"	"0"	"1"	"1"	"2"	"2"	"1"	"1"	"511"	"0"	"511"	"0"
"40"	"37"	"10"	"503"	"36"	"19"	"0"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"6"	"2"	"4"	"7"	"592"	"0"	"592"	"0"
"41"	"38"	"3"	"68"	"79"	"14"	"0"	"0"	"7"	"0"	"0"	"1"	"0"	"1"	"2"	"0"	"0"	"1"	"1"	"3"	"180"	"0"	"180"	"0"
"42"	"39"	"27"	"22"	"403"	"111"	"3"	"4"	"5"	"1"	"1"	"1"	"2"	"0"	"0"	"1"	"3"	"4"	"1"	"2"	"591"	"0"	"591"	"0"
"43"	"40"	"53"	"19"	"176"	"81"	"2"	"3"	"8"	"1"	"2"	"2"	"3"	"3"	"3"	"2"	"1"	"6"	"3"	"5"	"373"	"0"	"373"	"0"
"44"	"41"	"6"	"337"	"55"	"41"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"3"	"446"	"0"	"446"	"0"
"45"	"42"	"2"	"55"	"182"	"21"	"4"	"3"	"0"	"9"	"5"	"0"	"1"	"3"	"5"	"6"	"5"	"11"	"3"	"5"	"320"	"0"	"320"	"0"
"46"	"43"	"12"	"41"	"285"	"14"	"2"	"2"	"0"	"9"	"1"	"2"	"1"	"0"	"2"	"2"	"4"	"2"	"3"	"3"	"385"	"0"	"385"	"0"
"47"	"44"	"42"	"229"	"269"	"10"	"1"	"6"	"3"	"36"	"3"	"5"	"1"	"4"	"5"	"6"	"4"	"20"	"11"	"9"	"664"	"0"	"664"	"0"
"48"	"45"	"14"	"34"	"100"	"9"	"0"	"4"	"39"	"4"	"0"	"1"	"0"	"0"	"1"	"2"	"1"	"1"	"0"	"4"	"214"	"0"	"214"	"0"
"49"	"46"	"16"	"317"	"180"	"99"	"5"	"6"	"17"	"33"	"3"	"1"	"2"	"1"	"4"	"3"	"9"	"12"	"1"	"2"	"711"	"0"	"711"	"0"
"50"	"47"	"4"	"115"	"141"	"4"	"0"	"0"	"4"	"2"	"1"	"0"	"2"	"0"	"1"	"1"	"1"	"3"	"0"	"0"	"279"	"0"	"279"	"0"
"51"	"48"	"7"	"91"	"222"	"44"	"4"	"6"	"18"	"23"	"3"	"1"	"0"	"1"	"3"	"5"	"10"	"8"	"2"	"1"	"449"	"0"	"449"	"0"
"52"	"49"	"12"	"111"	"376"	"8"	"1"	"2"	"5"	"9"	"3"	"1"	"0"	"2"	"0"	"7"	"6"	"14"	"1"	"11"	"569"	"0"	"569"	"0"
"53"	"50"	"32"	"101"	"144"	"185"	"9"	"6"	"6"	"5"	"4"	"4"	"4"	"6"	"3"	"6"	"8"	"33"	"7"	"9"	"572"	"0"	"572"	"0"
"54"	"51"	"11"	"70"	"61"	"260"	"6"	"3"	"3"	"3"	"6"	"2"	"1"	"4"	"8"	"3"	"14"	"18"	"6"	"12"	"491"	"0"	"491"	"0"
"55"	"52"	"3"	"79"	"61"	"210"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"2"	"0"	"5"	"6"	"0"	"3"	"376"	"0"	"376"	"0"
"56"	"53"	"8"	"198"	"210"	"38"	"1"	"3"	"5"	"4"	"8"	"2"	"1"	"0"	"2"	"4"	"4"	"6"	"1"	"2"	"497"	"0"	"497"	"0"
"57"	"54"	"9"	"161"	"180"	"206"	"4"	"5"	"2"	"3"	"10"	"7"	"3"	"3"	"6"	"3"	"5"	"13"	"2"	"8"	"630"	"0"	"630"	"0"
"58"	"55"	"10"	"142"	"225"	"86"	"3"	"4"	"5"	"6"	"2"	"1"	"1"	"5"	"6"	"5"	"6"	"14"	"3"	"8"	"532"	"0"	"532"	"0"
"59"	"56"	"19"	"76"	"206"	"22"	"1"	"0"	"2"	"0"	"2"	"0"	"1"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"340"	"0"	"340"	"0"
"60"	"57"	"12"	"113"	"216"	"7"	"0"	"0"	"1"	"1"	"2"	"0"	"0"	"25"	"1"	"1"	"2"	"2"	"0"	"4"	"387"	"0"	"387"	"0"
"61"	"58"	"4"	"158"	"151"	"42"	"0"	"1"	"2"	"0"	"7"	"0"	"2"	"4"	"1"	"1"	"4"	"10"	"1"	"2"	"390"	"0"	"390"	"0"
"62"	"59"	"7"	"59"	"127"	"84"	"1"	"1"	"0"	"2"	"1"	"2"	"2"	"7"	"0"	"2"	"3"	"10"	"0"	"0"	"308"	"0"	"308"	"0"
"63"	"60"	"12"	"256"	"94"	"75"	"2"	"0"	"0"	"2"	"3"	"1"	"2"	"4"	"7"	"4"	"7"	"6"	"1"	"14"	"490"	"0"	"490"	"0"
"64"	"61"	"14"	"93"	"251"	"43"	"5"	"2"	"2"	"0"	"5"	"0"	"1"	"1"	"3"	"6"	"6"	"9"	"1"	"16"	"458"	"0"	"458"	"0"
"65"	"62"	"4"	"135"	"141"	"44"	"1"	"1"	"1"	"2"	"0"	"4"	"0"	"5"	"0"	"0"	"3"	"2"	"1"	"1"	"345"	"0"	"345"	"0"
"66"	"63"	"6"	"199"	"218"	"34"	"0"	"4"	"1"	"1"	"0"	"0"	"2"	"0"	"0"	"1"	"1"	"1"	"2"	"1"	"471"	"0"	"471"	"0"
"67"	"64"	"5"	"130"	"129"	"166"	"4"	"1"	"2"	"1"	"2"	"1"	"1"	"1"	"5"	"1"	"2"	"9"	"2"	"8"	"470"	"0"	"470"	"0"
"68"	"65"	"5"	"78"	"162"	"38"	"1"	"2"	"2"	"1"	"3"	"1"	"2"	"1"	"0"	"1"	"2"	"6"	"1"	"2"	"308"	"0"	"308"	"0"
"69"	"66"	"5"	"80"	"178"	"170"	"6"	"2"	"5"	"1"	"5"	"1"	"3"	"1"	"1"	"2"	"5"	"17"	"1"	"5"	"488"	"0"	"488"	"0"
"70"	"67"	"4"	"121"	"265"	"51"	"3"	"1"	"5"	"3"	"3"	"4"	"1"	"1"	"3"	"3"	"19"	"22"	"0"	"5"	"514"	"0"	"514"	"0"
"71"	"68"	"2"	"73"	"154"	"23"	"0"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"2"	"260"	"0"	"260"	"0"
"72"	"Candidate Name<U+2192> Booth No<U+2193>"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendere d votes"
"73"	""	"ASARFI PRASAD MEHTA"	"CHOUDHARY MEHMOOB ALI KAISER"	"DINESH CHANDRA YADAV"	"RAVINDAR KR. RANA"	"PAWAN KUMAR \"SUMAN\""	"BABLOO PASWAN"	"BHARAT KUMAR YADAV"	"LAL BAHADUR HIMALAYA"	"HARINANDAN SINGH"	"GULAB RAJ"	"NAIMUDIN"	"NEHA CHAUHAN"	"PRADUMNA KUMAR"	"MANJU KUMARI"	"RAM NANDAN YADAV"	"SANGRAM KUMAR"	"SANJAY YADAV"	"SURESH PODDAR"	""	""	""	""
"74"	"69"	"12"	"95"	"530"	"25"	"0"	"3"	"5"	"0"	"3"	"2"	"1"	"1"	"5"	"15"	"8"	"12"	"1"	"3"	"721"	"0"	"721"	"0"
"75"	"70"	"33"	"215"	"173"	"285"	"7"	"5"	"0"	"4"	"11"	"1"	"1"	"1"	"3"	"1"	"13"	"13"	"12"	"4"	"782"	"0"	"782"	"0"
"76"	"71"	"6"	"84"	"368"	"102"	"6"	"2"	"2"	"1"	"3"	"5"	"0"	"2"	"0"	"10"	"7"	"13"	"1"	"4"	"616"	"0"	"616"	"0"
"77"	"72"	"9"	"59"	"550"	"22"	"0"	"3"	"6"	"2"	"6"	"2"	"1"	"0"	"1"	"6"	"4"	"14"	"1"	"2"	"688"	"0"	"688"	"0"
"78"	"73"	"3"	"14"	"472"	"3"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"3"	"1"	"2"	"0"	"0"	"501"	"0"	"501"	"0"
"79"	"74"	"1"	"27"	"367"	"1"	"0"	"3"	"0"	"0"	"2"	"0"	"0"	"2"	"2"	"4"	"1"	"3"	"1"	"0"	"414"	"0"	"414"	"0"
"80"	"75"	"25"	"139"	"334"	"38"	"3"	"6"	"51"	"4"	"5"	"2"	"3"	"0"	"0"	"2"	"2"	"9"	"0"	"4"	"627"	"0"	"627"	"0"
"81"	"76"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"82"	"77"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"83"	"78"	"10"	"28"	"90"	"355"	"7"	"4"	"5"	"5"	"5"	"0"	"4"	"5"	"8"	"5"	"6"	"22"	"3"	"5"	"567"	"0"	"567"	"0"
"84"	"79"	"35"	"26"	"105"	"389"	"10"	"9"	"2"	"3"	"3"	"1"	"1"	"1"	"4"	"4"	"5"	"17"	"8"	"3"	"626"	"0"	"626"	"0"
"85"	"80"	"8"	"115"	"289"	"128"	"4"	"6"	"3"	"3"	"2"	"1"	"3"	"4"	"3"	"1"	"1"	"8"	"2"	"4"	"585"	"0"	"585"	"0"
"86"	"81"	"27"	"7"	"301"	"4"	"0"	"1"	"0"	"0"	"3"	"0"	"0"	"0"	"1"	"0"	"1"	"5"	"0"	"3"	"353"	"0"	"353"	"0"
"87"	"82"	"7"	"148"	"297"	"28"	"3"	"1"	"3"	"0"	"4"	"3"	"0"	"2"	"3"	"3"	"1"	"6"	"9"	"7"	"525"	"0"	"525"	"0"
"88"	"83"	"15"	"673"	"18"	"13"	"1"	"1"	"0"	"1"	"2"	"0"	"0"	"2"	"1"	"6"	"13"	"24"	"6"	"22"	"798"	"0"	"798"	"0"
"89"	"84"	"8"	"332"	"15"	"4"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"1"	"3"	"367"	"0"	"367"	"0"
"90"	"85"	"12"	"184"	"278"	"60"	"6"	"3"	"5"	"1"	"3"	"3"	"2"	"1"	"2"	"2"	"6"	"2"	"4"	"5"	"579"	"0"	"579"	"0"
"91"	"86"	"12"	"155"	"203"	"8"	"1"	"2"	"11"	"3"	"2"	"5"	"4"	"4"	"2"	"3"	"11"	"12"	"3"	"6"	"447"	"0"	"447"	"0"
"92"	"87"	"10"	"85"	"478"	"26"	"5"	"7"	"4"	"0"	"4"	"4"	"1"	"3"	"5"	"25"	"16"	"37"	"1"	"11"	"722"	"0"	"722"	"0"
"93"	"88"	"3"	"54"	"289"	"9"	"0"	"0"	"2"	"2"	"2"	"6"	"1"	"0"	"5"	"20"	"11"	"26"	"2"	"4"	"436"	"0"	"436"	"0"
"94"	"89"	"22"	"36"	"250"	"5"	"2"	"0"	"1"	"1"	"2"	"0"	"0"	"0"	"2"	"5"	"6"	"9"	"1"	"0"	"342"	"0"	"342"	"0"
"95"	"90"	"4"	"196"	"248"	"50"	"1"	"4"	"1"	"2"	"5"	"4"	"1"	"0"	"2"	"6"	"4"	"11"	"0"	"4"	"543"	"0"	"543"	"0"
"96"	"91"	"57"	"104"	"108"	"42"	"1"	"2"	"0"	"3"	"2"	"1"	"2"	"2"	"2"	"3"	"6"	"15"	"5"	"10"	"365"	"0"	"365"	"0"
"97"	"92"	"4"	"81"	"331"	"56"	"4"	"6"	"7"	"5"	"10"	"2"	"3"	"2"	"3"	"8"	"17"	"10"	"2"	"7"	"558"	"0"	"558"	"0"
"98"	"93"	"6"	"222"	"20"	"21"	"1"	"0"	"0"	"1"	"0"	"2"	"1"	"0"	"0"	"0"	"19"	"1"	"0"	"8"	"302"	"0"	"302"	"0"
"99"	"94"	"11"	"116"	"202"	"114"	"11"	"7"	"8"	"4"	"5"	"3"	"3"	"6"	"8"	"5"	"73"	"16"	"0"	"1"	"593"	"0"	"593"	"0"
"100"	"95"	"120"	"24"	"113"	"119"	"1"	"2"	"2"	"3"	"0"	"2"	"4"	"3"	"4"	"10"	"117"	"18"	"4"	"3"	"549"	"0"	"549"	"0"
"101"	"96"	"17"	"44"	"118"	"424"	"8"	"7"	"2"	"6"	"7"	"3"	"3"	"4"	"5"	"3"	"20"	"6"	"6"	"13"	"696"	"0"	"696"	"0"
"102"	"97"	"11"	"88"	"309"	"24"	"0"	"2"	"5"	"1"	"5"	"3"	"2"	"2"	"8"	"14"	"8"	"17"	"2"	"5"	"506"	"0"	"506"	"0"
"103"	"98"	"6"	"74"	"351"	"147"	"4"	"5"	"1"	"0"	"1"	"0"	"0"	"2"	"3"	"7"	"9"	"12"	"3"	"3"	"628"	"0"	"628"	"0"
"104"	"99"	"16"	"20"	"578"	"11"	"1"	"1"	"2"	"2"	"4"	"3"	"0"	"0"	"1"	"16"	"8"	"10"	"0"	"2"	"675"	"0"	"675"	"0"
"105"	"100"	"2"	"43"	"84"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"130"	"0"	"130"	"0"
"106"	"101"	"7"	"4"	"5"	"246"	"4"	"2"	"5"	"1"	"0"	"1"	"0"	"3"	"4"	"0"	"4"	"2"	"0"	"0"	"288"	"0"	"288"	"0"
"107"	"102"	"6"	"74"	"59"	"477"	"9"	"4"	"9"	"3"	"4"	"0"	"1"	"7"	"7"	"5"	"19"	"27"	"1"	"2"	"714"	"0"	"714"	"0"
"108"	"Candidate Name<U+2192> Booth No<U+2193>"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendere d votes"
"109"	""	"ASARFI PRASAD MEHTA"	"CHOUDHARY MEHMOOB ALI KAISER"	"DINESH CHANDRA YADAV"	"RAVINDAR KR. RANA"	"PAWAN KUMAR \"SUMAN\""	"BABLOO PASWAN"	"BHARAT KUMAR YADAV"	"LAL BAHADUR HIMALAYA"	"HARINANDAN SINGH"	"GULAB RAJ"	"NAIMUDIN"	"NEHA CHAUHAN"	"PRADUMNA KUMAR"	"MANJU KUMARI"	"RAM NANDAN YADAV"	"SANGRAM KUMAR"	"SANJAY YADAV"	"SURESH PODDAR"	""	""	""	""
"110"	"103"	"46"	"146"	"86"	"49"	"3"	"2"	"0"	"0"	"1"	"0"	"2"	"3"	"39"	"1"	"2"	"5"	"9"	"3"	"397"	"0"	"397"	"0"
"111"	"104"	"1"	"54"	"72"	"70"	"1"	"1"	"4"	"0"	"0"	"0"	"0"	"1"	"5"	"1"	"7"	"2"	"0"	"12"	"231"	"0"	"231"	"0"
"112"	"105"	"6"	"6"	"21"	"615"	"11"	"2"	"2"	"2"	"1"	"1"	"3"	"2"	"3"	"3"	"25"	"15"	"3"	"4"	"725"	"0"	"725"	"0"
"113"	"106"	"27"	"174"	"96"	"214"	"4"	"6"	"2"	"3"	"5"	"1"	"2"	"6"	"5"	"8"	"32"	"23"	"5"	"10"	"623"	"0"	"623"	"0"
"114"	"107"	"12"	"5"	"11"	"200"	"7"	"1"	"6"	"1"	"0"	"0"	"3"	"5"	"7"	"1"	"4"	"20"	"3"	"9"	"295"	"0"	"295"	"0"
"115"	"108"	"6"	"137"	"268"	"29"	"2"	"1"	"0"	"0"	"4"	"4"	"1"	"2"	"2"	"1"	"4"	"1"	"1"	"3"	"466"	"0"	"466"	"0"
"116"	"109"	"6"	"118"	"325"	"47"	"1"	"2"	"5"	"1"	"6"	"0"	"0"	"0"	"1"	"2"	"0"	"3"	"0"	"3"	"520"	"0"	"520"	"0"
"117"	"110"	"0"	"79"	"78"	"35"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"13"	"0"	"0"	"1"	"0"	"0"	"208"	"0"	"208"	"0"
"118"	"111"	"8"	"87"	"123"	"25"	"1"	"2"	"6"	"0"	"1"	"1"	"0"	"0"	"15"	"0"	"0"	"1"	"0"	"0"	"270"	"0"	"270"	"0"
"119"	"112"	"9"	"104"	"193"	"120"	"3"	"2"	"17"	"16"	"4"	"1"	"1"	"1"	"0"	"3"	"3"	"5"	"0"	"1"	"483"	"0"	"483"	"0"
"120"	"113"	"4"	"85"	"149"	"56"	"2"	"1"	"3"	"1"	"0"	"3"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"307"	"0"	"307"	"0"
"121"	"114"	"0"	"57"	"109"	"11"	"1"	"0"	"2"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"183"	"0"	"183"	"0"
"122"	"115"	"7"	"177"	"218"	"144"	"1"	"2"	"0"	"2"	"4"	"15"	"2"	"1"	"1"	"6"	"5"	"11"	"3"	"8"	"607"	"0"	"607"	"0"
"123"	"116"	"4"	"211"	"184"	"97"	"3"	"4"	"1"	"3"	"3"	"3"	"3"	"4"	"6"	"6"	"56"	"12"	"3"	"3"	"606"	"0"	"606"	"0"
"124"	"117"	"3"	"52"	"61"	"63"	"1"	"0"	"0"	"1"	"3"	"2"	"2"	"1"	"4"	"2"	"36"	"8"	"0"	"3"	"242"	"0"	"242"	"0"
"125"	"118"	"3"	"272"	"293"	"41"	"3"	"1"	"1"	"2"	"1"	"1"	"0"	"1"	"0"	"1"	"2"	"6"	"1"	"6"	"635"	"0"	"635"	"0"
"126"	"119"	"2"	"146"	"139"	"161"	"0"	"0"	"3"	"0"	"1"	"0"	"0"	"1"	"1"	"2"	"4"	"4"	"0"	"0"	"464"	"0"	"464"	"0"
"127"	"120"	"6"	"118"	"308"	"13"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"2"	"0"	"1"	"454"	"0"	"454"	"0"
"128"	"121"	"2"	"56"	"128"	"8"	"1"	"1"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"201"	"0"	"201"	"0"
"129"	"122"	"6"	"124"	"401"	"34"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"570"	"0"	"570"	"0"
"130"	"123"	"12"	"93"	"228"	"59"	"2"	"0"	"7"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"2"	"0"	"5"	"412"	"0"	"412"	"0"
"131"	"124"	"8"	"394"	"181"	"72"	"1"	"2"	"1"	"0"	"9"	"2"	"1"	"1"	"6"	"1"	"7"	"7"	"0"	"4"	"697"	"0"	"697"	"0"
"132"	"125"	"7"	"293"	"192"	"62"	"1"	"1"	"3"	"0"	"2"	"1"	"1"	"1"	"4"	"2"	"2"	"4"	"0"	"3"	"579"	"0"	"579"	"0"
"133"	"126"	"1"	"80"	"156"	"8"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"252"	"0"	"252"	"0"
