"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 31-PATLIPUTRA PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of electors in Assembly Constituency/Segment:-243655"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"ROUND  1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 187-MANER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"20"	"10"	"23"	"232"	"11"	"2"	"1"	"4"	"1"	"2"	"2"	"1"	"1"	"1"	"3"	"6"	"24"	"18"	"332"	"0"	"332"	"0"
"21"	"11"	"60"	"151"	"14"	"8"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"3"	"0"	"0"	"5"	"9"	"253"	"0"	"253"	"0"
"22"	"12"	"29"	"102"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"3"	"0"	"4"	"7"	"154"	"0"	"154"	"0"
"23"	"13"	"104"	"165"	"17"	"1"	"1"	"3"	"0"	"0"	"2"	"1"	"0"	"7"	"1"	"0"	"4"	"0"	"306"	"0"	"306"	"0"
"24"	"14"	"55"	"372"	"37"	"1"	"1"	"3"	"0"	"0"	"1"	"0"	"0"	"4"	"2"	"8"	"24"	"16"	"524"	"0"	"524"	"0"
"25"	"Total :-"	"783"	"3584"	"216"	"51"	"12"	"21"	"6"	"7"	"11"	"20"	"8"	"87"	"28"	"33"	"138"	"116"	"5121"	"0"	"5121"	"0"
"26"	"Till Last Total :-"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"27"	"Grand Total
:-"	"783"	"3584"	"216"	"51"	"12"	"21"	"6"	"7"	"11"	"20"	"8"	"87"	"28"	"33"	"138"	"116"	"5121"	"0"	"5121"	"0"
"28"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"16th May 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"[FORM 20]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 31-PATLIPUTRA PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"Total No. of electors in Assembly Constituency/Segment:-243655"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"(To be used both for Parliamentary and Assembly election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"ROUND  2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 187-MANER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"42"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"43"	""	"Ranjan Prasad Yadav"	"Lalu Prasad"	"Vijay Singh Yadav"	"Harendra Kumar Patel"	"Kiran Devi"	"Kundan Kumar"	"Dr.
Krishnadhar Singh"	"Pancha Devi"	"Prabhunath Yadav"	"Mohammad Aftab Alam"	"Mohammad Sadruddin"	"Rameshwar Prasad"	"Hasan Manzoor Hashmi"	"Awadesh Sharma"	"Durgesh Nandan Singh"	"Sunil Kumar Singh"	""	""	""	""
"44"	"15"	"67"	"238"	"126"	"8"	"3"	"5"	"1"	"2"	"1"	"1"	"1"	"2"	"1"	"1"	"0"	"7"	"464"	"0"	"464"	"0"
"45"	"16"	"46"	"225"	"8"	"1"	"0"	"3"	"0"	"3"	"1"	"0"	"2"	"0"	"1"	"2"	"6"	"6"	"304"	"0"	"304"	"0"
"46"	"17"	"184"	"46"	"11"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"1"	"1"	"3"	"1"	"4"	"10"	"264"	"0"	"264"	"0"
"47"	"18"	"134"	"151"	"6"	"1"	"2"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"3"	"3"	"10"	"315"	"0"	"315"	"0"
"48"	"19"	"49"	"116"	"17"	"26"	"1"	"2"	"1"	"3"	"4"	"7"	"4"	"61"	"8"	"1"	"13"	"14"	"327"	"0"	"327"	"0"
"49"	"20"	"160"	"39"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"2"	"1"	"0"	"4"	"13"	"223"	"0"	"223"	"0"
"50"	"21"	"55"	"67"	"6"	"5"	"1"	"1"	"3"	"0"	"0"	"1"	"0"	"24"	"0"	"2"	"3"	"10"	"178"	"0"	"178"	"0"
"51"	"22"	"129"	"186"	"2"	"8"	"1"	"2"	"0"	"2"	"3"	"5"	"0"	"6"	"2"	"5"	"16"	"8"	"375"	"0"	"375"	"0"
"52"	"23"	"11"	"369"	"10"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"12"	"6"	"411"	"0"	"411"	"0"
"53"	"24"	"20"	"318"	"14"	"3"	"2"	"1"	"1"	"0"	"0"	"0"	"1"	"15"	"1"	"2"	"13"	"4"	"395"	"0"	"395"	"0"
"54"	"25"	"40"	"356"	"19"	"7"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"7"	"4"	"3"	"23"	"23"	"485"	"0"	"485"	"0"
"55"	"26"	"36"	"353"	"28"	"8"	"2"	"1"	"1"	"1"	"2"	"0"	"1"	"4"	"0"	"1"	"18"	"8"	"464"	"0"	"464"	"0"
"56"	"27"	"60"	"302"	"8"	"4"	"3"	"3"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"2"	"13"	"11"	"409"	"0"	"409"	"0"
"57"	"28"	"71"	"523"	"51"	"5"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"16"	"3"	"3"	"29"	"5"	"710"	"0"	"710"	"0"
"58"	"Total :-"	"1062"	"3289"	"307"	"77"	"15"	"23"	"8"	"13"	"15"	"18"	"11"	"140"	"27"	"27"	"157"	"135"	"5324"	"0"	"5324"	"0"
"59"	"Till Last Total :-"	"783"	"3584"	"216"	"51"	"12"	"21"	"6"	"7"	"11"	"20"	"8"	"87"	"28"	"33"	"138"	"116"	"5121"	"0"	"5121"	"0"
"60"	"Grand Total
:-"	"1845"	"6873"	"523"	"128"	"27"	"44"	"14"	"20"	"26"	"38"	"19"	"227"	"55"	"60"	"295"	"251"	"10445"	"0"	"10445"	"0"
"61"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"16th May 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"ROUND  3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"Total No. of electors in Assembly Constituency/Segment:-243655"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 187-MANER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"70"	""	"Ranjan Prasad Yadav"	"Lalu Prasad"	"Vijay Singh Yadav"	"Harendra Kumar Patel"	"Kiran Devi"	"Kundan Kumar"	"Dr.
Krishnadhar Singh"	"Pancha Devi"	"Prabhunath Yadav"	"Mohammad Aftab Alam"	"Mohammad Sadruddin"	"Rameshwar Prasad"	"Hasan Manzoor Hashmi"	"Awadesh Sharma"	"Durgesh Nandan Singh"	"Sunil Kumar Singh"	""	""	""	""
"71"	"29"	"23"	"304"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"2"	"12"	"4"	"357"	"0"	"357"	"0"
"72"	"30"	"17"	"337"	"22"	"0"	"0"	"2"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"9"	"8"	"400"	"0"	"400"	"0"
"73"	"31"	"68"	"226"	"9"	"9"	"2"	"1"	"0"	"0"	"0"	"2"	"0"	"4"	"2"	"3"	"8"	"6"	"340"	"0"	"340"	"0"
"74"	"32"	"222"	"231"	"7"	"3"	"2"	"1"	"0"	"2"	"0"	"10"	"0"	"16"	"8"	"3"	"3"	"6"	"514"	"0"	"514"	"0"
"75"	"33"	"177"	"146"	"15"	"1"	"2"	"0"	"0"	"2"	"2"	"4"	"2"	"7"	"0"	"2"	"4"	"6"	"370"	"0"	"370"	"0"
"76"	"34"	"7"	"200"	"6"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"4"	"1"	"1"	"3"	"6"	"231"	"0"	"231"	"0"
"77"	"35"	"243"	"187"	"14"	"2"	"2"	"2"	"1"	"2"	"4"	"10"	"4"	"32"	"9"	"7"	"2"	"12"	"533"	"0"	"533"	"0"
"78"	"36"	"495"	"116"	"14"	"3"	"3"	"2"	"0"	"2"	"0"	"8"	"1"	"18"	"5"	"1"	"1"	"11"	"680"	"0"	"680"	"0"
"79"	"37"	"296"	"202"	"30"	"1"	"1"	"1"	"0"	"2"	"1"	"6"	"2"	"0"	"2"	"3"	"0"	"4"	"551"	"0"	"551"	"0"
"80"	"38"	"264"	"134"	"19"	"2"	"2"	"0"	"0"	"3"	"2"	"0"	"0"	"30"	"4"	"0"	"6"	"6"	"472"	"0"	"472"	"0"
"81"	"39"	"131"	"386"	"23"	"14"	"0"	"5"	"3"	"2"	"3"	"6"	"2"	"8"	"7"	"6"	"29"	"9"	"634"	"0"	"634"	"0"
"82"	"40"	"83"	"258"	"9"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"0"	"3"	"2"	"361"	"0"	"361"	"0"
"83"	"41"	"74"	"243"	"19"	"0"	"0"	"0"	"1"	"0"	"0"	"3"	"0"	"1"	"1"	"1"	"5"	"3"	"351"	"0"	"351"	"0"
"84"	"42"	"399"	"111"	"19"	"10"	"4"	"2"	"0"	"0"	"2"	"9"	"1"	"24"	"7"	"12"	"9"	"25"	"634"	"0"	"634"	"0"
"85"	"Total :-"	"2499"	"3081"	"211"	"49"	"19"	"17"	"6"	"15"	"17"	"59"	"14"	"147"	"50"	"42"	"94"	"108"	"6428"	"0"	"6428"	"0"
"86"	"Till Last Total :-"	"1845"	"6873"	"523"	"128"	"27"	"44"	"14"	"20"	"26"	"38"	"19"	"227"	"55"	"60"	"295"	"251"	"10445"	"0"	"10445"	"0"
"87"	"Grand Total
:-"	"4344"	"9954"	"734"	"177"	"46"	"61"	"20"	"35"	"43"	"97"	"33"	"374"	"105"	"102"	"389"	"359"	"16873"	"0"	"16873"	"0"
"88"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"16th May 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"ROUND  4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"Total No. of electors in Assembly Constituency/Segment:-243655"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 187-MANER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"97"	""	"Ranjan Prasad Yadav"	"Lalu Prasad"	"Vijay Singh Yadav"	"Harendra Kumar Patel"	"Kiran Devi"	"Kundan Kumar"	"Dr.
Krishnadhar Singh"	"Pancha Devi"	"Prabhunath Yadav"	"Mohammad Aftab Alam"	"Mohammad Sadruddin"	"Rameshwar Prasad"	"Hasan Manzoor Hashmi"	"Awadesh Sharma"	"Durgesh Nandan Singh"	"Sunil Kumar Singh"	""	""	""	""
"98"	"43"	"240"	"40"	"10"	"2"	"1"	"3"	"0"	"2"	"0"	"2"	"0"	"20"	"2"	"4"	"0"	"3"	"329"	"0"	"329"	"0"
"99"	"44"	"282"	"73"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"3"	"0"	"1"	"1"	"0"	"2"	"2"	"368"	"0"	"368"	"0"
"100"	"45"	"230"	"101"	"21"	"1"	"2"	"1"	"0"	"0"	"1"	"1"	"2"	"28"	"2"	"1"	"5"	"9"	"405"	"0"	"405"	"0"
"101"	"46"	"142"	"81"	"7"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"5"	"1"	"3"	"6"	"11"	"259"	"0"	"259"	"0"
"102"	"47"	"97"	"84"	"7"	"2"	"2"	"5"	"0"	"0"	"0"	"5"	"0"	"13"	"6"	"2"	"4"	"11"	"238"	"0"	"238"	"0"
"103"	"48"	"268"	"105"	"3"	"3"	"1"	"1"	"0"	"1"	"0"	"4"	"1"	"7"	"0"	"2"	"6"	"9"	"411"	"0"	"411"	"0"
"104"	"49"	"201"	"131"	"10"	"0"	"1"	"2"	"0"	"0"	"0"	"2"	"0"	"11"	"0"	"4"	"8"	"17"	"387"	"0"	"387"	"0"
"105"	"50"	"47"	"184"	"3"	"1"	"0"	"2"	"1"	"0"	"2"	"2"	"2"	"55"	"2"	"0"	"1"	"2"	"304"	"0"	"304"	"0"
"106"	"51"	"35"	"175"	"4"	"0"	"0"	"2"	"1"	"0"	"0"	"1"	"2"	"0"	"1"	"2"	"11"	"5"	"239"	"0"	"239"	"0"
"107"	"52"	"75"	"300"	"11"	"5"	"3"	"5"	"0"	"2"	"1"	"4"	"7"	"34"	"8"	"9"	"12"	"9"	"485"	"0"	"485"	"0"
"108"	"53"	"15"	"173"	"6"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"2"	"8"	"209"	"0"	"209"	"0"
"109"	"54"	"45"	"298"	"4"	"0"	"1"	"0"	"0"	"1"	"2"	"1"	"0"	"3"	"2"	"3"	"9"	"13"	"382"	"0"	"382"	"0"
"110"	"55"	"12"	"226"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"246"	"0"	"246"	"0"
"111"	"56"	"1"	"181"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"3"	"0"	"188"	"0"	"188"	"0"
"112"	"Total :-"	"1690"	"2152"	"92"	"17"	"12"	"23"	"2"	"6"	"7"	"25"	"14"	"178"	"27"	"33"	"70"	"102"	"4450"	"0"	"4450"	"0"
"113"	"Till Last Total :-"	"4344"	"9954"	"734"	"177"	"46"	"61"	"20"	"35"	"43"	"97"	"33"	"374"	"105"	"102"	"389"	"359"	"16873"	"0"	"16873"	"0"
"114"	"Grand Total
:-"	"6034"	"12106"	"826"	"194"	"58"	"84"	"22"	"41"	"50"	"122"	"47"	"552"	"132"	"135"	"459"	"461"	"21323"	"0"	"21323"	"0"
"115"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"16th May 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"ROUND  5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"Total No. of electors in Assembly Constituency/Segment:-243655"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 187-MANER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"124"	""	"Ranjan Prasad Yadav"	"Lalu Prasad"	"Vijay Singh Yadav"	"Harendra Kumar Patel"	"Kiran Devi"	"Kundan Kumar"	"Dr.
Krishnadhar Singh"	"Pancha Devi"	"Prabhunath Yadav"	"Mohammad Aftab Alam"	"Mohammad Sadruddin"	"Rameshwar Prasad"	"Hasan Manzoor Hashmi"	"Awadesh Sharma"	"Durgesh Nandan Singh"	"Sunil Kumar Singh"	""	""	""	""
"125"	"57"	"54"	"344"	"7"	"3"	"2"	"2"	"1"	"2"	"1"	"1"	"0"	"3"	"6"	"1"	"11"	"9"	"447"	"0"	"447"	"0"
"126"	"58"	"85"	"281"	"10"	"85"	"4"	"2"	"1"	"1"	"0"	"0"	"0"	"2"	"3"	"4"	"13"	"24"	"515"	"0"	"515"	"0"
"127"	"59"	"167"	"295"	"20"	"2"	"6"	"1"	"2"	"0"	"1"	"2"	"3"	"15"	"3"	"10"	"11"	"9"	"547"	"0"	"547"	"0"
"128"	"60"	"88"	"186"	"6"	"1"	"2"	"0"	"0"	"0"	"2"	"2"	"2"	"1"	"2"	"4"	"8"	"6"	"310"	"0"	"310"	"0"
"129"	"61"	"83"	"334"	"13"	"0"	"3"	"3"	"2"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"7"	"3"	"451"	"0"	"451"	"0"
"130"	"62"	"90"	"35"	"2"	"0"	"1"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"131"	"0"	"131"	"0"
"131"	"63"	"148"	"323"	"12"	"43"	"2"	"2"	"2"	"2"	"1"	"1"	"3"	"17"	"2"	"3"	"7"	"12"	"580"	"0"	"580"	"0"
"132"	"64"	"168"	"194"	"23"	"1"	"1"	"3"	"0"	"1"	"1"	"9"	"3"	"10"	"3"	"6"	"13"	"12"	"448"	"0"	"448"	"0"
"133"	"65"	"40"	"435"	"8"	"3"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"1"	"3"	"10"	"503"	"0"	"503"	"0"
"134"	"66"	"9"	"67"	"6"	"7"	"1"	"1"	"0"	"0"	"0"	"3"	"0"	"60"	"3"	"2"	"3"	"1"	"163"	"0"	"163"	"0"
"135"	"67"	"9"	"189"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"3"	"2"	"7"	"214"	"0"	"214"	"0"
"136"	"68"	"13"	"513"	"4"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"0"	"1"	"2"	"541"	"0"	"541"	"0"
"137"	"69"	"104"	"107"	"12"	"3"	"2"	"4"	"0"	"0"	"1"	"4"	"2"	"48"	"8"	"0"	"3"	"5"	"303"	"0"	"303"	"0"
"138"	"70"	"64"	"180"	"14"	"9"	"0"	"2"	"0"	"0"	"2"	"0"	"0"	"13"	"3"	"1"	"4"	"3"	"295"	"0"	"295"	"0"
"139"	"Total :-"	"1122"	"3483"	"139"	"158"	"26"	"22"	"8"	"6"	"13"	"25"	"13"	"175"	"34"	"35"	"86"	"103"	"5448"	"0"	"5448"	"0"
"140"	"Till Last Total :-"	"6034"	"12106"	"826"	"194"	"58"	"84"	"22"	"41"	"50"	"122"	"47"	"552"	"132"	"135"	"459"	"461"	"21323"	"0"	"21323"	"0"
"141"	"Grand Total
:-"	"7156"	"15589"	"965"	"352"	"84"	"106"	"30"	"47"	"63"	"147"	"60"	"727"	"166"	"170"	"545"	"564"	"26771"	"0"	"26771"	"0"
"142"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"143"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"16th May 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"ROUND  6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"Total No. of electors in Assembly Constituency/Segment:-243655"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 187-MANER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"151"	""	"Ranjan Prasad Yadav"	"Lalu Prasad"	"Vijay Singh Yadav"	"Harendra Kumar Patel"	"Kiran Devi"	"Kundan Kumar"	"Dr.
Krishnadhar Singh"	"Pancha Devi"	"Prabhunath Yadav"	"Mohammad Aftab Alam"	"Mohammad Sadruddin"	"Rameshwar Prasad"	"Hasan Manzoor Hashmi"	"Awadesh Sharma"	"Durgesh Nandan Singh"	"Sunil Kumar Singh"	""	""	""	""
"152"	"71"	"65"	"340"	"10"	"2"	"0"	"3"	"1"	"0"	"0"	"2"	"1"	"3"	"1"	"3"	"8"	"5"	"444"	"0"	"444"	"0"
"153"	"72"	"187"	"88"	"30"	"20"	"2"	"2"	"1"	"1"	"4"	"6"	"3"	"25"	"5"	"3"	"5"	"13"	"395"	"0"	"395"	"0"
