"FINAL.RESULT.SHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"ELECTION TO THE HOUSE OF  THE PEOPLE FROM THE 8---SUPAUL CONSTITUENCY PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ParliamentConstituency :8---SUPAUL                                                                                                                     Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Assembly Constituency :45---Chhatarpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No of valid votes caste in favour of                                                                              Total Valid Votes-125412"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"BOOTH NO"	"ASHOK MAHTO"	"BALRAM SINGH YADAV"	"RANJEET RANJAN"	"VISHWA MOHAN
KUMAR"	"SURYA NARAYAN
YADAV"	"NARAYAN MANDAL"	"MANJU DEVI"	"SHARVAN KUMAR
CHOUDHARY"	"SURESH PRASAD
MEHTA"	"ARBIND KUMAR"	"ASHOK PANKAJ"	"BHIM KUMAR GUPTA"	"RAMCHANDRA PRASAD SINGH"	"RAMDEO SHARMA"	"VIJAY KUMAR CHOUDHARY"	"SURESH KUMAR AZAD"	"Total"
"40"	"BOOTH NO"	"ASHOK MAHTO"	"BALRAM SINGH YADAV"	"RANJEET RANJAN"	"VISHWA MOHAN
KUMAR"	"SURYA NARAYAN
YADAV"	"NARAYAN MANDAL"	"MANJU DEVI"	"SHARVAN KUMAR
CHOUDHARY"	"SURESH PRASAD
MEHTA"	"ARBIND KUMAR"	"ASHOK PANKAJ"	"BHIM KUMAR GUPTA"	"RAMCHANDRA PRASAD SINGH"	"RAMDEO SHARMA"	"VIJAY KUMAR CHOUDHARY"	"SURESH KUMAR AZAD"	"Total"
"41"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"42"	"33"	"7"	"2"	"294"	"68"	"82"	"15"	"2"	"3"	"2"	"0"	"1"	"3"	"3"	"7"	"3"	"4"	"496"
"43"	"34"	"6"	"10"	"122"	"144"	"252"	"32"	"8"	"4"	"6"	"7"	"4"	"21"	"3"	"2"	"3"	"3"	"627"
"44"	"35"	"15"	"7"	"396"	"279"	"20"	"28"	"5"	"12"	"4"	"2"	"9"	"5"	"1"	"8"	"1"	"9"	"801"
"45"	"36"	"6"	"7"	"378"	"123"	"17"	"10"	"4"	"9"	"0"	"3"	"1"	"2"	"1"	"8"	"0"	"2"	"571"
"46"	"37"	"11"	"3"	"231"	"7"	"126"	"6"	"11"	"2"	"3"	"1"	"1"	"14"	"3"	"5"	"1"	"2"	"427"
"47"	"38"	"8"	"3"	"184"	"37"	"95"	"10"	"5"	"3"	"3"	"3"	"3"	"11"	"3"	"3"	"2"	"3"	"376"
"48"	"39"	"4"	"2"	"8"	"147"	"40"	"30"	"2"	"1"	"2"	"1"	"1"	"8"	"8"	"0"	"1"	"2"	"257"
"49"	"40"	"5"	"0"	"20"	"265"	"41"	"15"	"1"	"0"	"0"	"1"	"0"	"1"	"8"	"1"	"0"	"3"	"361"
"50"	"41"	"3"	"2"	"50"	"6"	"194"	"2"	"1"	"0"	"2"	"1"	"3"	"16"	"2"	"1"	"0"	"2"	"285"
"51"	"42"	"9"	"6"	"127"	"546"	"48"	"41"	"5"	"20"	"2"	"2"	"6"	"4"	"12"	"7"	"5"	"21"	"861"
"52"	"43"	"5"	"4"	"140"	"172"	"39"	"15"	"1"	"2"	"2"	"4"	"1"	"7"	"2"	"5"	"2"	"9"	"410"
"53"	"44"	"17"	"3"	"319"	"38"	"7"	"3"	"4"	"11"	"3"	"0"	"0"	"3"	"1"	"2"	"1"	"3"	"415"
"54"	"45"	"2"	"3"	"260"	"14"	"5"	"2"	"1"	"1"	"1"	"0"	"2"	"0"	"1"	"4"	"1"	"5"	"302"
"55"	"46"	"11"	"7"	"248"	"50"	"85"	"19"	"5"	"2"	"1"	"0"	"4"	"13"	"3"	"4"	"1"	"1"	"454"
"56"	"47"	"13"	"5"	"197"	"137"	"98"	"30"	"12"	"1"	"4"	"4"	"4"	"24"	"23"	"12"	"6"	"16"	"586"
"57"	"48"	"16"	"10"	"68"	"387"	"119"	"112"	"9"	"2"	"7"	"0"	"13"	"10"	"3"	"1"	"3"	"5"	"765"
"58"	"49"	"11"	"4"	"129"	"293"	"262"	"74"	"14"	"5"	"6"	"6"	"8"	"24"	"13"	"3"	"3"	"21"	"876"
"59"	"50"	"17"	"6"	"239"	"171"	"121"	"57"	"14"	"14"	"9"	"3"	"9"	"18"	"9"	"6"	"11"	"21"	"725"
"60"	"51"	"15"	"7"	"50"	"288"	"8"	"49"	"2"	"1"	"0"	"0"	"2"	"1"	"1"	"1"	"0"	"2"	"427"
"61"	"52"	"9"	"3"	"146"	"340"	"109"	"89"	"28"	"6"	"7"	"4"	"11"	"24"	"17"	"12"	"8"	"18"	"831"
"62"	"53"	"16"	"4"	"209"	"348"	"13"	"44"	"0"	"4"	"5"	"4"	"6"	"5"	"11"	"5"	"3"	"9"	"686"
"63"	"54"	"7"	"2"	"299"	"28"	"19"	"7"	"1"	"3"	"5"	"3"	"0"	"1"	"1"	"3"	"2"	"2"	"383"
"64"	"55"	"12"	"3"	"540"	"47"	"28"	"13"	"5"	"9"	"2"	"1"	"4"	"3"	"15"	"56"	"10"	"13"	"761"
"65"	"56"	"18"	"8"	"240"	"198"	"157"	"40"	"11"	"4"	"9"	"7"	"10"	"25"	"17"	"21"	"5"	"22"	"792"
"66"	"57"	"3"	"1"	"14"	"195"	"28"	"22"	"4"	"1"	"1"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"273"
"67"	"58"	"7"	"5"	"124"	"236"	"137"	"68"	"15"	"5"	"5"	"3"	"8"	"21"	"9"	"12"	"6"	"12"	"673"
"68"	"59"	"5"	"8"	"25"	"259"	"13"	"57"	"13"	"2"	"5"	"2"	"0"	"1"	"10"	"3"	"3"	"9"	"415"
"69"	"60"	"19"	"7"	"206"	"219"	"66"	"46"	"2"	"4"	"3"	"5"	"0"	"5"	"6"	"6"	"1"	"7"	"602"
"70"	"61"	"22"	"13"	"71"	"543"	"7"	"88"	"5"	"3"	"2"	"3"	"5"	"2"	"12"	"2"	"1"	"3"	"782"
"71"	"62"	"3"	"22"	"35"	"458"	"31"	"90"	"14"	"3"	"7"	"3"	"5"	"6"	"40"	"3"	"3"	"14"	"737"
"72"	"63"	"3"	"10"	"68"	"146"	"11"	"37"	"4"	"0"	"0"	"2"	"4"	"0"	"1"	"2"	"0"	"1"	"289"
"73"	"64"	"6"	"10"	"12"	"31"	"35"	"26"	"5"	"4"	"4"	"2"	"5"	"11"	"2"	"2"	"7"	"5"	"167"
"74"	"65"	"10"	"7"	"163"	"132"	"51"	"54"	"6"	"3"	"5"	"3"	"1"	"10"	"5"	"6"	"2"	"4"	"462"
"75"	"66"	"2"	"3"	"113"	"156"	"9"	"57"	"1"	"2"	"1"	"3"	"3"	"3"	"3"	"5"	"0"	"3"	"364"
"76"	"67"	"12"	"11"	"136"	"284"	"54"	"59"	"7"	"10"	"7"	"4"	"8"	"20"	"10"	"7"	"4"	"3"	"636"
"77"	"68"	"25"	"10"	"206"	"219"	"33"	"49"	"2"	"2"	"1"	"0"	"3"	"0"	"5"	"2"	"4"	"7"	"568"
"78"	"69"	"6"	"8"	"151"	"209"	"80"	"51"	"7"	"1"	"28"	"1"	"7"	"11"	"7"	"3"	"2"	"9"	"581"
"79"	"70"	"14"	"11"	"111"	"377"	"46"	"108"	"7"	"6"	"5"	"2"	"8"	"10"	"11"	"2"	"2"	"10"	"730"
"80"	"71"	"3"	"7"	"25"	"180"	"13"	"41"	"3"	"2"	"1"	"0"	"1"	"5"	"5"	"0"	"2"	"3"	"291"
"81"	"72"	"3"	"7"	"51"	"444"	"48"	"102"	"14"	"4"	"5"	"8"	"10"	"5"	"21"	"8"	"1"	"10"	"741"
"82"	"73"	"7"	"7"	"90"	"338"	"29"	"104"	"28"	"7"	"5"	"6"	"12"	"9"	"25"	"10"	"7"	"33"	"717"
"83"	"BOOTH NO"	"ASHOK MAHTO"	"BALRAM SINGH YADAV"	"RANJEET RANJAN"	"VISHWA MOHAN
KUMAR"	"SURYA NARAYAN
YADAV"	"NARAYAN MANDAL"	"MANJU DEVI"	"SHARVAN KUMAR
CHOUDHARY"	"SURESH PRASAD
MEHTA"	"ARBIND KUMAR"	"ASHOK PANKAJ"	"BHIM KUMAR GUPTA"	"RAMCHANDRA PRASAD SINGH"	"RAMDEO SHARMA"	"VIJAY KUMAR CHOUDHARY"	"SURESH KUMAR AZAD"	"Total"
"84"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"85"	"74"	"24"	"6"	"163"	"345"	"38"	"49"	"5"	"3"	"1"	"2"	"7"	"6"	"5"	"1"	"1"	"5"	"661"
"86"	"75"	"5"	"3"	"44"	"264"	"15"	"68"	"7"	"8"	"6"	"1"	"2"	"1"	"9"	"6"	"1"	"5"	"445"
"87"	"76"	"21"	"7"	"20"	"315"	"163"	"51"	"13"	"3"	"2"	"2"	"5"	"8"	"8"	"3"	"0"	"4"	"625"
"88"	"77"	"6"	"3"	"129"	"265"	"12"	"44"	"4"	"3"	"0"	"3"	"2"	"4"	"9"	"3"	"1"	"2"	"490"
"89"	"78"	"17"	"12"	"166"	"202"	"100"	"46"	"11"	"3"	"8"	"5"	"3"	"4"	"8"	"6"	"2"	"7"	"600"
"90"	"79"	"4"	"2"	"15"	"279"	"6"	"40"	"4"	"0"	"2"	"4"	"4"	"9"	"17"	"7"	"5"	"12"	"410"
"91"	"80"	"6"	"2"	"5"	"361"	"7"	"26"	"5"	"2"	"3"	"2"	"2"	"9"	"50"	"2"	"4"	"17"	"503"
"92"	"81"	"6"	"7"	"20"	"460"	"15"	"40"	"9"	"3"	"6"	"5"	"9"	"6"	"19"	"3"	"4"	"7"	"619"
"93"	"82"	"14"	"12"	"245"	"100"	"238"	"59"	"13"	"7"	"13"	"13"	"11"	"34"	"14"	"11"	"11"	"19"	"814"
"94"	"83"	"4"	"3"	"29"	"420"	"13"	"69"	"1"	"0"	"1"	"0"	"8"	"3"	"8"	"3"	"0"	"5"	"567"
"95"	"84"	"8"	"4"	"110"	"293"	"19"	"68"	"7"	"2"	"1"	"1"	"9"	"1"	"7"	"1"	"4"	"5"	"540"
"96"	"85"	"11"	"9"	"67"	"531"	"20"	"58"	"10"	"1"	"4"	"2"	"3"	"4"	"39"	"6"	"1"	"14"	"780"
"97"	"86"	"7"	"6"	"90"	"246"	"41"	"50"	"8"	"54"	"7"	"9"	"10"	"7"	"10"	"4"	"5"	"8"	"562"
"98"	"87"	"8"	"11"	"139"	"245"	"54"	"74"	"7"	"8"	"1"	"2"	"3"	"6"	"1"	"2"	"0"	"2"	"563"
"99"	"88"	"17"	"11"	"213"	"131"	"21"	"51"	"5"	"6"	"2"	"5"	"4"	"5"	"6"	"3"	"2"	"7"	"489"
"100"	"89"	"10"	"7"	"253"	"224"	"44"	"29"	"6"	"6"	"5"	"2"	"4"	"6"	"5"	"4"	"1"	"8"	"614"
"101"	"90"	"20"	"10"	"288"	"174"	"78"	"22"	"4"	"10"	"4"	"5"	"3"	"8"	"7"	"12"	"7"	"12"	"664"
"102"	"91"	"1"	"1"	"18"	"68"	"298"	"31"	"8"	"2"	"4"	"1"	"2"	"16"	"14"	"4"	"2"	"9"	"479"
"103"	"92"	"10"	"7"	"278"	"296"	"75"	"54"	"7"	"4"	"4"	"2"	"11"	"7"	"5"	"7"	"1"	"9"	"777"
"104"	"93"	"4"	"19"	"52"	"314"	"10"	"39"	"2"	"0"	"1"	"0"	"0"	"1"	"10"	"1"	"0"	"4"	"457"
"105"	"94"	"13"	"4"	"6"	"408"	"82"	"48"	"5"	"4"	"2"	"2"	"2"	"7"	"5"	"2"	"1"	"4"	"595"
"106"	"95"	"0"	"11"	"40"	"192"	"20"	"30"	"1"	"1"	"9"	"0"	"2"	"2"	"4"	"3"	"0"	"4"	"319"
"107"	"96"	"13"	"6"	"8"	"310"	"52"	"16"	"2"	"3"	"6"	"2"	"2"	"11"	"9"	"5"	"0"	"6"	"451"
"108"	"97"	"7"	"10"	"51"	"284"	"32"	"68"	"5"	"0"	"2"	"0"	"5"	"4"	"2"	"3"	"3"	"3"	"479"
"109"	"98"	"16"	"7"	"7"	"388"	"51"	"32"	"4"	"5"	"5"	"1"	"3"	"5"	"12"	"0"	"1"	"5"	"542"
"110"	"99"	"15"	"6"	"45"	"437"	"5"	"21"	"5"	"1"	"4"	"2"	"5"	"7"	"33"	"2"	"4"	"18"	"610"
"111"	"100"	"10"	"4"	"145"	"321"	"74"	"68"	"16"	"5"	"6"	"2"	"5"	"9"	"13"	"11"	"6"	"25"	"720"
"112"	"101"	"10"	"3"	"122"	"307"	"19"	"37"	"9"	"4"	"7"	"0"	"3"	"3"	"2"	"1"	"1"	"5"	"533"
"113"	"102"	"17"	"4"	"6"	"409"	"8"	"26"	"2"	"2"	"4"	"0"	"2"	"3"	"7"	"1"	"1"	"4"	"496"
"114"	"103"	"35"	"7"	"197"	"461"	"32"	"72"	"14"	"15"	"9"	"7"	"3"	"5"	"19"	"5"	"2"	"9"	"892"
"115"	"104"	"23"	"8"	"156"	"171"	"6"	"30"	"3"	"11"	"4"	"1"	"2"	"1"	"2"	"3"	"2"	"3"	"426"
"116"	"105"	"16"	"13"	"238"	"416"	"22"	"49"	"5"	"7"	"1"	"2"	"1"	"6"	"8"	"5"	"2"	"15"	"806"
"117"	"106"	"6"	"5"	"304"	"343"	"25"	"21"	"4"	"0"	"5"	"2"	"3"	"5"	"14"	"5"	"3"	"7"	"752"
"118"	"107"	"12"	"6"	"152"	"186"	"21"	"21"	"4"	"0"	"3"	"3"	"1"	"5"	"2"	"3"	"3"	"3"	"425"
"119"	"108"	"52"	"13"	"396"	"180"	"16"	"30"	"6"	"3"	"6"	"4"	"2"	"5"	"8"	"6"	"4"	"8"	"739"
"120"	"109"	"4"	"6"	"51"	"256"	"13"	"17"	"2"	"7"	"1"	"2"	"2"	"2"	"2"	"1"	"3"	"0"	"369"
"121"	"110"	"19"	"9"	"185"	"517"	"24"	"41"	"7"	"4"	"4"	"2"	"6"	"6"	"10"	"5"	"2"	"4"	"845"
"122"	"111"	"19"	"7"	"178"	"130"	"25"	"28"	"6"	"5"	"9"	"2"	"12"	"5"	"18"	"15"	"3"	"15"	"477"
"123"	"112"	"2"	"2"	"118"	"265"	"2"	"27"	"3"	"2"	"8"	"2"	"7"	"0"	"6"	"1"	"2"	"5"	"452"
"124"	"113"	"12"	"2"	"7"	"154"	"101"	"15"	"4"	"3"	"2"	"2"	"3"	"15"	"10"	"2"	"4"	"6"	"342"
"125"	"114"	"0"	"2"	"70"	"58"	"14"	"3"	"1"	"0"	"0"	"0"	"2"	"4"	"0"	"0"	"0"	"0"	"154"
"126"	"BOOTH NO"	"ASHOK MAHTO"	"BALRAM SINGH YADAV"	"RANJEET RANJAN"	"VISHWA MOHAN
KUMAR"	"SURYA NARAYAN
YADAV"	"NARAYAN MANDAL"	"MANJU DEVI"	"SHARVAN KUMAR
CHOUDHARY"	"SURESH PRASAD
MEHTA"	"ARBIND KUMAR"	"ASHOK PANKAJ"	"BHIM KUMAR GUPTA"	"RAMCHANDRA PRASAD SINGH"	"RAMDEO SHARMA"	"VIJAY KUMAR CHOUDHARY"	"SURESH KUMAR AZAD"	"Total"
"127"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"128"	"115"	"21"	"4"	"91"	"425"	"92"	"43"	"10"	"6"	"9"	"7"	"7"	"17"	"21"	"9"	"13"	"16"	"791"
"129"	"116"	"9"	"4"	"15"	"253"	"194"	"46"	"14"	"2"	"5"	"7"	"3"	"16"	"7"	"0"	"2"	"12"	"589"
"130"	"117"	"8"	"3"	"7"	"423"	"18"	"28"	"2"	"2"	"2"	"0"	"2"	"2"	"5"	"0"	"2"	"0"	"504"
"131"	"118"	"19"	"5"	"53"	"726"	"62"	"54"	"13"	"0"	"3"	"5"	"11"	"2"	"14"	"3"	"0"	"7"	"977"
"132"	"119"	"2"	"0"	"12"	"830"	"7"	"26"	"1"	"0"	"0"	"1"	"0"	"0"	"9"	"1"	"2"	"7"	"898"
"133"	"120"	"6"	"3"	"23"	"687"	"42"	"49"	"7"	"3"	"1"	"1"	"4"	"8"	"10"	"1"	"0"	"3"	"848"
"134"	"121"	"13"	"8"	"67"	"671"	"11"	"42"	"6"	"2"	"1"	"1"	"6"	"2"	"4"	"2"	"2"	"3"	"841"
"135"	"122"	"3"	"1"	"31"	"365"	"11"	"54"	"2"	"3"	"1"	"2"	"0"	"5"	"20"	"2"	"5"	"15"	"520"
"136"	"123"	"4"	"3"	"42"	"320"	"3"	"46"	"3"	"3"	"2"	"3"	"5"	"6"	"10"	"3"	"0"	"1"	"454"
"137"	"124"	"7"	"3"	"31"	"423"	"4"	"32"	"1"	"1"	"5"	"2"	"2"	"1"	"15"	"0"	"0"	"2"	"529"
"138"	"125"	"2"	"0"	"30"	"374"	"6"	"18"	"3"	"1"	"1"	"2"	"3"	"7"	"12"	"3"	"2"	"5"	"469"
"139"	"126"	"7"	"7"	"54"	"504"	"49"	"50"	"10"	"4"	"3"	"4"	"10"	"13"	"24"	"11"	"5"	"11"	"766"
"140"	"127"	"5"	"0"	"19"	"551"	"107"	"29"	"5"	"2"	"2"	"0"	"2"	"5"	"22"	"4"	"1"	"6"	"760"
"141"	"128"	"8"	"2"	"159"	"109"	"11"	"21"	"3"	"4"	"4"	"2"	"3"	"3"	"2"	"2"	"2"	"4"	"339"
"142"	"129"	"6"	"3"	"45"	"478"	"12"	"25"	"6"	"2"	"6"	"2"	"5"	"3"	"6"	"1"	"4"	"2"	"606"
"143"	"130"	"22"	"2"	"51"	"456"	"8"	"22"	"0"	"2"	"1"	"0"	"2"	"2"	"4"	"1"	"0"	"4"	"577"
"144"	"131"	"15"	"4"	"286"	"413"	"23"	"43"	"11"	"3"	"4"	"6"	"6"	"2"	"8"	"9"	"1"	"9"	"843"
"145"	"132"	"15"	"5"	"182"	"267"	"5"	"5"	"5"	"2"	"1"	"1"	"0"	"2"	"5"	"3"	"0"	"2"	"500"
"146"	"133"	"5"	"3"	"53"	"292"	"12"	"21"	"4"	"2"	"0"	"2"	"1"	"1"	"3"	"1"	"0"	"6"	"406"
"147"	"134"	"17"	"6"	"151"	"427"	"22"	"39"	"3"	"5"	"6"	"0"	"15"	"5"	"22"	"9"	"3"	"5"	"735"
"148"	"135"	"18"	"8"	"71"	"559"	"113"	"39"	"8"	"2"	"2"	"1"	"4"	"5"	"10"	"4"	"1"	"2"	"847"
"149"	"136"	"6"	"16"	"231"	"255"	"42"	"34"	"6"	"1"	"4"	"3"	"3"	"12"	"8"	"11"	"7"	"9"	"648"
"150"	"137"	"20"	"3"	"282"	"143"	"63"	"52"	"7"	"5"	"2"	"1"	"2"	"14"	"7"	"4"	"4"	"5"	"614"
"151"	"138"	"6"	"2"	"44"	"285"	"85"	"26"	"10"	"7"	"3"	"2"	"0"	"14"	"4"	"1"	"0"	"11"	"500"
"152"	"139"	"1"	"0"	"237"	"250"	"11"	"21"	"0"	"4"	"2"	"4"	"2"	"3"	"5"	"7"	"2"	"12"	"561"
"153"	"140"	"23"	"8"	"409"	"59"	"45"	"22"	"2"	"16"	"4"	"4"	"4"	"3"	"6"	"7"	"9"	"21"	"642"
"154"	"141"	"3"	"3"	"137"	"292"	"211"	"33"	"10"	"4"	"8"	"7"	"5"	"39"	"14"	"7"	"5"	"15"	"793"
"155"	"142"	"9"	"1"	"164"	"258"	"96"	"62"	"7"	"2"	"10"	"3"	"7"	"12"	"11"	"10"	"4"	"16"	"672"
"156"	"143"	"14"	"2"	"153"	"91"	"107"	"16"	"16"	"97"	"16"	"9"	"3"	"10"	"2"	"3"	"3"	"10"	"552"
"157"	"144"	"27"	"10"	"320"	"30"	"102"	"3"	"8"	"5"	"5"	"3"	"1"	"2"	"3"	"5"	"0"	"6"	"530"
"158"	"145"	"23"	"13"	"219"	"55"	"52"	"18"	"7"	"5"	"5"	"3"	"1"	"1"	"1"	"0"	"2"	"4"	"409"
"159"	"146"	"7"	"4"	"51"	"129"	"80"	"5"	"3"	"0"	"3"	"1"	"0"	"10"	"4"	"0"	"2"	"4"	"303"
"160"	"147"	"1"	"0"	"76"	"304"	"4"	"11"	"5"	"9"	"0"	"1"	"2"	"1"	"2"	"1"	"1"	"5"	"423"
"161"	"148"	"10"	"3"	"42"	"558"	"36"	"77"	"7"	"1"	"3"	"4"	"6"	"7"	"29"	"8"	"6"	"23"	"820"
"162"	"149"	"10"	"10"	"217"	"122"	"32"	"40"	"3"	"21"	"3"	"1"	"2"	"5"	"1"	"2"	"0"	"3"	"472"
