"FINAL.RESULT.SHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"41"	"36"	"20"	"2"	"31"	"595"	"13"	"76"	"5"	"3"	"2"	"2"	"4"	"2"	"18"	"3"	"1"	"4"	"781"
"42"	"37"	"12"	"6"	"89"	"645"	"33"	"47"	"2"	"2"	"1"	"3"	"2"	"3"	"14"	"2"	"2"	"7"	"870"
"43"	"38"	"23"	"4"	"62"	"505"	"25"	"40"	"5"	"1"	"0"	"4"	"1"	"2"	"2"	"0"	"1"	"2"	"677"
"44"	"39"	"14"	"3"	"96"	"381"	"70"	"31"	"14"	"2"	"4"	"1"	"3"	"11"	"11"	"1"	"5"	"15"	"662"
"45"	"40"	"31"	"6"	"47"	"607"	"60"	"62"	"9"	"6"	"8"	"4"	"3"	"7"	"19"	"7"	"3"	"13"	"892"
"46"	"41"	"13"	"3"	"204"	"512"	"25"	"29"	"12"	"0"	"4"	"3"	"0"	"14"	"3"	"1"	"3"	"4"	"830"
"47"	"42"	"3"	"1"	"30"	"392"	"64"	"38"	"11"	"8"	"4"	"4"	"5"	"7"	"16"	"5"	"1"	"7"	"596"
"48"	"43"	"9"	"6"	"45"	"444"	"7"	"59"	"5"	"3"	"1"	"2"	"9"	"6"	"18"	"2"	"3"	"2"	"621"
"49"	"44"	"6"	"1"	"93"	"553"	"18"	"44"	"4"	"3"	"1"	"0"	"1"	"2"	"10"	"1"	"4"	"11"	"752"
"50"	"45"	"3"	"2"	"63"	"167"	"57"	"33"	"3"	"4"	"3"	"4"	"9"	"5"	"5"	"4"	"2"	"2"	"366"
"51"	"46"	"4"	"6"	"127"	"387"	"68"	"42"	"4"	"2"	"2"	"0"	"2"	"5"	"12"	"2"	"1"	"6"	"670"
"52"	"BOOTH NO"	"ASHOK MAHTO"	"BALRAM SINGH YADAV"	"RANJEET RANJAN"	"VISHWA MOHAN KUMAR"	"SURYA NARAYAN YADAV"	"NARAYAN MANDAL"	"MANJU DEVI"	"SHARVAN KUMAR CHOUDHARY"	"SURESH PRASAD MEHTA"	"ARBIND KUMAR"	"ASHOK PANKAJ"	"BHIM KUMAR GUPTA"	"RAMCHANDRA PRASAD SINGH"	"RAMDEO SHARMA"	"VIJAY KUMAR CHOUDHARY"	"SURESH KUMAR AZAD"	"TOTAL"
"53"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"54"	"47"	"1"	"1"	"61"	"293"	"5"	"39"	"4"	"1"	"0"	"1"	"1"	"4"	"5"	"3"	"0"	"0"	"419"
"55"	"48"	"7"	"4"	"94"	"274"	"8"	"35"	"3"	"1"	"2"	"3"	"1"	"2"	"1"	"1"	"1"	"0"	"437"
"56"	"49"	"16"	"9"	"97"	"369"	"109"	"62"	"13"	"1"	"8"	"4"	"3"	"15"	"10"	"3"	"7"	"5"	"731"
"57"	"50"	"2"	"2"	"6"	"302"	"13"	"13"	"2"	"2"	"0"	"0"	"1"	"0"	"6"	"0"	"1"	"2"	"352"
"58"	"51"	"8"	"2"	"45"	"432"	"77"	"22"	"7"	"0"	"6"	"2"	"2"	"6"	"2"	"3"	"4"	"5"	"623"
"59"	"52"	"12"	"5"	"61"	"524"	"41"	"38"	"4"	"4"	"3"	"1"	"4"	"3"	"4"	"1"	"1"	"5"	"711"
"60"	"53"	"11"	"4"	"228"	"56"	"58"	"19"	"6"	"2"	"5"	"5"	"1"	"3"	"3"	"0"	"3"	"4"	"408"
"61"	"54"	"22"	"10"	"63"	"382"	"42"	"38"	"7"	"0"	"4"	"1"	"0"	"3"	"1"	"0"	"1"	"7"	"581"
"62"	"55"	"9"	"5"	"322"	"43"	"6"	"7"	"3"	"0"	"1"	"2"	"2"	"1"	"6"	"8"	"1"	"6"	"422"
"63"	"56"	"4"	"3"	"252"	"41"	"3"	"3"	"1"	"0"	"0"	"1"	"1"	"1"	"3"	"1"	"4"	"2"	"320"
"64"	"57"	"5"	"3"	"238"	"334"	"15"	"27"	"8"	"2"	"6"	"5"	"6"	"2"	"5"	"13"	"7"	"22"	"698"
"65"	"58"	"5"	"3"	"15"	"314"	"25"	"22"	"2"	"0"	"1"	"1"	"0"	"4"	"6"	"1"	"2"	"5"	"406"
"66"	"59"	"22"	"12"	"163"	"341"	"73"	"33"	"5"	"5"	"4"	"5"	"2"	"2"	"3"	"1"	"2"	"0"	"673"
"67"	"60"	"17"	"9"	"132"	"339"	"161"	"56"	"9"	"6"	"7"	"2"	"7"	"16"	"6"	"4"	"8"	"21"	"800"
"68"	"61"	"6"	"1"	"44"	"109"	"138"	"27"	"6"	"2"	"3"	"2"	"0"	"22"	"9"	"2"	"4"	"8"	"383"
"69"	"62"	"5"	"2"	"14"	"496"	"21"	"51"	"6"	"8"	"9"	"5"	"3"	"6"	"4"	"1"	"1"	"6"	"638"
"70"	"63"	"14"	"4"	"115"	"185"	"162"	"34"	"13"	"5"	"6"	"0"	"5"	"16"	"3"	"2"	"3"	"6"	"573"
"71"	"64"	"9"	"1"	"82"	"54"	"173"	"10"	"6"	"3"	"4"	"2"	"5"	"12"	"1"	"3"	"0"	"2"	"367"
"72"	"65"	"0"	"1"	"63"	"308"	"17"	"14"	"1"	"0"	"1"	"0"	"1"	"1"	"10"	"2"	"0"	"0"	"419"
"73"	"66"	"26"	"15"	"231"	"304"	"81"	"66"	"16"	"5"	"9"	"4"	"6"	"11"	"12"	"3"	"7"	"5"	"801"
"74"	"67"	"15"	"9"	"262"	"147"	"53"	"51"	"11"	"2"	"9"	"3"	"3"	"16"	"14"	"5"	"11"	"14"	"625"
"75"	"68"	"15"	"7"	"194"	"316"	"94"	"43"	"10"	"3"	"5"	"4"	"1"	"10"	"3"	"0"	"1"	"4"	"710"
"76"	"69"	"14"	"13"	"140"	"214"	"61"	"67"	"6"	"9"	"9"	"7"	"5"	"15"	"4"	"5"	"7"	"15"	"591"
"77"	"70"	"8"	"23"	"49"	"224"	"27"	"24"	"2"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"362"
"78"	"71"	"10"	"2"	"180"	"92"	"115"	"32"	"3"	"3"	"1"	"1"	"1"	"8"	"4"	"5"	"2"	"11"	"470"
"79"	"72"	"9"	"3"	"161"	"122"	"32"	"27"	"4"	"1"	"1"	"5"	"3"	"3"	"1"	"6"	"4"	"16"	"398"
"80"	"73"	"12"	"19"	"178"	"100"	"229"	"37"	"13"	"1"	"10"	"2"	"4"	"13"	"0"	"2"	"1"	"3"	"624"
"81"	"74"	"15"	"8"	"72"	"39"	"211"	"27"	"16"	"4"	"7"	"4"	"3"	"29"	"4"	"1"	"2"	"15"	"457"
"82"	"75"	"21"	"5"	"55"	"19"	"196"	"3"	"8"	"3"	"6"	"2"	"3"	"5"	"4"	"2"	"6"	"10"	"348"
"83"	"76"	"2"	"3"	"181"	"64"	"15"	"29"	"1"	"3"	"1"	"4"	"2"	"2"	"4"	"3"	"3"	"8"	"325"
"84"	"77"	"5"	"34"	"136"	"385"	"119"	"35"	"4"	"13"	"7"	"3"	"4"	"3"	"7"	"3"	"6"	"4"	"768"
"85"	"78"	"13"	"2"	"60"	"30"	"358"	"20"	"3"	"3"	"5"	"1"	"7"	"27"	"4"	"3"	"4"	"14"	"554"
"86"	"79"	"6"	"5"	"82"	"419"	"89"	"60"	"7"	"4"	"1"	"2"	"2"	"4"	"6"	"1"	"2"	"5"	"695"
"87"	"80"	"33"	"8"	"99"	"286"	"265"	"49"	"29"	"2"	"10"	"9"	"2"	"23"	"7"	"3"	"3"	"6"	"834"
"88"	"81"	"18"	"2"	"133"	"181"	"131"	"47"	"11"	"6"	"8"	"7"	"4"	"16"	"7"	"12"	"2"	"13"	"598"
"89"	"82"	"7"	"8"	"228"	"157"	"19"	"26"	"5"	"5"	"8"	"3"	"6"	"8"	"7"	"4"	"5"	"16"	"512"
"90"	"83"	"7"	"3"	"106"	"244"	"15"	"28"	"2"	"1"	"2"	"0"	"1"	"1"	"4"	"2"	"0"	"2"	"418"
"91"	"84"	"7"	"6"	"156"	"285"	"37"	"52"	"7"	"4"	"6"	"6"	"6"	"4"	"9"	"3"	"2"	"4"	"594"
"92"	"85"	"28"	"12"	"262"	"298"	"36"	"35"	"12"	"9"	"5"	"2"	"2"	"1"	"4"	"8"	"2"	"10"	"726"
"93"	"86"	"12"	"2"	"126"	"146"	"60"	"47"	"10"	"1"	"2"	"0"	"8"	"8"	"5"	"2"	"7"	"8"	"444"
"94"	"87"	"12"	"3"	"140"	"39"	"167"	"5"	"16"	"8"	"6"	"6"	"2"	"11"	"5"	"3"	"6"	"32"	"461"
"95"	"88"	"10"	"3"	"145"	"334"	"77"	"44"	"9"	"4"	"5"	"9"	"5"	"17"	"19"	"7"	"2"	"21"	"711"
"96"	"89"	"24"	"6"	"242"	"324"	"65"	"72"	"9"	"4"	"6"	"7"	"8"	"13"	"8"	"10"	"4"	"8"	"810"
"97"	"90"	"19"	"10"	"157"	"171"	"95"	"18"	"6"	"6"	"12"	"0"	"3"	"9"	"3"	"3"	"1"	"8"	"521"
"98"	"91"	"12"	"12"	"202"	"204"	"35"	"33"	"6"	"6"	"3"	"6"	"3"	"4"	"6"	"4"	"2"	"4"	"542"
"99"	"92"	"9"	"8"	"20"	"167"	"42"	"38"	"7"	"4"	"4"	"2"	"5"	"7"	"9"	"2"	"1"	"5"	"330"
"100"	"93"	"7"	"2"	"59"	"205"	"7"	"8"	"1"	"0"	"1"	"1"	"2"	"0"	"3"	"0"	"0"	"2"	"298"
"101"	"94"	"16"	"3"	"14"	"462"	"24"	"27"	"4"	"5"	"8"	"1"	"2"	"4"	"4"	"1"	"0"	"7"	"582"
"102"	"95"	"6"	"2"	"10"	"267"	"13"	"15"	"2"	"1"	"2"	"1"	"1"	"1"	"3"	"2"	"1"	"4"	"331"
"103"	"96"	"16"	"5"	"57"	"457"	"29"	"29"	"3"	"5"	"3"	"3"	"1"	"4"	"6"	"0"	"3"	"10"	"631"
"104"	"97"	"5"	"7"	"189"	"294"	"131"	"58"	"15"	"3"	"3"	"0"	"10"	"9"	"3"	"5"	"2"	"10"	"744"
"105"	"98"	"8"	"8"	"209"	"175"	"47"	"27"	"3"	"4"	"5"	"7"	"4"	"4"	"6"	"5"	"3"	"20"	"535"
"106"	"99"	"9"	"3"	"270"	"227"	"12"	"47"	"4"	"2"	"4"	"0"	"2"	"3"	"12"	"1"	"5"	"6"	"607"
"107"	"BOOTH NO"	"ASHOK MAHTO"	"BALRAM SINGH YADAV"	"RANJEET RANJAN"	"VISHWA MOHAN KUMAR"	"SURYA NARAYAN YADAV"	"NARAYAN MANDAL"	"MANJU DEVI"	"SHARVAN KUMAR CHOUDHARY"	"SURESH PRASAD MEHTA"	"ARBIND KUMAR"	"ASHOK PANKAJ"	"BHIM KUMAR GUPTA"	"RAMCHANDRA PRASAD SINGH"	"RAMDEO SHARMA"	"VIJAY KUMAR CHOUDHARY"	"SURESH KUMAR AZAD"	"TOTAL"
"108"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"109"	"100"	"11"	"6"	"84"	"241"	"164"	"37"	"8"	"4"	"9"	"2"	"10"	"18"	"9"	"1"	"5"	"5"	"614"
"110"	"101"	"31"	"11"	"154"	"169"	"195"	"47"	"7"	"7"	"7"	"1"	"5"	"25"	"7"	"9"	"8"	"5"	"688"
"111"	"102"	"15"	"7"	"62"	"241"	"133"	"32"	"8"	"1"	"9"	"5"	"3"	"21"	"4"	"7"	"4"	"14"	"566"
"112"	"103"	"13"	"1"	"19"	"118"	"183"	"32"	"5"	"2"	"5"	"4"	"6"	"26"	"6"	"3"	"3"	"12"	"438"
"113"	"104"	"11"	"6"	"158"	"27"	"11"	"6"	"3"	"3"	"0"	"1"	"0"	"2"	"2"	"0"	"1"	"2"	"233"
"114"	"105"	"11"	"2"	"138"	"121"	"268"	"32"	"10"	"2"	"10"	"0"	"5"	"24"	"1"	"4"	"3"	"9"	"640"
"115"	"106"	"14"	"8"	"78"	"34"	"280"	"14"	"15"	"4"	"5"	"7"	"6"	"34"	"10"	"4"	"10"	"24"	"547"
"116"	"107"	"20"	"12"	"177"	"119"	"216"	"49"	"20"	"4"	"12"	"4"	"7"	"20"	"9"	"2"	"7"	"28"	"706"
"117"	"108"	"20"	"7"	"211"	"221"	"182"	"32"	"14"	"8"	"10"	"5"	"11"	"21"	"7"	"4"	"12"	"22"	"787"
"118"	"109"	"28"	"6"	"93"	"446"	"81"	"40"	"19"	"2"	"5"	"3"	"5"	"36"	"5"	"2"	"6"	"9"	"786"
"119"	"110"	"9"	"7"	"109"	"154"	"115"	"10"	"5"	"0"	"2"	"0"	"0"	"5"	"1"	"1"	"0"	"3"	"421"
"120"	"111"	"20"	"12"	"94"	"500"	"126"	"80"	"6"	"3"	"2"	"1"	"4"	"8"	"7"	"4"	"4"	"7"	"878"
"121"	"112"	"6"	"11"	"61"	"81"	"189"	"31"	"15"	"8"	"7"	"1"	"6"	"24"	"7"	"2"	"8"	"20"	"477"
"122"	"113"	"7"	"3"	"26"	"324"	"22"	"20"	"3"	"1"	"0"	"0"	"5"	"0"	"3"	"0"	"0"	"2"	"416"
"123"	"114"	"8"	"2"	"21"	"262"	"50"	"39"	"5"	"1"	"3"	"2"	"1"	"3"	"1"	"1"	"0"	"0"	"399"
"124"	"115"	"13"	"5"	"163"	"163"	"112"	"23"	"12"	"4"	"10"	"4"	"3"	"7"	"4"	"4"	"2"	"11"	"540"
"125"	"116"	"14"	"5"	"58"	"479"	"26"	"38"	"6"	"3"	"1"	"0"	"3"	"2"	"2"	"3"	"5"	"1"	"646"
"126"	"117"	"3"	"6"	"92"	"406"	"49"	"34"	"2"	"0"	"4"	"2"	"2"	"6"	"6"	"3"	"2"	"3"	"620"
"127"	"118"	"10"	"4"	"74"	"362"	"145"	"25"	"13"	"5"	"3"	"4"	"4"	"16"	"4"	"2"	"8"	"27"	"706"
"128"	"119"	"9"	"22"	"126"	"403"	"7"	"30"	"2"	"1"	"2"	"0"	"2"	"2"	"3"	"1"	"2"	"0"	"612"
"129"	"120"	"10"	"7"	"64"	"239"	"100"	"78"	"25"	"5"	"15"	"9"	"13"	"24"	"17"	"8"	"12"	"39"	"665"
"130"	"121"	"19"	"27"	"74"	"625"	"36"	"66"	"11"	"4"	"2"	"3"	"8"	"6"	"6"	"1"	"3"	"7"	"898"
"131"	"122"	"8"	"9"	"65"	"183"	"212"	"44"	"26"	"5"	"7"	"2"	"7"	"17"	"5"	"4"	"6"	"10"	"610"
"132"	"123"	"6"	"10"	"332"	"141"	"12"	"20"	"5"	"12"	"2"	"4"	"2"	"1"	"6"	"11"	"3"	"9"	"576"
"133"	"124"	"20"	"13"	"213"	"256"	"39"	"30"	"8"	"4"	"5"	"1"	"2"	"2"	"4"	"4"	"4"	"10"	"615"
"134"	"125"	"26"	"7"	"29"	"547"	"39"	"66"	"8"	"9"	"8"	"2"	"2"	"9"	"19"	"3"	"8"	"21"	"803"
"135"	"126"	"3"	"3"	"190"	"100"	"19"	"32"	"5"	"5"	"1"	"1"	"7"	"6"	"10"	"11"	"3"	"12"	"408"
"136"	"127"	"13"	"5"	"50"	"168"	"95"	"27"	"4"	"1"	"1"	"5"	"2"	"10"	"5"	"4"	"4"	"23"	"417"
"137"	"128"	"16"	"15"	"425"	"44"	"25"	"8"	"0"	"3"	"1"	"1"	"1"	"2"	"4"	"15"	"4"	"8"	"572"
"138"	"129"	"14"	"18"	"338"	"14"	"4"	"2"	"2"	"3"	"3"	"1"	"2"	"0"	"1"	"7"	"0"	"5"	"414"
"139"	"130"	"9"	"11"	"153"	"266"	"26"	"36"	"6"	"8"	"3"	"2"	"2"	"12"	"15"	"11"	"11"	"22"	"593"
"140"	"131"	"15"	"9"	"155"	"175"	"60"	"36"	"8"	"6"	"6"	"2"	"4"	"14"	"13"	"7"	"4"	"13"	"527"
"141"	"132"	"10"	"9"	"110"	"161"	"162"	"45"	"11"	"24"	"9"	"9"	"7"	"14"	"10"	"11"	"6"	"18"	"616"
"142"	"133"	"19"	"2"	"416"	"96"	"52"	"14"	"5"	"5"	"2"	"2"	"11"	"5"	"5"	"5"	"7"	"20"	"666"
"143"	"134"	"8"	"2"	"36"	"110"	"49"	"25"	"5"	"0"	"0"	"1"	"3"	"5"	"3"	"2"	"4"	"5"	"258"
"144"	"135"	"14"	"6"	"106"	"155"	"82"	"28"	"4"	"2"	"8"	"2"	"1"	"1"	"3"	"1"	"4"	"9"	"426"
"145"	"136"	"13"	"2"	"62"	"304"	"2"	"19"	"5"	"5"	"2"	"1"	"1"	"0"	"2"	"0"	"1"	"3"	"422"
"146"	"137"	"6"	"1"	"57"	"323"	"6"	"34"	"3"	"3"	"1"	"0"	"1"	"1"	"3"	"1"	"1"	"1"	"442"
"147"	"138"	"2"	"2"	"166"	"238"	"14"	"35"	"0"	"5"	"0"	"2"	"1"	"1"	"6"	"2"	"2"	"4"	"480"
"148"	"139"	"8"	"5"	"69"	"532"	"25"	"33"	"3"	"3"	"4"	"2"	"36"	"7"	"7"	"5"	"3"	"9"	"751"
"149"	"140"	"39"	"6"	"78"	"495"	"33"	"40"	"5"	"9"	"2"	"0"	"0"	"4"	"1"	"4"	"0"	"3"	"719"
"150"	"141"	"5"	"5"	"91"	"395"	"30"	"30"	"6"	"1"	"4"	"5"	"17"	"9"	"11"	"4"	"5"	"11"	"629"
"151"	"142"	"14"	"2"	"25"	"349"	"21"	"36"	"0"	"3"	"3"	"2"	"5"	"3"	"16"	"2"	"2"	"9"	"492"
"152"	"143"	"15"	"10"	"167"	"248"	"15"	"61"	"8"	"7"	"2"	"1"	"4"	"3"	"3"	"1"	"2"	"3"	"550"
"153"	"144"	"2"	"2"	"23"	"163"	"3"	"26"	"4"	"2"	"2"	"0"	"0"	"3"	"4"	"3"	"0"	"3"	"240"
"154"	"145"	"8"	"4"	"46"	"286"	"5"	"34"	"6"	"3"	"1"	"1"	"2"	"0"	"2"	"2"	"0"	"4"	"404"
"155"	"146"	"9"	"2"	"24"	"203"	"21"	"16"	"1"	"1"	"1"	"0"	"0"	"4"	"10"	"2"	"2"	"6"	"302"
"156"	"147"	"4"	"3"	"91"	"199"	"13"	"20"	"4"	"1"	"1"	"0"	"2"	"3"	"2"	"4"	"1"	"2"	"350"
"157"	"148"	"21"	"7"	"60"	"368"	"12"	"36"	"6"	"5"	"1"	"0"	"9"	"11"	"13"	"4"	"9"	"8"	"570"
"158"	"149"	"10"	"7"	"49"	"320"	"32"	"70"	"8"	"3"	"2"	"5"	"4"	"4"	"15"	"7"	"5"	"21"	"562"
"159"	"150"	"22"	"7"	"354"	"239"	"16"	"46"	"4"	"2"	"5"	"5"	"3"	"3"	"10"	"8"	"5"	"11"	"740"
"160"	"151"	"4"	"4"	"212"	"197"	"22"	"29"	"3"	"2"	"4"	"2"	"2"	"1"	"10"	"4"	"2"	"5"	"503"
"161"	"152"	"13"	"4"	"125"	"196"	"27"	"22"	"5"	"1"	"2"	"4"	"0"	"3"	"7"	"4"	"2"	"4"	"419"
"162"	"BOOTH NO"	"ASHOK MAHTO"	"BALRAM SINGH YADAV"	"RANJEET RANJAN"	"VISHWA MOHAN KUMAR"	"SURYA NARAYAN YADAV"	"NARAYAN MANDAL"	"MANJU DEVI"	"SHARVAN KUMAR CHOUDHARY"	"SURESH PRASAD MEHTA"	"ARBIND KUMAR"	"ASHOK PANKAJ"	"BHIM KUMAR GUPTA"	"RAMCHANDRA PRASAD SINGH"	"RAMDEO SHARMA"	"VIJAY KUMAR CHOUDHARY"	"SURESH KUMAR AZAD"	"TOTAL"
"163"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"164"	"153"	"3"	"2"	"413"	"95"	"7"	"30"	"5"	"5"	"1"	"6"	"2"	"1"	"5"	"5"	"1"	"5"	"586"
"165"	"154"	"10"	"26"	"115"	"282"	"17"	"52"	"6"	"4"	"5"	"6"	"5"	"8"	"10"	"4"	"7"	"23"	"580"
"166"	"155"	"4"	"1"	"75"	"207"	"2"	"24"	"4"	"4"	"0"	"0"	"2"	"0"	"4"	"1"	"0"	"4"	"332"
"167"	"156"	"16"	"7"	"92"	"355"	"17"	"34"	"2"	"2"	"0"	"1"	"1"	"1"	"4"	"1"	"0"	"0"	"533"
"168"	"157"	"14"	"7"	"260"	"63"	"19"	"18"	"1"	"2"	"0"	"3"	"2"	"4"	"7"	"8"	"4"	"14"	"426"
"169"	"158"	"4"	"2"	"67"	"296"	"7"	"38"	"3"	"0"	"2"	"0"	"2"	"3"	"7"	"4"	"0"	"5"	"440"
"170"	"159"	"0"	"0"	"131"	"83"	"0"	"17"	"2"	"1"	"0"	"1"	"1"	"0"	"7"	"1"	"0"	"2"	"246"
