"er.nku.dsUnz.l.a....k"	"mEehnokj..ds.Ik.k.esa.Mkys.x..s.oS....er.ksa.dh.l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"dqy..oS....er.i.."	"j.Ì..er.ksa.dh.l.a....k"	"X..ksx"	"fufonÙk.er.ksa.dh.l.a....k"
"57"	"l hV dk
; ksx"	"1911"	"1707"	"350"	"248"	"681"	"20"	"17"	"447"	"58"	"42"	"19"	"18"	"30"	"65"	"51"	"145"	"116"	"62"	"32"	"40"	"32"	"68"	"6159"	"0"	"6159"	"0"
"58"	"d qy  &"	"5785"	"7051"	"1002"	"607"	"1499"	"76"	"68"	"1527"	"188"	"93"	"86"	"49"	"115"	"193"	"175"	"338"	"358"	"181"	"86"	"173"	"108"	"196"	"19954"	"0"	"19954"	"0"
"59"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"60"	""	"v' oes?k nsoh"	"vkyksd  dqekj  esgr k"	"j kenso oekZ"	"fot ; oUr  dqekj  pkS/kj h"	"' khy  dqekj  j k;"	"pUnz nso j k;"	"t ;  ukj k; .k l kg"	"ft r sUnz dqekj  j k;"	"r ks\"k.k l kg"	"eks0 r kSfd j"	"el mn gl u"	"j keukFk fl ag"	"vt qZu l guh"	"i znhi  dqekj"	"czt s' k dqekj  fuj kyk"	"eal wj"	"eksgu i kWy"	"eksgEen dqj cku"	"j r u l guh"	"j ke l kxj  egr ks"	"l at ;  dqekj  >k"	"l qt hr  dqekj  Hkxr"	""	""	""	""
"61"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"62"	"i woZ  dk
; ksx&"	"5785"	"7051"	"1002"	"607"	"1499"	"76"	"68"	"1527"	"188"	"93"	"86"	"49"	"115"	"193"	"175"	"338"	"358"	"181"	"86"	"173"	"108"	"196"	"19954"	"0"	"19954"	"0"
"63"	"43"	"123"	"160"	"9"	"3"	"48"	"3"	"1"	"29"	"0"	"1"	"1"	"1"	"0"	"2"	"0"	"1"	"6"	"2"	"2"	"2"	"6"	"1"	"401"	"0"	"401"	"0"
"64"	"44"	"128"	"215"	"24"	"6"	"25"	"0"	"2"	"65"	"8"	"3"	"4"	"1"	"8"	"25"	"11"	"39"	"13"	"19"	"1"	"9"	"2"	"7"	"615"	"0"	"615"	"0"
"65"	"45"	"164"	"240"	"21"	"1"	"37"	"1"	"1"	"31"	"6"	"1"	"3"	"1"	"0"	"7"	"11"	"25"	"6"	"11"	"8"	"3"	"4"	"5"	"587"	"0"	"587"	"0"
"66"	"46"	"219"	"68"	"15"	"5"	"22"	"0"	"4"	"56"	"8"	"5"	"2"	"1"	"4"	"19"	"4"	"14"	"14"	"3"	"0"	"2"	"2"	"3"	"470"	"0"	"470"	"0"
"67"	"47"	"204"	"118"	"14"	"0"	"15"	"0"	"5"	"56"	"10"	"2"	"5"	"1"	"4"	"14"	"10"	"46"	"21"	"5"	"3"	"4"	"3"	"27"	"567"	"0"	"567"	"0"
"68"	"48"	"111"	"252"	"31"	"32"	"61"	"3"	"2"	"47"	"8"	"1"	"4"	"2"	"15"	"84"	"8"	"7"	"15"	"11"	"7"	"10"	"6"	"7"	"724"	"0"	"724"	"0"
"69"	"49"	"212"	"167"	"9"	"4"	"130"	"2"	"0"	"24"	"1"	"2"	"4"	"3"	"15"	"29"	"6"	"6"	"8"	"2"	"1"	"3"	"3"	"1"	"632"	"0"	"632"	"0"
"70"	"50"	"107"	"169"	"10"	"5"	"13"	"0"	"2"	"27"	"0"	"2"	"6"	"1"	"4"	"5"	"6"	"15"	"1"	"0"	"1"	"2"	"0"	"0"	"376"	"0"	"376"	"0"
"71"	"51"	"87"	"140"	"12"	"3"	"19"	"1"	"0"	"10"	"2"	"0"	"1"	"0"	"1"	"2"	"0"	"0"	"2"	"5"	"0"	"1"	"0"	"0"	"286"	"0"	"286"	"0"
"72"	"52"	"161"	"5"	"7"	"1"	"0"	"0"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"4"	"1"	"0"	"1"	"0"	"0"	"194"	"0"	"194"	"0"
"73"	"53"	"156"	"131"	"24"	"1"	"59"	"1"	"1"	"26"	"2"	"0"	"1"	"0"	"4"	"1"	"0"	"2"	"2"	"1"	"1"	"1"	"0"	"2"	"416"	"0"	"416"	"0"
"74"	"54"	"234"	"140"	"42"	"4"	"54"	"0"	"1"	"40"	"3"	"0"	"1"	"0"	"0"	"3"	"3"	"3"	"17"	"8"	"3"	"6"	"1"	"9"	"572"	"0"	"572"	"0"
"75"	"55"	"328"	"196"	"17"	"4"	"32"	"2"	"2"	"27"	"5"	"2"	"0"	"1"	"1"	"1"	"4"	"9"	"0"	"1"	"1"	"3"	"1"	"1"	"638"	"0"	"638"	"0"
"76"	"56"	"307"	"157"	"19"	"17"	"72"	"2"	"3"	"41"	"3"	"2"	"3"	"3"	"1"	"4"	"1"	"8"	"11"	"3"	"1"	"1"	"1"	"1"	"661"	"0"	"661"	"0"
"77"	"l hV dk
; ksx"	"2541"	"2158"	"254"	"86"	"587"	"15"	"24"	"492"	"56"	"21"	"35"	"15"	"57"	"196"	"65"	"175"	"120"	"72"	"29"	"48"	"29"	"64"	"7139"	"0"	"7139"	"0"
"78"	"d qy  &"	"8326"	"9209"	"1256"	"693"	"2086"	"91"	"92"	"2019"	"244"	"114"	"121"	"64"	"172"	"389"	"240"	"513"	"478"	"253"	"115"	"221"	"137"	"260"	"27093"	"0"	"27093"	"0"
"79"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"80"	""	"v' oes?k nsoh"	"vkyksd  dqekj  esgr k"	"j kenso oekZ"	"fot ; oUr  dqekj  pkS/kj h"	"' khy  dqekj  j k;"	"pUnz nso j k;"	"t ;  ukj k; .k l kg"	"ft r sUnz dqekj  j k;"	"r ks\"k.k l kg"	"eks0 r kSfd j"	"el mn gl u"	"j keukFk fl ag"	"vt qZu l guh"	"i znhi  dqekj"	"czt s' k dqekj  fuj kyk"	"eal wj"	"eksgu i kWy"	"eksgEen dqj cku"	"j r u l guh"	"j ke l kxj  egr ks"	"l at ;  dqekj  >k"	"l qt hr  dqekj  Hkxr"	""	""	""	""
"81"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"82"	"i woZ  dk
; ksx&"	"8326"	"9209"	"1256"	"693"	"2086"	"91"	"92"	"2019"	"244"	"114"	"121"	"64"	"172"	"389"	"240"	"513"	"478"	"253"	"115"	"221"	"137"	"260"	"27093"	"0"	"27093"	"0"
"83"	"57"	"139"	"235"	"31"	"6"	"45"	"2"	"3"	"14"	"0"	"0"	"1"	"1"	"0"	"1"	"2"	"6"	"4"	"2"	"0"	"3"	"1"	"0"	"496"	"0"	"496"	"0"
"84"	"58"	"142"	"101"	"20"	"2"	"77"	"2"	"2"	"19"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"0"	"0"	"3"	"0"	"4"	"378"	"0"	"378"	"0"
"85"	"59"	"164"	"227"	"16"	"3"	"31"	"11"	"0"	"58"	"4"	"1"	"4"	"0"	"3"	"4"	"2"	"4"	"4"	"2"	"2"	"7"	"7"	"6"	"560"	"0"	"560"	"0"
"86"	"60"	"142"	"185"	"27"	"2"	"10"	"0"	"1"	"30"	"2"	"1"	"3"	"0"	"0"	"5"	"1"	"15"	"25"	"15"	"2"	"2"	"2"	"5"	"475"	"0"	"475"	"0"
"87"	"61"	"83"	"133"	"12"	"3"	"54"	"0"	"0"	"15"	"0"	"1"	"0"	"1"	"1"	"3"	"10"	"15"	"12"	"6"	"0"	"1"	"1"	"5"	"356"	"0"	"356"	"0"
"88"	"62"	"266"	"31"	"12"	"3"	"18"	"1"	"0"	"47"	"2"	"0"	"1"	"0"	"0"	"3"	"2"	"8"	"12"	"1"	"4"	"3"	"4"	"6"	"424"	"0"	"424"	"0"
"89"	"63"	"60"	"151"	"21"	"2"	"17"	"1"	"0"	"25"	"1"	"0"	"1"	"0"	"2"	"10"	"7"	"14"	"4"	"9"	"4"	"3"	"0"	"4"	"336"	"0"	"336"	"0"
"90"	"64"	"184"	"133"	"21"	"1"	"32"	"0"	"0"	"33"	"4"	"1"	"4"	"1"	"1"	"11"	"8"	"16"	"0"	"2"	"0"	"2"	"1"	"0"	"455"	"0"	"455"	"0"
"91"	"65"	"174"	"67"	"34"	"17"	"95"	"0"	"0"	"17"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"4"	"3"	"1"	"2"	"3"	"0"	"1"	"424"	"0"	"424"	"0"
"92"	"66"	"144"	"123"	"11"	"17"	"82"	"0"	"1"	"15"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"2"	"4"	"2"	"1"	"0"	"1"	"406"	"0"	"406"	"0"
"93"	"67"	"69"	"150"	"49"	"0"	"25"	"0"	"0"	"14"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"2"	"5"	"7"	"3"	"5"	"2"	"2"	"338"	"0"	"338"	"0"
"94"	"68"	"86"	"219"	"19"	"0"	"13"	"1"	"1"	"8"	"1"	"3"	"2"	"1"	"2"	"0"	"1"	"2"	"3"	"4"	"0"	"8"	"2"	"2"	"378"	"0"	"378"	"0"
"95"	"69"	"237"	"85"	"23"	"4"	"56"	"1"	"2"	"26"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"3"	"1"	"0"	"0"	"0"	"446"	"0"	"446"	"0"
"96"	"70"	"203"	"143"	"5"	"1"	"3"	"0"	"1"	"20"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"5"	"5"	"0"	"1"	"0"	"0"	"0"	"389"	"0"	"389"	"0"
"97"	"l hV dk
; ksx"	"2093"	"1983"	"301"	"61"	"558"	"19"	"11"	"341"	"21"	"16"	"17"	"4"	"12"	"38"	"36"	"94"	"82"	"56"	"21"	"41"	"20"	"36"	"5861"	"0"	"5861"	"0"
"98"	"d qy  &"	"10419"	"11192"	"1557"	"754"	"2644"	"110"	"103"	"2360"	"265"	"130"	"138"	"68"	"184"	"427"	"276"	"607"	"560"	"309"	"136"	"262"	"157"	"296"	"32954"	"0"	"32954"	"0"
"99"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"100"	""	"v' oes?k nsoh"	"vkyksd  dqekj  esgr k"	"j kenso oekZ"	"fot ; oUr  dqekj  pkS/kj h"	"' khy  dqekj  j k;"	"pUnz nso j k;"	"t ;  ukj k; .k l kg"	"ft r sUnz dqekj  j k;"	"r ks\"k.k l kg"	"eks0 r kSfd j"	"el mn gl u"	"j keukFk fl ag"	"vt qZu l guh"	"i znhi  dqekj"	"czt s' k dqekj  fuj kyk"	"eal wj"	"eksgu i kWy"	"eksgEen dqj cku"	"j r u l guh"	"j ke l kxj  egr ks"	"l at ;  dqekj  >k"	"l qt hr  dqekj  Hkxr"	""	""	""	""
"101"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"102"	"i woZ  dk
; ksx&"	"10419"	"11192"	"1557"	"754"	"2644"	"110"	"103"	"2360"	"265"	"130"	"138"	"68"	"184"	"427"	"276"	"607"	"560"	"309"	"136"	"262"	"157"	"296"	"32954"	"0"	"32954"	"0"
"103"	"71"	"139"	"37"	"77"	"11"	"12"	"1"	"0"	"21"	"6"	"0"	"0"	"0"	"2"	"9"	"2"	"14"	"11"	"3"	"3"	"2"	"1"	"1"	"352"	"0"	"352"	"0"
"104"	"72"	"199"	"77"	"34"	"7"	"17"	"1"	"0"	"26"	"2"	"1"	"0"	"0"	"0"	"2"	"0"	"1"	"4"	"1"	"0"	"3"	"0"	"5"	"380"	"0"	"380"	"0"
