"Candidate.Name.U.2192..Booth.No.U.2193."	"No.of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"Total.valid.votes"	"No..of.reject.ed.votes"	"Total"	"No..of.Ten.dere.d.vote.s"
"56"	"53"	"6"	"17"	"142"	"56"	"4"	"6"	"2"	"1"	"7"	"1"	"2"	"3"	"2"	"5"	"4"	"11"	"6"	"14"	"289"	"0"	"289"	"0"
"57"	"54"	"5"	"11"	"174"	"3"	"2"	"1"	"6"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"4"	"1"	"0"	"211"	"0"	"211"	"0"
"58"	"55"	"9"	"129"	"341"	"14"	"4"	"8"	"11"	"4"	"6"	"6"	"4"	"4"	"8"	"7"	"3"	"20"	"2"	"2"	"582"	"0"	"582"	"0"
"59"	"56"	"20"	"70"	"532"	"38"	"3"	"4"	"10"	"1"	"2"	"3"	"1"	"0"	"3"	"9"	"3"	"6"	"6"	"4"	"715"	"0"	"715"	"0"
"60"	"57"	"68"	"28"	"210"	"35"	"2"	"6"	"8"	"3"	"1"	"3"	"5"	"3"	"6"	"8"	"2"	"26"	"24"	"19"	"457"	"0"	"457"	"0"
"61"	"58"	"5"	"41"	"256"	"183"	"4"	"3"	"52"	"4"	"4"	"3"	"1"	"3"	"1"	"6"	"2"	"16"	"0"	"4"	"588"	"0"	"588"	"0"
"62"	"59"	"12"	"17"	"98"	"376"	"37"	"1"	"23"	"2"	"3"	"7"	"2"	"4"	"4"	"2"	"5"	"11"	"1"	"4"	"609"	"0"	"609"	"0"
"63"	"60"	"5"	"97"	"124"	"59"	"3"	"3"	"17"	"0"	"1"	"1"	"2"	"1"	"3"	"2"	"1"	"6"	"2"	"2"	"329"	"0"	"329"	"0"
"64"	"61"	"7"	"51"	"266"	"14"	"1"	"2"	"12"	"2"	"4"	"6"	"1"	"1"	"4"	"1"	"1"	"9"	"0"	"9"	"391"	"0"	"391"	"0"
"65"	"62"	"34"	"46"	"280"	"15"	"6"	"3"	"64"	"3"	"4"	"8"	"1"	"1"	"0"	"3"	"2"	"1"	"2"	"3"	"476"	"0"	"476"	"0"
"66"	"63"	"4"	"21"	"356"	"17"	"4"	"2"	"20"	"0"	"1"	"1"	"0"	"0"	"1"	"5"	"2"	"4"	"1"	"12"	"451"	"0"	"451"	"0"
"67"	"64"	"6"	"35"	"207"	"34"	"1"	"6"	"14"	"3"	"1"	"3"	"6"	"3"	"1"	"9"	"7"	"15"	"8"	"14"	"373"	"0"	"373"	"0"
"68"	"Candidate Name<U+2192> Booth No<U+2193>"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of reject ed votes"	"Total"	"No. of Ten dere d vote s"
"69"	""	"ASARFI PRASAD MEHTA"	"CHOUDHARY MEHMOOB ALI KAISER"	"DINESH CHANDRA YADAV"	"RAVINDAR KR. RANA"	"PAWAN KUMAR \"SUMAN\""	"BABLOO PASWAN"	"BHARAT KUMAR YADAV"	"LAL BAHADUR HIMALAYA"	"HARINANDAN SINGH"	"GULAB RAJ"	"NAIMUDIN"	"NEHA CHAUHAN"	"PRADUMNA KUMAR"	"MANJU KUMARI"	"RAM NANDAN YADAV"	"SANGRAM KUMAR"	"SANJAY YADAV"	"SURESH PODDAR"	""	""	""	""
"70"	"65"	"13"	"120"	"254"	"120"	"3"	"8"	"7"	"1"	"2"	"2"	"1"	"0"	"2"	"0"	"1"	"3"	"2"	"3"	"542"	"0"	"542"	"0"
"71"	"66"	"2"	"27"	"503"	"4"	"1"	"4"	"15"	"0"	"1"	"4"	"1"	"1"	"3"	"1"	"4"	"3"	"4"	"10"	"588"	"0"	"588"	"0"
"72"	"67"	"25"	"95"	"315"	"46"	"2"	"4"	"11"	"4"	"9"	"4"	"2"	"8"	"4"	"9"	"9"	"15"	"14"	"25"	"601"	"0"	"601"	"0"
"73"	"68"	"8"	"101"	"376"	"5"	"1"	"2"	"3"	"1"	"1"	"1"	"1"	"0"	"2"	"4"	"4"	"3"	"3"	"3"	"519"	"0"	"519"	"0"
"74"	"69"	"3"	"123"	"98"	"10"	"3"	"1"	"9"	"3"	"1"	"0"	"3"	"2"	"1"	"4"	"3"	"7"	"1"	"3"	"275"	"0"	"275"	"0"
"75"	"70"	"9"	"29"	"223"	"32"	"4"	"2"	"27"	"1"	"2"	"5"	"0"	"1"	"1"	"13"	"4"	"16"	"3"	"9"	"381"	"0"	"381"	"0"
"76"	"71"	"5"	"146"	"252"	"66"	"6"	"3"	"69"	"4"	"8"	"9"	"3"	"0"	"3"	"7"	"8"	"14"	"2"	"5"	"610"	"0"	"610"	"0"
"77"	"72"	"9"	"27"	"228"	"190"	"5"	"4"	"40"	"3"	"5"	"1"	"2"	"5"	"2"	"5"	"2"	"2"	"9"	"6"	"545"	"0"	"545"	"0"
"78"	"73"	"6"	"5"	"327"	"4"	"1"	"3"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"0"	"0"	"356"	"0"	"356"	"0"
"79"	"74"	"10"	"36"	"248"	"32"	"1"	"2"	"9"	"1"	"3"	"0"	"1"	"2"	"2"	"6"	"2"	"11"	"1"	"1"	"368"	"0"	"368"	"0"
"80"	"75"	"9"	"96"	"415"	"17"	"5"	"3"	"47"	"3"	"3"	"6"	"6"	"3"	"2"	"6"	"4"	"10"	"2"	"5"	"642"	"0"	"642"	"0"
"81"	"76"	"35"	"41"	"287"	"5"	"0"	"0"	"5"	"1"	"3"	"2"	"0"	"0"	"1"	"1"	"2"	"2"	"2"	"1"	"388"	"0"	"388"	"0"
"82"	"77"	"15"	"366"	"111"	"9"	"1"	"2"	"25"	"1"	"2"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"534"	"0"	"534"	"0"
"83"	"78"	"7"	"263"	"216"	"10"	"3"	"5"	"12"	"0"	"1"	"0"	"2"	"1"	"1"	"2"	"0"	"4"	"0"	"1"	"528"	"0"	"528"	"0"
"84"	"79"	"7"	"136"	"39"	"53"	"4"	"0"	"38"	"1"	"5"	"0"	"3"	"0"	"0"	"1"	"3"	"5"	"1"	"9"	"305"	"0"	"305"	"0"
"85"	"80"	"12"	"94"	"255"	"15"	"2"	"3"	"65"	"4"	"5"	"2"	"1"	"0"	"4"	"2"	"19"	"7"	"1"	"6"	"497"	"0"	"497"	"0"
"86"	"81"	"18"	"130"	"284"	"35"	"2"	"3"	"43"	"1"	"5"	"0"	"0"	"4"	"3"	"7"	"6"	"19"	"2"	"5"	"567"	"0"	"567"	"0"
"87"	"82"	"48"	"252"	"168"	"83"	"6"	"4"	"60"	"17"	"10"	"6"	"5"	"3"	"14"	"5"	"8"	"10"	"3"	"13"	"715"	"0"	"715"	"0"
"88"	"83"	"2"	"129"	"200"	"208"	"3"	"0"	"3"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"2"	"1"	"1"	"553"	"0"	"553"	"0"
"89"	"84"	"0"	"102"	"162"	"9"	"0"	"1"	"7"	"1"	"3"	"2"	"0"	"0"	"0"	"1"	"3"	"3"	"0"	"8"	"302"	"0"	"302"	"0"
"90"	"85"	"2"	"399"	"16"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"3"	"0"	"4"	"428"	"0"	"428"	"0"
"91"	"86"	"3"	"388"	"25"	"3"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"4"	"6"	"4"	"0"	"8"	"444"	"0"	"444"	"0"
"92"	"87"	"39"	"466"	"95"	"16"	"1"	"0"	"2"	"0"	"8"	"2"	"1"	"0"	"4"	"6"	"6"	"10"	"1"	"3"	"660"	"0"	"660"	"0"
"93"	"88"	"7"	"98"	"200"	"88"	"5"	"6"	"9"	"1"	"3"	"3"	"0"	"1"	"3"	"4"	"1"	"7"	"0"	"8"	"444"	"0"	"444"	"0"
"94"	"89"	"6"	"187"	"93"	"104"	"1"	"2"	"0"	"1"	"6"	"1"	"2"	"4"	"1"	"2"	"2"	"3"	"1"	"1"	"417"	"0"	"417"	"0"
"95"	"90"	"6"	"37"	"295"	"151"	"2"	"4"	"5"	"2"	"5"	"0"	"5"	"3"	"6"	"3"	"5"	"9"	"0"	"3"	"541"	"0"	"541"	"0"
"96"	"91"	"55"	"116"	"307"	"70"	"4"	"4"	"4"	"6"	"4"	"2"	"4"	"3"	"7"	"3"	"8"	"6"	"1"	"2"	"606"	"0"	"606"	"0"
"97"	"92"	"5"	"147"	"162"	"28"	"0"	"1"	"8"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"4"	"362"	"0"	"362"	"0"
"98"	"93"	"5"	"44"	"230"	"103"	"6"	"4"	"61"	"1"	"7"	"5"	"4"	"6"	"3"	"10"	"4"	"36"	"6"	"4"	"539"	"0"	"539"	"0"
"99"	"94"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"100"	"95"	"5"	"14"	"162"	"101"	"3"	"3"	"23"	"3"	"1"	"3"	"2"	"1"	"4"	"3"	"0"	"8"	"2"	"2"	"340"	"0"	"340"	"0"
"101"	"96"	"42"	"210"	"18"	"105"	"4"	"3"	"1"	"0"	"3"	"2"	"2"	"0"	"2"	"2"	"7"	"19"	"8"	"2"	"430"	"0"	"430"	"0"
"102"	"Candidate Name<U+2192> Booth No<U+2193>"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of reject ed votes"	"Total"	"No. of Ten dere d vote s"
"103"	""	"ASARFI PRASAD MEHTA"	"CHOUDHARY MEHMOOB ALI KAISER"	"DINESH CHANDRA YADAV"	"RAVINDAR KR. RANA"	"PAWAN KUMAR \"SUMAN\""	"BABLOO PASWAN"	"BHARAT KUMAR YADAV"	"LAL BAHADUR HIMALAYA"	"HARINANDAN SINGH"	"GULAB RAJ"	"NAIMUDIN"	"NEHA CHAUHAN"	"PRADUMNA KUMAR"	"MANJU KUMARI"	"RAM NANDAN YADAV"	"SANGRAM KUMAR"	"SANJAY YADAV"	"SURESH PODDAR"	""	""	""	""
"104"	"97"	"5"	"25"	"38"	"373"	"9"	"1"	"9"	"1"	"6"	"0"	"0"	"2"	"3"	"0"	"1"	"5"	"1"	"2"	"481"	"0"	"481"	"0"
"105"	"98"	"3"	"92"	"134"	"7"	"2"	"2"	"52"	"1"	"3"	"3"	"1"	"3"	"6"	"4"	"1"	"5"	"0"	"3"	"322"	"0"	"322"	"0"
"106"	"99"	"12"	"115"	"111"	"21"	"2"	"1"	"29"	"2"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"5"	"2"	"2"	"310"	"0"	"310"	"0"
"107"	"100"	"4"	"430"	"33"	"14"	"1"	"0"	"9"	"0"	"2"	"2"	"1"	"0"	"1"	"1"	"0"	"3"	"2"	"25"	"528"	"0"	"528"	"0"
"108"	"101"	"11"	"321"	"187"	"46"	"2"	"1"	"73"	"2"	"1"	"0"	"1"	"1"	"1"	"5"	"3"	"3"	"2"	"2"	"662"	"0"	"662"	"0"
"109"	"102"	"13"	"33"	"354"	"134"	"2"	"8"	"48"	"0"	"2"	"3"	"1"	"1"	"5"	"1"	"3"	"11"	"5"	"14"	"638"	"0"	"638"	"0"
"110"	"103"	"25"	"14"	"254"	"65"	"1"	"3"	"52"	"1"	"3"	"1"	"3"	"2"	"4"	"1"	"1"	"7"	"2"	"4"	"443"	"0"	"443"	"0"
"111"	"104"	"72"	"11"	"120"	"91"	"2"	"1"	"5"	"0"	"2"	"2"	"1"	"2"	"3"	"5"	"7"	"10"	"3"	"4"	"341"	"0"	"341"	"0"
"112"	"105"	"8"	"19"	"409"	"93"	"2"	"4"	"12"	"1"	"3"	"7"	"3"	"2"	"6"	"15"	"3"	"15"	"8"	"3"	"613"	"0"	"613"	"0"
"113"	"106"	"9"	"102"	"404"	"113"	"2"	"4"	"16"	"3"	"2"	"6"	"3"	"4"	"3"	"5"	"3"	"9"	"1"	"4"	"693"	"0"	"693"	"0"
"114"	"107"	"0"	"64"	"456"	"19"	"2"	"4"	"5"	"1"	"0"	"1"	"1"	"1"	"2"	"5"	"0"	"5"	"0"	"6"	"572"	"0"	"572"	"0"
"115"	"108"	"9"	"65"	"273"	"39"	"4"	"2"	"10"	"3"	"4"	"4"	"3"	"0"	"5"	"7"	"4"	"5"	"7"	"9"	"453"	"0"	"453"	"0"
"116"	"109"	"26"	"113"	"383"	"47"	"3"	"3"	"9"	"2"	"2"	"0"	"1"	"0"	"3"	"6"	"2"	"11"	"3"	"11"	"625"	"0"	"625"	"0"
"117"	"110"	"21"	"19"	"213"	"164"	"8"	"2"	"16"	"5"	"3"	"5"	"2"	"4"	"11"	"16"	"7"	"28"	"4"	"8"	"536"	"0"	"536"	"0"
"118"	"111"	"7"	"15"	"148"	"208"	"6"	"4"	"42"	"6"	"4"	"4"	"2"	"3"	"8"	"4"	"4"	"26"	"3"	"8"	"502"	"0"	"502"	"0"
"119"	"112"	"14"	"43"	"389"	"64"	"2"	"8"	"17"	"3"	"4"	"1"	"2"	"4"	"6"	"8"	"7"	"15"	"5"	"7"	"599"	"0"	"599"	"0"
"120"	"113"	"7"	"9"	"202"	"145"	"2"	"0"	"49"	"2"	"3"	"1"	"0"	"2"	"8"	"9"	"10"	"13"	"0"	"5"	"467"	"0"	"467"	"0"
"121"	"114"	"15"	"127"	"217"	"70"	"4"	"2"	"0"	"2"	"2"	"2"	"1"	"1"	"4"	"4"	"4"	"5"	"2"	"7"	"469"	"0"	"469"	"0"
"122"	"115"	"7"	"1"	"173"	"8"	"3"	"1"	"4"	"0"	"0"	"2"	"1"	"0"	"0"	"1"	"2"	"2"	"2"	"4"	"211"	"0"	"211"	"0"
"123"	"116"	"2"	"9"	"162"	"149"	"3"	"0"	"4"	"0"	"1"	"0"	"2"	"0"	"2"	"3"	"25"	"6"	"1"	"2"	"371"	"0"	"371"	"0"
"124"	"117"	"0"	"11"	"37"	"157"	"5"	"0"	"1"	"1"	"2"	"2"	"2"	"2"	"0"	"1"	"8"	"0"	"0"	"0"	"229"	"0"	"229"	"0"
"125"	"118"	"1"	"6"	"108"	"20"	"0"	"0"	"8"	"0"	"1"	"2"	"0"	"0"	"1"	"1"	"1"	"0"	"2"	"1"	"152"	"0"	"152"	"0"
"126"	"119"	"4"	"36"	"181"	"10"	"1"	"3"	"0"	"1"	"2"	"2"	"3"	"0"	"0"	"3"	"1"	"5"	"1"	"3"	"256"	"0"	"256"	"0"
"127"	"120"	"2"	"154"	"281"	"13"	"2"	"2"	"2"	"0"	"3"	"0"	"1"	"1"	"4"	"1"	"5"	"13"	"1"	"8"	"493"	"0"	"493"	"0"
"128"	"121"	"18"	"17"	"489"	"14"	"3"	"2"	"14"	"1"	"4"	"2"	"2"	"2"	"2"	"9"	"2"	"22"	"0"	"5"	"608"	"0"	"608"	"0"
"129"	"122"	"7"	"14"	"366"	"2"	"0"	"2"	"8"	"1"	"1"	"1"	"0"	"2"	"0"	"2"	"1"	"10"	"4"	"14"	"435"	"0"	"435"	"0"
"130"	"123"	"4"	"117"	"108"	"4"	"1"	"0"	"1"	"1"	"1"	"3"	"0"	"0"	"1"	"3"	"5"	"8"	"1"	"5"	"263"	"0"	"263"	"0"
"131"	"124"	"60"	"5"	"7"	"149"	"5"	"1"	"6"	"4"	"0"	"1"	"0"	"1"	"3"	"0"	"3"	"10"	"0"	"0"	"255"	"0"	"255"	"0"
"132"	"125"	"15"	"11"	"430"	"28"	"4"	"0"	"5"	"1"	"1"	"2"	"0"	"0"	"0"	"8"	"2"	"5"	"2"	"3"	"517"	"0"	"517"	"0"
