"X."	"X..1"	"No..of.valid.votes.cast.in.favour.of"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"37"	""	"ROUND- 2"	"75"	"1132"	"355"	"738"	"146"	"26"	"165"	"41"	"22"	"1038"	"282"	"144"	"59"	"39"	"86"	"90"	"234"	"34"	"16"	"30"	"68"	"4820"	"0"	"4820"	"0"
"38"	"Place - Nawada
Date -             25/05/2011"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	" Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"42"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"43"	"1"	"29"	"11"	"18"	"28"	"79"	"16"	"3"	"17"	"4"	"2"	"27"	"265"	"31"	"10"	"2"	"3"	"6"	"32"	"2"	"2"	"3"	"5"	"566"	"0"	"566"	"0"
"44"	"2"	"30"	"20"	"12"	"174"	"47"	"11"	"8"	"24"	"7"	"1"	"4"	"122"	"71"	"6"	"6"	"2"	"2"	"14"	"3"	"3"	"0"	"0"	"537"	"0"	"537"	"0"
"45"	"3"	"31"	"4"	"36"	"7"	"50"	"3"	"6"	"24"	"5"	"4"	"7"	"18"	"158"	"6"	"8"	"4"	"6"	"120"	"9"	"6"	"6"	"7"	"494"	"0"	"494"	"0"
"46"	"4"	"32"	"2"	"33"	"3"	"64"	"14"	"1"	"0"	"3"	"1"	"264"	"14"	"2"	"3"	"2"	"3"	"2"	"0"	"3"	"0"	"6"	"1"	"421"	"0"	"421"	"0"
"47"	"5"	"33"	"5"	"37"	"4"	"68"	"8"	"3"	"2"	"8"	"4"	"9"	"97"	"45"	"7"	"3"	"4"	"1"	"8"	"3"	"1"	"2"	"4"	"323"	"0"	"323"	"0"
"48"	"6"	"34"	"1"	"26"	"0"	"30"	"2"	"0"	"0"	"2"	"0"	"455"	"2"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"3"	"0"	"524"	"0"	"524"	"0"
"49"	"7"	"35"	"4"	"50"	"0"	"292"	"21"	"0"	"10"	"2"	"0"	"47"	"0"	"0"	"2"	"0"	"2"	"0"	"16"	"6"	"1"	"7"	"2"	"462"	"0"	"462"	"0"
"50"	"8"	"36"	"0"	"9"	"0"	"33"	"2"	"0"	"0"	"0"	"0"	"344"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"390"	"0"	"390"	"0"
"51"	"9"	"37"	"4"	"40"	"18"	"91"	"9"	"3"	"2"	"2"	"3"	"51"	"46"	"2"	"4"	"6"	"4"	"8"	"15"	"1"	"0"	"2"	"3"	"314"	"0"	"314"	"0"
"52"	"10"	"38"	"2"	"20"	"3"	"35"	"44"	"0"	"3"	"0"	"0"	"107"	"4"	"2"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"1"	"5"	"229"	"0"	"229"	"0"
"53"	"11"	"39"	"0"	"19"	"8"	"61"	"3"	"3"	"4"	"1"	"0"	"10"	"7"	"47"	"1"	"2"	"1"	"2"	"239"	"0"	"0"	"2"	"2"	"412"	"0"	"412"	"0"
"54"	"12"	"40"	"2"	"185"	"0"	"6"	"0"	"1"	"0"	"2"	"2"	"125"	"4"	"122"	"2"	"3"	"0"	"2"	"0"	"0"	"1"	"2"	"3"	"462"	"0"	"462"	"0"
"55"	"13"	"41"	"3"	"16"	"13"	"11"	"15"	"1"	"0"	"9"	"3"	"21"	"18"	"34"	"0"	"5"	"1"	"6"	"10"	"2"	"2"	"2"	"5"	"177"	"0"	"177"	"0"
"56"	"14"	"42"	"10"	"50"	"4"	"10"	"10"	"2"	"1"	"23"	"2"	"28"	"34"	"18"	"1"	"3"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"199"	"0"	"199"	"0"
"57"	""	"ROUND- 3"	"68"	"551"	"262"	"877"	"158"	"31"	"87"	"68"	"22"	"1499"	"632"	"533"	"42"	"40"	"27"	"40"	"455"	"29"	"16"	"36"	"37"	"5510"	"0"	"5510"	"0"
"58"	"Place - Nawada
Date -             25/05/2011"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	" Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"62"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"63"	"1"	"43"	"15"	"106"	"6"	"41"	"22"	"5"	"1"	"52"	"2"	"15"	"27"	"31"	"3"	"7"	"7"	"14"	"62"	"2"	"3"	"3"	"3"	"427"	"0"	"427"	"0"
"64"	"2"	"44"	"23"	"43"	"25"	"75"	"7"	"1"	"1"	"1"	"2"	"147"	"23"	"12"	"6"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"368"	"0"	"368"	"0"
"65"	"3"	"45"	"1"	"21"	"0"	"6"	"2"	"4"	"0"	"1"	"0"	"2"	"0"	"17"	"0"	"0"	"1"	"0"	"384"	"1"	"0"	"0"	"0"	"440"	"0"	"440"	"0"
"66"	"4"	"46"	"26"	"75"	"3"	"19"	"0"	"0"	"0"	"0"	"0"	"2"	"17"	"16"	"0"	"2"	"1"	"1"	"66"	"2"	"0"	"0"	"4"	"234"	"0"	"234"	"0"
"67"	"5"	"47"	"13"	"68"	"11"	"10"	"4"	"9"	"3"	"1"	"2"	"8"	"9"	"55"	"9"	"8"	"7"	"15"	"76"	"7"	"5"	"5"	"9"	"334"	"0"	"334"	"0"
"68"	"6"	"48"	"2"	"222"	"5"	"65"	"12"	"2"	"3"	"2"	"1"	"146"	"1"	"2"	"2"	"3"	"0"	"9"	"3"	"2"	"0"	"1"	"2"	"485"	"0"	"485"	"0"
"69"	"7"	"49"	"2"	"17"	"2"	"3"	"0"	"1"	"0"	"0"	"0"	"3"	"13"	"38"	"0"	"2"	"0"	"2"	"7"	"2"	"1"	"0"	"0"	"93"	"0"	"93"	"0"
"70"	"8"	"50"	"7"	"1"	"21"	"1"	"0"	"0"	"0"	"1"	"0"	"5"	"2"	"42"	"0"	"0"	"1"	"8"	"200"	"7"	"2"	"2"	"5"	"305"	"0"	"305"	"0"
"71"	"9"	"51"	"17"	"36"	"74"	"38"	"7"	"3"	"3"	"1"	"2"	"49"	"3"	"64"	"5"	"7"	"3"	"12"	"25"	"0"	"2"	"2"	"9"	"362"	"0"	"362"	"0"
"72"	"10"	"52"	"1"	"173"	"0"	"89"	"2"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"0"	"12"	"0"	"0"	"0"	"1"	"284"	"0"	"284"	"0"
"73"	"11"	"53"	"7"	"63"	"15"	"30"	"3"	"13"	"0"	"1"	"2"	"3"	"26"	"29"	"0"	"7"	"7"	"21"	"147"	"11"	"1"	"1"	"7"	"394"	"0"	"394"	"0"
"74"	"12"	"54"	"0"	"39"	"0"	"187"	"5"	"0"	"0"	"0"	"1"	"43"	"12"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"292"	"0"	"292"	"0"
"75"	"13"	"55"	"7"	"33"	"44"	"29"	"12"	"3"	"3"	"0"	"0"	"3"	"1"	"1"	"3"	"2"	"3"	"8"	"35"	"1"	"1"	"4"	"0"	"193"	"0"	"193"	"0"
"76"	"14"	"56"	"8"	"28"	"2"	"16"	"5"	"7"	"2"	"2"	"1"	"27"	"2"	"5"	"2"	"2"	"0"	"1"	"163"	"3"	"2"	"5"	"8"	"291"	"0"	"291"	"0"
"77"	""	"ROUND- 4"	"129"	"925"	"208"	"609"	"81"	"48"	"16"	"64"	"13"	"454"	"136"	"312"	"31"	"41"	"33"	"91"	"1185"	"38"	"17"	"23"	"48"	"4502"	"0"	"4502"	"0"
"78"	"Place - Nawada
Date -             25/05/2011"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	" Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"82"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"83"	"1"	"57"	"0"	"32"	"0"	"384"	"1"	"0"	"1"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"422"	"0"	"422"	"0"
"84"	"2"	"58"	"7"	"38"	"9"	"36"	"4"	"9"	"5"	"5"	"2"	"4"	"8"	"90"	"8"	"6"	"0"	"5"	"83"	"5"	"3"	"1"	"3"	"331"	"0"	"331"	"0"
"85"	"3"	"59"	"3"	"279"	"7"	"16"	"3"	"2"	"2"	"0"	"2"	"14"	"59"	"38"	"4"	"6"	"4"	"8"	"12"	"1"	"1"	"0"	"3"	"464"	"0"	"464"	"0"
"86"	"4"	"60"	"12"	"182"	"15"	"25"	"3"	"6"	"16"	"1"	"1"	"5"	"27"	"3"	"5"	"2"	"4"	"4"	"35"	"0"	"0"	"2"	"7"	"355"	"0"	"355"	"0"
"87"	"5"	"61"	"8"	"49"	"11"	"57"	"5"	"16"	"4"	"3"	"1"	"36"	"29"	"7"	"5"	"5"	"3"	"7"	"53"	"1"	"6"	"3"	"8"	"317"	"0"	"317"	"0"
"88"	"6"	"62"	"11"	"32"	"79"	"14"	"4"	"5"	"4"	"0"	"1"	"29"	"16"	"1"	"4"	"5"	"1"	"7"	"77"	"4"	"3"	"3"	"4"	"304"	"0"	"304"	"0"
"89"	"7"	"63"	"2"	"22"	"2"	"1"	"1"	"5"	"1"	"0"	"1"	"4"	"1"	"38"	"2"	"3"	"3"	"3"	"88"	"4"	"3"	"2"	"6"	"192"	"0"	"192"	"0"
"90"	"8"	"64"	"12"	"144"	"8"	"5"	"5"	"2"	"2"	"3"	"0"	"7"	"11"	"10"	"2"	"6"	"4"	"3"	"39"	"6"	"4"	"4"	"3"	"280"	"0"	"280"	"0"
"91"	"9"	"65"	"6"	"81"	"1"	"279"	"11"	"0"	"1"	"5"	"0"	"133"	"0"	"0"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"526"	"0"	"526"	"0"
"92"	"10"	"66"	"10"	"74"	"1"	"126"	"13"	"1"	"3"	"3"	"2"	"63"	"0"	"4"	"10"	"2"	"2"	"3"	"3"	"0"	"1"	"3"	"3"	"327"	"0"	"327"	"0"
"93"	"11"	"67"	"1"	"2"	"44"	"6"	"1"	"0"	"0"	"1"	"0"	"9"	"0"	"0"	"1"	"0"	"1"	"0"	"375"	"0"	"5"	"1"	"4"	"451"	"0"	"451"	"0"
"94"	"12"	"68"	"1"	"34"	"2"	"147"	"13"	"0"	"1"	"1"	"0"	"27"	"0"	"1"	"3"	"0"	"0"	"2"	"5"	"6"	"0"	"18"	"5"	"266"	"0"	"266"	"0"
"95"	"13"	"69"	"2"	"27"	"0"	"91"	"5"	"0"	"4"	"3"	"3"	"144"	"1"	"3"	"15"	"4"	"0"	"3"	"1"	"0"	"0"	"1"	"2"	"309"	"0"	"309"	"0"
"96"	"14"	"70"	"2"	"51"	"4"	"1"	"0"	"0"	"0"	"0"	"1"	"111"	"1"	"2"	"1"	"0"	"1"	"0"	"1"	"6"	"0"	"0"	"0"	"182"	"0"	"182"	"0"
"97"	""	"ROUND- 5"	"77"	"1047"	"183"	"1188"	"69"	"46"	"44"	"25"	"14"	"590"	"153"	"197"	"66"	"41"	"23"	"45"	"772"	"33"	"26"	"39"	"48"	"4726"	"0"	"4726"	"0"
"98"	"Place - Nawada
Date -             25/05/2011"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	" Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"102"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"103"	"1"	"71"	"0"	"5"	"0"	"13"	"2"	"0"	"0"	"0"	"1"	"379"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"401"	"0"	"401"	"0"
"104"	"2"	"72"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"430"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"431"	"0"	"431"	"0"
"105"	"3"	"73"	"2"	"6"	"0"	"2"	"0"	"0"	"0"	"1"	"1"	"958"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"971"	"0"	"971"	"0"
"106"	"4"	"74"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"580"	"0"	"1"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"1"	"589"	"0"	"589"	"0"
"107"	"5"	"75"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"594"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"603"	"0"	"603"	"0"
"108"	"6"	"76"	"12"	"176"	"4"	"1"	"1"	"8"	"2"	"1"	"0"	"16"	"1"	"22"	"1"	"1"	"4"	"5"	"53"	"5"	"1"	"3"	"1"	"318"	"0"	"318"	"0"
"109"	"7"	"77"	"13"	"197"	"3"	"4"	"2"	"0"	"1"	"0"	"1"	"39"	"2"	"47"	"2"	"7"	"8"	"6"	"1"	"0"	"0"	"0"	"2"	"335"	"0"	"335"	"0"
"110"	"8"	"78"	"6"	"172"	"5"	"18"	"2"	"2"	"7"	"8"	"4"	"141"	"10"	"3"	"1"	"4"	"7"	"4"	"12"	"0"	"1"	"0"	"8"	"415"	"0"	"415"	"0"
"111"	"9"	"79"	"10"	"46"	"2"	"7"	"1"	"2"	"1"	"3"	"2"	"161"	"11"	"16"	"2"	"1"	"0"	"12"	"5"	"4"	"1"	"2"	"12"	"301"	"0"	"301"	"0"
"112"	"10"	"80"	"5"	"215"	"7"	"56"	"3"	"3"	"1"	"25"	"0"	"15"	"139"	"6"	"2"	"3"	"6"	"3"	"67"	"3"	"0"	"1"	"2"	"562"	"0"	"562"	"0"
"113"	"11"	"81"	"13"	"75"	"7"	"48"	"5"	"5"	"6"	"5"	"2"	"217"	"3"	"9"	"1"	"1"	"7"	"4"	"28"	"0"	"2"	"0"	"24"	"462"	"0"	"462"	"0"
