"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X238514.38.Jhanjharpur"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"49"	""	"36"	"72"	"5"	"226"	"107"	"4"	"2"	"3"	"1"	"2"	"2"	"7"	"431"	""	"431"	""
"50"	""	"37"	"60"	"5"	"52"	"119"	"2"	"9"	"4"	"0"	"2"	"2"	"6"	"261"	""	"261"	""
"51"	""	"38"	"176"	"9"	"92"	"196"	"6"	"15"	"6"	"10"	"6"	"18"	"36"	"570"	""	"570"	""
"52"	""	"39"	"29"	"3"	"57"	"181"	"2"	"3"	"8"	"4"	"3"	"6"	"9"	"305"	""	"305"	""
"53"	""	"40"	"116"	"11"	"47"	"223"	"7"	"14"	"1"	"3"	"3"	"3"	"3"	"431"	""	"431"	""
"54"	""	"41"	"103"	"15"	"48"	"204"	"10"	"4"	"8"	"1"	"2"	"5"	"3"	"403"	""	"403"	""
"55"	""	"42"	"51"	"3"	"35"	"181"	"9"	"21"	"10"	"8"	"4"	"10"	"42"	"374"	""	"374"	""
"56"	""	"Total -3"	"1420"	"96"	"1452"	"1863"	"71"	"141"	"62"	"48"	"61"	"82"	"230"	"5526"	"0"	"5526"	"0"
"57"	""	""	""	""	""	""	""	"238514
38-Jhanjharpur"	""	""	""	""	""	""	""	""	""
"58"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"59"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"60"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"61"	"Round No4"	"43"	"214"	"13"	"83"	"175"	"5"	"6"	"5"	"5"	"6"	"3"	"14"	"529"	""	"529"	""
"62"	""	"44"	"208"	"8"	"35"	"100"	"2"	"4"	"4"	"6"	"4"	"14"	"24"	"409"	""	"409"	""
"63"	""	"45"	"152"	"8"	"36"	"145"	"6"	"3"	"2"	"7"	"2"	"6"	"12"	"379"	""	"379"	""
"64"	""	"46"	"69"	"5"	"220"	"140"	"2"	"8"	"7"	"6"	"5"	"4"	"10"	"476"	""	"476"	""
"65"	""	"47"	"182"	"6"	"18"	"132"	"1"	"1"	"5"	"4"	"2"	"3"	"11"	"365"	""	"365"	""
"66"	""	"48"	"175"	"7"	"51"	"147"	"10"	"3"	"5"	"4"	"5"	"5"	"19"	"431"	""	"431"	""
"67"	""	"49"	"50"	"3"	"8"	"198"	"5"	"2"	"5"	"4"	"5"	"8"	"25"	"313"	""	"313"	""
"68"	""	"50"	"97"	"10"	"49"	"209"	"5"	"6"	"4"	"4"	"4"	"7"	"11"	"406"	""	"406"	""
"69"	""	"51"	"70"	"7"	"33"	"192"	"6"	"5"	"4"	"6"	"1"	"1"	"15"	"340"	""	"340"	""
"70"	""	"52"	"43"	"4"	"149"	"342"	"10"	"10"	"6"	"6"	"10"	"6"	"11"	"597"	""	"597"	""
"71"	""	"53"	"60"	"13"	"110"	"389"	"25"	"12"	"12"	"2"	"4"	"2"	"9"	"638"	""	"638"	""
"72"	""	"54"	"64"	"2"	"127"	"140"	"2"	"4"	"5"	"1"	"4"	"4"	"18"	"371"	""	"371"	""
"73"	""	"55"	"160"	"15"	"214"	"161"	"12"	"11"	"3"	"3"	"2"	"5"	"4"	"590"	""	"590"	""
"74"	""	"56"	"118"	"6"	"61"	"255"	"5"	"3"	"2"	"1"	"1"	"3"	"2"	"457"	""	"457"	""
"75"	""	"Total -4"	"1662"	"107"	"1194"	"2725"	"96"	"78"	"69"	"59"	"55"	"71"	"185"	"6301"	"0"	"6301"	"0"
"76"	""	""	""	""	""	""	""	"238514
38-Jhanjharpur"	""	""	""	""	""	""	""	""	""
"77"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"78"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"79"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"80"	"Round No 5"	"57"	"80"	"5"	"64"	"338"	"4"	"8"	"2"	"3"	"4"	"3"	"4"	"515"	""	"515"	""
"81"	""	"58"	"120"	"7"	"51"	"343"	"11"	"11"	"6"	"3"	"2"	"3"	"4"	"561"	""	"561"	""
"82"	""	"59"	"92"	"3"	"48"	"353"	"5"	"9"	"4"	"2"	"0"	"3"	"7"	"526"	""	"526"	""
"83"	""	"60"	"126"	"7"	"41"	"375"	"2"	"5"	"3"	"2"	"3"	"3"	"1"	"568"	""	"568"	""
"84"	""	"61"	"68"	"6"	"194"	"181"	"7"	"5"	"9"	"6"	"10"	"5"	"20"	"511"	""	"511"	""
"85"	""	"62"	"86"	"13"	"38"	"285"	"8"	"9"	"7"	"8"	"1"	"1"	"10"	"466"	""	"466"	""
"86"	""	"63"	"115"	"15"	"44"	"333"	"12"	"2"	"1"	"0"	"1"	"3"	"2"	"528"	""	"528"	""
"87"	""	"64"	"35"	"3"	"170"	"171"	"6"	"2"	"10"	"7"	"4"	"13"	"11"	"432"	""	"432"	""
"88"	""	"65"	"40"	"6"	"262"	"322"	"8"	"3"	"12"	"7"	"5"	"6"	"6"	"677"	""	"677"	""
"89"	""	"66"	"31"	"7"	"56"	"195"	"12"	"42"	"11"	"2"	"3"	"2"	"12"	"373"	""	"373"	""
"90"	""	"67"	"28"	"2"	"105"	"167"	"6"	"17"	"4"	"6"	"1"	"7"	"8"	"351"	""	"351"	""
"91"	""	"68"	"32"	"8"	"124"	"264"	"17"	"14"	"2"	"0"	"1"	"5"	"3"	"470"	""	"470"	""
"92"	""	"69"	"81"	"1"	"156"	"34"	"2"	"1"	"1"	"2"	"0"	"1"	"1"	"280"	""	"280"	""
"93"	""	"70"	"19"	"7"	"48"	"405"	"12"	"37"	"9"	"7"	"4"	"11"	"43"	"602"	""	"602"	""
"94"	""	"Total -5"	"953"	"90"	"1401"	"3766"	"112"	"165"	"81"	"55"	"39"	"66"	"132"	"6860"	"0"	"6860"	"0"
"95"	""	""	""	""	""	""	""	"238514
38-Jhanjharpur"	""	""	""	""	""	""	""	""	""
"96"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"97"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"98"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"99"	"Round No 6"	"71"	"84"	"5"	"120"	"235"	"7"	"12"	"6"	"4"	"0"	"2"	"5"	"480"	""	"480"	""
"100"	""	"72"	"174"	"9"	"84"	"147"	"8"	"8"	"9"	"3"	"3"	"2"	"12"	"459"	""	"459"	""
"101"	""	"73"	"38"	"6"	"187"	"150"	"9"	"26"	"5"	"3"	"7"	"4"	"11"	"446"	""	"446"	""
"102"	""	"74"	"31"	"0"	"37"	"127"	"1"	"4"	"3"	"2"	"1"	"5"	"10"	"221"	""	"221"	""
"103"	""	"75"	"17"	"8"	"102"	"180"	"6"	"15"	"3"	"3"	"7"	"2"	"6"	"349"	""	"349"	""
"104"	""	"76"	"55"	"9"	"56"	"270"	"10"	"106"	"10"	"5"	"7"	"4"	"6"	"538"	""	"538"	""
"105"	""	"77"	"81"	"8"	"127"	"217"	"6"	"12"	"8"	"2"	"1"	"5"	"8"	"475"	""	"475"	""
"106"	""	"78"	"75"	"13"	"130"	"208"	"12"	"11"	"7"	"3"	"2"	"3"	"9"	"473"	""	"473"	""
"107"	""	"79"	"23"	"7"	"150"	"250"	"12"	"15"	"9"	"10"	"9"	"16"	"53"	"554"	""	"554"	""
"108"	""	"80"	"32"	"2"	"133"	"223"	"5"	"12"	"4"	"2"	"1"	"3"	"21"	"438"	""	"438"	""
"109"	""	"81"	"51"	"6"	"110"	"178"	"5"	"2"	"4"	"5"	"6"	"5"	"13"	"385"	""	"385"	""
"110"	""	"82"	"39"	"4"	"70"	"78"	"3"	"1"	"1"	"1"	"0"	"0"	"0"	"197"	""	"197"	""
"111"	""	"83"	"45"	"7"	"109"	"267"	"6"	"10"	"10"	"3"	"5"	"4"	"5"	"471"	""	"471"	""
"112"	""	"84"	"22"	"5"	"194"	"63"	"36"	"3"	"5"	"2"	"7"	"1"	"9"	"347"	""	"347"	""
"113"	""	"Total -6"	"767"	"89"	"1609"	"2593"	"126"	"237"	"84"	"48"	"56"	"56"	"168"	"5833"	"0"	"5833"	"0"
"114"	""	""	""	""	""	""	""	"238514
38-Jhanjharpur"	""	""	""	""	""	""	""	""	""
"115"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"116"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"117"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"118"	"Round No 7"	"85"	"45"	"12"	"218"	"71"	"2"	"4"	"5"	"2"	"7"	"7"	"27"	"400"	""	"400"	""
"119"	""	"86"	"52"	"4"	"196"	"74"	"4"	"2"	"4"	"5"	"1"	"2"	"1"	"345"	""	"345"	""
"120"	""	"87"	"68"	"5"	"304"	"97"	"7"	"3"	"3"	"23"	"4"	"3"	"8"	"525"	""	"525"	""
"121"	""	"88"	"190"	"8"	"137"	"101"	"6"	"6"	"3"	"0"	"0"	"3"	"3"	"457"	""	"457"	""
"122"	""	"89"	"64"	"7"	"79"	"184"	"4"	"13"	"7"	"8"	"3"	"10"	"29"	"408"	""	"408"	""
"123"	""	"90"	"21"	"2"	"28"	"131"	"11"	"0"	"3"	"0"	"0"	"0"	"1"	"197"	""	"197"	""
"124"	""	"91"	"10"	"4"	"42"	"264"	"3"	"5"	"4"	"4"	"1"	"1"	"0"	"338"	""	"338"	""
"125"	""	"92"	"12"	"4"	"19"	"158"	"3"	"1"	"2"	"1"	"1"	"2"	"0"	"203"	""	"203"	""
"126"	""	"93"	"64"	"3"	"92"	"94"	"1"	"2"	"3"	"3"	"2"	"6"	"15"	"285"	""	"285"	""
"127"	""	"94"	"254"	"9"	"56"	"263"	"3"	"10"	"1"	"5"	"3"	"4"	"4"	"612"	""	"612"	""
"128"	""	"95"	"241"	"10"	"27"	"69"	"4"	"4"	"1"	"1"	"0"	"2"	"4"	"363"	""	"363"	""
"129"	""	"96"	"112"	"5"	"75"	"162"	"3"	"6"	"3"	"5"	"0"	"2"	"13"	"386"	""	"386"	""
"130"	""	"97"	"62"	"6"	"85"	"346"	"6"	"24"	"8"	"5"	"0"	"0"	"3"	"545"	""	"545"	""
"131"	""	"98"	"179"	"8"	"49"	"131"	"7"	"5"	"9"	"3"	"4"	"6"	"17"	"418"	""	"418"	""
"132"	""	"Total -7"	"1374"	"87"	"1407"	"2145"	"64"	"85"	"56"	"65"	"26"	"48"	"125"	"5482"	"0"	"5482"	"0"
"133"	""	""	""	""	""	""	""	"238514
38-Jhanjharpur"	""	""	""	""	""	""	""	""	""
"134"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"135"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"136"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"137"	"Round No 8"	"99"	"238"	"12"	"48"	"143"	"6"	"4"	"3"	"9"	"5"	"4"	"11"	"483"	""	"483"	""
"138"	""	"100"	"42"	"2"	"65"	"213"	"5"	"4"	"2"	"2"	"4"	"1"	"5"	"345"	""	"345"	""
"139"	""	"101"	"26"	"4"	"89"	"267"	"6"	"5"	"3"	"5"	"0"	"5"	"18"	"428"	""	"428"	""
"140"	""	"102"	"20"	"5"	"38"	"221"	"13"	"12"	"7"	"5"	"2"	"0"	"5"	"328"	""	"328"	""
"141"	""	"103"	"68"	"3"	"55"	"144"	"2"	"3"	"3"	"3"	"1"	"5"	"16"	"303"	""	"303"	""
"142"	""	"104"	"68"	"4"	"99"	"113"	"2"	"0"	"1"	"8"	"1"	"2"	"3"	"301"	""	"301"	""
"143"	""	"105"	"12"	"3"	"19"	"243"	"13"	"3"	"2"	"1"	"1"	"2"	"1"	"300"	""	"300"	""
"144"	""	"106"	"8"	"3"	"35"	"179"	"1"	"6"	"4"	"16"	"1"	"1"	"7"	"261"	""	"261"	""
"145"	""	"107"	"13"	"2"	"218"	"254"	"11"	"5"	"8"	"4"	"5"	"5"	"6"	"531"	""	"531"	""
"146"	""	"108"	"24"	"4"	"152"	"227"	"10"	"11"	"3"	"8"	"2"	"3"	"9"	"453"	""	"453"	""
"147"	""	"109"	"35"	"5"	"31"	"156"	"7"	"161"	"17"	"7"	"11"	"8"	"27"	"465"	""	"465"	""
"148"	""	"110"	"82"	"7"	"43"	"181"	"7"	"209"	"14"	"7"	"5"	"5"	"10"	"570"	""	"570"	""
"149"	""	"111"	"10"	"1"	"20"	"162"	"6"	"78"	"6"	"4"	"9"	"11"	"36"	"343"	""	"343"	""
"150"	""	"112"	"52"	"6"	"40"	"232"	"9"	"38"	"3"	"1"	"2"	"8"	"13"	"404"	""	"404"	""
"151"	""	"Total -8"	"698"	"61"	"952"	"2735"	"98"	"539"	"76"	"80"	"49"	"60"	"167"	"5515"	"0"	"5515"	"0"
"152"	""	""	""	""	""	""	""	"238514
38-Jhanjharpur"	""	""	""	""	""	""	""	""	""
"153"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"154"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"155"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"156"	"Round No 9"	"113"	"61"	"2"	"44"	"297"	"13"	"20"	"8"	"9"	"3"	"11"	"22"	"490"	""	"490"	""
"157"	""	"114"	"85"	"7"	"18"	"171"	"5"	"40"	"4"	"2"	"3"	"3"	"18"	"356"	""	"356"	""
"158"	""	"115"	"3"	"1"	"90"	"144"	"2"	"3"	"4"	"1"	"0"	"1"	"7"	"256"	""	"256"	""
"159"	""	"116"	"56"	"7"	"126"	"278"	"6"	"81"	"9"	"8"	"11"	"15"	"29"	"626"	""	"626"	""
"160"	""	"117"	"31"	"2"	"73"	"331"	"4"	"2"	"5"	"1"	"3"	"3"	"23"	"478"	""	"478"	""
"161"	""	"118"	"28"	"3"	"50"	"265"	"6"	"6"	"1"	"1"	"3"	"2"	"8"	"373"	""	"373"	""
"162"	""	"119"	"49"	"1"	"53"	"143"	"2"	"6"	"4"	"1"	"0"	"2"	"4"	"265"	""	"265"	""
"163"	""	"120"	"24"	"7"	"168"	"109"	"5"	"4"	"10"	"9"	"9"	"7"	"24"	"376"	""	"376"	""
"164"	""	"121"	"25"	"4"	"248"	"89"	"11"	"4"	"2"	"10"	"14"	"13"	"61"	"481"	""	"481"	""
"165"	""	"122"	"33"	"0"	"114"	"142"	"1"	"2"	"2"	"2"	"5"	"2"	"7"	"310"	""	"310"	""
"166"	""	"123"	"161"	"13"	"45"	"146"	"7"	"5"	"3"	"6"	"4"	"11"	"15"	"416"	""	"416"	""
"167"	""	"124"	"31"	"6"	"60"	"380"	"3"	"7"	"6"	"1"	"2"	"3"	"9"	"508"	""	"508"	""
"168"	""	"125"	"79"	"4"	"29"	"169"	"3"	"2"	"5"	"0"	"4"	"2"	"12"	"309"	""	"309"	""
"169"	""	"126"	"132"	"2"	"33"	"118"	"1"	"2"	"1"	"0"	"1"	"0"	"2"	"292"	""	"292"	""
"170"	""	"Total -9"	"798"	"59"	"1151"	"2782"	"69"	"184"	"64"	"51"	"62"	"75"	"241"	"5536"	"0"	"5536"	"0"
"171"	""	""	""	""	""	""	""	"238514
38-Jhanjharpur"	""	""	""	""	""	""	""	""	""
"172"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"173"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"174"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"175"	"Round No 10"	"127"	"30"	"3"	"73"	"320"	"7"	"6"	"6"	"5"	"3"	"4"	"7"	"464"	""	"464"	""
"176"	""	"128"	"1"	"4"	"12"	"157"	"5"	"4"	"4"	"0"	"0"	"0"	"4"	"191"	""	"191"	""
"177"	""	"129"	"16"	"2"	"190"	"165"	"2"	"5"	"1"	"1"	"4"	"2"	"13"	"401"	""	"401"	""
"178"	""	"130"	"46"	"4"	"11"	"267"	"4"	"3"	"6"	"7"	"5"	"5"	"13"	"371"	""	"371"	""
"179"	""	"131"	"66"	"3"	"32"	"257"	"6"	"2"	"3"	"0"	"2"	"2"	"1"	"374"	""	"374"	""
"180"	""	"132"	"88"	"5"	"84"	"159"	"2"	"5"	"1"	"3"	"1"	"3"	"3"	"354"	""	"354"	""
