"Name.of.Candidate"	"Dr..Arun.Kumar"	"Jagdish.Sharma"	"Ramadhar.Sharma"	"Surendra.Prasad.Yadav"	"Ayasha.Khatun"	"Prof..Jai.Ram.Prasad.Singh"	"Tara.Gupta"	"Mahanand.Prasad"	"Ramasray.Prasad.Singh"	"Md..Shahabubin.Jahan"	"Shravan.kumar"	"Sadhu.Sinha"	"Syed.Akber.Imam"	"Ajay.Kumar.Verma"	"Abhay.Kumar.Anil"	"Dr..Arbind.Kumar"	"Arvind.Prasad.Singh"	"Upendra.Prasad"	"Jagdish.Yadav"	"Prikshit.Singh"	"Prabhat.Kumar.Ranjan"	"Ranjit.Sharma"	"Rakeshwar.Kishor"	"Siya.Ram.Prasad"	"Sumirak.Singh"	"Total.Valid.Votes"	"No..of.Reject.ed.votes"	"Total"	"No..of.tender.ed.votes"
"34"	"26"	36	510	5	2	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	558	NA	558	NA
"35"	"27"	8	508	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	520	NA	520	NA
"36"	"28"	8	400	2	28	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440	NA	440	NA
"37"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"38"	"Total"	196	2716	133	2355	46	31	12	314	31	4	14	17	29	19	23	60	34	15	15	16	6	7	4	3	10	6110	NA	6110	NA
"39"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"40"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"41"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"42"	"Round 3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"43"	"29"	16	78	0	73	4	0	0	10	1	1	1	0	2	0	1	14	0	1	1	0	0	0	0	0	0	203	NA	203	NA
"44"	"30"	9	111	53	113	1	2	2	15	0	1	1	2	0	1	1	5	4	3	2	2	0	0	1	3	6	338	NA	338	NA
"45"	"31"	10	106	8	183	4	8	4	15	1	3	0	0	3	1	1	5	6	4	0	0	0	0	1	0	1	364	NA	364	NA
"46"	"32"	3	33	1	446	11	0	0	0	0	0	0	0	0	0	1	1	3	1	0	2	0	0	1	0	0	503	NA	503	NA
"47"	"33"	4	79	0	180	1	0	1	2	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	271	NA	271	NA
"48"	"34"	17	223	9	184	2	2	1	41	2	0	2	2	2	1	3	7	1	2	5	4	3	1	4	3	5	526	NA	526	NA
"49"	"35"	10	110	34	235	4	1	2	2	1	0	0	1	0	3	1	8	1	0	0	2	0	1	0	0	0	416	NA	416	NA
"50"	"36"	10	308	29	43	2	2	1	77	6	2	5	0	3	6	9	6	3	5	3	3	0	0	2	1	5	531	NA	531	NA
"51"	"37"	4	81	6	325	4	2	1	17	0	0	0	1	0	4	2	4	1	0	1	0	0	0	0	0	0	453	NA	453	NA
"52"	"38"	10	74	4	286	1	3	1	14	0	1	0	4	2	1	2	7	1	2	1	4	1	1	0	1	2	423	NA	423	NA
"53"	"39"	17	159	9	120	6	0	1	9	2	3	3	1	5	5	18	16	2	4	2	5	0	1	0	0	0	388	NA	388	NA
"54"	"40"	41	78	2	209	7	2	2	23	0	0	2	0	1	1	1	1	9	1	2	2	1	3	0	0	0	388	NA	388	NA
"55"	"41"	4	16	0	280	2	0	1	44	1	0	0	1	0	1	0	1	3	1	0	2	0	0	1	1	0	359	NA	359	NA
"56"	"42"	2	41	11	107	3	0	2	11	0	0	1	1	1	0	0	1	3	0	0	1	1	0	0	0	0	186	NA	186	NA
"57"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"58"	"Total"	157	1497	166	2784	52	22	19	280	14	11	15	13	20	27	40	76	37	24	17	27	6	7	10	9	19	5349	NA	5349	NA
"59"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"60"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"61"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"62"	"Round 4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"63"	"43"	8	100	4	103	1	1	1	23	1	0	1	1	1	2	5	5	0	2	0	1	0	2	0	0	1	263	NA	263	NA
"64"	"44"	5	62	5	436	5	5	0	9	7	0	0	1	2	3	3	3	2	4	2	0	1	1	0	0	0	556	NA	556	NA
"65"	"45"	15	86	5	126	5	1	4	195	6	2	2	1	0	3	3	6	7	5	2	8	4	3	5	2	6	502	NA	502	NA
"66"	"46"	29	628	1	24	1	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	692	NA	692	NA
"67"	"47"	47	174	70	128	12	3	5	103	7	3	3	9	4	2	1	10	6	0	5	2	1	1	0	0	5	601	NA	601	NA
"68"	"48"	21	35	2	425	5	2	0	24	0	0	0	0	1	0	0	0	6	4	0	3	0	3	0	0	0	531	NA	531	NA
"69"	"49"	2	58	2	224	0	0	1	14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	302	NA	302	NA
"70"	"50"	23	497	43	35	3	4	2	59	3	3	4	2	3	6	8	3	2	1	3	0	0	1	0	0	1	706	NA	706	NA
"71"	"51"	5	6	4	123	3	0	0	66	0	0	0	2	0	1	0	3	1	1	0	2	0	1	2	0	3	223	NA	223	NA
"72"	"52"	17	114	62	143	11	5	4	39	2	4	0	0	0	3	4	9	4	7	9	4	5	3	6	1	15	471	NA	471	NA
"73"	"53"	1	170	3	42	1	2	0	1	0	0	0	0	0	0	1	2	0	1	0	1	0	0	0	2	4	231	NA	231	NA
"74"	"54"	2	68	3	103	8	3	1	1	0	1	2	1	8	4	3	4	6	2	0	0	0	0	0	0	1	221	NA	221	NA
"75"	"55"	35	65	11	277	6	1	2	7	0	0	2	0	3	0	1	1	6	4	0	1	1	0	0	0	1	424	NA	424	NA
"76"	"56"	0	0	0	270	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	272	NA	272	NA
"77"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"78"	"Total"	210	2063	215	2459	62	27	20	549	26	14	14	17	23	24	29	46	40	32	21	22	12	15	13	5	37	5995	NA	5995	NA
"79"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"80"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"81"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"82"	"Round 5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"83"	"57"	4	102	29	63	7	1	1	54	1	1	1	1	0	0	1	2	1	2	2	1	0	0	1	0	0	275	NA	275	NA
"84"	"58"	7	836	14	66	1	2	1	19	1	0	1	0	3	1	2	8	1	4	2	1	2	0	0	1	2	975	NA	975	NA
"85"	"59"	16	212	3	30	8	1	1	5	2	2	1	2	7	1	2	7	5	1	5	0	3	0	2	0	3	319	NA	319	NA
"86"	"60"	3	64	8	849	3	0	1	6	0	0	0	2	2	0	1	10	1	2	3	4	0	0	0	0	1	960	NA	960	NA
"87"	"61"	3	22	1	747	3	0	0	1	0	0	0	0	1	0	0	2	0	0	1	1	0	0	0	0	0	782	NA	782	NA
"88"	"62"	23	153	8	92	2	0	0	16	5	1	2	1	2	2	0	5	20	14	8	9	3	3	3	0	9	381	NA	381	NA
"89"	"63"	9	121	11	271	9	4	3	8	0	1	1	0	4	2	2	6	5	1	0	2	0	0	0	0	3	463	NA	463	NA
"90"	"64"	13	84	22	179	7	0	0	18	1	2	1	5	4	3	4	14	12	2	4	2	2	1	2	2	4	388	NA	388	NA
"91"	"65"	10	102	6	68	3	5	2	78	2	0	1	1	2	0	3	8	5	4	3	4	6	4	4	6	6	333	NA	333	NA
"92"	"66"	18	719	14	74	1	2	7	32	1	2	4	0	3	4	5	11	4	2	3	0	0	1	0	0	3	910	NA	910	NA
"93"	"67"	6	1009	1	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1021	NA	1021	NA
"94"	"68"	28	700	8	1	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	741	NA	741	NA
"95"	"69"	8	221	1	128	3	1	2	1	0	1	0	1	0	1	0	5	5	4	3	9	2	1	0	0	3	400	NA	400	NA
"96"	"70"	10	144	8	31	3	0	0	1	0	1	0	1	0	0	1	5	6	10	7	4	1	2	2	3	5	245	NA	245	NA
"97"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"98"	"Total"	158	4489	134	2603	50	18	18	240	13	11	12	14	28	15	22	83	65	46	41	37	19	12	14	12	39	8193	NA	8193	NA
"99"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"100"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"101"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"102"	"Round 6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"103"	"71"	7	57	70	126	3	1	0	4	1	1	0	1	1	0	0	1	6	1	0	0	0	0	1	0	1	282	NA	282	NA
"104"	"72"	7	201	1	9	1	0	0	1	0	0	0	0	0	0	0	3	1	3	1	0	0	0	0	1	0	229	NA	229	NA
"105"	"73"	42	167	9	252	11	5	2	3	5	1	0	0	1	1	1	4	10	3	0	4	1	0	0	1	1	524	NA	524	NA
"106"	"74"	16	59	20	109	0	1	0	6	2	0	2	0	1	1	0	2	7	2	3	1	0	1	2	0	0	235	NA	235	NA
"107"	"75"	1	34	3	284	0	0	1	3	4	0	0	0	0	1	1	2	0	2	0	0	1	0	0	0	0	337	NA	337	NA
"108"	"76"	88	5	0	246	0	2	1	2	0	0	1	0	1	1	0	0	1	0	1	0	0	1	1	0	0	351	NA	351	NA
"109"	"77"	8	82	0	341	0	2	1	4	0	0	0	0	0	2	0	6	0	0	1	2	0	0	0	1	1	451	NA	451	NA
"110"	"78"	12	113	36	144	6	0	2	6	0	1	0	2	0	1	6	5	3	0	2	2	4	1	2	2	1	351	NA	351	NA
"111"	"79"	11	16	1	142	2	1	1	84	1	0	0	0	3	1	3	6	4	3	0	4	0	0	1	1	4	289	NA	289	NA
"112"	"80"	26	447	9	46	2	0	0	1	1	0	1	0	2	2	0	3	12	24	4	0	2	1	0	0	6	589	NA	589	NA
"113"	"81"	15	575	3	263	4	1	0	37	0	0	1	0	0	2	1	3	0	0	0	1	0	1	1	0	0	908	NA	908	NA
"114"	"82"	52	761	4	56	2	2	1	71	3	3	1	1	0	0	0	5	1	1	1	1	0	0	0	0	1	967	NA	967	NA
"115"	"83"	17	94	35	221	10	5	5	110	4	1	2	1	2	2	1	9	10	4	3	6	1	2	2	4	2	553	NA	553	NA
"116"	"84"	1	39	5	385	4	5	1	6	1	1	0	0	1	0	2	4	0	0	0	0	0	0	0	0	0	455	NA	455	NA
"117"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"118"	"Total"	303	2650	196	2624	45	25	15	338	22	8	8	5	12	14	15	53	55	43	16	21	9	7	10	10	17	6521	NA	6521	NA
"119"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"120"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"121"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"122"	"Round 7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"123"	"85"	11	352	24	134	11	2	1	17	1	1	1	2	6	6	6	27	5	2	5	1	0	0	3	1	1	620	NA	620	NA
"124"	"86"	3	68	2	691	4	2	0	4	0	0	1	0	2	1	4	1	0	2	1	0	1	0	0	0	0	787	NA	787	NA
"125"	"87"	0	19	1	545	3	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	572	NA	572	NA
"126"	"88"	0	36	1	241	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	281	NA	281	NA
"127"	"89"	2	703	10	52	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	771	NA	771	NA
"128"	"90"	10	119	6	152	5	0	0	2	0	0	0	0	4	0	2	5	12	1	0	0	1	0	0	0	0	319	NA	319	NA
"129"	"91"	0	56	1	298	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	360	NA	360	NA
"130"	"92"	14	85	11	236	6	3	2	12	2	1	2	5	8	6	3	13	11	4	5	11	3	3	7	4	9	466	NA	466	NA
"131"	"93"	20	12	4	269	2	0	2	95	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	407	NA	407	NA
"132"	"94"	41	681	2	12	0	0	0	1	0	0	0	0	0	0	0	0	3	8	0	0	0	0	0	0	0	748	NA	748	NA
"133"	"95"	6	30	58	61	0	5	2	68	3	2	1	5	1	1	4	19	1	3	2	1	1	1	1	3	2	281	NA	281	NA
"134"	"96"	6	251	14	148	10	5	3	52	7	4	5	5	5	7	7	20	2	10	2	11	2	1	3	4	7	591	NA	591	NA
"135"	"97"	0	20	3	529	1	0	0	10	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	565	NA	565	NA
"136"	"98"	36	284	8	55	3	3	2	1	3	0	1	0	3	4	4	9	16	12	11	2	2	5	5	4	7	480	NA	480	NA
"137"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"138"	"Total"	149	2716	145	3423	46	20	14	264	16	12	11	18	29	25	30	98	50	43	29	27	10	10	20	17	26	7248	NA	7248	NA
"139"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"140"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"141"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"142"	"Round 8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"143"	"99"	27	132	9	345	7	6	4	8	7	4	2	1	8	2	5	16	2	4	1	3	1	1	0	1	2	598	NA	598	NA
"144"	"100"	3	1	47	325	4	0	0	1	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	385	NA	385	NA
"145"	"101"	4	63	4	433	5	2	1	9	0	0	2	2	0	2	0	3	2	2	3	1	0	0	2	1	1	542	NA	542	NA
"146"	"102"	20	215	13	129	6	9	7	80	3	4	1	1	2	3	0	10	28	9	3	6	6	1	5	5	5	571	NA	571	NA
"147"	"103"	14	413	1	4	1	0	0	1	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	1	0	442	NA	442	NA
"148"	"104"	1	20	2	273	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	NA	301	NA
"149"	"105"	10	79	11	135	5	5	2	63	2	4	3	0	0	3	2	7	5	3	0	2	1	2	6	2	2	354	NA	354	NA
"150"	"106"	9	69	3	19	2	5	0	89	4	1	3	0	0	3	1	6	4	2	0	3	0	0	0	0	1	224	NA	224	NA
"151"	"107"	22	749	2	23	0	5	1	135	4	1	0	0	0	0	1	1	2	1	2	0	0	0	0	0	2	951	NA	951	NA
"152"	"108"	2	157	15	64	1	3	0	16	2	1	0	0	0	3	1	2	4	1	0	0	0	0	1	0	0	273	NA	273	NA
"153"	"109"	4	65	3	108	3	0	1	40	0	3	1	0	0	1	1	5	1	0	2	1	1	0	0	0	0	240	NA	240	NA
"154"	"110"	13	181	26	112	4	4	1	10	4	6	3	2	2	9	11	22	2	1	2	1	0	0	1	0	2	419	NA	419	NA
"155"	"111"	31	375	55	75	1	3	1	47	3	2	1	1	1	0	1	6	0	0	0	1	0	1	0	0	0	605	NA	605	NA
"156"	"112"	4	62	1	670	5	0	1	1	0	0	0	0	0	2	0	2	0	1	2	1	0	0	0	0	0	752	NA	752	NA
"157"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"158"	"Total"	164	2581	192	2715	47	42	19	502	29	26	17	7	15	29	23	87	50	24	15	19	9	5	15	10	15	6657	NA	6657	NA
"159"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"160"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"161"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"162"	"Round 9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"163"	"113"	2	48	3	50	1	0	0	1	0	0	1	0	3	0	1	5	1	1	2	3	1	3	1	2	3	132	NA	132	NA
"164"	"114"	6	517	6	59	1	0	2	2	0	0	0	0	0	0	0	0	6	0	1	1	0	0	0	0	0	601	NA	601	NA
"165"	"115"	23	33	0	183	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	244	NA	244	NA
"166"	"116"	47	378	4	31	2	3	1	8	1	2	2	0	1	3	0	2	5	9	5	3	1	2	1	0	1	512	NA	512	NA
"167"	"117"	16	215	62	116	7	2	0	3	0	0	1	2	0	1	1	2	5	3	1	1	0	0	0	0	1	439	NA	439	NA
"168"	"118"	43	210	4	71	1	2	0	0	0	2	0	0	0	2	1	3	4	3	0	1	0	0	0	0	0	347	NA	347	NA
"169"	"119"	18	178	12	33	1	4	0	2	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	1	0	253	NA	253	NA
"170"	"120"	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	141	8	124	3	8	2	1	0	304	NA	304	NA
"171"	"121"	13	387	21	165	7	1	1	2	6	0	2	0	0	3	2	0	0	1	1	1	1	0	0	0	1	615	NA	615	NA
"172"	"122"	17	212	7	183	4	5	1	8	15	4	0	3	4	6	4	6	1	0	2	3	0	0	0	0	0	485	NA	485	NA
"173"	"123"	0	0	0	312	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	321	NA	321	NA
"174"	"124"	1	31	3	703	2	0	0	4	20	0	0	0	1	0	0	5	0	0	0	1	0	0	0	0	0	771	NA	771	NA
