"Total.No..of.Electors.in.Assembly.Constituency.Segment..189225"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"12"	"2"	"212"	"159"	"16"	"1"	"1"	"1"	"5"	"0"	"1"	"0"	"6"	"17"	"419"	"0"	"419"	"0"
"13"	"3"	"107"	"222"	"22"	"2"	"1"	"1"	"3"	"2"	"0"	"3"	"7"	"12"	"382"	"0"	"382"	"0"
"14"	"4"	"60"	"203"	"19"	"1"	"0"	"2"	"1"	"0"	"1"	"2"	"9"	"3"	"301"	"0"	"301"	"0"
"15"	"5"	"87"	"145"	"19"	"3"	"1"	"2"	"8"	"2"	"6"	"1"	"8"	"8"	"290"	"0"	"290"	"0"
"16"	"6"	"68"	"172"	"67"	"7"	"2"	"5"	"7"	"0"	"2"	"0"	"3"	"5"	"338"	"0"	"338"	"0"
"17"	"7"	"101"	"288"	"45"	"11"	"1"	"4"	"9"	"3"	"4"	"8"	"27"	"31"	"532"	"0"	"532"	"0"
"18"	"8"	"148"	"233"	"32"	"2"	"3"	"2"	"8"	"3"	"1"	"2"	"8"	"10"	"452"	"0"	"452"	"0"
"19"	"9"	"239"	"176"	"146"	"8"	"6"	"8"	"6"	"4"	"8"	"6"	"18"	"16"	"641"	"0"	"641"	"0"
"20"	"10"	"22"	"167"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"5"	"0"	"199"	"0"	"199"	"0"
"21"	"11"	"231"	"15"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"256"	"0"	"256"	"0"
"22"	"12"	"46"	"529"	"7"	"2"	"0"	"1"	"1"	"3"	"2"	"1"	"9"	"6"	"607"	"0"	"607"	"0"
"23"	"13"	"43"	"338"	"6"	"0"	"0"	"0"	"2"	"1"	"1"	"0"	"2"	"2"	"395"	"0"	"395"	"0"
"24"	"14"	"23"	"253"	"12"	"3"	"2"	"3"	"8"	"2"	"1"	"2"	"5"	"14"	"328"	"0"	"328"	"0"
"25"	"Total"	"1570"	"3072"	"430"	"46"	"18"	"33"	"66"	"27"	"31"	"30"	"114"	"139"	"5576"	"0"	"5576"	"0"
"26"	"B.F."	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"
"27"	"G. Total"	"1570"	"3072"	"430"	"46"	"18"	"33"	"66"	"27"	"31"	"30"	"114"	"139"	"5576"	"0"	"5576"	"0"
"28"	"Total No. of Electors in Assembly Constituency/Segment- 189225"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"FINAL RESULT SHEET [SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-SARAN PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"Name of the Assembly/segment- 117-MARHAURA                                                                                                                                                                                                                                                                              Round no..02"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"37"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"38"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"39"	"15"	"56"	"175"	"6"	"2"	"1"	"2"	"2"	"5"	"0"	"2"	"13"	"8"	"272"	"0"	"272"	"0"
"40"	"16"	"60"	"144"	"84"	"4"	"6"	"4"	"5"	"3"	"1"	"8"	"11"	"13"	"343"	"0"	"343"	"0"
"41"	"17"	"158"	"211"	"35"	"3"	"1"	"4"	"8"	"2"	"5"	"3"	"21"	"26"	"477"	"0"	"477"	"0"
"42"	"18"	"195"	"181"	"47"	"5"	"2"	"2"	"19"	"5"	"3"	"6"	"6"	"20"	"491"	"0"	"491"	"0"
"43"	"19"	"222"	"113"	"9"	"7"	"0"	"1"	"6"	"3"	"1"	"3"	"3"	"4"	"372"	"0"	"372"	"0"
"44"	"20"	"302"	"135"	"13"	"2"	"3"	"2"	"2"	"2"	"4"	"3"	"6"	"22"	"496"	"0"	"496"	"0"
"45"	"21"	"36"	"90"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"4"	"3"	"137"	"0"	"137"	"0"
"46"	"22"	"121"	"58"	"33"	"4"	"2"	"3"	"4"	"1"	"1"	"3"	"3"	"3"	"236"	"0"	"236"	"0"
"47"	"23"	"80"	"41"	"22"	"4"	"2"	"2"	"4"	"1"	"1"	"2"	"2"	"5"	"166"	"0"	"166"	"0"
"48"	"24"	"52"	"209"	"21"	"1"	"4"	"2"	"12"	"2"	"5"	"2"	"16"	"22"	"348"	"0"	"348"	"0"
"49"	"25"	"99"	"161"	"22"	"8"	"3"	"1"	"7"	"4"	"6"	"4"	"9"	"13"	"337"	"0"	"337"	"0"
"50"	"26"	"70"	"147"	"11"	"2"	"1"	"2"	"13"	"0"	"2"	"3"	"9"	"7"	"267"	"0"	"267"	"0"
"51"	"27"	"165"	"61"	"99"	"2"	"3"	"0"	"4"	"2"	"1"	"0"	"4"	"3"	"344"	"0"	"344"	"0"
"52"	"28"	"114"	"361"	"65"	"3"	"3"	"1"	"9"	"2"	"0"	"1"	"5"	"7"	"571"	"0"	"571"	"0"
"53"	"Total"	"1730"	"2087"	"470"	"47"	"31"	"26"	"96"	"32"	"30"	"40"	"112"	"156"	"4857"	"0"	"4857"	"0"
"54"	"B.F."	"1570"	"3072"	"430"	"46"	"18"	"33"	"66"	"27"	"31"	"30"	"114"	"139"	"5576"	"0"	"5576"	"0"
"55"	"G. Total"	"3300"	"5159"	"900"	"93"	"49"	"59"	"162"	"59"	"61"	"70"	"226"	"295"	"10433"	"0"	"10433"	"0"
"56"	"Total No. of Electors in Assembly Constituency/Segment- 189225"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"FINAL RESULT SHEET [SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-SARAN PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"Name of the Assembly/segment- 117-MARHAURA                                                                                                                                                                                                                                                                              Round No-03"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"65"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"66"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"67"	"29"	"246"	"143"	"18"	"6"	"1"	"3"	"12"	"8"	"6"	"4"	"6"	"12"	"465"	"0"	"465"	"0"
"68"	"30"	"116"	"290"	"19"	"2"	"0"	"2"	"3"	"2"	"1"	"4"	"9"	"9"	"457"	"0"	"457"	"0"
"69"	"31"	"58"	"480"	"51"	"2"	"0"	"1"	"0"	"1"	"1"	"0"	"4"	"2"	"600"	"0"	"600"	"0"
"70"	"32"	"95"	"438"	"10"	"3"	"1"	"0"	"7"	"0"	"2"	"4"	"6"	"3"	"569"	"0"	"569"	"0"
"71"	"33"	"180"	"160"	"30"	"3"	"1"	"1"	"2"	"3"	"1"	"3"	"3"	"5"	"392"	"0"	"392"	"0"
"72"	"34"	"216"	"37"	"0"	"0"	"2"	"0"	"1"	"1"	"1"	"0"	"0"	"3"	"261"	"0"	"261"	"0"
"73"	"35"	"175"	"72"	"7"	"1"	"1"	"0"	"5"	"5"	"4"	"4"	"9"	"13"	"296"	"0"	"296"	"0"
"74"	"36"	"103"	"155"	"8"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"2"	"271"	"0"	"271"	"0"
"75"	"37"	"11"	"340"	"7"	"1"	"0"	"0"	"3"	"1"	"0"	"1"	"4"	"0"	"368"	"0"	"368"	"0"
"76"	"38"	"44"	"214"	"8"	"1"	"0"	"1"	"3"	"1"	"1"	"0"	"5"	"6"	"284"	"0"	"284"	"0"
"77"	"39"	"102"	"276"	"10"	"4"	"0"	"0"	"5"	"0"	"3"	"1"	"5"	"3"	"409"	"0"	"409"	"0"
"78"	"40"	"139"	"269"	"22"	"5"	"2"	"2"	"11"	"2"	"2"	"0"	"3"	"3"	"460"	"0"	"460"	"0"
"79"	"41"	"216"	"275"	"10"	"11"	"4"	"0"	"10"	"1"	"1"	"4"	"11"	"3"	"546"	"0"	"546"	"0"
"80"	"42"	"113"	"172"	"58"	"3"	"1"	"0"	"9"	"3"	"7"	"8"	"18"	"12"	"404"	"0"	"404"	"0"
"81"	"Total"	"1814"	"3321"	"258"	"42"	"14"	"10"	"72"	"29"	"30"	"33"	"83"	"76"	"5782"	"0"	"5782"	"0"
"82"	"B.F."	"3300"	"5159"	"900"	"93"	"49"	"59"	"162"	"59"	"61"	"70"	"226"	"295"	"10433"	"0"	"10433"	"0"
"83"	"G. Total"	"5114"	"8480"	"1158"	"135"	"63"	"69"	"234"	"88"	"91"	"103"	"309"	"371"	"16215"	"0"	"16215"	"0"
"84"	"Total No. of Electors in Assembly Constituency/Segment- 189225"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"FINAL RESULT SHEET [SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-SARAN PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"Name of the Assembly/segment- 117-MARHAURA                                                                                                                                                                                                                                                                              Round No.04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"93"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"94"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"95"	"43"	"103"	"85"	"17"	"3"	"0"	"0"	"3"	"1"	"1"	"5"	"6"	"2"	"226"	"0"	"226"	"0"
"96"	"44"	"298"	"200"	"17"	"2"	"0"	"0"	"4"	"2"	"2"	"2"	"4"	"0"	"531"	"0"	"531"	"0"
"97"	"45"	"254"	"344"	"14"	"5"	"1"	"3"	"5"	"6"	"3"	"2"	"8"	"3"	"648"	"0"	"648"	"0"
"98"	"46"	"164"	"120"	"83"	"5"	"1"	"5"	"8"	"10"	"14"	"8"	"13"	"32"	"463"	"0"	"463"	"0"
"99"	"47"	"456"	"82"	"60"	"2"	"1"	"2"	"0"	"0"	"1"	"2"	"1"	"4"	"611"	"0"	"611"	"0"
"100"	"48"	"539"	"9"	"19"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"571"	"0"	"571"	"0"
"101"	"49"	"178"	"48"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"1"	"237"	"0"	"237"	"0"
"102"	"50"	"172"	"112"	"21"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"309"	"0"	"309"	"0"
"103"	"51"	"255"	"153"	"21"	"4"	"0"	"1"	"9"	"4"	"0"	"2"	"2"	"4"	"455"	"0"	"455"	"0"
"104"	"52"	"120"	"138"	"6"	"3"	"0"	"1"	"3"	"3"	"0"	"1"	"5"	"10"	"290"	"0"	"290"	"0"
"105"	"53"	"226"	"33"	"1"	"0"	"0"	"0"	"4"	"1"	"0"	"0"	"1"	"7"	"273"	"0"	"273"	"0"
"106"	"54"	"128"	"199"	"36"	"6"	"0"	"0"	"8"	"2"	"2"	"5"	"19"	"17"	"422"	"0"	"422"	"0"
"107"	"55"	"271"	"104"	"43"	"0"	"1"	"1"	"1"	"6"	"6"	"2"	"7"	"7"	"449"	"0"	"449"	"0"
"108"	"56"	"320"	"53"	"19"	"2"	"0"	"0"	"3"	"1"	"2"	"2"	"3"	"3"	"408"	"0"	"408"	"0"
"109"	"Total"	"3484"	"1680"	"362"	"36"	"4"	"13"	"48"	"37"	"31"	"31"	"75"	"92"	"5893"	"0"	"5893"	"0"
"110"	"B.F."	"5114"	"8480"	"1158"	"135"	"63"	"69"	"234"	"88"	"91"	"103"	"309"	"371"	"16215"	"0"	"16215"	"0"
"111"	"G. Total"	"8598"	"10160"	"1520"	"171"	"67"	"82"	"282"	"125"	"122"	"134"	"384"	"463"	"22108"	"0"	"22108"	"0"
"112"	"Total No. of Electors in Assembly Constituency/Segment- 189225"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"FINAL RESULT SHEET [SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-SARAN PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"Name of the Assembly/segment- 117-MARHAURA                                                                                                                                                                                                                                                                              Round No.05"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"121"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"122"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"123"	"57"	"243"	"174"	"12"	"3"	"3"	"1"	"6"	"4"	"3"	"2"	"5"	"19"	"475"	"0"	"475"	"0"
"124"	"58"	"279"	"79"	"39"	"1"	"0"	"0"	"8"	"3"	"7"	"4"	"7"	"23"	"450"	"0"	"450"	"0"
"125"	"59"	"108"	"249"	"10"	"4"	"1"	"1"	"7"	"5"	"3"	"2"	"15"	"2"	"407"	"0"	"407"	"0"
"126"	"60"	"250"	"247"	"17"	"4"	"1"	"3"	"17"	"4"	"5"	"9"	"19"	"15"	"591"	"0"	"591"	"0"
"127"	"61"	"80"	"112"	"7"	"0"	"3"	"0"	"7"	"2"	"0"	"0"	"11"	"5"	"227"	"0"	"227"	"0"
"128"	"62"	"249"	"78"	"12"	"0"	"0"	"1"	"2"	"1"	"2"	"0"	"2"	"4"	"351"	"0"	"351"	"0"
"129"	"63"	"99"	"195"	"43"	"3"	"1"	"2"	"3"	"1"	"3"	"1"	"8"	"9"	"368"	"0"	"368"	"0"
"130"	"64"	"58"	"379"	"29"	"6"	"3"	"3"	"18"	"10"	"2"	"4"	"9"	"15"	"536"	"0"	"536"	"0"
"131"	"65"	"193"	"262"	"15"	"5"	"4"	"2"	"6"	"2"	"2"	"1"	"8"	"5"	"505"	"0"	"505"	"0"
"132"	"66"	"10"	"457"	"11"	"5"	"1"	"0"	"5"	"1"	"0"	"1"	"3"	"3"	"497"	"0"	"497"	"0"
"133"	"67"	"67"	"328"	"27"	"5"	"4"	"6"	"18"	"9"	"3"	"5"	"30"	"23"	"525"	"0"	"525"	"0"
"134"	"68"	"145"	"113"	"22"	"11"	"0"	"2"	"15"	"1"	"4"	"1"	"1"	"9"	"324"	"0"	"324"	"0"
"135"	"69"	"277"	"156"	"11"	"2"	"2"	"1"	"4"	"1"	"2"	"1"	"10"	"15"	"482"	"0"	"482"	"0"
"136"	"70"	"68"	"378"	"17"	"8"	"1"	"1"	"11"	"8"	"4"	"1"	"10"	"5"	"512"	"0"	"512"	"0"
"137"	"Total"	"2126"	"3207"	"272"	"57"	"24"	"23"	"127"	"52"	"40"	"32"	"138"	"152"	"6250"	"0"	"6250"	"0"
"138"	"B.F."	"8598"	"10160"	"1520"	"171"	"67"	"82"	"282"	"125"	"122"	"134"	"384"	"463"	"22108"	"0"	"22108"	"0"
"139"	"G. Total"	"10724"	"13367"	"1792"	"228"	"91"	"105"	"409"	"177"	"162"	"166"	"522"	"615"	"28358"	"0"	"28358"	"0"
"140"	"Total No. of Electors in Assembly Constituency/Segment- 189225"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"142"	"FINAL RESULT SHEET [SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"143"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-SARAN PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"Name of the Assembly/segment- 117-MARHAURA                                                                                                                                                                                                                                                                              Round No..06"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"149"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"150"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"151"	"71"	"177"	"139"	"30"	"1"	"2"	"2"	"5"	"2"	"7"	"8"	"7"	"29"	"409"	"0"	"409"	"0"
"152"	"72"	"42"	"212"	"122"	"8"	"0"	"1"	"9"	"2"	"1"	"2"	"7"	"6"	"412"	"0"	"412"	"0"
"153"	"73"	"153"	"155"	"17"	"1"	"5"	"0"	"9"	"3"	"4"	"2"	"2"	"3"	"354"	"0"	"354"	"0"
"154"	"74"	"37"	"445"	"19"	"2"	"1"	"0"	"6"	"0"	"1"	"1"	"6"	"4"	"522"	"0"	"522"	"0"
"155"	"75"	"82"	"145"	"56"	"3"	"1"	"2"	"6"	"3"	"3"	"3"	"6"	"10"	"320"	"0"	"320"	"0"
"156"	"76"	"118"	"156"	"6"	"2"	"2"	"0"	"4"	"2"	"0"	"1"	"7"	"1"	"299"	"0"	"299"	"0"
"157"	"77"	"33"	"228"	"25"	"3"	"0"	"0"	"9"	"1"	"1"	"1"	"2"	"3"	"306"	"0"	"306"	"0"
"158"	"78"	"19"	"222"	"22"	"2"	"1"	"0"	"4"	"2"	"1"	"1"	"18"	"3"	"295"	"0"	"295"	"0"
"159"	"79"	"137"	"226"	"64"	"7"	"3"	"2"	"8"	"5"	"5"	"3"	"16"	"14"	"490"	"0"	"490"	"0"
"160"	"80"	"106"	"394"	"53"	"9"	"2"	"3"	"20"	"4"	"2"	"1"	"11"	"9"	"614"	"0"	"614"	"0"
"161"	"81"	"191"	"288"	"69"	"9"	"2"	"3"	"7"	"2"	"7"	"4"	"15"	"5"	"602"	"0"	"602"	"0"
"162"	"82"	"116"	"378"	"27"	"2"	"0"	"0"	"3"	"0"	"0"	"0"	"3"	"4"	"533"	"0"	"533"	"0"
"163"	"83"	"80"	"299"	"54"	"7"	"2"	"2"	"12"	"3"	"5"	"4"	"15"	"13"	"496"	"0"	"496"	"0"
"164"	"84"	"74"	"201"	"42"	"1"	"2"	"1"	"0"	"0"	"1"	"0"	"4"	"1"	"327"	"0"	"327"	"0"
"165"	"Total"	"1365"	"3488"	"606"	"57"	"23"	"16"	"102"	"29"	"38"	"31"	"119"	"105"	"5979"	"0"	"5979"	"0"
"166"	"B.F."	"10724"	"13367"	"1792"	"228"	"91"	"105"	"409"	"177"	"162"	"166"	"522"	"615"	"28358"	"0"	"28358"	"0"
"167"	"G. Total"	"12089"	"16855"	"2398"	"285"	"114"	"121"	"511"	"206"	"200"	"197"	"641"	"720"	"34337"	"0"	"34337"	"0"
"168"	"Total No. of Electors in Assembly Constituency/Segment- 189225"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"FINAL RESULT SHEET [SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-SARAN PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"Name of the Assembly/segment- 117-MARHAURA                                                                                                                                                                                                                                                                              Round No..07"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"177"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"178"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"179"	"85"	"28"	"328"	"186"	"5"	"1"	"2"	"5"	"0"	"0"	"4"	"2"	"1"	"562"	"0"	"562"	"0"
"180"	"86"	"81"	"405"	"36"	"3"	"2"	"0"	"5"	"2"	"1"	"2"	"22"	"26"	"585"	"0"	"585"	"0"
"181"	"87"	"151"	"258"	"17"	"4"	"6"	"3"	"7"	"7"	"4"	"12"	"16"	"42"	"527"	"0"	"527"	"0"
"182"	"88"	"111"	"167"	"22"	"3"	"0"	"2"	"5"	"6"	"2"	"0"	"2"	"7"	"327"	"0"	"327"	"0"
"183"	"89"	"295"	"164"	"13"	"1"	"2"	"2"	"4"	"2"	"2"	"0"	"11"	"6"	"502"	"0"	"502"	"0"
