"X."	"X..1"	"No..of.valid.votes.cast.in.favour.of"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"11"	"9"	"9"	"2"	""	"7"	"178"	"97"	"64"	"0"	"3"	"4"	"0"	"4"	"3"	"33"	"1"	"14"	"5"	"9"	"9"	"1"	"11"	"1"	"5"	"451"	"0"	"451"
"12"	"10"	"10"	"3"	""	"245"	"47"	"27"	"32"	"2"	"32"	"4"	"1"	"2"	"5"	"54"	"4"	"15"	"16"	"18"	"21"	"20"	"5"	"8"	"10"	"571"	"0"	"571"
"13"	"11"	"11"	"3"	""	"21"	"83"	"76"	"52"	"3"	"0"	"1"	"2"	"6"	"20"	"138"	"5"	"11"	"2"	"2"	"10"	"2"	"0"	"1"	"2"	"440"	"0"	"440"
"14"	"12"	"12"	"10"	""	"88"	"98"	"14"	"3"	"6"	"6"	"0"	"7"	"2"	"9"	"94"	"0"	"14"	"2"	"8"	"100"	"4"	"2"	"0"	"1"	"468"	"0"	"468"
"15"	"13"	"13"	"15"	""	"88"	"19"	"17"	"40"	"3"	"4"	"3"	"4"	"1"	"2"	"23"	"1"	"4"	"1"	"4"	"7"	"3"	"0"	"1"	"8"	"248"	"0"	"248"
"16"	"14"	"14"	"13"	""	"102"	"12"	"75"	"9"	"7"	"5"	"2"	"3"	"7"	"44"	"6"	"21"	"2"	"3"	"9"	"48"	"18"	"6"	"18"	"27"	"437"	"0"	"437"
"17"	"ROUND- 1"	""	"112"	""	"1052"	"672"	"593"	"241"	"49"	"80"	"30"	"49"	"38"	"142"	"1126"	"69"	"118"	"50"	"99"	"617"	"83"	"50"	"42"	"92"	"5404"	"0"	"5404"
"18"	"Place - Nawada
Date -               25/05/2011"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"19"	"                    Assistant Returning Of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	""	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"
"22"	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"23"	"1"	"15"	"7"	""	"37"	"30"	"17"	"1"	"3"	"0"	"1"	"4"	"4"	"2"	"66"	"2"	"3"	"3"	"5"	"10"	"5"	"7"	"4"	"6"	"217"	"0"	"217"
"24"	"2"	"16"	"20"	""	"18"	"11"	"36"	"10"	"11"	"13"	"5"	"6"	"6"	"3"	"41"	"4"	"9"	"6"	"18"	"86"	"8"	"5"	"1"	"15"	"332"	"0"	"332"
"25"	"3"	"17"	"10"	""	"83"	"24"	"52"	"8"	"5"	"3"	"4"	"1"	"6"	"7"	"45"	"8"	"4"	"1"	"4"	"7"	"4"	"2"	"30"	"4"	"312"	"0"	"312"
"26"	"4"	"18"	"5"	""	"66"	"20"	"103"	"8"	"5"	"2"	"0"	"1"	"1"	"3"	"11"	"1"	"0"	"2"	"4"	"19"	"1"	"0"	"2"	"1"	"255"	"0"	"255"
"27"	"5"	"19"	"2"	""	"105"	"49"	"37"	"7"	"4"	"2"	"1"	"3"	"1"	"3"	"19"	"6"	"7"	"7"	"8"	"20"	"6"	"3"	"1"	"0"	"291"	"0"	"291"
"28"	"6"	"20"	"17"	""	"72"	"49"	"71"	"97"	"7"	"6"	"8"	"4"	"8"	"0"	"70"	"9"	"7"	"4"	"13"	"28"	"1"	"4"	"4"	"0"	"479"	"0"	"479"
"29"	"7"	"21"	"23"	""	"150"	"60"	"39"	"11"	"12"	"3"	"4"	"2"	"6"	"6"	"25"	"8"	"10"	"9"	"12"	"44"	"5"	"3"	"1"	"4"	"437"	"0"	"437"
"30"	"8"	"22"	"18"	""	"61"	"37"	"154"	"22"	"2"	"5"	"1"	"3"	"4"	"2"	"27"	"2"	"4"	"4"	"5"	"27"	"3"	"0"	"1"	"6"	"388"	"0"	"388"
"31"	"9"	"23"	"7"	""	"4"	"17"	"42"	"5"	"7"	"3"	"5"	"2"	"1"	"3"	"31"	"1"	"1"	"2"	"8"	"185"	"13"	"3"	"4"	"19"	"363"	"0"	"363"
"32"	"10"	"24"	"2"	""	"207"	"97"	"97"	"13"	"0"	"1"	"2"	"0"	"1"	"6"	"28"	"1"	"4"	"3"	"2"	"6"	"4"	"2"	"4"	"2"	"482"	"0"	"482"
"33"	"11"	"25"	"7"	""	"8"	"6"	"152"	"3"	"1"	"0"	"0"	"0"	"0"	"5"	"4"	"2"	"1"	"0"	"1"	"87"	"0"	"1"	"2"	"1"	"281"	"0"	"281"
"34"	"12"	"26"	"6"	""	"54"	"36"	"403"	"10"	"3"	"0"	"3"	"0"	"18"	"0"	"3"	"2"	"3"	"0"	"1"	"23"	"1"	"0"	"2"	"2"	"570"	"0"	"570"
"35"	"13"	"27"	"12"	""	"93"	"64"	"25"	"2"	"5"	"3"	"3"	"3"	"10"	"4"	"42"	"5"	"16"	"5"	"5"	"27"	"5"	"4"	"25"	"6"	"364"	"0"	"364"
"36"	"14"	"28"	"2"	""	"75"	"2"	"229"	"3"	"0"	"0"	"1"	"0"	"14"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"330"	"0"	"330"
"37"	"ROUND- 2"	""	"138"	""	"1033"	"502"	"1457"	"200"	"65"	"41"	"38"	"29"	"80"	"44"	"412"	"51"	"69"	"47"	"87"	"569"	"58"	"34"	"81"	"66"	"5101"	"0"	"5101"
"38"	"Place - Nawada
Date -               25/05/2011"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	" Assistant Returning Of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	""	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"
"42"	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"43"	"1"	"29"	"4"	""	"68"	"38"	"314"	"4"	"4"	"2"	"3"	"2"	"7"	"5"	"23"	"4"	"7"	"3"	"10"	"8"	"0"	"2"	"5"	"8"	"521"	"0"	"521"
"44"	"2"	"30"	"2"	""	"69"	"18"	"375"	"4"	"1"	"1"	"0"	"0"	"7"	"0"	"3"	"0"	"3"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"487"	"0"	"487"
"45"	"3"	"31"	"6"	""	"156"	"10"	"68"	"54"	"1"	"0"	"1"	"1"	"17"	"1"	"0"	"7"	"3"	"0"	"0"	"2"	"1"	"1"	"0"	"2"	"331"	"0"	"331"
"46"	"4"	"32"	"9"	""	"55"	"5"	"34"	"22"	"2"	"1"	"1"	"1"	"15"	"1"	"1"	"1"	"2"	"1"	"5"	"1"	"0"	"0"	"0"	"1"	"158"	"0"	"158"
"47"	"5"	"33"	"12"	""	"57"	"15"	"74"	"20"	"7"	"1"	"3"	"4"	"3"	"2"	"3"	"2"	"2"	"8"	"19"	"65"	"3"	"1"	"1"	"14"	"316"	"0"	"316"
"48"	"6"	"34"	"24"	""	"175"	"50"	"42"	"8"	"3"	"3"	"5"	"0"	"1"	"2"	"15"	"5"	"5"	"3"	"6"	"102"	"7"	"4"	"1"	"6"	"467"	"0"	"467"
"49"	"7"	"35"	"25"	""	"79"	"74"	"93"	"30"	"2"	"0"	"3"	"1"	"6"	"10"	"2"	"1"	"3"	"4"	"4"	"16"	"3"	"1"	"3"	"5"	"365"	"0"	"365"
"50"	"8"	"36"	"6"	""	"261"	"7"	"22"	"12"	"6"	"1"	"1"	"0"	"3"	"13"	"5"	"2"	"8"	"9"	"12"	"9"	"2"	"0"	"0"	"1"	"380"	"0"	"380"
"51"	"9"	"37"	"10"	""	"197"	"7"	"21"	"2"	"0"	"1"	"3"	"2"	"0"	"4"	"3"	"2"	"4"	"7"	"3"	"4"	"9"	"0"	"0"	"2"	"281"	"0"	"281"
"52"	"10"	"38"	"8"	""	"83"	"51"	"16"	"8"	"8"	"0"	"0"	"3"	"13"	"247"	"7"	"5"	"8"	"3"	"7"	"15"	"1"	"0"	"2"	"1"	"486"	"0"	"486"
"53"	"11"	"39"	"10"	""	"52"	"44"	"11"	"12"	"5"	"2"	"2"	"2"	"11"	"156"	"3"	"3"	"4"	"6"	"7"	"105"	"11"	"2"	"4"	"5"	"457"	"0"	"457"
"54"	"12"	"40"	"3"	""	"46"	"4"	"1"	"4"	"2"	"1"	"1"	"0"	"0"	"16"	"3"	"2"	"5"	"0"	"0"	"115"	"4"	"0"	"0"	"0"	"207"	"0"	"207"
"55"	"13"	"41"	"9"	""	"77"	"3"	"3"	"2"	"2"	"2"	"1"	"1"	"2"	"4"	"11"	"7"	"8"	"19"	"14"	"32"	"5"	"0"	"5"	"4"	"211"	"0"	"211"
"56"	"14"	"42"	"1"	""	"42"	"28"	"4"	"0"	"1"	"8"	"1"	"2"	"1"	"1"	"158"	"1"	"6"	"3"	"5"	"77"	"4"	"1"	"0"	"2"	"346"	"0"	"346"
"57"	"ROUND- 3"	""	"129"	""	"1417"	"354"	"1078"	"182"	"44"	"23"	"25"	"19"	"86"	"462"	"237"	"42"	"68"	"66"	"92"	"551"	"51"	"12"	"22"	"53"	"5013"	"0"	"5013"
"58"	"Place - Nawada
Date -               25/05/2011"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	" Assistant Returning Of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	""	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"
"62"	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"63"	"1"	"43"	"0"	""	"9"	"63"	"28"	"1"	"1"	"0"	"0"	"5"	"0"	"0"	"5"	"1"	"0"	"0"	"1"	"52"	"1"	"1"	"0"	"2"	"170"	"0"	"170"
"64"	"2"	"44"	"15"	""	"192"	"81"	"8"	"6"	"7"	"9"	"3"	"2"	"2"	"2"	"13"	"2"	"9"	"4"	"7"	"81"	"21"	"3"	"0"	"5"	"472"	"0"	"472"
"65"	"3"	"45"	"1"	""	"21"	"98"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"8"	"1"	"0"	"1"	"0"	"272"	"1"	"0"	"0"	"0"	"409"	"0"	"409"
"66"	"4"	"46"	"16"	""	"237"	"77"	"14"	"4"	"7"	"11"	"5"	"3"	"3"	"97"	"4"	"3"	"13"	"10"	"10"	"19"	"7"	"4"	"0"	"5"	"549"	"0"	"549"
"67"	"5"	"47"	"12"	""	"88"	"91"	"11"	"8"	"10"	"44"	"5"	"0"	"4"	"86"	"1"	"4"	"2"	"4"	"9"	"47"	"11"	"7"	"1"	"5"	"450"	"0"	"450"
"68"	"6"	"48"	"10"	""	"149"	"54"	"1"	"6"	"10"	"10"	"2"	"6"	"19"	"269"	"10"	"6"	"4"	"8"	"16"	"4"	"2"	"2"	"3"	"2"	"593"	"0"	"593"
"69"	"7"	"49"	"5"	""	"74"	"54"	"9"	"12"	"3"	"10"	"4"	"9"	"3"	"5"	"21"	"4"	"5"	"1"	"7"	"12"	"1"	"0"	"0"	"1"	"240"	"0"	"240"
"70"	"8"	"50"	"5"	""	"38"	"41"	"154"	"10"	"2"	"1"	"3"	"14"	"5"	"2"	"48"	"1"	"3"	"5"	"6"	"32"	"1"	"6"	"2"	"2"	"381"	"0"	"381"
"71"	"9"	"51"	"7"	""	"60"	"48"	"22"	"6"	"3"	"2"	"3"	"0"	"5"	"13"	"8"	"3"	"2"	"4"	"7"	"28"	"7"	"1"	"6"	"10"	"245"	"0"	"245"
"72"	"10"	"52"	"19"	""	"17"	"35"	"5"	"1"	"2"	"5"	"5"	"0"	"4"	"2"	"8"	"3"	"5"	"6"	"12"	"31"	"0"	"0"	"4"	"2"	"166"	"0"	"166"
"73"	"11"	"53"	"16"	""	"169"	"32"	"17"	"6"	"7"	"54"	"4"	"7"	"3"	"36"	"35"	"6"	"11"	"9"	"15"	"19"	"5"	"0"	"1"	"8"	"460"	"0"	"460"
"74"	"12"	"54"	"6"	""	"100"	"108"	"13"	"4"	"2"	"11"	"9"	"4"	"4"	"77"	"23"	"6"	"11"	"9"	"13"	"3"	"1"	"1"	"4"	"8"	"417"	"0"	"417"
"75"	"13"	"55"	"19"	""	"47"	"28"	"75"	"34"	"4"	"2"	"3"	"0"	"10"	"147"	"50"	"5"	"3"	"5"	"7"	"23"	"4"	"5"	"5"	"8"	"484"	"0"	"484"
"76"	"14"	"56"	"15"	""	"86"	"17"	"51"	"12"	"6"	"7"	"6"	"4"	"12"	"70"	"122"	"10"	"21"	"10"	"24"	"10"	"1"	"3"	"0"	"6"	"493"	"0"	"493"
"77"	"ROUND- 4"	""	"146"	""	"1287"	"827"	"414"	"110"	"64"	"166"	"52"	"54"	"74"	"806"	"356"	"55"	"89"	"76"	"134"	"633"	"63"	"33"	"26"	"64"	"5529"	"0"	"5529"
"78"	"Place - Nawada
Date -               25/05/2011"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	" Assistant Returning Of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	""	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"
"82"	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"83"	"1"	"57"	"10"	""	"26"	"97"	"1"	"2"	"6"	"1"	"4"	"2"	"8"	"48"	"14"	"6"	"7"	"5"	"15"	"19"	"14"	"18"	"157"	"8"	"468"	"0"	"468"
"84"	"2"	"58"	"3"	""	"88"	"30"	"60"	"9"	"3"	"10"	"9"	"1"	"7"	"25"	"49"	"9"	"8"	"9"	"3"	"10"	"3"	"0"	"4"	"4"	"344"	"0"	"344"
"85"	"3"	"59"	"14"	""	"105"	"20"	"219"	"16"	"2"	"1"	"5"	"3"	"8"	"12"	"217"	"11"	"5"	"3"	"3"	"24"	"0"	"3"	"3"	"5"	"679"	"0"	"679"
"86"	"4"	"60"	"3"	""	"30"	"2"	"194"	"2"	"1"	"0"	"1"	"0"	"1"	"1"	"52"	"3"	"2"	"0"	"0"	"28"	"0"	"0"	"0"	"1"	"321"	"0"	"321"
"87"	"5"	"61"	"7"	""	"58"	"20"	"54"	"8"	"6"	"1"	"4"	"2"	"9"	"12"	"115"	"24"	"19"	"12"	"10"	"62"	"9"	"6"	"17"	"12"	"467"	"0"	"467"
"88"	"6"	"62"	"16"	""	"6"	"15"	"38"	"5"	"2"	"1"	"2"	"3"	"2"	"13"	"100"	"5"	"12"	"3"	"4"	"36"	"6"	"5"	"73"	"7"	"354"	"0"	"354"
"89"	"7"	"63"	"2"	""	"14"	"9"	"150"	"1"	"1"	"0"	"0"	"0"	"3"	"1"	"22"	"6"	"3"	"1"	"0"	"9"	"0"	"1"	"5"	"3"	"231"	"0"	"231"
"90"	"8"	"64"	"8"	""	"143"	"66"	"27"	"13"	"2"	"1"	"3"	"1"	"4"	"2"	"93"	"2"	"8"	"5"	"4"	"9"	"2"	"2"	"3"	"5"	"403"	"0"	"403"
"91"	"9"	"65"	"3"	""	"142"	"14"	"33"	"2"	"0"	"0"	"1"	"1"	"2"	"0"	"26"	"3"	"3"	"3"	"15"	"21"	"3"	"1"	"7"	"0"	"280"	"0"	"280"
"92"	"10"	"66"	"25"	""	"198"	"32"	"24"	"5"	"15"	"3"	"4"	"4"	"3"	"9"	"26"	"7"	"6"	"16"	"25"	"107"	"11"	"5"	"3"	"6"	"534"	"0"	"534"
"93"	"11"	"67"	"4"	""	"114"	"3"	"2"	"1"	"3"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"4"	"4"	"8"	"42"	"3"	"1"	"5"	"1"	"198"	"0"	"198"
"94"	"12"	"68"	"2"	""	"77"	"18"	"118"	"1"	"5"	"2"	"2"	"2"	"2"	"4"	"71"	"7"	"6"	"3"	"3"	"65"	"5"	"1"	"0"	"2"	"396"	"0"	"396"
"95"	"13"	"69"	"4"	""	"111"	"31"	"16"	"2"	"4"	"4"	"4"	"0"	"1"	"2"	"46"	"5"	"9"	"8"	"10"	"38"	"3"	"2"	"4"	"9"	"313"	"0"	"313"
"96"	"14"	"70"	"4"	""	"144"	"19"	"57"	"5"	"3"	"1"	"3"	"1"	"4"	"2"	"27"	"4"	"6"	"9"	"16"	"22"	"3"	"2"	"5"	"3"	"340"	"0"	"340"
"97"	"ROUND- 5"	""	"105"	""	"1256"	"376"	"993"	"72"	"53"	"26"	"42"	"21"	"54"	"131"	"858"	"93"	"98"	"81"	"116"	"492"	"62"	"47"	"286"	"66"	"5328"	"0"	"5328"
"98"	"Place - Nawada
Date -               25/05/2011"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	" Assistant Returning Of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	""	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"
"102"	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"103"	"1"	"71"	"12"	""	"222"	"29"	"122"	"6"	"6"	"1"	"0"	"2"	"3"	"22"	"22"	"14"	"5"	"6"	"4"	"23"	"12"	"3"	"6"	"6"	"526"	"0"	"526"
"104"	"2"	"72"	"7"	""	"47"	"5"	"78"	"0"	"6"	"2"	"3"	"1"	"3"	"2"	"77"	"2"	"3"	"1"	"3"	"101"	"8"	"2"	"3"	"7"	"361"	"0"	"361"
"105"	"3"	"73"	"1"	""	"87"	"11"	"134"	"11"	"0"	"1"	"2"	"1"	"2"	"7"	"87"	"4"	"6"	"1"	"7"	"16"	"2"	"0"	"8"	"1"	"389"	"0"	"389"
"106"	"4"	"74"	"3"	""	"87"	"14"	"91"	"3"	"0"	"0"	"2"	"0"	"2"	"1"	"69"	"7"	"8"	"5"	"2"	"0"	"0"	"0"	"0"	"1"	"295"	"0"	"295"
"107"	"5"	"75"	"3"	""	"20"	"52"	"26"	"0"	"8"	"0"	"3"	"1"	"1"	"1"	"10"	"2"	"0"	"0"	"8"	"120"	"8"	"5"	"3"	"7"	"278"	"0"	"278"
"108"	"6"	"76"	"14"	""	"84"	"47"	"66"	"11"	"6"	"2"	"2"	"10"	"6"	"10"	"65"	"14"	"13"	"7"	"24"	"38"	"4"	"4"	"8"	"6"	"441"	"0"	"441"
"109"	"7"	"77"	"5"	""	"93"	"92"	"8"	"4"	"7"	"7"	"0"	"3"	"1"	"3"	"7"	"1"	"2"	"2"	"2"	"62"	"9"	"4"	"1"	"5"	"318"	"0"	"318"
"110"	"8"	"78"	"12"	""	"137"	"88"	"22"	"5"	"2"	"5"	"4"	"1"	"2"	"1"	"14"	"1"	"4"	"1"	"4"	"28"	"2"	"4"	"5"	"6"	"348"	"0"	"348"
"111"	"9"	"79"	"46"	""	"82"	"6"	"23"	"7"	"6"	"1"	"3"	"3"	"4"	"1"	"48"	"7"	"3"	"7"	"12"	"111"	"9"	"3"	"11"	"8"	"401"	"0"	"401"
"112"	"10"	"80"	"11"	""	"73"	"36"	"36"	"1"	"2"	"2"	"1"	"2"	"1"	"0"	"18"	"6"	"10"	"4"	"8"	"38"	"4"	"3"	"2"	"5"	"263"	"0"	"263"
"113"	"11"	"81"	"9"	""	"31"	"2"	"26"	"5"	"8"	"3"	"3"	"6"	"4"	"3"	"85"	"9"	"11"	"8"	"22"	"105"	"6"	"3"	"4"	"11"	"364"	"0"	"364"
"114"	"12"	"82"	"23"	""	"38"	"14"	"1"	"3"	"5"	"7"	"1"	"1"	"6"	"1"	"99"	"6"	"15"	"6"	"16"	"65"	"1"	"4"	"5"	"3"	"320"	"0"	"320"
"115"	"13"	"83"	"10"	""	"16"	"221"	"23"	"2"	"1"	"3"	"1"	"2"	"1"	"0"	"14"	"3"	"5"	"1"	"2"	"2"	"1"	"3"	"1"	"0"	"312"	"0"	"312"
