"X."	"X.U.092E..U.0924..U.0926..U.093E..U.0928...U.0915..U.0947......U.0915....U.0938..U.0902.0"	"X..U.0928...U.0928...U.0932.f..U.0916..U.0924...U.0915..U.0947....U.092A....U.092E.....U.0926..U.092F..U.0947...U.0917..U.090F....U.0935...U.0927..U.092E..U.093E...U.092F...U.092E..U.0924....U.0915....U.0938..U.0902...U.092F..U.093E."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X.U.0915..U.0941...U.0932....U.0935...U.0927..U.092E..U.093E....U.092F...U.092E..U.0924."	"X...U.0924...U.0947...U.092A..U.0924...U.092E..U.0924..U.094B...U.0915....U.0938..U.0902...U.092F..U.093E."	"X.U.092F..U.094B..U.0917."	"X..U.0928...U.0935..U.0926..U.0924...U.092E..U.0924..U.094B...U.0915....U.0938..U.0902...U.092F..U.093E."	"X17..U.0938..U.0940...U.092E..U.0947...U.0939...U.0924..U.093E...U.0930...U.0915..U.0947....U.092C..U.093E..U.0926...U.092E..U.0924..U.0926..U.093E..U.0928...U.0938..U.0947...U.0907..U.0928..U.0915..U.093E..U.0930...U.0915..U.0930..U.0928..U.0947...U.0935..U.093E..U.0932....U.0915....U.0938..U.0902...U.092F..U.093E."
"11"	""	"9"	"16"	"10"	"156"	"342"	"7"	"2"	"1"	"1"	"26"	"0"	"4"	"0"	"2"	"2"	"0"	"2"	"571"	"0"	"571"	"0"	"0"
"12"	""	"10"	"6"	"29"	"189"	"209"	"8"	"7"	"0"	"2"	"7"	"6"	"12"	"5"	"9"	"7"	"2"	"8"	"506"	"0"	"506"	"0"	"0"
"13"	""	"11"	"6"	"3"	"48"	"255"	"4"	"7"	"0"	"1"	"13"	"3"	"4"	"4"	"12"	"1"	"4"	"12"	"377"	"0"	"377"	"0"	"0"
"14"	""	"12"	"14"	"98"	"89"	"284"	"6"	"1"	"2"	"3"	"4"	"13"	"14"	"7"	"9"	"8"	"2"	"16"	"570"	"0"	"570"	"0"	"0"
"15"	""	"13"	"35"	"9"	"111"	"202"	"3"	"0"	"1"	"0"	"6"	"1"	"4"	"2"	"2"	"3"	"1"	"2"	"382"	"0"	"382"	"0"	"0"
"16"	""	"14"	"5"	"17"	"508"	"28"	"2"	"3"	"0"	"0"	"5"	"1"	"0"	"1"	"1"	"0"	"2"	"1"	"574"	"0"	"574"	"0"	"0"
"17"	"<U+092F><U+094B><U+0917>"	""	"293"	"280"	"2331"	"2198"	"58"	"66"	"10"	"21"	"260"	"44"	"65"	"35"	"68"	"47"	"27"	"79"	"5882"	"0"	"5882"	"0"	"0"
"18"	""	"15"	"207"	"3"	"71"	"51"	"2"	"15"	"1"	"3"	"14"	"0"	"5"	"1"	"0"	"5"	"1"	"1"	"380"	"0"	"380"	"0"	"0"
"19"	""	"16"	"23"	"53"	"181"	"117"	"10"	"2"	"2"	"3"	"31"	"2"	"4"	"4"	"9"	"6"	"3"	"15"	"465"	"0"	"465"	"0"	"0"
"20"	""	"17"	"199"	"17"	"89"	"144"	"5"	"3"	"1"	"3"	"1"	"2"	"7"	"3"	"6"	"4"	"3"	"11"	"498"	"0"	"498"	"0"	"0"
"21"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"17 <U+0938><U+0940> <U+092E><U+0947>
<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>  <U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930> <U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"
"22"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"23"	""	"18"	"9"	"1"	"221"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"234"	"0"	"234"	"0"	"0"
"24"	""	"19"	"33"	"9"	"119"	"358"	"6"	"6"	"0"	"3"	"6"	"2"	"9"	"1"	"4"	"1"	"1"	"2"	"560"	"0"	"560"	"0"	"0"
"25"	""	"20"	"9"	"44"	"165"	"294"	"13"	"8"	"1"	"2"	"8"	"5"	"6"	"5"	"11"	"3"	"6"	"11"	"591"	"0"	"591"	"0"	"0"
"26"	""	"21"	"3"	"36"	"35"	"317"	"6"	"2"	"0"	"2"	"50"	"6"	"1"	"1"	"1"	"1"	"0"	"0"	"461"	"0"	"461"	"0"	"0"
"27"	""	"22"	"22"	"23"	"169"	"229"	"9"	"9"	"3"	"5"	"14"	"2"	"6"	"2"	"9"	"5"	"4"	"16"	"527"	"0"	"527"	"0"	"0"
"28"	""	"23"	"153"	"6"	"226"	"155"	"0"	"4"	"1"	"4"	"3"	"6"	"5"	"4"	"9"	"4"	"3"	"13"	"596"	"0"	"596"	"0"	"0"
"29"	""	"24"	"156"	"6"	"115"	"264"	"8"	"13"	"0"	"0"	"14"	"4"	"7"	"1"	"3"	"3"	"1"	"4"	"599"	"0"	"599"	"0"	"0"
"30"	""	"25"	"240"	"15"	"125"	"64"	"2"	"6"	"1"	"3"	"10"	"4"	"11"	"2"	"2"	"4"	"2"	"23"	"514"	"0"	"514"	"0"	"0"
"31"	""	"26"	"54"	"21"	"40"	"188"	"2"	"13"	"1"	"1"	"3"	"2"	"5"	"4"	"5"	"1"	"0"	"3"	"343"	"0"	"343"	"0"	"0"
"32"	""	"27"	"6"	"30"	"192"	"157"	"5"	"7"	"2"	"0"	"7"	"5"	"9"	"3"	"6"	"1"	"2"	"9"	"441"	"0"	"441"	"0"	"0"
"33"	""	"28"	"116"	"3"	"103"	"96"	"2"	"3"	"0"	"1"	"4"	"1"	"0"	"1"	"1"	"2"	"1"	"2"	"336"	""	"336"	"0"	"0"
"34"	"<U+092F><U+094B><U+0917>"	""	"1230"	"267"	"1851"	"2435"	"70"	"91"	"14"	"30"	"165"	"41"	"75"	"32"	"66"	"40"	"27"	"111"	"6545"	"0"	"6545"	"0"	"0"
"35"	""	"29"	"80"	"63"	"87"	"256"	"10"	"36"	"2"	"2"	"41"	"10"	"8"	"7"	"17"	"13"	"7"	"15"	"654"	"0"	"654"	"0"	"0"
"36"	""	"30"	"108"	"54"	"59"	"386"	"6"	"25"	"2"	"1"	"9"	"2"	"3"	"0"	"1"	"1"	"0"	"2"	"659"	"0"	"659"	"0"	"0"
"37"	""	"31"	"35"	"2"	"84"	"343"	"2"	"54"	"3"	"1"	"3"	"2"	"8"	"1"	"2"	"2"	"0"	"1"	"543"	"0"	"543"	"0"	"0"
"38"	""	"32"	"67"	"0"	"54"	"250"	"3"	"35"	"3"	"3"	"6"	"1"	"2"	"0"	"1"	"1"	"1"	"0"	"427"	"0"	"427"	"0"	"0"
"39"	""	"33"	"24"	"62"	"93"	"404"	"9"	"8"	"1"	"2"	"15"	"3"	"6"	"3"	"12"	"2"	"6"	"5"	"655"	"0"	"655"	"0"	"0"
"40"	""	"34"	"24"	"14"	"19"	"394"	"2"	"24"	"0"	"1"	"11"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"491"	"0"	"491"	"0"	"0"
"41"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"17 <U+0938><U+0940> <U+092E><U+0947>
<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>  <U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930> <U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"
"42"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"43"	""	"35"	"26"	"10"	"96"	"180"	"4"	"6"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"2"	"0"	"3"	"331"	"0"	"331"	"0"	"0"
"44"	""	"36"	"30"	"0"	"51"	"319"	"3"	"6"	"2"	"0"	"46"	"2"	"6"	"2"	"2"	"3"	"2"	"2"	"476"	"0"	"476"	"0"	"0"
"45"	""	"37"	"8"	"71"	"56"	"141"	"3"	"4"	"0"	"1"	"13"	"0"	"3"	"0"	"5"	"3"	"1"	"4"	"313"	"0"	"313"	"0"	"0"
"46"	""	"38"	"92"	"38"	"166"	"245"	"2"	"7"	"4"	"4"	"4"	"0"	"2"	"1"	"6"	"3"	"0"	"2"	"576"	"0"	"576"	"0"	"0"
"47"	""	"39"	"14"	"97"	"250"	"206"	"6"	"3"	"0"	"2"	"15"	"4"	"6"	"4"	"8"	"4"	"6"	"15"	"640"	"0"	"640"	"0"	"0"
"48"	""	"40"	"19"	"62"	"195"	"82"	"6"	"2"	"2"	"4"	"20"	"5"	"6"	"1"	"4"	"13"	"1"	"13"	"435"	"0"	"435"	"0"	"0"
"49"	""	"41"	"63"	"17"	"259"	"150"	"3"	"6"	"2"	"3"	"1"	"2"	"6"	"2"	"9"	"3"	"5"	"11"	"542"	"0"	"542"	"0"	"0"
"50"	""	"42"	"41"	"114"	"215"	"206"	"18"	"6"	"3"	"3"	"10"	"6"	"10"	"2"	"25"	"6"	"3"	"11"	"679"	"0"	"679"	"0"	"0"
"51"	"<U+092F><U+094B><U+0917>"	""	"631"	"604"	"1684"	"3562"	"77"	"222"	"24"	"27"	"194"	"38"	"67"	"24"	"94"	"56"	"32"	"85"	"7421"	"0"	"7421"	"0"	"0"
"52"	""	"43"	"36"	"24"	"76"	"242"	"12"	"4"	"4"	"8"	"116"	"4"	"9"	"3"	"5"	"4"	"0"	"11"	"558"	"0"	"558"	"0"	"0"
"53"	""	"44"	"18"	"25"	"442"	"63"	"1"	"2"	"1"	"0"	"5"	"1"	"4"	"0"	"0"	"3"	"0"	"1"	"566"	"0"	"566"	"0"	"0"
"54"	""	"45"	"0"	"1"	"269"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"276"	"0"	"276"	"0"	"0"
"55"	""	"46"	"24"	"28"	"134"	"316"	"2"	"4"	"0"	"1"	"8"	"2"	"12"	"2"	"5"	"4"	"0"	"1"	"543"	"0"	"543"	"0"	"0"
"56"	""	"47"	"70"	"17"	"19"	"89"	"4"	"2"	"0"	"0"	"2"	"0"	"1"	"1"	"1"	"1"	"2"	"5"	"214"	"0"	"214"	"0"	"0"
"57"	""	"48"	"5"	"1"	"78"	"154"	"4"	"2"	"0"	"0"	"25"	"2"	"3"	"0"	"4"	"0"	"1"	"6"	"285"	"0"	"285"	"0"	"0"
"58"	""	"49"	"143"	"7"	"38"	"143"	"5"	"2"	"1"	"0"	"1"	"0"	"6"	"3"	"3"	"2"	"2"	"5"	"361"	"0"	"361"	"0"	"0"
"59"	""	"50"	"8"	"4"	"70"	"164"	"2"	"0"	"2"	"1"	"17"	"2"	"3"	"2"	"5"	"3"	"3"	"3"	"289"	"0"	"289"	"0"	"0"
"60"	""	"51"	"34"	"47"	"86"	"216"	"3"	"6"	"1"	"2"	"5"	"3"	"2"	"1"	"4"	"8"	"2"	"7"	"427"	"0"	"427"	"0"	"0"
"61"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"17 <U+0938><U+0940> <U+092E><U+0947>
<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>  <U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930> <U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"
"62"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"63"	""	"52"	"81"	"6"	"210"	"140"	"3"	"14"	"0"	"1"	"3"	"0"	"3"	"0"	"2"	"1"	"0"	"0"	"464"	"0"	"464"	"0"	"0"
"64"	""	"53"	"4"	"15"	"262"	"289"	"7"	"0"	"0"	"1"	"46"	"2"	"2"	"1"	"5"	"3"	"2"	"5"	"644"	"0"	"644"	"0"	"0"
"65"	""	"54"	"5"	"7"	"113"	"332"	"14"	"4"	"3"	"5"	"81"	"7"	"8"	"2"	"8"	"3"	"1"	"3"	"596"	"0"	"596"	"0"	"0"
"66"	""	"55"	"7"	"24"	"36"	"457"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"529"	"0"	"529"	"0"	"0"
"67"	""	"56"	"0"	"8"	"296"	"17"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"2"	"0"	"0"	"328"	"0"	"328"	"0"	"0"
"68"	"<U+092F><U+094B><U+0917>"	""	"435"	"214"	"2129"	"2625"	"58"	"44"	"12"	"19"	"311"	"24"	"53"	"15"	"45"	"35"	"13"	"48"	"6080"	"0"	"6080"	"0"	"0"
"69"	""	"57"	"20"	"87"	"291"	"123"	"6"	"3"	"1"	"2"	"15"	"6"	"6"	"3"	"3"	"4"	"2"	"7"	"579"	"0"	"579"	"0"	"0"
"70"	""	"58"	"32"	"11"	"236"	"186"	"7"	"3"	"2"	"2"	"83"	"3"	"9"	"3"	"4"	"5"	"1"	"6"	"593"	"0"	"593"	"0"	"0"
"71"	""	"59"	"9"	"7"	"28"	"412"	"3"	"1"	"2"	"1"	"35"	"1"	"7"	"3"	"7"	"0"	"0"	"10"	"526"	"0"	"526"	"0"	"0"
"72"	""	"60"	"2"	"1"	"48"	"85"	"1"	"0"	"1"	"0"	"7"	"0"	"1"	"0"	"2"	"2"	"0"	"0"	"150"	"0"	"150"	"0"	"0"
"73"	""	"61"	"13"	"20"	"239"	"31"	"5"	"3"	"2"	"1"	"32"	"3"	"2"	"1"	"2"	"11"	"1"	"5"	"371"	"0"	"371"	"0"	"0"
"74"	""	"62"	"33"	"47"	"19"	"226"	"13"	"1"	"3"	"6"	"94"	"5"	"9"	"2"	"5"	"1"	"4"	"4"	"472"	"0"	"472"	"0"	"0"
"75"	""	"63"	"14"	"72"	"82"	"175"	"5"	"0"	"3"	"3"	"9"	"3"	"4"	"3"	"3"	"0"	"2"	"4"	"382"	"0"	"382"	"0"	"0"
"76"	""	"64"	"13"	"36"	"220"	"316"	"11"	"6"	"2"	"5"	"19"	"5"	"5"	"7"	"9"	"6"	"0"	"7"	"667"	"0"	"667"	"0"	"0"
"77"	""	"65"	"7"	"16"	"59"	"410"	"26"	"6"	"0"	"2"	"73"	"5"	"13"	"7"	"9"	"1"	"0"	"5"	"639"	"0"	"639"	"0"	"0"
"78"	""	"66"	"1"	"0"	"65"	"61"	"2"	"0"	"0"	"0"	"20"	"2"	"3"	"1"	"1"	"1"	"0"	"1"	"158"	"0"	"158"	"0"	"0"
"79"	""	"67"	"8"	"19"	"121"	"184"	"5"	"1"	"2"	"0"	"4"	"1"	"5"	"5"	"5"	"2"	"1"	"6"	"369"	"0"	"369"	"0"	"0"
"80"	""	"68"	"101"	"44"	"137"	"92"	"5"	"4"	"0"	"1"	"2"	"0"	"5"	"3"	"3"	"0"	"2"	"0"	"399"	"0"	"399"	"0"	"0"
