"fo.kku..l.Hkk..ks...l.a....k...oa.uke..01.okYehfduxj"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"fuokZpdks dh dqy  l a[ ; k&241591"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"vfUr e i fj .kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~n hu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k
; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"28"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~n hu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k
; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"29"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"30"	"15"	"13"	"388"	"9"	"5"	"4"	"2"	"4"	"5"	"2"	"2"	"2"	"1"	"3"	"6"	"12"	"20"	"478"	""	"478"	""
"31"	"16"	"28"	"486"	"61"	"26"	"12"	"3"	"4"	"3"	"1"	"2"	"1"	"1"	"5"	"3"	"5"	"6"	"647"	""	"647"	""
"32"	"17"	"5"	"295"	"6"	"14"	"4"	"0"	"1"	"1"	"1"	"1"	"2"	"1"	"2"	"0"	"3"	"5"	"341"	""	"341"	""
"33"	"18"	"12"	"469"	"6"	"30"	"23"	"1"	"3"	"3"	"1"	"6"	"0"	"3"	"0"	"5"	"10"	"7"	"579"	""	"579"	""
"34"	"19"	"11"	"287"	"10"	"48"	"19"	"5"	"6"	"3"	"2"	"2"	"0"	"3"	"1"	"5"	"8"	"4"	"414"	""	"414"	""
"35"	"20"	"27"	"102"	"131"	"84"	"3"	"4"	"1"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"1"	"2"	"358"	""	"358"	""
"36"	"21"	"30"	"385"	"3"	"9"	"1"	"0"	"4"	"0"	"1"	"1"	"2"	"1"	"1"	"3"	"10"	"13"	"464"	""	"464"	""
"37"	"22"	"34"	"211"	"0"	"86"	"20"	"5"	"5"	"6"	"3"	"3"	"5"	"3"	"1"	"1"	"0"	"5"	"388"	""	"388"	""
"38"	"23"	"62"	"389"	"15"	"116"	"8"	"4"	"23"	"2"	"7"	"5"	"4"	"5"	"5"	"12"	"15"	"44"	"716"	""	"716"	""
"39"	"24"	"18"	"130"	"36"	"60"	"8"	"4"	"5"	"4"	"1"	"1"	"0"	"1"	"1"	"3"	"1"	"6"	"279"	""	"279"	""
"40"	"25"	"63"	"168"	"5"	"13"	"1"	"0"	"2"	"1"	"0"	"2"	"1"	"0"	"1"	"2"	"0"	"9"	"268"	""	"268"	""
"41"	"26"	"118"	"193"	"12"	"102"	"3"	"0"	"4"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"5"	"440"	""	"440"	""
"42"	"27"	"94"	"288"	"13"	"27"	"9"	"2"	"5"	"2"	"0"	"1"	"1"	"1"	"1"	"2"	"3"	"5"	"454"	""	"454"	""
"43"	"28"	"22"	"395"	"31"	"117"	"21"	"7"	"21"	"4"	"3"	"6"	"4"	"4"	"6"	"7"	"9"	"13"	"670"	""	"670"	""
"44"	"VksVy"	"537"	"4186"	"338"	"737"	"136"	"37"	"88"	"34"	"22"	"32"	"24"	"26"	"28"	"50"	"77"	"144"	"6496"	"0"	"6496"	"0"
"45"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~n hu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k
; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"46"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"47"	"29"	"6"	"387"	"23"	"80"	"45"	"3"	"4"	"4"	"4"	"4"	"4"	"2"	"1"	"4"	"3"	"16"	"590"	""	"590"	""
"48"	"30"	"10"	"212"	"5"	"42"	"15"	"7"	"2"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"297"	""	"297"	""
"49"	"31"	"26"	"319"	"2"	"73"	"7"	"4"	"6"	"3"	"1"	"4"	"2"	"2"	"4"	"5"	"8"	"9"	"475"	""	"475"	""
"50"	"32"	"12"	"307"	"1"	"34"	"1"	"1"	"6"	"1"	"1"	"1"	"1"	"1"	"4"	"2"	"9"	"7"	"389"	""	"389"	""
"51"	"33"	"13"	"488"	"11"	"79"	"11"	"8"	"6"	"3"	"5"	"11"	"14"	"4"	"7"	"12"	"8"	"14"	"694"	""	"694"	""
"52"	"34"	"21"	"207"	"1"	"38"	"1"	"39"	"26"	"5"	"2"	"3"	"5"	"1"	"3"	"4"	"4"	"5"	"365"	""	"365"	""
"53"	"35"	"42"	"276"	"44"	"29"	"9"	"2"	"6"	"2"	"1"	"2"	"0"	"1"	"1"	"3"	"4"	"9"	"431"	""	"431"	""
"54"	"36"	"4"	"152"	"7"	"42"	"8"	"0"	"3"	"1"	"2"	"2"	"3"	"3"	"2"	"4"	"4"	"7"	"244"	""	"244"	""
"55"	"37"	"121"	"481"	"18"	"145"	"8"	"5"	"4"	"6"	"4"	"6"	"6"	"5"	"4"	"2"	"6"	"11"	"832"	""	"832"	""
"56"	"38"	"17"	"280"	"1"	"20"	"2"	"4"	"1"	"0"	"1"	"3"	"2"	"2"	"1"	"5"	"3"	"7"	"349"	""	"349"	""
"57"	"39"	"38"	"335"	"6"	"31"	"4"	"5"	"17"	"1"	"2"	"4"	"4"	"0"	"3"	"1"	"2"	"6"	"459"	""	"459"	""
"58"	"40"	"12"	"325"	"60"	"62"	"5"	"3"	"5"	"1"	"3"	"1"	"5"	"4"	"3"	"2"	"14"	"4"	"509"	""	"509"	""
"59"	"41"	"23"	"435"	"3"	"17"	"20"	"3"	"7"	"2"	"1"	"0"	"5"	"1"	"0"	"3"	"2"	"1"	"523"	""	"523"	""
"60"	"42"	"18"	"276"	"6"	"121"	"10"	"3"	"5"	"1"	"1"	"3"	"14"	"0"	"1"	"2"	"0"	"2"	"463"	""	"463"	""
"61"	"VksVy"	"363"	"4480"	"188"	"813"	"146"	"87"	"98"	"30"	"29"	"45"	"66"	"26"	"34"	"49"	"67"	"99"	"6620"	"0"	"6620"	"0"
"62"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~n hu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k
; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"63"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"64"	"43"	"117"	"449"	"12"	"15"	"4"	"4"	"4"	"1"	"5"	"3"	"1"	"5"	"2"	"1"	"4"	"11"	"638"	""	"638"	""
"65"	"44"	"53"	"636"	"6"	"15"	"6"	"12"	"7"	"2"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"7"	"749"	""	"749"	""
"66"	"45"	"65"	"482"	"3"	"18"	"3"	"5"	"9"	"6"	"5"	"3"	"8"	"3"	"3"	"7"	"10"	"12"	"642"	""	"642"	""
"67"	"46"	"86"	"345"	"10"	"31"	"12"	"6"	"40"	"6"	"4"	"3"	"4"	"5"	"2"	"5"	"13"	"25"	"597"	""	"597"	""
"68"	"47"	"24"	"448"	"63"	"127"	"12"	"3"	"5"	"3"	"5"	"5"	"14"	"8"	"5"	"7"	"10"	"15"	"754"	""	"754"	""
"69"	"48"	"15"	"555"	"16"	"9"	"12"	"7"	"8"	"3"	"2"	"6"	"3"	"1"	"5"	"2"	"9"	"11"	"664"	""	"664"	""
"70"	"49"	"14"	"326"	"5"	"122"	"1"	"5"	"5"	"2"	"1"	"2"	"2"	"2"	"0"	"3"	"9"	"6"	"505"	""	"505"	""
"71"	"50"	"33"	"302"	"20"	"88"	"33"	"4"	"7"	"3"	"2"	"5"	"6"	"5"	"8"	"3"	"5"	"17"	"541"	""	"541"	""
"72"	"51"	"23"	"582"	"14"	"33"	"8"	"9"	"5"	"5"	"4"	"2"	"4"	"1"	"3"	"8"	"11"	"7"	"719"	""	"719"	""
"73"	"52"	"10"	"294"	"10"	"229"	"12"	"4"	"42"	"2"	"0"	"3"	"3"	"2"	"4"	"1"	"2"	"9"	"627"	""	"627"	""
"74"	"53"	"11"	"254"	"19"	"271"	"11"	"9"	"9"	"9"	"2"	"2"	"0"	"4"	"3"	"1"	"7"	"10"	"622"	""	"622"	""
"75"	"54"	"13"	"93"	"4"	"374"	"12"	"6"	"8"	"3"	"10"	"0"	"7"	"4"	"16"	"6"	"1"	"15"	"572"	""	"572"	""
"76"	"55"	"20"	"153"	"16"	"579"	"22"	"7"	"5"	"4"	"1"	"4"	"2"	"5"	"12"	"12"	"8"	"21"	"871"	""	"871"	""
"77"	"56"	"23"	"345"	"40"	"84"	"12"	"3"	"8"	"8"	"4"	"8"	"6"	"5"	"7"	"7"	"9"	"37"	"606"	""	"606"	""
"78"	"VksVy"	"507"	"5264"	"238"	"1995"	"160"	"84"	"162"	"57"	"46"	"46"	"61"	"51"	"70"	"64"	"99"	"203"	"9107"	"0"	"9107"	"0"
"79"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~n hu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k
; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"80"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"81"	"57"	"4"	"165"	"103"	"96"	"32"	"7"	"3"	"3"	"2"	"2"	"7"	"5"	"4"	"5"	"6"	"8"	"452"	""	"452"	""
"82"	"58"	"45"	"322"	"13"	"76"	"35"	"1"	"14"	"3"	"1"	"6"	"21"	"3"	"1"	"3"	"6"	"16"	"566"	""	"566"	""
"83"	"59"	"34"	"482"	"29"	"26"	"11"	"8"	"166"	"10"	"5"	"6"	"8"	"2"	"3"	"3"	"6"	"11"	"810"	""	"810"	""
"84"	"60"	"56"	"430"	"7"	"35"	"12"	"5"	"4"	"3"	"7"	"5"	"0"	"1"	"2"	"2"	"1"	"8"	"578"	""	"578"	""
"85"	"61"	"204"	"306"	"8"	"13"	"17"	"5"	"8"	"8"	"6"	"5"	"6"	"3"	"5"	"5"	"9"	"10"	"618"	""	"618"	""
"86"	"62"	"34"	"432"	"76"	"96"	"28"	"6"	"22"	"4"	"2"	"2"	"12"	"5"	"3"	"4"	"6"	"13"	"745"	""	"745"	""
"87"	"63"	"11"	"287"	"6"	"8"	"3"	"4"	"3"	"1"	"2"	"1"	"1"	"0"	"0"	"2"	"4"	"7"	"340"	""	"340"	""
"88"	"64"	"15"	"462"	"31"	"15"	"22"	"4"	"6"	"6"	"2"	"2"	"4"	"3"	"3"	"2"	"7"	"5"	"589"	""	"589"	""
"89"	"65"	"17"	"408"	"40"	"17"	"3"	"3"	"10"	"2"	"5"	"5"	"3"	"4"	"4"	"4"	"8"	"6"	"539"	""	"539"	""
"90"	"66"	"47"	"561"	"38"	"112"	"13"	"8"	"5"	"4"	"5"	"3"	"2"	"6"	"7"	"3"	"9"	"14"	"837"	""	"837"	""
"91"	"67"	"10"	"299"	"13"	"31"	"4"	"2"	"8"	"1"	"1"	"3"	"5"	"2"	"1"	"2"	"1"	"5"	"388"	""	"388"	""
"92"	"68"	"49"	"420"	"8"	"22"	"8"	"5"	"37"	"2"	"6"	"6"	"34"	"4"	"2"	"4"	"3"	"7"	"617"	""	"617"	""
"93"	"69"	"21"	"660"	"6"	"11"	"9"	"5"	"62"	"3"	"2"	"3"	"0"	"1"	"0"	"4"	"5"	"5"	"797"	""	"797"	""
"94"	"70"	"9"	"372"	"9"	"14"	"6"	"34"	"97"	"2"	"8"	"8"	"3"	"4"	"4"	"2"	"4"	"3"	"579"	""	"579"	""
"95"	"VksVy"	"556"	"5606"	"387"	"572"	"203"	"97"	"445"	"52"	"54"	"57"	"106"	"43"	"39"	"45"	"75"	"118"	"8455"	"0"	"8455"	"0"
"96"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~n hu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k
; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"97"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"98"	"71"	"6"	"443"	"8"	"20"	"30"	"10"	"16"	"5"	"5"	"10"	"2"	"11"	"9"	"9"	"14"	"25"	"623"	""	"623"	""
"99"	"72"	"17"	"342"	"30"	"9"	"4"	"5"	"72"	"2"	"6"	"6"	"3"	"1"	"0"	"6"	"7"	"2"	"512"	""	"512"	""
"100"	"73"	"11"	"402"	"42"	"16"	"4"	"7"	"76"	"2"	"1"	"6"	"2"	"2"	"5"	"1"	"10"	"5"	"592"	""	"592"	""
"101"	"74"	"16"	"403"	"51"	"37"	"6"	"11"	"7"	"0"	"2"	"5"	"5"	"0"	"3"	"2"	"3"	"3"	"554"	""	"554"	""
"102"	"75"	"17"	"677"	"64"	"45"	"14"	"8"	"8"	"7"	"6"	"6"	"2"	"4"	"4"	"6"	"6"	"7"	"881"	""	"881"	""
"103"	"76"	"6"	"429"	"23"	"38"	"18"	"1"	"3"	"0"	"0"	"1"	"3"	"1"	"1"	"0"	"0"	"2"	"526"	""	"526"	""
"104"	"77"	"34"	"271"	"17"	"4"	"15"	"1"	"3"	"1"	"0"	"0"	"11"	"0"	"2"	"0"	"1"	"4"	"364"	""	"364"	""
"105"	"78"	"47"	"355"	"8"	"13"	"12"	"6"	"1"	"3"	"3"	"1"	"1"	"1"	"1"	"1"	"3"	"1"	"457"	""	"457"	""
"106"	"79"	"18"	"387"	"27"	"30"	"13"	"6"	"14"	"12"	"4"	"6"	"1"	"1"	"2"	"3"	"4"	"12"	"540"	""	"540"	""
"107"	"80"	"11"	"145"	"27"	"36"	"16"	"2"	"1"	"3"	"1"	"3"	"0"	"3"	"2"	"4"	"8"	"13"	"275"	""	"275"	""
"108"	"81"	"30"	"426"	"64"	"46"	"27"	"2"	"4"	"2"	"2"	"3"	"5"	"4"	"1"	"0"	"4"	"7"	"627"	""	"627"	""
"109"	"82"	"86"	"307"	"24"	"22"	"6"	"1"	"160"	"1"	"0"	"2"	"1"	"0"	"2"	"0"	"1"	"2"	"615"	""	"615"	""
"110"	"83"	"15"	"399"	"134"	"18"	"13"	"9"	"1"	"2"	"2"	"3"	"13"	"4"	"4"	"7"	"5"	"3"	"632"	""	"632"	""
"111"	"84"	"10"	"349"	"39"	"30"	"10"	"2"	"0"	"3"	"2"	"4"	"30"	"2"	"1"	"4"	"4"	"2"	"492"	""	"492"	""
"112"	"VksVy"	"324"	"5335"	"558"	"364"	"188"	"71"	"366"	"43"	"34"	"56"	"79"	"34"	"37"	"43"	"70"	"88"	"7690"	"0"	"7690"	"0"
"113"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~n hu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k
; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"114"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"115"	"85"	"7"	"484"	"9"	"5"	"16"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"2"	"527"	""	"527"	""
"116"	"86"	"0"	"112"	"168"	"16"	"25"	"0"	"3"	"8"	"2"	"0"	"1"	"0"	"1"	"3"	"4"	"5"	"348"	""	"348"	""
"117"	"87"	"5"	"312"	"14"	"72"	"19"	"1"	"1"	"2"	"1"	"1"	"16"	"1"	"4"	"0"	"1"	"1"	"451"	""	"451"	""
"118"	"88"	"12"	"180"	"166"	"25"	"15"	"4"	"17"	"234"	"7"	"2"	"5"	"2"	"5"	"4"	"5"	"3"	"686"	""	"686"	""
"119"	"89"	"29"	"444"	"37"	"28"	"6"	"2"	"4"	"1"	"8"	"4"	"13"	"2"	"5"	"7"	"11"	"13"	"614"	""	"614"	""
"120"	"90"	"10"	"306"	"19"	"92"	"1"	"3"	"7"	"5"	"2"	"1"	"5"	"4"	"2"	"3"	"13"	"9"	"482"	""	"482"	""
"121"	"91"	"15"	"280"	"22"	"16"	"3"	"0"	"1"	"2"	"2"	"0"	"3"	"3"	"4"	"3"	"13"	"14"	"381"	""	"381"	""
"122"	"92"	"51"	"214"	"8"	"10"	"82"	"2"	"2"	"3"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"1"	"382"	""	"382"	""
"123"	"93"	"27"	"336"	"71"	"35"	"15"	"5"	"9"	"2"	"3"	"10"	"3"	"1"	"1"	"3"	"0"	"5"	"526"	""	"526"	""
"124"	"94"	"15"	"262"	"88"	"145"	"89"	"3"	"9"	"1"	"0"	"4"	"28"	"7"	"11"	"3"	"3"	"16"	"684"	""	"684"	""
"125"	"95"	"7"	"183"	"208"	"5"	"57"	"3"	"5"	"1"	"0"	"0"	"6"	"0"	"0"	"1"	"2"	"1"	"479"	""	"479"	""
"126"	"96"	"18"	"271"	"161"	"13"	"39"	"5"	"3"	"5"	"2"	"1"	"6"	"2"	"2"	"1"	"8"	"9"	"546"	""	"546"	""
"127"	"97"	"13"	"363"	"138"	"23"	"93"	"4"	"2"	"4"	"4"	"3"	"10"	"2"	"1"	"4"	"4"	"4"	"672"	""	"672"	""
"128"	"98"	"17"	"299"	"123"	"38"	"56"	"3"	"2"	"2"	"4"	"7"	"2"	"2"	"3"	"6"	"3"	"7"	"574"	""	"574"	""
"129"	"VksVy"	"226"	"4046"	"1232"	"523"	"516"	"36"	"65"	"270"	"36"	"35"	"99"	"27"	"40"	"40"	"71"	"90"	"7352"	"0"	"7352"	"0"
"130"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~n hu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k
; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"131"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
