"Sl..No."	"No..of.Polling.Station"	"No..of.Valid.votes.cast..in..favour..of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"Total.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tendere.d.votes"
"16"	"12"	"12"	"10"	"113"	"9"	"152"	"40"	"10"	"332"	"9"	"3"	"4"	"5"	"4"	"691"	"0"	"691"	""
"17"	"13"	"13"	"260"	"81"	"10"	"127"	"24"	"2"	"7"	"2"	"0"	"2"	"4"	"4"	"523"	"0"	"523"	""
"18"	"14"	"14"	"136"	"22"	"1"	"126"	"22"	"12"	"270"	"8"	"5"	"5"	"2"	"4"	"613"	"0"	"613"	""
"19"	"15"	"15"	"11"	"13"	"1"	"49"	"16"	"3"	"38"	"1"	"4"	"3"	"3"	"1"	"143"	"0"	"143"	""
"20"	"16"	"16"	"62"	"188"	"5"	"278"	"45"	"7"	"103"	"1"	"3"	"1"	"3"	"0"	"696"	"0"	"696"	""
"21"	"17"	"17"	"86"	"218"	"16"	"194"	"30"	"5"	"39"	"4"	"4"	"0"	"2"	"4"	"602"	"0"	"602"	""
"22"	"18"	"18"	"42"	"189"	"12"	"252"	"19"	"4"	"2"	"3"	"6"	"6"	"5"	"12"	"552"	"0"	"552"	""
"23"	"19"	"19"	"177"	"43"	"5"	"114"	"39"	"5"	"29"	"2"	"3"	"3"	"2"	"10"	"432"	"0"	"432"	""
"24"	"20"	"20"	"404"	"6"	"1"	"21"	"16"	"2"	"2"	"0"	"1"	"0"	"0"	"4"	"457"	"0"	"457"	""
"25"	"21"	"21"	"85"	"57"	"7"	"115"	"102"	"10"	"24"	"6"	"7"	"7"	"13"	"14"	"447"	"0"	"447"	""
"26"	"22"	"22"	"58"	"58"	"5"	"56"	"15"	"2"	"3"	"3"	"0"	"0"	"2"	"8"	"210"	"0"	"210"	""
"27"	"23"	"23"	"281"	"29"	"27"	"209"	"9"	"6"	"3"	"1"	"2"	"1"	"0"	"12"	"580"	"0"	"580"	""
"28"	"24"	"24"	"189"	"76"	"18"	"263"	"28"	"10"	"4"	"1"	"7"	"2"	"2"	"5"	"605"	"0"	"605"	""
"29"	"25"	"25"	"71"	"67"	"2"	"260"	"27"	"7"	"18"	"5"	"5"	"3"	"1"	"4"	"470"	"0"	"470"	""
"30"	"26"	"26"	"239"	"61"	"5"	"141"	"16"	"8"	"3"	"3"	"1"	"2"	"3"	"12"	"494"	"0"	"494"	""
"31"	"27"	"27"	"217"	"45"	"4"	"82"	"8"	"1"	"4"	"0"	"0"	"1"	"1"	"2"	"365"	"0"	"365"	""
"32"	"28"	"28"	"127"	"20"	"7"	"79"	"5"	"2"	"0"	"1"	"1"	"0"	"1"	"1"	"244"	"0"	"244"	""
"33"	"29"	"29"	"76"	"87"	"5"	"28"	"3"	"0"	"1"	"0"	"0"	"1"	"1"	"5"	"207"	"0"	"207"	""
"34"	"30"	"30"	"76"	"31"	"5"	"242"	"12"	"5"	"2"	"2"	"6"	"2"	"2"	"13"	"398"	"0"	"398"	""
"35"	"31"	"31"	"116"	"34"	"5"	"487"	"16"	"6"	"4"	"2"	"5"	"2"	"1"	"3"	"681"	"0"	"681"	""
"36"	"32"	"32"	"28"	"44"	"11"	"274"	"28"	"11"	"1"	"1"	"1"	"1"	"1"	"4"	"405"	"0"	"405"	""
"37"	"33"	"33"	"96"	"30"	"9"	"158"	"19"	"5"	"1"	"4"	"3"	"3"	"1"	"3"	"332"	"0"	"332"	""
"38"	"34"	"34"	"91"	"77"	"6"	"171"	"9"	"3"	"2"	"0"	"2"	"0"	"1"	"3"	"365"	"0"	"365"	""
"39"	"35"	"35"	"110"	"11"	"0"	"141"	"3"	"3"	"1"	"1"	"1"	"0"	"1"	"2"	"274"	"0"	"274"	""
"40"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendere d votes"
"41"	""	""	"AKHILES"	"ARVIND"	"GAGAND"	"RADHA"	"RAM"	"UMESH"	"NAGENDRA"	"SURESH"	"SURESH"	"JHAGAR"	"PARASN"	"MD."	""	""	""	""
"42"	""	""	"H PRASAD"	"KUMAR GUPTA"	"EO YADAV"	"MOHAN
SINGH"	"CHANDRA
PRASAD"	"KUMAR
SINGH"	"SAHANI"	"KUMAR RAJAK"	"KUMAR RAI"	"U MAHATO"	"ATHPAN DEY"	"MURTUJ A"	""	""	""	""
"43"	""	""	"SINGH"	""	""	""	""	""	""	""	""	""	""	"ANSARI"	""	""	""	""
"44"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"17"	"18"	"19"	"20"
"45"	"36"	"36"	"53"	"56"	"8"	"155"	"23"	"18"	"2"	"0"	"1"	"1"	"1"	"11"	"329"	"0"	"329"	""
"46"	"37"	"37"	"173"	"13"	"6"	"297"	"10"	"9"	"121"	"5"	"1"	"8"	"11"	"22"	"676"	"0"	"676"	""
"47"	"38"	"38"	"27"	"56"	"5"	"331"	"28"	"17"	"2"	"1"	"10"	"7"	"7"	"19"	"510"	"0"	"510"	""
"48"	"39"	"39"	"121"	"83"	"7"	"326"	"19"	"6"	"3"	"2"	"1"	"0"	"5"	"3"	"576"	"0"	"576"	""
"49"	"40"	"40"	"88"	"35"	"11"	"489"	"30"	"9"	"2"	"4"	"5"	"4"	"5"	"18"	"700"	"0"	"700"	""
"50"	"41"	"41"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"51"	"42"	"42"	"245"	"25"	"7"	"320"	"35"	"8"	"8"	"3"	"5"	"1"	"6"	"7"	"670"	"0"	"670"	""
"52"	"43"	"43"	"35"	"7"	"4"	"120"	"8"	"7"	"0"	"0"	"1"	"2"	"0"	"3"	"187"	"0"	"187"	""
"53"	"44"	"44"	"71"	"50"	"101"	"361"	"15"	"8"	"6"	"4"	"7"	"5"	"9"	"32"	"669"	"0"	"669"	""
"54"	"45"	"45"	"281"	"72"	"4"	"194"	"8"	"5"	"4"	"2"	"10"	"3"	"5"	"21"	"609"	"0"	"609"	""
"55"	"46"	"46"	"43"	"48"	"9"	"316"	"13"	"5"	"1"	"4"	"1"	"0"	"3"	"13"	"456"	"0"	"456"	""
"56"	"47"	"46  A"	"26"	"33"	"21"	"277"	"17"	"9"	"3"	"3"	"2"	"4"	"1"	"19"	"415"	"0"	"415"	""
"57"	"48"	"47"	"237"	"92"	"4"	"156"	"9"	"2"	"1"	"3"	"0"	"1"	"1"	"7"	"513"	"0"	"513"	""
"58"	"49"	"48"	"34"	"19"	"5"	"132"	"3"	"3"	"0"	"0"	"1"	"1"	"0"	"1"	"199"	"0"	"199"	""
"59"	"50"	"49"	"140"	"55"	"9"	"221"	"13"	"2"	"2"	"1"	"4"	"0"	"1"	"8"	"456"	"0"	"456"	""
"60"	"51"	"50"	"51"	"135"	"6"	"243"	"15"	"5"	"5"	"1"	"3"	"4"	"0"	"8"	"476"	"0"	"476"	""
"61"	"52"	"51"	"100"	"51"	"3"	"124"	"8"	"2"	"2"	"1"	"1"	"0"	"0"	"2"	"294"	"0"	"294"	""
"62"	"53"	"52"	"29"	"30"	"1"	"59"	"2"	"0"	"2"	"1"	"0"	"0"	"0"	"1"	"125"	"0"	"125"	""
"63"	"54"	"53"	"94"	"143"	"4"	"304"	"6"	"3"	"3"	"0"	"4"	"2"	"0"	"5"	"568"	"0"	"568"	""
"64"	"55"	"54"	"92"	"79"	"6"	"283"	"7"	"2"	"1"	"0"	"2"	"1"	"0"	"1"	"474"	"0"	"474"	""
"65"	"56"	"55"	"28"	"115"	"11"	"505"	"12"	"2"	"1"	"1"	"1"	"0"	"1"	"2"	"679"	"0"	"679"	""
"66"	"57"	"56"	"21"	"98"	"4"	"202"	"12"	"0"	"1"	"0"	"2"	"0"	"1"	"0"	"341"	"0"	"341"	""
"67"	"58"	"57"	"253"	"99"	"4"	"53"	"4"	"1"	"1"	"3"	"0"	"1"	"2"	"5"	"426"	"0"	"426"	""
"68"	"59"	"58"	"136"	"53"	"3"	"62"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"255"	"0"	"255"	""
"69"	"60"	"59"	"138"	"146"	"3"	"107"	"6"	"2"	"1"	"2"	"1"	"0"	"0"	"2"	"408"	"0"	"408"	""
"70"	"61"	"60"	"61"	"70"	"2"	"225"	"5"	"1"	"0"	"0"	"2"	"1"	"0"	"0"	"367"	"0"	"367"	""
"71"	"62"	"61"	"153"	"96"	"4"	"293"	"6"	"1"	"1"	"2"	"2"	"0"	"0"	"3"	"561"	"0"	"561"	""
"72"	"63"	"62"	"88"	"18"	"0"	"175"	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"285"	"0"	"285"	""
"73"	"64"	"63"	"7"	"71"	"1"	"336"	"6"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"425"	"0"	"425"	""
"74"	"65"	"64"	"21"	"231"	"7"	"297"	"2"	"0"	"0"	"0"	"0"	"2"	"1"	"2"	"563"	"0"	"563"	""
"75"	"66"	"65"	"85"	"120"	"4"	"511"	"9"	"1"	"0"	"3"	"4"	"0"	"4"	"3"	"744"	"0"	"744"	""
"76"	"67"	"66"	"158"	"67"	"3"	"220"	"2"	"1"	"0"	"1"	"1"	"0"	"1"	"3"	"457"	"0"	"457"	""
"77"	"68"	"67"	"125"	"120"	"9"	"235"	"7"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"497"	"0"	"497"	""
"78"	"69"	"68"	"47"	"86"	"4"	"158"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"298"	"0"	"298"	""
"79"	"70"	"69"	"32"	"131"	"0"	"308"	"5"	"3"	"0"	"0"	"2"	"0"	"0"	"2"	"483"	"0"	"483"	""
"80"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendere d votes"
"81"	""	""	"AKHILES"	"ARVIND"	"GAGAND"	"RADHA"	"RAM"	"UMESH"	"NAGENDRA"	"SURESH"	"SURESH"	"JHAGAR"	"PARASN"	"MD."	""	""	""	""
"82"	""	""	"H PRASAD"	"KUMAR GUPTA"	"EO YADAV"	"MOHAN
SINGH"	"CHANDRA
PRASAD"	"KUMAR
SINGH"	"SAHANI"	"KUMAR RAJAK"	"KUMAR RAI"	"U MAHATO"	"ATHPAN DEY"	"MURTUJ A"	""	""	""	""
"83"	""	""	"SINGH"	""	""	""	""	""	""	""	""	""	""	"ANSARI"	""	""	""	""
"84"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"17"	"18"	"19"	"20"
"85"	"71"	"70"	"294"	"140"	"2"	"107"	"3"	"1"	"0"	"0"	"1"	"0"	"1"	"3"	"552"	"0"	"552"	""
"86"	"72"	"71"	"120"	"50"	"1"	"244"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"3"	"420"	"0"	"420"	""
"87"	"73"	"72"	"236"	"54"	"0"	"204"	"1"	"3"	"0"	"1"	"0"	"0"	"1"	"4"	"504"	"0"	"504"	""
"88"	"74"	"73"	"17"	"96"	"1"	"512"	"17"	"1"	"0"	"2"	"4"	"1"	"0"	"3"	"654"	"0"	"654"	""
"89"	"75"	"74"	"28"	"72"	"3"	"313"	"5"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"422"	"0"	"422"	""
"90"	"76"	"75"	"44"	"65"	"5"	"232"	"6"	"0"	"2"	"0"	"1"	"0"	"0"	"2"	"357"	"0"	"357"	""
"91"	"77"	"76"	"43"	"39"	"9"	"406"	"30"	"5"	"0"	"1"	"7"	"2"	"1"	"7"	"550"	"0"	"550"	""
"92"	"78"	"77"	"100"	"87"	"5"	"401"	"12"	"2"	"2"	"1"	"1"	"0"	"0"	"4"	"615"	"0"	"615"	""
"93"	"79"	"78"	"160"	"111"	"4"	"337"	"17"	"3"	"5"	"1"	"5"	"6"	"1"	"10"	"660"	"0"	"660"	""
"94"	"80"	"79"	"37"	"37"	"0"	"319"	"17"	"2"	"2"	"1"	"3"	"2"	"4"	"6"	"430"	"0"	"430"	""
"95"	"81"	"80"	"33"	"64"	"4"	"418"	"9"	"0"	"0"	"4"	"4"	"2"	"2"	"7"	"547"	"0"	"547"	""
"96"	"82"	"81"	"88"	"32"	"0"	"235"	"5"	"2"	"4"	"0"	"1"	"0"	"2"	"0"	"369"	"0"	"369"	""
"97"	"83"	"82"	"89"	"73"	"3"	"436"	"7"	"1"	"1"	"1"	"5"	"1"	"2"	"10"	"629"	"0"	"629"	""
"98"	"84"	"83"	"87"	"56"	"1"	"266"	"5"	"0"	"1"	"3"	"2"	"0"	"0"	"7"	"428"	"0"	"428"	""
"99"	"85"	"84"	"325"	"131"	"3"	"79"	"1"	"2"	"2"	"0"	"1"	"0"	"0"	"6"	"550"	"0"	"550"	""
"100"	"86"	"85"	"27"	"39"	"1"	"192"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"261"	"0"	"261"	""
"101"	"87"	"86"	"357"	"160"	"3"	"88"	"5"	"1"	"0"	"0"	"0"	"2"	"0"	"5"	"621"	"0"	"621"	""
"102"	"88"	"87"	"106"	"103"	"2"	"172"	"2"	"1"	"8"	"0"	"1"	"0"	"1"	"3"	"399"	"0"	"399"	""
"103"	"89"	"88"	"90"	"55"	"1"	"387"	"5"	"1"	"6"	"0"	"4"	"1"	"2"	"2"	"554"	"0"	"554"	""
"104"	"90"	"89"	"101"	"79"	"2"	"324"	"11"	"1"	"7"	"3"	"1"	"1"	"0"	"3"	"533"	"0"	"533"	""
"105"	"91"	"90"	"61"	"36"	"1"	"312"	"12"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"425"	"0"	"425"	""
"106"	"92"	"91"	"42"	"37"	"1"	"305"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"393"	"0"	"393"	""
"107"	"93"	"92"	"35"	"24"	"1"	"301"	"6"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"370"	"0"	"370"	""
"108"	"94"	"93"	"56"	"33"	"0"	"258"	"9"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"358"	"0"	"358"	""
"109"	"95"	"94"	"62"	"66"	"10"	"276"	"8"	"0"	"1"	"2"	"1"	"2"	"3"	"5"	"436"	"0"	"436"	""
"110"	"96"	"95"	"57"	"57"	"4"	"345"	"8"	"5"	"2"	"0"	"1"	"0"	"0"	"6"	"485"	"0"	"485"	""
"111"	"97"	"96"	"21"	"18"	"9"	"206"	"3"	"0"	"3"	"0"	"1"	"1"	"0"	"0"	"262"	"0"	"262"	""
"112"	"98"	"97"	"61"	"64"	"1"	"227"	"9"	"1"	"10"	"0"	"0"	"2"	"2"	"1"	"378"	"0"	"378"	""
"113"	"99"	"98"	"127"	"42"	"6"	"230"	"6"	"2"	"0"	"0"	"0"	"1"	"0"	"1"	"415"	"0"	"415"	""
"114"	"100"	"99"	"67"	"32"	"1"	"343"	"6"	"0"	"1"	"2"	"0"	"0"	"1"	"2"	"455"	"0"	"455"	""
"115"	"101"	"100"	"39"	"64"	"6"	"231"	"4"	"0"	"1"	"1"	"0"	"0"	"2"	"1"	"349"	"0"	"349"	""
"116"	"102"	"101"	"53"	"65"	"0"	"195"	"6"	"3"	"1"	"0"	"1"	"1"	"0"	"4"	"329"	"0"	"329"	""
"117"	"103"	"102"	"15"	"22"	"2"	"208"	"1"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"252"	"0"	"252"	""
"118"	"104"	"103"	"27"	"57"	"3"	"260"	"3"	"0"	"3"	"0"	"1"	"1"	"0"	"0"	"355"	"0"	"355"	""
"119"	"105"	"104"	"64"	"81"	"16"	"288"	"7"	"2"	"6"	"0"	"3"	"2"	"1"	"3"	"473"	"0"	"473"	""
"120"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendere d votes"
"121"	""	""	"AKHILES"	"ARVIND"	"GAGAND"	"RADHA"	"RAM"	"UMESH"	"NAGENDRA"	"SURESH"	"SURESH"	"JHAGAR"	"PARASN"	"MD."	""	""	""	""
"122"	""	""	"H PRASAD"	"KUMAR GUPTA"	"EO YADAV"	"MOHAN
SINGH"	"CHANDRA
PRASAD"	"KUMAR
SINGH"	"SAHANI"	"KUMAR RAJAK"	"KUMAR RAI"	"U MAHATO"	"ATHPAN DEY"	"MURTUJ A"	""	""	""	""
"123"	""	""	"SINGH"	""	""	""	""	""	""	""	""	""	""	"ANSARI"	""	""	""	""
"124"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"17"	"18"	"19"	"20"
"125"	"106"	"105"	"82"	"53"	"3"	"326"	"5"	"0"	"3"	"0"	"0"	"1"	"0"	"1"	"474"	"0"	"474"	""
"126"	"107"	"106"	"81"	"27"	"3"	"263"	"7"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"384"	"0"	"384"	""
"127"	"108"	"107"	"102"	"10"	"0"	"166"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"284"	"0"	"284"	""
"128"	"109"	"108"	"88"	"15"	"0"	"91"	"3"	"1"	"10"	"0"	"0"	"0"	"0"	"1"	"209"	"0"	"209"	""
"129"	"110"	"109"	"77"	"21"	"2"	"185"	"8"	"4"	"34"	"1"	"2"	"1"	"3"	"3"	"341"	"0"	"341"	""
"130"	"111"	"110"	"139"	"11"	"1"	"111"	"2"	"0"	"4"	"0"	"0"	"0"	"0"	"2"	"270"	"0"	"270"	""
"131"	"112"	"111"	"70"	"10"	"0"	"98"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"180"	"0"	"180"	""
"132"	"113"	"112"	"201"	"181"	"5"	"131"	"1"	"2"	"27"	"3"	"2"	"1"	"0"	"2"	"556"	"0"	"556"	""
"133"	"114"	"113"	"166"	"32"	"1"	"119"	"4"	"0"	"11"	"1"	"0"	"1"	"1"	"3"	"339"	"0"	"339"	""
"134"	"115"	"114"	"98"	"89"	"8"	"262"	"12"	"8"	"5"	"1"	"1"	"1"	"5"	"6"	"496"	"0"	"496"	""
"135"	"116"	"115"	"49"	"144"	"6"	"212"	"5"	"2"	"9"	"0"	"0"	"2"	"5"	"6"	"440"	"0"	"440"	""
"136"	"117"	"116"	"47"	"168"	"7"	"235"	"16"	"3"	"2"	"1"	"2"	"1"	"4"	"4"	"490"	"0"	"490"	""
"137"	"118"	"117"	"53"	"148"	"6"	"187"	"13"	"3"	"1"	"0"	"2"	"0"	"1"	"5"	"419"	"0"	"419"	""
"138"	"119"	"118"	"46"	"26"	"2"	"290"	"9"	"3"	"29"	"1"	"1"	"0"	"0"	"0"	"407"	"0"	"407"	""
"139"	"120"	"119"	"58"	"49"	"2"	"341"	"11"	"0"	"7"	"1"	"1"	"0"	"0"	"0"	"470"	"0"	"470"	""
"140"	"121"	"120"	"50"	"69"	"1"	"133"	"9"	"0"	"0"	"0"	"2"	"2"	"1"	"1"	"268"	"0"	"268"	""
"141"	"122"	"121"	"101"	"195"	"4"	"349"	"11"	"2"	"6"	"1"	"0"	"0"	"1"	"0"	"670"	"0"	"670"	""
"142"	"123"	"122"	"78"	"285"	"14"	"341"	"32"	"7"	"3"	"2"	"6"	"5"	"7"	"16"	"796"	"0"	"796"	""
"143"	"124"	"123"	"64"	"319"	"66"	"114"	"26"	"5"	"5"	"0"	"3"	"1"	"2"	"2"	"607"	"0"	"607"	""
"144"	"125"	"124"	"89"	"375"	"15"	"129"	"22"	"7"	"6"	"5"	"7"	"6"	"8"	"21"	"690"	"0"	"690"	""
"145"	"126"	"125"	"58"	"136"	"4"	"152"	"8"	"1"	"0"	"0"	"2"	"0"	"1"	"1"	"363"	"0"	"363"	""
"146"	"127"	"126"	"78"	"108"	"7"	"217"	"17"	"12"	"9"	"3"	"3"	"3"	"1"	"13"	"471"	"0"	"471"	""
"147"	"128"	"127"	"172"	"184"	"33"	"276"	"31"	"9"	"7"	"3"	"4"	"4"	"5"	"6"	"734"	"0"	"734"	""
"148"	"129"	"128"	"206"	"55"	"4"	"49"	"10"	"7"	"104"	"6"	"6"	"4"	"3"	"9"	"463"	"0"	"463"	""
"149"	"130"	"129"	"48"	"146"	"3"	"31"	"7"	"6"	"4"	"3"	"1"	"4"	"2"	"5"	"260"	"0"	"260"	""
"150"	"131"	"130"	"113"	"89"	"5"	"247"	"22"	"14"	"91"	"7"	"2"	"1"	"7"	"17"	"615"	"0"	"615"	""
"151"	"132"	"131"	"75"	"53"	"3"	"170"	"10"	"5"	"25"	"6"	"1"	"5"	"1"	"8"	"362"	"0"	"362"	""
"152"	"133"	"132"	"245"	"44"	"4"	"244"	"12"	"11"	"5"	"2"	"8"	"1"	"4"	"19"	"599"	"0"	"599"	""
"153"	"134"	"133"	"301"	"18"	"3"	"72"	"9"	"4"	"2"	"3"	"0"	"0"	"2"	"4"	"418"	"0"	"418"	""
"154"	"135"	"134"	"92"	"182"	"6"	"118"	"9"	"4"	"0"	"0"	"0"	"2"	"1"	"2"	"416"	"0"	"416"	""
"155"	"136"	"135"	"102"	"34"	"3"	"314"	"13"	"12"	"33"	"2"	"4"	"2"	"1"	"8"	"528"	"0"	"528"	""
"156"	"137"	"136"	"134"	"32"	"8"	"197"	"18"	"11"	"86"	"4"	"7"	"1"	"2"	"15"	"515"	"0"	"515"	""
"157"	"138"	"137"	"52"	"20"	"4"	"453"	"31"	"12"	"78"	"4"	"2"	"1"	"3"	"10"	"670"	"0"	"670"	""
"158"	"139"	"138"	"22"	"24"	"7"	"488"	"17"	"3"	"2"	"1"	"1"	"2"	"0"	"8"	"575"	"0"	"575"	""
"159"	"140"	"139"	"39"	"25"	"1"	"273"	"26"	"1"	"18"	"0"	"4"	"0"	"0"	"1"	"388"	"0"	"388"	""
"160"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendere d votes"
"161"	""	""	"AKHILES"	"ARVIND"	"GAGAND"	"RADHA"	"RAM"	"UMESH"	"NAGENDRA"	"SURESH"	"SURESH"	"JHAGAR"	"PARASN"	"MD."	""	""	""	""
"162"	""	""	"H PRASAD"	"KUMAR GUPTA"	"EO YADAV"	"MOHAN
SINGH"	"CHANDRA
PRASAD"	"KUMAR
SINGH"	"SAHANI"	"KUMAR RAJAK"	"KUMAR RAI"	"U MAHATO"	"ATHPAN DEY"	"MURTUJ A"	""	""	""	""
"163"	""	""	"SINGH"	""	""	""	""	""	""	""	""	""	""	"ANSARI"	""	""	""	""
"164"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"17"	"18"	"19"	"20"
"165"	"141"	"140"	"21"	"24"	"3"	"239"	"0"	"5"	"1"	"2"	"2"	"1"	"1"	"1"	"300"	"0"	"300"	""
"166"	"142"	"141"	"167"	"176"	"74"	"189"	"21"	"7"	"39"	"1"	"8"	"4"	"4"	"16"	"706"	"0"	"706"	""
"167"	"143"	"142"	"134"	"100"	"40"	"255"	"14"	"6"	"10"	"1"	"0"	"2"	"1"	"6"	"569"	"0"	"569"	""
"168"	"144"	"143"	"17"	"14"	"5"	"53"	"3"	"5"	"202"	"1"	"2"	"2"	"4"	"2"	"310"	"0"	"310"	""
"169"	"145"	"144"	"158"	"16"	"0"	"61"	"3"	"2"	"3"	"1"	"1"	"3"	"0"	"6"	"254"	"0"	"254"	""
"170"	"146"	"145"	"260"	"71"	"13"	"218"	"55"	"12"	"1"	"4"	"4"	"6"	"5"	"15"	"664"	"0"	"664"	""
"171"	"147"	"146"	"44"	"16"	"0"	"101"	"11"	"3"	"15"	"1"	"2"	"2"	"0"	"5"	"200"	"0"	"200"	""
"172"	"148"	"147"	"68"	"149"	"8"	"241"	"21"	"10"	"11"	"0"	"8"	"3"	"6"	"30"	"555"	"0"	"555"	""
"173"	"149"	"148"	"133"	"79"	"8"	"337"	"18"	"13"	"2"	"4"	"5"	"4"	"7"	"11"	"621"	"0"	"621"	""
"174"	"150"	"149"	"12"	"3"	"4"	"138"	"15"	"5"	"1"	"0"	"2"	"0"	"0"	"0"	"180"	"0"	"180"	""
"175"	"151"	"150"	"52"	"19"	"15"	"382"	"45"	"15"	"12"	"3"	"13"	"6"	"2"	"16"	"580"	"0"	"580"	""
"176"	"152"	"151"	"214"	"59"	"42"	"172"	"30"	"15"	"10"	"5"	"8"	"4"	"5"	"7"	"571"	"0"	"571"	""
"177"	"153"	"152"	"196"	"67"	"36"	"154"	"30"	"7"	"14"	"1"	"3"	"3"	"3"	"14"	"528"	"0"	"528"	""
