"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations) Election of the HOUSE OF PEOPLE From the 14 - DARBHANGA PARLIAMENTARY Constituency PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be used for Parliamentary and Assembly elections) Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…79 - GAURA BAURAM Total No. of electors in Assembly constituency / Segment    : 191746"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"70"	"60"	"60"	"28"	"185"	"181"	"4"	"0"	"1"	"0"	"1"	"0"	"3"	"2"	"4"	"12"	"12"	"433"	"-"	"433"	""
"71"	"61"	"61"	"47"	"284"	"106"	"3"	"0"	"1"	"2"	"1"	"4"	"0"	"6"	"4"	"18"	"17"	"493"	"-"	"493"	""
"72"	"62"	"62"	"22"	"62"	"392"	"10"	"5"	"2"	"2"	"1"	"6"	"3"	"3"	"9"	"12"	"23"	"552"	"-"	"552"	""
"73"	"63"	"63"	"19"	"71"	"100"	"3"	"0"	"0"	"1"	"2"	"0"	"2"	"0"	"2"	"7"	"8"	"215"	"-"	"215"	""
"74"	"64"	"64"	"84"	"88"	"404"	"13"	"2"	"8"	"3"	"6"	"5"	"6"	"3"	"16"	"12"	"13"	"663"	"-"	"663"	""
"75"	"65"	"65"	"13"	"149"	"291"	"8"	"3"	"2"	"2"	"3"	"2"	"2"	"4"	"10"	"15"	"15"	"519"	"-"	"519"	""
"76"	"66"	"66"	"12"	"60"	"366"	"14"	"4"	"3"	"3"	"6"	"2"	"14"	"4"	"19"	"14"	"47"	"568"	"-"	"568"	""
"77"	"67"	"67"	"14"	"168"	"328"	"4"	"2"	"4"	"4"	"11"	"6"	"10"	"6"	"5"	"14"	"16"	"592"	"-"	"592"	""
"78"	"68"	"68"	"39"	"113"	"368"	"12"	"4"	"8"	"3"	"13"	"2"	"16"	"4"	"13"	"11"	"27"	"633"	"-"	"633"	""
"79"	"69"	"69"	"14"	"254"	"87"	"2"	"1"	"3"	"1"	"2"	"6"	"5"	"1"	"1"	"2"	"6"	"385"	"-"	"385"	""
"80"	"70"	"70"	"104"	"151"	"235"	"8"	"4"	"9"	"0"	"4"	"2"	"7"	"14"	"10"	"30"	"26"	"604"	"-"	"604"	""
"81"	"71"	"71"	"97"	"152"	"129"	"9"	"3"	"5"	"4"	"8"	"5"	"3"	"3"	"5"	"9"	"6"	"438"	"-"	"438"	""
"82"	"72"	"72"	"193"	"11"	"209"	"12"	"3"	"6"	"3"	"2"	"4"	"6"	"5"	"7"	"10"	"22"	"493"	"-"	"493"	""
"83"	"73"	"73"	"118"	"31"	"166"	"3"	"2"	"1"	"2"	"1"	"0"	"1"	"2"	"3"	"8"	"10"	"348"	"-"	"348"	""
"84"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"85"	""	""	"Ajay Kumar Jalan"	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Yugeshwar Sahni"	"Kumari Sureshwari"	"Md.
Khursheed Alam"	"Durga Nand
Mahabir Nayak"	"Md.
Nizamu ddin"	"Sathy Narayn Mukhiya"	"Abdur Rahim"	"Govind Acharya"	"Bharat Yadav"	"Lal Bahadur
Yadav"	"Prof. Hareram Acharya"	""	""	""	""
"86"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"87"	"74"	"74"	"47"	"325"	"21"	"0"	"2"	"1"	"3"	"1"	"1"	"1"	"1"	"1"	"3"	"2"	"409"	"-"	"409"	""
"88"	"75"	"75"	"29"	"321"	"7"	"0"	"1"	"7"	"1"	"0"	"2"	"7"	"0"	"1"	"9"	"15"	"400"	"-"	"400"	""
"89"	"76"	"76"	"40"	"194"	"69"	"7"	"0"	"1"	"3"	"1"	"0"	"3"	"1"	"4"	"10"	"12"	"345"	"-"	"345"	""
"90"	"77"	"77"	"16"	"122"	"71"	"5"	"4"	"2"	"4"	"7"	"8"	"3"	"1"	"4"	"18"	"12"	"277"	"-"	"277"	""
"91"	"78"	"78"	"49"	"258"	"182"	"22"	"10"	"7"	"4"	"8"	"5"	"5"	"5"	"2"	"15"	"20"	"592"	"-"	"592"	""
"92"	"79"	"79"	"38"	"39"	"243"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"3"	"2"	"4"	"334"	"-"	"334"	""
"93"	"80"	"80"	"67"	"105"	"267"	"8"	"3"	"3"	"3"	"2"	"0"	"1"	"0"	"3"	"6"	"10"	"478"	"-"	"478"	""
"94"	"81"	"81"	"33"	"221"	"112"	"13"	"3"	"4"	"3"	"7"	"2"	"1"	"1"	"4"	"1"	"9"	"414"	"-"	"414"	""
"95"	"82"	"82"	"26"	"122"	"292"	"6"	"2"	"3"	"2"	"4"	"5"	"1"	"5"	"0"	"7"	"8"	"483"	"-"	"483"	""
"96"	"83"	"83"	"26"	"146"	"255"	"7"	"6"	"3"	"3"	"6"	"68"	"5"	"2"	"8"	"5"	"0"	"540"	"-"	"540"	""
"97"	"84"	"84"	"23"	"124"	"262"	"6"	"1"	"0"	"6"	"3"	"1"	"1"	"6"	"5"	"18"	"12"	"468"	"-"	"468"	""
"98"	"85"	"85"	"13"	"360"	"157"	"6"	"2"	"3"	"0"	"4"	"5"	"3"	"5"	"6"	"14"	"24"	"602"	"-"	"602"	""
"99"	"86"	"86"	"40"	"168"	"339"	"12"	"3"	"3"	"5"	"5"	"14"	"8"	"9"	"24"	"14"	"21"	"665"	"-"	"665"	""
"100"	"87"	"87"	"22"	"156"	"135"	"1"	"3"	"1"	"3"	"5"	"4"	"2"	"3"	"2"	"2"	"5"	"344"	"-"	"344"	""
"101"	"88"	"87 A"	"17"	"69"	"201"	"5"	"1"	"3"	"5"	"1"	"0"	"4"	"3"	"8"	"10"	"9"	"336"	"-"	"336"	""
"102"	"89"	"88"	"53"	"102"	"369"	"26"	"9"	"5"	"4"	"4"	"6"	"9"	"5"	"26"	"8"	"14"	"640"	"-"	"640"	""
"103"	"90"	"89"	"46"	"165"	"27"	"3"	"2"	"1"	"2"	"0"	"1"	"3"	"0"	"1"	"11"	"10"	"272"	"-"	"272"	""
"104"	"91"	"90"	"87"	"177"	"54"	"11"	"2"	"5"	"4"	"5"	"1"	"6"	"1"	"6"	"10"	"4"	"373"	"-"	"373"	""
"105"	"92"	"91"	"32"	"125"	"78"	"1"	"0"	"1"	"5"	"3"	"5"	"9"	"3"	"11"	"14"	"23"	"310"	"-"	"310"	""
"106"	"93"	"92"	"11"	"60"	"128"	"3"	"1"	"3"	"1"	"4"	"0"	"1"	"1"	"1"	"1"	"0"	"215"	"-"	"215"	""
"107"	"94"	"93"	"28"	"97"	"317"	"12"	"4"	"3"	"2"	"4"	"1"	"6"	"3"	"4"	"5"	"6"	"492"	"-"	"492"	""
"108"	"95"	"94"	"22"	"220"	"48"	"7"	"1"	"1"	"2"	"3"	"0"	"1"	"1"	"1"	"6"	"4"	"317"	"-"	"317"	""
"109"	"96"	"95"	"19"	"87"	"323"	"10"	"2"	"1"	"2"	"0"	"5"	"2"	"2"	"3"	"8"	"5"	"469"	"-"	"469"	""
"110"	"97"	"96"	"27"	"63"	"214"	"13"	"2"	"2"	"2"	"3"	"0"	"1"	"3"	"5"	"6"	"3"	"344"	"-"	"344"	""
"111"	"98"	"97"	"26"	"6"	"296"	"6"	"0"	"1"	"2"	"0"	"2"	"2"	"1"	"1"	"1"	"5"	"349"	"-"	"349"	""
"112"	"99"	"98"	"29"	"124"	"115"	"13"	"0"	"1"	"2"	"0"	"5"	"3"	"2"	"7"	"18"	"14"	"333"	"-"	"333"	""
"113"	"100"	"99"	"37"	"216"	"93"	"11"	"5"	"2"	"6"	"4"	"1"	"4"	"2"	"8"	"9"	"12"	"410"	"-"	"410"	""
"114"	"101"	"100"	"93"	"368"	"15"	"3"	"1"	"1"	"1"	"0"	"1"	"3"	"3"	"1"	"11"	"13"	"514"	"-"	"514"	""
"115"	"102"	"101"	"76"	"221"	"18"	"0"	"0"	"0"	"3"	"0"	"0"	"6"	"0"	"1"	"8"	"5"	"338"	"-"	"338"	""
"116"	"103"	"101 A"	"27"	"137"	"9"	"1"	"2"	"0"	"0"	"0"	"0"	"6"	"1"	"0"	"4"	"4"	"191"	"-"	"191"	""
"117"	"104"	"102"	"30"	"261"	"180"	"7"	"2"	"2"	"3"	"3"	"1"	"8"	"3"	"10"	"32"	"29"	"571"	"-"	"571"	""
"118"	"105"	"103"	"48"	"287"	"159"	"10"	"5"	"8"	"4"	"4"	"3"	"5"	"1"	"0"	"6"	"3"	"543"	"-"	"543"	""
"119"	"106"	"104"	"19"	"210"	"78"	"10"	"3"	"6"	"2"	"3"	"2"	"5"	"5"	"7"	"27"	"17"	"394"	"-"	"394"	""
"120"	"107"	"105"	"13"	"179"	"95"	"8"	"0"	"8"	"3"	"4"	"4"	"3"	"3"	"10"	"35"	"23"	"388"	"-"	"388"	""
"121"	"108"	"106"	"26"	"94"	"166"	"10"	"9"	"4"	"2"	"5"	"4"	"5"	"4"	"2"	"11"	"15"	"357"	"-"	"357"	""
"122"	"109"	"107"	"21"	"87"	"163"	"4"	"3"	"3"	"0"	"2"	"0"	"2"	"2"	"2"	"1"	"3"	"293"	"-"	"293"	""
"123"	"110"	"108"	"2"	"8"	"510"	"1"	"2"	"0"	"0"	"1"	"2"	"2"	"1"	"1"	"1"	"2"	"533"	"-"	"533"	""
"124"	"111"	"109"	"27"	"214"	"236"	"9"	"1"	"3"	"3"	"4"	"1"	"6"	"3"	"4"	"14"	"11"	"536"	"-"	"536"	""
"125"	"112"	"110"	"17"	"89"	"209"	"5"	"3"	"3"	"1"	"7"	"2"	"10"	"2"	"2"	"9"	"4"	"363"	"-"	"363"	""
"126"	"113"	"111"	"29"	"183"	"90"	"7"	"8"	"0"	"4"	"4"	"3"	"10"	"3"	"1"	"7"	"10"	"359"	"-"	"359"	""
"127"	"114"	"112"	"47"	"239"	"10"	"3"	"2"	"2"	"0"	"2"	"3"	"74"	"9"	"4"	"10"	"6"	"411"	"-"	"411"	""
"128"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"129"	""	""	"Ajay Kumar Jalan"	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Yugeshwar Sahni"	"Kumari Sureshwari"	"Md.
Khursheed Alam"	"Durga Nand
Mahabir Nayak"	"Md.
Nizamu ddin"	"Sathy Narayn Mukhiya"	"Abdur Rahim"	"Govind Acharya"	"Bharat Yadav"	"Lal Bahadur
Yadav"	"Prof. Hareram Acharya"	""	""	""	""
"130"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"131"	"115"	"113"	"16"	"263"	"6"	"1"	"1"	"1"	"0"	"2"	"0"	"30"	"2"	"0"	"3"	"1"	"326"	"-"	"326"	""
"132"	"116"	"114"	"23"	"286"	"8"	"0"	"0"	"1"	"1"	"2"	"1"	"23"	"1"	"2"	"8"	"15"	"371"	"-"	"371"	""
"133"	"117"	"115"	"34"	"144"	"50"	"4"	"1"	"0"	"6"	"2"	"6"	"1"	"6"	"2"	"20"	"41"	"317"	"-"	"317"	""
"134"	"118"	"116"	"23"	"130"	"109"	"8"	"3"	"6"	"2"	"3"	"3"	"14"	"6"	"3"	"19"	"13"	"342"	"-"	"342"	""
"135"	"119"	"117"	"13"	"102"	"53"	"3"	"0"	"0"	"2"	"5"	"0"	"3"	"3"	"8"	"12"	"10"	"214"	"-"	"214"	""
"136"	"120"	"118"	"10"	"52"	"212"	"11"	"4"	"1"	"1"	"1"	"3"	"7"	"1"	"6"	"14"	"8"	"331"	"-"	"331"	""
"137"	"121"	"119"	"9"	"400"	"192"	"4"	"0"	"2"	"1"	"0"	"1"	"4"	"3"	"1"	"21"	"3"	"641"	"-"	"641"	""
"138"	"122"	"120"	"33"	"224"	"350"	"15"	"3"	"7"	"5"	"3"	"2"	"6"	"7"	"9"	"21"	"20"	"705"	"-"	"705"	""
"139"	"123"	"121"	"15"	"39"	"184"	"19"	"0"	"2"	"2"	"3"	"5"	"2"	"2"	"4"	"5"	"3"	"285"	"-"	"285"	""
"140"	"124"	"122"	"9"	"162"	"30"	"6"	"2"	"0"	"1"	"0"	"1"	"3"	"3"	"4"	"11"	"9"	"241"	"-"	"241"	""
"141"	"125"	"123"	"10"	"108"	"100"	"6"	"1"	"3"	"5"	"3"	"12"	"5"	"8"	"7"	"15"	"7"	"290"	"-"	"290"	""
"142"	"126"	"124"	"8"	"156"	"176"	"4"	"3"	"1"	"2"	"2"	"0"	"10"	"6"	"12"	"11"	"15"	"406"	"-"	"406"	""
"143"	"127"	"124 A"	"15"	"204"	"124"	"3"	"3"	"3"	"0"	"3"	"2"	"5"	"3"	"5"	"3"	"4"	"377"	"-"	"377"	""
"144"	"128"	"125"	"38"	"156"	"191"	"38"	"4"	"3"	"5"	"4"	"1"	"5"	"5"	"1"	"7"	"8"	"466"	"-"	"466"	""
"145"	"129"	"126"	"33"	"125"	"22"	"3"	"1"	"2"	"4"	"0"	"0"	"2"	"0"	"1"	"2"	"1"	"196"	"-"	"196"	""
"146"	"130"	"127"	"18"	"112"	"52"	"3"	"3"	"0"	"3"	"1"	"6"	"4"	"1"	"4"	"7"	"10"	"224"	"-"	"224"	""
"147"	"131"	"128"	"7"	"168"	"42"	"1"	"0"	"1"	"1"	"1"	"6"	"1"	"3"	"0"	"1"	"7"	"239"	"-"	"239"	""
"148"	"132"	"129"	"15"	"114"	"318"	"15"	"3"	"2"	"1"	"1"	"6"	"14"	"5"	"14"	"12"	"21"	"541"	"-"	"541"	""
"149"	"133"	"130"	"12"	"22"	"137"	"4"	"8"	"3"	"5"	"11"	"64"	"6"	"3"	"6"	"2"	"7"	"290"	"-"	"290"	""
"150"	"134"	"131"	"44"	"49"	"6"	"0"	"0"	"0"	"0"	"0"	"6"	"1"	"0"	"2"	"4"	"0"	"112"	"-"	"112"	""
"151"	"135"	"132"	"83"	"194"	"14"	"2"	"0"	"1"	"1"	"0"	"0"	"6"	"1"	"0"	"2"	"3"	"307"	"-"	"307"	""
"152"	"136"	"133"	"24"	"200"	"47"	"1"	"1"	"3"	"0"	"4"	"0"	"5"	"1"	"2"	"4"	"6"	"298"	"-"	"298"	""
"153"	"137"	"134"	"14"	"135"	"115"	"4"	"1"	"1"	"3"	"2"	"5"	"0"	"2"	"3"	"10"	"6"	"301"	"-"	"301"	""
