"TOTAL.NO.OF.ELECTORS.IN.98.SAHEBGANJ.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"22"	20	"196"	"162"	"5"	"12"	"3"	"1"	"1"	"1"	"1"	"5"	"7"	"24"	"418"	""	""	""
"23"	21	"159"	"60"	"2"	"5"	"1"	"0"	"0"	"1"	"2"	"2"	"2"	"5"	"239"	""	""	""
"24"	22	"196"	"110"	"1"	"3"	"2"	"3"	"2"	"1"	"0"	"0"	"3"	"4"	"325"	""	""	""
"25"	23	"107"	"53"	"5"	"4"	"1"	"1"	"1"	"1"	"0"	"2"	"1"	"5"	"181"	""	""	""
"26"	24	"131"	"87"	"3"	"1"	"1"	"2"	"1"	"0"	"0"	"0"	"6"	"15"	"247"	""	""	""
"27"	25	"81"	"282"	"5"	"3"	"8"	"2"	"3"	"3"	"1"	"4"	"2"	"11"	"405"	""	""	""
"28"	26	"84"	"34"	"2"	"2"	"3"	"0"	"0"	"2"	"0"	"3"	"3"	"10"	"143"	""	""	""
"29"	27	"302"	"54"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"0"	"367"	""	""	""
"30"	28	"112"	"190"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"11"	"323"	""	""	""
"31"	29	"527"	"38"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"3"	"574"	""	""	""
"32"	30	"142"	"174"	"5"	"6"	"4"	"2"	"1"	"1"	"2"	"5"	"7"	"19"	"368"	""	""	""
"33"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	212928	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"36"	31	"219"	"33"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"259"	""	""	""
"37"	32	"230"	"11"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"3"	"2"	"248"	""	""	""
"38"	33	"261"	"96"	"4"	"3"	"2"	"4"	"2"	"4"	"2"	"0"	"1"	"10"	"389"	""	""	""
"39"	34	"100"	"117"	"4"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"2"	"12"	"238"	""	""	""
"40"	35	"220"	"353"	"12"	"6"	"3"	"5"	"4"	"5"	"5"	"6"	"12"	"14"	"645"	""	""	""
"41"	36	"190"	"147"	"5"	"3"	"6"	"1"	"1"	"1"	"1"	"5"	"6"	"20"	"386"	""	""	""
"42"	37	"195"	"97"	"0"	"9"	"5"	"1"	"1"	"2"	"5"	"3"	"3"	"16"	"337"	""	""	""
"43"	38	"108"	"20"	"2"	"11"	"0"	"0"	"0"	"3"	"0"	"0"	"2"	"7"	"153"	""	""	""
"44"	39	"189"	"167"	"2"	"0"	"2"	"2"	"1"	"0"	"2"	"6"	"9"	"24"	"404"	""	""	""
"45"	40	"203"	"125"	"2"	"3"	"0"	"1"	"1"	"0"	"0"	"1"	"4"	"10"	"350"	""	""	""
"46"	41	"256"	"11"	"10"	"2"	"0"	"1"	"0"	"2"	"0"	"1"	"2"	"1"	"286"	""	""	""
"47"	42	"157"	"312"	"4"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"5"	"483"	""	""	""
"48"	43	"197"	"248"	"1"	"5"	"3"	"2"	"1"	"4"	"0"	"5"	"20"	"16"	"502"	""	""	""
"49"	44	"258"	"160"	"5"	"6"	"0"	"0"	"1"	"2"	"1"	"1"	"3"	"1"	"438"	""	""	""
"50"	45	"297"	"178"	"7"	"5"	"5"	"1"	"3"	"2"	"6"	"4"	"11"	"29"	"548"	""	""	""
"51"	46	"227"	"170"	"2"	"11"	"5"	"0"	"2"	"1"	"1"	"3"	"9"	"21"	"452"	""	""	""
"52"	47	"168"	"115"	"2"	"2"	"2"	"0"	"1"	"3"	"2"	"6"	"7"	"18"	"326"	""	""	""
"53"	48	"112"	"176"	"7"	"1"	"4"	"0"	"2"	"1"	"1"	"9"	"40"	"7"	"360"	""	""	""
"54"	49	"92"	"130"	"3"	"4"	"4"	"0"	"0"	"2"	"1"	"18"	"45"	"14"	"313"	""	""	""
"55"	50	"172"	"355"	"4"	"9"	"7"	"1"	"0"	"1"	"1"	"6"	"10"	"15"	"581"	""	""	""
"56"	51	"214"	"136"	"0"	"5"	"3"	"0"	"1"	"2"	"2"	"4"	"1"	"5"	"373"	""	""	""
"57"	52	"244"	"257"	"9"	"1"	"4"	"1"	"5"	"2"	"1"	"9"	"9"	"20"	"562"	""	""	""
"58"	53	"296"	"114"	"3"	"12"	"5"	"3"	"3"	"1"	"2"	"5"	"29"	"14"	"487"	""	""	""
"59"	54	"81"	"87"	"3"	"6"	"1"	"1"	"0"	"0"	"0"	"4"	"6"	"2"	"191"	""	""	""
"60"	55	"169"	"195"	"5"	"13"	"0"	"2"	"1"	"3"	"0"	"1"	"6"	"3"	"398"	""	""	""
"61"	56	"172"	"290"	"6"	"3"	"0"	"0"	"0"	"1"	"0"	"3"	"4"	"8"	"487"	""	""	""
"62"	57	"383"	"251"	"13"	"5"	"7"	"1"	"0"	"1"	"1"	"4"	"4"	"2"	"672"	""	""	""
"63"	58	"174"	"313"	"8"	"13"	"12"	"6"	"12"	"4"	"4"	"9"	"38"	"14"	"607"	""	""	""
"64"	59	"303"	"240"	"6"	"6"	"1"	"3"	"2"	"4"	"1"	"7"	"16"	"7"	"596"	""	""	""
"65"	60	"410"	"117"	"5"	"4"	"2"	"0"	"5"	"0"	"4"	"11"	"9"	"36"	"603"	""	""	""
"66"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	212928	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"69"	61	"214"	"167"	"5"	"8"	"3"	"1"	"3"	"2"	"3"	"0"	"4"	"1"	"411"	""	""	""
"70"	62	"131"	"137"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"4"	"277"	""	""	""
"71"	63	"216"	"184"	"6"	"3"	"10"	"4"	"3"	"4"	"4"	"7"	"11"	"9"	"461"	""	""	""
"72"	64	"230"	"155"	"5"	"8"	"3"	"3"	"0"	"3"	"0"	"5"	"9"	"20"	"441"	""	""	""
"73"	65	"137"	"102"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"243"	""	""	""
"74"	66	"364"	"201"	"9"	"21"	"5"	"1"	"4"	"3"	"9"	"15"	"9"	"34"	"675"	""	""	""
"75"	67	"119"	"290"	"28"	"5"	"7"	"2"	"5"	"2"	"4"	"9"	"5"	"10"	"486"	""	""	""
"76"	68	"265"	"88"	"4"	"5"	"4"	"4"	"4"	"5"	"2"	"4"	"9"	"18"	"412"	""	""	""
"77"	69	"198"	"218"	"5"	"5"	"1"	"3"	"0"	"0"	"0"	"3"	"4"	"2"	"439"	""	""	""
"78"	70	"327"	"43"	"4"	"14"	"2"	"0"	"1"	"1"	"1"	"1"	"2"	"5"	"401"	""	""	""
"79"	71	"513"	"37"	"0"	"7"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"562"	""	""	""
"80"	72	"486"	"29"	"3"	"6"	"2"	"0"	"1"	"0"	"1"	"1"	"0"	"4"	"533"	""	""	""
"81"	73	"315"	"190"	"8"	"2"	"3"	"5"	"5"	"4"	"7"	"4"	"24"	"60"	"627"	""	""	""
"82"	74	"236"	"194"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"3"	"1"	"439"	""	""	""
"83"	75	"38"	"310"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"351"	""	""	""
"84"	76	"119"	"158"	"3"	"2"	"0"	"0"	"0"	"2"	"0"	"1"	"2"	"2"	"289"	""	""	""
"85"	77	"139"	"81"	"6"	"3"	"5"	"3"	"3"	"2"	"0"	"5"	"8"	"24"	"279"	""	""	""
"86"	78	"190"	"213"	"9"	"8"	"5"	"0"	"2"	"5"	"5"	"88"	"24"	"34"	"583"	""	""	""
"87"	79	"102"	"261"	"3"	"1"	"0"	"1"	"0"	"1"	"2"	"3"	"2"	"6"	"382"	""	""	""
"88"	80	"104"	"238"	"7"	"0"	"1"	"0"	"0"	"1"	"1"	"4"	"4"	"9"	"369"	""	""	""
"89"	81	"106"	"201"	"7"	"10"	"9"	"4"	"5"	"2"	"2"	"6"	"46"	"16"	"414"	""	""	""
"90"	82	"88"	"223"	"6"	"0"	"7"	"3"	"2"	"4"	"3"	"4"	"25"	"8"	"373"	""	""	""
"91"	83	"136"	"53"	"2"	"4"	"1"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"199"	""	""	""
"92"	84	"241"	"179"	"3"	"12"	"3"	"4"	"2"	"0"	"2"	"7"	"3"	"11"	"467"	""	""	""
"93"	85	"160"	"179"	"6"	"5"	"1"	"1"	"1"	"2"	"1"	"4"	"5"	"12"	"377"	""	""	""
"94"	86	"109"	"166"	"2"	"5"	"2"	"1"	"1"	"1"	"0"	"14"	"31"	"6"	"338"	""	""	""
"95"	87	"281"	"125"	"4"	"3"	"3"	"3"	"0"	"2"	"1"	"12"	"13"	"28"	"475"	""	""	""
"96"	88	"172"	"282"	"2"	"2"	"8"	"2"	"13"	"0"	"2"	"4"	"30"	"4"	"521"	""	""	""
"97"	89	"149"	"115"	"2"	"0"	"2"	"2"	"1"	"2"	"0"	"2"	"3"	"8"	"286"	""	""	""
"98"	90	"240"	"100"	"4"	"6"	"6"	"2"	"2"	"0"	"2"	"3"	"2"	"12"	"379"	""	""	""
"99"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	212928	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"102"	91	"195"	"254"	"7"	"15"	"4"	"2"	"2"	"0"	"4"	"4"	"2"	"3"	"492"	""	""	""
"103"	92	"314"	"105"	"3"	"2"	"6"	"3"	"3"	"2"	"2"	"5"	"13"	"18"	"476"	""	""	""
"104"	93	"54"	"378"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"435"	""	""	""
"105"	94	"185"	"90"	"3"	"2"	"0"	"0"	"1"	"0"	"0"	"3"	"2"	"11"	"297"	""	""	""
"106"	95	"390"	"39"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"430"	""	""	""
"107"	96	"121"	"67"	"2"	"1"	"3"	"3"	"1"	"0"	"1"	"1"	"7"	"8"	"215"	""	""	""
"108"	97	"406"	"50"	"0"	"6"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"466"	""	""	""
"109"	98	"357"	"78"	"3"	"3"	"1"	"1"	"2"	"0"	"3"	"1"	"3"	"9"	"461"	""	""	""
"110"	99	"144"	"222"	"4"	"3"	"2"	"0"	"1"	"2"	"2"	"5"	"10"	"10"	"405"	""	""	""
"111"	100	"30"	"163"	"2"	"10"	"1"	"0"	"1"	"2"	"0"	"1"	"6"	"6"	"222"	""	""	""
"112"	101	"200"	"22"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"7"	"239"	""	""	""
"113"	102	"392"	"69"	"2"	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"4"	"472"	""	""	""
"114"	103	"135"	"250"	"5"	"8"	"9"	"3"	"2"	"0"	"3"	"9"	"15"	"17"	"456"	""	""	""
"115"	104	"191"	"255"	"18"	"2"	"3"	"1"	"1"	"3"	"3"	"12"	"13"	"16"	"518"	""	""	""
"116"	105	"424"	"77"	"7"	"5"	"2"	"3"	"0"	"0"	"0"	"3"	"4"	"2"	"527"	""	""	""
"117"	106	"300"	"117"	"8"	"3"	"8"	"4"	"1"	"1"	"5"	"6"	"7"	"10"	"470"	""	""	""
"118"	107	"116"	"190"	"8"	"6"	"0"	"2"	"1"	"1"	"0"	"2"	"5"	"5"	"336"	""	""	""
"119"	108	"154"	"329"	"16"	"8"	"5"	"2"	"2"	"2"	"3"	"3"	"1"	"7"	"532"	""	""	""
"120"	109	"394"	"104"	"39"	"4"	"1"	"2"	"1"	"3"	"2"	"4"	"6"	"19"	"579"	""	""	""
"121"	110	"213"	"231"	"4"	"11"	"6"	"6"	"4"	"0"	"5"	"8"	"1"	"12"	"501"	""	""	""
"122"	111	"306"	"59"	"2"	"2"	"4"	"3"	"6"	"61"	"1"	"4"	"2"	"8"	"458"	""	""	""
"123"	112	"260"	"138"	"11"	"2"	"4"	"1"	"2"	"9"	"2"	"2"	"2"	"1"	"434"	""	""	""
"124"	113	"143"	"164"	"15"	"4"	"2"	"3"	"1"	"1"	"2"	"7"	"17"	"27"	"386"	""	""	""
"125"	114	"252"	"122"	"5"	"2"	"6"	"1"	"3"	"1"	"5"	"11"	"7"	"32"	"447"	""	""	""
"126"	115	"164"	"232"	"6"	"3"	"1"	"2"	"1"	"1"	"3"	"5"	"1"	"3"	"422"	""	""	""
"127"	116	"155"	"77"	"11"	"0"	"1"	"1"	"0"	"2"	"1"	"5"	"2"	"11"	"266"	""	""	""
"128"	117	"210"	"211"	"7"	"4"	"3"	"5"	"5"	"4"	"4"	"14"	"4"	"32"	"503"	""	""	""
"129"	118	"496"	"21"	"83"	"9"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"611"	""	""	""
"130"	119	"156"	"115"	"3"	"1"	"3"	"1"	"1"	"2"	"0"	"2"	"3"	"8"	"295"	""	""	""
"131"	120	"72"	"21"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"94"	""	""	""
"132"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	212928	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"135"	121	"391"	"61"	"1"	"99"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"555"	""	""	""
"136"	122	"52"	"152"	"41"	"1"	"2"	"1"	"2"	"2"	"1"	"8"	"6"	"9"	"277"	""	""	""
"137"	123	"243"	"99"	"5"	"2"	"2"	"1"	"1"	"2"	"0"	"2"	"3"	"7"	"367"	""	""	""
"138"	124	"401"	"74"	"3"	"19"	"2"	"0"	"1"	"0"	"0"	"1"	"10"	"11"	"522"	""	""	""
"139"	125	"130"	"93"	"2"	"2"	"4"	"0"	"2"	"1"	"0"	"2"	"1"	"4"	"241"	""	""	""
"140"	126	"150"	"118"	"0"	"2"	"0"	"0"	"1"	"1"	"0"	"1"	"6"	"8"	"287"	""	""	""
"141"	127	"44"	"135"	"2"	"1"	"1"	"0"	"3"	"1"	"0"	"2"	"1"	"2"	"192"	""	""	""
"142"	128	"331"	"196"	"11"	"13"	"3"	"1"	"1"	"3"	"1"	"3"	"11"	"19"	"593"	""	""	""
"143"	129	"125"	"44"	"23"	"0"	"2"	"1"	"0"	"1"	"0"	"0"	"1"	"2"	"199"	""	""	""
"144"	130	"101"	"147"	"3"	"1"	"2"	"1"	"1"	"0"	"0"	"1"	"2"	"4"	"263"	""	""	""
"145"	131	"242"	"84"	"4"	"2"	"0"	"4"	"1"	"1"	"4"	"4"	"9"	"22"	"377"	""	""	""
"146"	132	"91"	"344"	"2"	"11"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"3"	"454"	""	""	""
"147"	133	"40"	"134"	"2"	"3"	"4"	"0"	"2"	"1"	"4"	"3"	"5"	"12"	"210"	""	""	""
"148"	134	"77"	"223"	"10"	"10"	"5"	"0"	"2"	"4"	"1"	"9"	"10"	"13"	"364"	""	""	""
"149"	135	"308"	"255"	"8"	"31"	"3"	"2"	"2"	"5"	"2"	"7"	"4"	"3"	"630"	""	""	""
"150"	136	"71"	"111"	"3"	"4"	"1"	"0"	"0"	"3"	"0"	"3"	"1"	"1"	"198"	""	""	""
"151"	137	"153"	"160"	"31"	"4"	"5"	"1"	"1"	"2"	"1"	"2"	"3"	"4"	"367"	""	""	""
"152"	138	"79"	"71"	"70"	"4"	"2"	"4"	"2"	"2"	"1"	"0"	"3"	"0"	"238"	""	""	""
"153"	139	"331"	"221"	"51"	"16"	"7"	"3"	"6"	"4"	"2"	"6"	"2"	"9"	"658"	""	""	""
"154"	140	"267"	"230"	"65"	"3"	"6"	"2"	"5"	"1"	"2"	"9"	"10"	"22"	"622"	""	""	""
"155"	141	"222"	"208"	"25"	"1"	"1"	"2"	"7"	"4"	"0"	"5"	"5"	"8"	"488"	""	""	""
"156"	142	"223"	"204"	"2"	"4"	"0"	"2"	"0"	"1"	"0"	"3"	"3"	"7"	"449"	""	""	""
"157"	143	"348"	"79"	"0"	"2"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"6"	"438"	""	""	""
"158"	144	"271"	"74"	"5"	"1"	"0"	"0"	"4"	"1"	"2"	"4"	"2"	"5"	"369"	""	""	""
"159"	145	"100"	"143"	"69"	"7"	"1"	"1"	"0"	"0"	"2"	"3"	"2"	"1"	"329"	""	""	""
"160"	146	"37"	"70"	"21"	"2"	"1"	"2"	"0"	"0"	"0"	"4"	"9"	"10"	"156"	""	""	""
"161"	147	"162"	"389"	"23"	"16"	"12"	"3"	"3"	"3"	"9"	"23"	"26"	"33"	"702"	""	""	""
"162"	148	"340"	"286"	"5"	"19"	"3"	"0"	"4"	"3"	"1"	"6"	"14"	"30"	"711"	""	""	""
"163"	149	"218"	"277"	"18"	"2"	"6"	"6"	"3"	"1"	"3"	"9"	"7"	"47"	"597"	""	""	""
"164"	150	"313"	"212"	"45"	"7"	"5"	"2"	"6"	"5"	"3"	"8"	"18"	"17"	"641"	""	""	""
"165"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	212928	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"168"	151	"184"	"332"	"29"	"7"	"6"	"1"	"0"	"2"	"3"	"4"	"2"	"5"	"575"	""	""	""
"169"	152	"114"	"308"	"4"	"2"	"5"	"2"	"1"	"3"	"0"	"2"	"2"	"3"	"446"	""	""	""
"170"	153	"23"	"214"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	""	""	""
"171"	154	"281"	"149"	"28"	"6"	"6"	"3"	"1"	"3"	"3"	"14"	"9"	"15"	"518"	""	""	""
"172"	155	"194"	"323"	"30"	"5"	"7"	"4"	"10"	"2"	"3"	"16"	"15"	"31"	"640"	""	""	""
"173"	156	"224"	"135"	"16"	"10"	"0"	"1"	"2"	"2"	"2"	"6"	"6"	"20"	"424"	""	""	""
"174"	157	"148"	"130"	"6"	"3"	"4"	"2"	"0"	"0"	"1"	"4"	"6"	"8"	"312"	""	""	""
"175"	158	"118"	"99"	"64"	"4"	"1"	"1"	"3"	"1"	"2"	"2"	"0"	"5"	"300"	""	""	""
"176"	159	"248"	"27"	"11"	"11"	"2"	"2"	"2"	"1"	"1"	"3"	"2"	"4"	"314"	""	""	""
"177"	160	"294"	"71"	"73"	"33"	"2"	"0"	"5"	"1"	"2"	"3"	"4"	"7"	"495"	""	""	""
"178"	161	"223"	"87"	"79"	"14"	"3"	"3"	"4"	"0"	"1"	"5"	"3"	"2"	"424"	""	""	""
"179"	162	"251"	"159"	"63"	"1"	"9"	"2"	"3"	"1"	"3"	"5"	"2"	"7"	"506"	""	""	""
"180"	163	"166"	"171"	"4"	"12"	"9"	"2"	"3"	"1"	"4"	"3"	"6"	"7"	"388"	""	""	""
"181"	164	"70"	"48"	"93"	"4"	"1"	"3"	"4"	"1"	"3"	"3"	"2"	"9"	"241"	""	""	""
"182"	165	"160"	"67"	"26"	"10"	"2"	"1"	"1"	"2"	"2"	"3"	"6"	"7"	"287"	""	""	""
"183"	166	"192"	"55"	"3"	"1"	"1"	"1"	"2"	"0"	"3"	"2"	"0"	"5"	"265"	""	""	""
"184"	167	"69"	"67"	"21"	"20"	"5"	"1"	"1"	"1"	"2"	"3"	"3"	"5"	"198"	""	""	""
"185"	168	"219"	"170"	"61"	"4"	"5"	"0"	"6"	"3"	"0"	"12"	"4"	"3"	"487"	""	""	""
"186"	169	"359"	"28"	"3"	"8"	"1"	"0"	"1"	"0"	"0"	"2"	"1"	"2"	"405"	""	""	""
"187"	170	"121"	"142"	"19"	"7"	"2"	"2"	"2"	"3"	"5"	"4"	"6"	"9"	"322"	""	""	""
"188"	171	"169"	"181"	"9"	"5"	"5"	"3"	"3"	"5"	"1"	"9"	"8"	"15"	"413"	""	""	""
"189"	172	"187"	"292"	"29"	"11"	"1"	"6"	"3"	"7"	"6"	"18"	"24"	"46"	"630"	""	""	""
"190"	173	"252"	"128"	"29"	"6"	"2"	"1"	"3"	"1"	"0"	"3"	"3"	"9"	"437"	""	""	""
"191"	174	"291"	"193"	"71"	"7"	"10"	"8"	"6"	"3"	"2"	"9"	"6"	"13"	"619"	""	""	""
"192"	175	"231"	"97"	"12"	"4"	"4"	"0"	"1"	"2"	"3"	"4"	"4"	"15"	"377"	""	""	""
"193"	176	"157"	"300"	"17"	"2"	"2"	"0"	"1"	"0"	"1"	"2"	"6"	"3"	"491"	""	""	""
"194"	177	"130"	"246"	"13"	"4"	"5"	"2"	"0"	"1"	"0"	"5"	"1"	"3"	"410"	""	""	""
"195"	178	"170"	"251"	"5"	"2"	"2"	"3"	"0"	"1"	"1"	"3"	"1"	"6"	"445"	""	""	""
"196"	179	"254"	"116"	"9"	"2"	"4"	"3"	"6"	"2"	"2"	"7"	"10"	"15"	"430"	""	""	""
"197"	180	"324"	"125"	"21"	"8"	"5"	"3"	"0"	"3"	"2"	"9"	"3"	"16"	"519"	""	""	""
"198"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	212928	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
