"TOTAL.NO.OF.ELECTORS.IN.95.KANTI.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"22"	20	"110"	"375"	"0"	"3"	"2"	"0"	"0"	"0"	"1"	"4"	"6"	"4"	"505"	""	""	""
"23"	21	"352"	"91"	"21"	"6"	"6"	"8"	"1"	"6"	"7"	"8"	"13"	"23"	"542"	""	""	""
"24"	22	"228"	"175"	"11"	"3"	"3"	"5"	"3"	"2"	"2"	"6"	"4"	"19"	"461"	""	""	""
"25"	23	"386"	"290"	"15"	"5"	"2"	"1"	"6"	"0"	"8"	"9"	"25"	"38"	"785"	""	""	""
"26"	24	"167"	"259"	"19"	"5"	"3"	"1"	"2"	"1"	"0"	"10"	"11"	"30"	"508"	""	""	""
"27"	25	"135"	"276"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"2"	"423"	""	""	""
"28"	26	"244"	"96"	"12"	"6"	"1"	"0"	"1"	"0"	"2"	"3"	"6"	"7"	"378"	""	""	""
"29"	27	"183"	"90"	"7"	"3"	"2"	"0"	"1"	"0"	"2"	"3"	"6"	"13"	"310"	""	""	""
"30"	28	"90"	"314"	"1"	"5"	"6"	"2"	"0"	"0"	"1"	"1"	"4"	"3"	"427"	""	""	""
"31"	29	"369"	"116"	"4"	"5"	"1"	"2"	"0"	"1"	"0"	"1"	"0"	"4"	"503"	""	""	""
"32"	30	"469"	"235"	"9"	"6"	"3"	"2"	"3"	"5"	"0"	"5"	"12"	"11"	"760"	""	""	""
"33"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	208580	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"36"	31	"24"	"45"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"72"	""	""	""
"37"	32	"86"	"85"	"1"	"2"	"1"	"0"	"0"	"0"	"1"	"1"	"2"	"0"	"179"	""	""	""
"38"	33	"329"	"394"	"4"	"5"	"0"	"0"	"1"	"0"	"0"	"5"	"6"	"4"	"748"	""	""	""
"39"	34	"221"	"342"	"17"	"17"	"9"	"6"	"3"	"5"	"2"	"5"	"7"	"14"	"648"	""	""	""
"40"	35	"196"	"323"	"15"	"13"	"4"	"2"	"1"	"2"	"2"	"4"	"6"	"11"	"579"	""	""	""
"41"	36	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""
"42"	37	"486"	"308"	"5"	"13"	"7"	"0"	"0"	"1"	"2"	"3"	"2"	"1"	"828"	""	""	""
"43"	38	"296"	"429"	"16"	"5"	"11"	"7"	"4"	"5"	"12"	"16"	"27"	"22"	"850"	""	""	""
"44"	39	"292"	"107"	"20"	"6"	"5"	"2"	"1"	"3"	"2"	"9"	"5"	"12"	"464"	""	""	""
"45"	40	"293"	"70"	"6"	"6"	"4"	"4"	"4"	"1"	"2"	"9"	"6"	"8"	"413"	""	""	""
"46"	41	"345"	"137"	"7"	"8"	"42"	"2"	"2"	"4"	"3"	"4"	"18"	"17"	"589"	""	""	""
"47"	42	"282"	"164"	"5"	"3"	"4"	"2"	"0"	"2"	"2"	"4"	"5"	"27"	"500"	""	""	""
"48"	43	"235"	"211"	"9"	"7"	"1"	"1"	"1"	"0"	"1"	"4"	"5"	"7"	"482"	""	""	""
"49"	44	"311"	"216"	"9"	"4"	"4"	"1"	"3"	"0"	"0"	"3"	"6"	"15"	"572"	""	""	""
"50"	45	"278"	"167"	"18"	"2"	"4"	"0"	"1"	"4"	"2"	"2"	"4"	"5"	"487"	""	""	""
"51"	46	"377"	"119"	"7"	"4"	"2"	"3"	"1"	"0"	"4"	"3"	"12"	"44"	"576"	""	""	""
"52"	47	"295"	"139"	"0"	"2"	"2"	"2"	"3"	"1"	"3"	"9"	"3"	"25"	"484"	""	""	""
"53"	48	"125"	"298"	"8"	"5"	"3"	"1"	"1"	"0"	"1"	"8"	"14"	"13"	"477"	""	""	""
"54"	49	"194"	"246"	"44"	"10"	"3"	"0"	"3"	"4"	"5"	"6"	"9"	"15"	"539"	""	""	""
"55"	50	"362"	"110"	"7"	"1"	"1"	"1"	"1"	"0"	"1"	"2"	"1"	"7"	"494"	""	""	""
"56"	51	"205"	"251"	"3"	"12"	"1"	"3"	"0"	"1"	"2"	"7"	"17"	"13"	"515"	""	""	""
"57"	52	"232"	"49"	"2"	"7"	"0"	"3"	"3"	"3"	"0"	"3"	"3"	"6"	"311"	""	""	""
"58"	53	"306"	"23"	"1"	"0"	"1"	"0"	"2"	"0"	"1"	"1"	"1"	"2"	"338"	""	""	""
"59"	54	"103"	"355"	"2"	"0"	"5"	"6"	"3"	"4"	"3"	"8"	"9"	"17"	"515"	""	""	""
"60"	55	"138"	"310"	"3"	"2"	"3"	"0"	"1"	"0"	"1"	"2"	"1"	"4"	"465"	""	""	""
"61"	56	"193"	"228"	"8"	"10"	"8"	"4"	"5"	"2"	"1"	"7"	"7"	"15"	"488"	""	""	""
"62"	57	"192"	"189"	"7"	"1"	"1"	"2"	"2"	"0"	"0"	"3"	"4"	"23"	"424"	""	""	""
"63"	58	"268"	"220"	"41"	"1"	"5"	"3"	"3"	"4"	"4"	"6"	"13"	"43"	"611"	""	""	""
"64"	59	"254"	"163"	"10"	"6"	"3"	"4"	"2"	"0"	"3"	"1"	"5"	"12"	"463"	""	""	""
"65"	60	"258"	"150"	"6"	"4"	"2"	"2"	"4"	"1"	"1"	"3"	"12"	"20"	"463"	""	""	""
"66"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	208580	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"69"	61	"259"	"141"	"6"	"3"	"1"	"4"	"2"	"3"	"4"	"12"	"9"	"28"	"472"	""	""	""
"70"	62	"299"	"91"	"3"	"3"	"1"	"0"	"3"	"2"	"3"	"2"	"1"	"9"	"417"	""	""	""
"71"	63	"142"	"240"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"7"	"396"	""	""	""
"72"	64	"242"	"180"	"3"	"2"	"1"	"0"	"1"	"0"	"1"	"1"	"6"	"4"	"441"	""	""	""
"73"	65	"180"	"74"	"2"	"3"	"1"	"0"	"1"	"0"	"0"	"2"	"2"	"5"	"270"	""	""	""
"74"	66	"70"	"128"	"4"	"1"	"5"	"1"	"0"	"6"	"0"	"2"	"39"	"5"	"261"	""	""	""
"75"	67	"295"	"127"	"6"	"14"	"2"	"1"	"3"	"2"	"3"	"6"	"12"	"15"	"486"	""	""	""
"76"	68	"153"	"106"	"2"	"4"	"2"	"0"	"1"	"0"	"0"	"2"	"8"	"11"	"289"	""	""	""
"77"	69	"428"	"117"	"3"	"20"	"3"	"3"	"2"	"1"	"3"	"3"	"14"	"35"	"632"	""	""	""
"78"	70	"211"	"254"	"1"	"7"	"4"	"3"	"2"	"1"	"1"	"11"	"19"	"7"	"521"	""	""	""
"79"	71	"183"	"160"	"2"	"4"	"3"	"1"	"1"	"4"	"3"	"6"	"59"	"15"	"441"	""	""	""
"80"	72	"232"	"435"	"6"	"3"	"1"	"1"	"1"	"1"	"2"	"14"	"9"	"20"	"725"	""	""	""
"81"	73	"305"	"319"	"9"	"7"	"3"	"1"	"2"	"2"	"2"	"3"	"11"	"18"	"682"	""	""	""
"82"	74	"132"	"214"	"1"	"13"	"2"	"3"	"0"	"0"	"0"	"6"	"6"	"11"	"388"	""	""	""
"83"	75	"229"	"148"	"5"	"4"	"4"	"2"	"2"	"0"	"0"	"0"	"1"	"5"	"400"	""	""	""
"84"	76	"185"	"136"	"2"	"7"	"5"	"2"	"0"	"2"	"0"	"3"	"3"	"11"	"356"	""	""	""
"85"	77	"38"	"146"	"2"	"5"	"1"	"1"	"0"	"1"	"0"	"3"	"1"	"5"	"203"	""	""	""
"86"	78	"132"	"120"	"2"	"2"	"0"	"0"	"0"	"1"	"0"	"2"	"7"	"5"	"271"	""	""	""
"87"	79	"176"	"400"	"7"	"4"	"3"	"2"	"1"	"1"	"2"	"3"	"7"	"12"	"618"	""	""	""
"88"	80	"378"	"80"	"1"	"3"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"467"	""	""	""
"89"	81	"196"	"110"	"6"	"7"	"1"	"1"	"1"	"2"	"1"	"1"	"5"	"5"	"336"	""	""	""
"90"	82	"151"	"89"	"3"	"4"	"3"	"1"	"0"	"0"	"2"	"5"	"5"	"17"	"280"	""	""	""
"91"	83	"170"	"25"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"198"	""	""	""
"92"	84	"210"	"181"	"6"	"8"	"1"	"1"	"1"	"3"	"1"	"6"	"2"	"18"	"438"	""	""	""
"93"	85	"190"	"102"	"11"	"7"	"2"	"1"	"4"	"3"	"3"	"0"	"6"	"11"	"340"	""	""	""
"94"	86	"253"	"13"	"2"	"32"	"2"	"3"	"1"	"1"	"1"	"2"	"15"	"16"	"341"	""	""	""
"95"	87	"267"	"142"	"5"	"5"	"0"	"0"	"1"	"1"	"0"	"1"	"2"	"3"	"427"	""	""	""
"96"	88	"251"	"87"	"3"	"19"	"4"	"2"	"0"	"1"	"1"	"5"	"4"	"24"	"401"	""	""	""
"97"	89	"301"	"67"	"5"	"8"	"1"	"2"	"3"	"2"	"1"	"2"	"8"	"37"	"437"	""	""	""
"98"	90	"197"	"189"	"7"	"9"	"6"	"1"	"2"	"1"	"4"	"48"	"11"	"10"	"485"	""	""	""
"99"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	208580	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"102"	91	"213"	"130"	"5"	"3"	"1"	"1"	"2"	"0"	"2"	"7"	"5"	"12"	"381"	""	""	""
"103"	92	"285"	"134"	"2"	"5"	"6"	"0"	"4"	"3"	"3"	"5"	"10"	"25"	"482"	""	""	""
"104"	93	"209"	"137"	"4"	"10"	"1"	"4"	"2"	"3"	"1"	"7"	"1"	"16"	"395"	""	""	""
"105"	94	"244"	"92"	"45"	"6"	"4"	"1"	"2"	"2"	"2"	"3"	"5"	"7"	"413"	""	""	""
"106"	95	"158"	"188"	"99"	"3"	"2"	"5"	"10"	"5"	"4"	"6"	"5"	"9"	"494"	""	""	""
"107"	96	"165"	"259"	"1"	"5"	"2"	"1"	"1"	"5"	"0"	"6"	"9"	"18"	"472"	""	""	""
"108"	97	"110"	"254"	"2"	"12"	"6"	"1"	"2"	"1"	"0"	"3"	"3"	"1"	"395"	""	""	""
"109"	98	"101"	"254"	"2"	"1"	"2"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"363"	""	""	""
"110"	99	"126"	"158"	"9"	"3"	"2"	"4"	"2"	"3"	"2"	"3"	"1"	"2"	"315"	""	""	""
"111"	100	"86"	"325"	"1"	"3"	"3"	"2"	"1"	"0"	"1"	"1"	"2"	"4"	"429"	""	""	""
"112"	101	"567"	"185"	"29"	"9"	"9"	"1"	"4"	"4"	"3"	"1"	"6"	"4"	"822"	""	""	""
"113"	102	"207"	"96"	"2"	"2"	"0"	"0"	"1"	"1"	"0"	"1"	"3"	"3"	"316"	""	""	""
"114"	103	"117"	"43"	"2"	"2"	"2"	"2"	"0"	"1"	"1"	"1"	"0"	"8"	"179"	""	""	""
"115"	104	"46"	"442"	"3"	"8"	"8"	"2"	"1"	"1"	"1"	"4"	"6"	"5"	"527"	""	""	""
"116"	105	"168"	"492"	"14"	"9"	"4"	"1"	"1"	"1"	"4"	"5"	"6"	"17"	"722"	""	""	""
"117"	106	"172"	"201"	"3"	"32"	"2"	"1"	"4"	"1"	"3"	"9"	"15"	"21"	"464"	""	""	""
"118"	107	"22"	"299"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"325"	""	""	""
"119"	108	"501"	"95"	"7"	"7"	"2"	"2"	"4"	"7"	"2"	"8"	"16"	"39"	"690"	""	""	""
"120"	109	"335"	"113"	"9"	"6"	"1"	"1"	"3"	"0"	"4"	"4"	"15"	"22"	"513"	""	""	""
"121"	110	"320"	"237"	"7"	"6"	"0"	"2"	"4"	"1"	"5"	"7"	"11"	"26"	"626"	""	""	""
"122"	111	"346"	"104"	"14"	"5"	"3"	"1"	"2"	"1"	"2"	"3"	"9"	"30"	"520"	""	""	""
"123"	112	"337"	"71"	"8"	"1"	"0"	"0"	"2"	"3"	"1"	"1"	"4"	"6"	"434"	""	""	""
"124"	113	"149"	"174"	"2"	"1"	"2"	"0"	"1"	"0"	"0"	"1"	"2"	"5"	"337"	""	""	""
"125"	114	"231"	"268"	"4"	"2"	"1"	"0"	"1"	"0"	"0"	"7"	"4"	"7"	"525"	""	""	""
"126"	115	"37"	"209"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"2"	"4"	"3"	"258"	""	""	""
"127"	116	"275"	"244"	"2"	"10"	"2"	"1"	"1"	"0"	"2"	"5"	"4"	"16"	"562"	""	""	""
"128"	117	"134"	"361"	"3"	"7"	"1"	"2"	"1"	"3"	"0"	"4"	"1"	"4"	"521"	""	""	""
"129"	118	"545"	"104"	"7"	"10"	"4"	"0"	"2"	"0"	"2"	"4"	"5"	"30"	"713"	""	""	""
"130"	119	"366"	"224"	"3"	"12"	"2"	"2"	"2"	"3"	"3"	"6"	"4"	"10"	"637"	""	""	""
"131"	120	"326"	"161"	"2"	"23"	"2"	"0"	"3"	"5"	"2"	"4"	"8"	"16"	"552"	""	""	""
"132"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	208580	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"135"	121	"313"	"174"	"4"	"19"	"4"	"3"	"7"	"0"	"2"	"1"	"7"	"4"	"538"	""	""	""
"136"	122	"461"	"306"	"6"	"7"	"4"	"2"	"0"	"0"	"1"	"7"	"45"	"17"	"856"	""	""	""
"137"	123	"336"	"304"	"3"	"3"	"1"	"0"	"3"	"2"	"0"	"2"	"7"	"5"	"666"	""	""	""
"138"	124	"34"	"281"	"3"	"2"	"1"	"0"	"2"	"1"	"1"	"0"	"0"	"1"	"326"	""	""	""
"139"	125	"25"	"212"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"241"	""	""	""
"140"	126	"192"	"157"	"4"	"1"	"5"	"1"	"2"	"1"	"3"	"8"	"24"	"8"	"406"	""	""	""
"141"	127	"304"	"125"	"21"	"7"	"2"	"1"	"2"	"1"	"3"	"4"	"9"	"12"	"491"	""	""	""
"142"	128	"269"	"198"	"24"	"12"	"4"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"510"	""	""	""
"143"	129	"251"	"228"	"5"	"21"	"1"	"0"	"2"	"0"	"2"	"5"	"2"	"3"	"520"	""	""	""
"144"	130	"246"	"171"	"2"	"21"	"7"	"2"	"4"	"2"	"3"	"6"	"9"	"20"	"493"	""	""	""
"145"	131	"100"	"255"	"1"	"10"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"2"	"372"	""	""	""
"146"	132	"211"	"264"	"8"	"15"	"4"	"1"	"1"	"2"	"1"	"3"	"5"	"7"	"522"	""	""	""
"147"	133	"205"	"255"	"1"	"19"	"6"	"2"	"3"	"3"	"2"	"9"	"4"	"4"	"513"	""	""	""
"148"	134	"99"	"174"	"1"	"5"	"1"	"1"	"1"	"2"	"0"	"3"	"3"	"4"	"294"	""	""	""
"149"	135	"326"	"313"	"11"	"25"	"9"	"7"	"7"	"3"	"0"	"7"	"4"	"5"	"717"	""	""	""
"150"	136	"117"	"183"	"2"	"4"	"0"	"0"	"1"	"1"	"1"	"2"	"3"	"4"	"318"	""	""	""
"151"	137	"88"	"172"	"3"	"8"	"4"	"0"	"0"	"0"	"0"	"4"	"3"	"4"	"286"	""	""	""
"152"	138	"138"	"169"	"1"	"16"	"4"	"2"	"4"	"0"	"5"	"11"	"7"	"2"	"359"	""	""	""
"153"	139	"236"	"170"	"8"	"34"	"8"	"3"	"5"	"1"	"3"	"6"	"6"	"3"	"483"	""	""	""
"154"	140	"309"	"415"	"11"	"7"	"10"	"3"	"1"	"1"	"1"	"4"	"5"	"1"	"768"	""	""	""
"155"	141	"257"	"344"	"4"	"21"	"6"	"4"	"2"	"3"	"5"	"8"	"5"	"7"	"666"	""	""	""
"156"	142	"255"	"216"	"4"	"8"	"8"	"3"	"8"	"4"	"5"	"16"	"20"	"33"	"580"	""	""	""
"157"	143	"172"	"290"	"5"	"9"	"5"	"3"	"7"	"7"	"7"	"6"	"13"	"26"	"550"	""	""	""
"158"	144	"134"	"284"	"6"	"4"	"4"	"6"	"5"	"3"	"2"	"11"	"9"	"14"	"482"	""	""	""
"159"	145	"138"	"355"	"4"	"3"	"3"	"1"	"1"	"2"	"1"	"0"	"3"	"6"	"517"	""	""	""
"160"	146	"254"	"179"	"3"	"16"	"2"	"2"	"1"	"0"	"1"	"7"	"9"	"12"	"486"	""	""	""
"161"	147	"288"	"126"	"2"	"14"	"3"	"2"	"2"	"1"	"2"	"5"	"4"	"8"	"457"	""	""	""
"162"	148	"215"	"303"	"4"	"17"	"2"	"0"	"3"	"1"	"3"	"4"	"9"	"18"	"579"	""	""	""
"163"	149	"125"	"129"	"1"	"13"	"1"	"1"	"2"	"1"	"2"	"2"	"7"	"15"	"299"	""	""	""
"164"	150	"121"	"192"	"1"	"20"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"339"	""	""	""
"165"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	208580	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"168"	151	"125"	"269"	"5"	"16"	"4"	"1"	"1"	"0"	"1"	"4"	"4"	"3"	"433"	""	""	""
"169"	152	"110"	"268"	"4"	"7"	"3"	"1"	"4"	"3"	"1"	"4"	"2"	"2"	"409"	""	""	""
"170"	153	"436"	"279"	"9"	"13"	"9"	"2"	"3"	"2"	"3"	"5"	"4"	"9"	"774"	""	""	""
"171"	154	"417"	"48"	"2"	"8"	"3"	"0"	"0"	"2"	"0"	"2"	"4"	"24"	"510"	""	""	""
"172"	155	"166"	"106"	"4"	"6"	"1"	"1"	"0"	"0"	"0"	"5"	"3"	"9"	"301"	""	""	""
"173"	156	"279"	"467"	"11"	"4"	"5"	"3"	"7"	"1"	"6"	"5"	"6"	"16"	"810"	""	""	""
"174"	157	"256"	"225"	"5"	"18"	"7"	"2"	"1"	"0"	"1"	"9"	"5"	"8"	"537"	""	""	""
"175"	158	"275"	"136"	"29"	"26"	"6"	"3"	"1"	"1"	"3"	"6"	"2"	"20"	"508"	""	""	""
"176"	159	"510"	"132"	"42"	"8"	"1"	"5"	"6"	"3"	"2"	"13"	"16"	"30"	"768"	""	""	""
"177"	160	"48"	"169"	"1"	"3"	"3"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"228"	""	""	""
"178"	161	"216"	"251"	"39"	"10"	"11"	"4"	"6"	"2"	"3"	"13"	"13"	"28"	"596"	""	""	""
"179"	162	"264"	"233"	"54"	"4"	"2"	"4"	"4"	"1"	"1"	"10"	"13"	"14"	"604"	""	""	""
"180"	163	"295"	"157"	"4"	"23"	"4"	"0"	"0"	"0"	"0"	"3"	"2"	"2"	"490"	""	""	""
"181"	164	"263"	"61"	"10"	"9"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"9"	"356"	""	""	""
"182"	165	"250"	"145"	"7"	"3"	"2"	"1"	"1"	"0"	"0"	"5"	"1"	"0"	"415"	""	""	""
"183"	166	"325"	"190"	"125"	"5"	"5"	"0"	"4"	"1"	"1"	"1"	"5"	"9"	"671"	""	""	""
"184"	167	"266"	"84"	"23"	"43"	"2"	"1"	"0"	"2"	"3"	"6"	"2"	"11"	"443"	""	""	""
"185"	168	"274"	"146"	"40"	"8"	"3"	"2"	"4"	"1"	"2"	"7"	"8"	"14"	"509"	""	""	""
"186"	169	"72"	"402"	"5"	"3"	"4"	"4"	"3"	"0"	"1"	"5"	"78"	"5"	"582"	""	""	""
"187"	170	"330"	"85"	"8"	"3"	"5"	"5"	"1"	"4"	"1"	"2"	"27"	"22"	"493"	""	""	""
"188"	171	"231"	"33"	"3"	"1"	"1"	"2"	"1"	"2"	"1"	"0"	"10"	"7"	"292"	""	""	""
"189"	172	"94"	"54"	"2"	"7"	"1"	"3"	"0"	"0"	"0"	"2"	"4"	"4"	"171"	""	""	""
"190"	173	"532"	"74"	"10"	"15"	"2"	"0"	"0"	"1"	"3"	"7"	"4"	"21"	"669"	""	""	""
"191"	174	"200"	"14"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"5"	"225"	""	""	""
"192"	175	"353"	"123"	"7"	"43"	"3"	"2"	"2"	"0"	"0"	"3"	"3"	"9"	"548"	""	""	""
"193"	176	"358"	"155"	"106"	"9"	"6"	"0"	"2"	"2"	"0"	"0"	"3"	"5"	"646"	""	""	""
"194"	177	"179"	"108"	"0"	"7"	"1"	"0"	"1"	"0"	"0"	"2"	"1"	"0"	"299"	""	""	""
"195"	178	"443"	"259"	"14"	"18"	"2"	"0"	"3"	"1"	"3"	"5"	"12"	"22"	"782"	""	""	""
"196"	179	"373"	"215"	"1"	"16"	"4"	"3"	"0"	"0"	"3"	"3"	"8"	"16"	"642"	""	""	""
"197"	180	"381"	"208"	"12"	"23"	"7"	"1"	"2"	"2"	"4"	"8"	"72"	"10"	"730"	""	""	""
"198"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	208580	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
