"er.nku.dsUnz.l.a....k"	"mEehnokj..ds.Ik.k.esa.Mkys.x..s.oS....er.ksa.dh.l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"dqy..oS....er.i.."	"j.Ì..er.ksa.dh.l.a....k"	"X..ksx"	"fufonÙk.er.ksa.dh.l.a....k"
"57"	"l hV dk
; ksx"	"1746"	"1051"	"200"	"56"	"208"	"12"	"18"	"369"	"67"	"13"	"13"	"41"	"19"	"141"	"71"	"202"	"107"	"48"	"35"	"24"	"21"	"37"	"4499"	"0"	"4499"	"0"
"58"	"d qy  &"	"3379"	"5771"	"458"	"284"	"3016"	"91"	"64"	"786"	"118"	"75"	"61"	"90"	"53"	"217"	"556"	"484"	"222"	"123"	"62"	"77"	"73"	"116"	"16176"	"0"	"16176"	"0"
"59"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"60"	""	"v' oes?k nsoh"	"vkyksd  dqekj  esgr k"	"j kenso oekZ"	"fot ; oUr  dqekj  pkS/kj h"	"' khy  dqekj  j k;"	"pUnz nso j k;"	"t ;  ukj k; .k l kg"	"ft r sUnz dqekj  j k;"	"r ks\"k.k l kg"	"eks0 r kSfd j"	"el mn gl u"	"j keukFk fl ag"	"vt qZu l guh"	"i znhi  dqekj"	"czt s' k dqekj  fuj kyk"	"eal wj"	"eksgu i kWy"	"eksgEen dqj cku"	"j r u l guh"	"j ke l kxj  egr ks"	"l at ;  dqekj  >k"	"l qt hr  dqekj  Hkxr"	""	""	""	""
"61"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"62"	"i woZ  dk
; ksx&"	"3379"	"5771"	"458"	"284"	"3016"	"91"	"64"	"786"	"118"	"75"	"61"	"90"	"53"	"217"	"556"	"484"	"222"	"123"	"62"	"77"	"73"	"116"	"16176"	"0"	"16176"	"0"
"63"	"43"	"179"	"15"	"2"	"1"	"5"	"4"	"0"	"26"	"4"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"5"	"1"	"0"	"0"	"0"	"1"	"246"	"0"	"246"	"0"
"64"	"44"	"199"	"64"	"6"	"0"	"3"	"0"	"0"	"30"	"4"	"1"	"0"	"2"	"1"	"0"	"1"	"3"	"1"	"2"	"2"	"1"	"0"	"0"	"320"	"0"	"320"	"0"
"65"	"45"	"117"	"111"	"9"	"2"	"13"	"1"	"1"	"29"	"2"	"2"	"2"	"0"	"1"	"12"	"3"	"12"	"4"	"5"	"1"	"0"	"0"	"4"	"331"	"0"	"331"	"0"
"66"	"46"	"106"	"132"	"48"	"6"	"6"	"4"	"3"	"53"	"2"	"2"	"3"	"1"	"1"	"10"	"0"	"4"	"4"	"1"	"3"	"1"	"0"	"2"	"392"	"0"	"392"	"0"
"67"	"47"	"130"	"29"	"57"	"4"	"3"	"1"	"0"	"23"	"4"	"1"	"0"	"0"	"0"	"3"	"1"	"3"	"6"	"1"	"5"	"0"	"0"	"4"	"275"	"0"	"275"	"0"
"68"	"48"	"108"	"190"	"13"	"31"	"22"	"2"	"2"	"42"	"3"	"4"	"3"	"6"	"5"	"5"	"13"	"30"	"3"	"0"	"0"	"0"	"0"	"1"	"483"	"0"	"483"	"0"
"69"	"49"	"102"	"271"	"10"	"4"	"76"	"3"	"1"	"27"	"4"	"1"	"4"	"1"	"1"	"3"	"4"	"16"	"11"	"5"	"1"	"5"	"5"	"1"	"556"	"0"	"556"	"0"
"70"	"50"	"122"	"63"	"7"	"3"	"9"	"0"	"0"	"40"	"1"	"0"	"0"	"1"	"0"	"1"	"3"	"12"	"0"	"5"	"0"	"0"	"1"	"1"	"269"	"0"	"269"	"0"
"71"	"51"	"71"	"134"	"7"	"20"	"21"	"0"	"0"	"32"	"6"	"1"	"2"	"3"	"3"	"2"	"2"	"3"	"21"	"7"	"3"	"4"	"5"	"8"	"355"	"0"	"355"	"0"
"72"	"52"	"143"	"257"	"7"	"4"	"27"	"0"	"3"	"27"	"2"	"1"	"1"	"4"	"0"	"2"	"9"	"14"	"13"	"10"	"2"	"1"	"1"	"9"	"537"	"0"	"537"	"0"
"73"	"53"	"84"	"122"	"7"	"0"	"34"	"1"	"0"	"7"	"1"	"2"	"1"	"0"	"1"	"3"	"6"	"6"	"11"	"5"	"4"	"3"	"2"	"11"	"311"	"0"	"311"	"0"
"74"	"54"	"86"	"250"	"15"	"5"	"30"	"2"	"4"	"11"	"0"	"2"	"2"	"3"	"2"	"1"	"4"	"13"	"0"	"6"	"0"	"1"	"1"	"1"	"439"	"0"	"439"	"0"
"75"	"55"	"204"	"95"	"12"	"91"	"31"	"5"	"2"	"46"	"7"	"2"	"6"	"2"	"2"	"1"	"3"	"4"	"7"	"2"	"0"	"3"	"2"	"1"	"528"	"0"	"528"	"0"
"76"	"56"	"394"	"206"	"17"	"0"	"26"	"3"	"1"	"31"	"3"	"0"	"0"	"1"	"2"	"6"	"3"	"17"	"1"	"1"	"0"	"1"	"0"	"4"	"717"	"0"	"717"	"0"
"77"	"l hV dk
; ksx"	"2045"	"1939"	"217"	"171"	"306"	"26"	"17"	"424"	"43"	"19"	"24"	"24"	"19"	"50"	"53"	"138"	"87"	"51"	"21"	"20"	"17"	"48"	"5759"	"0"	"5759"	"0"
"78"	"d qy  &"	"5424"	"7710"	"675"	"455"	"3322"	"117"	"81"	"1210"	"161"	"94"	"85"	"114"	"72"	"267"	"609"	"622"	"309"	"174"	"83"	"97"	"90"	"164"	"21935"	"0"	"21935"	"0"
"79"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"80"	""	"v' oes?k nsoh"	"vkyksd  dqekj  esgr k"	"j kenso oekZ"	"fot ; oUr  dqekj  pkS/kj h"	"' khy  dqekj  j k;"	"pUnz nso j k;"	"t ;  ukj k; .k l kg"	"ft r sUnz dqekj  j k;"	"r ks\"k.k l kg"	"eks0 r kSfd j"	"el mn gl u"	"j keukFk fl ag"	"vt qZu l guh"	"i znhi  dqekj"	"czt s' k dqekj  fuj kyk"	"eal wj"	"eksgu i kWy"	"eksgEen dqj cku"	"j r u l guh"	"j ke l kxj  egr ks"	"l at ;  dqekj  >k"	"l qt hr  dqekj  Hkxr"	""	""	""	""
"81"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"82"	"i woZ  dk
; ksx&"	"5424"	"7710"	"675"	"455"	"3322"	"117"	"81"	"1210"	"161"	"94"	"85"	"114"	"72"	"267"	"609"	"622"	"309"	"174"	"83"	"97"	"90"	"164"	"21935"	"0"	"21935"	"0"
"83"	"57"	"67"	"281"	"14"	"1"	"28"	"1"	"3"	"14"	"1"	"2"	"1"	"0"	"2"	"4"	"3"	"2"	"5"	"6"	"1"	"0"	"0"	"1"	"437"	"0"	"437"	"0"
"84"	"58"	"136"	"252"	"14"	"1"	"38"	"0"	"1"	"37"	"3"	"1"	"0"	"0"	"2"	"1"	"10"	"3"	"9"	"8"	"1"	"5"	"2"	"1"	"525"	"0"	"525"	"0"
"85"	"59"	"70"	"454"	"12"	"5"	"3"	"1"	"1"	"25"	"6"	"0"	"1"	"0"	"0"	"0"	"1"	"2"	"1"	"4"	"0"	"1"	"2"	"2"	"591"	"0"	"591"	"0"
"86"	"60"	"18"	"198"	"9"	"2"	"44"	"2"	"1"	"11"	"3"	"1"	"2"	"0"	"1"	"1"	"7"	"14"	"4"	"6"	"0"	"1"	"1"	"0"	"326"	"0"	"326"	"0"
"87"	"61"	"21"	"146"	"11"	"2"	"25"	"0"	"3"	"23"	"5"	"5"	"1"	"1"	"2"	"3"	"11"	"22"	"3"	"2"	"2"	"0"	"1"	"0"	"289"	"0"	"289"	"0"
"88"	"62"	"110"	"57"	"8"	"2"	"6"	"0"	"3"	"50"	"9"	"5"	"1"	"1"	"3"	"3"	"4"	"5"	"12"	"4"	"0"	"3"	"3"	"4"	"293"	"0"	"293"	"0"
"89"	"63"	"222"	"68"	"13"	"4"	"45"	"1"	"3"	"30"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"3"	"1"	"0"	"1"	"0"	"1"	"396"	"0"	"396"	"0"
"90"	"64"	"151"	"16"	"9"	"2"	"2"	"0"	"1"	"25"	"3"	"0"	"0"	"0"	"0"	"1"	"1"	"5"	"6"	"0"	"0"	"2"	"0"	"2"	"226"	"0"	"226"	"0"
"91"	"65"	"155"	"56"	"10"	"1"	"33"	"2"	"0"	"32"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"295"	"0"	"295"	"0"
"92"	"66"	"123"	"166"	"7"	"1"	"26"	"1"	"1"	"32"	"2"	"6"	"0"	"2"	"3"	"2"	"3"	"12"	"9"	"2"	"4"	"3"	"1"	"3"	"409"	"0"	"409"	"0"
"93"	"67"	"184"	"59"	"8"	"2"	"11"	"1"	"1"	"53"	"5"	"3"	"2"	"0"	"1"	"5"	"2"	"12"	"6"	"3"	"1"	"0"	"0"	"2"	"361"	"0"	"361"	"0"
"94"	"68"	"125"	"181"	"16"	"1"	"37"	"0"	"1"	"27"	"5"	"2"	"3"	"2"	"3"	"7"	"11"	"14"	"26"	"21"	"4"	"6"	"9"	"10"	"511"	"0"	"511"	"0"
"95"	"69"	"55"	"248"	"2"	"4"	"67"	"0"	"0"	"27"	"1"	"0"	"1"	"0"	"0"	"1"	"5"	"3"	"3"	"6"	"2"	"2"	"1"	"4"	"432"	"0"	"432"	"0"
"96"	"70"	"223"	"92"	"16"	"6"	"16"	"0"	"3"	"47"	"4"	"2"	"1"	"0"	"1"	"3"	"4"	"5"	"1"	"1"	"1"	"1"	"0"	"0"	"427"	"0"	"427"	"0"
"97"	"l hV dk
; ksx"	"1660"	"2274"	"149"	"34"	"381"	"9"	"22"	"433"	"50"	"27"	"14"	"6"	"19"	"31"	"63"	"101"	"90"	"64"	"16"	"25"	"20"	"30"	"5518"	"0"	"5518"	"0"
"98"	"d qy  &"	"7084"	"9984"	"824"	"489"	"3703"	"126"	"103"	"1643"	"211"	"121"	"99"	"120"	"91"	"298"	"672"	"723"	"399"	"238"	"99"	"122"	"110"	"194"	"27453"	"0"	"27453"	"0"
"99"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"100"	""	"v' oes?k nsoh"	"vkyksd  dqekj  esgr k"	"j kenso oekZ"	"fot ; oUr  dqekj  pkS/kj h"	"' khy  dqekj  j k;"	"pUnz nso j k;"	"t ;  ukj k; .k l kg"	"ft r sUnz dqekj  j k;"	"r ks\"k.k l kg"	"eks0 r kSfd j"	"el mn gl u"	"j keukFk fl ag"	"vt qZu l guh"	"i znhi  dqekj"	"czt s' k dqekj  fuj kyk"	"eal wj"	"eksgu i kWy"	"eksgEen dqj cku"	"j r u l guh"	"j ke l kxj  egr ks"	"l at ;  dqekj  >k"	"l qt hr  dqekj  Hkxr"	""	""	""	""
"101"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"102"	"i woZ  dk
; ksx&"	"7084"	"9984"	"824"	"489"	"3703"	"126"	"103"	"1643"	"211"	"121"	"99"	"120"	"91"	"298"	"672"	"723"	"399"	"238"	"99"	"122"	"110"	"194"	"27453"	"0"	"27453"	"0"
"103"	"71"	"24"	"111"	"28"	"1"	"39"	"1"	"2"	"17"	"2"	"2"	"5"	"5"	"1"	"5"	"4"	"19"	"4"	"3"	"2"	"2"	"1"	"6"	"284"	"0"	"284"	"0"
"104"	"72"	"33"	"135"	"6"	"0"	"66"	"1"	"3"	"34"	"5"	"2"	"3"	"3"	"0"	"4"	"3"	"8"	"15"	"19"	"5"	"7"	"8"	"23"	"383"	"0"	"383"	"0"
