"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations) Election of the HOUSE OF PEOPLE From the 14 - DARBHANGA PARLIAMENTARY Constituency PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be used for Parliamentary and Assembly elections) Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…82 DARBHANGA RURAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of electors in Assembly constituency / Segment  : 218797"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"30"	"22"	"21"	"87"	"63"	"115"	"5"	"5"	"4"	"3"	"3"	"19"	"7"	"1"	"0"	"4"	"4"	"320"	"-"	"320"	""
"31"	"23"	"22"	"58"	"64"	"79"	"4"	"1"	"10"	"3"	"8"	"23"	"5"	"5"	"8"	"18"	"20"	"306"	"-"	"306"	""
"32"	"24"	"23"	"81"	"186"	"25"	"0"	"0"	"0"	"2"	"2"	"26"	"1"	"1"	"3"	"2"	"4"	"333"	"-"	"333"	""
"33"	"25"	"24"	"64"	"58"	"253"	"4"	"2"	"1"	"1"	"1"	"1"	"3"	"0"	"4"	"3"	"6"	"401"	"-"	"401"	""
"34"	"26"	"25"	"22"	"366"	"20"	"4"	"1"	"2"	"0"	"0"	"11"	"2"	"3"	"1"	"4"	"3"	"439"	"-"	"439"	""
"35"	"27"	"26"	"12"	"38"	"136"	"4"	"1"	"3"	"2"	"3"	"4"	"2"	"0"	"5"	"3"	"10"	"223"	"-"	"223"	""
"36"	"28"	"27"	"21"	"380"	"5"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"5"	"3"	"416"	"-"	"416"	""
"37"	"29"	"28"	"31"	"156"	"133"	"5"	"0"	"2"	"1"	"0"	"10"	"1"	"0"	"2"	"5"	"4"	"350"	"-"	"350"	""
"38"	"30"	"29"	"45"	"223"	"162"	"5"	"0"	"3"	"1"	"1"	"29"	"1"	"2"	"4"	"1"	"3"	"480"	"-"	"480"	""
"39"	"31"	"30"	"22"	"190"	"23"	"2"	"0"	"1"	"2"	"2"	"0"	"1"	"5"	"2"	"7"	"7"	"264"	"-"	"264"	""
"40"	"32"	"31"	"20"	"227"	"7"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"3"	"2"	"4"	"9"	"278"	"-"	"278"	""
"41"	"33"	"32"	"53"	"173"	"211"	"10"	"1"	"8"	"2"	"3"	"5"	"6"	"4"	"1"	"10"	"9"	"496"	"-"	"496"	""
"42"	"34"	"33"	"5"	"188"	"18"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"2"	"217"	"-"	"217"	""
"43"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"44"	""	""	"Ajay Ku mar Jalan"	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Yugeshwar Sahani"	"Ku mari Su reshwari"	"Md.
Khu rsheed Alam"	"Du rga Nand
Mahabir Nayak"	"Md.
Nizamu ddin"	"Sathy Narayn Mu khiya"	"Abdu r Rahim"	"Govind Acharya"	"Bharat Yadav"	"Lal Bahadu r
Yadav"	"Prof. Hareram Acharya"	""	""	""	""
"45"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"46"	"35"	"34"	"42"	"81"	"183"	"15"	"4"	"3"	"0"	"6"	"4"	"2"	"3"	"2"	"6"	"4"	"355"	"-"	"355"	""
"47"	"36"	"35"	"29"	"51"	"271"	"9"	"1"	"1"	"0"	"2"	"0"	"2"	"2"	"4"	"5"	"5"	"382"	"-"	"382"	""
"48"	"37"	"36"	"35"	"39"	"111"	"4"	"0"	"3"	"0"	"3"	"0"	"4"	"5"	"1"	"3"	"8"	"216"	"-"	"216"	""
"49"	"38"	"37"	"19"	"5"	"93"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"120"	"-"	"120"	""
"50"	"39"	"38"	"49"	"96"	"120"	"7"	"0"	"3"	"0"	"1"	"1"	"2"	"4"	"5"	"9"	"3"	"300"	"-"	"300"	""
"51"	"40"	"39"	"17"	"203"	"189"	"5"	"2"	"4"	"2"	"2"	"0"	"4"	"0"	"4"	"3"	"1"	"436"	"-"	"436"	""
"52"	"41"	"40"	"24"	"117"	"77"	"8"	"2"	"1"	"4"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"237"	"-"	"237"	""
"53"	"42"	"41"	"43"	"136"	"148"	"8"	"1"	"5"	"2"	"4"	"4"	"2"	"4"	"2"	"6"	"1"	"366"	""	"366"	""
"54"	"43"	"42"	"23"	"49"	"102"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"176"	"-"	"176"	""
"55"	"44"	"43"	"105"	"160"	"41"	"4"	"2"	"3"	"3"	"4"	"31"	"2"	"0"	"0"	"2"	"1"	"358"	"-"	"358"	""
"56"	"45"	"44"	"54"	"51"	"79"	"4"	"1"	"1"	"0"	"2"	"9"	"2"	"0"	"2"	"5"	"9"	"219"	"-"	"219"	""
"57"	"46"	"45"	"76"	"154"	"104"	"6"	"0"	"7"	"2"	"2"	"3"	"0"	"2"	"2"	"3"	"8"	"369"	"-"	"369"	""
"58"	"47"	"46"	"26"	"120"	"41"	"3"	"1"	"0"	"0"	"3"	"1"	"2"	"1"	"0"	"10"	"4"	"212"	"-"	"212"	""
"59"	"48"	"47"	"209"	"305"	"41"	"3"	"1"	"1"	"1"	"2"	"5"	"0"	"2"	"1"	"11"	"10"	"592"	"-"	"592"	""
"60"	"49"	"48"	"53"	"181"	"61"	"4"	"2"	"0"	"1"	"1"	"22"	"0"	"2"	"4"	"6"	"2"	"339"	"-"	"339"	""
"61"	"50"	"49"	"132"	"132"	"116"	"9"	"11"	"15"	"14"	"10"	"76"	"3"	"3"	"5"	"5"	"6"	"537"	"-"	"537"	""
"62"	"51"	"50"	"31"	"79"	"255"	"10"	"1"	"3"	"4"	"3"	"8"	"5"	"3"	"13"	"10"	"20"	"445"	"-"	"445"	""
"63"	"52"	"51"	"53"	"209"	"31"	"0"	"0"	"0"	"4"	"0"	"5"	"0"	"0"	"3"	"2"	"2"	"309"	"-"	"309"	""
"64"	"53"	"52"	"25"	"152"	"376"	"14"	"3"	"5"	"3"	"4"	"6"	"10"	"4"	"14"	"18"	"15"	"649"	"-"	"649"	""
"65"	"54"	"53"	"20"	"178"	"170"	"8"	"2"	"3"	"2"	"1"	"0"	"7"	"6"	"6"	"8"	"21"	"432"	"-"	"432"	""
"66"	"55"	"54"	"9"	"205"	"13"	"2"	"0"	"0"	"0"	"1"	"0"	"2"	"1"	"2"	"2"	"4"	"241"	"-"	"241"	""
"67"	"56"	"55"	"37"	"186"	"217"	"8"	"6"	"5"	"5"	"2"	"2"	"7"	"7"	"17"	"10"	"35"	"544"	"-"	"544"	""
"68"	"57"	"56"	"4"	"61"	"71"	"2"	"1"	"0"	"1"	"1"	"0"	"0"	"3"	"4"	"3"	"8"	"159"	"-"	"159"	""
"69"	"58"	"57"	"21"	"309"	"155"	"3"	"0"	"1"	"1"	"0"	"10"	"4"	"3"	"7"	"13"	"12"	"539"	"-"	"539"	""
"70"	"59"	"58"	"26"	"292"	"156"	"16"	"6"	"2"	"1"	"2"	"9"	"8"	"6"	"10"	"12"	"15"	"561"	"-"	"561"	""
"71"	"60"	"59"	"11"	"57"	"210"	"4"	"1"	"4"	"2"	"4"	"8"	"2"	"6"	"25"	"15"	"35"	"384"	"-"	"384"	""
"72"	"61"	"60"	"3"	"18"	"125"	"5"	"1"	"1"	"0"	"3"	"5"	"2"	"0"	"1"	"2"	"4"	"170"	"-"	"170"	""
"73"	"62"	"61"	"22"	"19"	"298"	"16"	"0"	"3"	"8"	"2"	"65"	"5"	"5"	"7"	"1"	"8"	"459"	"-"	"459"	""
"74"	"63"	"62"	"22"	"52"	"433"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"3"	"2"	"522"	"-"	"522"	""
"75"	"64"	"63"	"21"	"137"	"370"	"3"	"1"	"2"	"0"	"1"	"10"	"3"	"2"	"11"	"10"	"29"	"600"	"-"	"600"	""
"76"	"65"	"64"	"26"	"398"	"128"	"3"	"1"	"0"	"1"	"4"	"2"	"5"	"3"	"5"	"17"	"29"	"622"	"-"	"622"	""
"77"	"66"	"65"	"5"	"422"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"2"	"439"	"-"	"439"	""
"78"	"67"	"66"	"30"	"334"	"29"	"3"	"3"	"3"	"1"	"3"	"1"	"0"	"2"	"2"	"2"	"0"	"413"	"-"	"413"	""
"79"	"68"	"67"	"23"	"157"	"61"	"4"	"1"	"1"	"2"	"0"	"1"	"3"	"4"	"2"	"9"	"16"	"284"	"-"	"284"	""
"80"	"69"	"68"	"16"	"270"	"32"	"4"	"2"	"1"	"2"	"4"	"4"	"4"	"2"	"3"	"13"	"11"	"368"	"-"	"368"	""
"81"	"70"	"69"	"23"	"66"	"321"	"10"	"2"	"0"	"2"	"1"	"4"	"4"	"2"	"8"	"8"	"17"	"468"	"-"	"468"	""
"82"	"71"	"70"	"28"	"210"	"183"	"12"	"8"	"5"	"1"	"1"	"8"	"3"	"1"	"3"	"5"	"3"	"471"	"-"	"471"	""
"83"	"72"	"71"	"12"	"163"	"245"	"1"	"0"	"1"	"0"	"1"	"4"	"0"	"1"	"1"	"5"	"4"	"438"	"-"	"438"	""
"84"	"73"	"72"	"15"	"122"	"181"	"7"	"3"	"4"	"4"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"342"	"-"	"342"	""
"85"	"74"	"73"	"32"	"491"	"153"	"12"	"1"	"1"	"1"	"1"	"12"	"2"	"1"	"0"	"13"	"2"	"722"	"-"	"722"	""
"86"	"75"	"74"	"40"	"321"	"310"	"21"	"2"	"5"	"4"	"16"	"6"	"6"	"9"	"15"	"19"	"12"	"786"	"-"	"786"	""
"87"	"76"	"75"	"14"	"45"	"385"	"9"	"4"	"4"	"5"	"4"	"78"	"4"	"1"	"5"	"1"	"2"	"561"	"-"	"561"	""
"88"	"77"	"76"	"33"	"111"	"347"	"26"	"10"	"6"	"5"	"1"	"17"	"4"	"3"	"22"	"7"	"9"	"601"	"-"	"601"	""
"89"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"90"	""	""	"Ajay Ku mar Jalan"	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Yugeshwar Sahani"	"Ku mari Su reshwari"	"Md.
Khu rsheed Alam"	"Du rga Nand
Mahabir Nayak"	"Md.
Nizamu ddin"	"Sathy Narayn Mu khiya"	"Abdu r Rahim"	"Govind Acharya"	"Bharat Yadav"	"Lal Bahadu r
Yadav"	"Prof. Hareram Acharya"	""	""	""	""
"91"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"92"	"78"	"77"	"4"	"151"	"23"	"4"	"2"	"2"	"2"	"1"	"1"	"0"	"0"	"1"	"6"	"5"	"202"	"-"	"202"	""
"93"	"79"	"78"	"9"	"12"	"139"	"5"	"0"	"1"	"1"	"1"	"7"	"2"	"2"	"12"	"1"	"3"	"195"	"-"	"195"	""
"94"	"80"	"79"	"32"	"172"	"236"	"6"	"3"	"4"	"2"	"3"	"4"	"10"	"2"	"5"	"6"	"6"	"491"	"-"	"491"	""
"95"	"81"	"80"	"3"	"11"	"204"	"4"	"1"	"2"	"0"	"1"	"11"	"3"	"0"	"4"	"0"	"3"	"247"	"-"	"247"	""
"96"	"82"	"81"	"33"	"64"	"547"	"11"	"2"	"8"	"9"	"6"	"30"	"5"	"5"	"22"	"6"	"19"	"767"	"-"	"767"	""
"97"	"83"	"82"	"12"	"22"	"294"	"2"	"1"	"2"	"1"	"4"	"2"	"2"	"1"	"2"	"1"	"3"	"349"	"-"	"349"	""
"98"	"84"	"83"	"37"	"81"	"383"	"10"	"5"	"8"	"7"	"8"	"8"	"15"	"5"	"7"	"7"	"4"	"585"	"-"	"585"	""
"99"	"85"	"84"	"17"	"41"	"330"	"19"	"3"	"3"	"5"	"15"	"106"	"14"	"6"	"23"	"14"	"25"	"621"	"-"	"621"	""
"100"	"86"	"85"	"43"	"178"	"131"	"5"	"3"	"4"	"4"	"3"	"2"	"2"	"2"	"3"	"4"	"7"	"391"	"-"	"391"	""
"101"	"87"	"86"	"18"	"130"	"88"	"7"	"3"	"0"	"1"	"1"	"3"	"1"	"1"	"2"	"12"	"9"	"276"	"-"	"276"	""
"102"	"88"	"87"	"26"	"29"	"230"	"11"	"5"	"1"	"5"	"5"	"5"	"3"	"1"	"11"	"2"	"17"	"351"	"-"	"351"	""
"103"	"89"	"88"	"6"	"37"	"103"	"9"	"2"	"0"	"2"	"9"	"15"	"6"	"9"	"14"	"11"	"21"	"244"	"-"	"244"	""
"104"	"90"	"89"	"40"	"217"	"290"	"21"	"10"	"4"	"6"	"1"	"8"	"7"	"4"	"12"	"9"	"37"	"666"	"-"	"666"	""
"105"	"91"	"90"	"25"	"171"	"129"	"5"	"1"	"1"	"1"	"0"	"1"	"6"	"4"	"7"	"11"	"23"	"385"	"-"	"385"	""
"106"	"92"	"91"	"20"	"233"	"198"	"11"	"3"	"2"	"3"	"8"	"8"	"8"	"4"	"7"	"11"	"18"	"534"	"-"	"534"	""
"107"	"93"	"92"	"11"	"32"	"264"	"5"	"5"	"2"	"1"	"0"	"3"	"2"	"3"	"10"	"0"	"12"	"350"	"-"	"350"	""
"108"	"94"	"93"	"12"	"50"	"224"	"8"	"2"	"1"	"2"	"4"	"2"	"7"	"11"	"30"	"16"	"37"	"406"	"-"	"406"	""
"109"	"95"	"94"	"17"	"112"	"207"	"7"	"4"	"2"	"2"	"1"	"1"	"2"	"1"	"3"	"4"	"3"	"366"	"-"	"366"	""
"110"	"96"	"95"	"69"	"304"	"112"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"4"	"7"	"17"	"24"	"541"	"-"	"541"	""
"111"	"97"	"96"	"27"	"162"	"243"	"19"	"6"	"1"	"5"	"3"	"8"	"4"	"2"	"0"	"2"	"12"	"494"	"-"	"494"	""
"112"	"98"	"97"	"39"	"54"	"257"	"6"	"3"	"0"	"3"	"0"	"12"	"5"	"1"	"9"	"6"	"5"	"400"	"-"	"400"	""
"113"	"99"	"98"	"37"	"11"	"349"	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"0"	"3"	"1"	"4"	"410"	"-"	"410"	""
"114"	"100"	"99"	"73"	"233"	"66"	"0"	"0"	"1"	"0"	"1"	"0"	"3"	"3"	"2"	"8"	"7"	"397"	"-"	"397"	""
"115"	"101"	"100"	"44"	"39"	"269"	"18"	"6"	"3"	"5"	"2"	"8"	"12"	"2"	"2"	"2"	"7"	"419"	"-"	"419"	""
"116"	"102"	"101"	"57"	"142"	"328"	"3"	"3"	"1"	"1"	"2"	"6"	"7"	"5"	"12"	"9"	"35"	"611"	"-"	"611"	""
"117"	"103"	"102"	"91"	"110"	"323"	"1"	"4"	"1"	"2"	"1"	"1"	"4"	"8"	"13"	"12"	"8"	"579"	"-"	"579"	""
"118"	"104"	"103"	"29"	"87"	"69"	"1"	"2"	"1"	"1"	"0"	"4"	"0"	"2"	"4"	"7"	"3"	"210"	"-"	"210"	""
"119"	"105"	"104"	"31"	"72"	"166"	"2"	"0"	"1"	"0"	"1"	"1"	"0"	"2"	"6"	"1"	"3"	"286"	"-"	"286"	""
"120"	"106"	"105"	"51"	"115"	"160"	"4"	"2"	"5"	"4"	"3"	"11"	"8"	"8"	"9"	"18"	"30"	"428"	"-"	"428"	""
"121"	"107"	"106"	"28"	"205"	"126"	"1"	"0"	"1"	"1"	"1"	"3"	"2"	"1"	"1"	"8"	"9"	"387"	"-"	"387"	""
"122"	"108"	"107"	"38"	"108"	"160"	"5"	"2"	"1"	"1"	"1"	"3"	"0"	"0"	"0"	"2"	"2"	"323"	"-"	"323"	""
"123"	"109"	"108"	"61"	"252"	"317"	"11"	"7"	"7"	"14"	"9"	"7"	"9"	"5"	"6"	"9"	"5"	"719"	"-"	"719"	""
"124"	"110"	"109"	"8"	"59"	"155"	"12"	"2"	"3"	"3"	"2"	"0"	"1"	"4"	"3"	"3"	"2"	"257"	"-"	"257"	""
"125"	"111"	"110"	"89"	"197"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"1"	"302"	"-"	"302"	""
"126"	"112"	"111"	"8"	"22"	"192"	"3"	"2"	"2"	"0"	"0"	"1"	"1"	"0"	"8"	"3"	"2"	"244"	"-"	"244"	""
"127"	"113"	"112"	"40"	"55"	"194"	"8"	"1"	"6"	"7"	"4"	"5"	"6"	"7"	"7"	"12"	"3"	"355"	"-"	"355"	""
"128"	"114"	"113"	"108"	"115"	"22"	"3"	"0"	"2"	"0"	"2"	"4"	"0"	"1"	"3"	"1"	"0"	"261"	"-"	"261"	""
"129"	"115"	"114"	"34"	"215"	"20"	"0"	"0"	"0"	"2"	"0"	"1"	"1"	"0"	"1"	"3"	"3"	"280"	"-"	"280"	""
"130"	"116"	"115"	"14"	"73"	"133"	"1"	"0"	"1"	"1"	"2"	"1"	"3"	"3"	"3"	"3"	"10"	"248"	"-"	"248"	""
"131"	"117"	"116"	"25"	"170"	"128"	"2"	"0"	"0"	"1"	"1"	"0"	"2"	"4"	"0"	"6"	"9"	"348"	"-"	"348"	""
"132"	"118"	"117"	"18"	"214"	"294"	"7"	"5"	"3"	"3"	"3"	"2"	"1"	"7"	"7"	"9"	"17"	"590"	"-"	"590"	""
"133"	"119"	"118"	"24"	"162"	"103"	"9"	"0"	"4"	"3"	"1"	"4"	"3"	"2"	"10"	"5"	"6"	"336"	"-"	"336"	""
"134"	"120"	"119"	"34"	"52"	"112"	"7"	"2"	"5"	"2"	"2"	"7"	"4"	"2"	"7"	"7"	"9"	"252"	"-"	"252"	""
"135"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"136"	""	""	"Ajay Ku mar Jalan"	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Yugeshwar Sahani"	"Ku mari Su reshwari"	"Md.
Khu rsheed Alam"	"Du rga Nand
Mahabir Nayak"	"Md.
Nizamu ddin"	"Sathy Narayn Mu khiya"	"Abdu r Rahim"	"Govind Acharya"	"Bharat Yadav"	"Lal Bahadu r
Yadav"	"Prof. Hareram Acharya"	""	""	""	""
"137"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"138"	"121"	"120"	"50"	"200"	"160"	"12"	"1"	"5"	"5"	"3"	"4"	"2"	"2"	"2"	"6"	"1"	"453"	"-"	"453"	""
"139"	"122"	"121"	"26"	"228"	"187"	"9"	"5"	"1"	"6"	"5"	"3"	"8"	"10"	"19"	"28"	"45"	"580"	"-"	"580"	""
"140"	"123"	"122"	"23"	"196"	"58"	"4"	"0"	"2"	"2"	"1"	"1"	"1"	"4"	"5"	"21"	"25"	"343"	"-"	"343"	""
"141"	"124"	"123"	"34"	"172"	"34"	"2"	"1"	"0"	"0"	"1"	"0"	"1"	"4"	"5"	"6"	"11"	"271"	"-"	"271"	""
"142"	"125"	"124"	"14"	"159"	"11"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"3"	"12"	"8"	"209"	"-"	"209"	""
"143"	"126"	"125"	"123"	"222"	"35"	"2"	"1"	"3"	"1"	"4"	"1"	"0"	"3"	"4"	"5"	"5"	"409"	"-"	"409"	""
"144"	"127"	"126"	"11"	"130"	"377"	"2"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"4"	"4"	"532"	"-"	"532"	""
"145"	"128"	"127"	"20"	"122"	"292"	"4"	"1"	"3"	"0"	"3"	"0"	"4"	"1"	"4"	"4"	"9"	"467"	"-"	"467"	""
"146"	"129"	"128"	"15"	"58"	"246"	"3"	"5"	"0"	"1"	"0"	"2"	"3"	"2"	"5"	"9"	"12"	"361"	"-"	"361"	""
"147"	"130"	"129"	"22"	"330"	"112"	"7"	"3"	"1"	"1"	"1"	"3"	"1"	"2"	"1"	"3"	"6"	"493"	"-"	"493"	""
"148"	"131"	"130"	"29"	"297"	"84"	"3"	"0"	"3"	"1"	"1"	"1"	"0"	"1"	"2"	"4"	"8"	"434"	"-"	"434"	""
"149"	"132"	"131"	"29"	"228"	"59"	"5"	"1"	"3"	"1"	"4"	"4"	"3"	"3"	"7"	"12"	"12"	"371"	"-"	"371"	""
"150"	"133"	"132"	"33"	"220"	"94"	"3"	"0"	"2"	"0"	"2"	"2"	"2"	"4"	"1"	"12"	"11"	"386"	"-"	"386"	""
"151"	"134"	"133"	"19"	"248"	"202"	"21"	"3"	"1"	"4"	"6"	"1"	"0"	"7"	"3"	"7"	"4"	"526"	"-"	"526"	""
"152"	"135"	"134"	"4"	"18"	"140"	"1"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"5"	"3"	"8"	"182"	"-"	"182"	""
"153"	"136"	"135"	"11"	"165"	"255"	"10"	"7"	"4"	"2"	"3"	"5"	"11"	"7"	"7"	"11"	"8"	"506"	"-"	"506"	""
