"X1.FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"27"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"28"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"29"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"30"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendere"
"31"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"32"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d votes"
"33"	"15"	"17"	"6"	"187"	"220"	"14"	"8"	"14"	"14"	"24"	"10"	"24"	"538"	""	""
"34"	"16"	"39"	"9"	"106"	"323"	"13"	"2"	"10"	"15"	"7"	"4"	"10"	"538"	""	""
"35"	"17"	"31"	"3"	"72"	"166"	"5"	"1"	"4"	"7"	"7"	"5"	"18"	"319"	""	""
"36"	"18"	"10"	"4"	"69"	"124"	"6"	"5"	"8"	"9"	"10"	"5"	"2"	"252"	""	""
"37"	"19"	"23"	"2"	"45"	"237"	"4"	"0"	"1"	"5"	"3"	"2"	"2"	"324"	""	""
"38"	"20"	"17"	"10"	"65"	"168"	"3"	"5"	"8"	"14"	"5"	"8"	"14"	"317"	""	""
"39"	"21"	"28"	"3"	"110"	"127"	"10"	"5"	"5"	"9"	"9"	"11"	"17"	"334"	""	""
"40"	"22"	"22"	"4"	"130"	"215"	"5"	"4"	"10"	"7"	"4"	"6"	"3"	"410"	""	""
"41"	"23"	"10"	"3"	"139"	"84"	"4"	"2"	"9"	"6"	"18"	"7"	"9"	"291"	""	""
"42"	"24"	"4"	"0"	"24"	"350"	"39"	"4"	"5"	"8"	"4"	"3"	"9"	"450"	""	""
"43"	"25"	"11"	"0"	"43"	"138"	"85"	"5"	"3"	"9"	"4"	"0"	"4"	"302"	""	""
"44"	"26"	"11"	"5"	"50"	"228"	"9"	"3"	"6"	"9"	"2"	"9"	"32"	"364"	""	""
"45"	"27"	"20"	"3"	"93"	"293"	"16"	"4"	"3"	"21"	"19"	"9"	"29"	"510"	""	""
"46"	"28"	"10"	"2"	"130"	"70"	"6"	"3"	"0"	"8"	"7"	"4"	"9"	"249"	""	""
"47"	"Total No. of Votes"	"253"	"54"	"1263"	"2743"	"219"	"51"	"86"	"141"	"123"	"83"	"182"	"5198"	""	""
"48"	"Grand Total"	"484"	"96"	"2954"	"5778"	"308"	"93"	"160"	"316"	"227"	"170"	"374"	"10960"	""	""
"49"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"50"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"51"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"52"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendere"
"53"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"54"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d votes"
"55"	"29"	"4"	"1"	"51"	"52"	"4"	"1"	"1"	"3"	"4"	"1"	"2"	"124"	""	""
"56"	"30"	"11"	"2"	"73"	"171"	"5"	"4"	"10"	"7"	"3"	"4"	"7"	"297"	""	""
"57"	"31"	"4"	"3"	"121"	"134"	"4"	"0"	"5"	"8"	"1"	"1"	"1"	"282"	""	""
"58"	"32"	"22"	"2"	"49"	"194"	"4"	"1"	"3"	"17"	"2"	"1"	"11"	"306"	""	""
"59"	"33"	"15"	"2"	"327"	"127"	"4"	"5"	"14"	"10"	"3"	"4"	"2"	"513"	""	""
"60"	"34"	"13"	"2"	"114"	"29"	"3"	"3"	"5"	"4"	"13"	"3"	"17"	"206"	""	""
"61"	"35"	"31"	"6"	"137"	"294"	"11"	"1"	"5"	"11"	"12"	"2"	"14"	"524"	""	""
"62"	"36"	"19"	"7"	"165"	"180"	"16"	"7"	"8"	"16"	"16"	"6"	"15"	"455"	""	""
"63"	"37"	"9"	"2"	"149"	"38"	"10"	"2"	"3"	"5"	"7"	"10"	"8"	"243"	""	""
"64"	"38"	"10"	"7"	"243"	"84"	"6"	"2"	"5"	"6"	"9"	"2"	"6"	"380"	""	""
"65"	"39"	"16"	"2"	"254"	"177"	"13"	"4"	"3"	"11"	"12"	"5"	"27"	"524"	""	""
"66"	"40"	"19"	"1"	"148"	"345"	"18"	"5"	"10"	"21"	"7"	"13"	"39"	"626"	""	""
"67"	"41"	"5"	"0"	"84"	"121"	"2"	"5"	"0"	"2"	"1"	"4"	"7"	"231"	""	""
"68"	"42"	"7"	"1"	"17"	"384"	"5"	"1"	"9"	"26"	"3"	"2"	"19"	"474"	""	""
"69"	"Total No. of Votes"	"185"	"38"	"1932"	"2330"	"105"	"41"	"81"	"147"	"93"	"58"	"175"	"5185"	""	""
"70"	"Grand Total"	"669"	"134"	"4886"	"8108"	"413"	"134"	"241"	"463"	"320"	"228"	"549"	"16145"	""	""
"71"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"72"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"73"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"74"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendere"
"75"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"76"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d votes"
"77"	"43"	"8"	"1"	"188"	"228"	"8"	"3"	"8"	"13"	"9"	"3"	"3"	"472"	""	""
"78"	"44"	"25"	"4"	"171"	"47"	"35"	"3"	"8"	"7"	"15"	"9"	"21"	"345"	""	""
"79"	"45"	"6"	"2"	"193"	"139"	"8"	"2"	"6"	"7"	"16"	"11"	"13"	"403"	""	""
"80"	"46"	"22"	"4"	"322"	"108"	"11"	"2"	"9"	"8"	"23"	"11"	"14"	"534"	""	""
"81"	"47"	"21"	"2"	"222"	"90"	"11"	"4"	"7"	"13"	"17"	"5"	"9"	"401"	""	""
"82"	"48"	"14"	"1"	"146"	"280"	"46"	"5"	"9"	"9"	"7"	"4"	"20"	"541"	""	""
"83"	"49"	"49"	"6"	"51"	"410"	"53"	"7"	"15"	"17"	"9"	"6"	"23"	"646"	""	""
"84"	"50"	"15"	"0"	"286"	"103"	"9"	"1"	"6"	"3"	"10"	"3"	"9"	"445"	""	""
"85"	"51"	"4"	"1"	"41"	"157"	"4"	"2"	"3"	"5"	"1"	"2"	"10"	"230"	""	""
"86"	"52"	"6"	"2"	"213"	"66"	"25"	"1"	"3"	"8"	"5"	"5"	"10"	"344"	""	""
"87"	"53"	"13"	"0"	"137"	"106"	"5"	"2"	"7"	"7"	"3"	"2"	"8"	"290"	""	""
"88"	"54"	"9"	"7"	"180"	"186"	"17"	"5"	"2"	"13"	"4"	"5"	"3"	"431"	""	""
"89"	"55"	"7"	"0"	"28"	"148"	"1"	"0"	"3"	"6"	"2"	"0"	"2"	"197"	""	""
"90"	"56"	"12"	"3"	"99"	"214"	"76"	"5"	"5"	"13"	"7"	"1"	"11"	"446"	""	""
"91"	"Total No. of Votes"	"211"	"33"	"2277"	"2282"	"309"	"42"	"91"	"129"	"128"	"67"	"156"	"5725"	""	""
"92"	"Grand Total"	"880"	"167"	"7163"	"10390"	"722"	"176"	"332"	"592"	"448"	"295"	"705"	"21870"	""	""
"93"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"94"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"95"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"96"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendere"
"97"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"98"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d votes"
"99"	"57"	"36"	"3"	"141"	"96"	"1"	"1"	"1"	"3"	"4"	"4"	"5"	"295"	""	""
"100"	"58"	"68"	"5"	"287"	"168"	"39"	"5"	"7"	"11"	"14"	"8"	"16"	"628"	""	""
"101"	"59"	"14"	"2"	"90"	"118"	"49"	"5"	"4"	"12"	"7"	"8"	"12"	"321"	""	""
"102"	"60"	"26"	"6"	"65"	"141"	"18"	"6"	"5"	"13"	"7"	"4"	"12"	"303"	""	""
"103"	"61"	"20"	"3"	"123"	"244"	"10"	"1"	"8"	"10"	"8"	"4"	"18"	"449"	""	""
"104"	"62"	"7"	"2"	"136"	"30"	"0"	"4"	"2"	"3"	"11"	"9"	"6"	"210"	""	""
"105"	"63"	"9"	"3"	"119"	"49"	"4"	"2"	"6"	"11"	"23"	"9"	"18"	"253"	""	""
"106"	"64"	"14"	"2"	"88"	"98"	"17"	"4"	"11"	"11"	"16"	"12"	"18"	"291"	""	""
"107"	"65"	"13"	"1"	"139"	"42"	"194"	"8"	"2"	"6"	"5"	"1"	"2"	"413"	""	""
"108"	"66"	"7"	"1"	"149"	"43"	"2"	"0"	"1"	"2"	"0"	"0"	"0"	"205"	""	""
"109"	"67"	"39"	"15"	"63"	"169"	"26"	"0"	"10"	"14"	"9"	"3"	"4"	"352"	""	""
"110"	"68"	"6"	"4"	"281"	"72"	"9"	"2"	"3"	"4"	"4"	"4"	"3"	"392"	""	""
"111"	"69"	"9"	"0"	"54"	"9"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"75"	""	""
"112"	"70"	"5"	"4"	"65"	"15"	"100"	"1"	"0"	"0"	"2"	"1"	"6"	"199"	""	""
"113"	"Total No. of Votes"	"273"	"51"	"1800"	"1294"	"470"	"39"	"60"	"100"	"110"	"68"	"121"	"4386"	""	""
"114"	"Grand Total"	"1153"	"218"	"8963"	"11684"	"1192"	"215"	"392"	"692"	"558"	"363"	"826"	"26256"	""	""
"115"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"116"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"117"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"118"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendere"
"119"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"120"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d votes"
"121"	"71"	"2"	"0"	"172"	"67"	"15"	"0"	"0"	"1"	"2"	"1"	"1"	"261"	""	""
"122"	"72"	"13"	"3"	"224"	"107"	"35"	"6"	"4"	"5"	"6"	"5"	"5"	"413"	""	""
"123"	"73"	"13"	"5"	"36"	"284"	"4"	"4"	"3"	"11"	"2"	"2"	"7"	"371"	""	""
"124"	"74"	"10"	"1"	"50"	"250"	"17"	"3"	"4"	"12"	"3"	"4"	"5"	"359"	""	""
"125"	"75"	"6"	"1"	"79"	"278"	"12"	"5"	"6"	"13"	"5"	"2"	"14"	"421"	""	""
"126"	"76"	"9"	"3"	"151"	"194"	"6"	"1"	"1"	"6"	"6"	"6"	"8"	"391"	""	""
"127"	"77"	"39"	"6"	"233"	"90"	"3"	"0"	"2"	"4"	"9"	"6"	"15"	"407"	""	""
"128"	"78"	"21"	"6"	"228"	"70"	"6"	"3"	"5"	"6"	"4"	"6"	"9"	"364"	""	""
"129"	"79"	"70"	"0"	"202"	"85"	"5"	"1"	"4"	"2"	"8"	"6"	"8"	"391"	""	""
"130"	"80"	"6"	"1"	"153"	"11"	"1"	"3"	"0"	"4"	"3"	"3"	"2"	"187"	""	""
"131"	"81"	"22"	"2"	"143"	"117"	"26"	"4"	"7"	"11"	"9"	"11"	"14"	"366"	""	""
"132"	"82"	"23"	"2"	"160"	"122"	"38"	"7"	"6"	"6"	"16"	"7"	"26"	"413"	""	""
"133"	"83"	"51"	"3"	"223"	"104"	"8"	"5"	"5"	"5"	"5"	"9"	"14"	"432"	""	""
"134"	"84"	"26"	"5"	"230"	"31"	"31"	"2"	"2"	"4"	"10"	"5"	"1"	"347"	""	""
"135"	"Total No. of Votes"	"311"	"38"	"2284"	"1810"	"207"	"44"	"49"	"90"	"88"	"73"	"129"	"5123"	""	""
"136"	"Grand Total"	"1464"	"256"	"11247"	"13494"	"1399"	"259"	"441"	"782"	"646"	"436"	"955"	"31379"	""	""
"137"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"138"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"139"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"140"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendere"
"141"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"142"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d votes"
"143"	"85"	"22"	"8"	"190"	"155"	"44"	"5"	"4"	"10"	"13"	"11"	"11"	"473"	""	""
"144"	"86"	"13"	"5"	"78"	"140"	"127"	"7"	"9"	"8"	"5"	"3"	"6"	"401"	""	""
"145"	"87"	"33"	"7"	"124"	"249"	"17"	"3"	"4"	"16"	"6"	"5"	"3"	"467"	""	""
"146"	"88"	"8"	"1"	"70"	"109"	"3"	"0"	"4"	"8"	"7"	"2"	"12"	"224"	""	""
"147"	"89"	"2"	"0"	"47"	"106"	"3"	"0"	"2"	"1"	"5"	"1"	"14"	"181"	""	""
"148"	"90"	"4"	"1"	"99"	"62"	"4"	"4"	"0"	"4"	"2"	"1"	"7"	"188"	""	""
"149"	"91"	"16"	"6"	"68"	"362"	"10"	"2"	"9"	"29"	"8"	"3"	"4"	"517"	""	""
"150"	"92"	"28"	"7"	"261"	"101"	"13"	"9"	"2"	"14"	"7"	"9"	"7"	"458"	""	""
"151"	"93"	"33"	"0"	"175"	"279"	"15"	"3"	"9"	"14"	"17"	"17"	"18"	"580"	""	""
"152"	"94"	"40"	"3"	"45"	"285"	"10"	"2"	"14"	"22"	"5"	"9"	"18"	"453"	""	""
"153"	"95"	"17"	"1"	"54"	"261"	"6"	"1"	"5"	"10"	"2"	"2"	"2"	"361"	""	""
"154"	"96"	"46"	"4"	"121"	"397"	"14"	"4"	"7"	"25"	"3"	"9"	"17"	"647"	""	""
"155"	"97"	"8"	"2"	"40"	"478"	"2"	"3"	"4"	"6"	"6"	"2"	"7"	"558"	""	""
"156"	"98"	"14"	"1"	"30"	"101"	"3"	"1"	"8"	"8"	"4"	"5"	"11"	"186"	""	""
"157"	"Total No. of Votes"	"284"	"46"	"1402"	"3085"	"271"	"44"	"81"	"175"	"90"	"79"	"137"	"5694"	""	""
"158"	"Grand Total"	"1748"	"302"	"12649"	"16579"	"1670"	"303"	"522"	"957"	"736"	"515"	"1092"	"37073"	""	""
"159"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"160"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"161"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"162"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendere"
"163"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"164"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d votes"
"165"	"99"	"15"	"2"	"79"	"452"	"10"	"5"	"11"	"23"	"8"	"6"	"18"	"629"	""	""
"166"	"100"	"14"	"7"	"231"	"110"	"2"	"3"	"3"	"7"	"5"	"0"	"2"	"384"	""	""
"167"	"101"	"18"	"5"	"96"	"292"	"6"	"2"	"6"	"19"	"6"	"9"	"16"	"475"	""	""
"168"	"102"	"2"	"0"	"36"	"277"	"10"	"2"	"6"	"21"	"7"	"7"	"21"	"389"	""	""
"169"	"103"	"3"	"1"	"18"	"282"	"5"	"1"	"2"	"5"	"3"	"2"	"6"	"328"	""	""
"170"	"104"	"17"	"4"	"131"	"453"	"11"	"5"	"12"	"16"	"5"	"6"	"6"	"666"	""	""
"171"	"105"	"13"	"3"	"260"	"290"	"15"	"7"	"6"	"19"	"13"	"10"	"17"	"653"	""	""
"172"	"106"	"7"	"3"	"123"	"530"	"8"	"9"	"4"	"27"	"4"	"9"	"4"	"728"	""	""
"173"	"107"	"8"	"3"	"151"	"201"	"7"	"4"	"3"	"11"	"9"	"5"	"10"	"412"	""	""
"174"	"108"	"5"	"1"	"94"	"217"	"5"	"1"	"4"	"12"	"4"	"11"	"10"	"364"	""	""
"175"	"109"	"8"	"5"	"517"	"98"	"7"	"3"	"2"	"4"	"8"	"5"	"5"	"662"	""	""
"176"	"110"	"12"	"5"	"541"	"66"	"6"	"4"	"2"	"4"	"4"	"3"	"3"	"650"	""	""
"177"	"111"	"5"	"0"	"464"	"16"	"1"	"1"	"1"	"1"	"0"	"1"	"2"	"492"	""	""
"178"	"112"	"16"	"9"	"205"	"62"	"12"	"4"	"6"	"7"	"5"	"8"	"5"	"339"	""	""
"179"	"Total No. of Votes"	"143"	"48"	"2946"	"3346"	"105"	"51"	"68"	"176"	"81"	"82"	"125"	"7171"	""	""
"180"	"Grand Total"	"1891"	"350"	"15595"	"19925"	"1775"	"354"	"590"	"1133"	"817"	"597"	"1217"	"44244"	""	""
"181"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"182"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"183"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"184"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendere"
"185"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"186"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d votes"
"187"	"113"	"19"	"4"	"167"	"94"	"13"	"5"	"8"	"14"	"19"	"13"	"33"	"389"	""	""
"188"	"114"	"6"	"2"	"93"	"110"	"2"	"3"	"4"	"10"	"5"	"6"	"8"	"249"	""	""
"189"	"115"	"13"	"4"	"114"	"96"	"5"	"2"	"8"	"15"	"9"	"5"	"9"	"280"	""	""
"190"	"116"	"3"	"2"	"587"	"75"	"2"	"0"	"2"	"7"	"6"	"1"	"4"	"689"	""	""
"191"	"117"	"2"	"1"	"203"	"69"	"2"	"0"	"0"	"2"	"1"	"1"	"2"	"283"	""	""
"192"	"118"	"23"	"4"	"103"	"217"	"8"	"6"	"6"	"13"	"11"	"6"	"22"	"419"	""	""
"193"	"119"	"17"	"2"	"109"	"139"	"7"	"4"	"7"	"6"	"6"	"4"	"8"	"309"	""	""
"194"	"120"	"17"	"1"	"81"	"117"	"5"	"1"	"5"	"15"	"7"	"5"	"10"	"264"	""	""
"195"	"121"	"12"	"2"	"76"	"58"	"4"	"4"	"4"	"1"	"2"	"0"	"3"	"166"	""	""
"196"	"122"	"6"	"4"	"78"	"256"	"4"	"1"	"4"	"10"	"3"	"2"	"10"	"378"	""	""
"197"	"123"	"16"	"1"	"43"	"270"	"8"	"4"	"5"	"13"	"2"	"2"	"3"	"367"	""	""
"198"	"124"	"16"	"2"	"104"	"236"	"8"	"1"	"1"	"7"	"5"	"3"	"18"	"401"	""	""
"199"	"125"	"3"	"0"	"66"	"183"	"3"	"1"	"9"	"1"	"3"	"3"	"8"	"280"	""	""
"200"	"126"	"14"	"3"	"148"	"184"	"7"	"4"	"5"	"17"	"10"	"8"	"7"	"407"	""	""
"201"	"Total No. of Votes"	"167"	"32"	"1972"	"2104"	"78"	"36"	"68"	"131"	"89"	"59"	"145"	"4881"	""	""
"202"	"Grand Total"	"2058"	"382"	"17567"	"22029"	"1853"	"390"	"658"	"1264"	"906"	"656"	"1362"	"49125"	""	""
"203"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"204"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"205"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"206"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendere"
"207"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"208"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d votes"
"209"	"127"	"22"	"3"	"157"	"193"	"16"	"4"	"4"	"8"	"10"	"14"	"27"	"458"	""	""
"210"	"128"	"7"	"3"	"101"	"341"	"2"	"3"	"3"	"11"	"7"	"4"	"1"	"483"	""	""
