"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE HOUSE OF  THE PEOPLE FROM THE 9---ARARIA CONSTITUENCY PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ParliamentConstituency :9---ARARIA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Form-20  (Part-I-A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Assembly Constituency :50---Jokihat                                                                                                                                              No of Voters :202817"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Candidates Name
----->
"18"	"10"	"296"	"10"	""	"2"	""	"180"	""	"9"	""	"2"	""	"4"	""	"3"	""	"2"	""	"2"	""	"1"	""	"8"	"4"	""	"523"	""
"19"	"11"	"176"	"129"	""	"3"	""	"81"	""	"2"	""	"1"	""	"3"	""	"3"	""	"2"	""	"0"	""	"1"	""	"23"	"3"	""	"427"	""
"20"	"12"	"69"	"544"	""	"4"	""	"62"	""	"4"	""	"2"	""	"3"	""	"1"	""	"2"	""	"1"	""	"2"	""	"66"	"1"	""	"761"	""
"21"	"13"	"64"	"18"	""	"3"	""	"251"	""	"2"	""	"3"	""	"1"	""	"4"	""	"2"	""	"1"	""	"0"	""	"1"	"3"	""	"353"	""
"22"	"14"	"123"	"15"	""	"6"	""	"411"	""	"6"	""	"1"	""	"1"	""	"3"	""	"0"	""	"1"	""	"0"	""	"3"	"0"	""	"570"	""
"23"	"15"	"76"	"139"	""	"5"	""	"197"	""	"13"	""	"5"	""	"4"	""	"4"	""	"8"	""	"4"	""	"1"	""	"62"	"3"	""	"521"	""
"24"	"16"	"184"	"49"	""	"4"	""	"117"	""	"9"	""	"7"	""	"1"	""	"1"	""	"3"	""	"0"	""	"2"	""	"45"	"0"	""	"422"	""
"25"	"17"	"64"	"15"	""	"1"	""	"71"	""	"0"	""	"1"	""	"1"	""	"2"	""	"0"	""	"0"	""	"1"	""	"4"	"0"	""	"160"	""
"26"	"18"	"221"	"69"	""	"2"	""	"110"	""	"7"	""	"3"	""	"2"	""	"9"	""	"4"	""	"0"	""	"9"	""	"24"	"3"	""	"463"	""
"27"	"19"	"105"	"97"	""	"2"	""	"54"	""	"1"	""	"1"	""	"0"	""	"1"	""	"3"	""	"2"	""	"0"	""	"19"	"0"	""	"285"	""
"28"	"20"	"69"	"233"	""	"9"	""	"156"	""	"7"	""	"4"	""	"3"	""	"2"	""	"2"	""	"1"	""	"3"	""	"9"	"0"	""	"498"	""
"29"	"21"	"131"	"36"	""	"4"	""	"105"	""	"3"	""	"0"	""	"2"	""	"5"	""	"3"	""	"2"	""	"2"	""	"1"	"1"	""	"295"	""
"30"	"22"	"103"	"221"	""	"6"	""	"107"	""	"7"	""	"1"	""	"2"	""	"4"	""	"5"	""	"3"	""	"2"	""	"11"	"3"	""	"475"	""
"31"	"23"	"95"	"276"	""	"14"	""	"6"	""	"6"	""	"1"	""	"6"	""	"3"	""	"4"	""	"2"	""	"1"	""	"4"	"4"	""	"422"	""
"32"	"24"	"79"	"224"	""	"9"	""	"14"	""	"1"	""	"2"	""	"5"	""	"3"	""	"3"	""	"0"	""	"4"	""	"3"	"0"	""	"347"	""
"33"	"25"	"277"	"188"	""	"9"	""	"50"	""	"7"	""	"1"	""	"4"	""	"5"	""	"6"	""	"3"	""	"4"	""	"105"	"3"	""	"662"	""
"34"	"26"	"8"	"417"	""	"2"	""	"23"	""	"1"	""	"5"	""	"5"	""	"1"	""	"2"	""	"4"	""	"4"	""	"107"	"2"	""	"581"	""
"35"	"27"	"54"	"464"	""	"11"	""	"24"	""	"4"	""	"3"	""	"0"	""	"3"	""	"1"	""	"1"	""	"2"	""	"7"	"4"	""	"578"	""
"36"	"28"	"114"	"155"	""	"7"	""	"20"	""	"4"	""	"0"	""	"0"	""	"0"	""	"1"	""	"0"	""	"0"	""	"0"	"2"	""	"303"	""
"37"	"29"	"29"	"417"	""	"13"	""	"39"	""	"1"	""	"2"	""	"6"	""	"5"	""	"4"	""	"2"	""	"2"	""	"65"	"2"	""	"587"	""
"38"	"30"	"7"	"447"	""	"12"	""	"20"	""	"1"	""	"1"	""	"4"	""	"0"	""	"3"	""	"2"	""	"0"	""	"7"	"1"	""	"505"	""
"39"	"31"	"40"	"412"	""	"17"	""	"50"	""	"1"	""	"1"	""	"3"	""	"3"	""	"1"	""	"1"	""	"0"	""	"3"	"4"	""	"536"	""
"40"	"32"	"162"	"403"	""	"14"	""	"23"	""	"1"	""	"3"	""	"0"	""	"5"	""	"3"	""	"1"	""	"2"	""	"3"	"4"	""	"624"	""
"41"	"33"	"196"	"107"	""	"11"	""	"311"	""	"14"	""	"1"	""	"4"	""	"2"	""	"3"	""	"0"	""	"3"	""	"17"	"1"	""	"670"	""
"42"	"34"	"219"	"92"	""	"5"	""	"174"	""	"6"	""	"1"	""	"0"	""	"1"	""	"1"	""	"2"	""	"0"	""	"1"	"1"	""	"503"	""
"43"	"35"	"146"	"12"	""	"4"	""	"132"	""	"6"	""	"2"	""	"5"	""	"5"	""	"1"	""	"0"	""	"2"	""	"0"	"1"	""	"316"	""
"44"	"36"	"12"	"235"	""	"11"	""	"29"	""	"3"	""	"3"	""	"3"	""	"2"	""	"0"	""	"5"	""	"0"	""	"11"	"2"	""	"316"	""
"45"	"37"	"479"	"40"	""	"0"	""	"4"	""	"1"	""	"0"	""	"0"	""	"1"	""	"0"	""	"0"	""	"0"	""	"0"	"0"	""	"525"	""
"46"	"38"	"577"	"7"	""	"2"	""	"23"	""	"4"	""	"0"	""	"2"	""	"5"	""	"3"	""	"0"	""	"0"	""	"1"	"0"	""	"624"	""
"47"	"39"	"204"	"24"	""	"1"	""	"41"	""	"2"	""	"1"	""	"0"	""	"2"	""	"2"	""	"3"	""	"2"	""	"34"	"1"	""	"317"	""
"48"	"40"	"295"	"10"	""	"1"	""	"13"	""	"1"	""	"0"	""	"1"	""	"2"	""	"1"	""	"2"	""	"0"	""	"0"	"3"	""	"329"	""
"49"	"41"	"408"	"3"	""	"3"	""	"47"	""	"5"	""	"1"	""	"1"	""	"1"	""	"3"	""	"1"	""	"0"	""	"0"	"1"	""	"474"	""
"50"	"42"	"210"	"7"	""	"1"	""	"11"	""	"2"	""	"0"	""	"0"	""	"1"	""	"2"	""	"1"	""	"1"	""	"0"	"3"	""	"239"	""
"51"	"43"	"185"	"53"	""	"9"	""	"253"	""	"9"	""	"1"	""	"3"	""	"8"	""	"5"	""	"2"	""	"6"	""	"25"	"7"	""	"566"	""
"52"	"44"	"94"	"143"	""	"8"	""	"192"	""	"7"	""	"1"	""	"1"	""	"1"	""	"1"	""	"1"	""	"3"	""	"1"	"2"	""	"455"	""
"53"	"45"	"358"	"68"	""	"3"	""	"77"	""	"4"	""	"0"	""	"1"	""	"0"	""	"6"	""	"0"	""	"1"	""	"0"	"0"	""	"518"	""
"54"	"46"	"481"	"9"	""	"5"	""	"125"	""	"10"	""	"3"	""	"1"	""	"8"	""	"6"	""	"2"	""	"0"	""	"0"	"3"	""	"653"	""
"55"	"47"	"353"	"87"	""	"6"	""	"123"	""	"11"	""	"2"	""	"1"	""	"10"	""	"6"	""	"2"	""	"2"	""	"4"	"1"	""	"608"	""
"56"	"48"	"268"	"250"	""	"4"	""	"56"	""	"4"	""	"1"	""	"0"	""	"2"	""	"2"	""	"0"	""	"1"	""	"1"	"1"	""	"590"	""
"57"	"49"	"330"	"7"	""	"2"	""	"96"	""	"8"	""	"0"	""	"0"	""	"3"	""	"4"	""	"0"	""	"2"	""	"1"	"2"	""	"455"	""
"58"	"50"	"205"	"31"	""	"5"	""	"108"	""	"2"	""	"0"	""	"2"	""	"0"	""	"2"	""	"0"	""	"1"	""	"1"	"0"	""	"357"	""
"59"	"51"	"286"	"81"	""	"10"	""	"125"	""	"14"	""	"3"	""	"5"	""	"8"	""	"7"	""	"3"	""	"8"	""	"14"	"5"	""	"569"	""
"60"	"52"	"139"	"88"	""	"3"	""	"154"	""	"9"	""	"2"	""	"0"	""	"1"	""	"1"	""	"1"	""	"0"	""	"0"	"1"	""	"399"	""
"61"	"53"	"151"	"73"	""	"2"	""	"126"	""	"9"	""	"0"	""	"0"	""	"1"	""	"3"	""	"4"	""	"2"	""	"34"	"2"	""	"407"	""
"62"	"54"	"95"	"64"	""	"2"	""	"62"	""	"2"	""	"1"	""	"1"	""	"1"	""	"4"	""	"0"	""	"2"	""	"5"	"2"	""	"241"	""
"63"	"55"	"288"	"159"	""	"5"	""	"52"	""	"7"	""	"2"	""	"4"	""	"4"	""	"5"	""	"4"	""	"2"	""	"1"	"3"	""	"536"	""
"64"	"56"	"45"	"496"	""	"6"	""	"8"	""	"0"	""	"2"	""	"7"	""	"5"	""	"1"	""	"2"	""	"3"	""	"9"	"0"	""	"584"	""
"65"	"57"	"70"	"208"	""	"3"	""	"74"	""	"1"	""	"3"	""	"0"	""	"0"	""	"2"	""	"1"	""	"0"	""	"1"	"0"	""	"363"	""
"66"	"58"	"198"	"335"	""	"8"	""	"121"	""	"4"	""	"2"	""	"2"	""	"2"	""	"2"	""	"1"	""	"0"	""	"4"	"5"	""	"684"	""
"67"	"59"	"88"	"395"	""	"6"	""	"40"	""	"3"	""	"0"	""	"4"	""	"2"	""	"1"	""	"2"	""	"0"	""	"5"	"2"	""	"548"	""
"68"	"60"	"74"	"336"	""	"22"	""	"93"	""	"5"	""	"0"	""	"4"	""	"5"	""	"2"	""	"4"	""	"4"	""	"4"	"3"	""	"556"	""
"69"	"61"	"52"	"152"	""	"6"	""	"41"	""	"3"	""	"1"	""	"3"	""	"3"	""	"3"	""	"2"	""	"2"	""	"40"	"7"	""	"315"	""
"70"	"62"	"59"	"10"	""	"8"	""	"131"	""	"4"	""	"0"	""	"1"	""	"1"	""	"3"	""	"2"	""	"1"	""	"0"	"0"	""	"220"	""
"71"	"63"	"508"	"4"	""	"3"	""	"58"	""	"1"	""	"0"	""	"1"	""	"1"	""	"0"	""	"0"	""	"0"	""	"1"	"1"	""	"578"	""
"72"	"64"	"192"	"5"	""	"4"	""	"69"	""	"2"	""	"2"	""	"2"	""	"2"	""	"2"	""	"1"	""	"1"	""	"1"	"4"	""	"287"	""
"73"	"Candidates Name
----->
BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes (Part I-A)"	""
"74"	""	"ZAKIR HUSSAIN KHAN"	"PRADEEP KUMAR SINGH"	""	"RAJA RAMAN BHASKAR"	""	"DR. SHAKEEL AHMAD KHAN"	""	"AYAJUDIN"	""	"KAMALI DEVI"	""	"NASIM AHMAD GHAZI"	""	"ABDUL GAFOOR"	""	"ABDUL WAHAB"	""	"OM PRAKASH"	""	"KANHAIYA KUMAR DAS"	""	"DINESH RATHOUR"	"NAND LAL PASWAN"	""	""	""
"75"	"1"	"2"	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	"14"	""	"15"	""
"76"	"65"	"235"	"3"	""	"1"	""	"28"	""	"1"	""	"2"	""	"0"	""	"4"	""	"3"	""	"2"	""	"2"	""	"0"	"2"	""	"283"	""
"77"	"66"	"328"	"4"	""	"1"	""	"61"	""	"3"	""	"2"	""	"1"	""	"1"	""	"5"	""	"1"	""	"1"	""	"1"	"2"	""	"411"	""
"78"	"67"	"405"	"11"	""	"0"	""	"72"	""	"3"	""	"1"	""	"0"	""	"1"	""	"2"	""	"1"	""	"0"	""	"3"	"3"	""	"502"	""
"79"	"68"	"330"	"1"	""	"1"	""	"36"	""	"2"	""	"0"	""	"2"	""	"1"	""	"2"	""	"1"	""	"0"	""	"2"	"3"	""	"381"	""
"80"	"69"	"590"	"7"	""	"3"	""	"54"	""	"3"	""	"3"	""	"1"	""	"3"	""	"1"	""	"0"	""	"1"	""	"0"	"0"	""	"666"	""
"81"	"70"	"384"	"8"	""	"4"	""	"47"	""	"6"	""	"1"	""	"0"	""	"4"	""	"5"	""	"1"	""	"1"	""	"1"	"0"	""	"462"	""
"82"	"71"	"524"	"23"	""	"5"	""	"43"	""	"6"	""	"2"	""	"3"	""	"3"	""	"8"	""	"0"	""	"0"	""	"1"	"2"	""	"620"	""
"83"	"72"	"306"	"23"	""	"3"	""	"183"	""	"13"	""	"3"	""	"1"	""	"3"	""	"7"	""	"0"	""	"1"	""	"2"	"2"	""	"547"	""
"84"	"73"	"326"	"107"	""	"2"	""	"102"	""	"5"	""	"1"	""	"0"	""	"3"	""	"7"	""	"1"	""	"0"	""	"0"	"1"	""	"555"	""
"85"	"74"	"226"	"43"	""	"4"	""	"50"	""	"11"	""	"0"	""	"1"	""	"1"	""	"3"	""	"0"	""	"0"	""	"0"	"1"	""	"340"	""
"86"	"75"	"474"	"17"	""	"0"	""	"21"	""	"1"	""	"0"	""	"1"	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	"0"	""	"515"	""
"87"	"76"	"347"	"253"	""	"5"	""	"23"	""	"6"	""	"0"	""	"0"	""	"0"	""	"3"	""	"0"	""	"0"	""	"0"	"1"	""	"638"	""
"88"	"77"	"264"	"51"	""	"2"	""	"12"	""	"3"	""	"1"	""	"0"	""	"1"	""	"2"	""	"2"	""	"0"	""	"0"	"0"	""	"338"	""
"89"	"78"	"132"	"113"	""	"11"	""	"170"	""	"13"	""	"5"	""	"1"	""	"4"	""	"1"	""	"0"	""	"1"	""	"2"	"3"	""	"456"	""
"90"	"79"	"144"	"20"	""	"2"	""	"188"	""	"5"	""	"5"	""	"0"	""	"1"	""	"6"	""	"4"	""	"5"	""	"2"	"6"	""	"388"	""
"91"	"80"	"210"	"38"	""	"2"	""	"165"	""	"4"	""	"1"	""	"1"	""	"4"	""	"3"	""	"2"	""	"1"	""	"0"	"0"	""	"431"	""
"92"	"81"	"146"	"19"	""	"0"	""	"186"	""	"7"	""	"1"	""	"1"	""	"5"	""	"1"	""	"4"	""	"0"	""	"0"	"2"	""	"372"	""
"93"	"82"	"232"	"68"	""	"3"	""	"119"	""	"5"	""	"0"	""	"3"	""	"5"	""	"3"	""	"2"	""	"2"	""	"3"	"6"	""	"451"	""
"94"	"83"	"61"	"149"	""	"5"	""	"101"	""	"7"	""	"0"	""	"2"	""	"1"	""	"6"	""	"0"	""	"5"	""	"15"	"3"	""	"355"	""
"95"	"84"	"108"	"19"	""	"7"	""	"176"	""	"12"	""	"4"	""	"2"	""	"2"	""	"1"	""	"1"	""	"0"	""	"0"	"2"	""	"334"	""
"96"	"85"	"320"	"46"	""	"3"	""	"182"	""	"15"	""	"1"	""	"2"	""	"6"	""	"6"	""	"8"	""	"9"	""	"5"	"6"	""	"609"	""
"97"	"86"	"296"	"68"	""	"5"	""	"231"	""	"8"	""	"6"	""	"9"	""	"7"	""	"8"	""	"1"	""	"3"	""	"0"	"4"	""	"646"	""
"98"	"87"	"205"	"106"	""	"5"	""	"231"	""	"6"	""	"2"	""	"5"	""	"5"	""	"5"	""	"4"	""	"3"	""	"0"	"7"	""	"584"	""
"99"	"88"	"137"	"381"	""	"15"	""	"70"	""	"5"	""	"0"	""	"1"	""	"2"	""	"0"	""	"1"	""	"2"	""	"0"	"0"	""	"614"	""
"100"	"89"	"279"	"39"	""	"6"	""	"165"	""	"11"	""	"2"	""	"3"	""	"6"	""	"3"	""	"2"	""	"2"	""	"2"	"2"	""	"522"	""
"101"	"90"	"345"	"230"	""	"9"	""	"97"	""	"4"	""	"4"	""	"3"	""	"2"	""	"3"	""	"3"	""	"2"	""	"2"	"1"	""	"705"	""
"102"	"91"	"11"	"427"	""	"2"	""	"0"	""	"0"	""	"1"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	"0"	""	"441"	""
"103"	"92"	"169"	"43"	""	"4"	""	"208"	""	"9"	""	"4"	""	"7"	""	"2"	""	"3"	""	"3"	""	"2"	""	"1"	"3"	""	"458"	""
"104"	"93"	"171"	"154"	""	"7"	""	"225"	""	"16"	""	"3"	""	"3"	""	"3"	""	"2"	""	"6"	""	"2"	""	"10"	"0"	""	"602"	""
"105"	"94"	"116"	"38"	""	"7"	""	"183"	""	"7"	""	"6"	""	"4"	""	"3"	""	"3"	""	"1"	""	"1"	""	"2"	"1"	""	"372"	""
"106"	"95"	"233"	"11"	""	"4"	""	"67"	""	"6"	""	"1"	""	"0"	""	"2"	""	"2"	""	"0"	""	"1"	""	"2"	"1"	""	"330"	""
"107"	"96"	"84"	"126"	""	"2"	""	"51"	""	"3"	""	"0"	""	"2"	""	"0"	""	"2"	""	"2"	""	"0"	""	"4"	"1"	""	"277"	""
"108"	"97"	"140"	"129"	""	"3"	""	"61"	""	"5"	""	"1"	""	"3"	""	"1"	""	"5"	""	"1"	""	"0"	""	"7"	"0"	""	"356"	""
"109"	"98"	"145"	"229"	""	"2"	""	"25"	""	"2"	""	"0"	""	"2"	""	"3"	""	"7"	""	"2"	""	"3"	""	"35"	"3"	""	"458"	""
"110"	"99"	"6"	"297"	""	"6"	""	"38"	""	"2"	""	"1"	""	"0"	""	"2"	""	"3"	""	"0"	""	"0"	""	"88"	"1"	""	"444"	""
"111"	"100"	"153"	"109"	""	"3"	""	"55"	""	"1"	""	"1"	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	"0"	"1"	""	"324"	""
"112"	"101"	"345"	"9"	""	"2"	""	"102"	""	"2"	""	"2"	""	"2"	""	"1"	""	"0"	""	"0"	""	"2"	""	"1"	"3"	""	"471"	""
"113"	"102"	"197"	"77"	""	"1"	""	"165"	""	"2"	""	"1"	""	"1"	""	"3"	""	"3"	""	"3"	""	"2"	""	"1"	"3"	""	"459"	""
"114"	"103"	"156"	"177"	""	"5"	""	"38"	""	"3"	""	"2"	""	"0"	""	"3"	""	"3"	""	"1"	""	"0"	""	"2"	"0"	""	"390"	""
"115"	"104"	"219"	"68"	""	"4"	""	"254"	""	"12"	""	"4"	""	"6"	""	"5"	""	"3"	""	"1"	""	"2"	""	"42"	"8"	""	"628"	""
"116"	"105"	"315"	"163"	""	"6"	""	"126"	""	"6"	""	"3"	""	"3"	""	"2"	""	"6"	""	"1"	""	"5"	""	"1"	"2"	""	"639"	""
"117"	"106"	"130"	"18"	""	"9"	""	"188"	""	"10"	""	"3"	""	"1"	""	"5"	""	"3"	""	"2"	""	"1"	""	"3"	"4"	""	"377"	""
"118"	"107"	"53"	"160"	""	"13"	""	"58"	""	"3"	""	"2"	""	"5"	""	"4"	""	"5"	""	"2"	""	"3"	""	"1"	"4"	""	"313"	""
"119"	"108"	"118"	"4"	""	"5"	""	"224"	""	"5"	""	"1"	""	"1"	""	"5"	""	"2"	""	"0"	""	"2"	""	"2"	"5"	""	"374"	""
"120"	"109"	"139"	"19"	""	"2"	""	"118"	""	"3"	""	"1"	""	"1"	""	"0"	""	"3"	""	"0"	""	"0"	""	"2"	"3"	""	"291"	""
"121"	"110"	"81"	"197"	""	"4"	""	"100"	""	"4"	""	"0"	""	"1"	""	"3"	""	"2"	""	"0"	""	"1"	""	"2"	"0"	""	"395"	""
"122"	"111"	"39"	"457"	""	"8"	""	"22"	""	"2"	""	"1"	""	"3"	""	"1"	""	"1"	""	"0"	""	"1"	""	"2"	"1"	""	"538"	""
"123"	"112"	"481"	"30"	""	"3"	""	"16"	""	"2"	""	"1"	""	"0"	""	"4"	""	"1"	""	"2"	""	"3"	""	"1"	"1"	""	"545"	""
"124"	"113"	"7"	"396"	""	"1"	""	"7"	""	"0"	""	"0"	""	"0"	""	"0"	""	"2"	""	"1"	""	"0"	""	"0"	"0"	""	"414"	""
"125"	"114"	"137"	"488"	""	"5"	""	"54"	""	"2"	""	"1"	""	"1"	""	"0"	""	"1"	""	"2"	""	"0"	""	"1"	"0"	""	"692"	""
"126"	"115"	"109"	"201"	""	"8"	""	"127"	""	"9"	""	"2"	""	"4"	""	"5"	""	"4"	""	"4"	""	"2"	""	"3"	"9"	""	"487"	""
"127"	"116"	"337"	"332"	""	"14"	""	"27"	""	"9"	""	"3"	""	"4"	""	"3"	""	"5"	""	"2"	""	"2"	""	"0"	"0"	""	"738"	""
"128"	"117"	"244"	"487"	""	"23"	""	"39"	""	"3"	""	"1"	""	"4"	""	"8"	""	"10"	""	"3"	""	"3"	""	"2"	"7"	""	"834"	""
"129"	"118"	"201"	"31"	""	"2"	""	"36"	""	"3"	""	"0"	""	"1"	""	"0"	""	"1"	""	"1"	""	"3"	""	"1"	"2"	""	"282"	""
"130"	"119"	"308"	"32"	""	"2"	""	"25"	""	"2"	""	"0"	""	"0"	""	"2"	""	"4"	""	"1"	""	"0"	""	"0"	"3"	""	"379"	""
"131"	"120"	"280"	"126"	""	"9"	""	"107"	""	"12"	""	"1"	""	"4"	""	"7"	""	"12"	""	"0"	""	"2"	""	"0"	"4"	""	"564"	""
"132"	"121"	"187"	"37"	""	"2"	""	"78"	""	"4"	""	"0"	""	"3"	""	"1"	""	"5"	""	"0"	""	"2"	""	"3"	"2"	""	"324"	""
"133"	"122"	"235"	"62"	""	"4"	""	"119"	""	"6"	""	"5"	""	"5"	""	"3"	""	"4"	""	"0"	""	"0"	""	"0"	"2"	""	"445"	""
"134"	"123"	"120"	"201"	""	"3"	""	"210"	""	"8"	""	"2"	""	"0"	""	"2"	""	"5"	""	"1"	""	"0"	""	"0"	"0"	""	"552"	""
"135"	"124"	"175"	"42"	""	"8"	""	"192"	""	"12"	""	"2"	""	"2"	""	"1"	""	"6"	""	"1"	""	"0"	""	"0"	"1"	""	"442"	""
"136"	"125"	"322"	"15"	""	"5"	""	"138"	""	"11"	""	"3"	""	"2"	""	"1"	""	"1"	""	"0"	""	"2"	""	"0"	"2"	""	"502"	""
"137"	"126"	"289"	"14"	""	"8"	""	"213"	""	"7"	""	"1"	""	"1"	""	"2"	""	"3"	""	"0"	""	"3"	""	"0"	"1"	""	"542"	""
"138"	"127"	"127"	"23"	""	"1"	""	"92"	""	"7"	""	"1"	""	"1"	""	"5"	""	"8"	""	"2"	""	"3"	""	"4"	"4"	""	"278"	""
"139"	"128"	"170"	"22"	""	"2"	""	"76"	""	"7"	""	"1"	""	"3"	""	"9"	""	"7"	""	"0"	""	"3"	""	"1"	"4"	""	"305"	""
"140"	"129"	"91"	"164"	""	"4"	""	"23"	""	"3"	""	"0"	""	"1"	""	"2"	""	"0"	""	"1"	""	"0"	""	"0"	"1"	""	"290"	""
"141"	"130"	"289"	"160"	""	"2"	""	"35"	""	"0"	""	"2"	""	"1"	""	"2"	""	"1"	""	"0"	""	"3"	""	"4"	"3"	""	"502"	""
"142"	"131"	"160"	"2"	""	"4"	""	"41"	""	"1"	""	"0"	""	"1"	""	"2"	""	"4"	""	"0"	""	"0"	""	"1"	"6"	""	"222"	""
"143"	"132"	"481"	"12"	""	"7"	""	"123"	""	"15"	""	"1"	""	"1"	""	"9"	""	"1"	""	"2"	""	"0"	""	"1"	"4"	""	"657"	""
"144"	"Candidates Name
----->
BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes (Part I-A)"	""
"145"	""	"ZAKIR HUSSAIN KHAN"	"PRADEEP KUMAR SINGH"	""	"RAJA RAMAN BHASKAR"	""	"DR. SHAKEEL AHMAD KHAN"	""	"AYAJUDIN"	""	"KAMALI DEVI"	""	"NASIM AHMAD GHAZI"	""	"ABDUL GAFOOR"	""	"ABDUL WAHAB"	""	"OM PRAKASH"	""	"KANHAIYA KUMAR DAS"	""	"DINESH RATHOUR"	"NAND LAL PASWAN"	""	""	""
