"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 30- PATNA SAHIB  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of electors in Assembly Constituency/Segment:-208005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"ROUND  1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 185- FATUHA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"45"	"16"	"317"	"144"	"20"	"1"	"2"	"35"	"1"	"1"	"2"	"2"	"5"	"2"	"1"	"0"	"4"	"14"	"551"	"0"	"551"	"0"
"46"	"17"	"314"	"101"	"24"	"6"	"3"	"54"	"10"	"1"	"3"	"4"	"0"	"6"	"2"	"3"	"4"	"8"	"543"	"0"	"543"	"0"
"47"	"18"	"68"	"395"	"7"	"0"	"1"	"1"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"4"	"481"	"0"	"481"	"0"
"48"	"19"	"309"	"148"	"23"	"0"	"3"	"6"	"1"	"4"	"0"	"1"	"3"	"2"	"1"	"1"	"4"	"17"	"523"	"0"	"523"	"0"
"49"	"20"	"69"	"220"	"9"	"1"	"3"	"19"	"6"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"5"	"337"	"0"	"337"	"0"
"50"	"21"	"86"	"225"	"9"	"1"	"0"	"7"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"4"	"1"	"336"	"0"	"336"	"0"
"51"	"22"	"203"	"173"	"9"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"2"	"395"	"0"	"395"	"0"
"52"	"23"	"154"	"136"	"20"	"1"	"2"	"27"	"2"	"0"	"1"	"0"	"1"	"1"	"0"	"3"	"0"	"2"	"350"	"0"	"350"	"0"
"53"	"24"	"83"	"246"	"6"	"4"	"2"	"15"	"8"	"2"	"0"	"0"	"0"	"0"	"2"	"1"	"7"	"10"	"386"	"0"	"386"	"0"
"54"	"25"	"30"	"76"	"12"	"1"	"3"	"26"	"7"	"1"	"0"	"2"	"2"	"1"	"1"	"1"	"2"	"4"	"169"	"0"	"169"	"0"
"55"	"26"	"41"	"241"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"290"	"0"	"290"	"0"
"56"	"27"	"84"	"69"	"4"	"1"	"0"	"2"	"1"	"0"	"0"	"3"	"3"	"0"	"0"	"0"	"2"	"3"	"172"	"0"	"172"	"0"
"57"	"28"	"429"	"26"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"466"	"0"	"466"	"0"
"58"	"Total :-"	"2302"	"2507"	"175"	"20"	"20"	"202"	"37"	"12"	"8"	"13"	"18"	"13"	"11"	"13"	"41"	"82"	"5474"	"0"	"5474"	"0"
"59"	"Till Last Total :-"	"2922"	"1460"	"146"	"21"	"13"	"53"	"15"	"7"	"9"	"8"	"17"	"4"	"6"	"5"	"24"	"58"	"4768"	"0"	"4768"	"0"
"60"	"Grand Total
:-"	"5224"	"3967"	"321"	"41"	"33"	"255"	"52"	"19"	"17"	"21"	"35"	"17"	"17"	"18"	"65"	"140"	"10242"	"0"	"10242"	"0"
"61"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"16th May 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"[FORM 20]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 30- PATNA SAHIB  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"Total No. of electors in Assembly Constituency/Segment:-208005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"(To be used both for Parliamentary and Assembly election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"ROUND  3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 185- FATUHA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"76"	""	"Vijay Kumar"	"Shatrughan Sinha"	"Shekhar Suman"	"On Masumi"	"Dr. Diwaker Tejaswi"	"Ram Narayan Rai"	"Hassan Faizi Hashmi"	"Anjani Kumar"	"Kumar Rajiv"	"Deepak Kumar Singh"	"Pankaj Kumar Sharma"	"Pramod Kumar Gupta"	"Ram Bhajan Singh Nishad"	"Vidhan Chandra Rana"	"Sanjay Verma"	"Hemant Kumar Singh"	""	""	""	""
"77"	"29"	"99"	"193"	"7"	"2"	"0"	"14"	"1"	"0"	"0"	"3"	"1"	"2"	"0"	"3"	"2"	"3"	"330"	"0"	"330"	"0"
"78"	"30"	"205"	"100"	"8"	"1"	"0"	"12"	"0"	"2"	"1"	"0"	"0"	"1"	"0"	"2"	"4"	"8"	"344"	"0"	"344"	"0"
"79"	"31"	"75"	"143"	"9"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"4"	"235"	"0"	"235"	"0"
"80"	"32"	"281"	"8"	"6"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"4"	"12"	"318"	"0"	"318"	"0"
"81"	"33"	"31"	"239"	"11"	"0"	"1"	"0"	"2"	"0"	"1"	"2"	"1"	"1"	"0"	"2"	"2"	"1"	"294"	"0"	"294"	"0"
"82"	"34"	"78"	"177"	"8"	"0"	"0"	"17"	"3"	"0"	"5"	"1"	"0"	"1"	"0"	"3"	"1"	"5"	"299"	"0"	"299"	"0"
"83"	"35"	"24"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"34"	"0"	"34"	"0"
"84"	"36"	"43"	"18"	"7"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"75"	"0"	"75"	"0"
"85"	"37"	"260"	"73"	"7"	"2"	"0"	"9"	"3"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"4"	"361"	"0"	"361"	"0"
"86"	"38"	"21"	"34"	"5"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"64"	"0"	"64"	"0"
"87"	"39"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"
"88"	"40"	"271"	"74"	"3"	"2"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"2"	"2"	"1"	"8"	"11"	"377"	"0"	"377"	"0"
"89"	"41"	"21"	"213"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"240"	"0"	"240"	"0"
"90"	"42"	"55"	"121"	"10"	"0"	"1"	"2"	"0"	"0"	"3"	"0"	"2"	"0"	"0"	"0"	"6"	"3"	"203"	"0"	"203"	"0"
"91"	"Total :-"	"1464"	"1400"	"86"	"10"	"5"	"58"	"11"	"4"	"12"	"9"	"6"	"9"	"2"	"14"	"31"	"54"	"3175"	"0"	"3175"	"0"
"92"	"Till Last Total :-"	"5224"	"3967"	"321"	"41"	"33"	"255"	"52"	"19"	"17"	"21"	"35"	"17"	"17"	"18"	"65"	"140"	"10242"	"0"	"10242"	"0"
"93"	"Grand Total
:-"	"6688"	"5367"	"407"	"51"	"38"	"313"	"63"	"23"	"29"	"30"	"41"	"26"	"19"	"32"	"96"	"194"	"13417"	"0"	"13417"	"0"
"94"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"16th May 2009                                                                                                                                                                                                                                                                         ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"[FORM 20]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 30- PATNA SAHIB  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"Total No. of electors in Assembly Constituency/Segment:-208005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"(To be used both for Parliamentary and Assembly election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"ROUND  4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 185- FATUHA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"108"	""	"Vijay Kumar"	"Shatrughan Sinha"	"Shekhar Suman"	"On Masumi"	"Dr. Diwaker Tejaswi"	"Ram Narayan Rai"	"Hassan Faizi Hashmi"	"Anjani Kumar"	"Kumar Rajiv"	"Deepak Kumar Singh"	"Pankaj Kumar Sharma"	"Pramod Kumar Gupta"	"Ram Bhajan Singh Nishad"	"Vidhan Chandra Rana"	"Sanjay Verma"	"Hemant Kumar Singh"	""	""	""	""
"109"	"43"	"267"	"214"	"21"	"1"	"0"	"8"	"3"	"1"	"2"	"0"	"1"	"1"	"0"	"2"	"4"	"0"	"525"	"0"	"525"	"0"
"110"	"44"	"182"	"181"	"14"	"2"	"1"	"36"	"4"	"0"	"1"	"1"	"0"	"0"	"2"	"0"	"3"	"5"	"432"	"0"	"432"	"0"
"111"	"45"	"117"	"335"	"33"	"1"	"1"	"2"	"2"	"0"	"1"	"1"	"1"	"1"	"2"	"1"	"7"	"6"	"511"	"0"	"511"	"0"
"112"	"46"	"96"	"107"	"9"	"5"	"0"	"5"	"3"	"0"	"0"	"1"	"2"	"0"	"1"	"0"	"6"	"5"	"240"	"0"	"240"	"0"
"113"	"47"	"10"	"41"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"56"	"0"	"56"	"0"
"114"	"48"	"91"	"171"	"13"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"3"	"5"	"5"	"296"	"0"	"296"	"0"
"115"	"49"	"99"	"141"	"13"	"0"	"2"	"16"	"3"	"2"	"0"	"1"	"2"	"1"	"0"	"3"	"0"	"3"	"286"	"0"	"286"	"0"
"116"	"50"	"130"	"113"	"10"	"1"	"5"	"43"	"2"	"2"	"1"	"0"	"1"	"2"	"0"	"0"	"5"	"6"	"321"	"0"	"321"	"0"
"117"	"51"	"140"	"8"	"1"	"0"	"0"	"4"	"3"	"0"	"0"	"1"	"2"	"0"	"1"	"0"	"0"	"9"	"169"	"0"	"169"	"0"
"118"	"52"	"173"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"0"	"178"	"0"
"119"	"53"	"45"	"216"	"7"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"1"	"3"	"3"	"281"	"0"	"281"	"0"
"120"	"54"	"141"	"93"	"8"	"2"	"3"	"28"	"6"	"0"	"3"	"0"	"1"	"0"	"3"	"1"	"1"	"4"	"294"	"0"	"294"	"0"
"121"	"55"	"73"	"188"	"6"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"2"	"12"	"4"	"290"	"0"	"290"	"0"
"122"	"56"	"63"	"6"	"1"	"3"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"76"	"0"	"76"	"0"
"123"	"Total :-"	"1627"	"1818"	"142"	"18"	"17"	"142"	"27"	"6"	"10"	"5"	"14"	"7"	"12"	"14"	"46"	"50"	"3955"	"0"	"3955"	"0"
"124"	"Till Last Total :-"	"6688"	"5367"	"407"	"51"	"38"	"313"	"63"	"23"	"29"	"30"	"41"	"26"	"19"	"32"	"96"	"194"	"13417"	"0"	"13417"	"0"
"125"	"Grand Total
:-"	"8315"	"7185"	"549"	"69"	"55"	"455"	"90"	"29"	"39"	"35"	"55"	"33"	"31"	"46"	"142"	"244"	"17372"	"0"	"17372"	"0"
"126"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"16th May 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"ROUND  5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"Total No. of electors in Assembly Constituency/Segment:-208005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 185- FATUHA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"135"	""	"Vijay Kumar"	"Shatrughan Sinha"	"Shekhar Suman"	"On Masumi"	"Dr. Diwaker Tejaswi"	"Ram Narayan Rai"	"Hassan Faizi Hashmi"	"Anjani Kumar"	"Kumar Rajiv"	"Deepak Kumar Singh"	"Pankaj Kumar Sharma"	"Pramod Kumar Gupta"	"Ram Bhajan Singh Nishad"	"Vidhan Chandra Rana"	"Sanjay Verma"	"Hemant Kumar Singh"	""	""	""	""
"136"	"57"	"150"	"40"	"8"	"0"	"0"	"4"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"2"	"207"	"0"	"207"	"0"
"137"	"58"	"243"	"39"	"5"	"4"	"4"	"9"	"2"	"0"	"1"	"1"	"0"	"1"	"0"	"2"	"1"	"0"	"312"	"0"	"312"	"0"
"138"	"59"	"179"	"110"	"23"	"4"	"1"	"0"	"0"	"0"	"0"	"3"	"1"	"1"	"0"	"2"	"3"	"16"	"343"	"0"	"343"	"0"
"139"	"60"	"277"	"184"	"15"	"0"	"0"	"1"	"2"	"2"	"1"	"1"	"0"	"2"	"2"	"1"	"5"	"9"	"502"	"0"	"502"	"0"
"140"	"61"	"47"	"206"	"13"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"3"	"1"	"2"	"4"	"279"	"0"	"279"	"0"
"141"	"62"	"23"	"285"	"33"	"2"	"1"	"49"	"5"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"402"	"0"	"402"	"0"
"142"	"63"	"14"	"176"	"71"	"0"	"0"	"10"	"1"	"1"	"8"	"1"	"2"	"0"	"0"	"0"	"1"	"1"	"286"	"0"	"286"	"0"
"143"	"64"	"30"	"139"	"19"	"1"	"1"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"202"	"0"	"202"	"0"
"144"	"65"	"29"	"58"	"25"	"2"	"2"	"17"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"2"	"140"	"0"	"140"	"0"
"145"	"66"	"136"	"177"	"20"	"7"	"4"	"210"	"22"	"5"	"1"	"7"	"3"	"5"	"5"	"7"	"12"	"14"	"635"	"0"	"635"	"0"
"146"	"67"	"111"	"176"	"48"	"2"	"0"	"9"	"1"	"0"	"2"	"1"	"2"	"1"	"2"	"0"	"1"	"3"	"359"	"0"	"359"	"0"
"147"	"68"	"47"	"229"	"23"	"0"	"1"	"7"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"2"	"2"	"314"	"0"	"314"	"0"
"148"	"69"	"241"	"7"	"12"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"3"	"1"	"1"	"0"	"2"	"1"	"271"	"0"	"271"	"0"
"149"	"70"	"275"	"28"	"6"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"312"	"0"	"312"	"0"
"150"	"Total :-"	"1802"	"1854"	"321"	"22"	"14"	"326"	"38"	"10"	"18"	"15"	"13"	"13"	"16"	"15"	"30"	"57"	"4564"	"0"	"4564"	"0"
"151"	"Till Last Total :-"	"8315"	"7185"	"549"	"69"	"55"	"455"	"90"	"29"	"39"	"35"	"55"	"33"	"31"	"46"	"142"	"244"	"17372"	"0"	"17372"	"0"
"152"	"Grand Total
:-"	"10117"	"9039"	"870"	"91"	"69"	"781"	"128"	"39"	"57"	"50"	"68"	"46"	"47"	"61"	"172"	"301"	"21936"	"0"	"21936"	"0"
"153"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
