"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"
"16"	"6"	"122"	"9"	"223"	"5"	"0"	""	"1"	"1"	"2"	"1"	"0"	""	"11"	"2"	"25"	"402"	"0"	"402"	""	"0"	""	""	""	""	""	""	""
"17"	"7"	"131"	"10"	"142"	"1"	"5"	""	"0"	"3"	"3"	"2"	"5"	""	"14"	"7"	"25"	"348"	"0"	"348"	""	"0"	""	""	""	""	""	""	""
"18"	"8"	"211"	"6"	"126"	"8"	"0"	""	"1"	"0"	"1"	"0"	"1"	""	"2"	"4"	"16"	"376"	"0"	"376"	""	"0"	""	""	""	""	""	""	""
"19"	"9"	"151"	"4"	"206"	"4"	"0"	""	"1"	"1"	"0"	"2"	"3"	""	"11"	"3"	"33"	"419"	"0"	"419"	""	"0"	""	""	""	""	""	""	""
"20"	"10"	"253"	"27"	"237"	"5"	"1"	""	"2"	"2"	"1"	"3"	"2"	""	"7"	"2"	"21"	"563"	"0"	"563"	""	"0"	""	""	""	""	""	""	""
"21"	"11"	"104"	"10"	"166"	"8"	"5"	""	"2"	"0"	"1"	"2"	"1"	""	"5"	"4"	"15"	"323"	"0"	"323"	""	"0"	""	""	""	""	""	""	""
"22"	"12"	"197"	"11"	"307"	"5"	"2"	""	"2"	"1"	"1"	"4"	"1"	""	"19"	"9"	"33"	"592"	"0"	"592"	""	"0"	""	""	""	""	""	""	""
"23"	"13"	"308"	"23"	"266"	"8"	"5"	""	"5"	"2"	"0"	"2"	"1"	""	"5"	"0"	"5"	"630"	"0"	"630"	""	"0"	""	""	""	""	""	""	""
"24"	"14"	"209"	"12"	"225"	"7"	"3"	""	"5"	"2"	"3"	"2"	"5"	""	"17"	"8"	"44"	"542"	"0"	"542"	""	"0"	""	""	""	""	""	""	""
"25"	"Total"	"2527"	"176"	"2905"	"89"	"40"	""	"40"	"21"	"21"	"33"	"35"	""	"144"	"56"	"300"	"6387"	"0"	"6387"	""	"0"	""	""	""	""	""	""	""
"26"	"B.F."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	""	"0"	""	""	""	""	""	""	""
"27"	"G. Total"	"2527"	"176"	"2905"	"89"	"40"	""	"40"	"21"	"21"	"33"	"35"	""	"144"	"56"	"300"	"6387"	"0"	"6387"	""	"0"	""	""	""	""	""	""	""
"28"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"FINAL RESULT SHEET [SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 19- MAHARAJGANJ PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"Total No. of Electors in Assembly Constituency/Segment- 232819"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"Name of the Assembly/segment - 111- GOREYAKOTHI                                                                                                                                                                             Round No       2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	""	"No. of tendered Votes"	""	""	""	""	""	""	""
"37"	""	"Umashank er Singh"	"Tarkeshwar Singh"	"Prabhu Nath Singh"	"Ravindra Nath Mishra"	"Ramesh Singh Kushwaha"	""	"Satyendra Kr. Sahani"	"Gautam Prasad"	"Dhurendra Ram"	"Nayan Prasad"	"Pradeep Manjhi"	""	"Banke Bihari Singh"	"Rajesh Kumar Singh"	"Breenda Pathak"	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	""	"12"	"13"	"14"	"15"	"16"	"17"	""	"18"	""	""	""	""	""	""	""
"39"	"15"	"123"	"12"	"311"	"4"	"3"	""	"0"	"1"	"0"	"0"	"2"	""	"1"	"2"	"6"	"465"	"0"	"465"	""	"0"	""	""	""	""	""	""	""
"40"	"16"	"240"	"8"	"115"	"4"	"3"	""	"0"	"1"	"0"	"1"	"0"	""	"8"	"1"	"10"	"391"	"0"	"391"	""	"0"	""	""	""	""	""	""	""
"41"	"17"	"114"	"38"	"199"	"6"	"18"	""	"0"	"1"	"5"	"4"	"0"	""	"8"	"4"	"22"	"419"	"0"	"419"	""	"0"	""	""	""	""	""	""	""
"42"	"18"	"174"	"5"	"336"	"8"	"3"	""	"2"	"0"	"2"	"1"	"4"	""	"10"	"1"	"20"	"566"	"0"	"566"	""	"0"	""	""	""	""	""	""	""
"43"	"19"	"118"	"13"	"360"	"19"	"2"	""	"3"	"4"	"2"	"8"	"7"	""	"16"	"12"	"37"	"601"	"0"	"601"	""	"0"	""	""	""	""	""	""	""
"44"	"20"	"371"	"41"	"112"	"5"	"2"	""	"3"	"3"	"2"	"2"	"3"	""	"4"	"2"	"18"	"568"	"0"	"568"	""	"0"	""	""	""	""	""	""	""
"45"	"21"	"214"	"63"	"264"	"15"	"14"	""	"12"	"2"	"4"	"2"	"6"	""	"18"	"10"	"36"	"660"	"0"	"660"	""	"0"	""	""	""	""	""	""	""
"46"	"22"	"154"	"22"	"119"	"3"	"2"	""	"3"	"0"	"1"	"0"	"1"	""	"10"	"7"	"12"	"334"	"0"	"334"	""	"0"	""	""	""	""	""	""	""
"47"	"23"	"187"	"12"	"273"	"7"	"18"	""	"2"	"1"	"4"	"1"	"4"	""	"10"	"11"	"22"	"552"	"0"	"552"	""	"0"	""	""	""	""	""	""	""
"48"	"24"	"55"	"24"	"374"	"0"	"0"	""	"1"	"0"	"1"	"1"	"0"	""	"1"	"1"	"6"	"464"	"0"	"464"	""	"0"	""	""	""	""	""	""	""
"49"	"25"	"217"	"25"	"118"	"9"	"11"	""	"6"	"3"	"3"	"2"	"1"	""	"1"	"4"	"11"	"411"	"0"	"411"	""	"0"	""	""	""	""	""	""	""
"50"	"26"	"191"	"10"	"42"	"1"	"11"	""	"1"	"0"	"1"	"0"	"3"	""	"4"	"8"	"11"	"283"	"0"	"283"	""	"0"	""	""	""	""	""	""	""
"51"	"27"	"127"	"7"	"275"	"8"	"5"	""	"4"	"3"	"1"	"6"	"4"	""	"22"	"5"	"23"	"490"	"0"	"490"	""	"0"	""	""	""	""	""	""	""
"52"	"28"	"381"	"20"	"44"	"5"	"5"	""	"1"	"0"	"1"	"3"	"2"	""	"1"	"7"	"28"	"498"	"0"	"498"	""	"0"	""	""	""	""	""	""	""
"53"	"Total"	"2666"	"300"	"2942"	"94"	"97"	""	"38"	"19"	"27"	"31"	"37"	""	"114"	"75"	"262"	"6702"	"0"	"6702"	""	"0"	""	""	""	""	""	""	""
"54"	"B.F."	"2527"	"176"	"2905"	"89"	"40"	""	"40"	"21"	"21"	"33"	"35"	""	"144"	"56"	"300"	"6387"	"0"	"6387"	""	"0"	""	""	""	""	""	""	""
"55"	"G. Total"	"5193"	"476"	"5847"	"183"	"137"	""	"78"	"40"	"48"	"64"	"72"	""	"258"	"131"	"562"	"13089"	"0"	"13089"	""	"0"	""	""	""	""	""	""	""
"56"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"FINAL RESULT SHEET [SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 19- MAHARAJGANJ PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"Total No. of Electors in Assembly Constituency/Segment- 232819"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"Name of the Assembly/segment - 111- GOREYAKOTHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"Round No       3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	""	"No. of tendered Votes"	""	""	""	""	""	""	""
"65"	""	"Umashank er Singh"	"Tarkeshwar Singh"	"Prabhu Nath Singh"	"Ravindra Nath Mishra"	"Ramesh Singh Kushwaha"	""	"Satyendra Kr. Sahani"	"Gautam Prasad"	"Dhurendra Ram"	"Nayan Prasad"	"Pradeep Manjhi"	""	"Banke Bihari Singh"	"Rajesh Kumar Singh"	"Breenda Pathak"	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	""	"12"	"13"	"14"	"15"	"16"	"17"	""	"18"	""	""	""	""	""	""	""
"67"	"29"	"226"	"8"	"154"	"5"	"0"	""	"10"	"1"	"3"	"2"	"5"	""	"11"	"4"	"18"	"447"	"0"	"447"	""	"0"	""	""	""	""	""	""	""
"68"	"30"	"220"	"8"	"271"	"4"	"1"	""	"1"	"2"	"2"	"5"	"4"	""	"17"	"6"	"36"	"577"	"0"	"577"	""	"0"	""	""	""	""	""	""	""
"69"	"31"	"115"	"59"	"260"	"21"	"10"	""	"7"	"1"	"6"	"2"	"1"	""	"14"	"4"	"7"	"507"	"0"	"507"	""	"0"	""	""	""	""	""	""	""
"70"	"32"	"57"	"3"	"145"	"1"	"0"	""	"1"	"0"	"0"	"1"	"0"	""	"0"	"1"	"5"	"214"	"0"	"214"	""	"0"	""	""	""	""	""	""	""
"71"	"33"	"205"	"17"	"279"	"6"	"2"	""	"1"	"1"	"2"	"0"	"5"	""	"20"	"5"	"25"	"568"	"0"	"568"	""	"0"	""	""	""	""	""	""	""
"72"	"34"	"153"	"51"	"260"	"8"	"1"	""	"3"	"4"	"3"	"3"	"9"	""	"18"	"3"	"33"	"549"	"0"	"549"	""	"0"	""	""	""	""	""	""	""
"73"	"35"	"140"	"39"	"141"	"8"	"3"	""	"3"	"0"	"0"	"3"	"4"	""	"3"	"1"	"4"	"349"	"0"	"349"	""	"0"	""	""	""	""	""	""	""
"74"	"36"	"175"	"32"	"102"	"2"	"8"	""	"1"	"0"	"2"	"2"	"0"	""	"1"	"1"	"6"	"332"	"0"	"332"	""	"0"	""	""	""	""	""	""	""
"75"	"37"	"162"	"67"	"278"	"27"	"4"	""	"5"	"3"	"5"	"8"	"5"	""	"22"	"8"	"41"	"635"	"0"	"635"	""	"0"	""	""	""	""	""	""	""
"76"	"38"	"89"	"22"	"398"	"6"	"1"	""	"5"	"2"	"2"	"4"	"5"	""	"21"	"3"	"20"	"578"	"0"	"578"	""	"0"	""	""	""	""	""	""	""
"77"	"39"	"157"	"27"	"137"	"9"	"3"	""	"2"	"2"	"0"	"4"	"1"	""	"20"	"8"	"32"	"402"	"0"	"402"	""	"0"	""	""	""	""	""	""	""
"78"	"40"	"355"	"9"	"13"	"0"	"3"	""	"0"	"0"	"1"	"0"	"0"	""	"3"	"4"	"11"	"399"	"0"	"399"	""	"0"	""	""	""	""	""	""	""
"79"	"41"	"268"	"14"	"106"	"2"	"4"	""	"0"	"1"	"0"	"2"	"0"	""	"4"	"1"	"8"	"410"	"0"	"410"	""	"0"	""	""	""	""	""	""	""
"80"	"42"	"254"	"19"	"199"	"11"	"1"	""	"4"	"2"	"2"	"2"	"0"	""	"2"	"1"	"16"	"513"	"0"	"513"	""	"0"	""	""	""	""	""	""	""
"81"	"Total"	"2576"	"375"	"2743"	"110"	"41"	""	"43"	"19"	"28"	"38"	"39"	""	"156"	"50"	"262"	"6480"	"0"	"6480"	""	"0"	""	""	""	""	""	""	""
"82"	"B.F."	"5193"	"476"	"5847"	"183"	"137"	""	"78"	"40"	"48"	"64"	"72"	""	"258"	"131"	"562"	"13089"	"0"	"13089"	""	"0"	""	""	""	""	""	""	""
"83"	"G. Total"	"7769"	"851"	"8590"	"293"	"178"	""	"121"	"59"	"76"	"102"	"111"	""	"414"	"181"	"824"	"19569"	"0"	"19569"	""	"0"	""	""	""	""	""	""	""
"84"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"FINAL RESULT SHEET [SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 19- MAHARAJGANJ PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"Total No. of Electors in Assembly Constituency/Segment- 232819"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"Name of the Assembly/segment - 111- GOREYAKOTHI                                                                                                                                                                             Round No       4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	""	"No. of tendered Votes"	""	""	""	""	""	""	""
"92"	""	"Umashank er Singh"	"Tarkeshwar Singh"	"Prabhu Nath Singh"	"Ravindra Nath Mishra"	"Ramesh Singh Kushwaha"	""	"Satyendra Kr. Sahani"	"Gautam Prasad"	"Dhurendra Ram"	"Nayan Prasad"	"Pradeep Manjhi"	""	"Banke Bihari Singh"	"Rajesh Kumar Singh"	"Breenda Pathak"	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	""	"12"	"13"	"14"	"15"	"16"	"17"	""	"18"	""	""	""	""	""	""	""
"94"	"43"	"38"	"22"	"247"	"47"	"3"	""	"5"	"1"	"1"	"3"	"2"	""	"29"	"4"	"23"	"425"	"0"	"425"	""	"0"	""	""	""	""	""	""	""
"95"	"44"	"407"	"25"	"119"	"64"	"1"	""	"1"	"1"	"2"	"3"	"0"	""	"17"	"7"	"26"	"673"	"0"	"673"	""	"0"	""	""	""	""	""	""	""
"96"	"45"	"263"	"30"	"168"	"19"	"14"	""	"4"	"4"	"3"	"4"	"4"	""	"7"	"2"	"38"	"560"	"0"	"560"	""	"0"	""	""	""	""	""	""	""
"97"	"46"	"318"	"12"	"153"	"17"	"7"	""	"5"	"0"	"5"	"4"	"6"	""	"15"	"7"	"18"	"567"	"0"	"567"	""	"0"	""	""	""	""	""	""	""
"98"	"47"	"116"	"12"	"248"	"6"	"2"	""	"5"	"5"	"3"	"7"	"8"	""	"15"	"14"	"29"	"470"	"0"	"470"	""	"0"	""	""	""	""	""	""	""
"99"	"48"	"385"	"6"	"38"	"6"	"12"	""	"3"	"2"	"0"	"5"	"1"	""	"5"	"5"	"23"	"491"	"0"	"491"	""	"0"	""	""	""	""	""	""	""
"100"	"49"	"194"	"18"	"97"	"13"	"5"	""	"0"	"2"	"2"	"0"	"2"	""	"1"	"5"	"6"	"345"	"0"	"345"	""	"0"	""	""	""	""	""	""	""
"101"	"50"	"248"	"11"	"40"	"13"	"0"	""	"11"	"1"	"2"	"1"	"0"	""	"1"	"1"	"12"	"341"	"0"	"341"	""	"0"	""	""	""	""	""	""	""
"102"	"51"	"256"	"26"	"206"	"8"	"5"	""	"2"	"2"	"3"	"2"	"2"	""	"3"	"1"	"5"	"521"	"0"	"521"	""	"0"	""	""	""	""	""	""	""
"103"	"52"	"169"	"13"	"144"	"4"	"7"	""	"4"	"1"	"0"	"3"	"4"	""	"15"	"10"	"30"	"404"	"0"	"404"	""	"0"	""	""	""	""	""	""	""
"104"	"53"	"335"	"18"	"156"	"13"	"7"	""	"2"	"1"	"0"	"2"	"3"	""	"6"	"2"	"11"	"556"	"0"	"556"	""	"0"	""	""	""	""	""	""	""
"105"	"54"	"139"	"12"	"95"	"12"	"2"	""	"5"	"0"	"0"	"1"	"0"	""	"10"	"1"	"16"	"293"	"0"	"293"	""	"0"	""	""	""	""	""	""	""
"106"	"55"	"99"	"27"	"23"	"0"	"1"	""	"2"	"2"	"1"	"2"	"1"	""	"2"	"2"	"4"	"166"	"0"	"166"	""	"0"	""	""	""	""	""	""	""
"107"	"56"	"134"	"18"	"194"	"38"	"7"	""	"2"	"0"	"1"	"6"	"2"	""	"11"	"13"	"49"	"475"	"0"	"475"	""	"0"	""	""	""	""	""	""	""
"108"	"Total"	"3101"	"250"	"1928"	"260"	"73"	""	"51"	"22"	"23"	"43"	"35"	""	"137"	"74"	"290"	"6287"	"0"	"6287"	""	"0"	""	""	""	""	""	""	""
"109"	"B.F."	"7769"	"851"	"8590"	"293"	"178"	""	"121"	"59"	"76"	"102"	"111"	""	"414"	"181"	"824"	"19569"	"0"	"19569"	""	"0"	""	""	""	""	""	""	""
"110"	"G. Total"	"10870"	"1101"	"10518"	"553"	"251"	""	"172"	"81"	"99"	"145"	"146"	""	"551"	"255"	"1114"	"25856"	"0"	"25856"	""	"0"	""	""	""	""	""	""	""
"111"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"FINAL RESULT SHEET [SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 19- MAHARAJGANJ PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"Total No. of Electors in Assembly Constituency/Segment- 232819"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"Name of the Assembly/segment - 111- GOREYAKOTHI                                                                                                                                                                             Round No       5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	""	"No. of tendered Votes"	""	""	""	""	""	""	""
"119"	""	"Umashank er Singh"	"Tarkeshwar Singh"	"Prabhu Nath Singh"	"Ravindra Nath Mishra"	"Ramesh Singh Kushwaha"	""	"Satyendra Kr. Sahani"	"Gautam Prasad"	"Dhurendra Ram"	"Nayan Prasad"	"Pradeep Manjhi"	""	"Banke Bihari Singh"	"Rajesh Kumar Singh"	"Breenda Pathak"	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	""	"12"	"13"	"14"	"15"	"16"	"17"	""	"18"	""	""	""	""	""	""	""
"121"	"57"	"57"	"18"	"284"	"51"	"13"	""	"6"	"2"	"6"	"7"	"6"	""	"29"	"15"	"47"	"541"	"0"	"541"	""	"0"	""	""	""	""	""	""	""
"122"	"58"	"230"	"19"	"74"	"2"	"5"	""	"18"	"4"	"1"	"2"	"2"	""	"3"	"0"	"13"	"373"	"0"	"373"	""	"0"	""	""	""	""	""	""	""
"123"	"59"	"127"	"15"	"181"	"4"	"2"	""	"5"	"0"	"1"	"2"	"2"	""	"7"	"3"	"20"	"369"	"0"	"369"	""	"0"	""	""	""	""	""	""	""
"124"	"60"	"95"	"15"	"173"	"6"	"14"	""	"3"	"0"	"0"	"3"	"3"	""	"10"	"0"	"17"	"339"	"0"	"339"	""	"0"	""	""	""	""	""	""	""
"125"	"61"	"189"	"13"	"141"	"6"	"28"	""	"2"	"0"	"2"	"5"	"4"	""	"6"	"5"	"20"	"421"	"0"	"421"	""	"0"	""	""	""	""	""	""	""
"126"	"62"	"100"	"19"	"396"	"11"	"2"	""	"53"	"6"	"8"	"4"	"8"	""	"24"	"16"	"39"	"686"	"0"	"686"	""	"0"	""	""	""	""	""	""	""
"127"	"63"	"192"	"13"	"103"	"5"	"52"	""	"5"	"5"	"3"	"2"	"5"	""	"6"	"4"	"12"	"407"	"0"	"407"	""	"0"	""	""	""	""	""	""	""
"128"	"64"	"257"	"17"	"37"	"1"	"2"	""	"12"	"0"	"2"	"1"	"2"	""	"5"	"3"	"25"	"364"	"0"	"364"	""	"0"	""	""	""	""	""	""	""
"129"	"65"	"109"	"13"	"164"	"1"	"3"	""	"4"	"1"	"3"	"2"	"3"	""	"13"	"6"	"26"	"348"	"0"	"348"	""	"0"	""	""	""	""	""	""	""
"130"	"66"	"119"	"14"	"280"	"5"	"1"	""	"4"	"2"	"2"	"3"	"1"	""	"6"	"4"	"16"	"457"	"0"	"457"	""	"0"	""	""	""	""	""	""	""
"131"	"67"	"85"	"13"	"237"	"4"	"1"	""	"7"	"1"	"2"	"2"	"1"	""	"2"	"2"	"8"	"365"	"0"	"365"	""	"0"	""	""	""	""	""	""	""
"132"	"68"	"270"	"14"	"259"	"5"	"3"	""	"7"	"5"	"2"	"7"	"7"	""	"23"	"11"	"27"	"640"	"0"	"640"	""	"0"	""	""	""	""	""	""	""
"133"	"69"	"76"	"7"	"174"	"7"	"4"	""	"9"	"2"	"3"	"6"	"4"	""	"4"	"3"	"33"	"332"	"0"	"332"	""	"0"	""	""	""	""	""	""	""
"134"	"70"	"197"	"11"	"94"	"1"	"1"	""	"18"	"2"	"2"	"3"	"1"	""	"6"	"5"	"10"	"351"	"0"	"351"	""	"0"	""	""	""	""	""	""	""
"135"	"Total"	"2103"	"201"	"2597"	"109"	"131"	""	"153"	"30"	"37"	"49"	"49"	""	"144"	"77"	"313"	"5993"	"0"	"5993"	""	"0"	""	""	""	""	""	""	""
"136"	"B.F."	"10870"	"1101"	"10518"	"553"	"251"	""	"172"	"81"	"99"	"145"	"146"	""	"551"	"255"	"1114"	"25856"	"0"	"25856"	""	"0"	""	""	""	""	""	""	""
"137"	"G. Total"	"12973"	"1302"	"13115"	"662"	"382"	""	"325"	"111"	"136"	"194"	"195"	""	"695"	"332"	"1427"	"31849"	"0"	"31849"	""	"0"	""	""	""	""	""	""	""
