"TOTAL.NO.OF.ELECTORS.IN.92.SAKRA.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X196221"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"35"	"32"	"152"	"232"	"17"	"2"	"2"	"4"	"0"	"7"	"4"	"3"	"1"	"4"	"1"	"6"	"12"	"8"	"5"	"5"	"3"	"101"	"2"	"2"	"0"	"3"	"576"	""	""
"36"	"33"	"59"	"168"	"92"	"1"	"1"	"3"	"3"	"1"	"2"	"2"	"1"	"1"	"0"	"2"	"5"	"0"	"6"	"11"	"4"	"21"	"0"	"0"	"0"	"2"	"385"	""	""
"37"	"34"	"120"	"4"	"77"	"0"	"0"	"0"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"11"	"3"	"2"	"10"	"2"	"2"	"0"	"1"	"240"	""	""
"38"	"35"	"203"	"175"	"56"	"8"	"5"	"15"	"11"	"4"	"10"	"6"	"2"	"2"	"4"	"7"	"10"	"9"	"10"	"8"	"6"	"37"	"3"	"2"	"1"	"6"	"600"	""	""
"39"	"36"	"227"	"186"	"218"	"16"	"4"	"7"	"5"	"4"	"2"	"4"	"3"	"2"	"2"	"8"	"9"	"20"	"7"	"5"	"2"	"31"	"1"	"1"	"1"	"7"	"772"	""	""
"40"	"37"	"178"	"78"	"158"	"5"	"4"	"9"	"0"	"3"	"3"	"4"	"1"	"4"	"3"	"14"	"0"	"4"	"13"	"13"	"4"	"59"	"3"	"3"	"1"	"7"	"571"	""	""
"41"	"38"	"278"	"54"	"291"	"28"	"7"	"3"	"2"	"3"	"6"	"4"	"0"	"3"	"10"	"15"	"6"	"23"	"12"	"3"	"10"	"3"	"1"	"2"	"3"	"5"	"772"	""	""
"42"	"39"	"105"	"268"	"28"	"7"	"10"	"8"	"4"	"6"	"4"	"7"	"1"	"4"	"6"	"9"	"13"	"22"	"19"	"29"	"4"	"56"	"2"	"6"	"5"	"9"	"632"	""	""
"43"	"40"	"156"	"204"	"95"	"8"	"1"	"6"	"1"	"3"	"4"	"8"	"3"	"1"	"6"	"7"	"26"	"13"	"17"	"24"	"6"	"251"	"6"	"5"	"7"	"12"	"870"	""	""
"44"	"TOTAL NO OF ELECTORS IN 92-SAKRA ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	"196221"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"PS NO"	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"46"	"41"	"98"	"100"	"100"	"2"	"1"	"6"	"0"	"0"	"0"	"3"	"0"	"1"	"2"	"2"	"4"	"7"	"7"	"8"	"4"	"81"	"0"	"2"	"3"	"2"	"433"	""	""
"47"	"42"	"40"	"206"	"41"	"3"	"3"	"3"	"0"	"2"	"0"	"4"	"2"	"5"	"2"	"5"	"14"	"10"	"18"	"25"	"9"	"132"	"4"	"2"	"7"	"5"	"542"	""	""
"48"	"43"	"167"	"196"	"40"	"3"	"13"	"8"	"7"	"4"	"6"	"15"	"5"	"4"	"4"	"11"	"10"	"23"	"13"	"36"	"5"	"65"	"1"	"1"	"7"	"8"	"652"	""	""
"49"	"44"	"234"	"138"	"111"	"6"	"2"	"2"	"5"	"1"	"2"	"5"	"1"	"0"	"1"	"3"	"1"	"5"	"3"	"3"	"1"	"5"	"1"	"0"	"0"	"0"	"530"	""	""
"50"	"45"	"272"	"110"	"25"	"4"	"3"	"3"	"2"	"3"	"5"	"5"	"0"	"0"	"1"	"8"	"2"	"1"	"5"	"12"	"1"	"19"	"1"	"2"	"5"	"2"	"491"	""	""
"51"	"46"	"133"	"176"	"20"	"3"	"20"	"2"	"4"	"5"	"5"	"4"	"4"	"4"	"2"	"9"	"6"	"17"	"8"	"7"	"0"	"16"	"2"	"1"	"2"	"0"	"450"	""	""
"52"	"47"	"213"	"101"	"130"	"3"	"12"	"4"	"1"	"3"	"0"	"9"	"2"	"1"	"3"	"6"	"2"	"7"	"24"	"55"	"5"	"41"	"3"	"5"	"6"	"7"	"643"	""	""
"53"	"48"	"193"	"186"	"21"	"4"	"46"	"5"	"2"	"3"	"12"	"4"	"2"	"6"	"4"	"12"	"14"	"20"	"19"	"28"	"1"	"64"	"5"	"2"	"4"	"10"	"667"	""	""
"54"	"49"	"202"	"41"	"18"	"1"	"0"	"2"	"1"	"1"	"3"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"276"	""	""
"55"	"50"	"43"	"13"	"321"	"6"	"0"	"0"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"6"	"6"	"7"	"4"	"0"	"0"	"0"	"0"	"412"	""	""
"56"	"51"	"60"	"116"	"167"	"2"	"4"	"7"	"6"	"3"	"2"	"1"	"1"	"4"	"1"	"8"	"2"	"11"	"11"	"3"	"3"	"20"	"2"	"4"	"4"	"12"	"454"	""	""
"57"	"52"	"15"	"171"	"58"	"1"	"0"	"1"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"1"	"3"	"4"	"0"	"0"	"0"	"2"	"263"	""	""
"58"	"53"	"44"	"75"	"104"	"38"	"1"	"3"	"2"	"2"	"5"	"0"	"0"	"0"	"3"	"5"	"2"	"4"	"0"	"0"	"1"	"19"	"0"	"1"	"0"	"2"	"311"	""	""
"59"	"54"	"221"	"161"	"21"	"1"	"1"	"7"	"2"	"8"	"5"	"3"	"2"	"0"	"6"	"8"	"10"	"11"	"14"	"9"	"1"	"10"	"5"	"2"	"2"	"5"	"515"	""	""
"60"	"55"	"14"	"319"	"13"	"1"	"1"	"4"	"4"	"0"	"1"	"1"	"1"	"0"	"2"	"1"	"7"	"5"	"1"	"18"	"0"	"26"	"2"	"1"	"1"	"1"	"424"	""	""
"61"	"56"	"135"	"9"	"36"	"9"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"4"	"4"	"3"	"1"	"2"	"0"	"0"	"1"	"0"	"212"	""	""
"62"	"57"	"92"	"126"	"115"	"1"	"1"	"3"	"3"	"1"	"4"	"7"	"0"	"0"	"2"	"5"	"9"	"9"	"6"	"16"	"1"	"6"	"2"	"0"	"1"	"5"	"415"	""	""
"63"	"58"	"120"	"90"	"91"	"4"	"1"	"5"	"1"	"0"	"2"	"0"	"0"	"1"	"0"	"3"	"3"	"1"	"3"	"13"	"0"	"7"	"2"	"1"	"0"	"3"	"351"	""	""
"64"	"59"	"184"	"99"	"37"	"6"	"3"	"3"	"5"	"6"	"5"	"4"	"9"	"2"	"1"	"6"	"9"	"19"	"4"	"4"	"1"	"24"	"1"	"0"	"2"	"4"	"438"	""	""
"65"	"60"	"58"	"135"	"22"	"6"	"0"	"2"	"2"	"3"	"2"	"2"	"1"	"4"	"4"	"8"	"7"	"13"	"5"	"6"	"2"	"17"	"1"	"0"	"1"	"5"	"306"	""	""
"66"	"TOTAL NO OF ELECTORS IN 92-SAKRA ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	"196221"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"PS NO"	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"68"	"61"	"188"	"26"	"101"	"2"	"2"	"2"	"1"	"1"	"4"	"4"	"1"	"2"	"1"	"6"	"4"	"16"	"12"	"12"	"3"	"17"	"0"	"0"	"0"	"9"	"414"	""	""
"69"	"62"	"198"	"48"	"76"	"42"	"0"	"4"	"1"	"1"	"8"	"2"	"2"	"2"	"3"	"4"	"7"	"26"	"27"	"9"	"7"	"8"	"2"	"4"	"9"	"12"	"502"	""	""
"70"	"63"	"148"	"63"	"38"	"5"	"0"	"0"	"0"	"0"	"2"	"3"	"0"	"3"	"1"	"3"	"5"	"14"	"11"	"8"	"4"	"4"	"1"	"1"	"1"	"5"	"320"	""	""
"71"	"64"	"31"	"204"	"55"	"4"	"0"	"2"	"2"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"6"	"0"	"10"	"0"	"1"	"0"	"1"	"321"	""	""
"72"	"65"	"121"	"17"	"79"	"14"	"0"	"1"	"0"	"2"	"1"	"2"	"0"	"1"	"0"	"7"	"2"	"3"	"5"	"3"	"1"	"3"	"1"	"0"	"2"	"1"	"266"	""	""
"73"	"66"	"179"	"207"	"82"	"19"	"5"	"21"	"2"	"2"	"3"	"8"	"7"	"4"	"4"	"6"	"4"	"6"	"7"	"7"	"2"	"9"	"2"	"1"	"1"	"3"	"591"	""	""
"74"	"67"	"59"	"370"	"84"	"8"	"3"	"14"	"4"	"7"	"5"	"4"	"1"	"4"	"2"	"4"	"7"	"8"	"5"	"10"	"1"	"35"	"0"	"1"	"0"	"2"	"638"	""	""
"75"	"68"	"148"	"60"	"126"	"13"	"0"	"2"	"1"	"1"	"4"	"2"	"2"	"3"	"3"	"11"	"8"	"26"	"11"	"10"	"1"	"5"	"0"	"1"	"3"	"4"	"445"	""	""
"76"	"69"	"224"	"46"	"62"	"29"	"1"	"4"	"2"	"4"	"11"	"3"	"0"	"1"	"1"	"6"	"5"	"6"	"2"	"3"	"1"	"9"	"1"	"0"	"0"	"3"	"424"	""	""
"77"	"70"	"118"	"124"	"22"	"6"	"3"	"5"	"3"	"0"	"3"	"3"	"0"	"0"	"0"	"1"	"6"	"4"	"6"	"7"	"1"	"59"	"4"	"0"	"0"	"4"	"379"	""	""
"78"	"71"	"193"	"55"	"118"	"39"	"1"	"4"	"4"	"3"	"3"	"6"	"0"	"3"	"3"	"12"	"5"	"8"	"4"	"4"	"3"	"10"	"0"	"2"	"2"	"0"	"482"	""	""
"79"	"72"	"45"	"145"	"58"	"3"	"1"	"4"	"2"	"1"	"3"	"4"	"2"	"4"	"5"	"2"	"8"	"3"	"2"	"5"	"3"	"50"	"2"	"0"	"3"	"4"	"359"	""	""
"80"	"73"	"102"	"153"	"19"	"12"	"5"	"4"	"4"	"2"	"1"	"1"	"1"	"3"	"4"	"5"	"12"	"9"	"8"	"9"	"6"	"93"	"2"	"1"	"5"	"5"	"466"	""	""
"81"	"74"	"49"	"164"	"24"	"6"	"0"	"3"	"3"	"2"	"4"	"5"	"4"	"3"	"0"	"2"	"16"	"7"	"1"	"8"	"1"	"115"	"1"	"1"	"0"	"2"	"421"	""	""
"82"	"75"	"8"	"46"	"3"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"63"	""	""
"83"	"76"	"49"	"295"	"113"	"9"	"1"	"9"	"8"	"0"	"3"	"4"	"2"	"2"	"2"	"5"	"24"	"15"	"2"	"6"	"2"	"47"	"3"	"0"	"0"	"8"	"609"	""	""
"84"	"77"	"81"	"238"	"116"	"8"	"5"	"6"	"6"	"4"	"8"	"8"	"5"	"5"	"7"	"8"	"16"	"22"	"13"	"6"	"0"	"50"	"3"	"5"	"3"	"10"	"633"	""	""
"85"	"78"	"106"	"59"	"58"	"7"	"1"	"5"	"0"	"1"	"5"	"3"	"3"	"0"	"0"	"7"	"6"	"5"	"8"	"6"	"2"	"7"	"0"	"0"	"1"	"4"	"294"	""	""
"86"	"79"	"177"	"182"	"131"	"4"	"1"	"6"	"0"	"4"	"5"	"7"	"5"	"5"	"2"	"4"	"23"	"17"	"3"	"8"	"2"	"166"	"1"	"0"	"0"	"1"	"754"	""	""
"87"	"80"	"33"	"77"	"176"	"6"	"1"	"0"	"1"	"1"	"0"	"2"	"3"	"2"	"2"	"2"	"5"	"5"	"1"	"7"	"3"	"9"	"0"	"0"	"1"	"0"	"337"	""	""
"88"	"TOTAL NO OF ELECTORS IN 92-SAKRA ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	"196221"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"PS NO"	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"90"	"81"	"232"	"338"	"51"	"6"	"3"	"12"	"3"	"2"	"8"	"6"	"4"	"1"	"2"	"6"	"4"	"4"	"13"	"20"	"4"	"31"	"2"	"3"	"6"	"3"	"764"	""	""
"91"	"82"	"17"	"269"	"114"	"1"	"1"	"3"	"4"	"0"	"0"	"2"	"2"	"1"	"0"	"2"	"11"	"5"	"8"	"34"	"9"	"17"	"5"	"2"	"7"	"5"	"519"	""	""
"92"	"83"	"80"	"133"	"131"	"4"	"2"	"0"	"0"	"1"	"2"	"3"	"2"	"0"	"1"	"2"	"2"	"0"	"2"	"0"	"0"	"14"	"0"	"0"	"0"	"3"	"382"	""	""
"93"	"84"	"187"	"137"	"139"	"8"	"3"	"3"	"2"	"1"	"1"	"6"	"2"	"0"	"4"	"6"	"8"	"7"	"7"	"11"	"4"	"8"	"1"	"2"	"4"	"5"	"556"	""	""
"94"	"85"	"358"	"135"	"81"	"8"	"10"	"1"	"2"	"3"	"8"	"2"	"2"	"4"	"4"	"8"	"2"	"13"	"20"	"33"	"7"	"25"	"0"	"1"	"1"	"2"	"730"	""	""
"95"	"86"	"322"	"150"	"32"	"4"	"7"	"4"	"2"	"3"	"4"	"2"	"0"	"1"	"2"	"3"	"3"	"7"	"42"	"21"	"6"	"31"	"6"	"5"	"14"	"41"	"712"	""	""
"96"	"87"	"92"	"98"	"19"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"3"	"3"	"4"	"0"	"7"	"0"	"1"	"0"	"1"	"233"	""	""
"97"	"88"	"146"	"93"	"51"	"2"	"2"	"2"	"0"	"2"	"1"	"1"	"2"	"3"	"1"	"5"	"9"	"10"	"2"	"3"	"2"	"39"	"1"	"0"	"1"	"1"	"379"	""	""
"98"	"89"	"121"	"127"	"74"	"14"	"1"	"2"	"1"	"4"	"1"	"2"	"1"	"3"	"0"	"1"	"7"	"7"	"14"	"20"	"5"	"39"	"3"	"3"	"7"	"11"	"468"	""	""
"99"	"90"	"95"	"84"	"86"	"7"	"3"	"2"	"2"	"4"	"3"	"1"	"0"	"1"	"2"	"3"	"5"	"24"	"2"	"7"	"4"	"6"	"0"	"1"	"1"	"3"	"346"	""	""
"100"	"91"	"83"	"163"	"155"	"28"	"0"	"3"	"1"	"3"	"8"	"3"	"5"	"3"	"3"	"6"	"19"	"26"	"7"	"10"	"9"	"33"	"4"	"5"	"7"	"14"	"598"	""	""
"101"	"92"	"40"	"185"	"10"	"4"	"2"	"11"	"4"	"3"	"2"	"4"	"5"	"5"	"8"	"10"	"14"	"19"	"10"	"18"	"5"	"16"	"2"	"3"	"5"	"14"	"399"	""	""
"102"	"93"	"60"	"245"	"8"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"3"	"0"	"1"	"1"	"1"	"10"	"2"	"3"	"1"	"8"	"0"	"1"	"0"	"3"	"349"	""	""
"103"	"94"	"321"	"129"	"85"	"5"	"3"	"4"	"4"	"0"	"41"	"1"	"1"	"2"	"1"	"3"	"1"	"4"	"1"	"16"	"2"	"12"	"0"	"0"	"1"	"0"	"637"	""	""
"104"	"95"	"215"	"10"	"63"	"2"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"2"	"0"	"2"	"4"	"2"	"0"	"1"	"0"	"0"	"1"	"1"	"306"	""	""
"105"	"96"	"172"	"86"	"63"	"7"	"1"	"1"	"1"	"0"	"3"	"0"	"2"	"1"	"0"	"3"	"2"	"1"	"4"	"2"	"1"	"1"	"1"	"0"	"1"	"1"	"354"	""	""
"106"	"97"	"177"	"68"	"97"	"3"	"2"	"2"	"2"	"1"	"4"	"0"	"3"	"2"	"2"	"10"	"7"	"21"	"6"	"4"	"0"	"7"	"0"	"0"	"4"	"6"	"428"	""	""
