"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X248211.40.Laukaha"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"34"	""	"26"	"20"	"1"	"197"	"274"	"9"	"7"	"6"	"5"	"2"	"7"	"14"	"542"	""	"542"	""
"35"	""	"27"	"13"	"9"	"287"	"256"	"4"	"7"	"8"	"2"	"7"	"7"	"7"	"607"	""	"607"	""
"36"	""	"28"	"8"	"0"	"22"	"409"	"5"	"5"	"4"	"1"	"2"	"1"	"6"	"463"	""	"463"	""
"37"	""	"Total -2"	"281"	"53"	"3055"	"3103"	"82"	"77"	"65"	"34"	"33"	"50"	"103"	"6936"	"0"	"6936"	"0"
"38"	""	""	""	""	""	""	""	"248211
40-Laukaha"	""	""	""	""	""	""	""	""	""
"39"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"40"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"41"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"42"	"Round No.3"	"29"	"69"	"4"	"123"	"214"	"5"	"3"	"4"	"1"	"3"	"5"	"3"	"434"	""	"434"	""
"43"	""	"30"	"30"	"10"	"158"	"339"	"7"	"8"	"11"	"2"	"5"	"3"	"2"	"575"	""	"575"	""
"44"	""	"31"	"32"	"7"	"76"	"342"	"61"	"9"	"5"	"2"	"5"	"4"	"7"	"550"	""	"550"	""
"45"	""	"32"	"147"	"5"	"29"	"200"	"3"	"3"	"7"	"5"	"3"	"3"	"9"	"414"	""	"414"	""
"46"	""	"33"	"35"	"8"	"120"	"344"	"14"	"3"	"8"	"1"	"2"	"4"	"10"	"549"	""	"549"	""
"47"	""	"34"	"15"	"1"	"37"	"279"	"1"	"1"	"4"	"1"	"3"	"5"	"6"	"353"	""	"353"	""
"48"	""	"35"	"13"	"6"	"26"	"296"	"2"	"4"	"3"	"1"	"1"	"5"	"4"	"361"	""	"361"	""
"49"	""	"36"	"6"	"1"	"211"	"191"	"7"	"5"	"5"	"5"	"3"	"18"	"21"	"473"	""	"473"	""
"50"	""	"37"	"4"	"2"	"26"	"449"	"11"	"1"	"0"	"3"	"2"	"2"	"3"	"503"	""	"503"	""
"51"	""	"38"	"16"	"6"	"126"	"214"	"2"	"3"	"3"	"1"	"3"	"2"	"4"	"380"	""	"380"	""
"52"	""	"39"	"8"	"0"	"28"	"370"	"6"	"1"	"5"	"1"	"0"	"3"	"9"	"431"	""	"431"	""
"53"	""	"40"	"7"	"0"	"57"	"461"	"3"	"3"	"3"	"2"	"0"	"1"	"2"	"539"	""	"539"	""
"54"	""	"41"	"37"	"10"	"196"	"313"	"14"	"7"	"5"	"4"	"4"	"2"	"15"	"607"	""	"607"	""
"55"	""	"42"	"41"	"11"	"158"	"141"	"6"	"3"	"4"	"2"	"0"	"2"	"8"	"376"	""	"376"	""
"56"	""	"Total -3"	"460"	"71"	"1371"	"4153"	"142"	"54"	"67"	"31"	"34"	"59"	"103"	"6545"	"0"	"6545"	"0"
"57"	""	""	""	""	""	""	""	"248211
40-Laukaha"	""	""	""	""	""	""	""	""	""
"58"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"59"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"60"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"61"	"Round No4"	"43"	"19"	"5"	"237"	"121"	"4"	"7"	"2"	"0"	"1"	"2"	"6"	"404"	""	"404"	""
"62"	""	"44"	"47"	"7"	"157"	"216"	"10"	"9"	"4"	"4"	"2"	"6"	"10"	"472"	""	"472"	""
"63"	""	"45"	"67"	"5"	"219"	"173"	"8"	"2"	"7"	"4"	"4"	"2"	"28"	"519"	""	"519"	""
"64"	""	"46"	"20"	"2"	"389"	"51"	"2"	"1"	"1"	"0"	"1"	"1"	"0"	"468"	""	"468"	""
"65"	""	"47"	"25"	"11"	"415"	"137"	"5"	"3"	"5"	"0"	"0"	"2"	"3"	"606"	""	"606"	""
"66"	""	"48"	"17"	"3"	"197"	"194"	"6"	"4"	"6"	"4"	"4"	"5"	"16"	"456"	""	"456"	""
"67"	""	"49"	"28"	"3"	"148"	"131"	"4"	"2"	"2"	"0"	"1"	"1"	"4"	"324"	""	"324"	""
"68"	""	"50"	"46"	"3"	"289"	"10"	"0"	"0"	"1"	"1"	"1"	"2"	"8"	"361"	""	"361"	""
"69"	""	"51"	"37"	"2"	"72"	"9"	"1"	"2"	"0"	"1"	"3"	"2"	"8"	"137"	""	"137"	""
"70"	""	"52"	"54"	"3"	"66"	"46"	"0"	"0"	"0"	"0"	"2"	"5"	"2"	"178"	""	"178"	""
"71"	""	"53"	"30"	"2"	"159"	"55"	"2"	"2"	"2"	"0"	"5"	"3"	"5"	"265"	""	"265"	""
"72"	""	"54"	"45"	"5"	"189"	"140"	"3"	"2"	"1"	"2"	"2"	"1"	"11"	"401"	""	"401"	""
"73"	""	"55"	"55"	"2"	"181"	"101"	"7"	"4"	"2"	"1"	"2"	"3"	"11"	"369"	""	"369"	""
"74"	""	"56"	"95"	"7"	"169"	"231"	"6"	"8"	"3"	"8"	"10"	"12"	"16"	"565"	""	"565"	""
"75"	""	"Total -4"	"585"	"60"	"2887"	"1615"	"58"	"46"	"36"	"25"	"38"	"47"	"128"	"5525"	"0"	"5525"	"0"
"76"	""	""	""	""	""	""	""	"248211
40-Laukaha"	""	""	""	""	""	""	""	""	""
"77"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"78"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"79"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"80"	"Round No 5"	"57"	"110"	"10"	"105"	"209"	"4"	"2"	"6"	"3"	"6"	"5"	"17"	"477"	""	"477"	""
"81"	""	"58"	"31"	"8"	"56"	"237"	"8"	"3"	"9"	"4"	"4"	"8"	"25"	"393"	""	"393"	""
"82"	""	"59"	"65"	"8"	"214"	"88"	"8"	"4"	"3"	"2"	"4"	"4"	"4"	"404"	""	"404"	""
"83"	""	"60"	"15"	"9"	"132"	"358"	"4"	"8"	"6"	"3"	"3"	"10"	"20"	"568"	""	"568"	""
"84"	""	"61"	"29"	"3"	"172"	"58"	"0"	"2"	"3"	"0"	"0"	"3"	"3"	"273"	""	"273"	""
"85"	""	"62"	"16"	"4"	"181"	"183"	"9"	"8"	"1"	"4"	"5"	"7"	"11"	"429"	""	"429"	""
"86"	""	"63"	"40"	"8"	"314"	"74"	"3"	"5"	"5"	"14"	"5"	"9"	"21"	"498"	""	"498"	""
"87"	""	"64"	"7"	"4"	"104"	"268"	"5"	"5"	"9"	"2"	"4"	"5"	"11"	"424"	""	"424"	""
"88"	""	"65"	"24"	"3"	"41"	"374"	"13"	"7"	"2"	"8"	"5"	"4"	"24"	"505"	""	"505"	""
"89"	""	"66"	"43"	"10"	"145"	"289"	"8"	"3"	"7"	"3"	"5"	"10"	"9"	"532"	""	"532"	""
"90"	""	"67"	"119"	"9"	"172"	"262"	"7"	"8"	"11"	"5"	"10"	"13"	"45"	"661"	""	"661"	""
"91"	""	"68"	"17"	"2"	"126"	"237"	"2"	"11"	"5"	"5"	"6"	"6"	"12"	"429"	""	"429"	""
"92"	""	"69"	"14"	"3"	"121"	"228"	"4"	"1"	"1"	"3"	"0"	"1"	"2"	"378"	""	"378"	""
"93"	""	"70"	"18"	"1"	"174"	"198"	"4"	"8"	"11"	"6"	"2"	"6"	"19"	"447"	""	"447"	""
"94"	""	"Total -5"	"548"	"82"	"2057"	"3063"	"79"	"75"	"79"	"62"	"59"	"91"	"223"	"6418"	"0"	"6418"	"0"
"95"	""	""	""	""	""	""	""	"248211
40-Laukaha"	""	""	""	""	""	""	""	""	""
"96"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"97"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"98"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"99"	"Round No 6"	"71"	"17"	"6"	"139"	"284"	"7"	"4"	"6"	"4"	"1"	"1"	"5"	"474"	""	"474"	""
"100"	""	"72"	"164"	"8"	"203"	"354"	"15"	"4"	"8"	"5"	"13"	"11"	"29"	"814"	""	"814"	""
"101"	""	"73"	"137"	"5"	"59"	"259"	"5"	"2"	"4"	"3"	"1"	"1"	"12"	"488"	""	"488"	""
"102"	""	"74"	"333"	"3"	"36"	"37"	"0"	"0"	"0"	"2"	"0"	"1"	"1"	"413"	""	"413"	""
"103"	""	"75"	"272"	"3"	"75"	"116"	"1"	"0"	"2"	"2"	"0"	"0"	"6"	"477"	""	"477"	""
"104"	""	"76"	"91"	"4"	"63"	"188"	"3"	"4"	"1"	"1"	"1"	"1"	"4"	"361"	""	"361"	""
"105"	""	"77"	"2"	"1"	"218"	"220"	"0"	"2"	"1"	"1"	"1"	"2"	"1"	"449"	""	"449"	""
"106"	""	"78"	"16"	"2"	"163"	"261"	"9"	"3"	"2"	"2"	"5"	"6"	"5"	"474"	""	"474"	""
"107"	""	"79"	"85"	"3"	"92"	"159"	"5"	"4"	"9"	"2"	"3"	"1"	"3"	"366"	""	"366"	""
"108"	""	"80"	"130"	"12"	"102"	"104"	"5"	"1"	"11"	"5"	"4"	"4"	"10"	"388"	""	"388"	""
"109"	""	"81"	"12"	"3"	"183"	"318"	"6"	"4"	"7"	"7"	"4"	"8"	"30"	"582"	""	"582"	""
"110"	""	"82"	"20"	"3"	"247"	"185"	"8"	"8"	"1"	"3"	"1"	"6"	"18"	"500"	""	"500"	""
"111"	""	"83"	"16"	"3"	"231"	"113"	"4"	"7"	"5"	"3"	"2"	"5"	"9"	"398"	""	"398"	""
"112"	""	"84"	"159"	"7"	"429"	"103"	"1"	"2"	"1"	"1"	"1"	"2"	"4"	"710"	""	"710"	""
"113"	""	"Total -6"	"1454"	"63"	"2240"	"2701"	"69"	"45"	"58"	"41"	"37"	"49"	"137"	"6894"	"0"	"6894"	"0"
"114"	""	""	""	""	""	""	""	"248211
40-Laukaha"	""	""	""	""	""	""	""	""	""
"115"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"116"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"117"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"118"	"Round No 7"	"85"	"86"	"2"	"189"	"133"	"1"	"3"	"0"	"3"	"2"	"2"	"4"	"425"	""	"425"	""
"119"	""	"86"	"88"	"2"	"375"	"93"	"1"	"9"	"1"	"0"	"1"	"1"	"2"	"573"	""	"573"	""
"120"	""	"87"	"120"	"1"	"400"	"53"	"4"	"0"	"0"	"0"	"0"	"2"	"0"	"580"	""	"580"	""
"121"	""	"88"	"144"	"16"	"245"	"302"	"9"	"4"	"4"	"4"	"4"	"4"	"10"	"746"	""	"746"	""
"122"	""	"89"	"12"	"9"	"251"	"354"	"4"	"6"	"0"	"3"	"3"	"7"	"18"	"667"	""	"667"	""
"123"	""	"90"	"128"	"8"	"161"	"190"	"3"	"5"	"1"	"0"	"2"	"1"	"4"	"503"	""	"503"	""
"124"	""	"91"	"98"	"3"	"136"	"129"	"4"	"2"	"4"	"2"	"0"	"2"	"4"	"384"	""	"384"	""
"125"	""	"92"	"77"	"1"	"147"	"238"	"7"	"8"	"6"	"9"	"5"	"13"	"29"	"540"	""	"540"	""
"126"	""	"93"	"7"	"1"	"152"	"134"	"8"	"8"	"7"	"6"	"3"	"6"	"16"	"348"	""	"348"	""
"127"	""	"94"	"27"	"11"	"170"	"256"	"11"	"6"	"5"	"7"	"1"	"5"	"3"	"502"	""	"502"	""
"128"	""	"95"	"21"	"5"	"69"	"191"	"7"	"6"	"5"	"3"	"4"	"2"	"21"	"334"	""	"334"	""
"129"	""	"96"	"15"	"6"	"65"	"329"	"9"	"0"	"5"	"4"	"4"	"0"	"2"	"439"	""	"439"	""
"130"	""	"97"	"20"	"12"	"257"	"140"	"3"	"5"	"3"	"3"	"2"	"4"	"3"	"452"	""	"452"	""
"131"	""	"98"	"7"	"4"	"8"	"111"	"2"	"0"	"1"	"0"	"1"	"0"	"1"	"135"	""	"135"	""
"132"	""	"Total -7"	"850"	"81"	"2625"	"2653"	"73"	"62"	"42"	"44"	"32"	"49"	"117"	"6628"	"0"	"6628"	"0"
"133"	""	""	""	""	""	""	""	"248211
40-Laukaha"	""	""	""	""	""	""	""	""	""
"134"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"135"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"136"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"137"	"Round No 8"	"99"	"19"	"8"	"49"	"258"	"11"	"7"	"6"	"3"	"1"	"6"	"13"	"381"	""	"381"	""
"138"	""	"100"	"9"	"2"	"49"	"354"	"2"	"3"	"8"	"2"	"2"	"5"	"5"	"441"	""	"441"	""
"139"	""	"101"	"23"	"2"	"43"	"343"	"6"	"5"	"8"	"4"	"5"	"3"	"10"	"452"	""	"452"	""
"140"	""	"102"	"15"	"7"	"119"	"218"	"6"	"10"	"4"	"5"	"3"	"5"	"5"	"397"	""	"397"	""
"141"	""	"103"	"14"	"4"	"87"	"320"	"9"	"11"	"12"	"9"	"8"	"6"	"5"	"485"	""	"485"	""
"142"	""	"104"	"18"	"5"	"124"	"242"	"4"	"3"	"6"	"2"	"0"	"5"	"6"	"415"	""	"415"	""
"143"	""	"105"	"29"	"10"	"232"	"140"	"12"	"8"	"13"	"3"	"5"	"11"	"5"	"468"	""	"468"	""
"144"	""	"106"	"42"	"1"	"69"	"233"	"4"	"2"	"1"	"1"	"2"	"1"	"8"	"364"	""	"364"	""
"145"	""	"107"	"18"	"3"	"33"	"342"	"14"	"9"	"10"	"2"	"3"	"1"	"1"	"436"	""	"436"	""
"146"	""	"108"	"21"	"14"	"180"	"282"	"6"	"8"	"9"	"7"	"4"	"7"	"26"	"564"	""	"564"	""
"147"	""	"109"	"42"	"3"	"151"	"152"	"1"	"5"	"3"	"2"	"3"	"1"	"12"	"375"	""	"375"	""
"148"	""	"110"	"10"	"1"	"219"	"97"	"3"	"2"	"5"	"5"	"3"	"3"	"18"	"366"	""	"366"	""
"149"	""	"111"	"13"	"2"	"118"	"186"	"5"	"3"	"2"	"3"	"2"	"3"	"14"	"351"	""	"351"	""
"150"	""	"112"	"6"	"6"	"179"	"178"	"6"	"4"	"10"	"9"	"7"	"5"	"16"	"426"	""	"426"	""
"151"	""	"Total -8"	"279"	"68"	"1652"	"3345"	"89"	"80"	"97"	"57"	"48"	"62"	"144"	"5921"	"0"	"5921"	"0"
"152"	""	""	""	""	""	""	""	"248211
40-Laukaha"	""	""	""	""	""	""	""	""	""
"153"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"154"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"155"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"156"	"Round No 9"	"113"	"30"	"3"	"287"	"179"	"2"	"1"	"4"	"4"	"1"	"1"	"2"	"514"	""	"514"	""
"157"	""	"114"	"8"	"2"	"30"	"140"	"1"	"3"	"1"	"0"	"4"	"3"	"1"	"193"	""	"193"	""
"158"	""	"115"	"128"	"2"	"28"	"113"	"1"	"8"	"1"	"3"	"1"	"2"	"4"	"291"	""	"291"	""
"159"	""	"116"	"13"	"4"	"465"	"24"	"5"	"6"	"3"	"4"	"6"	"4"	"13"	"547"	""	"547"	""
"160"	""	"117"	"45"	"3"	"116"	"253"	"2"	"4"	"15"	"4"	"2"	"9"	"16"	"469"	""	"469"	""
"161"	""	"118"	"12"	"5"	"83"	"260"	"7"	"4"	"2"	"1"	"0"	"1"	"2"	"377"	""	"377"	""
"162"	""	"119"	"13"	"7"	"156"	"224"	"8"	"3"	"4"	"1"	"3"	"2"	"7"	"428"	""	"428"	""
"163"	""	"120"	"12"	"4"	"96"	"189"	"4"	"2"	"1"	"1"	"0"	"4"	"2"	"315"	""	"315"	""
"164"	""	"121"	"16"	"5"	"217"	"144"	"7"	"6"	"4"	"3"	"3"	"1"	"1"	"407"	""	"407"	""
"165"	""	"122"	"24"	"5"	"327"	"184"	"8"	"3"	"4"	"6"	"6"	"3"	"6"	"576"	""	"576"	""
"166"	""	"123"	"7"	"2"	"119"	"102"	"7"	"1"	"0"	"0"	"0"	"0"	"2"	"240"	""	"240"	""
"167"	""	"124"	"21"	"11"	"349"	"315"	"5"	"10"	"6"	"8"	"7"	"12"	"13"	"757"	""	"757"	""
"168"	""	"125"	"25"	"6"	"400"	"167"	"5"	"1"	"4"	"3"	"10"	"10"	"8"	"639"	""	"639"	""
"169"	""	"126"	"7"	"6"	"308"	"138"	"6"	"1"	"6"	"3"	"1"	"5"	"8"	"489"	""	"489"	""
"170"	""	"Total -9"	"361"	"65"	"2981"	"2432"	"68"	"53"	"55"	"41"	"44"	"57"	"85"	"6242"	"0"	"6242"	"0"
"171"	""	""	""	""	""	""	""	"248211
40-Laukaha"	""	""	""	""	""	""	""	""	""
"172"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"173"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"174"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"175"	"Round No 10"	"127"	"15"	"9"	"340"	"136"	"5"	"3"	"6"	"6"	"2"	"11"	"20"	"553"	""	"553"	""
"176"	""	"128"	"26"	"4"	"155"	"109"	"3"	"4"	"3"	"2"	"2"	"3"	"3"	"314"	""	"314"	""
"177"	""	"129"	"17"	"9"	"24"	"244"	"3"	"1"	"5"	"3"	"3"	"5"	"4"	"318"	""	"318"	""
"178"	""	"130"	"34"	"3"	"106"	"308"	"4"	"4"	"2"	"6"	"6"	"8"	"12"	"493"	""	"493"	""
"179"	""	"131"	"75"	"4"	"63"	"234"	"6"	"3"	"3"	"0"	"1"	"1"	"5"	"395"	""	"395"	""
"180"	""	"132"	"51"	"6"	"64"	"157"	"3"	"7"	"5"	"5"	"2"	"6"	"9"	"315"	""	"315"	""
