"er.nku.dsUnz.l.a....k"	"mEehnokj..ds.Ik.k.esa.Mkys.x..s.oS....er.ksa.dh.l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"dqy..oS....er.i.."	"j.Ì..er.ksa.dh.l.a....k"	"X..ksx"	"fufonÙk.er.ksa.dh.l.a....k"
"18"	"d qy  &"	"683"	"3560"	"1629"	"155"	"256"	"241"	"132"	"67"	"109"	"81"	"174"	"7087"	"0"	"7087"	"0"
"19"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"20"	""	"Mk0 v' kksd  dqekj"	"egs' oj  gt kj h"	"j ke pUnz i kl oku"	"foUns' oj  j ke"	"mi sUnz i kl oku"	"t hcN i kl oku"	"j .kohj  i kl oku"	"j kt k j ke nkl"	"j s[ kk dqekj h"	"f' kopUnz i kl oku"	"l r h' k egr ks"	""	""	""	""
"21"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"22"	"i woZ  dk
; ksx&"	"683"	"3560"	"1629"	"155"	"256"	"241"	"132"	"67"	"109"	"81"	"174"	"7087"	"0"	"7087"	"0"
"23"	"15"	"34"	"225"	"240"	"11"	"28"	"21"	"10"	"7"	"27"	"16"	"19"	"638"	"0"	"638"	"0"
"24"	"16"	"74"	"208"	"80"	"32"	"316"	"51"	"19"	"4"	"9"	"4"	"20"	"817"	"0"	"817"	"0"
"25"	"17"	"73"	"103"	"113"	"21"	"5"	"63"	"10"	"7"	"9"	"9"	"21"	"434"	"0"	"434"	"0"
"26"	"18"	"53"	"62"	"162"	"12"	"6"	"42"	"11"	"8"	"20"	"12"	"36"	"424"	"0"	"424"	"0"
"27"	"19"	"22"	"220"	"47"	"27"	"5"	"31"	"9"	"4"	"6"	"8"	"13"	"392"	"0"	"392"	"0"
"28"	"20"	"72"	"211"	"38"	"6"	"4"	"33"	"6"	"3"	"1"	"6"	"7"	"387"	"0"	"387"	"0"
"29"	"21"	"52"	"303"	"47"	"1"	"3"	"43"	"4"	"0"	"3"	"1"	"2"	"459"	"0"	"459"	"0"
"30"	"22"	"49"	"294"	"112"	"11"	"11"	"119"	"28"	"15"	"14"	"20"	"37"	"710"	"0"	"710"	"0"
"31"	"23"	"23"	"295"	"51"	"2"	"1"	"39"	"14"	"2"	"3"	"7"	"13"	"450"	"0"	"450"	"0"
"32"	"24"	"35"	"416"	"36"	"3"	"5"	"39"	"21"	"4"	"6"	"12"	"20"	"597"	"0"	"597"	"0"
"33"	"25"	"67"	"352"	"115"	"9"	"5"	"13"	"6"	"1"	"6"	"8"	"9"	"591"	"0"	"591"	"0"
"34"	"26"	"12"	"57"	"223"	"9"	"7"	"8"	"4"	"6"	"21"	"2"	"15"	"364"	"0"	"364"	"0"
"35"	"27"	"43"	"114"	"168"	"3"	"0"	"8"	"6"	"7"	"9"	"4"	"12"	"374"	"0"	"374"	"0"
"36"	"28"	"16"	"235"	"109"	"3"	"1"	"5"	"7"	"4"	"9"	"7"	"17"	"413"	"0"	"413"	"0"
"37"	"l hV dk
; ksx"	"625"	"3095"	"1541"	"150"	"397"	"515"	"155"	"72"	"143"	"116"	"241"	"7050"	"0"	"7050"	"0"
"38"	"d qy  &"	"1308"	"6655"	"3170"	"305"	"653"	"756"	"287"	"139"	"252"	"197"	"415"	"14137"	"0"	"14137"	"0"
"39"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"40"	""	"Mk0 v' kksd  dqekj"	"egs' oj  gt kj h"	"j ke pUnz i kl oku"	"foUns' oj  j ke"	"mi sUnz i kl oku"	"t hcN i kl oku"	"j .kohj  i kl oku"	"j kt k j ke nkl"	"j s[ kk dqekj h"	"f' kopUnz i kl oku"	"l r h' k egr ks"	""	""	""	""
"41"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"42"	"i woZ  dk
; ksx&"	"1308"	"6655"	"3170"	"305"	"653"	"756"	"287"	"139"	"252"	"197"	"415"	"14137"	"0"	"14137"	"0"
"43"	"29"	"25"	"130"	"132"	"5"	"5"	"5"	"10"	"6"	"8"	"4"	"23"	"353"	"0"	"353"	"0"
"44"	"30"	"83"	"158"	"338"	"12"	"5"	"5"	"1"	"2"	"9"	"2"	"6"	"621"	"0"	"621"	"0"
"45"	"31"	"54"	"81"	"387"	"15"	"7"	"11"	"4"	"6"	"15"	"5"	"12"	"597"	"0"	"597"	"0"
"46"	"32"	"52"	"174"	"34"	"2"	"1"	"1"	"1"	"0"	"1"	"0"	"2"	"268"	"0"	"268"	"0"
"47"	"33"	"41"	"107"	"162"	"9"	"8"	"1"	"10"	"8"	"12"	"7"	"23"	"388"	"0"	"388"	"0"
"48"	"34"	"8"	"246"	"52"	"2"	"2"	"2"	"8"	"3"	"0"	"3"	"3"	"329"	"0"	"329"	"0"
"49"	"35"	"31"	"313"	"139"	"1"	"6"	"9"	"8"	"8"	"10"	"4"	"5"	"534"	"0"	"534"	"0"
"50"	"36"	"82"	"365"	"72"	"2"	"5"	"9"	"6"	"4"	"4"	"1"	"1"	"551"	"0"	"551"	"0"
"51"	"37"	"113"	"434"	"119"	"3"	"7"	"16"	"12"	"3"	"13"	"10"	"17"	"747"	"0"	"747"	"0"
"52"	"38"	"90"	"265"	"216"	"14"	"11"	"44"	"9"	"10"	"14"	"4"	"17"	"694"	"0"	"694"	"0"
"53"	"39"	"64"	"96"	"310"	"12"	"15"	"18"	"11"	"12"	"34"	"9"	"18"	"599"	"0"	"599"	"0"
"54"	"40"	"39"	"146"	"362"	"18"	"7"	"35"	"11"	"5"	"24"	"6"	"11"	"664"	"0"	"664"	"0"
"55"	"41"	"29"	"231"	"84"	"8"	"2"	"3"	"7"	"5"	"6"	"15"	"14"	"404"	"0"	"404"	"0"
"56"	"42"	"13"	"226"	"28"	"1"	"0"	"0"	"7"	"0"	"1"	"0"	"1"	"277"	"0"	"277"	"0"
"57"	"l hV dk
; ksx"	"724"	"2972"	"2435"	"104"	"81"	"159"	"105"	"72"	"151"	"70"	"153"	"7026"	"0"	"7026"	"0"
"58"	"d qy  &"	"2032"	"9627"	"5605"	"409"	"734"	"915"	"392"	"211"	"403"	"267"	"568"	"21163"	"0"	"21163"	"0"
"59"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"60"	""	"Mk0 v' kksd  dqekj"	"egs' oj  gt kj h"	"j ke pUnz i kl oku"	"foUns' oj  j ke"	"mi sUnz i kl oku"	"t hcN i kl oku"	"j .kohj  i kl oku"	"j kt k j ke nkl"	"j s[ kk dqekj h"	"f' kopUnz i kl oku"	"l r h' k egr ks"	""	""	""	""
"61"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"62"	"i woZ  dk
; ksx&"	"2032"	"9627"	"5605"	"409"	"734"	"915"	"392"	"211"	"403"	"267"	"568"	"21163"	"0"	"21163"	"0"
"63"	"43"	"19"	"388"	"69"	"2"	"6"	"7"	"6"	"3"	"7"	"1"	"8"	"516"	"0"	"516"	"0"
"64"	"44"	"38"	"414"	"113"	"4"	"5"	"5"	"10"	"0"	"4"	"4"	"4"	"601"	"0"	"601"	"0"
"65"	"45"	"30"	"110"	"196"	"1"	"4"	"9"	"5"	"7"	"18"	"1"	"7"	"388"	"0"	"388"	"0"
"66"	"46"	"24"	"183"	"122"	"8"	"0"	"3"	"8"	"1"	"6"	"1"	"6"	"362"	"0"	"362"	"0"
"67"	"47"	"72"	"61"	"443"	"15"	"12"	"14"	"9"	"10"	"28"	"6"	"23"	"693"	"0"	"693"	"0"
"68"	"48"	"27"	"228"	"263"	"7"	"8"	"5"	"7"	"1"	"11"	"2"	"3"	"562"	"0"	"562"	"0"
"69"	"49"	"21"	"209"	"229"	"10"	"10"	"6"	"3"	"5"	"13"	"3"	"10"	"519"	"0"	"519"	"0"
"70"	"50"	"75"	"158"	"64"	"4"	"0"	"2"	"2"	"2"	"3"	"1"	"7"	"318"	"0"	"318"	"0"
"71"	"51"	"50"	"259"	"204"	"14"	"11"	"6"	"9"	"9"	"21"	"3"	"39"	"625"	"0"	"625"	"0"
"72"	"52"	"48"	"175"	"72"	"5"	"5"	"2"	"10"	"2"	"3"	"1"	"6"	"329"	"0"	"329"	"0"
"73"	"53"	"116"	"113"	"221"	"14"	"8"	"10"	"7"	"5"	"14"	"8"	"18"	"534"	"0"	"534"	"0"
"74"	"54"	"51"	"226"	"124"	"9"	"5"	"7"	"6"	"1"	"5"	"3"	"13"	"450"	"0"	"450"	"0"
"75"	"55"	"16"	"115"	"53"	"0"	"1"	"2"	"3"	"1"	"3"	"1"	"3"	"198"	"0"	"198"	"0"
"76"	"56"	"70"	"204"	"168"	"5"	"1"	"11"	"6"	"2"	"8"	"4"	"4"	"483"	"0"	"483"	"0"
"77"	"l hV dk
; ksx"	"657"	"2843"	"2341"	"98"	"76"	"89"	"91"	"49"	"144"	"39"	"151"	"6578"	"0"	"6578"	"0"
"78"	"d qy  &"	"2689"	"12470"	"7946"	"507"	"810"	"1004"	"483"	"260"	"547"	"306"	"719"	"27741"	"0"	"27741"	"0"
"79"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"80"	""	"Mk0 v' kksd  dqekj"	"egs' oj  gt kj h"	"j ke pUnz i kl oku"	"foUns' oj  j ke"	"mi sUnz i kl oku"	"t hcN i kl oku"	"j .kohj  i kl oku"	"j kt k j ke nkl"	"j s[ kk dqekj h"	"f' kopUnz i kl oku"	"l r h' k egr ks"	""	""	""	""
"81"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"82"	"i woZ  dk
; ksx&"	"2689"	"12470"	"7946"	"507"	"810"	"1004"	"483"	"260"	"547"	"306"	"719"	"27741"	"0"	"27741"	"0"
"83"	"57"	"53"	"335"	"37"	"0"	"2"	"0"	"1"	"0"	"2"	"0"	"3"	"433"	"0"	"433"	"0"
"84"	"58"	"27"	"215"	"129"	"4"	"3"	"3"	"7"	"5"	"9"	"2"	"4"	"408"	"0"	"408"	"0"
"85"	"59"	"48"	"346"	"38"	"4"	"6"	"3"	"9"	"4"	"6"	"6"	"1"	"471"	"0"	"471"	"0"
"86"	"60"	"45"	"151"	"141"	"52"	"5"	"10"	"6"	"4"	"7"	"5"	"9"	"435"	"0"	"435"	"0"
"87"	"61"	"68"	"245"	"90"	"13"	"7"	"4"	"3"	"2"	"1"	"2"	"5"	"440"	"0"	"440"	"0"
"88"	"62"	"44"	"164"	"34"	"4"	"5"	"1"	"5"	"0"	"1"	"0"	"1"	"259"	"0"	"259"	"0"
"89"	"63"	"45"	"125"	"65"	"9"	"2"	"5"	"6"	"2"	"2"	"0"	"4"	"265"	"0"	"265"	"0"
"90"	"64"	"19"	"159"	"110"	"20"	"6"	"2"	"10"	"1"	"6"	"4"	"19"	"356"	"0"	"356"	"0"
"91"	"65"	"89"	"199"	"215"	"17"	"9"	"4"	"9"	"1"	"13"	"8"	"12"	"576"	"0"	"576"	"0"
"92"	"66"	"59"	"131"	"160"	"6"	"2"	"2"	"5"	"2"	"3"	"2"	"7"	"379"	"0"	"379"	"0"
"93"	"67"	"84"	"104"	"242"	"17"	"5"	"4"	"9"	"7"	"8"	"4"	"10"	"494"	"0"	"494"	"0"
"94"	"68"	"18"	"31"	"118"	"2"	"2"	"4"	"0"	"1"	"4"	"1"	"3"	"184"	"0"	"184"	"0"
"95"	"69"	"88"	"190"	"139"	"6"	"7"	"4"	"2"	"1"	"9"	"3"	"5"	"454"	"0"	"454"	"0"
"96"	"70"	"75"	"29"	"293"	"13"	"7"	"21"	"8"	"13"	"14"	"15"	"33"	"521"	"0"	"521"	"0"
"97"	"l hV dk
; ksx"	"762"	"2424"	"1811"	"167"	"68"	"67"	"80"	"43"	"85"	"52"	"116"	"5675"	"0"	"5675"	"0"
"98"	"d qy  &"	"3451"	"14894"	"9757"	"674"	"878"	"1071"	"563"	"303"	"632"	"358"	"835"	"33416"	"0"	"33416"	"0"
"99"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"100"	""	"Mk0 v' kksd  dqekj"	"egs' oj  gt kj h"	"j ke pUnz i kl oku"	"foUns' oj  j ke"	"mi sUnz i kl oku"	"t hcN i kl oku"	"j .kohj  i kl oku"	"j kt k j ke nkl"	"j s[ kk dqekj h"	"f' kopUnz i kl oku"	"l r h' k egr ks"	""	""	""	""
"101"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"102"	"i woZ  dk
; ksx&"	"3451"	"14894"	"9757"	"674"	"878"	"1071"	"563"	"303"	"632"	"358"	"835"	"33416"	"0"	"33416"	"0"
"103"	"71"	"93"	"84"	"338"	"46"	"15"	"11"	"3"	"10"	"12"	"9"	"23"	"644"	"0"	"644"	"0"
"104"	"72"	"31"	"197"	"115"	"6"	"8"	"5"	"5"	"6"	"11"	"4"	"9"	"397"	"0"	"397"	"0"
"105"	"73"	"64"	"108"	"274"	"6"	"3"	"5"	"6"	"8"	"13"	"3"	"13"	"503"	"0"	"503"	"0"
"106"	"74"	"156"	"38"	"204"	"7"	"7"	"6"	"7"	"10"	"7"	"3"	"7"	"452"	"0"	"452"	"0"
"107"	"75"	"170"	"73"	"166"	"3"	"4"	"1"	"3"	"1"	"9"	"2"	"5"	"437"	"0"	"437"	"0"
"108"	"76"	"71"	"22"	"299"	"5"	"6"	"1"	"4"	"4"	"14"	"2"	"6"	"434"	"0"	"434"	"0"
"109"	"77"	"60"	"168"	"150"	"9"	"4"	"5"	"3"	"5"	"12"	"8"	"17"	"441"	"0"	"441"	"0"
"110"	"78"	"69"	"173"	"138"	"4"	"8"	"6"	"10"	"6"	"8"	"7"	"39"	"468"	"0"	"468"	"0"
"111"	"79"	"59"	"218"	"72"	"3"	"6"	"1"	"6"	"3"	"4"	"3"	"4"	"379"	"0"	"379"	"0"
"112"	"80"	"107"	"187"	"214"	"7"	"6"	"2"	"11"	"5"	"9"	"3"	"5"	"556"	"0"	"556"	"0"
"113"	"81"	"58"	"154"	"127"	"7"	"3"	"1"	"3"	"4"	"4"	"2"	"1"	"364"	"0"	"364"	"0"
"114"	"82"	"106"	"156"	"264"	"11"	"6"	"10"	"13"	"2"	"21"	"7"	"16"	"612"	"0"	"612"	"0"
"115"	"83"	"20"	"226"	"364"	"9"	"5"	"3"	"11"	"6"	"17"	"7"	"7"	"675"	"0"	"675"	"0"
"116"	"84"	"58"	"176"	"276"	"16"	"12"	"29"	"11"	"19"	"9"	"9"	"14"	"629"	"0"	"629"	"0"
"117"	"l hV dk
; ksx"	"1122"	"1980"	"3001"	"139"	"93"	"86"	"96"	"89"	"150"	"69"	"166"	"6991"	"0"	"6991"	"0"
"118"	"d qy  &"	"4573"	"16874"	"12758"	"813"	"971"	"1157"	"659"	"392"	"782"	"427"	"1001"	"40407"	"0"	"40407"	"0"
"119"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"120"	""	"Mk0 v' kksd  dqekj"	"egs' oj  gt kj h"	"j ke pUnz i kl oku"	"foUns' oj  j ke"	"mi sUnz i kl oku"	"t hcN i kl oku"	"j .kohj  i kl oku"	"j kt k j ke nkl"	"j s[ kk dqekj h"	"f' kopUnz i kl oku"	"l r h' k egr ks"	""	""	""	""
"121"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"122"	"i woZ  dk
; ksx&"	"4573"	"16874"	"12758"	"813"	"971"	"1157"	"659"	"392"	"782"	"427"	"1001"	"40407"	"0"	"40407"	"0"
"123"	"85"	"72"	"314"	"37"	"2"	"4"	"6"	"12"	"5"	"9"	"6"	"26"	"493"	"0"	"493"	"0"
"124"	"86"	"25"	"235"	"205"	"9"	"4"	"5"	"15"	"15"	"19"	"12"	"29"	"573"	"0"	"573"	"0"
"125"	"87"	"24"	"184"	"167"	"8"	"22"	"4"	"7"	"2"	"5"	"2"	"10"	"435"	"0"	"435"	"0"
"126"	"88"	"33"	"356"	"120"	"4"	"2"	"27"	"11"	"1"	"4"	"1"	"3"	"562"	"0"	"562"	"0"
"127"	"89"	"61"	"121"	"324"	"13"	"5"	"4"	"4"	"8"	"16"	"4"	"16"	"576"	"0"	"576"	"0"
"128"	"90"	"104"	"118"	"293"	"30"	"22"	"11"	"8"	"7"	"10"	"4"	"8"	"615"	"0"	"615"	"0"
"129"	"91"	"66"	"43"	"289"	"7"	"5"	"5"	"3"	"4"	"7"	"3"	"13"	"445"	"0"	"445"	"0"
"130"	"92"	"81"	"213"	"276"	"17"	"11"	"10"	"9"	"13"	"9"	"8"	"16"	"663"	"0"	"663"	"0"
"131"	"93"	"19"	"128"	"167"	"9"	"7"	"1"	"5"	"7"	"14"	"6"	"6"	"369"	"0"	"369"	"0"
"132"	"94"	"73"	"314"	"150"	"20"	"7"	"12"	"29"	"12"	"9"	"11"	"11"	"648"	"0"	"648"	"0"
"133"	"95"	"95"	"218"	"236"	"10"	"6"	"15"	"3"	"5"	"5"	"12"	"6"	"611"	"0"	"611"	"0"
"134"	"96"	"54"	"87"	"100"	"8"	"4"	"5"	"3"	"4"	"2"	"0"	"3"	"270"	"0"	"270"	"0"
"135"	"97"	"33"	"111"	"69"	"2"	"1"	"8"	"0"	"0"	"0"	"1"	"1"	"226"	"0"	"226"	"0"
"136"	"98"	"94"	"156"	"308"	"11"	"12"	"12"	"6"	"5"	"9"	"4"	"17"	"634"	"0"	"634"	"0"
"137"	"l hV dk
; ksx"	"834"	"2598"	"2741"	"150"	"112"	"125"	"115"	"88"	"118"	"74"	"165"	"7120"	"0"	"7120"	"0"
"138"	"d qy  &"	"5407"	"19472"	"15499"	"963"	"1083"	"1282"	"774"	"480"	"900"	"501"	"1166"	"47527"	"0"	"47527"	"0"
"139"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"140"	""	"Mk0 v' kksd  dqekj"	"egs' oj  gt kj h"	"j ke pUnz i kl oku"	"foUns' oj  j ke"	"mi sUnz i kl oku"	"t hcN i kl oku"	"j .kohj  i kl oku"	"j kt k j ke nkl"	"j s[ kk dqekj h"	"f' kopUnz i kl oku"	"l r h' k egr ks"	""	""	""	""
"141"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"142"	"i woZ  dk
; ksx&"	"5407"	"19472"	"15499"	"963"	"1083"	"1282"	"774"	"480"	"900"	"501"	"1166"	"47527"	"0"	"47527"	"0"
"143"	"99"	"32"	"176"	"148"	"8"	"9"	"9"	"11"	"3"	"16"	"3"	"2"	"417"	"0"	"417"	"0"
"144"	"100"	"33"	"168"	"135"	"7"	"8"	"8"	"10"	"3"	"5"	"0"	"3"	"380"	"0"	"380"	"0"
"145"	"101"	"268"	"44"	"236"	"14"	"5"	"15"	"2"	"6"	"9"	"6"	"10"	"615"	"0"	"615"	"0"
"146"	"102"	"225"	"45"	"106"	"1"	"2"	"2"	"3"	"0"	"2"	"0"	"7"	"393"	"0"	"393"	"0"
"147"	"103"	"62"	"78"	"80"	"3"	"0"	"1"	"3"	"0"	"2"	"0"	"2"	"231"	"0"	"231"	"0"
"148"	"104"	"39"	"354"	"88"	"2"	"0"	"4"	"8"	"3"	"6"	"3"	"2"	"509"	"0"	"509"	"0"
"149"	"105"	"12"	"112"	"67"	"3"	"1"	"2"	"1"	"1"	"6"	"2"	"3"	"210"	"0"	"210"	"0"
"150"	"106"	"19"	"106"	"26"	"1"	"0"	"0"	"4"	"0"	"0"	"1"	"1"	"158"	"0"	"158"	"0"
"151"	"107"	"28"	"195"	"32"	"4"	"4"	"4"	"4"	"1"	"0"	"0"	"2"	"274"	"0"	"274"	"0"
"152"	"108"	"64"	"126"	"121"	"35"	"2"	"1"	"1"	"4"	"6"	"7"	"9"	"376"	"0"	"376"	"0"
"153"	"109"	"33"	"174"	"35"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"245"	"0"	"245"	"0"
"154"	"110"	"22"	"144"	"32"	"1"	"0"	"1"	"2"	"0"	"1"	"1"	"1"	"205"	"0"	"205"	"0"
"155"	"111"	"107"	"253"	"65"	"1"	"3"	"5"	"2"	"1"	"0"	"1"	"5"	"443"	"0"	"443"	"0"
"156"	"112"	"44"	"164"	"32"	"1"	"0"	"3"	"7"	"0"	"1"	"0"	"2"	"254"	"0"	"254"	"0"
"157"	"l hV dk
; ksx"	"988"	"2139"	"1203"	"81"	"34"	"56"	"60"	"22"	"54"	"24"	"49"	"4710"	"0"	"4710"	"0"
"158"	"d qy  &"	"6395"	"21611"	"16702"	"1044"	"1117"	"1338"	"834"	"502"	"954"	"525"	"1215"	"52237"	"0"	"52237"	"0"
"159"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"160"	""	"Mk0 v' kksd  dqekj"	"egs' oj  gt kj h"	"j ke pUnz i kl oku"	"foUns' oj  j ke"	"mi sUnz i kl oku"	"t hcN i kl oku"	"j .kohj  i kl oku"	"j kt k j ke nkl"	"j s[ kk dqekj h"	"f' kopUnz i kl oku"	"l r h' k egr ks"	""	""	""	""
"161"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"162"	"i woZ  dk
; ksx&"	"6395"	"21611"	"16702"	"1044"	"1117"	"1338"	"834"	"502"	"954"	"525"	"1215"	"52237"	"0"	"52237"	"0"
"163"	"113"	"90"	"208"	"133"	"4"	"4"	"8"	"12"	"3"	"8"	"0"	"4"	"474"	"0"	"474"	"0"
"164"	"114"	"68"	"327"	"50"	"7"	"5"	"17"	"12"	"3"	"5"	"0"	"2"	"496"	"0"	"496"	"0"
"165"	"115"	"68"	"260"	"92"	"12"	"7"	"9"	"11"	"1"	"5"	"3"	"4"	"472"	"0"	"472"	"0"
"166"	"116"	"75"	"287"	"107"	"1"	"2"	"6"	"5"	"1"	"3"	"2"	"3"	"492"	"0"	"492"	"0"
"167"	"117"	"70"	"189"	"34"	"2"	"0"	"2"	"5"	"1"	"2"	"1"	"1"	"307"	"0"	"307"	"0"
"168"	"118"	"38"	"124"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"0"	"179"	"0"
"169"	"119"	"52"	"152"	"58"	"0"	"10"	"7"	"1"	"0"	"0"	"3"	"1"	"284"	"0"	"284"	"0"
"170"	"120"	"40"	"291"	"100"	"0"	"4"	"6"	"6"	"2"	"2"	"1"	"2"	"454"	"0"	"454"	"0"
"171"	"121"	"56"	"326"	"65"	"2"	"3"	"4"	"3"	"1"	"0"	"2"	"1"	"463"	"0"	"463"	"0"
"172"	"122"	"61"	"82"	"100"	"2"	"2"	"2"	"3"	"0"	"2"	"3"	"2"	"259"	"0"	"259"	"0"
