"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election to the House of the people from the 39- Nawada  Parliamentary Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly / Segment   170- BARBIGHA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"22"	"12"	"12"	"8"	"168"	"4"	"163"	"20"	"3"	"0"	"2"	"0"	"29"	"1"	"4"	"12"	"5"	"3"	"5"	"1"	"3"	"0"	"6"	"4"	"441"	"0"	"441"	"0"
"23"	"13"	"13"	"10"	"235"	"10"	"94"	"24"	"3"	"3"	"6"	"2"	"23"	"1"	"18"	"4"	"5"	"7"	"6"	"1"	"5"	"0"	"3"	"3"	"463"	"0"	"463"	"0"
"24"	"14"	"14"	"10"	"208"	"10"	"120"	"11"	"0"	"0"	"2"	"2"	"13"	"1"	"3"	"11"	"4"	"6"	"3"	"4"	"2"	"1"	"4"	"10"	"425"	"0"	"425"	"0"
"25"	"ROUND-1"	""	"157"	"2661"	"151"	"1803"	"249"	"21"	"90"	"56"	"20"	"173"	"25"	"83"	"119"	"75"	"92"	"77"	"143"	"65"	"26"	"100"	"130"	"6316"	"0"	"6316"	"0"
"26"	"Place - Nawada
Date -      25/05/2011                                                                                                                                                                                                                                                            Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"28"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"29"	"1"	"15"	"21"	"289"	"21"	"33"	"11"	"4"	"2"	"2"	"1"	"7"	"43"	"31"	"10"	"17"	"16"	"14"	"1"	"5"	"1"	"0"	"2"	"531"	"0"	"531"	"0"
"30"	"2"	"16"	"9"	"58"	"9"	"53"	"3"	"2"	"4"	"1"	"1"	"6"	"4"	"57"	"7"	"9"	"6"	"7"	"13"	"3"	"3"	"3"	"4"	"262"	"0"	"262"	"0"
"31"	"3"	"17"	"3"	"5"	"2"	"66"	"4"	"1"	"0"	"0"	"0"	"5"	"1"	"0"	"3"	"0"	"0"	"3"	"1"	"0"	"1"	"3"	"5"	"103"	"0"	"103"	"0"
"32"	"4"	"18"	"6"	"154"	"18"	"69"	"5"	"1"	"0"	"2"	"0"	"3"	"3"	"0"	"2"	"1"	"1"	"0"	"1"	"0"	"0"	"2"	"1"	"269"	"0"	"269"	"0"
"33"	"5"	"19"	"16"	"118"	"6"	"100"	"64"	"0"	"1"	"0"	"1"	"3"	"0"	"4"	"6"	"5"	"4"	"2"	"3"	"3"	"2"	"6"	"9"	"353"	"0"	"353"	"0"
"34"	"6"	"20"	"17"	"159"	"6"	"171"	"26"	"2"	"0"	"3"	"2"	"50"	"1"	"1"	"5"	"4"	"2"	"2"	"3"	"0"	"2"	"3"	"11"	"470"	"0"	"470"	"0"
"35"	"7"	"21"	"4"	"40"	"12"	"211"	"5"	"6"	"1"	"2"	"2"	"2"	"1"	"9"	"18"	"3"	"5"	"10"	"43"	"4"	"6"	"11"	"6"	"401"	"0"	"401"	"0"
"36"	"8"	"22"	"6"	"95"	"9"	"92"	"1"	"2"	"1"	"2"	"0"	"2"	"2"	"6"	"10"	"5"	"9"	"8"	"8"	"4"	"0"	"6"	"7"	"275"	"0"	"275"	"0"
"37"	"9"	"23"	"12"	"321"	"6"	"73"	"5"	"0"	"0"	"2"	"0"	"3"	"22"	"18"	"4"	"10"	"17"	"10"	"9"	"5"	"1"	"2"	"5"	"525"	"0"	"525"	"0"
"38"	"10"	"24"	"13"	"97"	"3"	"90"	"13"	"3"	"1"	"9"	"1"	"7"	"3"	"7"	"2"	"11"	"2"	"4"	"5"	"1"	"2"	"3"	"5"	"282"	"0"	"282"	"0"
"39"	"11"	"25"	"6"	"74"	"1"	"91"	"18"	"1"	"3"	"5"	"2"	"7"	"3"	"36"	"17"	"9"	"4"	"7"	"8"	"0"	"0"	"2"	"2"	"296"	"0"	"296"	"0"
"40"	"12"	"26"	"3"	"76"	"5"	"234"	"7"	"0"	"1"	"0"	"1"	"2"	"8"	"23"	"6"	"2"	"1"	"5"	"1"	"1"	"0"	"3"	"2"	"381"	"0"	"381"	"0"
"41"	"13"	"27"	"10"	"310"	"6"	"149"	"16"	"1"	"0"	"6"	"1"	"9"	"13"	"5"	"11"	"9"	"27"	"16"	"4"	"15"	"4"	"6"	"6"	"624"	"0"	"624"	"0"
"42"	"14"	"28"	"16"	"227"	"16"	"194"	"14"	"3"	"2"	"3"	"0"	"12"	"2"	"16"	"24"	"14"	"11"	"13"	"3"	"4"	"4"	"5"	"15"	"598"	"0"	"598"	"0"
"43"	"ROUND-2"	""	"142"	"2023"	"120"	"1626"	"192"	"26"	"16"	"37"	"12"	"118"	"106"	"213"	"125"	"99"	"105"	"101"	"103"	"45"	"26"	"55"	"80"	"5370"	"0"	"5370"	"0"
"44"	"Place - Nawada
Date -      25/05/2011                                                                                                                                                                                                                                                            Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"1"	"29"	"7"	"222"	"2"	"268"	"26"	"3"	"1"	"1"	"3"	"33"	"5"	"2"	"11"	"8"	"18"	"11"	"5"	"17"	"1"	"5"	"8"	"657"	"0"	"657"	"0"
"46"	"2"	"30"	"17"	"154"	"13"	"142"	"53"	"2"	"3"	"5"	"6"	"115"	"3"	"24"	"16"	"14"	"14"	"13"	"7"	"4"	"3"	"5"	"21"	"634"	"0"	"634"	"0"
"47"	"3"	"31"	"15"	"119"	"6"	"18"	"33"	"1"	"1"	"3"	"0"	"53"	"4"	"1"	"4"	"13"	"7"	"7"	"3"	"1"	"0"	"1"	"0"	"290"	"0"	"290"	"0"
"48"	"4"	"32"	"0"	"59"	"1"	"48"	"30"	"0"	"0"	"1"	"0"	"130"	"0"	"0"	"1"	"2"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"274"	"0"	"274"	"0"
"49"	"5"	"33"	"8"	"127"	"4"	"148"	"190"	"3"	"2"	"4"	"0"	"44"	"2"	"4"	"11"	"5"	"3"	"16"	"6"	"7"	"0"	"9"	"22"	"615"	"0"	"615"	"0"
"50"	"6"	"34"	"14"	"31"	"29"	"130"	"80"	"3"	"7"	"10"	"3"	"6"	"15"	"3"	"3"	"5"	"0"	"3"	"2"	"0"	"2"	"2"	"4"	"352"	"0"	"352"	"0"
"51"	"7"	"35"	"12"	"268"	"17"	"111"	"19"	"1"	"3"	"1"	"2"	"9"	"5"	"21"	"4"	"9"	"5"	"5"	"12"	"6"	"3"	"5"	"2"	"520"	"0"	"520"	"0"
"52"	"8"	"36"	"14"	"201"	"13"	"71"	"13"	"5"	"1"	"2"	"1"	"2"	"3"	"3"	"6"	"4"	"4"	"2"	"3"	"5"	"0"	"6"	"4"	"363"	"0"	"363"	"0"
"53"	"9"	"37"	"5"	"414"	"7"	"52"	"56"	"0"	"4"	"1"	"2"	"5"	"1"	"10"	"2"	"8"	"3"	"8"	"2"	"5"	"2"	"5"	"9"	"601"	"0"	"601"	"0"
"54"	"10"	"38"	"7"	"314"	"5"	"40"	"53"	"1"	"4"	"0"	"0"	"3"	"2"	"7"	"1"	"0"	"1"	"1"	"3"	"0"	"0"	"1"	"0"	"443"	"0"	"443"	"0"
"55"	"11"	"39"	"1"	"235"	"2"	"66"	"18"	"1"	"16"	"8"	"2"	"6"	"18"	"4"	"3"	"4"	"11"	"4"	"0"	"0"	"0"	"3"	"3"	"405"	"0"	"405"	"0"
"56"	"12"	"40"	"4"	"127"	"3"	"143"	"64"	"0"	"1"	"2"	"1"	"3"	"10"	"6"	"6"	"6"	"5"	"2"	"6"	"5"	"1"	"0"	"1"	"396"	"0"	"396"	"0"
"57"	"13"	"41"	"6"	"125"	"7"	"89"	"50"	"3"	"1"	"1"	"2"	"9"	"3"	"17"	"4"	"6"	"5"	"0"	"1"	"1"	"0"	"2"	"5"	"337"	"0"	"337"	"0"
"58"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"59"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"60"	"14"	"42"	"8"	"340"	"9"	"47"	"8"	"6"	"5"	"21"	"1"	"6"	"68"	"10"	"9"	"7"	"10"	"12"	"3"	"10"	"0"	"0"	"1"	"581"	"0"	"581"	"0"
"61"	"ROUND-3"	""	"118"	"2736"	"118"	"1373"	"693"	"29"	"49"	"60"	"23"	"424"	"139"	"112"	"81"	"91"	"86"	"84"	"54"	"61"	"13"	"44"	"80"	"6468"	"0"	"6468"	"0"
"62"	"Place - Nawada
Date -      25/05/2011                                                                                                                                                                                                                                                            Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"1"	"43"	"9"	"326"	"36"	"171"	"43"	"3"	"11"	"10"	"5"	"6"	"2"	"25"	"15"	"12"	"11"	"16"	"14"	"1"	"0"	"3"	"2"	"721"	"0"	"721"	"0"
"64"	"2"	"44"	"11"	"390"	"16"	"116"	"22"	"0"	"6"	"3"	"0"	"3"	"1"	"9"	"4"	"3"	"0"	"3"	"2"	"2"	"1"	"0"	"4"	"596"	"0"	"596"	"0"
"65"	"3"	"45"	"13"	"337"	"52"	"124"	"15"	"5"	"1"	"3"	"3"	"4"	"4"	"7"	"6"	"6"	"8"	"8"	"2"	"7"	"5"	"7"	"3"	"620"	"0"	"620"	"0"
"66"	"4"	"46"	"12"	"285"	"68"	"74"	"8"	"1"	"2"	"10"	"4"	"8"	"5"	"12"	"10"	"18"	"10"	"10"	"4"	"2"	"3"	"2"	"4"	"552"	"0"	"552"	"0"
"67"	"5"	"47"	"11"	"288"	"14"	"174"	"19"	"3"	"1"	"10"	"3"	"9"	"24"	"24"	"18"	"15"	"7"	"4"	"9"	"6"	"0"	"11"	"6"	"656"	"0"	"656"	"0"
"68"	"6"	"48"	"12"	"286"	"11"	"170"	"41"	"2"	"2"	"13"	"2"	"19"	"5"	"17"	"31"	"12"	"22"	"23"	"4"	"7"	"1"	"3"	"9"	"692"	"0"	"692"	"0"
"69"	"7"	"49"	"5"	"170"	"88"	"105"	"26"	"1"	"5"	"31"	"3"	"6"	"18"	"24"	"15"	"15"	"11"	"12"	"4"	"3"	"4"	"3"	"5"	"554"	"0"	"554"	"0"
"70"	"8"	"50"	"4"	"73"	"96"	"91"	"38"	"2"	"3"	"2"	"2"	"4"	"4"	"70"	"9"	"16"	"7"	"8"	"0"	"3"	"2"	"4"	"10"	"448"	"0"	"448"	"0"
"71"	"9"	"51"	"7"	"199"	"34"	"65"	"29"	"1"	"1"	"6"	"2"	"4"	"2"	"3"	"1"	"9"	"0"	"2"	"5"	"3"	"2"	"1"	"3"	"379"	"0"	"379"	"0"
"72"	"10"	"52"	"3"	"136"	"32"	"87"	"18"	"2"	"2"	"7"	"0"	"5"	"6"	"12"	"6"	"6"	"3"	"6"	"3"	"1"	"0"	"1"	"3"	"339"	"0"	"339"	"0"
"73"	"11"	"53"	"13"	"206"	"13"	"259"	"9"	"0"	"0"	"4"	"0"	"2"	"2"	"19"	"9"	"7"	"4"	"1"	"5"	"0"	"0"	"1"	"5"	"559"	"0"	"559"	"0"
"74"	"12"	"54"	"9"	"303"	"10"	"46"	"16"	"1"	"0"	"0"	"1"	"5"	"9"	"24"	"14"	"24"	"27"	"29"	"7"	"6"	"3"	"1"	"4"	"539"	"0"	"539"	"0"
"75"	"13"	"55"	"11"	"180"	"3"	"36"	"2"	"0"	"0"	"4"	"2"	"6"	"0"	"11"	"12"	"16"	"4"	"10"	"2"	"1"	"0"	"0"	"0"	"300"	"0"	"300"	"0"
"76"	"14"	"56"	"17"	"239"	"1"	"163"	"21"	"1"	"2"	"10"	"2"	"9"	"44"	"48"	"6"	"11"	"8"	"6"	"10"	"5"	"3"	"12"	"13"	"631"	"0"	"631"	"0"
"77"	"ROUND-4"	""	"137"	"3418"	"474"	"1681"	"307"	"22"	"36"	"113"	"29"	"90"	"126"	"305"	"156"	"170"	"122"	"138"	"71"	"47"	"24"	"49"	"71"	"7586"	"0"	"7586"	"0"
"78"	"Place - Nawada
Date -      25/05/2011                                                                                                                                                                                                                                                            Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"1"	"57"	"28"	"192"	"7"	"96"	"14"	"2"	"3"	"13"	"1"	"10"	"2"	"8"	"4"	"6"	"3"	"3"	"3"	"0"	"0"	"1"	"4"	"400"	"0"	"400"	"0"
"80"	"2"	"58"	"8"	"266"	"5"	"191"	"72"	"3"	"2"	"2"	"5"	"6"	"0"	"3"	"4"	"7"	"0"	"3"	"1"	"0"	"0"	"3"	"5"	"586"	"0"	"586"	"0"
"81"	"3"	"59"	"9"	"152"	"10"	"211"	"10"	"1"	"1"	"8"	"1"	"10"	"8"	"4"	"20"	"13"	"5"	"10"	"14"	"9"	"4"	"17"	"21"	"538"	"0"	"538"	"0"
"82"	"4"	"60"	"5"	"207"	"7"	"278"	"22"	"5"	"4"	"1"	"1"	"56"	"5"	"10"	"30"	"5"	"12"	"11"	"6"	"6"	"0"	"6"	"4"	"681"	"0"	"681"	"0"
"83"	"5"	"61"	"15"	"337"	"41"	"163"	"56"	"6"	"1"	"8"	"3"	"12"	"2"	"4"	"3"	"12"	"5"	"9"	"19"	"3"	"0"	"4"	"10"	"713"	"0"	"713"	"0"
"84"	"6"	"62"	"3"	"97"	"5"	"86"	"5"	"2"	"0"	"3"	"0"	"5"	"3"	"0"	"14"	"5"	"2"	"4"	"5"	"7"	"2"	"7"	"5"	"260"	"0"	"260"	"0"
"85"	"7"	"63"	"5"	"147"	"62"	"89"	"16"	"0"	"2"	"6"	"3"	"40"	"0"	"8"	"6"	"10"	"6"	"9"	"10"	"1"	"1"	"3"	"3"	"427"	"0"	"427"	"0"
"86"	"8"	"64"	"9"	"120"	"3"	"85"	"8"	"3"	"3"	"14"	"1"	"6"	"9"	"1"	"3"	"5"	"2"	"1"	"8"	"1"	"1"	"6"	"5"	"294"	"0"	"294"	"0"
"87"	"9"	"65"	"0"	"61"	"1"	"80"	"84"	"3"	"1"	"1"	"0"	"44"	"0"	"3"	"3"	"3"	"2"	"2"	"1"	"2"	"3"	"3"	"3"	"300"	"0"	"300"	"0"
"88"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"89"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"90"	"10"	"66"	"4"	"130"	"2"	"40"	"29"	"2"	"0"	"1"	"0"	"5"	"0"	"24"	"3"	"1"	"3"	"1"	"4"	"1"	"0"	"0"	"2"	"252"	"0"	"252"	"0"
"91"	"11"	"67"	"2"	"105"	"52"	"47"	"18"	"0"	"3"	"4"	"0"	"9"	"0"	"10"	"4"	"3"	"1"	"7"	"7"	"4"	"3"	"1"	"3"	"283"	"0"	"283"	"0"
"92"	"12"	"68"	"6"	"51"	"99"	"204"	"74"	"3"	"1"	"3"	"2"	"7"	"3"	"10"	"5"	"5"	"0"	"6"	"1"	"0"	"0"	"3"	"2"	"485"	"0"	"485"	"0"
"93"	"13"	"69"	"17"	"37"	"26"	"100"	"41"	"0"	"0"	"1"	"0"	"2"	"1"	"2"	"8"	"1"	"1"	"2"	"10"	"0"	"1"	"4"	"11"	"265"	"0"	"265"	"0"
"94"	"14"	"70"	"9"	"252"	"5"	"46"	"16"	"2"	"4"	"3"	"0"	"12"	"20"	"11"	"8"	"7"	"7"	"6"	"4"	"1"	"0"	"0"	"3"	"416"	"0"	"416"	"0"
"95"	"ROUND-5"	""	"120"	"2154"	"325"	"1716"	"465"	"32"	"25"	"68"	"17"	"224"	"53"	"98"	"115"	"83"	"49"	"74"	"93"	"35"	"15"	"58"	"81"	"5900"	"0"	"5900"	"0"
"96"	"Place - Nawada
Date -      25/05/2011                                                                                                                                                                                                                                                            Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"1"	"71"	"7"	"128"	"11"	"159"	"16"	"3"	"3"	"2"	"0"	"1"	"11"	"26"	"9"	"7"	"8"	"15"	"7"	"4"	"2"	"4"	"12"	"435"	"0"	"435"	"0"
"98"	"2"	"72"	"4"	"254"	"8"	"129"	"21"	"3"	"16"	"8"	"2"	"8"	"1"	"4"	"8"	"7"	"2"	"7"	"1"	"2"	"1"	"4"	"3"	"493"	"0"	"493"	"0"
"99"	"3"	"73"	"17"	"52"	"4"	"65"	"80"	"4"	"1"	"1"	"1"	"4"	"0"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"235"	"0"	"235"	"0"
"100"	"4"	"74"	"2"	"79"	"9"	"73"	"48"	"2"	"0"	"2"	"1"	"6"	"1"	"8"	"4"	"2"	"2"	"4"	"2"	"1"	"0"	"2"	"1"	"249"	"0"	"249"	"0"
"101"	"5"	"75"	"6"	"124"	"19"	"227"	"86"	"2"	"4"	"0"	"1"	"7"	"7"	"34"	"16"	"11"	"3"	"7"	"4"	"1"	"0"	"3"	"3"	"565"	"0"	"565"	"0"
"102"	"6"	"76"	"3"	"205"	"84"	"177"	"93"	"0"	"2"	"1"	"2"	"51"	"1"	"4"	"0"	"1"	"1"	"6"	"1"	"2"	"1"	"4"	"5"	"644"	"0"	"644"	"0"
"103"	"7"	"77"	"10"	"186"	"18"	"99"	"23"	"3"	"1"	"8"	"4"	"29"	"15"	"40"	"7"	"11"	"5"	"4"	"7"	"4"	"2"	"4"	"9"	"489"	"0"	"489"	"0"
"104"	"8"	"78"	"9"	"212"	"9"	"52"	"46"	"1"	"1"	"10"	"2"	"19"	"37"	"15"	"10"	"14"	"16"	"30"	"7"	"4"	"2"	"3"	"5"	"504"	"0"	"504"	"0"
"105"	"9"	"79"	"13"	"273"	"22"	"44"	"7"	"0"	"2"	"2"	"4"	"4"	"20"	"62"	"9"	"11"	"14"	"10"	"14"	"27"	"17"	"11"	"14"	"580"	"0"	"580"	"0"
"106"	"10"	"80"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
