"Total.No..of.Electors.in.Assembly.Constituency.Segment..262884"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"31"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"32"	"15"	"101"	"271"	"10"	"0"	"0"	"1"	"2"	"1"	"4"	"1"	"4"	"5"	"400"	"0"	"400"	"0"
"33"	"16"	"35"	"143"	"20"	"2"	"0"	"0"	"4"	"2"	"2"	"0"	"2"	"2"	"212"	"0"	"212"	"0"
"34"	"17"	"333"	"34"	"36"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"406"	"0"	"406"	"0"
"35"	"18"	"3"	"295"	"63"	"3"	"0"	"0"	"0"	"1"	"0"	"3"	"0"	"5"	"373"	"0"	"373"	"0"
"36"	"19"	"2"	"22"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"25"	"0"	"25"	"0"
"37"	"20"	"1"	"279"	"12"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"6"	"1"	"301"	"0"	"301"	"0"
"38"	"21"	"198"	"93"	"32"	"4"	"0"	"2"	"4"	"3"	"2"	"1"	"7"	"13"	"359"	"0"	"359"	"0"
"39"	"22"	"195"	"207"	"26"	"1"	"1"	"2"	"10"	"2"	"2"	"1"	"4"	"6"	"457"	"0"	"457"	"0"
"40"	"23"	"165"	"187"	"68"	"3"	"0"	"1"	"3"	"2"	"0"	"1"	"4"	"6"	"440"	"0"	"440"	"0"
"41"	"24"	"217"	"159"	"63"	"0"	"2"	"0"	"3"	"1"	"0"	"0"	"5"	"5"	"455"	"0"	"455"	"0"
"42"	"25"	"153"	"263"	"14"	"6"	"1"	"2"	"7"	"1"	"2"	"2"	"5"	"4"	"460"	"0"	"460"	"0"
"43"	"26"	"164"	"397"	"72"	"3"	"2"	"0"	"9"	"4"	"1"	"0"	"4"	"7"	"663"	"0"	"663"	"0"
"44"	"27"	"151"	"277"	"16"	"2"	"0"	"0"	"2"	"1"	"1"	"1"	"0"	"3"	"454"	"0"	"454"	"0"
"45"	"28"	"93"	"180"	"99"	"5"	"0"	"1"	"9"	"1"	"3"	"5"	"8"	"24"	"428"	"0"	"428"	"0"
"46"	"Total"	"1811"	"2807"	"532"	"31"	"7"	"10"	"54"	"19"	"17"	"15"	"49"	"81"	"5433"	"0"	"5433"	"0"
"47"	"B.F."	"2014"	"1765"	"538"	"41"	"22"	"22"	"67"	"25"	"32"	"27"	"67"	"88"	"4708"	"0"	"0"	"0"
"48"	"G. Total"	"3825"	"4572"	"1070"	"72"	"29"	"32"	"121"	"44"	"49"	"42"	"116"	"169"	"10141"	"0"	"10141"	"0"
"49"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"Total No. of Electors in Assembly Constituency/Segment- 262884"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"[SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-SARAN PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"Name of the Assembly/segment- 118-CHAPRA                                                                                                                                                                                                                                                                            Round No:- 03"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"58"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"59"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"60"	"29"	"174"	"134"	"67"	"1"	"2"	"2"	"3"	"2"	"4"	"2"	"13"	"7"	"411"	"0"	"411"	"0"
"61"	"30"	"205"	"151"	"48"	"4"	"3"	"2"	"6"	"3"	"1"	"1"	"7"	"13"	"444"	"0"	"444"	"0"
"62"	"31"	"86"	"360"	"18"	"2"	"0"	"0"	"3"	"1"	"1"	"2"	"9"	"11"	"493"	"0"	"493"	"0"
"63"	"32"	"936"	"17"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"955"	"0"	"955"	"0"
"64"	"33"	"998"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1011"	"0"	"1011"	"0"
"65"	"34"	"103"	"285"	"19"	"4"	"2"	"0"	"15"	"3"	"4"	"0"	"2"	"2"	"439"	"0"	"439"	"0"
"66"	"35"	"268"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"0"	"282"	"0"
"67"	"36"	"318"	"183"	"37"	"2"	"3"	"1"	"4"	"2"	"0"	"3"	"4"	"14"	"571"	"0"	"571"	"0"
"68"	"37"	"139"	"465"	"75"	"6"	"1"	"2"	"6"	"2"	"0"	"1"	"9"	"6"	"712"	"0"	"712"	"0"
"69"	"38"	"121"	"372"	"134"	"3"	"3"	"3"	"7"	"1"	"2"	"4"	"9"	"11"	"670"	"0"	"670"	"0"
"70"	"39"	"19"	"332"	"40"	"5"	"2"	"0"	"6"	"2"	"2"	"2"	"3"	"4"	"417"	"0"	"417"	"0"
"71"	"40"	"159"	"113"	"37"	"1"	"1"	"0"	"4"	"0"	"1"	"0"	"2"	"2"	"320"	"0"	"320"	"0"
"72"	"41"	"821"	"30"	"3"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"2"	"10"	"870"	"0"	"870"	"0"
"73"	"42"	"498"	"228"	"20"	"0"	"2"	"0"	"3"	"0"	"2"	"0"	"4"	"4"	"761"	"0"	"761"	"0"
"74"	"Total"	"4845"	"2681"	"514"	"28"	"19"	"10"	"58"	"17"	"18"	"16"	"64"	"86"	"8356"	"0"	"8356"	"0"
"75"	"B.F."	"3825"	"4572"	"1070"	"72"	"29"	"32"	"121"	"44"	"49"	"42"	"116"	"169"	"10141"	"0"	"0"	"0"
"76"	"G. Total"	"8670"	"7253"	"1584"	"100"	"48"	"42"	"179"	"61"	"67"	"58"	"180"	"255"	"18497"	"0"	"18497"	"0"
"77"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"Total No. of Electors in Assembly Constituency/Segment- 262884"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"[SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-SARAN PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"Name of the Assembly/segment- 118-CHAPRA                                                                                                                                                                                                                                                                            Round No- 04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"86"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"87"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"88"	"43"	"514"	"103"	"5"	"0"	"2"	"0"	"1"	"0"	"1"	"0"	"1"	"6"	"633"	"0"	"633"	"0"
"89"	"44"	"244"	"133"	"6"	"3"	"0"	"2"	"5"	"4"	"3"	"5"	"13"	"15"	"433"	"0"	"433"	"0"
"90"	"45"	"177"	"85"	"5"	"0"	"1"	"1"	"2"	"2"	"4"	"1"	"2"	"4"	"284"	"0"	"284"	"0"
"91"	"45(A)"	"140"	"40"	"6"	"2"	"1"	"0"	"1"	"2"	"5"	"1"	"2"	"10"	"210"	"0"	"210"	"0"
"92"	"46"	"13"	"296"	"93"	"5"	"0"	"1"	"2"	"1"	"0"	"3"	"7"	"11"	"432"	"0"	"432"	"0"
"93"	"47"	"18"	"296"	"50"	"6"	"0"	"1"	"12"	"1"	"7"	"8"	"11"	"12"	"422"	"0"	"422"	"0"
"94"	"48"	"215"	"273"	"39"	"5"	"1"	"2"	"9"	"3"	"2"	"3"	"6"	"10"	"568"	"0"	"568"	"0"
"95"	"49"	"67"	"673"	"17"	"1"	"1"	"1"	"11"	"2"	"3"	"3"	"7"	"5"	"791"	"0"	"791"	"0"
"96"	"50"	"231"	"43"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"276"	"0"	"276"	"0"
"97"	"51"	"222"	"208"	"37"	"3"	"0"	"2"	"9"	"4"	"5"	"9"	"7"	"8"	"514"	"0"	"514"	"0"
"98"	"52"	"192"	"361"	"51"	"3"	"2"	"2"	"12"	"19"	"2"	"3"	"8"	"7"	"662"	"0"	"662"	"0"
"99"	"53"	"151"	"387"	"31"	"4"	"2"	"2"	"10"	"7"	"4"	"4"	"5"	"18"	"625"	"0"	"625"	"0"
"100"	"54"	"255"	"221"	"19"	"3"	"1"	"0"	"7"	"1"	"0"	"3"	"2"	"8"	"520"	"0"	"520"	"0"
"101"	"55"	"169"	"315"	"39"	"2"	"2"	"3"	"17"	"5"	"3"	"9"	"10"	"10"	"584"	"0"	"584"	"0"
"102"	"Total"	"2608"	"3434"	"399"	"37"	"13"	"17"	"98"	"51"	"39"	"52"	"82"	"124"	"6954"	"0"	"6954"	"0"
"103"	"B.F."	"8670"	"7253"	"1584"	"100"	"48"	"42"	"179"	"61"	"67"	"58"	"180"	"255"	"18497"	"0"	"0"	"0"
"104"	"G. Total"	"11278"	"10687"	"1983"	"137"	"61"	"59"	"277"	"112"	"106"	"110"	"262"	"379"	"25451"	"0"	"25451"	"0"
"105"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"Total No. of Electors in Assembly Constituency/Segment- 262884"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"108"	"[SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"109"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-SARAN PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"Name of the Assembly/segment- 118-CHAPRA                                                                                                                                                                                                                                                                            Round No- 05"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"114"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"115"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"116"	"56"	"184"	"245"	"18"	"2"	"0"	"1"	"2"	"2"	"2"	"1"	"9"	"5"	"471"	"0"	"471"	"0"
"117"	"57"	"218"	"328"	"72"	"5"	"3"	"1"	"11"	"1"	"3"	"2"	"3"	"7"	"654"	"0"	"654"	"0"
"118"	"58"	"56"	"228"	"6"	"4"	"0"	"1"	"12"	"3"	"0"	"0"	"3"	"4"	"317"	"0"	"317"	"0"
"119"	"59"	"22"	"211"	"13"	"2"	"3"	"2"	"6"	"0"	"0"	"2"	"8"	"0"	"269"	"0"	"269"	"0"
"120"	"60"	"45"	"138"	"11"	"1"	"2"	"0"	"9"	"5"	"2"	"3"	"1"	"7"	"224"	"0"	"224"	"0"
"121"	"61"	"223"	"201"	"12"	"7"	"1"	"0"	"5"	"1"	"3"	"1"	"12"	"14"	"480"	"0"	"480"	"0"
"122"	"62"	"266"	"166"	"8"	"3"	"1"	"2"	"6"	"8"	"1"	"2"	"1"	"11"	"475"	"0"	"475"	"0"
"123"	"63"	"580"	"35"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"618"	"0"	"618"	"0"
"124"	"64"	"493"	"30"	"0"	"0"	"1"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"527"	"0"	"527"	"0"
"125"	"65"	"103"	"322"	"16"	"1"	"1"	"2"	"4"	"0"	"1"	"1"	"4"	"1"	"456"	"0"	"456"	"0"
"126"	"66"	"138"	"97"	"1"	"1"	"1"	"0"	"6"	"2"	"5"	"1"	"2"	"9"	"263"	"0"	"263"	"0"
"127"	"67"	"213"	"359"	"12"	"4"	"2"	"1"	"6"	"4"	"0"	"2"	"8"	"8"	"619"	"0"	"619"	"0"
"128"	"68"	"87"	"63"	"1"	"0"	"0"	"2"	"5"	"0"	"0"	"0"	"2"	"1"	"161"	"0"	"161"	"0"
"129"	"69"	"105"	"29"	"5"	"1"	"0"	"1"	"2"	"0"	"0"	"1"	"2"	"2"	"148"	"0"	"148"	"0"
"130"	"Total"	"2733"	"2452"	"177"	"31"	"16"	"13"	"76"	"27"	"17"	"16"	"55"	"69"	"5682"	"0"	"5682"	"0"
"131"	"B.F."	"11278"	"10687"	"1983"	"137"	"61"	"59"	"277"	"112"	"106"	"110"	"262"	"379"	"25451"	"0"	"0"	"0"
"132"	"G. Total"	"14011"	"13139"	"2160"	"168"	"77"	"72"	"353"	"139"	"123"	"126"	"317"	"448"	"31133"	"0"	"31133"	"0"
"133"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"Total No. of Electors in Assembly Constituency/Segment- 262884"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"[SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-SARAN PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"138"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"Name of the Assembly/segment- 118-CHAPRA                                                                                                                                                                                                                                                                            Round No- 06"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"142"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"143"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"144"	"70"	"44"	"117"	"262"	"13"	"3"	"1"	"3"	"5"	"7"	"5"	"8"	"14"	"482"	"0"	"482"	"0"
"145"	"71"	"63"	"143"	"38"	"2"	"3"	"1"	"1"	"0"	"2"	"2"	"5"	"8"	"268"	"0"	"268"	"0"
"146"	"72"	"40"	"90"	"33"	"1"	"0"	"0"	"4"	"0"	"2"	"0"	"0"	"0"	"170"	"0"	"170"	"0"
"147"	"73"	"183"	"11"	"13"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"210"	"0"	"210"	"0"
"148"	"74"	"140"	"65"	"6"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"5"	"219"	"0"	"219"	"0"
"149"	"75"	"148"	"115"	"14"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"3"	"1"	"284"	"0"	"284"	"0"
"150"	"76"	"232"	"101"	"3"	"2"	"0"	"0"	"0"	"1"	"0"	"2"	"3"	"4"	"348"	"0"	"348"	"0"
"151"	"77"	"178"	"174"	"45"	"1"	"2"	"1"	"3"	"0"	"1"	"0"	"5"	"1"	"411"	"0"	"411"	"0"
"152"	"78"	"88"	"98"	"6"	"0"	"1"	"0"	"3"	"2"	"7"	"1"	"7"	"8"	"221"	"0"	"221"	"0"
"153"	"79"	"69"	"238"	"9"	"3"	"0"	"4"	"6"	"2"	"1"	"3"	"11"	"15"	"361"	"0"	"361"	"0"
"154"	"80"	"55"	"241"	"82"	"1"	"1"	"0"	"2"	"2"	"4"	"5"	"8"	"13"	"414"	"0"	"414"	"0"
"155"	"81"	"24"	"504"	"8"	"3"	"0"	"0"	"2"	"0"	"1"	"3"	"5"	"2"	"552"	"0"	"552"	"0"
"156"	"82"	"385"	"225"	"13"	"4"	"1"	"0"	"2"	"0"	"2"	"1"	"3"	"4"	"640"	"0"	"640"	"0"
"157"	"83"	"12"	"158"	"28"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"5"	"6"	"213"	"0"	"213"	"0"
"158"	"Total"	"1661"	"2280"	"560"	"33"	"12"	"9"	"28"	"14"	"27"	"24"	"63"	"82"	"4793"	"0"	"4793"	"0"
"159"	"B.F."	"14011"	"13139"	"2160"	"168"	"77"	"72"	"353"	"139"	"123"	"126"	"317"	"448"	"31133"	"0"	"0"	"0"
"160"	"G. Total"	"15672"	"15419"	"2720"	"201"	"89"	"81"	"381"	"153"	"150"	"150"	"380"	"530"	"35926"	"0"	"35926"	"0"
"161"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"163"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"164"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"165"	"84"	"441"	"136"	"18"	"2"	"1"	"0"	"1"	"3"	"3"	"0"	"6"	"7"	"618"	"0"	"618"	"0"
"166"	"85"	"476"	"127"	"10"	"2"	"1"	"0"	"4"	"1"	"2"	"1"	"0"	"4"	"628"	"0"	"628"	"0"
"167"	"86"	"27"	"132"	"199"	"8"	"2"	"1"	"5"	"2"	"1"	"3"	"1"	"15"	"396"	"0"	"396"	"0"
"168"	"87"	"25"	"644"	"46"	"0"	"0"	"1"	"1"	"1"	"2"	"3"	"6"	"2"	"731"	"0"	"731"	"0"
"169"	"88"	"44"	"469"	"23"	"6"	"1"	"1"	"9"	"0"	"1"	"4"	"7"	"6"	"571"	"0"	"571"	"0"
"170"	"89"	"95"	"305"	"99"	"3"	"3"	"2"	"5"	"3"	"3"	"4"	"12"	"14"	"548"	"0"	"548"	"0"
"171"	"90"	"671"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"675"	"0"	"675"	"0"
"172"	"91"	"814"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"818"	"0"	"818"	"0"
"173"	"92"	"95"	"345"	"18"	"1"	"1"	"1"	"7"	"1"	"4"	"1"	"3"	"4"	"481"	"0"	"481"	"0"
"174"	"93"	"84"	"307"	"19"	"1"	"0"	"1"	"7"	"2"	"0"	"3"	"0"	"2"	"426"	"0"	"426"	"0"
"175"	"94"	"34"	"746"	"17"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"2"	"0"	"802"	"0"	"802"	"0"
"176"	"95"	"67"	"138"	"18"	"5"	"2"	"2"	"6"	"5"	"4"	"4"	"5"	"11"	"267"	"0"	"267"	"0"
"177"	"96"	"95"	"373"	"47"	"7"	"3"	"6"	"9"	"1"	"10"	"3"	"14"	"32"	"600"	"0"	"600"	"0"
"178"	"97"	"82"	"312"	"94"	"3"	"0"	"2"	"5"	"2"	"3"	"2"	"4"	"1"	"510"	"0"	"510"	"0"
"179"	"Total"	"3050"	"4040"	"608"	"40"	"14"	"17"	"61"	"21"	"33"	"28"	"60"	"99"	"8071"	"0"	"8071"	"0"
"180"	"B.F."	"15672"	"15419"	"2720"	"201"	"89"	"81"	"381"	"153"	"150"	"150"	"380"	"530"	"35926"	"0"	"0"	"0"
"181"	"G. Total"	"18722"	"19459"	"3328"	"241"	"103"	"98"	"442"	"174"	"183"	"178"	"440"	"629"	"43997"	"0"	"43997"	"0"
"182"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
