"i.zi...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"fo/kku  l Hkk {ks=  l a[ ; k , oa uke &02&j keuxj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"fuokZpdksa dh dqy  l a[ ; k&221699"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz
i zl kn   xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"25"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz
i zl kn   xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"28"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"29"	"15"	"30"	"481"	"37"	"15"	"5"	"4"	"5"	"1"	"2"	"2"	"22"	"5"	"0"	"3"	"10"	"6"	"628"	""	"628"	""
"30"	"16"	"20"	"472"	"9"	"19"	"15"	"5"	"14"	"4"	"3"	"3"	"21"	"4"	"5"	"6"	"12"	"20"	"632"	""	"632"	""
"31"	"17"	"12"	"274"	"4"	"6"	"3"	"2"	"21"	"1"	"1"	"3"	"0"	"0"	"1"	"2"	"4"	"7"	"341"	""	"341"	""
"32"	"18"	"9"	"140"	"0"	"1"	"0"	"2"	"1"	"0"	"1"	"3"	"1"	"0"	"0"	"0"	"1"	"2"	"161"	""	"161"	""
"33"	"19"	"20"	"439"	"62"	"5"	"12"	"18"	"90"	"6"	"7"	"5"	"32"	"4"	"2"	"1"	"4"	"3"	"710"	""	"710"	""
"34"	"20"	"12"	"302"	"112"	"16"	"48"	"5"	"199"	"5"	"6"	"7"	"18"	"8"	"2"	"6"	"6"	"25"	"777"	""	"777"	""
"35"	"21"	"27"	"387"	"74"	"12"	"11"	"7"	"92"	"13"	"4"	"3"	"16"	"8"	"2"	"5"	"12"	"11"	"684"	""	"684"	""
"36"	"22"	"4"	"206"	"91"	"6"	"4"	"2"	"112"	"3"	"1"	"4"	"26"	"3"	"4"	"7"	"11"	"24"	"508"	""	"508"	""
"37"	"23"	"4"	"272"	"5"	"5"	"5"	"7"	"212"	"1"	"1"	"4"	"9"	"3"	"1"	"2"	"5"	"5"	"541"	""	"541"	""
"38"	"24"	"7"	"346"	"55"	"15"	"34"	"5"	"20"	"6"	"4"	"5"	"94"	"4"	"10"	"3"	"5"	"8"	"621"	""	"621"	""
"39"	"25"	"8"	"325"	"24"	"8"	"7"	"4"	"84"	"3"	"0"	"2"	"63"	"8"	"7"	"4"	"4"	"12"	"563"	""	"563"	""
"40"	"26"	"16"	"218"	"25"	"49"	"15"	"12"	"40"	"9"	"5"	"8"	"315"	"3"	"17"	"2"	"4"	"5"	"743"	""	"743"	""
"41"	"27"	"0"	"118"	"17"	"5"	"4"	"0"	"12"	"0"	"1"	"1"	"54"	"3"	"1"	"2"	"1"	"6"	"225"	""	"225"	""
"42"	"28"	"5"	"13"	"0"	"0"	"73"	"1"	"3"	"2"	"0"	"1"	"397"	"5"	"5"	"0"	"1"	"3"	"509"	""	"509"	""
"43"	"VksVy"	"174"	"3993"	"515"	"162"	"236"	"74"	"905"	"54"	"36"	"51"	"1068"	"58"	"57"	"43"	"80"	"137"	"7643"	"0"	"7643"	"0"
"44"	"fo/kku  l Hkk {ks=  l a[ ; k , oa uke &02&j keuxj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"fuokZpdksa dh dqy  l a[ ; k&221699"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"vfUr e i fj .kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"er nku
dsUnz l a[ ; k"	"fnyhi oekZ"	"cS/kukFk
i zl kn egr ks"	"euu feJ"	"eksgEen
' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz
i zl kn   xqIr k"	"' kSy sUnz
dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r
er i = dk
; ksx"	"; ksx"	"fufonr
er i =ksa dh l a[ ; k"
"51"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"52"	"29"	"1"	"46"	"11"	"2"	"21"	"1"	"4"	"2"	"1"	"9"	"348"	"5"	"8"	"1"	"5"	"7"	"472"	""	"472"	""
"53"	"30"	"4"	"81"	"4"	"11"	"31"	"9"	"2"	"5"	"4"	"3"	"441"	"3"	"20"	"1"	"5"	"6"	"630"	""	"630"	""
"54"	"31"	"12"	"264"	"29"	"3"	"42"	"1"	"0"	"1"	"0"	"2"	"67"	"0"	"5"	"2"	"2"	"3"	"433"	""	"433"	""
"55"	"32"	"6"	"23"	"58"	"3"	"40"	"8"	"5"	"3"	"5"	"3"	"403"	"2"	"3"	"0"	"1"	"3"	"566"	""	"566"	""
"56"	"33"	"5"	"42"	"1"	"5"	"16"	"5"	"1"	"2"	"2"	"3"	"295"	"2"	"2"	"4"	"3"	"3"	"391"	""	"391"	""
"57"	"34"	"18"	"373"	"42"	"24"	"68"	"28"	"7"	"5"	"6"	"5"	"29"	"10"	"6"	"9"	"10"	"12"	"652"	""	"652"	""
"58"	"35"	"16"	"266"	"98"	"19"	"15"	"12"	"2"	"4"	"3"	"3"	"12"	"0"	"1"	"1"	"1"	"10"	"463"	""	"463"	""
"59"	"36"	"22"	"182"	"27"	"4"	"10"	"26"	"3"	"4"	"4"	"3"	"32"	"1"	"1"	"0"	"2"	"3"	"324"	""	"324"	""
"60"	"37"	"10"	"152"	"25"	"2"	"52"	"1"	"1"	"1"	"2"	"1"	"6"	"4"	"0"	"1"	"2"	"3"	"263"	""	"263"	""
"61"	"38"	"73"	"309"	"16"	"6"	"13"	"5"	"0"	"4"	"3"	"7"	"33"	"5"	"6"	"3"	"5"	"14"	"502"	""	"502"	""
"62"	"39"	"5"	"259"	"32"	"6"	"103"	"4"	"0"	"3"	"1"	"1"	"5"	"1"	"0"	"0"	"4"	"7"	"431"	""	"431"	""
"63"	"40"	"10"	"197"	"4"	"2"	"56"	"1"	"2"	"2"	"0"	"2"	"3"	"0"	"0"	"0"	"1"	"1"	"281"	""	"281"	""
"64"	"41"	"8"	"156"	"35"	"7"	"78"	"15"	"3"	"4"	"3"	"5"	"99"	"6"	"8"	"4"	"3"	"8"	"442"	""	"442"	""
"65"	"42"	"10"	"114"	"53"	"4"	"27"	"4"	"1"	"3"	"2"	"2"	"44"	"2"	"2"	"0"	"0"	"4"	"272"	""	"272"	""
"66"	"VksVy"	"200"	"2464"	"435"	"98"	"572"	"120"	"31"	"43"	"36"	"49"	"1817"	"41"	"62"	"26"	"44"	"84"	"6122"	"0"	"6122"	"0"
"67"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"fo/kku  l Hkk {ks=  l a[ ; k , oa uke &02&j keuxj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"fuokZpdksa dh dqy  l a[ ; k&221699"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz
i zl kn   xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"74"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"75"	"43"	"26"	"284"	"42"	"9"	"25"	"8"	"4"	"5"	"4"	"2"	"7"	"2"	"1"	"1"	"5"	"6"	"431"	""	"431"	""
"76"	"44"	"1"	"169"	"5"	"1"	"56"	"3"	"0"	"0"	"0"	"1"	"15"	"1"	"2"	"1"	"2"	"2"	"259"	""	"259"	""
"77"	"45"	"19"	"318"	"88"	"7"	"29"	"17"	"5"	"2"	"2"	"3"	"13"	"1"	"2"	"3"	"8"	"9"	"526"	""	"526"	""
"78"	"46"	"12"	"110"	"75"	"64"	"22"	"8"	"4"	"1"	"5"	"6"	"3"	"4"	"2"	"1"	"7"	"13"	"337"	""	"337"	""
"79"	"47"	"36"	"120"	"58"	"7"	"28"	"22"	"4"	"1"	"3"	"0"	"3"	"1"	"0"	"1"	"5"	"2"	"291"	""	"291"	""
"80"	"48"	"12"	"254"	"21"	"2"	"9"	"1"	"0"	"0"	"0"	"0"	"17"	"1"	"1"	"2"	"5"	"3"	"328"	""	"328"	""
"81"	"49"	"11"	"563"	"75"	"17"	"21"	"2"	"0"	"1"	"0"	"1"	"3"	"0"	"0"	"0"	"4"	"3"	"701"	""	"701"	""
"82"	"50"	"9"	"200"	"119"	"26"	"100"	"5"	"4"	"2"	"1"	"7"	"23"	"2"	"4"	"11"	"3"	"7"	"523"	""	"523"	""
"83"	"51"	"10"	"255"	"54"	"6"	"29"	"6"	"2"	"2"	"3"	"2"	"62"	"2"	"8"	"5"	"6"	"25"	"477"	""	"477"	""
"84"	"52"	"5"	"83"	"92"	"3"	"28"	"10"	"1"	"1"	"1"	"3"	"129"	"2"	"7"	"0"	"1"	"4"	"370"	""	"370"	""
"85"	"53"	"3"	"139"	"101"	"2"	"35"	"4"	"4"	"2"	"3"	"1"	"31"	"1"	"0"	"1"	"4"	"2"	"333"	""	"333"	""
"86"	"54"	"0"	"13"	"16"	"6"	"50"	"4"	"4"	"3"	"3"	"1"	"226"	"5"	"12"	"2"	"1"	"11"	"357"	""	"357"	""
"87"	"55"	"4"	"11"	"2"	"1"	"43"	"10"	"0"	"6"	"3"	"2"	"412"	"1"	"10"	"1"	"0"	"4"	"510"	""	"510"	""
"88"	"56"	"5"	"267"	"37"	"5"	"77"	"6"	"3"	"1"	"0"	"5"	"8"	"4"	"2"	"5"	"2"	"6"	"433"	""	"433"	""
"89"	"VksVy"	"153"	"2786"	"785"	"156"	"552"	"106"	"35"	"27"	"28"	"34"	"952"	"27"	"51"	"34"	"53"	"97"	"5876"	"0"	"5876"	"0"
"90"	"fo/kku  l Hkk {ks=  l a[ ; k , oa uke &02&j keuxj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"fuokZpdksa dh dqy  l a[ ; k&221699                                                                                                 vfUr e i fj .kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz
i zl kn   xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"96"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"97"	"57"	"5"	"310"	"16"	"10"	"1"	"6"	"0"	"0"	"1"	"0"	"22"	"0"	"1"	"1"	"4"	"4"	"381"	""	"381"	""
"98"	"58"	"3"	"153"	"14"	"41"	"32"	"0"	"0"	"0"	"0"	"1"	"44"	"1"	"2"	"1"	"2"	"0"	"294"	""	"294"	""
"99"	"59"	"4"	"376"	"30"	"6"	"7"	"4"	"4"	"3"	"1"	"4"	"110"	"2"	"3"	"4"	"7"	"4"	"569"	""	"569"	""
"100"	"60"	"14"	"411"	"12"	"3"	"12"	"5"	"0"	"4"	"0"	"0"	"87"	"2"	"4"	"1"	"10"	"4"	"569"	""	"569"	""
"101"	"61"	"8"	"278"	"6"	"17"	"85"	"10"	"4"	"2"	"1"	"3"	"249"	"5"	"6"	"0"	"2"	"2"	"678"	""	"678"	""
"102"	"62"	"1"	"283"	"17"	"11"	"9"	"11"	"0"	"0"	"1"	"3"	"367"	"7"	"8"	"1"	"5"	"3"	"727"	""	"727"	""
"103"	"63"	"6"	"258"	"17"	"19"	"26"	"6"	"5"	"3"	"1"	"6"	"304"	"1"	"12"	"1"	"1"	"5"	"671"	""	"671"	""
"104"	"64"	"5"	"365"	"7"	"2"	"22"	"4"	"0"	"2"	"2"	"7"	"69"	"6"	"4"	"2"	"0"	"7"	"504"	""	"504"	""
"105"	"65"	"4"	"213"	"29"	"18"	"153"	"6"	"5"	"6"	"4"	"7"	"115"	"3"	"9"	"1"	"3"	"6"	"582"	""	"582"	""
"106"	"66"	"8"	"213"	"3"	"14"	"1"	"1"	"1"	"0"	"0"	"0"	"40"	"0"	"0"	"0"	"0"	"0"	"281"	""	"281"	""
"107"	"67"	"1"	"151"	"4"	"10"	"2"	"2"	"0"	"1"	"0"	"1"	"104"	"1"	"1"	"2"	"0"	"2"	"282"	""	"282"	""
"108"	"68"	"5"	"441"	"23"	"11"	"7"	"2"	"0"	"2"	"0"	"4"	"90"	"0"	"1"	"3"	"6"	"5"	"600"	""	"600"	""
"109"	"69"	"4"	"264"	"3"	"2"	"4"	"3"	"1"	"1"	"1"	"3"	"203"	"4"	"3"	"1"	"2"	"2"	"501"	""	"501"	""
"110"	"70"	"3"	"247"	"17"	"19"	"96"	"6"	"2"	"1"	"3"	"7"	"62"	"3"	"1"	"0"	"3"	"6"	"476"	""	"476"	""
"111"	"VksVy"	"71"	"3963"	"198"	"183"	"457"	"66"	"22"	"25"	"15"	"46"	"1866"	"35"	"55"	"18"	"45"	"50"	"7115"	"0"	"7115"	"0"
"112"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"fo/kku  l Hkk {ks=  l a[ ; k , oa uke &02&j keuxj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"fuokZpdksa dh dqy  l a[ ; k&221699"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz
i zl kn   xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"119"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"120"	"71"	"5"	"213"	"11"	"14"	"12"	"16"	"10"	"2"	"2"	"8"	"381"	"5"	"13"	"2"	"3"	"9"	"706"	""	"706"	""
"121"	"72"	"6"	"165"	"2"	"28"	"8"	"8"	"2"	"3"	"2"	"5"	"379"	"0"	"6"	"0"	"0"	"1"	"615"	""	"615"	""
"122"	"73"	"11"	"415"	"81"	"10"	"22"	"2"	"0"	"8"	"6"	"9"	"69"	"1"	"2"	"3"	"1"	"5"	"645"	""	"645"	""
"123"	"74"	"10"	"263"	"33"	"15"	"23"	"1"	"0"	"1"	"0"	"2"	"42"	"0"	"0"	"1"	"4"	"2"	"397"	""	"397"	""
"124"	"75"	"5"	"268"	"62"	"21"	"50"	"1"	"4"	"2"	"4"	"1"	"127"	"4"	"8"	"5"	"4"	"4"	"570"	""	"570"	""
"125"	"76"	"7"	"94"	"18"	"5"	"5"	"5"	"4"	"4"	"2"	"3"	"337"	"2"	"11"	"0"	"3"	"4"	"504"	""	"504"	""
"126"	"77"	"8"	"217"	"58"	"3"	"36"	"1"	"4"	"1"	"2"	"4"	"94"	"1"	"9"	"2"	"9"	"4"	"453"	""	"453"	""
"127"	"78"	"14"	"298"	"239"	"2"	"20"	"1"	"0"	"4"	"2"	"3"	"23"	"1"	"4"	"4"	"10"	"6"	"631"	""	"631"	""
"128"	"79"	"10"	"246"	"44"	"12"	"15"	"0"	"3"	"0"	"0"	"1"	"63"	"0"	"2"	"1"	"0"	"0"	"397"	""	"397"	""
"129"	"80"	"9"	"331"	"39"	"11"	"104"	"5"	"0"	"0"	"1"	"3"	"46"	"1"	"2"	"3"	"8"	"9"	"572"	""	"572"	""
"130"	"81"	"17"	"339"	"60"	"10"	"23"	"4"	"0"	"0"	"1"	"3"	"15"	"0"	"2"	"2"	"1"	"2"	"479"	""	"479"	""
"131"	"82"	"12"	"240"	"137"	"9"	"37"	"3"	"3"	"1"	"2"	"1"	"19"	"0"	"3"	"1"	"2"	"4"	"474"	""	"474"	""
"132"	"83"	"8"	"21"	"33"	"13"	"7"	"10"	"1"	"0"	"5"	"10"	"538"	"7"	"12"	"1"	"5"	"6"	"677"	""	"677"	""
"133"	"84"	"8"	"116"	"7"	"62"	"48"	"5"	"3"	"2"	"2"	"5"	"415"	"7"	"11"	"4"	"3"	"1"	"699"	""	"699"	""
"134"	"VksVy"	"130"	"3226"	"824"	"215"	"410"	"62"	"34"	"28"	"31"	"58"	"2548"	"29"	"85"	"29"	"53"	"57"	"7819"	"0"	"7819"	"0"
"135"	"fo/kku  l Hkk {ks=  l a[ ; k , oa uke &02&j keuxj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"fuokZpdksa dh dqy  l a[ ; k&221699"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"138"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
