"Candidates"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"94"	"62"	"18"	"2"	"35"	"34"	"142"	"3"	"1"	"0"	"0"	"0"	"12"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"250"	""	"250"	""
"95"	"63"	"122"	"3"	"6"	"279"	"31"	"7"	"1"	"1"	"3"	"2"	"59"	"3"	"11"	"0"	"1"	"7"	"2"	"1"	"2"	"541"	""	"541"	""
"96"	"64"	"67"	"1"	"4"	"15"	"195"	"0"	"1"	"0"	"1"	"0"	"2"	"1"	"2"	"0"	"0"	"2"	"0"	"1"	"0"	"292"	""	"292"	""
"97"	"65"	"12"	"2"	"3"	"152"	"63"	"3"	"3"	"0"	"5"	"2"	"80"	"5"	"9"	"1"	"2"	"6"	"0"	"1"	"0"	"349"	""	"349"	""
"98"	"66"	"37"	"1"	"1"	"24"	"271"	"5"	"2"	"0"	"1"	"3"	"8"	"4"	"1"	"2"	"2"	"5"	"6"	"1"	"3"	"377"	""	"377"	""
"99"	"67"	"38"	"1"	"3"	"161"	"211"	"4"	"1"	"0"	"1"	"2"	"51"	"2"	"1"	"0"	"0"	"4"	"3"	"0"	"0"	"483"	""	"483"	""
"100"	"68"	"3"	"0"	"6"	"170"	"87"	"5"	"1"	"1"	"3"	"1"	"37"	"3"	"2"	"0"	"1"	"2"	"1"	"1"	"2"	"326"	""	"326"	""
"101"	"69"	"59"	"5"	"2"	"105"	"217"	"2"	"3"	"3"	"4"	"2"	"65"	"6"	"4"	"1"	"4"	"6"	"2"	"2"	"4"	"496"	""	"496"	""
"102"	"70"	"26"	"3"	"22"	"147"	"113"	"2"	"1"	"2"	"1"	"2"	"49"	"1"	"3"	"0"	"0"	"1"	"6"	"3"	"2"	"384"	""	"384"	""
"103"	"71"	"17"	"1"	"15"	"80"	"206"	"5"	"1"	"3"	"3"	"4"	"36"	"5"	"9"	"4"	"5"	"9"	"9"	"3"	"11"	"426"	""	"426"	""
"104"	"72"	"19"	"6"	"3"	"168"	"70"	"1"	"0"	"1"	"2"	"0"	"43"	"3"	"3"	"1"	"0"	"4"	"14"	"7"	"20"	"365"	""	"365"	""
"105"	"Candidates"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"106"	"Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"107"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"108"	"-------->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"109"	"BOTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"v"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"115"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"73"	"3"	"1"	"13"	"82"	"77"	"2"	"1"	"0"	"0"	"0"	"29"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"1"	"213"	""	"213"	""
"117"	"74"	"46"	"3"	"40"	"219"	"112"	"6"	"2"	"3"	"1"	"0"	"56"	"1"	"0"	"3"	"0"	"11"	"6"	"1"	"1"	"511"	""	"511"	""
"118"	"75"	"47"	"2"	"9"	"279"	"37"	"4"	"5"	"0"	"4"	"2"	"94"	"3"	"5"	"1"	"0"	"4"	"0"	"1"	"3"	"500"	""	"500"	""
"119"	"76"	"23"	"1"	"7"	"447"	"49"	"1"	"3"	"2"	"1"	"1"	"72"	"2"	"8"	"1"	"1"	"10"	"0"	"0"	"1"	"630"	""	"630"	""
"120"	"77"	"58"	"3"	"9"	"247"	"114"	"3"	"0"	"0"	"0"	"0"	"56"	"2"	"2"	"0"	"0"	"0"	"5"	"6"	"4"	"509"	""	"509"	""
"121"	"78"	"10"	"1"	"2"	"76"	"283"	"3"	"1"	"2"	"6"	"0"	"28"	"1"	"3"	"3"	"3"	"1"	"2"	"0"	"0"	"425"	""	"425"	""
"122"	"79"	"8"	"1"	"13"	"84"	"128"	"1"	"0"	"2"	"1"	"2"	"43"	"2"	"11"	"1"	"4"	"8"	"0"	"0"	"5"	"314"	""	"314"	""
"123"	"80"	"12"	"4"	"44"	"216"	"276"	"2"	"0"	"0"	"0"	"2"	"54"	"0"	"6"	"0"	"0"	"1"	"0"	"2"	"1"	"620"	""	"620"	""
"124"	"81"	"48"	"3"	"4"	"67"	"67"	"2"	"0"	"0"	"0"	"0"	"36"	"3"	"3"	"0"	"2"	"5"	"6"	"0"	"3"	"249"	""	"249"	""
"125"	"82"	"74"	"3"	"5"	"176"	"61"	"2"	"2"	"2"	"3"	"4"	"79"	"4"	"3"	"0"	"3"	"7"	"3"	"3"	"0"	"434"	""	"434"	""
"126"	"83"	"24"	"7"	"3"	"194"	"116"	"2"	"1"	"1"	"2"	"2"	"69"	"4"	"11"	"1"	"2"	"5"	"6"	"1"	"6"	"457"	""	"457"	""
"127"	"84"	"30"	"2"	"21"	"62"	"13"	"1"	"1"	"0"	"0"	"0"	"26"	"0"	"2"	"0"	"0"	"1"	"1"	"1"	"0"	"161"	""	"161"	""
"128"	"85"	"20"	"2"	"35"	"57"	"125"	"4"	"0"	"0"	"1"	"1"	"28"	"4"	"3"	"3"	"1"	"8"	"2"	"1"	"3"	"298"	""	"298"	""
"129"	"86"	"18"	"1"	"3"	"57"	"158"	"5"	"1"	"3"	"1"	"2"	"9"	"1"	"1"	"2"	"3"	"6"	"2"	"0"	"1"	"274"	""	"274"	""
"130"	"87"	"12"	"0"	"1"	"14"	"506"	"4"	"1"	"1"	"0"	"0"	"0"	"4"	"1"	"0"	"0"	"4"	"0"	"0"	"1"	"549"	""	"549"	""
"131"	"88"	"127"	"5"	"8"	"118"	"247"	"3"	"1"	"0"	"1"	"0"	"33"	"0"	"0"	"0"	"2"	"0"	"3"	"3"	"0"	"551"	""	"551"	""
"132"	"89"	"10"	"1"	"24"	"139"	"64"	"0"	"1"	"1"	"0"	"2"	"46"	"5"	"3"	"3"	"1"	"1"	"0"	"0"	"2"	"303"	""	"303"	""
"133"	"90"	"59"	"5"	"58"	"33"	"14"	"3"	"0"	"1"	"0"	"3"	"24"	"0"	"1"	"0"	"0"	"2"	"2"	"1"	"3"	"209"	""	"209"	""
"134"	"91"	"13"	"3"	"4"	"131"	"111"	"3"	"1"	"1"	"2"	"1"	"25"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"5"	"308"	""	"308"	""
"135"	"92"	"51"	"3"	"17"	"94"	"123"	"0"	"1"	"1"	"3"	"0"	"22"	"0"	"0"	"1"	"0"	"1"	"0"	"3"	"0"	"320"	""	"320"	""
"136"	"93"	"20"	"3"	"3"	"264"	"112"	"6"	"1"	"3"	"0"	"3"	"55"	"4"	"2"	"24"	"3"	"10"	"0"	"0"	"0"	"513"	""	"513"	""
"137"	"94"	"26"	"2"	"6"	"226"	"72"	"3"	"2"	"3"	"2"	"1"	"58"	"7"	"8"	"5"	"0"	"11"	"1"	"7"	"1"	"441"	""	"441"	""
"138"	"95"	"23"	"3"	"12"	"504"	"38"	"2"	"1"	"2"	"1"	"0"	"20"	"1"	"2"	"0"	"0"	"1"	"0"	"0"	"3"	"613"	""	"613"	""
"139"	"96"	"27"	"3"	"3"	"83"	"173"	"7"	"2"	"2"	"3"	"2"	"36"	"0"	"9"	"1"	"1"	"4"	"1"	"0"	"0"	"357"	""	"357"	""
"140"	"Candidates"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"141"	"Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"142"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"143"	"-------->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"BOTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"v"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"150"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
