"fo.kku.l.Hkk..ks..l.a....k...oa.uke..09.fl.dVk"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"fuokZpdksa dh dqy  l a[ ; k&195901"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"vH; FkhZ ds i {k esa Mky s x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"15"	"10"	"5"	"86"	"18"	"8"	"32"	"3"	"392"	"3"	"2"	"3"	"40"	"1"	"5"	"5"	"8"	"6"	"617"	""	"617"	""
"16"	"11"	"49"	"372"	"10"	"20"	"55"	"11"	"90"	"5"	"4"	"4"	"5"	"3"	"2"	"1"	"3"	"6"	"640"	""	"640"	""
"17"	"12"	"14"	"31"	"9"	"303"	"17"	"9"	"31"	"4"	"3"	"4"	"113"	"2"	"14"	"7"	"8"	"16"	"585"	""	"585"	""
"18"	"13"	"236"	"99"	"16"	"20"	"4"	"2"	"29"	"3"	"1"	"2"	"57"	"2"	"3"	"1"	"3"	"5"	"483"	""	"483"	""
"19"	"14"	"158"	"102"	"2"	"2"	"18"	"7"	"69"	"4"	"1"	"2"	"1"	"0"	"1"	"3"	"4"	"5"	"379"	""	"379"	""
"20"	"VksVy"	"722"	"2898"	"311"	"443"	"503"	"139"	"956"	"35"	"29"	"48"	"305"	"21"	"43"	"37"	"68"	"100"	"6658"	"0"	"6658"	"0"
"21"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"22"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"23"	"15"	"75"	"154"	"20"	"88"	"8"	"3"	"277"	"5"	"6"	"2"	"68"	"4"	"3"	"3"	"6"	"13"	"735"	""	"735"	""
"24"	"16"	"199"	"82"	"1"	"9"	"11"	"1"	"131"	"1"	"6"	"5"	"18"	"5"	"2"	"6"	"8"	"24"	"509"	""	"509"	""
"25"	"17"	"45"	"41"	"0"	"24"	"8"	"3"	"85"	"5"	"1"	"5"	"14"	"3"	"4"	"3"	"8"	"7"	"256"	""	"256"	""
"26"	"18"	"83"	"241"	"9"	"13"	"38"	"17"	"227"	"5"	"3"	"2"	"51"	"3"	"2"	"0"	"2"	"4"	"700"	""	"700"	""
"27"	"19"	"8"	"112"	"1"	"2"	"0"	"1"	"2"	"1"	"0"	"1"	"4"	"1"	"0"	"0"	"2"	"2"	"137"	""	"137"	""
"28"	"20"	"80"	"244"	"1"	"1"	"19"	"4"	"4"	"1"	"1"	"2"	"1"	"2"	"0"	"0"	"0"	"3"	"363"	""	"363"	""
"29"	"21"	"157"	"235"	"7"	"12"	"4"	"2"	"2"	"3"	"7"	"9"	"88"	"3"	"9"	"2"	"4"	"13"	"557"	""	"557"	""
"30"	"22"	"84"	"181"	"6"	"2"	"2"	"1"	"23"	"0"	"2"	"4"	"65"	"4"	"4"	"7"	"8"	"14"	"407"	""	"407"	""
"31"	"23"	"72"	"146"	"5"	"19"	"27"	"12"	"155"	"4"	"2"	"4"	"54"	"1"	"7"	"1"	"6"	"17"	"532"	""	"532"	""
"32"	"24"	"12"	"126"	"7"	"10"	"20"	"1"	"83"	"4"	"1"	"5"	"7"	"1"	"3"	"2"	"6"	"9"	"297"	""	"297"	""
"33"	"25"	"86"	"274"	"9"	"5"	"31"	"21"	"7"	"1"	"1"	"4"	"1"	"4"	"3"	"2"	"1"	"4"	"454"	""	"454"	""
"34"	"26"	"27"	"199"	"5"	"44"	"7"	"17"	"9"	"6"	"4"	"8"	"213"	"8"	"12"	"5"	"2"	"6"	"572"	""	"572"	""
"35"	"27"	"49"	"352"	"9"	"9"	"60"	"20"	"4"	"1"	"3"	"6"	"55"	"3"	"6"	"2"	"2"	"5"	"586"	""	"586"	""
"36"	"28"	"10"	"147"	"0"	"3"	"15"	"4"	"2"	"1"	"1"	"4"	"73"	"1"	"11"	"2"	"6"	"3"	"283"	""	"283"	""
"37"	"VksVy"	"987"	"2534"	"80"	"241"	"250"	"107"	"1011"	"38"	"38"	"61"	"712"	"43"	"66"	"35"	"61"	"124"	"6388"	"0"	"6388"	"0"
"38"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"39"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"40"	"29"	"16"	"258"	"0"	"11"	"16"	"8"	"4"	"4"	"1"	"2"	"121"	"2"	"4"	"5"	"2"	"8"	"462"	""	"462"	""
"41"	"30"	"12"	"184"	"2"	"14"	"32"	"16"	"11"	"1"	"2"	"5"	"286"	"4"	"10"	"2"	"3"	"20"	"604"	""	"604"	""
"42"	"31"	"16"	"217"	"73"	"7"	"64"	"9"	"4"	"3"	"3"	"7"	"250"	"4"	"14"	"1"	"2"	"8"	"682"	""	"682"	""
"43"	"32"	"24"	"222"	"4"	"5"	"16"	"10"	"1"	"2"	"3"	"4"	"55"	"1"	"1"	"0"	"1"	"7"	"356"	""	"356"	""
"44"	"33"	"8"	"76"	"3"	"1"	"63"	"0"	"1"	"1"	"0"	"1"	"3"	"2"	"0"	"1"	"1"	"4"	"165"	""	"165"	""
"45"	"34"	"32"	"140"	"1"	"4"	"3"	"3"	"13"	"2"	"4"	"2"	"90"	"5"	"9"	"3"	"6"	"12"	"329"	""	"329"	""
"46"	"35"	"12"	"16"	"4"	"17"	"79"	"5"	"3"	"2"	"2"	"3"	"368"	"3"	"13"	"0"	"2"	"2"	"531"	""	"531"	""
"47"	"36"	"14"	"98"	"10"	"10"	"68"	"0"	"2"	"2"	"3"	"5"	"63"	"0"	"6"	"1"	"1"	"6"	"289"	""	"289"	""
"48"	"37"	"17"	"281"	"3"	"3"	"2"	"7"	"14"	"1"	"2"	"3"	"254"	"6"	"10"	"3"	"2"	"8"	"616"	""	"616"	""
"49"	"38"	"17"	"235"	"47"	"7"	"12"	"15"	"7"	"5"	"6"	"16"	"165"	"10"	"6"	"4"	"9"	"5"	"566"	""	"566"	""
"50"	"39"	"19"	"195"	"3"	"17"	"24"	"28"	"4"	"6"	"2"	"7"	"176"	"5"	"10"	"1"	"4"	"6"	"507"	""	"507"	""
"51"	"40"	"18"	"170"	"3"	"2"	"10"	"21"	"8"	"2"	"1"	"1"	"0"	"3"	"2"	"2"	"3"	"11"	"257"	""	"257"	""
"52"	"41"	"26"	"200"	"4"	"11"	"10"	"4"	"46"	"1"	"3"	"1"	"55"	"4"	"4"	"5"	"3"	"3"	"380"	""	"380"	""
"53"	"42"	"56"	"230"	"5"	"3"	"42"	"5"	"4"	"0"	"0"	"1"	"2"	"2"	"1"	"1"	"1"	"3"	"356"	""	"356"	""
"54"	"VksVy"	"287"	"2522"	"162"	"112"	"441"	"131"	"122"	"32"	"32"	"58"	"1888"	"51"	"90"	"29"	"40"	"103"	"6100"	"0"	"6100"	"0"
"55"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"56"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"57"	"43"	"331"	"200"	"8"	"12"	"29"	"6"	"6"	"1"	"2"	"2"	"160"	"7"	"15"	"4"	"5"	"13"	"801"	""	"801"	""
"58"	"44"	"19"	"135"	"13"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"5"	"177"	""	"177"	""
"59"	"45"	"175"	"78"	"128"	"9"	"32"	"8"	"6"	"5"	"5"	"6"	"21"	"6"	"5"	"5"	"3"	"10"	"502"	""	"502"	""
"60"	"46"	"87"	"194"	"4"	"0"	"7"	"5"	"1"	"2"	"0"	"2"	"6"	"4"	"2"	"4"	"3"	"6"	"327"	""	"327"	""
"61"	"47"	"36"	"264"	"3"	"3"	"3"	"9"	"1"	"0"	"2"	"4"	"5"	"3"	"2"	"5"	"7"	"13"	"360"	""	"360"	""
"62"	"48"	"8"	"184"	"3"	"25"	"0"	"0"	"4"	"0"	"3"	"0"	"35"	"0"	"4"	"0"	"2"	"3"	"271"	""	"271"	""
"63"	"49"	"136"	"54"	"5"	"9"	"4"	"15"	"5"	"3"	"3"	"2"	"389"	"3"	"12"	"1"	"3"	"3"	"647"	""	"647"	""
"64"	"50"	"21"	"47"	"21"	"3"	"3"	"27"	"1"	"1"	"2"	"4"	"177"	"0"	"7"	"0"	"3"	"11"	"328"	""	"328"	""
"65"	"51"	"11"	"111"	"1"	"3"	"16"	"194"	"6"	"4"	"7"	"1"	"15"	"1"	"1"	"3"	"0"	"2"	"376"	""	"376"	""
"66"	"52"	"61"	"268"	"7"	"4"	"17"	"8"	"8"	"2"	"2"	"2"	"57"	"3"	"3"	"0"	"2"	"1"	"445"	""	"445"	""
"67"	"53"	"5"	"20"	"0"	"48"	"7"	"2"	"3"	"1"	"2"	"2"	"295"	"2"	"13"	"1"	"1"	"4"	"406"	""	"406"	""
"68"	"54"	"37"	"336"	"8"	"4"	"24"	"8"	"3"	"4"	"5"	"8"	"157"	"3"	"8"	"4"	"3"	"9"	"621"	""	"621"	""
"69"	"55"	"86"	"188"	"98"	"17"	"6"	"4"	"2"	"3"	"3"	"2"	"31"	"0"	"5"	"0"	"2"	"0"	"447"	""	"447"	""
"70"	"56"	"39"	"319"	"11"	"7"	"17"	"6"	"9"	"6"	"6"	"10"	"172"	"7"	"7"	"1"	"2"	"5"	"624"	""	"624"	""
"71"	"VksVy"	"1052"	"2398"	"310"	"144"	"166"	"293"	"55"	"32"	"42"	"46"	"1521"	"40"	"84"	"28"	"36"	"85"	"6332"	"0"	"6332"	"0"
"72"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"73"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"74"	"57"	"39"	"214"	"4"	"14"	"43"	"9"	"3"	"0"	"4"	"4"	"87"	"6"	"9"	"1"	"3"	"5"	"445"	""	"445"	""
"75"	"58"	"45"	"301"	"28"	"15"	"32"	"16"	"13"	"1"	"0"	"2"	"11"	"3"	"2"	"0"	"1"	"3"	"473"	""	"473"	""
"76"	"59"	"66"	"233"	"82"	"7"	"4"	"79"	"3"	"4"	"3"	"4"	"2"	"0"	"0"	"3"	"5"	"9"	"504"	""	"504"	""
"77"	"60"	"56"	"274"	"33"	"2"	"3"	"11"	"2"	"1"	"2"	"5"	"26"	"5"	"7"	"3"	"3"	"8"	"441"	""	"441"	""
"78"	"61"	"21"	"296"	"43"	"4"	"36"	"21"	"3"	"4"	"1"	"2"	"8"	"6"	"1"	"3"	"2"	"9"	"460"	""	"460"	""
"79"	"62"	"21"	"136"	"0"	"4"	"49"	"35"	"5"	"4"	"2"	"4"	"48"	"2"	"2"	"3"	"2"	"7"	"324"	""	"324"	""
"80"	"63"	"14"	"265"	"2"	"1"	"146"	"3"	"2"	"3"	"0"	"1"	"43"	"0"	"2"	"1"	"0"	"0"	"483"	""	"483"	""
"81"	"64"	"27"	"170"	"23"	"8"	"34"	"15"	"3"	"0"	"7"	"5"	"118"	"4"	"7"	"4"	"7"	"17"	"449"	""	"449"	""
"82"	"65"	"8"	"24"	"6"	"25"	"74"	"5"	"0"	"2"	"4"	"3"	"462"	"7"	"17"	"6"	"8"	"27"	"678"	""	"678"	""
"83"	"66"	"12"	"97"	"0"	"9"	"42"	"2"	"2"	"1"	"0"	"4"	"428"	"3"	"4"	"1"	"3"	"4"	"612"	""	"612"	""
"84"	"67"	"61"	"368"	"4"	"27"	"76"	"8"	"6"	"1"	"3"	"6"	"94"	"2"	"4"	"5"	"2"	"5"	"672"	""	"672"	""
"85"	"68"	"109"	"151"	"56"	"1"	"59"	"1"	"6"	"4"	"2"	"1"	"41"	"1"	"4"	"2"	"6"	"3"	"447"	""	"447"	""
"86"	"69"	"145"	"381"	"6"	"4"	"7"	"172"	"2"	"0"	"1"	"2"	"6"	"0"	"0"	"3"	"3"	"2"	"734"	""	"734"	""
"87"	"70"	"252"	"168"	"2"	"13"	"61"	"3"	"5"	"3"	"2"	"1"	"4"	"1"	"1"	"0"	"3"	"5"	"524"	""	"524"	""
"88"	"VksVy"	"876"	"3078"	"289"	"134"	"666"	"380"	"55"	"28"	"31"	"44"	"1378"	"40"	"60"	"35"	"48"	"104"	"7246"	"0"	"7246"	"0"
"89"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"90"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"91"	"71"	"11"	"61"	"1"	"45"	"23"	"2"	"2"	"0"	"3"	"2"	"290"	"2"	"11"	"2"	"1"	"4"	"460"	""	"460"	""
"92"	"72"	"7"	"88"	"28"	"8"	"40"	"9"	"1"	"2"	"2"	"2"	"246"	"4"	"8"	"2"	"4"	"4"	"455"	""	"455"	""
"93"	"73"	"85"	"186"	"11"	"5"	"10"	"46"	"2"	"0"	"2"	"0"	"11"	"2"	"1"	"4"	"6"	"10"	"381"	""	"381"	""
"94"	"74"	"68"	"375"	"15"	"3"	"33"	"122"	"3"	"1"	"6"	"3"	"16"	"2"	"0"	"2"	"1"	"8"	"658"	""	"658"	""
"95"	"75"	"18"	"205"	"2"	"4"	"25"	"217"	"9"	"5"	"9"	"6"	"13"	"7"	"11"	"8"	"7"	"22"	"568"	""	"568"	""
"96"	"76"	"19"	"185"	"8"	"7"	"129"	"5"	"4"	"0"	"0"	"0"	"7"	"4"	"0"	"2"	"2"	"6"	"378"	""	"378"	""
"97"	"77"	"34"	"306"	"16"	"12"	"65"	"4"	"3"	"0"	"4"	"4"	"9"	"6"	"0"	"4"	"6"	"2"	"475"	""	"475"	""
"98"	"78"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"99"	"79"	"35"	"259"	"9"	"9"	"7"	"93"	"4"	"2"	"0"	"1"	"0"	"3"	"1"	"1"	"1"	"1"	"426"	""	"426"	""
"100"	"80"	"95"	"217"	"2"	"5"	"43"	"5"	"4"	"1"	"1"	"2"	"31"	"0"	"2"	"0"	"1"	"6"	"415"	""	"415"	""
"101"	"81"	"23"	"122"	"15"	"1"	"9"	"6"	"5"	"0"	"2"	"1"	"14"	"2"	"1"	"1"	"6"	"7"	"215"	""	"215"	""
"102"	"82"	"10"	"47"	"2"	"2"	"103"	"29"	"2"	"2"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"202"	""	"202"	""
"103"	"83"	"47"	"191"	"2"	"1"	"3"	"4"	"2"	"1"	"3"	"6"	"48"	"2"	"2"	"3"	"4"	"6"	"325"	""	"325"	""
"104"	"84"	"29"	"279"	"23"	"2"	"59"	"5"	"0"	"0"	"0"	"2"	"22"	"3"	"4"	"1"	"2"	"1"	"432"	""	"432"	""
"105"	"VksVy"	"481"	"2521"	"134"	"104"	"549"	"547"	"41"	"14"	"33"	"29"	"708"	"38"	"41"	"30"	"42"	"78"	"5390"	"0"	"5390"	"0"
"106"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"107"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"108"	"85"	"45"	"398"	"9"	"4"	"69"	"22"	"6"	"2"	"2"	"5"	"94"	"2"	"8"	"0"	"2"	"11"	"679"	""	"679"	""
"109"	"86"	"32"	"163"	"4"	"7"	"43"	"6"	"3"	"1"	"7"	"5"	"137"	"2"	"14"	"0"	"1"	"4"	"429"	""	"429"	""
"110"	"87"	"2"	"130"	"56"	"6"	"48"	"3"	"2"	"2"	"1"	"1"	"180"	"1"	"4"	"2"	"4"	"2"	"444"	""	"444"	""
"111"	"88"	"11"	"269"	"9"	"2"	"51"	"5"	"0"	"4"	"1"	"2"	"43"	"2"	"6"	"1"	"0"	"2"	"408"	""	"408"	""
"112"	"89"	"30"	"222"	"3"	"11"	"4"	"0"	"4"	"3"	"1"	"5"	"246"	"2"	"15"	"0"	"6"	"3"	"555"	""	"555"	""
"113"	"90"	"106"	"228"	"6"	"3"	"72"	"6"	"1"	"5"	"2"	"1"	"58"	"2"	"7"	"3"	"3"	"15"	"518"	""	"518"	""
"114"	"91"	"35"	"223"	"36"	"1"	"62"	"2"	"3"	"1"	"2"	"2"	"4"	"0"	"0"	"2"	"1"	"0"	"374"	""	"374"	""
"115"	"92"	"130"	"138"	"16"	"4"	"2"	"5"	"3"	"4"	"0"	"2"	"46"	"2"	"9"	"3"	"0"	"8"	"372"	""	"372"	""
"116"	"93"	"26"	"190"	"8"	"8"	"28"	"59"	"3"	"3"	"6"	"2"	"68"	"1"	"15"	"2"	"8"	"5"	"432"	""	"432"	""
"117"	"94"	"25"	"350"	"7"	"22"	"40"	"10"	"7"	"7"	"0"	"6"	"50"	"4"	"7"	"4"	"9"	"19"	"567"	""	"567"	""
"118"	"95"	"17"	"103"	"42"	"4"	"59"	"94"	"9"	"2"	"4"	"4"	"100"	"3"	"1"	"1"	"1"	"4"	"448"	""	"448"	""
"119"	"96"	"68"	"356"	"18"	"12"	"14"	"17"	"4"	"4"	"5"	"4"	"81"	"5"	"4"	"2"	"4"	"7"	"605"	""	"605"	""
"120"	"97"	"17"	"130"	"13"	"16"	"78"	"8"	"3"	"3"	"4"	"1"	"155"	"2"	"6"	"0"	"2"	"12"	"450"	""	"450"	""
"121"	"98"	"93"	"264"	"30"	"12"	"28"	"2"	"3"	"3"	"1"	"3"	"30"	"0"	"4"	"0"	"3"	"13"	"489"	""	"489"	""
"122"	"VksVy"	"637"	"3164"	"257"	"112"	"598"	"239"	"51"	"44"	"36"	"43"	"1292"	"28"	"100"	"20"	"44"	"105"	"6770"	"0"	"6770"	"0"
"123"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"124"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"125"	"99"	"22"	"25"	"2"	"9"	"2"	"3"	"7"	"6"	"17"	"54"	"571"	"9"	"24"	"1"	"2"	"4"	"758"	""	"758"	""
"126"	"100"	"73"	"355"	"17"	"12"	"29"	"11"	"5"	"7"	"10"	"9"	"172"	"5"	"17"	"3"	"5"	"15"	"745"	""	"745"	""
"127"	"101"	"22"	"66"	"26"	"6"	"85"	"2"	"4"	"6"	"0"	"4"	"237"	"4"	"11"	"3"	"4"	"3"	"483"	""	"483"	""
"128"	"102"	"32"	"48"	"1"	"6"	"26"	"0"	"2"	"0"	"1"	"2"	"280"	"0"	"6"	"0"	"0"	"1"	"405"	""	"405"	""
"129"	"103"	"92"	"80"	"0"	"1"	"13"	"1"	"1"	"2"	"2"	"6"	"190"	"2"	"10"	"5"	"3"	"5"	"413"	""	"413"	""
"130"	"104"	"57"	"233"	"37"	"6"	"76"	"9"	"0"	"6"	"0"	"5"	"113"	"4"	"13"	"0"	"2"	"6"	"567"	""	"567"	""
"131"	"105"	"21"	"170"	"4"	"10"	"29"	"4"	"2"	"2"	"5"	"8"	"336"	"8"	"25"	"4"	"8"	"26"	"662"	""	"662"	""
"132"	"106"	"10"	"210"	"4"	"3"	"2"	"1"	"2"	"0"	"0"	"0"	"90"	"0"	"3"	"1"	"0"	"2"	"328"	""	"328"	""
