"X."	"X.U.092E..U.0924..U.0926..U.093E..U.0928...U.0915..U.0947......U.0915....U.0938..U.0902.0"	"X..U.0928...U.0928...U.0932.f..U.0916..U.0924...U.0915..U.0947....U.092A....U.092E.....U.0926..U.092F..U.0947...U.0917..U.090F....U.0935...U.0927..U.092E..U.093E...U.092F...U.092E..U.0924....U.0915....U.0938..U.0902...U.092F..U.093E."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X.U.0915..U.0941...U.0932....U.0935...U.0927..U.092E..U.093E....U.092F...U.092E..U.0924."	"X...U.0924...U.0947...U.092A..U.0924...U.092E..U.0924..U.094B...U.0915....U.0938..U.0902...U.092F..U.093E."	"X.U.092F..U.094B..U.0917."	"X..U.0928...U.0935..U.0926..U.0924...U.092E..U.0924..U.094B...U.0915....U.0938..U.0902...U.092F..U.093E."
"11"	""	"9"	"2"	"5"	"144"	"28"	"1"	"1"	"3"	"0"	"4"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"192"	""	"192"	""
"12"	""	"10"	"32"	"45"	"101"	"49"	"0"	"0"	"3"	"1"	"4"	"2"	"0"	"0"	"2"	"3"	"0"	"2"	"244"	""	"244"	""
"13"	""	"11"	"47"	"2"	"250"	"43"	"6"	"59"	"2"	"0"	"6"	"1"	"19"	"2"	"8"	"4"	"1"	"10"	"460"	""	"460"	""
"14"	""	"12"	"48"	"11"	"123"	"105"	"3"	"1"	"4"	"0"	"4"	"0"	"2"	"2"	"2"	"5"	"2"	"4"	"316"	""	"316"	""
"15"	""	"13"	"21"	"91"	"123"	"24"	"10"	"0"	"1"	"0"	"44"	"0"	"3"	"0"	"3"	"4"	"1"	"7"	"332"	""	"332"	""
"16"	""	"14"	"85"	"11"	"175"	"98"	"12"	"34"	"3"	"9"	"125"	"2"	"12"	"2"	"14"	"17"	"3"	"19"	"621"	""	"621"	""
"17"	"<U+092F><U+094B><U+0917>"	""	"503"	"322"	"1962"	"1293"	"68"	"164"	"30"	"18"	"373"	"18"	"76"	"23"	"64"	"52"	"23"	"68"	"5057"	""	"5057"	""
"18"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"
"19"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""
"20"	""	"15"	"40"	"17"	"93"	"29"	"4"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"3"	"3"	"6"	"200"	""	"200"	""
"21"	""	"16"	"109"	"0"	"75"	"87"	"1"	"10"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"286"	""	"286"	""
"22"	""	"17"	"43"	"2"	"61"	"169"	"7"	"14"	"2"	"1"	"5"	"1"	"2"	"3"	"5"	"2"	"4"	"2"	"323"	""	"323"	""
"23"	""	"18"	"40"	"30"	"147"	"170"	"5"	"28"	"6"	"2"	"35"	"3"	"2"	"3"	"5"	"6"	"5"	"3"	"490"	""	"490"	""
"24"	""	"19"	"24"	"22"	"95"	"112"	"9"	"102"	"4"	"1"	"16"	"2"	"5"	"2"	"4"	"4"	"2"	"3"	"407"	""	"407"	""
"25"	""	"20"	"8"	"5"	"93"	"140"	"5"	"7"	"1"	"1"	"2"	"3"	"4"	"0"	"2"	"1"	"2"	"1"	"275"	""	"275"	""
"26"	""	"21"	"24"	"9"	"64"	"95"	"5"	"7"	"2"	"1"	"13"	"0"	"6"	"1"	"8"	"5"	"0"	"4"	"244"	""	"244"	""
"27"	""	"22"	"12"	"8"	"198"	"69"	"1"	"6"	"0"	"0"	"2"	"1"	"2"	"3"	"5"	"2"	"1"	"5"	"315"	""	"315"	""
"28"	""	"23"	"33"	"6"	"25"	"149"	"5"	"3"	"0"	"0"	"3"	"0"	"4"	"0"	"3"	"1"	"0"	"3"	"235"	""	"235"	""
"29"	""	"24"	"33"	"57"	"95"	"159"	"13"	"10"	"0"	"1"	"2"	"4"	"4"	"1"	"10"	"6"	"2"	"6"	"403"	""	"403"	""
"30"	""	"25"	"17"	"15"	"176"	"118"	"3"	"22"	"4"	"1"	"3"	"1"	"2"	"1"	"4"	"3"	"1"	"1"	"372"	""	"372"	""
"31"	""	"26"	"116"	"9"	"141"	"63"	"1"	"23"	"0"	"0"	"6"	"0"	"3"	"0"	"0"	"5"	"0"	"0"	"367"	""	"367"	""
"32"	""	"27"	"69"	"55"	"62"	"88"	"2"	"8"	"2"	"1"	"0"	"2"	"6"	"1"	"6"	"3"	"3"	"3"	"311"	""	"311"	""
"33"	""	"28"	"137"	"16"	"112"	"178"	"4"	"53"	"1"	"1"	"2"	"2"	"3"	"1"	"0"	"1"	"2"	"1"	"514"	""	"514"	""
"34"	"<U+092F><U+094B><U+0917>"	""	"705"	"251"	"1437"	"1626"	"65"	"293"	"22"	"10"	"97"	"19"	"43"	"16"	"52"	"43"	"25"	"38"	"4742"	""	"4742"	""
"35"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"
"36"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""
"37"	""	"29"	"33"	"2"	"154"	"110"	"4"	"11"	"0"	"0"	"2"	"1"	"1"	"3"	"6"	"7"	"2"	"5"	"341"	""	"341"	""
"38"	""	"30"	"104"	"75"	"113"	"146"	"3"	"2"	"2"	"1"	"3"	"3"	"4"	"3"	"4"	"2"	"2"	"5"	"472"	""	"472"	""
"39"	""	"31"	"76"	"9"	"369"	"98"	"1"	"9"	"3"	"1"	"3"	"2"	"9"	"5"	"14"	"5"	"1"	"6"	"611"	""	"611"	""
"40"	""	"32"	"56"	"2"	"119"	"64"	"1"	"18"	"1"	"3"	"78"	"4"	"3"	"0"	"5"	"2"	"1"	"1"	"358"	""	"358"	""
"41"	""	"33"	"4"	"0"	"153"	"100"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"3"	"1"	"0"	"1"	"265"	""	"265"	""
"42"	""	"34"	"13"	"8"	"226"	"446"	"8"	"13"	"1"	"3"	"11"	"2"	"14"	"3"	"6"	"4"	"2"	"6"	"766"	""	"766"	""
"43"	""	"35"	"14"	"154"	"46"	"361"	"10"	"4"	"1"	"3"	"12"	"2"	"4"	"3"	"6"	"1"	"4"	"3"	"628"	""	"628"	""
"44"	""	"36"	"12"	"3"	"241"	"58"	"3"	"2"	"0"	"2"	"7"	"1"	"4"	"0"	"4"	"4"	"0"	"6"	"347"	""	"347"	""
"45"	""	"37"	"20"	"63"	"80"	"146"	"5"	"4"	"3"	"0"	"8"	"1"	"2"	"1"	"4"	"7"	"1"	"9"	"354"	""	"354"	""
"46"	""	"38"	"10"	"6"	"76"	"145"	"3"	"10"	"0"	"1"	"12"	"1"	"4"	"0"	"1"	"0"	"0"	"1"	"270"	""	"270"	""
"47"	""	"39"	"128"	"2"	"68"	"128"	"7"	"12"	"1"	"5"	"45"	"0"	"2"	"3"	"0"	"0"	"1"	"9"	"411"	""	"411"	""
"48"	""	"40"	"17"	"1"	"85"	"85"	"5"	"15"	"1"	"1"	"9"	"3"	"5"	"3"	"8"	"5"	"1"	"4"	"248"	""	"248"	""
"49"	""	"41"	"9"	"69"	"166"	"126"	"3"	"0"	"0"	"0"	"8"	"0"	"2"	"0"	"1"	"0"	"1"	"0"	"385"	""	"385"	""
"50"	""	"42"	"65"	"11"	"269"	"143"	"8"	"12"	"2"	"1"	"20"	"1"	"5"	"1"	"2"	"5"	"0"	"5"	"550"	""	"550"	""
"51"	"<U+092F><U+094B><U+0917>"	""	"561"	"405"	"2165"	"2156"	"61"	"113"	"15"	"21"	"218"	"22"	"60"	"25"	"64"	"43"	"16"	"61"	"6006"	""	"6006"	""
"52"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"
"53"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""
"54"	""	"43"	"4"	"0"	"258"	"193"	"10"	"0"	"0"	"2"	"33"	"4"	"5"	"1"	"3"	"4"	"0"	"4"	"521"	""	"521"	""
"55"	""	"44"	"12"	"22"	"155"	"201"	"8"	"60"	"4"	"3"	"17"	"1"	"5"	"3"	"16"	"11"	"4"	"7"	"529"	""	"529"	""
"56"	""	"45"	"31"	"16"	"191"	"141"	"7"	"45"	"5"	"7"	"11"	"4"	"3"	"2"	"6"	"6"	"1"	"4"	"480"	""	"480"	""
"57"	""	"46"	"23"	"9"	"116"	"286"	"5"	"35"	"1"	"3"	"16"	"2"	"6"	"0"	"1"	"0"	"1"	"4"	"508"	""	"508"	""
"58"	""	"47"	"17"	"2"	"245"	"303"	"15"	"32"	"7"	"7"	"44"	"4"	"4"	"9"	"10"	"5"	"3"	"5"	"712"	""	"712"	""
"59"	""	"48"	"61"	"9"	"143"	"312"	"12"	"24"	"2"	"3"	"22"	"7"	"13"	"3"	"15"	"7"	"13"	"20"	"666"	""	"666"	""
"60"	""	"49"	"122"	"2"	"108"	"284"	"9"	"18"	"0"	"3"	"39"	"2"	"8"	"3"	"7"	"3"	"1"	"7"	"616"	""	"616"	""
"61"	""	"50"	"32"	"4"	"343"	"56"	"5"	"8"	"1"	"1"	"18"	"3"	"2"	"2"	"3"	"12"	"3"	"6"	"499"	""	"499"	""
"62"	""	"51"	"53"	"22"	"159"	"251"	"18"	"57"	"4"	"6"	"77"	"7"	"22"	"5"	"7"	"4"	"4"	"6"	"702"	""	"702"	""
"63"	""	"52"	"7"	"25"	"321"	"130"	"10"	"31"	"0"	"3"	"3"	"4"	"3"	"0"	"3"	"6"	"4"	"4"	"554"	""	"554"	""
"64"	""	"53"	"54"	"2"	"72"	"344"	"7"	"26"	"2"	"1"	"11"	"2"	"4"	"5"	"4"	"4"	"2"	"5"	"545"	""	"545"	""
"65"	""	"54"	"153"	"9"	"204"	"177"	"6"	"27"	"0"	"1"	"5"	"4"	"18"	"1"	"4"	"5"	"4"	"10"	"628"	""	"628"	""
"66"	""	"55"	"20"	"2"	"126"	"153"	"2"	"32"	"0"	"1"	"15"	"0"	"11"	"3"	"5"	"3"	"0"	"5"	"378"	""	"378"	""
"67"	""	"56"	"31"	"31"	"168"	"195"	"7"	"19"	"2"	"0"	"11"	"5"	"8"	"3"	"11"	"9"	"4"	"13"	"517"	""	"517"	""
"68"	"<U+092F><U+094B><U+0917>"	""	"620"	"155"	"2609"	"3026"	"121"	"414"	"28"	"41"	"322"	"49"	"112"	"40"	"95"	"79"	"44"	"100"	"7855"	""	"7855"	""
"69"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"
"70"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""
"71"	""	"57"	"16"	"3"	"44"	"199"	"3"	"28"	"2"	"4"	"7"	"7"	"10"	"2"	"5"	"0"	"3"	"2"	"335"	""	"335"	""
"72"	""	"58"	"86"	"12"	"37"	"71"	"2"	"11"	"0"	"4"	"65"	"0"	"2"	"0"	"0"	"0"	"2"	"2"	"294"	""	"294"	""
"73"	""	"59"	"97"	"4"	"96"	"134"	"4"	"12"	"1"	"1"	"4"	"0"	"2"	"2"	"3"	"3"	"3"	"7"	"373"	""	"373"	""
"74"	""	"60"	"7"	"0"	"242"	"7"	"2"	"8"	"1"	"0"	"5"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"275"	""	"275"	""
"75"	""	"61"	"73"	"41"	"145"	"70"	"2"	"11"	"4"	"1"	"1"	"4"	"11"	"0"	"1"	"0"	"1"	"2"	"367"	""	"367"	""
"76"	""	"62"	"10"	"19"	"121"	"372"	"8"	"33"	"3"	"2"	"8"	"1"	"9"	"2"	"5"	"3"	"1"	"3"	"600"	""	"600"	""
"77"	""	"63"	"92"	"4"	"57"	"34"	"2"	"1"	"1"	"0"	"0"	"0"	"2"	"0"	"3"	"1"	"0"	"5"	"202"	""	"202"	""
"78"	""	"64"	"65"	"77"	"215"	"23"	"1"	"23"	"1"	"0"	"13"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"422"	""	"422"	""
"79"	""	"65"	"55"	"4"	"161"	"15"	"1"	"1"	"0"	"0"	"7"	"0"	"9"	"0"	"1"	"0"	"0"	"0"	"254"	""	"254"	""
"80"	""	"66"	"88"	"7"	"73"	"136"	"5"	"100"	"0"	"2"	"7"	"3"	"3"	"1"	"10"	"1"	"2"	"2"	"440"	""	"440"	""
"81"	""	"67"	"18"	"1"	"14"	"56"	"3"	"24"	"0"	"1"	"0"	"2"	"3"	"0"	"5"	"4"	"5"	"4"	"140"	""	"140"	""
"82"	""	"68"	"140"	"18"	"69"	"126"	"3"	"43"	"3"	"1"	"1"	"3"	"6"	"5"	"0"	"0"	"7"	"6"	"431"	""	"431"	""
"83"	""	"69"	"4"	"12"	"62"	"131"	"5"	"54"	"2"	"0"	"2"	"4"	"1"	"3"	"4"	"0"	"2"	"4"	"290"	""	"290"	""
"84"	""	"70"	"17"	"0"	"54"	"94"	"2"	"58"	"0"	"1"	"0"	"1"	"2"	"0"	"1"	"1"	"0"	"3"	"234"	""	"234"	""
