"fo.kku.l.Hkk...k.M.l.a....k...oa.uke..12.uj.dfV..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"fuokZpdksa dh dqy  l a[ ; k&205485"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"vfUr e i fj .kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"02&i f' pe  pEi kj . k  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"vH; FkhZ ds i {k esa Mky s x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"er nku dsUnz
l a[ ; k"	"vfu: )
i zl kn mQZ l k/kq ; kno"	"i zdk' k >k"	"j kekJ; fl ag"	"' kEHkw i zl kn xqIr k"	"Mk0 l at ; t k; l oky"	"QS; kt qy vkt e"	"eukst   dqekj"	"l S; n ' kehe v[ r j"	"uQhl vgen"	"Jheku feJk"	"l S; n bj l kn v[ r j"	"oS|  er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"60"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"61"	"43"	"293"	"90"	"26"	"5"	"50"	"6"	"6"	"12"	"13"	"7"	"7"	"515"	""	"515"	""
"62"	"44"	"42"	"115"	"5"	"4"	"203"	"7"	"8"	"1"	"5"	"5"	"4"	"399"	""	"399"	""
"63"	"45"	"56"	"24"	"0"	"52"	"148"	"9"	"8"	"2"	"2"	"6"	"5"	"312"	""	"312"	""
"64"	"46"	"316"	"40"	"6"	"21"	"45"	"3"	"0"	"1"	"3"	"1"	"2"	"438"	""	"438"	""
"65"	"47"	"52"	"198"	"11"	"9"	"340"	"20"	"7"	"3"	"8"	"11"	"6"	"665"	""	"665"	""
"66"	"48"	"27"	"82"	"7"	"20"	"333"	"26"	"17"	"3"	"7"	"18"	"30"	"570"	""	"570"	""
"67"	"49"	"9"	"20"	"0"	"4"	"111"	"6"	"2"	"3"	"2"	"3"	"2"	"162"	""	"162"	""
"68"	"50"	"18"	"89"	"4"	"7"	"324"	"8"	"9"	"1"	"7"	"7"	"18"	"492"	""	"492"	""
"69"	"51"	"23"	"103"	"3"	"7"	"154"	"7"	"6"	"2"	"4"	"14"	"10"	"333"	""	"333"	""
"70"	"52"	"70"	"62"	"13"	"14"	"360"	"19"	"14"	"1"	"10"	"7"	"5"	"575"	""	"575"	""
"71"	"53"	"30"	"28"	"5"	"20"	"489"	"17"	"34"	"4"	"12"	"14"	"15"	"668"	""	"668"	""
"72"	"54"	"109"	"108"	"7"	"6"	"62"	"5"	"1"	"1"	"2"	"1"	"1"	"303"	""	"303"	""
"73"	"55"	"75"	"152"	"16"	"2"	"65"	"4"	"6"	"3"	"1"	"4"	"4"	"332"	""	"332"	""
"74"	"56"	"231"	"200"	"5"	"12"	"116"	"6"	"6"	"4"	"2"	"15"	"18"	"615"	""	"615"	""
"75"	"VksVy"	"1351"	"1311"	"108"	"183"	"2800"	"143"	"124"	"41"	"78"	"113"	"127"	"6379"	"0"	"6379"	"0"
"76"	"fo/kku l Hkk [ k.M l a[ ; k , oa uke &12&uj dfV; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"fuokZpdksa dh dqy  l a[ ; k&205485"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"vfUr e i fj .kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"02&i f' pe  pEi kj . k  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"vH; FkhZ ds i {k esa Mky s x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"er nku dsUnz
l a[ ; k"	"vfu: )
i zl kn mQZ l k/kq ; kno"	"i zdk' k >k"	"j kekJ; fl ag"	"' kEHkw i zl kn xqIr k"	"Mk0 l at ; t k; l oky"	"QS; kt qy vkt e"	"eukst   dqekj"	"l S; n ' kehe v[ r j"	"uQhl vgen"	"Jheku feJk"	"l S; n bj l kn v[ r j"	"oS|  er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"84"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"85"	"57"	"31"	"53"	"2"	"2"	"306"	"10"	"3"	"2"	"0"	"8"	"7"	"424"	""	"424"	""
"86"	"58"	"128"	"230"	"8"	"1"	"170"	"7"	"10"	"3"	"5"	"4"	"7"	"573"	""	"573"	""
"87"	"59"	"85"	"187"	"4"	"2"	"109"	"4"	"3"	"2"	"2"	"7"	"2"	"407"	""	"407"	""
"88"	"60"	"195"	"43"	"10"	"5"	"5"	"0"	"0"	"0"	"2"	"1"	"0"	"261"	""	"261"	""
"89"	"61"	"52"	"212"	"4"	"6"	"203"	"8"	"1"	"4"	"6"	"12"	"4"	"512"	""	"512"	""
"90"	"62"	"149"	"345"	"28"	"5"	"33"	"1"	"1"	"2"	"0"	"4"	"3"	"571"	""	"571"	""
"91"	"63"	"122"	"255"	"10"	"8"	"73"	"2"	"3"	"8"	"8"	"14"	"9"	"512"	""	"512"	""
"92"	"64"	"118"	"156"	"48"	"8"	"85"	"1"	"2"	"2"	"2"	"3"	"0"	"425"	""	"425"	""
"93"	"65"	"45"	"14"	"0"	"1"	"289"	"7"	"4"	"0"	"1"	"5"	"1"	"367"	""	"367"	""
"94"	"66"	"39"	"44"	"3"	"35"	"115"	"8"	"7"	"2"	"3"	"1"	"5"	"262"	""	"262"	""
"95"	"67"	"28"	"104"	"6"	"22"	"148"	"11"	"8"	"1"	"5"	"5"	"7"	"345"	""	"345"	""
"96"	"68"	"14"	"87"	"25"	"1"	"2"	"1"	"2"	"0"	"4"	"2"	"0"	"138"	""	"138"	""
"97"	"69"	"21"	"93"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"3"	"0"	"119"	""	"119"	""
"98"	"70"	"69"	"96"	"9"	"37"	"125"	"8"	"12"	"4"	"1"	"8"	"5"	"374"	""	"374"	""
"99"	"VksVy"	"1096"	"1919"	"158"	"133"	"1664"	"68"	"56"	"30"	"39"	"77"	"50"	"5290"	"0"	"5290"	"0"
"100"	"er nku dsUnz
l a[ ; k"	"vfu: )
i zl kn mQZ l k/kq ; kno"	"i zdk' k >k"	"j kekJ; fl ag"	"' kEHkw i zl kn xqIr k"	"Mk0 l at ; t k; l oky"	"QS; kt qy vkt e"	"eukst   dqekj"	"l S; n ' kehe v[ r j"	"uQhl vgen"	"Jheku feJk"	"l S; n bj l kn v[ r j"	"oS|  er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"101"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"102"	"71"	"88"	"295"	"11"	"7"	"228"	"7"	"25"	"1"	"9"	"19"	"7"	"697"	""	"697"	""
"103"	"72"	"30"	"202"	"17"	"7"	"252"	"7"	"4"	"3"	"8"	"13"	"10"	"553"	""	"553"	""
"104"	"73"	"50"	"195"	"7"	"11"	"62"	"11"	"8"	"2"	"14"	"11"	"16"	"387"	""	"387"	""
"105"	"74"	"126"	"98"	"8"	"6"	"131"	"5"	"5"	"2"	"3"	"10"	"2"	"396"	""	"396"	""
"106"	"75"	"49"	"220"	"2"	"7"	"53"	"0"	"6"	"1"	"10"	"7"	"5"	"360"	""	"360"	""
"107"	"76"	"23"	"164"	"5"	"5"	"113"	"8"	"3"	"1"	"5"	"6"	"3"	"336"	""	"336"	""
"108"	"77"	"13"	"162"	"4"	"2"	"128"	"3"	"4"	"8"	"2"	"6"	"0"	"332"	""	"332"	""
"109"	"78"	"11"	"207"	"4"	"2"	"73"	"1"	"2"	"0"	"2"	"5"	"0"	"307"	""	"307"	""
"110"	"79"	"40"	"182"	"3"	"15"	"90"	"1"	"0"	"0"	"6"	"9"	"6"	"352"	""	"352"	""
"111"	"80"	"23"	"310"	"7"	"10"	"137"	"7"	"10"	"1"	"8"	"12"	"10"	"535"	""	"535"	""
"112"	"81"	"11"	"233"	"2"	"66"	"24"	"0"	"3"	"0"	"2"	"0"	"0"	"341"	""	"341"	""
"113"	"82"	"123"	"139"	"3"	"17"	"404"	"22"	"10"	"3"	"12"	"18"	"30"	"781"	""	"781"	""
"114"	"83"	"61"	"139"	"4"	"2"	"23"	"1"	"6"	"2"	"5"	"17"	"10"	"270"	""	"270"	""
"115"	"84"	"29"	"92"	"0"	"5"	"123"	"3"	"0"	"4"	"2"	"7"	"1"	"266"	""	"266"	""
"116"	"VksVy"	"677"	"2638"	"77"	"162"	"1841"	"76"	"86"	"28"	"88"	"140"	"100"	"5913"	"0"	"5913"	"0"
"117"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"er nku dsUnz
l a[ ; k"	"vfu: )
i zl kn mQZ l k/kq ; kno"	"i zdk' k >k"	"j kekJ; fl ag"	"' kEHkw i zl kn xqIr k"	"Mk0 l at ; t k; l oky"	"QS; kt qy vkt e"	"eukst   dqekj"	"l S; n ' kehe v[ r j"	"uQhl vgen"	"Jheku feJk"	"l S; n bj l kn v[ r j"	"oS|  er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"119"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"120"	"85"	"43"	"62"	"7"	"13"	"98"	"5"	"3"	"1"	"1"	"0"	"5"	"238"	""	"238"	""
"121"	"86"	"60"	"186"	"5"	"10"	"82"	"4"	"10"	"4"	"9"	"18"	"23"	"411"	""	"411"	""
"122"	"87"	"105"	"102"	"10"	"37"	"141"	"7"	"7"	"5"	"8"	"17"	"16"	"455"	""	"455"	""
"123"	"88"	"68"	"113"	"5"	"72"	"125"	"9"	"17"	"4"	"6"	"8"	"15"	"442"	""	"442"	""
"124"	"89"	"86"	"235"	"20"	"38"	"214"	"14"	"6"	"5"	"12"	"11"	"9"	"650"	""	"650"	""
"125"	"90"	"68"	"413"	"4"	"18"	"65"	"4"	"1"	"1"	"1"	"2"	"0"	"577"	""	"577"	""
"126"	"91"	"368"	"137"	"8"	"2"	"61"	"2"	"1"	"2"	"6"	"2"	"3"	"592"	""	"592"	""
"127"	"92"	"156"	"221"	"5"	"4"	"153"	"9"	"9"	"0"	"1"	"11"	"5"	"574"	""	"574"	""
"128"	"93"	"43"	"124"	"38"	"54"	"164"	"8"	"6"	"4"	"5"	"6"	"5"	"457"	""	"457"	""
"129"	"94"	"124"	"269"	"62"	"13"	"41"	"10"	"17"	"7"	"18"	"23"	"13"	"597"	""	"597"	""
"130"	"95"	"31"	"142"	"18"	"60"	"383"	"14"	"14"	"4"	"12"	"23"	"28"	"729"	""	"729"	""
"131"	"96"	"14"	"187"	"17"	"9"	"309"	"16"	"10"	"3"	"13"	"20"	"13"	"611"	""	"611"	""
"132"	"97"	"58"	"81"	"14"	"25"	"314"	"17"	"5"	"5"	"5"	"5"	"5"	"534"	""	"534"	""
"133"	"98"	"79"	"133"	"2"	"60"	"198"	"10"	"7"	"6"	"3"	"14"	"22"	"534"	""	"534"	""
"134"	"VksVy"	"1303"	"2405"	"215"	"415"	"2348"	"129"	"113"	"51"	"100"	"160"	"162"	"7401"	"0"	"7401"	"0"
"135"	"er nku dsUnz
l a[ ; k"	"vfu: )
i zl kn mQZ l k/kq ; kno"	"i zdk' k >k"	"j kekJ; fl ag"	"' kEHkw i zl kn xqIr k"	"Mk0 l at ; t k; l oky"	"QS; kt qy vkt e"	"eukst   dqekj"	"l S; n ' kehe v[ r j"	"uQhl vgen"	"Jheku feJk"	"l S; n bj l kn v[ r j"	"oS|  er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"136"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"137"	"99"	"84"	"107"	"17"	"21"	"302"	"13"	"7"	"4"	"7"	"7"	"6"	"575"	""	"575"	""
"138"	"100"	"135"	"107"	"45"	"17"	"250"	"14"	"11"	"11"	"5"	"5"	"3"	"603"	""	"603"	""
"139"	"101"	"14"	"113"	"24"	"55"	"126"	"6"	"9"	"4"	"12"	"22"	"15"	"400"	""	"400"	""
"140"	"102"	"64"	"415"	"10"	"22"	"21"	"4"	"6"	"1"	"8"	"11"	"2"	"564"	""	"564"	""
"141"	"103"	"29"	"110"	"5"	"3"	"69"	"3"	"0"	"1"	"3"	"6"	"3"	"232"	""	"232"	""
"142"	"104"	"14"	"113"	"3"	"126"	"174"	"2"	"1"	"0"	"2"	"10"	"5"	"450"	""	"450"	""
"143"	"105"	"65"	"116"	"101"	"2"	"84"	"3"	"2"	"5"	"6"	"9"	"8"	"401"	""	"401"	""
"144"	"106"	"50"	"86"	"45"	"8"	"49"	"7"	"3"	"2"	"7"	"14"	"4"	"275"	""	"275"	""
"145"	"107"	"30"	"92"	"128"	"10"	"172"	"13"	"8"	"6"	"4"	"7"	"9"	"479"	""	"479"	""
"146"	"108"	"118"	"165"	"3"	"2"	"13"	"0"	"2"	"2"	"4"	"10"	"11"	"330"	""	"330"	""
"147"	"109"	"8"	"20"	"2"	"73"	"157"	"10"	"7"	"0"	"1"	"4"	"4"	"286"	""	"286"	""
"148"	"110"	"22"	"51"	"28"	"7"	"74"	"1"	"4"	"4"	"6"	"9"	"6"	"212"	""	"212"	""
"149"	"111"	"220"	"64"	"8"	"14"	"88"	"4"	"2"	"2"	"2"	"9"	"13"	"426"	""	"426"	""
"150"	"112"	"69"	"137"	"5"	"98"	"52"	"3"	"6"	"4"	"4"	"9"	"15"	"402"	""	"402"	""
"151"	"VksVy"	"922"	"1696"	"424"	"458"	"1631"	"83"	"68"	"46"	"71"	"132"	"104"	"5635"	"0"	"5635"	"0"
"152"	"er nku dsUnz
l a[ ; k"	"vfu: )
i zl kn mQZ l k/kq ; kno"	"i zdk' k >k"	"j kekJ; fl ag"	"' kEHkw i zl kn xqIr k"	"Mk0 l at ; t k; l oky"	"QS; kt qy vkt e"	"eukst   dqekj"	"l S; n ' kehe v[ r j"	"uQhl vgen"	"Jheku feJk"	"l S; n bj l kn v[ r j"	"oS|  er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"153"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"154"	"113"	"115"	"158"	"3"	"70"	"54"	"5"	"9"	"1"	"6"	"3"	"12"	"436"	""	"436"	""
"155"	"114"	"197"	"126"	"4"	"16"	"14"	"0"	"6"	"0"	"2"	"7"	"3"	"375"	""	"375"	""
"156"	"115"	"71"	"138"	"2"	"8"	"114"	"1"	"3"	"0"	"5"	"6"	"10"	"358"	""	"358"	""
"157"	"116"	"126"	"57"	"2"	"3"	"5"	"1"	"2"	"0"	"1"	"3"	"3"	"203"	""	"203"	""
"158"	"117"	"73"	"130"	"6"	"13"	"205"	"5"	"5"	"4"	"12"	"8"	"17"	"478"	""	"478"	""
"159"	"118"	"18"	"183"	"2"	"8"	"15"	"0"	"3"	"0"	"2"	"9"	"0"	"240"	""	"240"	""
"160"	"119"	"50"	"32"	"3"	"15"	"139"	"8"	"1"	"1"	"1"	"6"	"8"	"264"	""	"264"	""
"161"	"120"	"37"	"63"	"17"	"23"	"103"	"16"	"8"	"5"	"8"	"14"	"17"	"311"	""	"311"	""
"162"	"121"	"71"	"249"	"6"	"5"	"3"	"1"	"1"	"1"	"2"	"2"	"1"	"342"	""	"342"	""
"163"	"122"	"32"	"25"	"20"	"17"	"141"	"8"	"4"	"2"	"3"	"6"	"5"	"263"	""	"263"	""
"164"	"123"	"95"	"112"	"0"	"1"	"23"	"2"	"0"	"2"	"2"	"3"	"0"	"240"	""	"240"	""
"165"	"124"	"94"	"94"	"15"	"3"	"89"	"7"	"8"	"4"	"3"	"5"	"1"	"323"	""	"323"	""
"166"	"125"	"42"	"68"	"0"	"2"	"102"	"3"	"1"	"0"	"0"	"3"	"0"	"221"	""	"221"	""
"167"	"126"	"116"	"201"	"15"	"5"	"17"	"3"	"2"	"2"	"4"	"6"	"10"	"381"	""	"381"	""
"168"	"VksVy"	"1137"	"1636"	"95"	"189"	"1024"	"60"	"53"	"22"	"51"	"81"	"87"	"4435"	"0"	"4435"	"0"
"169"	"er nku dsUnz
l a[ ; k"	"vfu: )
i zl kn mQZ l k/kq ; kno"	"i zdk' k >k"	"j kekJ; fl ag"	"' kEHkw i zl kn xqIr k"	"Mk0 l at ; t k; l oky"	"QS; kt qy vkt e"	"eukst   dqekj"	"l S; n ' kehe v[ r j"	"uQhl vgen"	"Jheku feJk"	"l S; n bj l kn v[ r j"	"oS|  er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"170"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"171"	"127"	"72"	"115"	"5"	"3"	"76"	"3"	"8"	"9"	"3"	"11"	"16"	"321"	""	"321"	""
"172"	"128"	"84"	"102"	"4"	"4"	"116"	"4"	"2"	"0"	"0"	"5"	"0"	"321"	""	"321"	""
"173"	"129"	"85"	"113"	"8"	"38"	"216"	"1"	"2"	"0"	"5"	"3"	"3"	"474"	""	"474"	""
