"X."	"X.U.092E..U.0924..U.0926..U.093E..U.0928...U.0915..U.0947......U.0915....U.0938..U.0902.0"	"X..U.0928...U.0928...U.0932.f..U.0916..U.0924...U.0915..U.0947....U.092A....U.092E.....U.0926..U.092F..U.0947...U.0917..U.090F....U.0935...U.0927..U.092E..U.093E...U.092F...U.092E..U.0924....U.0915....U.0938..U.0902...U.092F..U.093E."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X.U.0915..U.0941...U.0932....U.0935...U.0927..U.092E..U.093E....U.092F...U.092E..U.0924."	"X...U.0924...U.0947...U.092A..U.0924...U.092E..U.0924..U.094B...U.0915....U.0938..U.0902...U.092F..U.093E."	"X.U.092F..U.094B..U.0917."	"X..U.0928...U.0935..U.0926..U.0924...U.092E..U.0924..U.094B...U.0915....U.0938..U.0902...U.092F..U.093E."	"X17..U.0938..U.0940...U.092E..U.0947...U.0939...U.0924..U.093E...U.0930...U.0915..U.0947...U.092C..U.093E..U.0926...U.092E..U.0924..U.0926..U.093E..U.0928...U.0938..U.0947...U.0907..U.0928..U.0915..U.093E..U.0930...U.0915..U.0930..U.0928..U.0947...U.0935..U.093E..U.0932....U.0915...U.0938..U.0902...U.092F..U.093E."
"11"	""	"9"	"123"	"27"	"91"	"128"	"6"	"9"	"9"	"5"	"29"	"1"	"18"	"0"	"7"	"2"	"3"	"1"	"459"	""	"459"	""	""
"12"	""	"10"	"10"	"101"	"81"	"112"	"3"	"0"	"0"	"1"	"1"	"1"	"5"	"1"	"3"	"1"	"4"	"5"	"329"	""	"329"	""	""
"13"	""	"11"	"6"	"25"	"10"	"96"	"4"	"1"	"2"	"3"	"51"	"1"	"3"	"2"	"0"	"1"	"2"	"9"	"216"	""	"216"	""	""
"14"	""	"12"	"20"	"30"	"171"	"116"	"6"	"0"	"0"	"0"	"11"	"0"	"3"	"2"	"3"	"10"	"2"	"4"	"378"	""	"378"	""	""
"15"	""	"13"	"55"	"3"	"89"	"23"	"1"	"0"	"0"	"2"	"4"	"0"	"2"	"2"	"1"	"1"	"0"	"0"	"183"	""	"183"	""	""
"16"	""	"14"	"32"	"1"	"169"	"99"	"8"	"6"	"1"	"0"	"19"	"1"	"3"	"1"	"6"	"6"	"2"	"5"	"359"	""	"359"	""	""
"17"	"<U+092F><U+094B><U+0917>"	""	"439"	"402"	"1784"	"1338"	"68"	"165"	"19"	"25"	"425"	"18"	"68"	"19"	"39"	"36"	"24"	"43"	"4912"	"0"	"4912"	"0"	"0"
"18"	""	"15"	"19"	"66"	"12"	"173"	"4"	"4"	"1"	"1"	"26"	"3"	"2"	"1"	"2"	"2"	"1"	"4"	"321"	""	"321"	""	""
"19"	""	"16"	"28"	"55"	"103"	"118"	"4"	"9"	"4"	"0"	"7"	"2"	"2"	"0"	"0"	"1"	"0"	"0"	"333"	""	"333"	""	""
"20"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"17 <U+0938><U+0940> <U+092E><U+0947> <U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>
<U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930>
<U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932>  <U+0915> <U+0938><U+0902> <U+092F><U+093E>"
"21"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"22"	""	"17"	"8"	"11"	"98"	"162"	"3"	"1"	"0"	"2"	"3"	"0"	"1"	"1"	"4"	"0"	"0"	"1"	"295"	""	"295"	""	""
"23"	""	"18"	"2"	"2"	"216"	"51"	"6"	"36"	"0"	"0"	"16"	"1"	"4"	"0"	"0"	"2"	"0"	"1"	"337"	""	"337"	""	""
"24"	""	"19"	"16"	"1"	"253"	"45"	"4"	"8"	"3"	"1"	"2"	"1"	"4"	"1"	"0"	"4"	"2"	"3"	"348"	""	"348"	""	""
"25"	""	"20"	"6"	"74"	"21"	"104"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"209"	""	"209"	""	""
"26"	""	"21"	"7"	"25"	"149"	"116"	"8"	"32"	"0"	"2"	"26"	"3"	"4"	"0"	"2"	"3"	"0"	"1"	"378"	""	"378"	""	""
"27"	""	"22"	"177"	"8"	"112"	"127"	"5"	"21"	"1"	"0"	"6"	"1"	"0"	"1"	"1"	"0"	"1"	"2"	"463"	""	"463"	""	""
"28"	""	"23"	"14"	"21"	"118"	"84"	"4"	"162"	"7"	"5"	"8"	"6"	"6"	"5"	"16"	"7"	"6"	"10"	"479"	""	"479"	""	""
"29"	""	"24"	"12"	"50"	"454"	"31"	"2"	"98"	"2"	"0"	"0"	"0"	"1"	"0"	"3"	"1"	"0"	"1"	"655"	""	"655"	""	""
"30"	""	"25"	"155"	"1"	"21"	"47"	"2"	"8"	"0"	"1"	"11"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"250"	""	"250"	""	""
"31"	""	"26"	"7"	"28"	"41"	"59"	"0"	"2"	"0"	"2"	"16"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"158"	""	"158"	""	""
"32"	""	"27"	"12"	"27"	"98"	"38"	"3"	"3"	"2"	"1"	"41"	"4"	"4"	"3"	"2"	"2"	"2"	"12"	"254"	""	"254"	""	""
"33"	""	"28"	"36"	"30"	"183"	"33"	"5"	"5"	"2"	"5"	"37"	"2"	"1"	"1"	"3"	"1"	"1"	"2"	"347"	""	"347"	""	""
"34"	"<U+092F><U+094B><U+0917>"	""	"499"	"399"	"1879"	"1188"	"50"	"389"	"22"	"20"	"201"	"24"	"29"	"13"	"33"	"25"	"16"	"40"	"4827"	"0"	"4827"	"0"	"0"
"35"	""	"29"	"10"	"100"	"135"	"114"	"2"	"13"	"4"	"5"	"40"	"0"	"2"	"1"	"0"	"1"	"2"	"2"	"431"	""	"431"	""	""
"36"	""	"30"	"7"	"2"	"26"	"85"	"8"	"2"	"3"	"2"	"63"	"2"	"3"	"1"	"3"	"0"	"0"	"3"	"210"	""	"210"	""	""
"37"	""	"31"	"7"	"2"	"292"	"15"	"0"	"2"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"324"	""	"324"	""	""
"38"	""	"32"	"1"	"4"	"88"	"8"	"3"	"2"	"0"	"0"	"10"	"0"	"0"	"1"	"1"	"2"	"2"	"2"	"124"	""	"124"	""	""
"39"	""	"33"	"36"	"27"	"57"	"221"	"1"	"11"	"0"	"0"	"5"	"3"	"4"	"2"	"1"	"0"	"2"	"3"	"373"	""	"373"	""	""
"40"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"17 <U+0938><U+0940> <U+092E><U+0947> <U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>
<U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930>
<U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932>  <U+0915> <U+0938><U+0902> <U+092F><U+093E>"
"41"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"42"	""	"34"	"14"	"148"	"41"	"86"	"2"	"1"	"2"	"1"	"3"	"0"	"3"	"1"	"1"	"2"	"2"	"6"	"313"	""	"313"	""	""
"43"	""	"35"	"43"	"6"	"130"	"38"	"11"	"59"	"5"	"9"	"70"	"6"	"19"	"0"	"0"	"6"	"2"	"8"	"412"	""	"412"	""	""
"44"	""	"36"	"45"	"1"	"37"	"19"	"1"	"82"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"192"	""	"192"	""	""
"45"	""	"37"	"18"	"31"	"79"	"29"	"3"	"6"	"0"	"0"	"7"	"0"	"0"	"0"	"2"	"0"	"1"	"2"	"178"	""	"178"	""	""
"46"	""	"38"	"2"	"2"	"515"	"28"	"3"	"15"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"569"	""	"569"	""	""
"47"	""	"39"	"59"	"24"	"107"	"87"	"5"	"6"	"1"	"1"	"35"	"4"	"2"	"1"	"2"	"1"	"0"	"3"	"338"	""	"338"	""	""
"48"	""	"40"	"75"	"4"	"40"	"47"	"3"	"0"	"1"	"1"	"19"	"1"	"3"	"2"	"0"	"1"	"1"	"3"	"201"	""	"201"	""	""
"49"	""	"41"	"10"	"30"	"195"	"26"	"0"	"21"	"0"	"0"	"5"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"291"	""	"291"	""	""
"50"	""	"42"	"17"	"67"	"201"	"122"	"7"	"3"	"2"	"1"	"2"	"1"	"2"	"2"	"7"	"3"	"1"	"4"	"442"	""	"442"	""	""
"51"	"<U+092F><U+094B><U+0917>"	""	"344"	"448"	"1943"	"925"	"49"	"223"	"21"	"20"	"266"	"19"	"39"	"11"	"18"	"21"	"14"	"37"	"4398"	"0"	"4398"	"0"	"0"
"52"	""	"43"	"17"	"41"	"116"	"147"	"6"	"10"	"4"	"5"	"8"	"4"	"5"	"2"	"8"	"7"	"1"	"6"	"387"	""	"387"	""	""
"53"	""	"44"	"120"	"24"	"25"	"177"	"9"	"98"	"2"	"1"	"8"	"0"	"3"	"0"	"5"	"2"	"1"	"2"	"477"	""	"477"	""	""
"54"	""	"45"	"3"	"24"	"106"	"130"	"0"	"22"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"289"	""	"289"	""	""
"55"	""	"46"	"35"	"38"	"54"	"133"	"4"	"26"	"2"	"4"	"28"	"3"	"8"	"2"	"6"	"5"	"1"	"10"	"359"	""	"359"	""	""
"56"	""	"47"	"24"	"9"	"350"	"91"	"3"	"46"	"4"	"1"	"5"	"2"	"0"	"2"	"3"	"1"	"0"	"2"	"543"	""	"543"	""	""
"57"	""	"48"	"19"	"57"	"150"	"65"	"4"	"54"	"2"	"2"	"4"	"2"	"2"	"3"	"4"	"6"	"4"	"8"	"386"	""	"386"	""	""
"58"	""	"49"	"11"	"1"	"51"	"86"	"4"	"43"	"2"	"1"	"3"	"1"	"1"	"2"	"0"	"1"	"2"	"0"	"209"	""	"209"	""	""
"59"	""	"50"	"47"	"2"	"439"	"7"	"0"	"2"	"0"	"0"	"1"	"0"	"1"	"0"	"2"	"0"	"0"	"2"	"503"	""	"503"	""	""
"60"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"17 <U+0938><U+0940> <U+092E><U+0947> <U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>
<U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930>
<U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932>  <U+0915> <U+0938><U+0902> <U+092F><U+093E>"
"61"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"62"	""	"51"	"49"	"5"	"140"	"120"	"14"	"224"	"4"	"7"	"10"	"1"	"35"	"4"	"14"	"6"	"2"	"5"	"640"	""	"640"	""	""
"63"	""	"52"	"95"	"53"	"91"	"183"	"8"	"118"	"3"	"2"	"4"	"2"	"6"	"6"	"7"	"6"	"4"	"9"	"597"	""	"597"	""	""
"64"	""	"53"	"19"	"3"	"124"	"196"	"3"	"118"	"3"	"1"	"1"	"0"	"7"	"3"	"3"	"1"	"1"	"2"	"485"	""	"485"	""	""
"65"	""	"54"	"39"	"127"	"179"	"103"	"6"	"71"	"5"	"1"	"3"	"4"	"4"	"3"	"12"	"7"	"6"	"13"	"583"	""	"583"	""	""
"66"	""	"55"	"19"	"2"	"35"	"41"	"1"	"74"	"2"	"1"	"0"	"1"	"1"	"0"	"3"	"1"	"0"	"1"	"182"	""	"182"	""	""
"67"	""	"56"	"14"	"9"	"47"	"50"	"15"	"230"	"8"	"5"	"8"	"2"	"5"	"1"	"16"	"3"	"1"	"6"	"420"	""	"420"	""	""
"68"	"<U+092F><U+094B><U+0917>"	""	"511"	"395"	"1907"	"1529"	"77"	"1136"	"43"	"32"	"83"	"22"	"78"	"28"	"83"	"46"	"23"	"67"	"6060"	"0"	"6060"	"0"	"0"
"69"	""	"57"	"52"	"3"	"34"	"42"	"6"	"190"	"7"	"4"	"5"	"8"	"3"	"6"	"8"	"3"	"2"	"12"	"385"	""	"385"	""	""
"70"	""	"58"	"23"	"22"	"114"	"12"	"2"	"13"	"1"	"0"	"1"	"1"	"0"	"0"	"4"	"0"	"1"	"4"	"198"	""	"198"	""	""
"71"	""	"59"	"24"	"1"	"24"	"75"	"3"	"56"	"2"	"1"	"1"	"0"	"5"	"0"	"0"	"2"	"1"	"0"	"195"	""	"195"	""	""
"72"	""	"60"	"1"	"1"	"287"	"5"	"1"	"3"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	""	"300"	""	""
"73"	""	"61"	"5"	"4"	"357"	"171"	"2"	"29"	"6"	"2"	"2"	"2"	"2"	"2"	"4"	"5"	"0"	"3"	"596"	""	"596"	""	""
"74"	""	"62"	"14"	"1"	"228"	"18"	"0"	"3"	"0"	"1"	"6"	"2"	"2"	"1"	"2"	"1"	"1"	"3"	"283"	""	"283"	""	""
"75"	""	"63"	"4"	"4"	"269"	"6"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"0"	"1"	"291"	""	"291"	""	""
"76"	""	"64"	"8"	"2"	"20"	"234"	"8"	"4"	"0"	"3"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"284"	""	"284"	""	""
"77"	""	"65"	"11"	"47"	"94"	"69"	"4"	"1"	"0"	"1"	"1"	"0"	"2"	"0"	"2"	"4"	"2"	"2"	"240"	""	"240"	""	""
"78"	""	"66"	"3"	"1"	"75"	"179"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"264"	""	"264"	""	""
"79"	""	"67"	"10"	"13"	"31"	"93"	"1"	"14"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"165"	""	"165"	""	""
