"fo.kku.l.Hkk..ks..l.a....k...oa.uke..05.ykSfj...k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"fuokZpdksa dh dqy  l a[ ; k&189010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"01&okYehfduxj  l al nh;   fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kadj i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|  er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"21"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kadj i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|  er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"22"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"23"	"15"	"3"	"11"	"0"	"2"	"6"	"0"	"3"	"3"	"3"	"4"	"390"	"2"	"6"	"0"	"3"	"2"	"438"	""	"438"	""
"24"	"16"	"25"	"208"	"28"	"40"	"52"	"2"	"6"	"0"	"0"	"1"	"88"	"1"	"1"	"0"	"0"	"4"	"456"	""	"456"	""
"25"	"17"	"10"	"271"	"28"	"14"	"97"	"2"	"1"	"4"	"6"	"6"	"75"	"5"	"10"	"5"	"4"	"10"	"548"	""	"548"	""
"26"	"18"	"3"	"213"	"1"	"7"	"51"	"5"	"0"	"1"	"5"	"1"	"71"	"0"	"4"	"1"	"1"	"4"	"368"	""	"368"	""
"27"	"19"	"25"	"281"	"14"	"12"	"35"	"6"	"0"	"1"	"0"	"2"	"37"	"2"	"1"	"3"	"6"	"6"	"431"	""	"431"	""
"28"	"20"	"12"	"335"	"8"	"8"	"84"	"3"	"2"	"2"	"1"	"5"	"75"	"4"	"4"	"1"	"0"	"3"	"547"	""	"547"	""
"29"	"21"	"18"	"233"	"8"	"12"	"89"	"3"	"5"	"0"	"6"	"8"	"35"	"3"	"1"	"2"	"3"	"5"	"431"	""	"431"	""
"30"	"22"	"14"	"488"	"1"	"22"	"85"	"6"	"1"	"4"	"0"	"2"	"76"	"3"	"3"	"2"	"4"	"4"	"715"	""	"715"	""
"31"	"23"	"12"	"248"	"117"	"8"	"21"	"2"	"3"	"0"	"1"	"3"	"10"	"1"	"1"	"0"	"2"	"3"	"432"	""	"432"	""
"32"	"24"	"4"	"205"	"133"	"19"	"90"	"2"	"1"	"0"	"3"	"0"	"24"	"2"	"13"	"2"	"4"	"11"	"513"	""	"513"	""
"33"	"25"	"11"	"163"	"28"	"6"	"84"	"2"	"0"	"1"	"0"	"2"	"0"	"2"	"0"	"0"	"1"	"5"	"305"	""	"305"	""
"34"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"35"	"27"	"9"	"258"	"78"	"33"	"74"	"4"	"0"	"2"	"4"	"2"	"2"	"0"	"1"	"4"	"4"	"9"	"484"	""	"484"	""
"36"	"28"	"7"	"201"	"32"	"2"	"6"	"0"	"1"	"1"	"0"	"2"	"0"	"3"	"1"	"0"	"3"	"2"	"261"	""	"261"	""
"37"	"VksVy"	"153"	"3115"	"476"	"185"	"774"	"37"	"23"	"19"	"29"	"38"	"883"	"28"	"46"	"20"	"35"	"68"	"5929"	"0"	"5929"	"0"
"38"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kadj i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|  er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"39"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"40"	"29"	"20"	"261"	"135"	"43"	"45"	"3"	"1"	"1"	"0"	"1"	"8"	"2"	"2"	"0"	"3"	"8"	"533"	""	"533"	""
"41"	"30"	"16"	"142"	"84"	"11"	"81"	"13"	"2"	"2"	"1"	"2"	"54"	"4"	"6"	"0"	"1"	"5"	"424"	""	"424"	""
"42"	"31"	"31"	"289"	"41"	"20"	"52"	"9"	"11"	"2"	"2"	"3"	"29"	"1"	"1"	"3"	"1"	"3"	"498"	""	"498"	""
"43"	"32"	"28"	"124"	"21"	"36"	"39"	"24"	"5"	"2"	"3"	"1"	"37"	"1"	"9"	"1"	"3"	"7"	"341"	""	"341"	""
"44"	"33"	"12"	"125"	"11"	"2"	"91"	"2"	"3"	"1"	"1"	"2"	"29"	"2"	"0"	"0"	"0"	"6"	"287"	""	"287"	""
"45"	"34"	"10"	"120"	"57"	"4"	"15"	"3"	"0"	"1"	"1"	"3"	"84"	"4"	"2"	"1"	"3"	"4"	"312"	""	"312"	""
"46"	"35"	"14"	"167"	"127"	"5"	"17"	"3"	"8"	"5"	"6"	"4"	"164"	"4"	"12"	"3"	"3"	"12"	"554"	""	"554"	""
"47"	"36"	"20"	"226"	"7"	"5"	"27"	"5"	"8"	"3"	"6"	"8"	"213"	"6"	"13"	"4"	"16"	"6"	"573"	""	"573"	""
"48"	"37"	"5"	"251"	"17"	"17"	"34"	"8"	"4"	"1"	"2"	"1"	"48"	"5"	"2"	"0"	"2"	"4"	"401"	""	"401"	""
"49"	"38"	"31"	"305"	"15"	"9"	"20"	"10"	"7"	"4"	"3"	"7"	"45"	"5"	"4"	"1"	"3"	"10"	"479"	""	"479"	""
"50"	"39"	"57"	"231"	"99"	"9"	"10"	"3"	"3"	"3"	"1"	"4"	"100"	"4"	"5"	"0"	"0"	"3"	"532"	""	"532"	""
"51"	"40"	"147"	"296"	"11"	"2"	"12"	"2"	"16"	"4"	"1"	"2"	"21"	"0"	"3"	"0"	"1"	"5"	"523"	""	"523"	""
"52"	"41"	"46"	"274"	"34"	"24"	"45"	"7"	"2"	"2"	"2"	"3"	"36"	"1"	"4"	"0"	"3"	"2"	"485"	""	"485"	""
"53"	"42"	"40"	"203"	"50"	"6"	"34"	"12"	"2"	"2"	"4"	"6"	"11"	"2"	"6"	"5"	"10"	"30"	"423"	""	"423"	""
"54"	"VksVy"	"477"	"3014"	"709"	"193"	"522"	"104"	"72"	"33"	"33"	"47"	"879"	"41"	"69"	"18"	"49"	"105"	"6365"	"0"	"6365"	"0"
"55"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kadj i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|  er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"56"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"57"	"43"	"43"	"216"	"45"	"13"	"5"	"1"	"4"	"0"	"1"	"4"	"9"	"2"	"2"	"2"	"3"	"8"	"358"	""	"358"	""
"58"	"44"	"29"	"247"	"30"	"0"	"0"	"6"	"4"	"2"	"4"	"4"	"2"	"2"	"0"	"4"	"6"	"9"	"349"	""	"349"	""
"59"	"45"	"13"	"231"	"33"	"7"	"103"	"10"	"2"	"4"	"2"	"1"	"2"	"1"	"0"	"0"	"3"	"2"	"414"	""	"414"	""
"60"	"46"	"44"	"155"	"22"	"14"	"102"	"16"	"4"	"2"	"3"	"7"	"6"	"9"	"2"	"8"	"10"	"15"	"419"	""	"419"	""
"61"	"47"	"16"	"199"	"6"	"25"	"66"	"3"	"3"	"1"	"1"	"2"	"1"	"0"	"0"	"1"	"0"	"1"	"325"	""	"325"	""
"62"	"48"	"25"	"61"	"18"	"141"	"63"	"5"	"6"	"9"	"4"	"9"	"193"	"5"	"16"	"1"	"2"	"8"	"566"	""	"566"	""
"63"	"49"	"7"	"87"	"0"	"6"	"93"	"7"	"1"	"2"	"2"	"1"	"15"	"4"	"1"	"0"	"1"	"1"	"228"	""	"228"	""
"64"	"50"	"0"	"17"	"2"	"4"	"1"	"0"	"4"	"2"	"2"	"2"	"385"	"3"	"3"	"0"	"2"	"1"	"428"	""	"428"	""
"65"	"51"	"16"	"375"	"25"	"19"	"91"	"13"	"13"	"1"	"3"	"5"	"80"	"2"	"1"	"1"	"1"	"6"	"652"	""	"652"	""
"66"	"52"	"6"	"214"	"7"	"33"	"36"	"11"	"3"	"0"	"9"	"5"	"4"	"2"	"4"	"10"	"6"	"15"	"365"	""	"365"	""
"67"	"53"	"23"	"286"	"23"	"36"	"50"	"9"	"10"	"6"	"3"	"3"	"50"	"6"	"6"	"6"	"3"	"11"	"531"	""	"531"	""
"68"	"54"	"7"	"262"	"2"	"9"	"10"	"7"	"1"	"1"	"1"	"0"	"50"	"5"	"1"	"0"	"7"	"0"	"363"	""	"363"	""
"69"	"55"	"5"	"169"	"67"	"11"	"11"	"6"	"0"	"2"	"3"	"2"	"110"	"1"	"4"	"1"	"0"	"1"	"393"	""	"393"	""
"70"	"56"	"6"	"163"	"43"	"18"	"3"	"12"	"12"	"7"	"17"	"7"	"53"	"4"	"5"	"5"	"2"	"3"	"360"	""	"360"	""
"71"	"VksVy"	"240"	"2682"	"323"	"336"	"634"	"106"	"67"	"39"	"55"	"52"	"960"	"46"	"45"	"39"	"46"	"81"	"5751"	"0"	"5751"	"0"
"72"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kadj i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|  er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"73"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"74"	"57"	"0"	"43"	"1"	"12"	"2"	"4"	"14"	"1"	"2"	"4"	"219"	"1"	"5"	"3"	"3"	"1"	"315"	""	"315"	""
"75"	"58"	"4"	"50"	"2"	"7"	"3"	"4"	"4"	"4"	"0"	"6"	"636"	"5"	"7"	"1"	"6"	"6"	"745"	""	"745"	""
"76"	"59"	"8"	"90"	"5"	"9"	"74"	"5"	"2"	"7"	"3"	"2"	"98"	"2"	"4"	"0"	"2"	"1"	"312"	""	"312"	""
"77"	"60"	"32"	"219"	"38"	"18"	"75"	"72"	"16"	"1"	"9"	"3"	"129"	"2"	"9"	"4"	"2"	"8"	"637"	""	"637"	""
"78"	"61"	"23"	"224"	"10"	"7"	"41"	"4"	"4"	"2"	"1"	"3"	"89"	"1"	"9"	"4"	"3"	"5"	"430"	""	"430"	""
"79"	"62"	"54"	"154"	"8"	"24"	"13"	"6"	"1"	"2"	"1"	"3"	"115"	"3"	"14"	"1"	"0"	"2"	"401"	""	"401"	""
"80"	"63"	"19"	"124"	"3"	"24"	"43"	"6"	"2"	"2"	"3"	"2"	"173"	"4"	"18"	"1"	"5"	"5"	"434"	""	"434"	""
"81"	"64"	"10"	"49"	"31"	"44"	"28"	"24"	"4"	"3"	"1"	"4"	"282"	"2"	"11"	"2"	"8"	"11"	"514"	""	"514"	""
"82"	"65"	"6"	"139"	"13"	"32"	"26"	"66"	"8"	"3"	"3"	"0"	"117"	"5"	"4"	"5"	"2"	"5"	"434"	""	"434"	""
"83"	"66"	"19"	"240"	"10"	"62"	"37"	"7"	"4"	"1"	"4"	"3"	"9"	"2"	"1"	"3"	"5"	"3"	"410"	""	"410"	""
"84"	"67"	"20"	"379"	"34"	"46"	"88"	"6"	"3"	"1"	"3"	"4"	"21"	"4"	"7"	"3"	"6"	"12"	"637"	""	"637"	""
"85"	"68"	"30"	"270"	"4"	"105"	"64"	"0"	"1"	"1"	"0"	"2"	"1"	"2"	"1"	"1"	"0"	"2"	"484"	""	"484"	""
"86"	"69"	"6"	"101"	"52"	"16"	"26"	"12"	"7"	"0"	"1"	"3"	"40"	"2"	"3"	"1"	"2"	"3"	"275"	""	"275"	""
"87"	"70"	"5"	"206"	"100"	"15"	"27"	"1"	"14"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"2"	"0"	"374"	""	"374"	""
"88"	"VksVy"	"236"	"2288"	"311"	"421"	"547"	"217"	"84"	"29"	"32"	"40"	"1929"	"35"	"93"	"30"	"46"	"64"	"6402"	"0"	"6402"	"0"
"89"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kadj i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|  er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"90"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"91"	"71"	"6"	"146"	"5"	"5"	"26"	"4"	"88"	"3"	"5"	"1"	"54"	"0"	"6"	"1"	"3"	"3"	"356"	""	"356"	""
"92"	"72"	"25"	"368"	"45"	"11"	"70"	"5"	"4"	"0"	"2"	"1"	"30"	"3"	"3"	"5"	"4"	"15"	"591"	""	"591"	""
"93"	"73"	"0"	"201"	"14"	"63"	"16"	"1"	"1"	"1"	"0"	"0"	"11"	"0"	"0"	"0"	"0"	"1"	"309"	""	"309"	""
"94"	"74"	"8"	"85"	"7"	"27"	"27"	"2"	"0"	"1"	"1"	"0"	"4"	"1"	"1"	"0"	"2"	"2"	"168"	""	"168"	""
"95"	"75"	"11"	"267"	"11"	"5"	"14"	"3"	"1"	"3"	"1"	"3"	"37"	"4"	"3"	"4"	"8"	"15"	"390"	""	"390"	""
"96"	"76"	"97"	"183"	"9"	"9"	"92"	"3"	"7"	"2"	"1"	"2"	"10"	"0"	"3"	"3"	"5"	"6"	"432"	""	"432"	""
"97"	"77"	"6"	"40"	"22"	"9"	"54"	"1"	"4"	"3"	"3"	"2"	"117"	"2"	"7"	"0"	"0"	"5"	"275"	""	"275"	""
"98"	"78"	"17"	"269"	"125"	"12"	"26"	"12"	"0"	"1"	"1"	"3"	"33"	"2"	"3"	"1"	"1"	"1"	"507"	""	"507"	""
"99"	"79"	"9"	"303"	"117"	"21"	"94"	"3"	"1"	"6"	"2"	"1"	"52"	"2"	"7"	"4"	"6"	"7"	"635"	""	"635"	""
"100"	"80"	"2"	"315"	"235"	"29"	"85"	"3"	"2"	"3"	"1"	"3"	"13"	"1"	"4"	"5"	"7"	"7"	"715"	""	"715"	""
"101"	"81"	"27"	"188"	"20"	"14"	"4"	"1"	"0"	"2"	"2"	"1"	"9"	"6"	"2"	"3"	"7"	"10"	"296"	""	"296"	""
"102"	"82"	"1"	"279"	"8"	"1"	"39"	"0"	"0"	"1"	"2"	"3"	"2"	"0"	"2"	"2"	"2"	"8"	"350"	""	"350"	""
"103"	"83"	"18"	"499"	"38"	"38"	"50"	"1"	"2"	"2"	"4"	"1"	"16"	"3"	"7"	"4"	"8"	"12"	"703"	""	"703"	""
"104"	"84"	"57"	"155"	"75"	"32"	"128"	"11"	"1"	"1"	"4"	"1"	"111"	"1"	"3"	"0"	"1"	"2"	"583"	""	"583"	""
"105"	"VksVy"	"284"	"3298"	"731"	"276"	"725"	"50"	"111"	"29"	"29"	"22"	"499"	"25"	"51"	"32"	"54"	"94"	"6310"	"0"	"6310"	"0"
"106"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kadj i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|  er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"107"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"108"	"85"	"6"	"271"	"12"	"23"	"189"	"2"	"1"	"1"	"1"	"0"	"11"	"4"	"4"	"5"	"2"	"6"	"538"	""	"538"	""
"109"	"86"	"10"	"174"	"2"	"4"	"28"	"1"	"6"	"3"	"5"	"3"	"142"	"2"	"8"	"1"	"0"	"5"	"394"	""	"394"	""
"110"	"87"	"11"	"240"	"63"	"8"	"53"	"4"	"8"	"1"	"0"	"0"	"9"	"1"	"3"	"1"	"7"	"8"	"417"	""	"417"	""
"111"	"88"	"17"	"275"	"89"	"8"	"61"	"4"	"2"	"1"	"6"	"4"	"4"	"0"	"1"	"1"	"2"	"2"	"477"	""	"477"	""
"112"	"89"	"4"	"116"	"235"	"13"	"64"	"1"	"2"	"0"	"0"	"2"	"108"	"0"	"3"	"1"	"0"	"1"	"550"	""	"550"	""
"113"	"90"	"8"	"264"	"131"	"8"	"25"	"2"	"2"	"2"	"2"	"2"	"39"	"1"	"5"	"3"	"0"	"2"	"496"	""	"496"	""
"114"	"91"	"2"	"270"	"88"	"16"	"37"	"0"	"3"	"1"	"0"	"1"	"5"	"2"	"1"	"0"	"4"	"4"	"434"	""	"434"	""
"115"	"92"	"3"	"166"	"98"	"6"	"55"	"5"	"5"	"3"	"1"	"3"	"13"	"3"	"2"	"8"	"14"	"10"	"395"	""	"395"	""
"116"	"93"	"8"	"96"	"13"	"17"	"11"	"6"	"3"	"1"	"1"	"1"	"91"	"1"	"6"	"2"	"4"	"2"	"263"	""	"263"	""
"117"	"94"	"49"	"282"	"3"	"5"	"22"	"1"	"5"	"4"	"6"	"6"	"52"	"3"	"2"	"2"	"3"	"2"	"447"	""	"447"	""
"118"	"95"	"21"	"255"	"53"	"5"	"12"	"0"	"2"	"4"	"2"	"2"	"65"	"5"	"3"	"2"	"13"	"6"	"450"	""	"450"	""
"119"	"96"	"9"	"274"	"5"	"4"	"44"	"2"	"1"	"4"	"1"	"5"	"4"	"4"	"1"	"2"	"2"	"9"	"371"	""	"371"	""
"120"	"97"	"1"	"76"	"77"	"6"	"73"	"4"	"1"	"0"	"1"	"4"	"0"	"0"	"0"	"3"	"2"	"4"	"252"	""	"252"	""
"121"	"98"	"14"	"186"	"24"	"14"	"58"	"7"	"3"	"0"	"2"	"4"	"90"	"7"	"12"	"1"	"2"	"11"	"435"	""	"435"	""
"122"	"VksVy"	"163"	"2945"	"893"	"137"	"732"	"39"	"44"	"25"	"28"	"37"	"633"	"33"	"51"	"32"	"55"	"72"	"5919"	"0"	"5919"	"0"
"123"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kadj i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|  er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"124"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"125"	"99"	"4"	"186"	"4"	"8"	"54"	"2"	"0"	"2"	"0"	"1"	"19"	"1"	"6"	"0"	"2"	"3"	"292"	""	"292"	""
"126"	"100"	"7"	"228"	"58"	"20"	"67"	"2"	"0"	"0"	"0"	"6"	"33"	"2"	"7"	"2"	"1"	"8"	"441"	""	"441"	""
"127"	"101"	"9"	"205"	"8"	"132"	"25"	"3"	"6"	"2"	"4"	"4"	"83"	"0"	"4"	"2"	"2"	"9"	"498"	""	"498"	""
"128"	"102"	"9"	"233"	"1"	"53"	"31"	"3"	"3"	"2"	"2"	"6"	"81"	"4"	"6"	"2"	"3"	"20"	"459"	""	"459"	""
"129"	"103"	"10"	"263"	"46"	"31"	"56"	"2"	"5"	"0"	"2"	"4"	"87"	"6"	"4"	"3"	"7"	"4"	"530"	""	"530"	""
"130"	"104"	"22"	"154"	"67"	"27"	"73"	"4"	"5"	"3"	"5"	"3"	"47"	"1"	"1"	"2"	"1"	"5"	"420"	""	"420"	""
"131"	"105"	"8"	"299"	"79"	"20"	"74"	"15"	"4"	"4"	"1"	"2"	"129"	"6"	"13"	"1"	"1"	"4"	"660"	""	"660"	""
"132"	"106"	"7"	"254"	"9"	"54"	"63"	"1"	"1"	"3"	"0"	"1"	"17"	"2"	"1"	"1"	"2"	"3"	"419"	""	"419"	""
