"Name.of.Candidate"	"Dr..Arun.Kumar"	"Jagdish.Sharma"	"Ramadhar.Sharma"	"Surendra.Prasad.Yadav"	"Ayasha.Khatun"	"Prof..Jai.Ram.Prasad.Singh"	"Tara.Gupta"	"Mahanand.Prasad"	"Ramasray.Prasad.Singh"	"Md..Shahabubin.Jahan"	"Shravan.kumar"	"Sadhu.Sinha"	"Syed.Akber.Imam"	"Ajay.Kumar.Verma"	"Abhay.Kumar.Anil"	"Dr..Arbind.Kumar"	"Arvind.Prasad.Singh"	"Upendra.Prasad"	"Jagdish.Yadav"	"Prikshit.Singh"	"Prabhat.Kumar.Ranjan"	"Ranjit.Sharma"	"Rakeshwar.Kishor"	"Siya.Ram.Prasad"	"Sumirak.Singh"	"Total.Valid.Votes"	"No..of.Reject.ed.votes"	"Total"	"No..of.tendered.votes"
"34"	"26"	27	259	28	67	0	3	4	22	0	0	0	1	1	3	0	12	4	1	4	3	1	0	1	1	0	442	NA	442	NA
"35"	"27"	12	189	2	29	4	7	2	184	6	2	0	1	2	3	2	18	1	3	1	1	1	1	1	1	1	474	NA	474	NA
"36"	"28"	18	54	9	132	6	2	3	243	13	4	5	4	6	7	4	29	5	1	1	2	2	0	1	9	8	568	NA	568	NA
"37"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"38"	"Total"	253	1657	168	2206	42	36	23	1032	87	17	17	15	35	23	33	110	29	27	29	23	19	10	7	19	30	5947	NA	5947	NA
"39"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"40"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"41"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"42"	"Round 3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"43"	"29"	46	238	18	86	2	2	0	19	0	3	2	2	0	4	1	9	14	6	2	1	2	1	2	0	1	461	NA	461	NA
"44"	"30"	7	118	0	24	1	1	2	34	1	0	0	1	2	0	0	4	1	1	1	0	0	0	0	2	0	200	NA	200	NA
"45"	"31"	14	197	2	13	1	5	3	305	8	2	2	0	2	0	0	0	6	4	0	0	2	0	1	0	2	569	NA	569	NA
"46"	"32"	15	60	31	111	1	4	2	60	1	3	2	0	0	2	0	12	0	0	0	0	0	1	1	2	0	308	NA	308	NA
"47"	"33"	285	72	1	55	1	2	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	425	NA	425	NA
"48"	"34"	82	50	3	10	1	1	0	3	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	155	NA	155	NA
"49"	"35"	0	8	4	279	3	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	1	0	0	2	0	301	NA	301	NA
"50"	"36"	1	1	1	55	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	63	NA	63	NA
"51"	"37"	58	376	32	51	4	6	3	4	2	0	1	1	0	3	4	26	0	7	2	3	0	2	0	1	3	589	NA	589	NA
"52"	"38"	68	228	24	42	4	3	3	4	4	1	1	0	0	0	1	2	3	1	0	1	2	0	0	0	2	394	NA	394	NA
"53"	"39"	35	161	118	31	5	9	6	50	6	5	3	0	0	2	5	17	7	6	3	1	0	1	0	2	2	475	NA	475	NA
"54"	"40"	137	47	1	66	4	3	0	6	0	0	1	0	2	1	1	8	1	0	0	1	1	0	1	0	0	281	NA	281	NA
"55"	"41"	135	19	0	40	1	0	0	0	0	0	0	0	0	0	0	1	6	3	1	3	1	0	3	0	4	217	NA	217	NA
"56"	"42"	295	35	2	69	2	2	0	6	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	416	NA	416	NA
"57"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"58"	"Total"	1178	1610	237	932	33	38	19	498	22	14	13	4	7	12	12	86	43	29	10	10	9	5	9	9	15	4854	NA	4854	NA
"59"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"60"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"61"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"62"	"Round 4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"63"	"43"	11	10	1	231	1	1	0	3	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	262	NA	262	NA
"64"	"44"	5	32	0	283	4	4	0	2	1	0	1	0	1	0	0	10	5	1	0	0	0	0	0	0	0	349	NA	349	NA
"65"	"45"	10	160	3	102	3	1	2	21	3	0	1	0	1	0	1	8	7	0	4	1	3	1	1	2	5	340	NA	340	NA
"66"	"46"	15	80	4	342	3	2	0	1	1	1	2	1	1	1	0	6	5	0	6	2	0	1	0	0	2	476	NA	476	NA
"67"	"47"	6	57	22	342	5	5	3	5	7	2	2	1	7	3	0	9	6	1	5	6	3	2	3	3	7	512	NA	512	NA
"68"	"48"	7	29	5	189	5	0	2	3	2	0	1	0	0	0	1	8	4	0	0	3	1	3	0	1	0	264	NA	264	NA
"69"	"49"	12	254	2	1	1	0	1	125	5	0	0	0	0	1	4	9	3	2	1	4	0	1	0	0	2	428	NA	428	NA
"70"	"50"	27	244	10	70	2	3	2	45	1	0	1	0	0	1	0	0	0	0	0	2	0	0	1	0	2	411	NA	411	NA
"71"	"51"	21	70	10	97	3	2	2	59	0	2	0	0	0	0	2	0	3	1	0	0	0	0	1	0	0	273	NA	273	NA
"72"	"52"	12	101	24	90	2	1	2	31	0	1	0	1	1	0	3	8	7	3	3	2	1	2	0	0	2	297	NA	297	NA
"73"	"53"	17	528	14	15	1	1	1	39	2	0	0	0	0	1	0	0	1	1	0	0	1	0	0	2	2	626	NA	626	NA
"74"	"54"	23	200	13	114	10	3	0	41	3	1	2	2	2	1	2	4	3	2	4	2	0	0	0	0	1	433	NA	433	NA
"75"	"55"	2	259	4	91	0	0	0	12	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	371	NA	371	NA
"76"	"56"	172	50	3	6	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	235	NA	235	NA
"77"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"78"	"Total"	340	2074	115	1973	40	23	15	387	25	7	10	5	14	8	14	62	50	11	24	23	9	10	6	8	24	5277	NA	5277	NA
"79"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"80"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"81"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"82"	"Round 5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"83"	"57"	24	47	17	85	2	0	1	151	3	1	2	1	0	1	0	7	0	0	0	0	0	0	0	1	0	343	NA	343	NA
"84"	"58"	27	133	25	9	2	1	1	17	0	1	0	0	0	1	2	3	4	5	2	1	0	2	1	3	3	243	NA	243	NA
"85"	"59"	10	215	13	68	2	2	0	43	1	4	0	4	0	0	0	8	2	0	4	3	0	0	0	0	1	380	NA	380	NA
"86"	"60"	18	101	6	34	6	0	1	3	0	0	1	0	0	1	3	1	5	4	1	3	2	0	0	2	1	193	NA	193	NA
"87"	"61"	87	68	4	61	1	0	2	6	4	1	2	0	0	1	0	6	3	0	0	0	0	0	0	0	0	246	NA	246	NA
"88"	"62"	39	424	18	41	6	8	7	27	4	1	3	3	4	4	5	3	4	3	2	2	0	1	0	1	3	613	NA	613	NA
"89"	"63"	46	165	3	43	0	1	1	12	2	1	0	0	1	0	1	1	0	6	2	2	1	0	0	1	2	291	NA	291	NA
"90"	"64"	144	219	44	9	2	1	2	2	1	0	1	1	2	1	3	9	1	1	1	0	0	2	2	0	1	449	NA	449	NA
"91"	"65"	53	158	3	8	4	0	1	25	2	1	1	0	0	3	1	4	2	1	3	1	1	1	1	4	3	281	NA	281	NA
"92"	"66"	95	30	0	11	3	0	1	117	6	2	3	2	1	2	0	7	1	0	1	1	0	1	0	1	5	290	NA	290	NA
"93"	"67"	94	138	1	0	0	0	0	2	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	239	NA	239	NA
"94"	"68"	47	79	1	10	0	0	0	22	2	2	0	0	0	0	1	1	2	0	2	1	0	0	0	1	1	172	NA	172	NA
"95"	"69"	39	364	0	135	0	1	0	27	1	0	1	0	0	1	0	0	2	1	1	0	0	0	0	0	1	574	NA	574	NA
"96"	"70"	7	106	3	95	2	3	1	11	9	0	0	4	2	4	3	9	2	2	4	1	0	2	2	0	1	273	NA	273	NA
"97"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"98"	"Total"	730	2247	138	609	30	17	18	465	35	14	14	15	10	19	21	59	30	23	23	15	4	9	6	14	22	4587	NA	4587	NA
"99"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"100"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"101"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"102"	"Round 6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"103"	"71"	41	273	22	21	4	2	0	8	2	0	0	2	1	0	0	2	4	19	17	3	1	1	1	1	5	430	NA	430	NA
"104"	"72"	69	88	1	96	1	1	0	54	0	0	1	1	0	0	1	10	1	0	3	0	0	0	0	1	0	328	NA	328	NA
"105"	"73"	33	137	51	169	4	6	4	81	4	1	3	2	3	1	3	2	11	3	2	2	2	1	0	1	2	528	NA	528	NA
"106"	"74"	2	37	2	412	3	1	0	0	3	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	1	465	NA	465	NA
"107"	"75"	6	31	17	233	4	0	1	12	1	1	1	1	1	1	0	3	9	1	1	0	1	0	0	1	0	326	NA	326	NA
"108"	"76"	21	59	1	320	3	0	0	3	1	0	0	1	1	2	0	3	0	1	0	0	0	0	0	0	0	416	NA	416	NA
"109"	"77"	14	96	40	101	4	0	2	28	1	0	3	1	5	3	2	6	1	3	2	0	0	0	0	1	1	314	NA	314	NA
"110"	"78"	6	13	1	159	2	2	1	3	1	0	0	0	2	0	0	3	0	1	0	4	0	0	0	0	1	199	NA	199	NA
"111"	"79"	237	177	6	3	0	0	0	9	0	0	0	0	1	0	0	4	0	1	0	0	0	0	0	0	1	439	NA	439	NA
"112"	"80"	32	291	0	1	0	1	0	0	1	0	0	0	1	0	0	2	2	1	0	0	0	0	0	0	0	332	NA	332	NA
"113"	"81"	67	498	1	0	0	0	0	2	0	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	0	575	NA	575	NA
"114"	"82"	133	71	1	1	0	1	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	1	212	NA	212	NA
"115"	"83"	14	34	17	212	3	0	2	41	6	0	0	2	0	2	3	10	7	2	3	5	2	2	2	1	3	373	NA	373	NA
"116"	"84"	24	73	4	132	1	1	0	58	0	3	1	1	1	0	1	4	0	0	0	0	2	0	0	2	0	308	NA	308	NA
"117"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"118"	"Total"	699	1878	164	1860	29	15	10	299	20	5	10	11	17	12	12	53	37	33	28	15	8	4	3	8	15	5245	NA	5245	NA
"119"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"120"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"121"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"122"	"Round 7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"123"	"85"	14	138	14	136	3	0	1	53	7	2	2	2	4	3	12	11	6	4	1	3	1	0	0	1	1	419	NA	419	NA
"124"	"86"	17	418	1	11	2	0	1	1	6	2	0	0	1	1	0	10	0	0	1	0	0	0	0	0	0	472	NA	472	NA
"125"	"87"	85	236	3	6	1	1	1	4	0	2	0	1	0	1	0	7	5	3	0	0	0	0	1	0	1	358	NA	358	NA
"126"	"88"	1	4	1	338	7	1	0	1	2	0	0	0	0	0	1	1	2	0	0	0	0	1	0	0	0	360	NA	360	NA
"127"	"89"	89	74	16	0	0	1	0	1	0	0	0	0	0	1	0	3	4	1	0	3	0	0	1	0	1	195	NA	195	NA
"128"	"90"	45	375	7	2	0	0	0	2	0	0	0	0	0	2	1	6	0	0	0	1	0	0	0	0	0	441	NA	441	NA
"129"	"91"	49	202	25	252	7	2	0	1	1	7	0	3	4	2	3	6	6	4	0	1	0	0	1	0	3	579	NA	579	NA
"130"	"92"	70	258	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	330	NA	330	NA
"131"	"93"	30	107	39	359	3	1	0	37	5	1	0	0	1	1	1	3	3	1	0	3	1	0	0	0	0	596	NA	596	NA
"132"	"94"	95	56	5	48	1	0	0	0	0	1	0	1	1	0	0	1	10	0	0	0	1	0	0	0	2	222	NA	222	NA
"133"	"95"	13	500	9	29	2	1	0	19	0	1	0	1	0	0	0	4	4	5	1	2	1	0	0	0	0	592	NA	592	NA
"134"	"96"	41	97	0	3	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	146	NA	146	NA
"135"	"97"	3	8	3	278	2	1	1	3	3	0	0	0	0	0	0	2	1	2	0	1	0	0	0	0	1	309	NA	309	NA
"136"	"98"	6	37	40	30	3	2	1	4	0	1	1	1	0	1	0	0	0	9	8	4	0	0	0	1	0	149	NA	149	NA
"137"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"138"	"Total"	558	2510	163	1492	32	10	5	126	24	17	3	9	11	12	18	57	42	29	12	18	4	1	3	2	10	5168	NA	5168	NA
"139"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"140"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"141"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"142"	"Round 8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"143"	"99"	50	96	50	17	0	1	4	64	3	1	1	0	1	1	1	8	0	0	0	1	0	0	2	1	0	302	NA	302	NA
"144"	"100"	8	20	3	127	2	7	0	2	3	1	2	1	4	1	1	3	1	4	0	4	0	0	0	1	0	195	NA	195	NA
"145"	"101"	72	110	14	1	1	0	0	0	0	0	0	0	1	1	2	2	3	0	1	0	0	0	2	0	0	210	NA	210	NA
"146"	"102"	9	51	7	120	5	0	1	5	122	2	0	1	1	2	0	3	4	0	0	0	1	0	1	1	1	337	NA	337	NA
"147"	"103"	4	75	2	75	4	4	0	13	83	1	2	1	0	0	2	4	0	2	0	0	0	1	0	0	3	276	NA	276	NA
"148"	"104"	8	97	28	30	1	0	0	2	78	0	1	1	1	0	0	1	3	0	0	0	0	0	0	1	0	252	NA	252	NA
"149"	"105"	8	42	1	150	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	207	NA	207	NA
"150"	"106"	47	129	48	1	0	1	0	0	5	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	236	NA	236	NA
"151"	"107"	84	274	2	11	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	377	NA	377	NA
"152"	"108"	14	171	2	289	6	2	0	2	0	0	0	0	0	0	4	2	0	1	1	2	0	0	0	0	0	496	NA	496	NA
"153"	"109"	7	112	27	66	0	0	0	18	5	0	2	1	3	4	5	4	3	6	4	1	1	0	2	0	1	272	NA	272	NA
"154"	"110"	20	103	3	172	5	0	1	1	0	1	0	0	2	3	1	1	13	7	3	3	2	0	0	2	1	344	NA	344	NA
"155"	"111"	32	102	36	116	2	3	4	55	16	1	1	1	2	0	2	9	5	1	0	1	2	0	0	0	0	391	NA	391	NA
"156"	"112"	30	141	3	5	1	4	4	60	32	1	2	1	3	1	7	17	3	2	3	2	0	0	3	1	3	329	NA	329	NA
"157"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"158"	"Total"	393	1523	226	1180	29	22	14	222	348	8	12	8	21	14	27	56	35	23	14	16	6	1	10	7	9	4224	NA	4224	NA
"159"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"160"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"161"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"162"	"Round 9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"163"	"113"	75	48	13	98	16	3	2	74	13	5	7	4	6	6	6	32	7	3	0	4	1	2	0	3	0	428	NA	428	NA
"164"	"114"	30	43	4	56	2	2	1	41	5	1	0	3	2	0	3	5	2	1	2	0	1	1	0	0	1	206	NA	206	NA
"165"	"115"	16	101	1	9	0	0	1	51	1	2	0	0	1	0	2	1	0	1	0	1	0	0	1	1	0	190	NA	190	NA
"166"	"116"	2	53	3	158	1	0	0	0	6	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	230	NA	230	NA
"167"	"117"	5	43	1	190	1	0	0	26	46	1	0	0	3	1	1	12	2	3	1	1	1	0	0	0	0	338	NA	338	NA
"168"	"118"	16	32	1	40	0	2	9	142	9	1	0	4	1	0	1	7	5	0	2	5	2	1	2	8	4	294	NA	294	NA
"169"	"119"	342	86	5	0	0	0	0	1	0	0	0	0	0	1	1	6	8	1	0	1	0	0	0	1	0	453	NA	453	NA
"170"	"120"	37	274	10	14	3	4	0	4	1	1	0	0	2	5	4	8	3	9	5	0	1	0	0	0	0	385	NA	385	NA
"171"	"121"	49	178	4	19	0	2	0	0	13	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	270	NA	270	NA
"172"	"122"	121	310	1	1	0	2	0	2	0	0	0	0	0	1	1	4	7	2	2	0	1	0	0	2	0	457	NA	457	NA
"173"	"123"	14	358	3	18	0	0	0	1	0	0	0	0	1	1	1	3	1	2	0	1	0	0	1	0	0	405	NA	405	NA
"174"	"124"	30	263	15	5	0	0	0	1	0	0	0	0	0	0	6	1	6	6	0	0	0	0	0	1	0	334	NA	334	NA
