"ANNEXURE...XLII"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"1"	"(CHAPTER XIV, PARA 25.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE RULE 56C (2)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 26-BHAGALPUR PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Segment  :-   205767"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of Assembly Segement :- 153-Gopalpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"24"	"15"	"15"	"61"	"63"	"14"	"92"	"150"	"7"	"5"	"9"	"8"	"3"	"7"	"4"	"3"	"4"	"5"	"9"	"18"	"3"	"10"	"19"	"11"	"505"	"0"	"505"	"0"
"25"	"16"	"16"	"44"	"169"	"19"	"78"	"184"	"16"	"8"	"9"	"5"	"3"	"8"	"2"	"4"	"5"	"2"	"10"	"8"	"5"	"6"	"5"	"2"	"592"	"0"	"592"	"0"
"26"	"17"	"17"	"14"	"122"	"2"	"85"	"28"	"1"	"3"	"4"	"2"	"1"	"0"	"3"	"0"	"1"	"1"	"2"	"0"	"4"	"0"	"2"	"0"	"275"	"0"	"275"	"0"
"27"	"18"	"18"	"3"	"41"	"8"	"7"	"223"	"10"	"0"	"3"	"2"	"2"	"22"	"18"	"9"	"10"	"6"	"13"	"1"	"0"	"1"	"4"	"3"	"386"	"0"	"386"	"0"
"28"	"19"	"19"	"5"	"43"	"2"	"1"	"96"	"3"	"3"	"0"	"0"	"0"	"1"	"4"	"4"	"2"	"4"	"3"	"3"	"3"	"3"	"1"	"8"	"189"	"0"	"189"	"0"
"29"	"20"	"20"	"4"	"158"	"6"	"69"	"88"	"2"	"2"	"1"	"1"	"2"	"4"	"1"	"9"	"3"	"9"	"17"	"3"	"6"	"1"	"9"	"11"	"406"	"0"	"406"	"0"
"30"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"31"	""	""	"Ajit Sharma"	"Shakuni Choudhary"	"Sadanand Singh"	"Subodh Roy"	"Syed Shahnawaz Hussain"	"Daya Ram Mandal"	"Deepak Ram"	"Naresh Mandal"	"Md. Izrail"	"Raman Sah"	"Ram Vilash Paswan"	"Srinarayan Gauswami"	"Amit Kumar Jha"	"Anand Kumar Jain"	"Indradeo Kumar Singh"	"Dinesh Yadav"	"Dr. N.K. Yadav"	"Ratan Kumar Mandal"	"Ravishankar Singh"	"Laddu"	"Sikandar Tanti"	""	""	""	""
"32"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"33"	"21"	"21"	"5"	"127"	"11"	"11"	"146"	"9"	"1"	"0"	"0"	"2"	"6"	"4"	"1"	"1"	"0"	"4"	"5"	"0"	"1"	"0"	"5"	"339"	"0"	"339"	"0"
"34"	"22"	"22"	"3"	"37"	"6"	"2"	"140"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"2"	"198"	"0"	"198"	"0"
"35"	"23"	"23"	"6"	"46"	"12"	"1"	"295"	"13"	"0"	"3"	"2"	"2"	"12"	"8"	"10"	"3"	"5"	"21"	"0"	"0"	"0"	"2"	"7"	"448"	"0"	"448"	"0"
"36"	"24"	"24"	"11"	"32"	"17"	"6"	"386"	"20"	"2"	"2"	"2"	"0"	"4"	"3"	"6"	"4"	"5"	"16"	"2"	"0"	"2"	"2"	"8"	"530"	"0"	"530"	"0"
"37"	"25"	"25"	"113"	"10"	"21"	"5"	"261"	"7"	"2"	"0"	"2"	"3"	"12"	"2"	"6"	"7"	"3"	"24"	"10"	"1"	"2"	"0"	"5"	"496"	"0"	"496"	"0"
"38"	"26"	"26"	"14"	"5"	"1"	"1"	"146"	"1"	"1"	"1"	"2"	"1"	"5"	"0"	"1"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"1"	"184"	"0"	"184"	"0"
"39"	"27"	"27"	"15"	"48"	"12"	"46"	"571"	"13"	"4"	"1"	"3"	"5"	"9"	"5"	"3"	"2"	"4"	"5"	"7"	"2"	"5"	"3"	"19"	"782"	"0"	"782"	"0"
"40"	"28"	"28"	"5"	"33"	"7"	"6"	"288"	"11"	"5"	"2"	"0"	"0"	"3"	"4"	"3"	"3"	"10"	"6"	"2"	"2"	"2"	"1"	"8"	"401"	"0"	"401"	"0"
"41"	"29"	"29"	"30"	"91"	"62"	"17"	"424"	"11"	"3"	"2"	"2"	"4"	"14"	"0"	"5"	"2"	"5"	"9"	"13"	"0"	"2"	"3"	"9"	"708"	"0"	"708"	"0"
"42"	"30"	"30"	"23"	"114"	"17"	"8"	"283"	"6"	"1"	"2"	"1"	"2"	"2"	"2"	"2"	"3"	"4"	"12"	"9"	"3"	"3"	"1"	"12"	"510"	"0"	"510"	"0"
"43"	"31"	"31"	"2"	"151"	"12"	"8"	"228"	"2"	"0"	"0"	"2"	"6"	"4"	"4"	"3"	"1"	"7"	"7"	"3"	"4"	"1"	"2"	"3"	"450"	"0"	"450"	"0"
"44"	"32"	"32"	"0"	"39"	"7"	"1"	"208"	"3"	"1"	"2"	"0"	"0"	"1"	"1"	"2"	"1"	"0"	"2"	"1"	"1"	"0"	"1"	"2"	"273"	"0"	"273"	"0"
"45"	"33"	"33"	"5"	"20"	"1"	"0"	"210"	"6"	"2"	"0"	"3"	"1"	"2"	"0"	"0"	"0"	"3"	"1"	"2"	"0"	"1"	"1"	"6"	"264"	"0"	"264"	"0"
"46"	"34"	"34"	"2"	"34"	"13"	"2"	"362"	"3"	"2"	"0"	"0"	"1"	"2"	"1"	"0"	"0"	"0"	"4"	"2"	"1"	"0"	"0"	"1"	"430"	"0"	"430"	"0"
"47"	"35"	"35"	"3"	"28"	"11"	"4"	"357"	"3"	"0"	"1"	"3"	"2"	"2"	"2"	"1"	"0"	"1"	"3"	"1"	"1"	"1"	"0"	"9"	"433"	"0"	"433"	"0"
"48"	"36"	"36"	"12"	"20"	"24"	"6"	"294"	"10"	"3"	"1"	"1"	"2"	"5"	"5"	"1"	"1"	"1"	"1"	"6"	"0"	"1"	"0"	"1"	"395"	"0"	"395"	"0"
"49"	"37"	"37"	"9"	"81"	"9"	"1"	"382"	"9"	"5"	"2"	"1"	"0"	"6"	"12"	"1"	"2"	"1"	"8"	"3"	"2"	"2"	"1"	"25"	"562"	"0"	"562"	"0"
"50"	"38"	"38"	"24"	"306"	"20"	"4"	"70"	"3"	"1"	"0"	"2"	"2"	"2"	"2"	"0"	"2"	"6"	"9"	"7"	"1"	"3"	"0"	"6"	"470"	"0"	"470"	"0"
"51"	"39"	"39"	"8"	"329"	"13"	"3"	"26"	"0"	"1"	"0"	"0"	"1"	"0"	"3"	"1"	"5"	"0"	"5"	"10"	"3"	"2"	"0"	"0"	"410"	"0"	"410"	"0"
"52"	"40"	"40"	"16"	"155"	"11"	"6"	"117"	"5"	"5"	"0"	"0"	"0"	"1"	"1"	"3"	"0"	"1"	"2"	"7"	"3"	"1"	"1"	"0"	"335"	"0"	"335"	"0"
"53"	"41"	"41"	"21"	"159"	"79"	"27"	"189"	"8"	"1"	"3"	"1"	"2"	"12"	"8"	"5"	"5"	"15"	"36"	"5"	"0"	"2"	"1"	"3"	"582"	"0"	"582"	"0"
"54"	"42"	"42"	"9"	"26"	"15"	"33"	"294"	"17"	"1"	"4"	"1"	"1"	"11"	"9"	"7"	"8"	"5"	"13"	"9"	"2"	"2"	"4"	"8"	"479"	"0"	"479"	"0"
"55"	"43"	"43"	"16"	"265"	"14"	"7"	"105"	"6"	"0"	"3"	"6"	"1"	"4"	"1"	"2"	"0"	"0"	"4"	"1"	"0"	"1"	"0"	"0"	"436"	"0"	"436"	"0"
"56"	"44"	"44"	"11"	"119"	"8"	"2"	"205"	"6"	"0"	"2"	"0"	"2"	"5"	"3"	"2"	"2"	"3"	"3"	"1"	"0"	"1"	"0"	"2"	"377"	"0"	"377"	"0"
"57"	"45"	"45"	"19"	"49"	"0"	"4"	"142"	"7"	"6"	"1"	"3"	"1"	"5"	"2"	"2"	"2"	"3"	"5"	"4"	"2"	"0"	"1"	"3"	"261"	"0"	"261"	"0"
"58"	"46"	"46"	"37"	"206"	"12"	"6"	"276"	"3"	"1"	"4"	"2"	"5"	"25"	"9"	"7"	"3"	"10"	"26"	"4"	"3"	"0"	"2"	"8"	"649"	"0"	"649"	"0"
"59"	"47"	"47"	"13"	"170"	"6"	"13"	"398"	"15"	"6"	"1"	"2"	"4"	"15"	"6"	"4"	"5"	"10"	"12"	"5"	"5"	"2"	"3"	"10"	"705"	"0"	"705"	"0"
"60"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"61"	""	""	"Ajit Sharma"	"Shakuni Choudhary"	"Sadanand Singh"	"Subodh Roy"	"Syed Shahnawaz Hussain"	"Daya Ram Mandal"	"Deepak Ram"	"Naresh Mandal"	"Md. Izrail"	"Raman Sah"	"Ram Vilash Paswan"	"Srinarayan Gauswami"	"Amit Kumar Jha"	"Anand Kumar Jain"	"Indradeo Kumar Singh"	"Dinesh Yadav"	"Dr. N.K. Yadav"	"Ratan Kumar Mandal"	"Ravishankar Singh"	"Laddu"	"Sikandar Tanti"	""	""	""	""
"62"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"63"	"48"	"48"	"5"	"27"	"9"	"6"	"314"	"4"	"1"	"0"	"1"	"0"	"2"	"4"	"2"	"0"	"0"	"5"	"0"	"3"	"0"	"7"	"17"	"407"	"0"	"407"	"0"
"64"	"49"	"49"	"13"	"50"	"5"	"3"	"211"	"3"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"1"	"292"	"0"	"292"	"0"
"65"	"50"	"50"	"3"	"54"	"22"	"1"	"70"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"3"	"2"	"0"	"0"	"3"	"161"	"0"	"161"	"0"
"66"	"51"	"51"	"23"	"121"	"11"	"3"	"208"	"8"	"4"	"3"	"1"	"4"	"10"	"5"	"2"	"5"	"6"	"20"	"8"	"2"	"0"	"2"	"5"	"451"	"0"	"451"	"0"
"67"	"52"	"52"	"7"	"7"	"32"	"6"	"222"	"5"	"0"	"2"	"0"	"1"	"2"	"1"	"2"	"0"	"0"	"3"	"1"	"0"	"0"	"1"	"4"	"296"	"0"	"296"	"0"
"68"	"53"	"53"	"1"	"13"	"57"	"3"	"437"	"2"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"2"	"521"	"0"	"521"	"0"
"69"	"54"	"54"	"7"	"31"	"10"	"2"	"335"	"5"	"1"	"0"	"0"	"1"	"1"	"7"	"3"	"1"	"1"	"6"	"0"	"1"	"0"	"0"	"6"	"418"	"0"	"418"	"0"
"70"	"55"	"55"	"6"	"23"	"12"	"2"	"579"	"4"	"2"	"0"	"0"	"1"	"1"	"2"	"0"	"2"	"1"	"3"	"1"	"1"	"0"	"1"	"10"	"651"	"0"	"651"	"0"
"71"	"56"	"56"	"7"	"89"	"6"	"2"	"200"	"4"	"2"	"1"	"0"	"1"	"5"	"0"	"2"	"0"	"3"	"4"	"0"	"0"	"0"	"0"	"2"	"328"	"0"	"328"	"0"
"72"	"57"	"57"	"61"	"20"	"36"	"35"	"397"	"13"	"5"	"6"	"2"	"2"	"5"	"2"	"2"	"0"	"0"	"11"	"15"	"6"	"3"	"2"	"10"	"633"	"0"	"633"	"0"
"73"	"58"	"58"	"19"	"93"	"22"	"20"	"372"	"11"	"8"	"7"	"5"	"8"	"15"	"9"	"7"	"6"	"7"	"29"	"4"	"1"	"2"	"2"	"3"	"650"	"0"	"650"	"0"
"74"	"59"	"59"	"7"	"91"	"11"	"18"	"113"	"2"	"2"	"0"	"1"	"3"	"5"	"1"	"1"	"2"	"3"	"19"	"5"	"42"	"2"	"1"	"3"	"332"	"0"	"332"	"0"
"75"	"60"	"60"	"8"	"197"	"21"	"0"	"67"	"2"	"0"	"1"	"3"	"0"	"1"	"0"	"1"	"1"	"3"	"6"	"2"	"4"	"1"	"0"	"0"	"318"	"0"	"318"	"0"
"76"	"61"	"61"	"9"	"68"	"7"	"23"	"214"	"7"	"2"	"0"	"2"	"1"	"4"	"2"	"4"	"3"	"1"	"8"	"5"	"0"	"2"	"1"	"2"	"365"	"0"	"365"	"0"
"77"	"62"	"62"	"18"	"75"	"14"	"2"	"196"	"4"	"1"	"0"	"1"	"4"	"8"	"5"	"3"	"5"	"6"	"15"	"8"	"10"	"3"	"3"	"23"	"404"	"0"	"404"	"0"
"78"	"63"	"63"	"13"	"19"	"16"	"10"	"346"	"12"	"2"	"0"	"2"	"3"	"9"	"1"	"4"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"440"	"0"	"440"	"0"
"79"	"64"	"64"	"71"	"48"	"41"	"11"	"293"	"4"	"1"	"0"	"1"	"1"	"2"	"5"	"2"	"0"	"5"	"8"	"1"	"2"	"4"	"0"	"11"	"511"	"0"	"511"	"0"
"80"	"65"	"65"	"106"	"26"	"11"	"4"	"162"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"5"	"1"	"1"	"1"	"4"	"323"	"0"	"323"	"0"
"81"	"66"	"66"	"62"	"6"	"29"	"8"	"117"	"1"	"0"	"0"	"0"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"228"	"0"	"228"	"0"
"82"	"67"	"67"	"34"	"38"	"19"	"14"	"235"	"4"	"1"	"1"	"0"	"3"	"9"	"2"	"5"	"5"	"3"	"27"	"4"	"2"	"1"	"1"	"14"	"422"	"0"	"422"	"0"
"83"	"68"	"68"	"32"	"227"	"29"	"74"	"221"	"5"	"1"	"4"	"4"	"2"	"6"	"9"	"10"	"6"	"11"	"22"	"6"	"11"	"1"	"7"	"8"	"696"	"0"	"696"	"0"
"84"	"69"	"69"	"150"	"29"	"14"	"25"	"150"	"1"	"2"	"1"	"3"	"1"	"1"	"6"	"3"	"4"	"0"	"13"	"7"	"1"	"1"	"0"	"3"	"415"	"0"	"415"	"0"
"85"	"70"	"70"	"5"	"33"	"2"	"9"	"249"	"7"	"0"	"0"	"3"	"1"	"11"	"7"	"5"	"1"	"1"	"5"	"1"	"0"	"1"	"1"	"5"	"347"	"0"	"347"	"0"
"86"	"71"	"71"	"31"	"165"	"17"	"27"	"354"	"10"	"2"	"6"	"13"	"4"	"11"	"4"	"5"	"3"	"1"	"9"	"15"	"1"	"10"	"5"	"11"	"704"	"0"	"704"	"0"
"87"	"72"	"72"	"43"	"77"	"28"	"2"	"188"	"3"	"1"	"2"	"1"	"0"	"4"	"1"	"1"	"1"	"1"	"4"	"1"	"2"	"6"	"1"	"4"	"371"	"0"	"371"	"0"
"88"	"73"	"73"	"27"	"37"	"28"	"7"	"195"	"4"	"2"	"0"	"0"	"3"	"8"	"13"	"1"	"3"	"4"	"4"	"5"	"1"	"1"	"0"	"5"	"348"	"0"	"348"	"0"
"89"	"74"	"74"	"57"	"26"	"11"	"4"	"270"	"9"	"1"	"1"	"1"	"3"	"4"	"9"	"2"	"2"	"4"	"14"	"3"	"1"	"0"	"1"	"9"	"432"	"0"	"432"	"0"
"90"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"91"	""	""	"Ajit Sharma"	"Shakuni Choudhary"	"Sadanand Singh"	"Subodh Roy"	"Syed Shahnawaz Hussain"	"Daya Ram Mandal"	"Deepak Ram"	"Naresh Mandal"	"Md. Izrail"	"Raman Sah"	"Ram Vilash Paswan"	"Srinarayan Gauswami"	"Amit Kumar Jha"	"Anand Kumar Jain"	"Indradeo Kumar Singh"	"Dinesh Yadav"	"Dr. N.K. Yadav"	"Ratan Kumar Mandal"	"Ravishankar Singh"	"Laddu"	"Sikandar Tanti"	""	""	""	""
"92"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"93"	"75"	"75"	"19"	"23"	"9"	"7"	"150"	"7"	"1"	"1"	"2"	"2"	"10"	"3"	"3"	"3"	"2"	"14"	"0"	"3"	"0"	"2"	"11"	"272"	"0"	"272"	"0"
"94"	"76"	"76"	"23"	"150"	"9"	"8"	"255"	"10"	"6"	"6"	"5"	"12"	"5"	"1"	"9"	"3"	"2"	"15"	"93"	"12"	"4"	"7"	"22"	"657"	"0"	"657"	"0"
"95"	"77"	"77"	"18"	"21"	"4"	"10"	"390"	"13"	"3"	"3"	"0"	"3"	"17"	"8"	"5"	"3"	"10"	"21"	"2"	"3"	"0"	"0"	"3"	"537"	"0"	"537"	"0"
"96"	"78"	"78"	"18"	"361"	"22"	"6"	"31"	"3"	"6"	"1"	"3"	"2"	"4"	"0"	"2"	"4"	"6"	"26"	"14"	"6"	"1"	"0"	"13"	"529"	"0"	"529"	"0"
"97"	"79"	"79"	"55"	"414"	"19"	"5"	"37"	"4"	"3"	"1"	"4"	"1"	"1"	"2"	"1"	"0"	"6"	"15"	"5"	"5"	"0"	"2"	"0"	"580"	"0"	"580"	"0"
"98"	"80"	"80"	"10"	"93"	"102"	"18"	"72"	"5"	"6"	"3"	"3"	"1"	"5"	"3"	"0"	"7"	"7"	"11"	"5"	"18"	"9"	"8"	"15"	"401"	"0"	"401"	"0"
"99"	"81"	"81"	"43"	"230"	"13"	"6"	"137"	"5"	"2"	"2"	"4"	"22"	"13"	"7"	"4"	"1"	"2"	"34"	"4"	"19"	"1"	"0"	"0"	"549"	"0"	"549"	"0"
"100"	"82"	"82"	"41"	"6"	"4"	"8"	"306"	"2"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"2"	"2"	"0"	"7"	"0"	"1"	"383"	"0"	"383"	"0"
"101"	"83"	"83"	"18"	"17"	"5"	"5"	"256"	"3"	"0"	"0"	"0"	"0"	"4"	"1"	"2"	"0"	"3"	"2"	"5"	"4"	"2"	"1"	"13"	"341"	"0"	"341"	"0"
"102"	"84"	"84"	"15"	"28"	"8"	"6"	"496"	"9"	"0"	"4"	"3"	"14"	"10"	"3"	"1"	"1"	"2"	"3"	"5"	"2"	"1"	"1"	"3"	"615"	"0"	"615"	"0"
"103"	"85"	"85"	"20"	"7"	"17"	"15"	"365"	"6"	"2"	"1"	"1"	"21"	"12"	"4"	"1"	"5"	"1"	"13"	"3"	"14"	"2"	"1"	"4"	"515"	"0"	"515"	"0"
"104"	"86"	"86"	"16"	"7"	"20"	"40"	"354"	"11"	"1"	"3"	"3"	"4"	"14"	"7"	"5"	"2"	"2"	"20"	"0"	"22"	"2"	"0"	"1"	"534"	"0"	"534"	"0"
"105"	"87"	"87"	"26"	"7"	"4"	"42"	"110"	"4"	"3"	"2"	"1"	"5"	"10"	"3"	"4"	"4"	"9"	"72"	"1"	"110"	"2"	"3"	"1"	"423"	"0"	"423"	"0"
"106"	"88"	"88"	"10"	"43"	"55"	"5"	"282"	"11"	"0"	"2"	"0"	"3"	"9"	"2"	"5"	"0"	"4"	"10"	"1"	"0"	"0"	"1"	"14"	"457"	"0"	"457"	"0"
"107"	"89"	"89"	"14"	"42"	"44"	"6"	"97"	"2"	"2"	"0"	"0"	"1"	"1"	"1"	"0"	"2"	"0"	"2"	"1"	"0"	"2"	"0"	"3"	"220"	"0"	"220"	"0"
"108"	"90"	"90"	"7"	"6"	"12"	"0"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"5"	"1"	"2"	"0"	"8"	"74"	"0"	"74"	"0"
"109"	"91"	"91"	"96"	"57"	"15"	"5"	"132"	"11"	"2"	"2"	"3"	"4"	"11"	"1"	"1"	"1"	"3"	"20"	"8"	"2"	"4"	"3"	"3"	"384"	"0"	"384"	"0"
"110"	"92"	"92"	"15"	"93"	"9"	"5"	"131"	"9"	"2"	"3"	"1"	"2"	"5"	"2"	"1"	"1"	"4"	"14"	"8"	"9"	"3"	"5"	"17"	"339"	"0"	"339"	"0"
"111"	"93"	"93"	"35"	"53"	"9"	"11"	"186"	"5"	"2"	"3"	"3"	"2"	"3"	"3"	"2"	"0"	"2"	"4"	"16"	"2"	"1"	"5"	"5"	"352"	"0"	"352"	"0"
