"X36...Parliamentary..Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"
"24"	"Name of Candidate"	"Dr. Arun Kumar"	"Jagdish Sharma"	"Ramadhar Sharma"	"Surendra Prasad Yadav"	"Ayasha Khatun"	"Prof. Jai Ram Prasad Singh"	"Tara Gupta"	"Mahanand Prasad"	"Ramasray Prasad Singh"	"Md. Shahabubin Jahan"	"Shravan kumar"	"Sadhu Sinha"	"Syed Akber Imam"	"Ajay Kumar Verma"	"Abhay Kumar Anil"	"Dr. Arbind Kumar"	"Arvind Prasad Singh"	"Upendra Prasad"	"Jagdish Yadav"	"Prikshit Singh"	"Prabhat Kumar Ranjan"	"Ranjit Sharma"	"Rakeshwar Kishor"	"Siya Ram Prasad"	"Sumirak Singh"	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"
"25"	"15"	"6"	"72"	"1"	"202"	"4"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"2"	"3"	"0"	"2"	"1"	"2"	"1"	"0"	"0"	"300"	""	"300"	""
"26"	"16"	"66"	"446"	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"5"	"3"	"2"	"4"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"534"	""	"534"	""
"27"	"17"	"6"	"228"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	""	"250"	""
"28"	"18"	"38"	"163"	"37"	"29"	"3"	"5"	"0"	"1"	"1"	"2"	"0"	"0"	"1"	"2"	"0"	"4"	"2"	"3"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"294"	""	"294"	""
"29"	"19"	"3"	"96"	"42"	"322"	"8"	"1"	"6"	"6"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"4"	"4"	"1"	"1"	"3"	"0"	"0"	"2"	"0"	"0"	"502"	""	"502"	""
"30"	"20"	"1"	"61"	"4"	"535"	"3"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"2"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"615"	""	"615"	""
"31"	"21"	"6"	"43"	"1"	"25"	"3"	"2"	"2"	"64"	"10"	"0"	"0"	"2"	"3"	"3"	"1"	"12"	"2"	"5"	"2"	"1"	"3"	"1"	"2"	"6"	"8"	"207"	""	"207"	""
"32"	"22"	"10"	"4"	"41"	"184"	"6"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"3"	"0"	"3"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"258"	""	"258"	""
"33"	"23"	"4"	"412"	"17"	"7"	"0"	"1"	"0"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"451"	""	"451"	""
"34"	"24"	"24"	"38"	"1"	"271"	"9"	"1"	"1"	"9"	"1"	"0"	"0"	"2"	"1"	"0"	"0"	"12"	"1"	"2"	"2"	"4"	"4"	"1"	"1"	"0"	"2"	"387"	""	"387"	""
"35"	"25"	"4"	"3"	"1"	"244"	"6"	"1"	"0"	"17"	"3"	"0"	"1"	"0"	"1"	"1"	"0"	"2"	"4"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"5"	"295"	""	"295"	""
"36"	"26"	"9"	"11"	"0"	"84"	"0"	"0"	"1"	"67"	"1"	"2"	"2"	"1"	"0"	"0"	"0"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"192"	""	"192"	""
"37"	"27"	"51"	"74"	"0"	"3"	"1"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"3"	"4"	"2"	"2"	"3"	"0"	"1"	"0"	"2"	"152"	""	"152"	""
"38"	"28"	"52"	"164"	"0"	"17"	"0"	"1"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"3"	"5"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"251"	""	"251"	""
"39"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"Total"	"280"	"1815"	"149"	"1936"	"43"	"16"	"12"	"172"	"23"	"6"	"4"	"5"	"10"	"10"	"8"	"64"	"26"	"30"	"10"	"18"	"14"	"4"	"8"	"8"	"17"	"4688"	""	"4688"	""
"41"	"Signature of ARO                                                                                          Signature of RO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"42"	"Round 3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43"	"Name of Candidate"	"Dr. Arun Kumar"	"Jagdish Sharma"	"Ramadhar Sharma"	"Surendra Prasad Yadav"	"Ayasha Khatun"	"Prof. Jai Ram Prasad Singh"	"Tara Gupta"	"Mahanand Prasad"	"Ramasray Prasad Singh"	"Md. Shahabubin Jahan"	"Shravan kumar"	"Sadhu Sinha"	"Syed Akber Imam"	"Ajay Kumar Verma"	"Abhay Kumar Anil"	"Dr. Arbind Kumar"	"Arvind Prasad Singh"	"Upendra Prasad"	"Jagdish Yadav"	"Prikshit Singh"	"Prabhat Kumar Ranjan"	"Ranjit Sharma"	"Rakeshwar Kishor"	"Siya Ram Prasad"	"Sumirak Singh"	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"
"44"	"29"	"25"	"588"	"10"	"43"	"2"	"3"	"2"	"11"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"14"	"0"	"1"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"705"	""	"705"	""
"45"	"30"	"97"	"230"	"8"	"37"	"2"	"3"	"1"	"0"	"0"	"0"	"2"	"1"	"1"	"3"	"11"	"50"	"4"	"4"	"4"	"1"	"0"	"0"	"1"	"0"	"7"	"467"	""	"467"	""
"46"	"31"	"85"	"152"	"21"	"55"	"3"	"3"	"0"	"2"	"0"	"0"	"2"	"1"	"1"	"0"	"0"	"11"	"7"	"3"	"0"	"2"	"0"	"1"	"0"	"0"	"1"	"350"	""	"350"	""
"47"	"32"	"32"	"65"	"7"	"122"	"3"	"0"	"0"	"20"	"1"	"0"	"2"	"0"	"2"	"2"	"3"	"3"	"4"	"3"	"0"	"0"	"2"	"1"	"0"	"2"	"1"	"275"	""	"275"	""
"48"	"33"	"10"	"26"	"0"	"207"	"3"	"7"	"1"	"13"	"2"	"1"	"2"	"1"	"2"	"0"	"5"	"10"	"4"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"296"	""	"296"	""
"49"	"34"	"37"	"158"	"20"	"99"	"3"	"5"	"1"	"76"	"6"	"3"	"1"	"5"	"2"	"5"	"5"	"10"	"2"	"0"	"3"	"2"	"1"	"2"	"1"	"2"	"2"	"451"	""	"451"	""
"50"	"35"	"27"	"123"	"21"	"22"	"0"	"1"	"0"	"49"	"3"	"0"	"1"	"0"	"0"	"1"	"0"	"7"	"1"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"260"	""	"260"	""
"51"	"36"	"33"	"59"	"6"	"96"	"2"	"1"	"2"	"14"	"6"	"0"	"1"	"0"	"0"	"2"	"1"	"2"	"5"	"0"	"1"	"5"	"0"	"1"	"0"	"1"	"0"	"238"	""	"238"	""
"52"	"37"	"144"	"324"	"5"	"4"	"0"	"3"	"0"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"492"	""	"492"	""
"53"	"38"	"3"	"1"	"3"	"93"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"7"	"0"	"0"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"113"	""	"113"	""
"54"	"39"	"40"	"176"	"38"	"30"	"3"	"3"	"7"	"176"	"8"	"1"	"1"	"2"	"3"	"5"	"3"	"15"	"1"	"2"	"3"	"1"	"1"	"1"	"3"	"4"	"4"	"531"	""	"531"	""
"55"	"40"	"27"	"206"	"4"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"4"	"7"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	""	"254"	""
"56"	"41"	"20"	"221"	"4"	"97"	"3"	"1"	"1"	"7"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"359"	""	"359"	""
"57"	"42"	"2"	"18"	"1"	"336"	"3"	"1"	"2"	"7"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"3"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"376"	""	"376"	""
"58"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"Total"	"582"	"2347"	"148"	"1242"	"27"	"31"	"18"	"380"	"30"	"5"	"15"	"12"	"20"	"18"	"33"	"136"	"30"	"17"	"18"	"15"	"5"	"7"	"5"	"10"	"16"	"5167"	""	"5167"	""
"60"	"Signature of ARO                                                                                          Signature of RO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"Round 4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"Name of Candidate"	"Dr. Arun Kumar"	"Jagdish Sharma"	"Ramadhar Sharma"	"Surendra Prasad Yadav"	"Ayasha Khatun"	"Prof. Jai Ram Prasad Singh"	"Tara Gupta"	"Mahanand Prasad"	"Ramasray Prasad Singh"	"Md. Shahabubin Jahan"	"Shravan kumar"	"Sadhu Sinha"	"Syed Akber Imam"	"Ajay Kumar Verma"	"Abhay Kumar Anil"	"Dr. Arbind Kumar"	"Arvind Prasad Singh"	"Upendra Prasad"	"Jagdish Yadav"	"Prikshit Singh"	"Prabhat Kumar Ranjan"	"Ranjit Sharma"	"Rakeshwar Kishor"	"Siya Ram Prasad"	"Sumirak Singh"	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"
"63"	"43"	"1"	"40"	"5"	"117"	"1"	"2"	"2"	"7"	"1"	"0"	"1"	"1"	"1"	"0"	"2"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	""	"184"	""
"64"	"44"	"2"	"1"	"0"	"578"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"583"	""	"583"	""
"65"	"45"	"0"	"45"	"4"	"142"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"3"	"1"	"3"	"0"	"1"	"0"	"0"	"1"	"206"	""	"206"	""
"66"	"46"	"5"	"47"	"2"	"220"	"5"	"5"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"3"	"6"	"0"	"1"	"2"	"2"	"0"	"0"	"1"	"0"	"303"	""	"303"	""
"67"	"47"	"8"	"194"	"1"	"27"	"0"	"0"	"0"	"7"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"12"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"255"	""	"255"	""
"68"	"48"	"7"	"107"	"2"	"86"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	""	"211"	""
"69"	"49"	"42"	"140"	"2"	"111"	"5"	"6"	"3"	"2"	"0"	"0"	"2"	"1"	"2"	"1"	"1"	"4"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"325"	""	"325"	""
"70"	"50"	"52"	"197"	"1"	"101"	"2"	"1"	"1"	"5"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"2"	"4"	"4"	"1"	"2"	"0"	"2"	"0"	"3"	"4"	"384"	""	"384"	""
"71"	"51"	"30"	"112"	"31"	"21"	"3"	"4"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"4"	"4"	"13"	"4"	"0"	"1"	"2"	"0"	"0"	"1"	"1"	"4"	"236"	""	"236"	""
"72"	"52"	"19"	"121"	"27"	"226"	"16"	"5"	"2"	"2"	"3"	"2"	"0"	"1"	"9"	"3"	"9"	"27"	"6"	"3"	"4"	"6"	"1"	"0"	"0"	"2"	"2"	"496"	""	"496"	""
"73"	"53"	"12"	"250"	"2"	"68"	"2"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"2"	"0"	"1"	"17"	"5"	"3"	"3"	"1"	"1"	"0"	"0"	"1"	"0"	"371"	""	"371"	""
"74"	"54"	"25"	"365"	"0"	"11"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"405"	""	"405"	""
"75"	"55"	"42"	"444"	"10"	"90"	"3"	"0"	"2"	"2"	"0"	"2"	"0"	"1"	"1"	"1"	"1"	"44"	"1"	"2"	"2"	"1"	"0"	"1"	"1"	"1"	"2"	"654"	""	"654"	""
"76"	"56"	"33"	"305"	"11"	"120"	"6"	"5"	"1"	"5"	"3"	"2"	"0"	"0"	"1"	"1"	"1"	"5"	"5"	"2"	"3"	"0"	"1"	"0"	"1"	"0"	"0"	"511"	""	"511"	""
"77"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"Total"	"278"	"2368"	"98"	"1918"	"47"	"29"	"11"	"36"	"10"	"8"	"6"	"5"	"17"	"10"	"24"	"133"	"33"	"19"	"19"	"18"	"7"	"4"	"4"	"9"	"13"	"5124"	""	"5124"	""
"79"	"Signature of ARO                                                                                          Signature of RO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"Round 5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"Name of Candidate"	"Dr. Arun Kumar"	"Jagdish Sharma"	"Ramadhar Sharma"	"Surendra Prasad Yadav"	"Ayasha Khatun"	"Prof. Jai Ram Prasad Singh"	"Tara Gupta"	"Mahanand Prasad"	"Ramasray Prasad Singh"	"Md. Shahabubin Jahan"	"Shravan kumar"	"Sadhu Sinha"	"Syed Akber Imam"	"Ajay Kumar Verma"	"Abhay Kumar Anil"	"Dr. Arbind Kumar"	"Arvind Prasad Singh"	"Upendra Prasad"	"Jagdish Yadav"	"Prikshit Singh"	"Prabhat Kumar Ranjan"	"Ranjit Sharma"	"Rakeshwar Kishor"	"Siya Ram Prasad"	"Sumirak Singh"	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"
"82"	"57"	"9"	"37"	"3"	"444"	"4"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"8"	"9"	"2"	"8"	"3"	"2"	"2"	"0"	"2"	"541"	""	"541"	""
"83"	"58"	"131"	"96"	"33"	"143"	"12"	"7"	"1"	"73"	"8"	"2"	"0"	"2"	"5"	"3"	"4"	"11"	"9"	"6"	"3"	"8"	"6"	"2"	"0"	"4"	"6"	"575"	""	"575"	""
"84"	"59"	"111"	"176"	"2"	"28"	"2"	"1"	"0"	"2"	"0"	"2"	"0"	"0"	"1"	"1"	"3"	"5"	"1"	"2"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"341"	""	"341"	""
"85"	"60"	"11"	"32"	"1"	"255"	"4"	"4"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"4"	"3"	"1"	"2"	"3"	"1"	"0"	"0"	"0"	"0"	"326"	""	"326"	""
"86"	"61"	"0"	"51"	"0"	"280"	"4"	"0"	"0"	"7"	"2"	"0"	"0"	"0"	"1"	"1"	"0"	"3"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"351"	""	"351"	""
"87"	"62"	"94"	"51"	"0"	"208"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"17"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"376"	""	"376"	""
"88"	"63"	"74"	"168"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"8"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"256"	""	"256"	""
"89"	"64"	"38"	"218"	"3"	"3"	"0"	"3"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"12"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"286"	""	"286"	""
"90"	"65"	"81"	"178"	"1"	"8"	"0"	"0"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"5"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"290"	""	"290"	""
"91"	"66"	"273"	"86"	"1"	"183"	"4"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"556"	""	"556"	""
"92"	"67"	"194"	"52"	"1"	"116"	"2"	"0"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"1"	"3"	"8"	"6"	"1"	"1"	"6"	"0"	"1"	"1"	"6"	"4"	"407"	""	"407"	""
"93"	"68"	"14"	"98"	"6"	"134"	"9"	"6"	"2"	"34"	"0"	"5"	"1"	"0"	"3"	"5"	"3"	"10"	"16"	"4"	"6"	"10"	"2"	"2"	"0"	"2"	"5"	"377"	""	"377"	""
"94"	"69"	"4"	"10"	"2"	"126"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"46"	"0"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"197"	""	"197"	""
"95"	"70"	"10"	"109"	"5"	"141"	"1"	"0"	"0"	"27"	"0"	"0"	"1"	"0"	"5"	"2"	"3"	"3"	"9"	"7"	"4"	"7"	"2"	"3"	"2"	"1"	"2"	"344"	""	"344"	""
"96"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"Total"	"1044"	"1362"	"58"	"2069"	"46"	"26"	"4"	"162"	"12"	"12"	"3"	"3"	"63"	"15"	"21"	"91"	"60"	"35"	"24"	"44"	"14"	"10"	"5"	"17"	"23"	"5223"	""	"5223"	""
"98"	"Signature of ARO                                                                                          Signature of RO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"Round 6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"Name of Candidate"	"Dr. Arun Kumar"	"Jagdish Sharma"	"Ramadhar Sharma"	"Surendra Prasad Yadav"	"Ayasha Khatun"	"Prof. Jai Ram Prasad Singh"	"Tara Gupta"	"Mahanand Prasad"	"Ramasray Prasad Singh"	"Md. Shahabubin Jahan"	"Shravan kumar"	"Sadhu Sinha"	"Syed Akber Imam"	"Ajay Kumar Verma"	"Abhay Kumar Anil"	"Dr. Arbind Kumar"	"Arvind Prasad Singh"	"Upendra Prasad"	"Jagdish Yadav"	"Prikshit Singh"	"Prabhat Kumar Ranjan"	"Ranjit Sharma"	"Rakeshwar Kishor"	"Siya Ram Prasad"	"Sumirak Singh"	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"
"101"	"71"	"9"	"29"	"1"	"369"	"3"	"0"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"6"	"14"	"1"	"3"	"6"	"11"	"0"	"0"	"0"	"1"	"458"	""	"458"	""
"102"	"72"	"15"	"72"	"5"	"311"	"4"	"2"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"0"	"1"	"9"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"430"	""	"430"	""
"103"	"73"	"12"	"91"	"2"	"365"	"7"	"5"	"2"	"8"	"2"	"2"	"3"	"4"	"5"	"2"	"3"	"18"	"7"	"0"	"3"	"5"	"0"	"1"	"2"	"2"	"3"	"554"	""	"554"	""
"104"	"74"	"6"	"82"	"7"	"150"	"5"	"5"	"5"	"1"	"0"	"2"	"0"	"1"	"1"	"3"	"3"	"4"	"4"	"1"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"285"	""	"285"	""
"105"	"75"	"10"	"5"	"4"	"22"	"3"	"1"	"3"	"105"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"162"	""	"162"	""
"106"	"76"	"54"	"264"	"5"	"91"	"4"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"1"	"3"	"7"	"2"	"1"	"1"	"0"	"0"	"0"	"1"	"441"	""	"441"	""
