"X.CHAPTER.XIV..PARA.25.9."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"16"	"7"	"7"	"26"	"324"	"23"	"61"	"5"	"30"	"3"	"2"	"7"	"2"	"4"	"4"	"0"	"2"	"10"	"55"	"558"	"0"	"558"	"0"
"17"	"8"	"8"	"219"	"325"	"15"	"37"	"3"	"7"	"3"	"4"	"7"	"3"	"2"	"6"	"0"	"4"	"17"	"134"	"786"	"0"	"786"	"0"
"18"	"9"	"9"	"19"	"48"	"5"	"419"	"9"	"0"	"3"	"0"	"2"	"0"	"1"	"1"	"1"	"0"	"2"	"27"	"537"	"0"	"537"	"0"
"19"	"10"	"10"	"15"	"300"	"10"	"156"	"1"	"4"	"3"	"1"	"1"	"1"	"5"	"1"	"3"	"3"	"3"	"41"	"548"	"0"	"548"	"0"
"20"	"11"	"11"	"26"	"343"	"4"	"24"	"3"	"2"	"2"	"6"	"1"	"3"	"1"	"3"	"4"	"2"	"8"	"29"	"461"	"0"	"461"	"0"
"21"	"12"	"12"	"36"	"309"	"14"	"53"	"2"	"7"	"0"	"0"	"3"	"1"	"1"	"2"	"1"	"5"	"11"	"164"	"609"	"0"	"609"	"0"
"22"	"13"	"13"	"19"	"162"	"9"	"64"	"1"	"5"	"1"	"1"	"2"	"0"	"1"	"1"	"3"	"3"	"12"	"172"	"456"	"0"	"456"	"0"
"23"	"14"	"14"	"11"	"202"	"12"	"129"	"2"	"1"	"3"	"3"	"2"	"1"	"0"	"1"	"1"	"3"	"7"	"184"	"562"	"0"	"562"	"0"
"24"	"Serial No. of Polling Station"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"Total No. of tendered votes"
"25"	""	""	"AHMAD ASHFAQUE KARIM"	"NIKHIL KUMAR CHOUDHARY"	"MADAN MOHAN NISHAD"	"SHAH TARIQ ANWAR"	"OM PRAKASH PODDAR"	"MAHBOOB ALAM"	"MUNNI DEVI"	"RAJESH GURNANI"	"CHANDU MURMU"	"PHOOLO DEVI"	"BABU LAL MARANDI"	"MANOJ PARASHAR"	"MOHAMMAD HAMID MUBARAK"	"RAJGIRI SINGH"	"SUNIL KUMAR CHOUDHARY"	"HIMRAJ SINGH"	""	""	""	""
"26"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"27"	"15"	"15"	"30"	"117"	"14"	"131"	"0"	"2"	"1"	"1"	"2"	"3"	"4"	"2"	"3"	"1"	"11"	"263"	"585"	"0"	"585"	"0"
"28"	"16"	"16"	"41"	"370"	"48"	"72"	"8"	"7"	"3"	"5"	"2"	"9"	"2"	"1"	"1"	"8"	"9"	"145"	"731"	"0"	"731"	"0"
"29"	"17"	"17"	"39"	"293"	"31"	"216"	"6"	"8"	"2"	"10"	"11"	"3"	"7"	"5"	"26"	"5"	"11"	"72"	"745"	"0"	"745"	"0"
"30"	"18"	"18"	"14"	"374"	"5"	"35"	"4"	"8"	"2"	"3"	"13"	"10"	"10"	"9"	"3"	"8"	"9"	"55"	"562"	"0"	"562"	"0"
"31"	"19"	"19"	"12"	"231"	"16"	"78"	"3"	"3"	"0"	"2"	"3"	"4"	"1"	"2"	"11"	"8"	"12"	"240"	"626"	"0"	"626"	"0"
"32"	"20"	"20"	"42"	"205"	"14"	"41"	"1"	"3"	"0"	"1"	"2"	"1"	"1"	"0"	"1"	"1"	"4"	"135"	"452"	"0"	"452"	"0"
"33"	"21"	"21"	"13"	"272"	"14"	"58"	"1"	"9"	"2"	"2"	"2"	"1"	"2"	"1"	"2"	"1"	"12"	"412"	"804"	"0"	"804"	"0"
"34"	"22"	"22"	"5"	"211"	"5"	"258"	"1"	"1"	"4"	"3"	"41"	"4"	"1"	"3"	"6"	"2"	"18"	"101"	"664"	"0"	"664"	"0"
"35"	"23"	"23"	"13"	"113"	"7"	"31"	"0"	"6"	"0"	"1"	"3"	"0"	"1"	"1"	"2"	"3"	"4"	"250"	"435"	"0"	"435"	"0"
"36"	"24"	"24"	"18"	"59"	"7"	"250"	"2"	"92"	"4"	"3"	"3"	"1"	"2"	"4"	"2"	"2"	"5"	"50"	"504"	"0"	"504"	"0"
"37"	"25"	"25"	"17"	"242"	"37"	"39"	"2"	"13"	"4"	"3"	"5"	"2"	"0"	"2"	"0"	"0"	"10"	"112"	"488"	"0"	"488"	"0"
"38"	"26"	"26"	"77"	"248"	"24"	"38"	"4"	"16"	"3"	"5"	"7"	"3"	"1"	"1"	"7"	"4"	"15"	"57"	"510"	"0"	"510"	"0"
"39"	"27"	"27"	"16"	"260"	"9"	"201"	"3"	"48"	"1"	"2"	"5"	"2"	"2"	"1"	"4"	"5"	"7"	"154"	"720"	"0"	"720"	"0"
"40"	"28"	"28"	"50"	"253"	"40"	"151"	"7"	"83"	"9"	"11"	"10"	"2"	"8"	"5"	"7"	"5"	"10"	"62"	"713"	"0"	"713"	"0"
"41"	"Serial No. of Polling Station"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"Total No. of tendered votes"
"42"	""	""	"AHMAD ASHFAQUE KARIM"	"NIKHIL KUMAR CHOUDHARY"	"MADAN MOHAN NISHAD"	"SHAH TARIQ ANWAR"	"OM PRAKASH PODDAR"	"MAHBOOB ALAM"	"MUNNI DEVI"	"RAJESH GURNANI"	"CHANDU MURMU"	"PHOOLO DEVI"	"BABU LAL MARANDI"	"MANOJ PARASHAR"	"MOHAMMAD HAMID MUBARAK"	"RAJGIRI SINGH"	"SUNIL KUMAR CHOUDHARY"	"HIMRAJ SINGH"	""	""	""	""
"43"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"44"	"29"	"29"	"8"	"252"	"8"	"22"	"1"	"20"	"0"	"0"	"3"	"3"	"7"	"0"	"0"	"1"	"4"	"28"	"357"	"0"	"357"	"0"
"45"	"30"	"30"	"22"	"133"	"7"	"146"	"0"	"3"	"1"	"4"	"0"	"0"	"4"	"0"	"0"	"0"	"1"	"12"	"333"	"0"	"333"	"0"
"46"	"31"	"31"	"35"	"175"	"7"	"136"	"2"	"9"	"1"	"6"	"2"	"4"	"34"	"0"	"0"	"1"	"4"	"103"	"519"	"0"	"519"	"0"
"47"	"32"	"32"	"11"	"259"	"16"	"191"	"5"	"5"	"3"	"5"	"6"	"5"	"50"	"2"	"7"	"4"	"12"	"103"	"684"	"0"	"684"	"0"
"48"	"33"	"33"	"70"	"251"	"31"	"276"	"4"	"0"	"1"	"3"	"3"	"3"	"9"	"5"	"11"	"3"	"14"	"85"	"769"	"0"	"769"	"0"
"49"	"34"	"34"	"13"	"266"	"14"	"138"	"2"	"3"	"2"	"1"	"2"	"0"	"1"	"0"	"3"	"2"	"8"	"80"	"535"	"0"	"535"	"0"
"50"	"35"	"35"	"29"	"687"	"13"	"32"	"2"	"6"	"0"	"2"	"4"	"0"	"3"	"3"	"0"	"0"	"2"	"28"	"811"	"0"	"811"	"0"
"51"	"36"	"36"	"7"	"155"	"5"	"103"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"8"	"280"	"0"	"280"	"0"
"52"	"37"	"37"	"14"	"252"	"21"	"112"	"5"	"3"	"1"	"1"	"3"	"4"	"3"	"3"	"25"	"4"	"7"	"23"	"481"	"0"	"481"	"0"
"53"	"38"	"38"	"7"	"10"	"10"	"296"	"8"	"3"	"0"	"4"	"3"	"1"	"1"	"1"	"7"	"3"	"4"	"113"	"471"	"0"	"471"	"0"
"54"	"39"	"39"	"7"	"14"	"5"	"208"	"2"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"3"	"3"	"9"	"13"	"267"	"0"	"267"	"0"
"55"	"40"	"40"	"18"	"147"	"4"	"156"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"16"	"346"	"0"	"346"	"0"
"56"	"41"	"41"	"16"	"99"	"5"	"341"	"6"	"4"	"0"	"3"	"2"	"1"	"2"	"2"	"3"	"6"	"10"	"61"	"561"	"0"	"561"	"0"
"57"	"42"	"42"	"2"	"15"	"1"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"36"	"0"	"36"	"0"
"58"	"Serial No. of Polling Station"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"Total No. of tendered votes"
"59"	""	""	"AHMAD ASHFAQUE KARIM"	"NIKHIL KUMAR CHOUDHARY"	"MADAN MOHAN NISHAD"	"SHAH TARIQ ANWAR"	"OM PRAKASH PODDAR"	"MAHBOOB ALAM"	"MUNNI DEVI"	"RAJESH GURNANI"	"CHANDU MURMU"	"PHOOLO DEVI"	"BABU LAL MARANDI"	"MANOJ PARASHAR"	"MOHAMMAD HAMID MUBARAK"	"RAJGIRI SINGH"	"SUNIL KUMAR CHOUDHARY"	"HIMRAJ SINGH"	""	""	""	""
"60"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"61"	"43"	"43"	"0"	"20"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"30"	"0"	"30"	"0"
"62"	"44"	"44"	"35"	"221"	"12"	"285"	"11"	"4"	"7"	"4"	"2"	"2"	"1"	"3"	"2"	"3"	"11"	"20"	"623"	"0"	"623"	"0"
"63"	"45"	"45"	"46"	"147"	"18"	"101"	"4"	"3"	"3"	"3"	"2"	"7"	"2"	"3"	"4"	"1"	"7"	"73"	"424"	"0"	"424"	"0"
"64"	"46"	"46"	"20"	"11"	"8"	"571"	"4"	"2"	"1"	"2"	"5"	"2"	"3"	"0"	"5"	"7"	"3"	"13"	"657"	"0"	"657"	"0"
"65"	"47"	"47"	"42"	"274"	"19"	"278"	"11"	"1"	"5"	"2"	"5"	"7"	"13"	"2"	"11"	"6"	"14"	"78"	"768"	"0"	"768"	"0"
"66"	"48"	"48"	"8"	"57"	"9"	"142"	"6"	"0"	"2"	"1"	"5"	"2"	"3"	"4"	"2"	"3"	"3"	"31"	"278"	"0"	"278"	"0"
"67"	"49"	"49"	"9"	"72"	"9"	"327"	"4"	"11"	"1"	"2"	"5"	"3"	"2"	"2"	"13"	"5"	"5"	"45"	"515"	"0"	"515"	"0"
"68"	"50"	"50"	"35"	"163"	"3"	"369"	"5"	"26"	"8"	"3"	"6"	"3"	"0"	"5"	"4"	"4"	"5"	"54"	"693"	"0"	"693"	"0"
"69"	"51"	"51"	"22"	"47"	"8"	"437"	"6"	"60"	"2"	"1"	"4"	"3"	"3"	"7"	"2"	"3"	"7"	"42"	"654"	"0"	"654"	"0"
"70"	"52"	"52"	"22"	"212"	"6"	"195"	"3"	"10"	"1"	"6"	"5"	"4"	"2"	"3"	"5"	"2"	"8"	"47"	"531"	"0"	"531"	"0"
"71"	"53"	"53"	"29"	"109"	"9"	"301"	"7"	"2"	"1"	"3"	"2"	"1"	"0"	"3"	"4"	"3"	"4"	"16"	"494"	"0"	"494"	"0"
"72"	"54"	"54"	"64"	"195"	"10"	"351"	"6"	"5"	"2"	"4"	"2"	"3"	"1"	"3"	"0"	"4"	"2"	"29"	"681"	"0"	"681"	"0"
"73"	"55"	"55"	"9"	"223"	"8"	"131"	"3"	"2"	"0"	"1"	"2"	"2"	"5"	"2"	"1"	"2"	"4"	"31"	"426"	"0"	"426"	"0"
"74"	"56"	"56"	"25"	"104"	"13"	"559"	"16"	"6"	"3"	"1"	"3"	"1"	"0"	"6"	"2"	"2"	"4"	"16"	"761"	"0"	"761"	"0"
"75"	"Serial No. of Polling Station"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"Total No. of tendered votes"
"76"	""	""	"AHMAD ASHFAQUE KARIM"	"NIKHIL KUMAR CHOUDHARY"	"MADAN MOHAN NISHAD"	"SHAH TARIQ ANWAR"	"OM PRAKASH PODDAR"	"MAHBOOB ALAM"	"MUNNI DEVI"	"RAJESH GURNANI"	"CHANDU MURMU"	"PHOOLO DEVI"	"BABU LAL MARANDI"	"MANOJ PARASHAR"	"MOHAMMAD HAMID MUBARAK"	"RAJGIRI SINGH"	"SUNIL KUMAR CHOUDHARY"	"HIMRAJ SINGH"	""	""	""	""
"77"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"78"	"57"	"57"	"21"	"299"	"15"	"202"	"5"	"7"	"2"	"4"	"4"	"1"	"2"	"2"	"3"	"8"	"12"	"144"	"731"	"0"	"731"	"0"
"79"	"58"	"58"	"55"	"391"	"17"	"42"	"2"	"5"	"4"	"3"	"3"	"3"	"5"	"6"	"7"	"0"	"4"	"58"	"605"	"0"	"605"	"0"
"80"	"59"	"59"	"21"	"417"	"8"	"122"	"2"	"2"	"3"	"1"	"4"	"0"	"2"	"4"	"7"	"2"	"8"	"6"	"609"	"0"	"609"	"0"
"81"	"60"	"60"	"32"	"378"	"15"	"298"	"8"	"0"	"4"	"6"	"4"	"4"	"4"	"6"	"45"	"3"	"12"	"30"	"849"	"0"	"849"	"0"
"82"	"61"	"61"	"21"	"171"	"7"	"149"	"4"	"15"	"10"	"7"	"6"	"3"	"1"	"12"	"189"	"9"	"6"	"37"	"647"	"0"	"647"	"0"
"83"	"62"	"62"	"5"	"229"	"5"	"274"	"3"	"4"	"4"	"6"	"1"	"1"	"1"	"12"	"193"	"6"	"10"	"11"	"765"	"0"	"765"	"0"
"84"	"63"	"63"	"18"	"398"	"20"	"222"	"5"	"5"	"4"	"5"	"2"	"1"	"1"	"4"	"29"	"1"	"10"	"43"	"768"	"0"	"768"	"0"
"85"	"64"	"64"	"55"	"236"	"9"	"125"	"2"	"13"	"5"	"6"	"15"	"5"	"4"	"1"	"0"	"2"	"9"	"230"	"717"	"0"	"717"	"0"
"86"	"65"	"65"	"26"	"238"	"31"	"313"	"6"	"7"	"5"	"6"	"3"	"8"	"1"	"6"	"70"	"3"	"6"	"21"	"750"	"0"	"750"	"0"
"87"	"66"	"66"	"43"	"458"	"31"	"53"	"2"	"7"	"1"	"2"	"2"	"6"	"4"	"4"	"7"	"8"	"25"	"199"	"852"	"0"	"852"	"0"
"88"	"67"	"67"	"58"	"80"	"5"	"67"	"0"	"10"	"4"	"5"	"3"	"3"	"1"	"3"	"5"	"4"	"15"	"404"	"667"	"0"	"667"	"0"
"89"	"68"	"68"	"56"	"326"	"19"	"79"	"2"	"2"	"3"	"7"	"8"	"5"	"4"	"10"	"7"	"8"	"22"	"184"	"742"	"0"	"742"	"0"
"90"	"69"	"69"	"16"	"84"	"7"	"34"	"0"	"9"	"1"	"2"	"3"	"2"	"2"	"0"	"4"	"4"	"4"	"415"	"587"	"0"	"587"	"0"
"91"	"70"	"70"	"18"	"124"	"13"	"187"	"4"	"5"	"1"	"1"	"6"	"1"	"4"	"2"	"3"	"2"	"7"	"234"	"612"	"0"	"612"	"0"
"92"	"Serial No. of Polling Station"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"Total No. of tendered votes"
"93"	""	""	"AHMAD ASHFAQUE KARIM"	"NIKHIL KUMAR CHOUDHARY"	"MADAN MOHAN NISHAD"	"SHAH TARIQ ANWAR"	"OM PRAKASH PODDAR"	"MAHBOOB ALAM"	"MUNNI DEVI"	"RAJESH GURNANI"	"CHANDU MURMU"	"PHOOLO DEVI"	"BABU LAL MARANDI"	"MANOJ PARASHAR"	"MOHAMMAD HAMID MUBARAK"	"RAJGIRI SINGH"	"SUNIL KUMAR CHOUDHARY"	"HIMRAJ SINGH"	""	""	""	""
"94"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"95"	"71"	"71"	"70"	"91"	"11"	"364"	"3"	"34"	"4"	"6"	"4"	"3"	"4"	"2"	"4"	"4"	"7"	"184"	"795"	"0"	"795"	"0"
"96"	"72"	"72"	"10"	"362"	"11"	"85"	"1"	"3"	"2"	"4"	"3"	"1"	"4"	"3"	"1"	"2"	"4"	"91"	"587"	"0"	"587"	"0"
"97"	"73"	"73"	"12"	"239"	"9"	"54"	"3"	"5"	"4"	"1"	"2"	"3"	"0"	"6"	"3"	"6"	"17"	"359"	"723"	"0"	"723"	"0"
"98"	"74"	"74"	"17"	"146"	"10"	"13"	"3"	"11"	"5"	"1"	"4"	"3"	"3"	"6"	"6"	"7"	"17"	"593"	"845"	"0"	"845"	"0"
"99"	"75"	"75"	"41"	"402"	"21"	"155"	"3"	"17"	"2"	"3"	"4"	"5"	"1"	"4"	"5"	"3"	"8"	"236"	"910"	"0"	"910"	"0"
"100"	"76"	"76"	"22"	"294"	"14"	"121"	"0"	"5"	"2"	"2"	"5"	"1"	"1"	"3"	"2"	"4"	"10"	"117"	"603"	"0"	"603"	"0"
"101"	"77"	"77"	"34"	"364"	"5"	"93"	"6"	"4"	"2"	"3"	"3"	"1"	"3"	"4"	"5"	"7"	"3"	"176"	"713"	"0"	"713"	"0"
"102"	"78"	"78"	"90"	"187"	"8"	"342"	"8"	"5"	"3"	"5"	"3"	"6"	"2"	"9"	"52"	"3"	"19"	"128"	"870"	"0"	"870"	"0"
"103"	"79"	"79"	"15"	"502"	"13"	"59"	"1"	"6"	"4"	"6"	"3"	"2"	"2"	"6"	"2"	"0"	"8"	"24"	"653"	"0"	"653"	"0"
"104"	"80"	"80"	"14"	"334"	"19"	"61"	"1"	"1"	"3"	"3"	"6"	"4"	"3"	"3"	"6"	"5"	"3"	"26"	"492"	"0"	"492"	"0"
"105"	"81"	"81"	"41"	"297"	"22"	"165"	"4"	"16"	"2"	"4"	"2"	"3"	"1"	"6"	"9"	"4"	"6"	"43"	"625"	"0"	"625"	"0"
"106"	"82"	"82"	"12"	"116"	"99"	"22"	"0"	"11"	"0"	"0"	"1"	"1"	"1"	"1"	"2"	"4"	"2"	"142"	"414"	"0"	"414"	"0"
"107"	"83"	"83"	"13"	"121"	"7"	"173"	"3"	"77"	"3"	"5"	"3"	"6"	"5"	"10"	"6"	"9"	"11"	"167"	"619"	"0"	"619"	"0"
"108"	"84"	"84"	"15"	"301"	"10"	"83"	"4"	"62"	"2"	"5"	"4"	"4"	"7"	"5"	"14"	"5"	"12"	"121"	"654"	"0"	"654"	"0"
"109"	"Serial No. of Polling Station"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"Total No. of tendered votes"
"110"	""	""	"AHMAD ASHFAQUE KARIM"	"NIKHIL KUMAR CHOUDHARY"	"MADAN MOHAN NISHAD"	"SHAH TARIQ ANWAR"	"OM PRAKASH PODDAR"	"MAHBOOB ALAM"	"MUNNI DEVI"	"RAJESH GURNANI"	"CHANDU MURMU"	"PHOOLO DEVI"	"BABU LAL MARANDI"	"MANOJ PARASHAR"	"MOHAMMAD HAMID MUBARAK"	"RAJGIRI SINGH"	"SUNIL KUMAR CHOUDHARY"	"HIMRAJ SINGH"	""	""	""	""
"111"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"112"	"85"	"85"	"5"	"165"	"5"	"219"	"4"	"1"	"0"	"2"	"0"	"1"	"0"	"0"	"4"	"4"	"3"	"12"	"425"	"0"	"425"	"0"
"113"	"86"	"86"	"9"	"114"	"5"	"120"	"1"	"1"	"0"	"0"	"2"	"0"	"0"	"2"	"0"	"2"	"4"	"11"	"271"	"0"	"271"	"0"
"114"	"87"	"87"	"4"	"60"	"7"	"187"	"5"	"2"	"1"	"0"	"0"	"2"	"3"	"1"	"3"	"2"	"1"	"31"	"309"	"0"	"309"	"0"
"115"	"88"	"88"	"10"	"132"	"3"	"184"	"5"	"2"	"1"	"0"	"3"	"1"	"1"	"0"	"3"	"2"	"6"	"41"	"394"	"0"	"394"	"0"
"116"	"89"	"89"	"26"	"568"	"26"	"36"	"2"	"0"	"1"	"2"	"2"	"1"	"3"	"0"	"0"	"0"	"0"	"29"	"696"	"0"	"696"	"0"
"117"	"90"	"90"	"50"	"416"	"14"	"54"	"4"	"4"	"2"	"3"	"0"	"2"	"1"	"0"	"2"	"0"	"5"	"22"	"579"	"0"	"579"	"0"
"118"	"91"	"91"	"9"	"24"	"4"	"339"	"2"	"3"	"0"	"0"	"1"	"0"	"0"	"1"	"2"	"0"	"3"	"6"	"394"	"0"	"394"	"0"
"119"	"92"	"92"	"26"	"81"	"13"	"161"	"2"	"2"	"2"	"0"	"2"	"1"	"0"	"2"	"3"	"1"	"10"	"146"	"452"	"0"	"452"	"0"
"120"	"93"	"93"	"14"	"24"	"57"	"157"	"2"	"1"	"2"	"0"	"2"	"0"	"0"	"0"	"1"	"2"	"9"	"34"	"305"	"0"	"305"	"0"
"121"	"94"	"94"	"25"	"58"	"2"	"243"	"3"	"5"	"0"	"1"	"1"	"1"	"1"	"1"	"4"	"1"	"0"	"9"	"355"	"0"	"355"	"0"
"122"	"95"	"95"	"28"	"231"	"11"	"173"	"3"	"2"	"0"	"1"	"1"	"4"	"1"	"2"	"2"	"1"	"8"	"22"	"490"	"0"	"490"	"0"
"123"	"96"	"96"	"7"	"194"	"6"	"192"	"3"	"2"	"2"	"2"	"2"	"1"	"0"	"1"	"4"	"0"	"4"	"10"	"430"	"0"	"430"	"0"
"124"	"97"	"97"	"7"	"57"	"19"	"343"	"0"	"5"	"1"	"0"	"0"	"1"	"0"	"1"	"7"	"1"	"6"	"6"	"454"	"0"	"454"	"0"
"125"	"98"	"98"	"10"	"24"	"3"	"294"	"7"	"66"	"3"	"3"	"1"	"3"	"2"	"3"	"4"	"1"	"2"	"18"	"444"	"0"	"444"	"0"
"126"	"Serial No. of Polling Station"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"Total No. of tendered votes"
"127"	""	""	"AHMAD ASHFAQUE KARIM"	"NIKHIL KUMAR CHOUDHARY"	"MADAN MOHAN NISHAD"	"SHAH TARIQ ANWAR"	"OM PRAKASH PODDAR"	"MAHBOOB ALAM"	"MUNNI DEVI"	"RAJESH GURNANI"	"CHANDU MURMU"	"PHOOLO DEVI"	"BABU LAL MARANDI"	"MANOJ PARASHAR"	"MOHAMMAD HAMID MUBARAK"	"RAJGIRI SINGH"	"SUNIL KUMAR CHOUDHARY"	"HIMRAJ SINGH"	""	""	""	""
"128"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"129"	"99"	"99"	"4"	"86"	"8"	"331"	"1"	"10"	"1"	"0"	"1"	"1"	"0"	"1"	"6"	"4"	"3"	"12"	"469"	"0"	"469"	"0"
"130"	"100"	"100"	"28"	"65"	"5"	"185"	"3"	"4"	"1"	"5"	"3"	"1"	"0"	"1"	"12"	"4"	"4"	"25"	"346"	"0"	"346"	"0"
"131"	"101"	"101"	"29"	"2"	"2"	"544"	"9"	"35"	"1"	"5"	"3"	"6"	"2"	"0"	"2"	"4"	"4"	"23"	"671"	"0"	"671"	"0"
"132"	"102"	"102"	"11"	"5"	"1"	"296"	"2"	"23"	"2"	"1"	"3"	"1"	"1"	"2"	"4"	"1"	"5"	"11"	"369"	"0"	"369"	"0"
"133"	"103"	"103"	"24"	"145"	"7"	"232"	"4"	"35"	"3"	"5"	"2"	"2"	"0"	"4"	"4"	"5"	"11"	"279"	"762"	"0"	"762"	"0"
