"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations) Election of the HOUSE OF PEOPLE From the 14 - DARBHANGA PARLIAMENTARY Constituency PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be used for Parliamentary and Assembly elections) Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…81 ALINAGAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of electors in Assembly constituency / Segment   : 211199"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"30"	"22"	"22"	"34"	"373"	"119"	"12"	"1"	"7"	"6"	"3"	"1"	"4"	"3"	"6"	"20"	"11"	"600"	"-"	"600"	""
"31"	"23"	"23"	"32"	"179"	"245"	"10"	"1"	"3"	"1"	"1"	"4"	"1"	"3"	"10"	"7"	"14"	"511"	"-"	"511"	""
"32"	"24"	"24"	"16"	"67"	"217"	"3"	"1"	"1"	"1"	"1"	"1"	"5"	"1"	"5"	"2"	"4"	"325"	"-"	"325"	""
"33"	"25"	"25"	"5"	"61"	"169"	"10"	"0"	"0"	"0"	"0"	"0"	"2"	"4"	"5"	"11"	"13"	"280"	"-"	"280"	""
"34"	"26"	"26"	"23"	"84"	"272"	"6"	"1"	"4"	"1"	"0"	"1"	"4"	"3"	"14"	"3"	"11"	"427"	"-"	"427"	""
"35"	"27"	"27"	"22"	"81"	"305"	"5"	"1"	"3"	"3"	"1"	"1"	"1"	"1"	"5"	"12"	"2"	"443"	"-"	"443"	""
"36"	"28"	"28"	"51"	"216"	"16"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"3"	"4"	"21"	"15"	"330"	"-"	"330"	""
"37"	"29"	"29"	"85"	"269"	"5"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"2"	"0"	"2"	"5"	"373"	"-"	"373"	""
"38"	"30"	"30"	"30"	"165"	"283"	"2"	"3"	"2"	"1"	"1"	"7"	"6"	"12"	"14"	"16"	"19"	"561"	"-"	"561"	""
"39"	"31"	"31"	"26"	"166"	"233"	"11"	"4"	"2"	"2"	"2"	"2"	"4"	"4"	"3"	"8"	"11"	"478"	"-"	"478"	""
"40"	"32"	"32"	"71"	"118"	"442"	"14"	"0"	"1"	"1"	"2"	"6"	"3"	"1"	"4"	"8"	"12"	"683"	"-"	"683"	""
"41"	"33"	"33"	"30"	"95"	"441"	"10"	"5"	"2"	"7"	"3"	"2"	"2"	"3"	"2"	"2"	"5"	"609"	"-"	"609"	""
"42"	"34"	"34"	"25"	"186"	"165"	"11"	"3"	"2"	"6"	"4"	"14"	"10"	"11"	"23"	"20"	"31"	"511"	"-"	"511"	""
"43"	"35"	"35"	"12"	"199"	"52"	"3"	"5"	"1"	"1"	"5"	"4"	"1"	"1"	"1"	"1"	"5"	"291"	"-"	"291"	""
"44"	"36"	"36"	"28"	"209"	"268"	"16"	"1"	"4"	"3"	"3"	"7"	"8"	"6"	"6"	"11"	"10"	"580"	"-"	"580"	""
"45"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"46"	""	""	"Ajay Ku mar Jalan"	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Yugeshwar Sahani"	"Ku mari Su reshwari"	"Md.
Khu rsheed Alam"	"Du rga Nand
Mahabir Nayak"	"Md.
Nizamu ddin"	"Sathy Narayn Mu khiya"	"Abdu r Rahim"	"Govind Acharya"	"Bharat Yadav"	"Lal Bahadu r
Yadav"	"Prof. Hareram Acharya"	""	""	""	""
"47"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"48"	"37"	"37"	"25"	"90"	"450"	"12"	"1"	"2"	"2"	"6"	"3"	"6"	"9"	"14"	"6"	"21"	"647"	"-"	"647"	""
"49"	"38"	"38"	"45"	"59"	"363"	"10"	"2"	"0"	"0"	"1"	"1"	"1"	"3"	"4"	"4"	"5"	"498"	"-"	"498"	""
"50"	"39"	"39"	"35"	"79"	"219"	"7"	"0"	"1"	"3"	"2"	"2"	"2"	"4"	"3"	"3"	"13"	"373"	"-"	"373"	""
"51"	"40"	"40"	"22"	"51"	"181"	"7"	"4"	"3"	"3"	"7"	"39"	"7"	"5"	"8"	"12"	"19"	"368"	"-"	"368"	""
"52"	"41"	"41"	"30"	"42"	"231"	"5"	"3"	"4"	"1"	"1"	"2"	"1"	"3"	"5"	"4"	"4"	"336"	"-"	"336"	""
"53"	"42"	"42"	"65"	"171"	"198"	"7"	"0"	"5"	"6"	"4"	"4"	"4"	"3"	"9"	"6"	"9"	"491"	""	"491"	""
"54"	"43"	"43"	"102"	"114"	"338"	"12"	"0"	"3"	"0"	"0"	"0"	"2"	"6"	"4"	"4"	"15"	"600"	"-"	"600"	""
"55"	"44"	"44"	"51"	"119"	"280"	"3"	"2"	"4"	"1"	"4"	"3"	"1"	"4"	"8"	"11"	"25"	"516"	"-"	"516"	""
"56"	"45"	"45"	"61"	"172"	"256"	"5"	"1"	"0"	"0"	"2"	"0"	"3"	"3"	"1"	"8"	"9"	"521"	"-"	"521"	""
"57"	"46"	"46"	"30"	"110"	"204"	"16"	"4"	"4"	"4"	"4"	"18"	"10"	"9"	"22"	"18"	"10"	"463"	"-"	"463"	""
"58"	"47"	"47"	"81"	"374"	"13"	"2"	"3"	"2"	"1"	"3"	"1"	"1"	"2"	"0"	"5"	"5"	"493"	"-"	"493"	""
"59"	"48"	"48"	"57"	"373"	"19"	"3"	"5"	"2"	"1"	"0"	"4"	"2"	"3"	"2"	"13"	"8"	"492"	"-"	"492"	""
"60"	"49"	"49"	"40"	"126"	"220"	"30"	"3"	"4"	"4"	"2"	"45"	"7"	"4"	"12"	"6"	"10"	"513"	"-"	"513"	""
"61"	"50"	"50"	"7"	"70"	"226"	"7"	"2"	"6"	"1"	"0"	"0"	"3"	"7"	"2"	"12"	"12"	"355"	"-"	"355"	""
"62"	"51"	"51"	"35"	"197"	"212"	"21"	"4"	"2"	"2"	"3"	"5"	"7"	"7"	"10"	"21"	"46"	"572"	"-"	"572"	""
"63"	"52"	"52"	"37"	"4"	"237"	"2"	"0"	"1"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"2"	"286"	"-"	"286"	""
"64"	"53"	"53"	"17"	"24"	"176"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"4"	"225"	"-"	"225"	""
"65"	"54"	"54"	"11"	"353"	"131"	"19"	"6"	"7"	"3"	"6"	"7"	"5"	"4"	"14"	"24"	"7"	"597"	"-"	"597"	""
"66"	"55"	"55"	"129"	"66"	"118"	"10"	"4"	"4"	"2"	"1"	"2"	"2"	"2"	"1"	"2"	"9"	"352"	"-"	"352"	""
"67"	"56"	"56"	"224"	"52"	"126"	"7"	"0"	"3"	"1"	"5"	"3"	"2"	"4"	"8"	"8"	"15"	"458"	"-"	"458"	""
"68"	"57"	"57"	"58"	"155"	"138"	"11"	"2"	"3"	"2"	"6"	"4"	"3"	"2"	"5"	"8"	"2"	"399"	"-"	"399"	""
"69"	"58"	"58"	"75"	"135"	"196"	"17"	"4"	"1"	"3"	"4"	"14"	"7"	"2"	"2"	"7"	"13"	"480"	"-"	"480"	""
"70"	"59"	"59"	"36"	"195"	"150"	"4"	"1"	"2"	"4"	"6"	"12"	"6"	"11"	"10"	"20"	"35"	"492"	"-"	"492"	""
"71"	"60"	"60"	"41"	"201"	"119"	"8"	"6"	"1"	"1"	"2"	"1"	"2"	"4"	"1"	"5"	"6"	"398"	"-"	"398"	""
"72"	"61"	"61"	"45"	"144"	"58"	"2"	"2"	"0"	"0"	"3"	"0"	"4"	"6"	"5"	"19"	"16"	"304"	"-"	"304"	""
"73"	"62"	"62"	"56"	"140"	"113"	"8"	"2"	"5"	"3"	"4"	"5"	"10"	"8"	"8"	"26"	"12"	"400"	"-"	"400"	""
"74"	"63"	"63"	"73"	"95"	"299"	"12"	"5"	"5"	"4"	"5"	"8"	"13"	"5"	"6"	"10"	"6"	"546"	"-"	"546"	""
"75"	"64"	"64"	"83"	"160"	"9"	"3"	"0"	"1"	"2"	"0"	"0"	"2"	"0"	"3"	"2"	"1"	"266"	"-"	"266"	""
"76"	"65"	"65"	"11"	"194"	"242"	"11"	"1"	"3"	"2"	"6"	"7"	"7"	"9"	"20"	"28"	"36"	"577"	"-"	"577"	""
"77"	"66"	"66"	"28"	"293"	"15"	"3"	"0"	"2"	"0"	"3"	"5"	"3"	"2"	"4"	"16"	"13"	"387"	"-"	"387"	""
"78"	"67"	"67"	"15"	"70"	"108"	"7"	"7"	"2"	"2"	"1"	"5"	"2"	"1"	"4"	"2"	"1"	"227"	"-"	"227"	""
"79"	"68"	"68"	"6"	"169"	"32"	"5"	"2"	"1"	"1"	"0"	"4"	"3"	"2"	"3"	"21"	"27"	"276"	"-"	"276"	""
"80"	"69"	"69"	"20"	"148"	"233"	"7"	"1"	"5"	"3"	"2"	"4"	"5"	"3"	"4"	"13"	"13"	"461"	"-"	"461"	""
"81"	"70"	"70"	"51"	"380"	"27"	"2"	"1"	"4"	"1"	"0"	"2"	"3"	"6"	"4"	"9"	"4"	"494"	"-"	"494"	""
"82"	"71"	"71"	"16"	"321"	"69"	"8"	"1"	"2"	"2"	"3"	"3"	"4"	"2"	"7"	"14"	"37"	"489"	"-"	"489"	""
"83"	"72"	"72"	"20"	"241"	"163"	"7"	"1"	"11"	"6"	"4"	"4"	"19"	"7"	"14"	"31"	"43"	"571"	"-"	"571"	""
"84"	"73"	"73"	"16"	"219"	"123"	"6"	"4"	"1"	"5"	"3"	"4"	"7"	"5"	"4"	"16"	"23"	"436"	"-"	"436"	""
"85"	"74"	"74"	"1"	"177"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"184"	"-"	"184"	""
"86"	"75"	"75"	"6"	"520"	"24"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"6"	"562"	"-"	"562"	""
"87"	"76"	"76"	"43"	"258"	"138"	"20"	"10"	"25"	"4"	"54"	"3"	"11"	"5"	"9"	"7"	"9"	"596"	"-"	"596"	""
"88"	"77"	"77"	"35"	"25"	"300"	"6"	"2"	"1"	"0"	"1"	"0"	"0"	"1"	"6"	"2"	"3"	"382"	"-"	"382"	""
"89"	"78"	"78"	"8"	"45"	"243"	"18"	"5"	"2"	"9"	"4"	"7"	"14"	"11"	"32"	"9"	"40"	"447"	"-"	"447"	""
"90"	"79"	"79"	"38"	"336"	"115"	"13"	"3"	"13"	"5"	"19"	"55"	"12"	"10"	"9"	"26"	"26"	"680"	"-"	"680"	""
"91"	"80"	"80"	"26"	"37"	"497"	"10"	"6"	"3"	"2"	"6"	"5"	"4"	"1"	"5"	"4"	"3"	"609"	"-"	"609"	""
"92"	"81"	"81"	"66"	"346"	"131"	"2"	"2"	"4"	"4"	"6"	"5"	"5"	"11"	"10"	"31"	"50"	"673"	"-"	"673"	""
"93"	"82"	"82"	"71"	"187"	"227"	"10"	"0"	"2"	"4"	"3"	"0"	"1"	"0"	"4"	"10"	"13"	"532"	"-"	"532"	""
"94"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"95"	""	""	"Ajay Ku mar Jalan"	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Yugeshwar Sahani"	"Ku mari Su reshwari"	"Md.
Khu rsheed Alam"	"Du rga Nand
Mahabir Nayak"	"Md.
Nizamu ddin"	"Sathy Narayn Mu khiya"	"Abdu r Rahim"	"Govind Acharya"	"Bharat Yadav"	"Lal Bahadu r
Yadav"	"Prof. Hareram Acharya"	""	""	""	""
"96"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"97"	"83"	"83"	"27"	"82"	"148"	"4"	"0"	"1"	"0"	"2"	"3"	"0"	"3"	"12"	"7"	"28"	"317"	"-"	"317"	""
"98"	"84"	"84"	"26"	"89"	"328"	"3"	"0"	"1"	"0"	"0"	"2"	"0"	"1"	"3"	"14"	"6"	"473"	"-"	"473"	""
"99"	"85"	"85"	"26"	"85"	"334"	"9"	"1"	"0"	"2"	"0"	"0"	"1"	"1"	"2"	"8"	"6"	"475"	"-"	"475"	""
"100"	"86"	"86"	"57"	"24"	"111"	"6"	"0"	"1"	"3"	"2"	"42"	"3"	"1"	"4"	"1"	"8"	"263"	"-"	"263"	""
"101"	"87"	"87"	"27"	"130"	"114"	"5"	"1"	"6"	"8"	"15"	"70"	"6"	"3"	"4"	"9"	"1"	"399"	"-"	"399"	""
"102"	"88"	"88"	"29"	"253"	"66"	"7"	"5"	"15"	"6"	"15"	"133"	"15"	"11"	"19"	"54"	"74"	"702"	"-"	"702"	""
"103"	"89"	"89"	"17"	"23"	"216"	"8"	"0"	"1"	"4"	"4"	"23"	"6"	"5"	"12"	"1"	"9"	"329"	"-"	"329"	""
"104"	"90"	"90"	"12"	"120"	"143"	"13"	"2"	"5"	"0"	"11"	"19"	"6"	"4"	"4"	"6"	"2"	"347"	"-"	"347"	""
"105"	"91"	"91"	"39"	"67"	"209"	"11"	"0"	"3"	"3"	"5"	"1"	"2"	"6"	"6"	"2"	"7"	"361"	"-"	"361"	""
"106"	"92"	"92"	"31"	"65"	"289"	"18"	"10"	"8"	"5"	"3"	"15"	"6"	"1"	"5"	"9"	"4"	"469"	"-"	"469"	""
"107"	"93"	"93"	"42"	"386"	"64"	"2"	"7"	"3"	"1"	"7"	"5"	"2"	"7"	"5"	"24"	"32"	"587"	"-"	"587"	""
"108"	"94"	"94"	"5"	"48"	"5"	"2"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"0"	"5"	"7"	"81"	"-"	"81"	""
"109"	"95"	"95"	"16"	"284"	"145"	"12"	"3"	"5"	"2"	"3"	"2"	"27"	"3"	"12"	"16"	"16"	"546"	"-"	"546"	""
"110"	"96"	"96"	"19"	"339"	"171"	"4"	"1"	"3"	"2"	"4"	"1"	"2"	"4"	"4"	"8"	"9"	"571"	"-"	"571"	""
"111"	"97"	"97"	"12"	"87"	"115"	"10"	"5"	"5"	"5"	"9"	"42"	"12"	"3"	"10"	"161"	"30"	"506"	"-"	"506"	""
"112"	"98"	"98"	"36"	"180"	"117"	"13"	"3"	"2"	"4"	"5"	"7"	"0"	"8"	"14"	"34"	"36"	"459"	"-"	"459"	""
"113"	"99"	"99"	"35"	"301"	"42"	"5"	"5"	"0"	"3"	"5"	"1"	"2"	"3"	"1"	"9"	"5"	"417"	"-"	"417"	""
"114"	"100"	"100"	"5"	"129"	"51"	"5"	"1"	"1"	"1"	"0"	"0"	"3"	"4"	"1"	"4"	"1"	"206"	"-"	"206"	""
"115"	"101"	"101"	"31"	"173"	"103"	"10"	"2"	"1"	"3"	"1"	"0"	"1"	"1"	"2"	"23"	"10"	"361"	"-"	"361"	""
"116"	"102"	"102"	"37"	"254"	"77"	"27"	"1"	"4"	"5"	"4"	"3"	"3"	"1"	"4"	"14"	"14"	"448"	"-"	"448"	""
"117"	"103"	"103"	"15"	"198"	"185"	"14"	"2"	"0"	"6"	"2"	"4"	"1"	"3"	"3"	"14"	"14"	"461"	"-"	"461"	""
"118"	"104"	"104"	"31"	"315"	"92"	"10"	"5"	"6"	"5"	"5"	"3"	"5"	"3"	"2"	"31"	"14"	"527"	"-"	"527"	""
"119"	"105"	"105"	"19"	"134"	"75"	"13"	"5"	"0"	"2"	"1"	"7"	"3"	"2"	"3"	"15"	"8"	"287"	"-"	"287"	""
"120"	"106"	"106"	"28"	"398"	"49"	"3"	"0"	"1"	"2"	"2"	"1"	"2"	"4"	"4"	"16"	"16"	"526"	"-"	"526"	""
"121"	"107"	"107"	"79"	"122"	"220"	"15"	"5"	"1"	"6"	"2"	"3"	"6"	"8"	"15"	"15"	"38"	"535"	"-"	"535"	""
"122"	"108"	"108"	"62"	"145"	"282"	"13"	"3"	"10"	"9"	"5"	"0"	"4"	"1"	"2"	"6"	"3"	"545"	"-"	"545"	""
"123"	"109"	"109"	"12"	"35"	"426"	"12"	"2"	"2"	"3"	"3"	"4"	"5"	"6"	"12"	"8"	"9"	"539"	"-"	"539"	""
"124"	"110"	"110"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-"	"0"	""
"125"	"111"	"111"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-"	"0"	""
"126"	"112"	"112"	"22"	"279"	"22"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"2"	"6"	"333"	"-"	"333"	""
"127"	"113"	"113"	"32"	"260"	"197"	"7"	"5"	"6"	"5"	"11"	"2"	"7"	"2"	"10"	"17"	"15"	"576"	"-"	"576"	""
"128"	"114"	"114"	"25"	"124"	"222"	"21"	"6"	"3"	"2"	"4"	"2"	"2"	"4"	"0"	"5"	"12"	"432"	"-"	"432"	""
"129"	"115"	"115"	"4"	"365"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"3"	"0"	"0"	"3"	"2"	"381"	"-"	"381"	""
"130"	"116"	"116"	"20"	"414"	"11"	"4"	"1"	"0"	"0"	"1"	"1"	"8"	"0"	"1"	"0"	"2"	"463"	"-"	"463"	""
"131"	"117"	"117"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-"	"0"	""
"132"	"118"	"118"	"16"	"201"	"93"	"6"	"1"	"1"	"2"	"4"	"3"	"2"	"1"	"1"	"5"	"7"	"343"	"-"	"343"	""
"133"	"119"	"119"	"31"	"258"	"26"	"2"	"0"	"2"	"1"	"0"	"1"	"1"	"0"	"0"	"3"	"0"	"325"	"-"	"325"	""
"134"	"120"	"120"	"33"	"314"	"51"	"5"	"1"	"2"	"0"	"2"	"0"	"1"	"2"	"2"	"3"	"4"	"420"	"-"	"420"	""
"135"	"121"	"121"	"26"	"308"	"46"	"32"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"10"	"16"	"443"	"-"	"443"	""
"136"	"122"	"122"	"40"	"270"	"53"	"5"	"0"	"2"	"2"	"3"	"1"	"2"	"10"	"6"	"22"	"22"	"438"	"-"	"438"	""
"137"	"123"	"123"	"35"	"260"	"65"	"4"	"1"	"3"	"0"	"3"	"2"	"7"	"7"	"10"	"17"	"47"	"461"	"-"	"461"	""
"138"	"124"	"124"	"30"	"176"	"178"	"3"	"1"	"6"	"2"	"1"	"1"	"2"	"3"	"12"	"11"	"13"	"439"	"-"	"439"	""
"139"	"125"	"125"	"20"	"109"	"89"	"1"	"3"	"2"	"0"	"1"	"0"	"6"	"4"	"8"	"15"	"26"	"284"	"-"	"284"	""
"140"	"126"	"126"	"48"	"378"	"33"	"2"	"1"	"0"	"1"	"0"	"3"	"1"	"2"	"5"	"17"	"17"	"508"	"-"	"508"	""
"141"	"127"	"127"	"28"	"73"	"325"	"13"	"7"	"9"	"1"	"2"	"2"	"6"	"2"	"2"	"1"	"2"	"473"	"-"	"473"	""
"142"	"128"	"128"	"27"	"61"	"134"	"4"	"1"	"0"	"0"	"3"	"2"	"4"	"1"	"2"	"15"	"9"	"263"	"-"	"263"	""
"143"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"144"	""	""	"Ajay Ku mar Jalan"	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Yugeshwar Sahani"	"Ku mari Su reshwari"	"Md.
Khu rsheed Alam"	"Du rga Nand
Mahabir Nayak"	"Md.
Nizamu ddin"	"Sathy Narayn Mu khiya"	"Abdu r Rahim"	"Govind Acharya"	"Bharat Yadav"	"Lal Bahadu r
Yadav"	"Prof. Hareram Acharya"	""	""	""	""
"145"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"146"	"129"	"129"	"16"	"85"	"131"	"14"	"3"	"1"	"2"	"1"	"1"	"3"	"2"	"12"	"12"	"28"	"311"	"-"	"311"	""
"147"	"130"	"130"	"50"	"103"	"137"	"22"	"3"	"4"	"4"	"7"	"2"	"3"	"3"	"2"	"10"	"8"	"358"	"-"	"358"	""
"148"	"131"	"131"	"38"	"333"	"172"	"11"	"2"	"8"	"4"	"7"	"9"	"7"	"4"	"6"	"22"	"12"	"635"	"-"	"635"	""
"149"	"132"	"132"	"48"	"42"	"361"	"17"	"6"	"6"	"2"	"3"	"3"	"9"	"8"	"14"	"11"	"18"	"548"	"-"	"548"	""
"150"	"133"	"133"	"30"	"108"	"376"	"9"	"3"	"4"	"0"	"2"	"6"	"3"	"2"	"8"	"7"	"12"	"570"	"-"	"570"	""
"151"	"134"	"134"	"15"	"83"	"360"	"11"	"2"	"5"	"2"	"0"	"0"	"2"	"1"	"3"	"4"	"1"	"489"	"-"	"489"	""
"152"	"135"	"135"	"15"	"142"	"165"	"10"	"3"	"2"	"3"	"4"	"3"	"2"	"3"	"5"	"5"	"4"	"366"	"-"	"366"	""
"153"	"136"	"136"	"19"	"185"	"253"	"5"	"1"	"7"	"6"	"7"	"3"	"3"	"8"	"4"	"6"	"6"	"513"	"-"	"513"	""
