"Sl..No."	"No..of.Polling.Station"	"No..of.Valid.votes.cast..in..favour..of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tendere.d.votes"
"42"	"40"	"40"	"8"	"19"	"351"	"14"	"19"	"1"	"0"	"1"	"2"	"3"	"5"	"10"	"29"	"13"	"10"	"485"	"0"	"485"	""
"43"	"41"	"41"	"21"	"16"	"224"	"11"	"66"	"4"	"4"	"3"	"3"	"1"	"1"	"6"	"11"	"10"	"14"	"395"	"0"	"395"	""
"44"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendere d votes"
"45"	""	""	"MD. ANWARU L HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARUN SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDRI KA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"46"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"47"	"42"	"42"	"70"	"6"	"111"	"17"	"43"	"1"	"2"	"0"	"1"	"1"	"2"	"0"	"2"	"3"	"4"	"263"	"0"	"263"	""
"48"	"43"	"43"	"10"	"10"	"317"	"27"	"34"	"0"	"0"	"3"	"4"	"2"	"3"	"6"	"22"	"12"	"13"	"463"	"0"	"463"	""
"49"	"44"	"44"	"17"	"17"	"299"	"9"	"27"	"2"	"1"	"1"	"1"	"0"	"1"	"5"	"12"	"5"	"12"	"409"	"0"	"409"	""
"50"	"45"	"45"	"111"	"21"	"318"	"20"	"58"	"1"	"6"	"1"	"0"	"0"	"1"	"3"	"1"	"2"	"3"	"546"	"0"	"546"	""
"51"	"46"	"46"	"13"	"16"	"377"	"8"	"36"	"3"	"1"	"1"	"0"	"0"	"1"	"0"	"17"	"4"	"5"	"482"	"0"	"482"	""
"52"	"47"	"47"	"10"	"16"	"284"	"20"	"73"	"2"	"3"	"3"	"2"	"2"	"0"	"3"	"6"	"8"	"4"	"436"	"0"	"436"	""
"53"	"48"	"48"	"10"	"14"	"239"	"14"	"70"	"6"	"2"	"0"	"2"	"2"	"2"	"7"	"14"	"11"	"23"	"416"	"0"	"416"	""
"54"	"49"	"49"	"14"	"21"	"301"	"14"	"78"	"7"	"9"	"6"	"3"	"3"	"5"	"7"	"15"	"24"	"19"	"526"	"0"	"526"	""
"55"	"50"	"50"	"24"	"20"	"357"	"41"	"33"	"3"	"2"	"5"	"1"	"1"	"1"	"6"	"14"	"10"	"10"	"528"	"0"	"528"	""
"56"	"51"	"51"	"33"	"36"	"385"	"17"	"93"	"4"	"5"	"3"	"2"	"2"	"6"	"1"	"12"	"3"	"11"	"613"	"0"	"613"	""
"57"	"52"	"52"	"14"	"5"	"200"	"10"	"48"	"1"	"2"	"0"	"0"	"0"	"2"	"1"	"7"	"5"	"3"	"298"	"0"	"298"	""
"58"	"53"	"53"	"1"	"12"	"175"	"55"	"74"	"3"	"1"	"0"	"0"	"1"	"0"	"4"	"2"	"3"	"6"	"337"	"0"	"337"	""
"59"	"54"	"54"	"28"	"6"	"139"	"41"	"27"	"3"	"4"	"6"	"3"	"5"	"4"	"5"	"17"	"10"	"8"	"306"	"0"	"306"	""
"60"	"55"	"55"	"173"	"14"	"121"	"12"	"34"	"0"	"6"	"4"	"1"	"0"	"1"	"1"	"2"	"3"	"12"	"384"	"0"	"384"	""
"61"	"56"	"56"	"69"	"21"	"229"	"22"	"53"	"5"	"2"	"4"	"4"	"9"	"4"	"10"	"15"	"12"	"9"	"468"	"0"	"468"	""
"62"	"57"	"57"	"27"	"9"	"222"	"31"	"21"	"1"	"1"	"1"	"3"	"0"	"1"	"2"	"6"	"7"	"3"	"335"	"0"	"335"	""
"63"	"58"	"58"	"10"	"13"	"342"	"29"	"166"	"4"	"7"	"7"	"3"	"2"	"7"	"5"	"11"	"5"	"5"	"616"	"0"	"616"	""
"64"	"59"	"59"	"91"	"15"	"217"	"27"	"79"	"4"	"5"	"2"	"0"	"3"	"0"	"0"	"11"	"4"	"9"	"467"	"0"	"467"	""
"65"	"60"	"60"	"153"	"14"	"270"	"36"	"59"	"1"	"4"	"2"	"5"	"1"	"4"	"3"	"9"	"5"	"11"	"577"	"0"	"577"	""
"66"	"61"	"61"	"43"	"11"	"124"	"20"	"32"	"4"	"1"	"1"	"0"	"1"	"1"	"4"	"2"	"4"	"3"	"251"	"0"	"251"	""
"67"	"62"	"62"	"9"	"11"	"226"	"34"	"49"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"3"	"1"	"1"	"338"	"0"	"338"	""
"68"	"63"	"63"	"74"	"12"	"154"	"83"	"39"	"2"	"5"	"3"	"5"	"2"	"3"	"11"	"18"	"17"	"28"	"456"	"0"	"456"	""
"69"	"64"	"64"	"56"	"17"	"235"	"34"	"107"	"5"	"3"	"0"	"1"	"3"	"3"	"7"	"11"	"6"	"10"	"498"	"0"	"498"	""
"70"	"65"	"65"	"13"	"19"	"208"	"51"	"55"	"4"	"7"	"2"	"1"	"1"	"3"	"2"	"9"	"4"	"6"	"385"	"0"	"385"	""
"71"	"66"	"66"	"12"	"20"	"376"	"11"	"22"	"2"	"5"	"5"	"4"	"3"	"4"	"3"	"17"	"6"	"10"	"500"	"0"	"500"	""
"72"	"67"	"67"	"25"	"5"	"211"	"34"	"84"	"0"	"3"	"1"	"0"	"0"	"0"	"5"	"16"	"10"	"5"	"399"	"0"	"399"	""
"73"	"68"	"68"	"17"	"12"	"239"	"17"	"17"	"0"	"0"	"1"	"1"	"1"	"1"	"2"	"23"	"7"	"4"	"342"	"0"	"342"	""
"74"	"69"	"69"	"5"	"10"	"256"	"18"	"42"	"1"	"1"	"2"	"0"	"2"	"1"	"1"	"5"	"1"	"2"	"347"	"0"	"347"	""
"75"	"70"	"70"	"3"	"10"	"205"	"23"	"110"	"0"	"1"	"2"	"0"	"3"	"4"	"3"	"1"	"3"	"2"	"370"	"0"	"370"	""
"76"	"71"	"71"	"22"	"15"	"159"	"60"	"58"	"3"	"2"	"3"	"1"	"2"	"5"	"2"	"5"	"8"	"4"	"349"	"0"	"349"	""
"77"	"72"	"72"	"82"	"11"	"213"	"17"	"67"	"1"	"0"	"1"	"1"	"1"	"0"	"5"	"7"	"8"	"4"	"418"	"0"	"418"	""
"78"	"73"	"73"	"17"	"12"	"236"	"254"	"109"	"4"	"1"	"2"	"1"	"2"	"4"	"5"	"8"	"6"	"14"	"675"	"0"	"675"	""
"79"	"74"	"74"	"18"	"8"	"100"	"103"	"70"	"1"	"1"	"1"	"2"	"0"	"0"	"3"	"2"	"2"	"1"	"312"	"0"	"312"	""
"80"	"75"	"75"	"34"	"5"	"175"	"16"	"76"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"2"	"3"	"316"	"0"	"316"	""
"81"	"76"	"76"	"127"	"7"	"191"	"18"	"17"	"2"	"4"	"1"	"1"	"3"	"2"	"3"	"12"	"6"	"13"	"407"	"0"	"407"	""
"82"	"77"	"77"	"95"	"16"	"217"	"73"	"86"	"3"	"2"	"3"	"0"	"1"	"0"	"1"	"1"	"1"	"4"	"503"	"0"	"503"	""
"83"	"78"	"78"	"14"	"18"	"167"	"130"	"75"	"4"	"5"	"3"	"2"	"1"	"3"	"0"	"3"	"1"	"2"	"428"	"0"	"428"	""
"84"	"79"	"79"	"11"	"4"	"164"	"35"	"124"	"5"	"2"	"2"	"1"	"0"	"6"	"2"	"7"	"3"	"11"	"377"	"0"	"377"	""
"85"	"80"	"80"	"8"	"7"	"286"	"10"	"50"	"3"	"1"	"0"	"3"	"0"	"1"	"2"	"7"	"5"	"2"	"385"	"0"	"385"	""
"86"	"81"	"81"	"39"	"8"	"102"	"8"	"125"	"4"	"1"	"2"	"1"	"2"	"0"	"4"	"2"	"0"	"4"	"302"	"0"	"302"	""
"87"	"82"	"82"	"21"	"3"	"341"	"51"	"67"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"10"	"3"	"5"	"503"	"0"	"503"	""
"88"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendere d votes"
"89"	""	""	"MD. ANWARU L HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARUN SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDRI KA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"90"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"91"	"83"	"83"	"62"	"9"	"171"	"27"	"61"	"2"	"1"	"1"	"1"	"1"	"4"	"7"	"8"	"10"	"4"	"369"	"0"	"369"	""
"92"	"84"	"84"	"367"	"13"	"9"	"6"	"72"	"0"	"2"	"1"	"1"	"0"	"0"	"3"	"3"	"3"	"13"	"493"	"0"	"493"	""
"93"	"85"	"85"	"265"	"5"	"408"	"9"	"37"	"4"	"3"	"2"	"1"	"1"	"3"	"0"	"2"	"5"	"2"	"747"	"0"	"747"	""
"94"	"86"	"86"	"249"	"9"	"12"	"17"	"28"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"13"	"331"	"0"	"331"	""
"95"	"87"	"87"	"231"	"7"	"51"	"17"	"62"	"0"	"3"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"3"	"378"	"0"	"378"	""
"96"	"88"	"88"	"189"	"4"	"59"	"22"	"49"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"3"	"330"	"0"	"330"	""
"97"	"89"	"89"	"18"	"4"	"53"	"132"	"33"	"2"	"0"	"1"	"0"	"1"	"2"	"1"	"3"	"2"	"5"	"257"	"0"	"257"	""
"98"	"90"	"90"	"311"	"18"	"44"	"46"	"12"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"3"	"2"	"7"	"446"	"0"	"446"	""
"99"	"91"	"91"	"170"	"12"	"204"	"74"	"63"	"7"	"0"	"5"	"2"	"1"	"2"	"1"	"11"	"3"	"14"	"569"	"0"	"569"	""
"100"	"92"	"92"	"73"	"4"	"34"	"180"	"63"	"3"	"3"	"0"	"0"	"0"	"3"	"6"	"0"	"1"	"2"	"372"	"0"	"372"	""
"101"	"93"	"93"	"315"	"5"	"58"	"15"	"39"	"3"	"2"	"1"	"1"	"0"	"3"	"2"	"1"	"3"	"9"	"457"	"0"	"457"	""
"102"	"94"	"94"	"9"	"5"	"83"	"61"	"60"	"2"	"0"	"1"	"0"	"0"	"1"	"2"	"2"	"2"	"1"	"229"	"0"	"229"	""
"103"	"95"	"95"	"34"	"4"	"57"	"5"	"92"	"3"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"4"	"203"	"0"	"203"	""
"104"	"96"	"96"	"43"	"16"	"170"	"137"	"24"	"2"	"0"	"3"	"0"	"1"	"1"	"3"	"3"	"2"	"8"	"413"	"0"	"413"	""
"105"	"97"	"97"	"12"	"8"	"161"	"99"	"55"	"2"	"3"	"1"	"1"	"2"	"1"	"3"	"5"	"7"	"11"	"371"	"0"	"371"	""
"106"	"98"	"98"	"6"	"8"	"120"	"13"	"121"	"5"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"277"	"0"	"277"	""
"107"	"99"	"99"	"14"	"5"	"99"	"109"	"73"	"4"	"0"	"0"	"1"	"1"	"1"	"3"	"1"	"2"	"8"	"321"	"0"	"321"	""
"108"	"100"	"100"	"8"	"15"	"179"	"22"	"69"	"3"	"1"	"2"	"0"	"4"	"2"	"2"	"3"	"7"	"7"	"324"	"0"	"324"	""
"109"	"101"	"101"	"18"	"4"	"124"	"52"	"164"	"2"	"0"	"2"	"2"	"0"	"0"	"1"	"2"	"0"	"1"	"372"	"0"	"372"	""
"110"	"102"	"102"	"37"	"7"	"103"	"76"	"161"	"11"	"3"	"3"	"0"	"4"	"1"	"2"	"9"	"1"	"10"	"428"	"0"	"428"	""
"111"	"103"	"103"	"2"	"0"	"6"	"189"	"69"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"269"	"0"	"269"	""
"112"	"104"	"104"	"14"	"9"	"181"	"26"	"106"	"4"	"0"	"3"	"2"	"1"	"1"	"0"	"7"	"2"	"4"	"360"	"0"	"360"	""
"113"	"105"	"105"	"44"	"14"	"256"	"46"	"42"	"1"	"1"	"0"	"2"	"0"	"0"	"1"	"2"	"1"	"3"	"413"	"0"	"413"	""
"114"	"106"	"106"	"8"	"6"	"176"	"21"	"42"	"1"	"1"	"2"	"1"	"0"	"4"	"1"	"3"	"7"	"3"	"276"	"0"	"276"	""
"115"	"107"	"107"	"19"	"18"	"159"	"126"	"32"	"1"	"2"	"1"	"1"	"0"	"1"	"0"	"6"	"4"	"2"	"372"	"0"	"372"	""
"116"	"108"	"108"	"24"	"20"	"260"	"28"	"66"	"3"	"3"	"4"	"0"	"1"	"0"	"2"	"2"	"2"	"1"	"416"	"0"	"416"	""
"117"	"109"	"109"	"5"	"14"	"145"	"62"	"100"	"5"	"3"	"2"	"3"	"0"	"1"	"3"	"3"	"2"	"1"	"349"	"0"	"349"	""
"118"	"110"	"110"	"10"	"13"	"146"	"51"	"56"	"4"	"2"	"3"	"2"	"3"	"0"	"2"	"1"	"0"	"2"	"295"	"0"	"295"	""
"119"	"111"	"111"	"92"	"22"	"325"	"84"	"81"	"4"	"8"	"4"	"2"	"3"	"3"	"4"	"12"	"6"	"8"	"658"	"0"	"658"	""
"120"	"112"	"112"	"107"	"6"	"4"	"121"	"54"	"0"	"0"	"1"	"1"	"0"	"2"	"0"	"1"	"0"	"2"	"299"	"0"	"299"	""
"121"	"113"	"113"	"16"	"6"	"162"	"19"	"50"	"0"	"3"	"1"	"0"	"0"	"1"	"3"	"2"	"4"	"2"	"269"	"0"	"269"	""
"122"	"114"	"114"	"16"	"2"	"32"	"147"	"133"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"1"	"4"	"339"	"0"	"339"	""
"123"	"115"	"115"	"4"	"7"	"63"	"187"	"140"	"9"	"2"	"4"	"2"	"2"	"4"	"6"	"5"	"5"	"12"	"452"	"0"	"452"	""
"124"	"116"	"116"	"9"	"5"	"91"	"80"	"113"	"3"	"2"	"6"	"0"	"2"	"4"	"5"	"11"	"11"	"15"	"357"	"0"	"357"	""
"125"	"117"	"117"	"23"	"15"	"385"	"44"	"26"	"2"	"0"	"2"	"0"	"1"	"0"	"5"	"4"	"3"	"1"	"511"	"0"	"511"	""
"126"	"118"	"118"	"88"	"26"	"323"	"74"	"169"	"5"	"6"	"4"	"3"	"3"	"2"	"9"	"17"	"4"	"11"	"744"	"0"	"744"	""
"127"	"119"	"119"	"134"	"6"	"39"	"14"	"135"	"1"	"4"	"2"	"1"	"2"	"2"	"1"	"2"	"2"	"16"	"361"	"0"	"361"	""
"128"	"120"	"120"	"97"	"7"	"79"	"9"	"120"	"3"	"2"	"0"	"1"	"0"	"0"	"2"	"5"	"7"	"17"	"349"	"0"	"349"	""
"129"	"121"	"121"	"9"	"16"	"311"	"21"	"119"	"5"	"1"	"4"	"0"	"1"	"4"	"1"	"24"	"11"	"16"	"543"	"0"	"543"	""
"130"	"122"	"122"	"31"	"24"	"339"	"27"	"120"	"0"	"4"	"2"	"0"	"0"	"0"	"3"	"10"	"4"	"6"	"570"	"0"	"570"	""
"131"	"123"	"123"	"50"	"11"	"129"	"13"	"41"	"2"	"2"	"2"	"2"	"0"	"0"	"2"	"2"	"8"	"15"	"279"	"0"	"279"	""
"132"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendere d votes"
"133"	""	""	"MD. ANWARU L HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARUN SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDRI KA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"134"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"135"	"124"	"124"	"27"	"23"	"222"	"14"	"145"	"4"	"5"	"1"	"0"	"0"	"1"	"5"	"6"	"3"	"7"	"463"	"0"	"463"	""
"136"	"125"	"125"	"1"	"3"	"144"	"7"	"64"	"4"	"2"	"0"	"0"	"2"	"5"	"2"	"6"	"6"	"4"	"250"	"0"	"250"	""
"137"	"126"	"126"	"9"	"13"	"298"	"14"	"99"	"3"	"4"	"10"	"6"	"0"	"1"	"4"	"6"	"8"	"11"	"486"	"0"	"486"	""
"138"	"127"	"127"	"5"	"9"	"234"	"15"	"80"	"0"	"0"	"0"	"1"	"2"	"2"	"0"	"1"	"5"	"2"	"356"	"0"	"356"	""
"139"	"128"	"128"	"63"	"11"	"170"	"133"	"134"	"7"	"3"	"4"	"1"	"2"	"1"	"0"	"9"	"5"	"9"	"552"	"0"	"552"	""
"140"	"129"	"129"	"223"	"14"	"137"	"21"	"200"	"5"	"5"	"5"	"1"	"3"	"3"	"6"	"7"	"5"	"21"	"656"	"0"	"656"	""
"141"	"130"	"130"	"10"	"5"	"127"	"8"	"118"	"8"	"2"	"4"	"4"	"4"	"7"	"5"	"8"	"7"	"19"	"336"	"0"	"336"	""
"142"	"131"	"131"	"54"	"13"	"210"	"17"	"131"	"2"	"2"	"1"	"0"	"3"	"0"	"3"	"2"	"4"	"6"	"448"	"0"	"448"	""
"143"	"132"	"132"	"5"	"5"	"112"	"9"	"39"	"0"	"2"	"2"	"1"	"0"	"1"	"3"	"2"	"6"	"0"	"187"	"0"	"187"	""
"144"	"133"	"133"	"134"	"16"	"227"	"12"	"125"	"6"	"3"	"9"	"1"	"3"	"1"	"6"	"6"	"5"	"5"	"559"	"0"	"559"	""
"145"	"134"	"134"	"22"	"19"	"217"	"26"	"196"	"10"	"9"	"11"	"5"	"5"	"5"	"6"	"9"	"13"	"16"	"569"	"0"	"569"	""
"146"	"135"	"135"	"24"	"7"	"119"	"33"	"78"	"3"	"2"	"2"	"0"	"0"	"2"	"3"	"6"	"2"	"8"	"289"	"0"	"289"	""
"147"	"136"	"136"	"8"	"8"	"315"	"21"	"28"	"0"	"0"	"4"	"1"	"1"	"1"	"3"	"9"	"4"	"4"	"407"	"0"	"407"	""
"148"	"137"	"137"	"37"	"15"	"316"	"34"	"39"	"4"	"3"	"3"	"2"	"4"	"2"	"2"	"17"	"9"	"17"	"504"	"0"	"504"	""
"149"	"138"	"138"	"58"	"13"	"257"	"13"	"157"	"3"	"0"	"3"	"0"	"1"	"5"	"4"	"4"	"3"	"5"	"526"	"0"	"526"	""
"150"	"139"	"139"	"29"	"16"	"346"	"17"	"66"	"1"	"6"	"8"	"3"	"2"	"4"	"7"	"3"	"6"	"1"	"515"	"0"	"515"	""
"151"	"140"	"140"	"73"	"10"	"445"	"44"	"63"	"4"	"1"	"2"	"0"	"1"	"1"	"8"	"17"	"9"	"11"	"689"	"0"	"689"	""
