"fo.kku.l.Hkk.fuokZpu..ks..esa.fuokZpdksa.dh.dqy.l.a...k.245214"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"14"	"6"	"22"	"180"	"20"	"38"	"3"	"35"	"2"	"2"	"1"	"3"	"0"	"3"	"4"	"1"	"6"	"4"	"324"	""	"324"	""
"15"	"7"	"40"	"35"	"120"	"71"	"1"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"2"	"3"	"275"	""	"275"	""
"16"	"8"	"89"	"251"	"95"	"53"	"7"	"25"	"2"	"2"	"4"	"1"	"2"	"0"	"1"	"3"	"7"	"2"	"544"	""	"544"	""
"17"	"9"	"142"	"64"	"151"	"139"	"0"	"24"	"2"	"3"	"1"	"1"	"1"	"1"	"2"	"3"	"2"	"3"	"539"	""	"539"	""
"18"	"10"	"114"	"46"	"85"	"117"	"3"	"1"	"1"	"2"	"0"	"3"	"3"	"2"	"3"	"10"	"0"	"3"	"393"	""	"393"	""
"19"	"11"	"36"	"51"	"19"	"364"	"2"	"1"	"0"	"1"	"0"	"0"	"2"	"3"	"4"	"8"	"6"	"7"	"504"	""	"504"	""
"20"	"12"	"141"	"214"	"121"	"102"	"8"	"1"	"0"	"2"	"2"	"0"	"0"	"1"	"4"	"5"	"3"	"3"	"607"	""	"607"	""
"21"	"13"	"226"	"15"	"24"	"36"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"3"	"0"	"6"	"312"	""	"312"	""
"22"	"14"	"6"	"40"	"5"	"176"	"30"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"3"	"266"	""	"266"	""
"23"	"TOTAL"	"1085"	"1374"	"1159"	"1597"	"67"	"162"	"53"	"21"	"17"	"14"	"17"	"19"	"36"	"56"	"31"	"60"	"5768"	"0"	"5768"	"0"
"24"	"fo/kku l Hkk fuokZpu {ks= dk l a[; k , oa uke 209&djxgj  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"ernku dsUnz                                                                               l a[; k"	"fuEufyf[kr ds Ik{k esa fn,  x,  fof/kekU;  erksa dh l a[; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr{ksfi r erksa dh l a[; k"	"; ksx"	"fufonÙk erksa dh l a[; k"
"26"	""	"xkU/kh vkt kn"	"ehjk dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[kh jke"	"cCcu pkS/kjh"	"cfyjke jke"	"Hkksyk i zl kn"	"jk/kk nsch"	"jke uxhuk jke"	"jke ; knh jke"	"i zeksn dqekj"	"Hkjr jke"	"eqfu; k nsch"	"jke i zos'k jke"	"l qjsUnz jke"	""	""	""	""
"27"	"BF"	"1085"	"1374"	"1159"	"1597"	"67"	"162"	"53"	"21"	"17"	"14"	"17"	"19"	"36"	"56"	"31"	"60"	"5768"	"0"	"5768"	"0"
"28"	"15"	"62"	"64"	"154"	"27"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"2"	"3"	"5"	"3"	"2"	"326"	""	"326"	""
"29"	"16"	"25"	"4"	"279"	"75"	"1"	"1"	"2"	"1"	"1"	"0"	"1"	"0"	"5"	"12"	"2"	"4"	"413"	""	"413"	""
"30"	"17"	"6"	"101"	"24"	"125"	"6"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"0"	"270"	""	"270"	""
"31"	"18"	"2"	"212"	"48"	"43"	"2"	"15"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"327"	""	"327"	""
"32"	"19"	"32"	"32"	"8"	"222"	"8"	"4"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"7"	"0"	"35"	"351"	""	"351"	""
"33"	"20"	"26"	"64"	"6"	"115"	"4"	"0"	"0"	"1"	"1"	"3"	"1"	"0"	"3"	"6"	"2"	"4"	"236"	""	"236"	""
"34"	"21"	"39"	"85"	"82"	"55"	"1"	"1"	"0"	"1"	"0"	"5"	"3"	"2"	"2"	"0"	"0"	"1"	"277"	""	"277"	""
"35"	"22"	"51"	"76"	"150"	"25"	"1"	"2"	"3"	"0"	"0"	"4"	"2"	"1"	"3"	"10"	"4"	"6"	"338"	""	"338"	""
"36"	"23"	"170"	"37"	"101"	"27"	"5"	"1"	"0"	"1"	"0"	"2"	"0"	"2"	"1"	"7"	"2"	"5"	"361"	""	"361"	""
"37"	"24"	"68"	"37"	"54"	"338"	"1"	"20"	"0"	"1"	"0"	"0"	"0"	"1"	"8"	"6"	"2"	"1"	"537"	""	"537"	""
"38"	"25"	"73"	"70"	"103"	"104"	"2"	"1"	"0"	"2"	"2"	"3"	"0"	"0"	"3"	"6"	"2"	"2"	"373"	""	"373"	""
"39"	"26"	"2"	"1"	"244"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"5"	"1"	"1"	"260"	""	"260"	""
"40"	"27"	"29"	"208"	"42"	"45"	"2"	"85"	"1"	"1"	"3"	"0"	"3"	"1"	"2"	"5"	"6"	"8"	"441"	""	"441"	""
"41"	"28"	"267"	"172"	"85"	"61"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"4"	"1"	"4"	"603"	""	"603"	""
"42"	"TOTAL"	"1937"	"2537"	"2539"	"2863"	"102"	"300"	"61"	"31"	"25"	"32"	"29"	"30"	"70"	"133"	"58"	"134"	"10881"	"0"	"10881"	"0"
"43"	"fo/kku l Hkk fuokZpu {ks= dk l a[; k , oa uke 209&djxgj  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44"	"ernku dsUnz                                                                               l a[; k"	"fuEufyf[kr ds Ik{k esa fn,  x,  fof/kekU;  erksa dh l a[; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr{ksfi r erksa dh l a[; k"	"; ksx"	"fufonÙk erksa dh l a[; k"
"45"	""	"xkU/kh vkt kn"	"ehjk dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[kh jke"	"cCcu pkS/kjh"	"cfyjke jke"	"Hkksyk i zl kn"	"jk/kk nsch"	"jke uxhuk jke"	"jke ; knh jke"	"i zeksn dqekj"	"Hkjr jke"	"eqfu; k nsch"	"jke i zos'k jke"	"l qjsUnz jke"	""	""	""	""
"46"	"BF"	"1937"	"2537"	"2539"	"2863"	"102"	"300"	"61"	"31"	"25"	"32"	"29"	"30"	"70"	"133"	"58"	"134"	"10881"	"0"	"10881"	"0"
"47"	"29"	"48"	"91"	"370"	"67"	"0"	"2"	"0"	"2"	"1"	"1"	"3"	"5"	"6"	"4"	"4"	"2"	"606"	""	"606"	""
"48"	"30"	"11"	"26"	"152"	"148"	"2"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"0"	"7"	"0"	"1"	"350"	""	"350"	""
"49"	"31"	"2"	"47"	"45"	"74"	"2"	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"1"	"2"	"1"	"1"	"180"	""	"180"	""
"50"	"32"	"32"	"2"	"101"	"33"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"3"	"4"	"2"	"3"	"186"	""	"186"	""
"51"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"52"	"34"	"59"	"19"	"198"	"20"	"1"	"0"	"1"	"1"	"1"	"2"	"1"	"1"	"6"	"3"	"0"	"6"	"319"	""	"319"	""
"53"	"35"	"120"	"93"	"105"	"20"	"1"	"5"	"0"	"3"	"2"	"0"	"0"	"0"	"4"	"7"	"2"	"10"	"372"	""	"372"	""
"54"	"36"	"48"	"62"	"170"	"45"	"1"	"1"	"0"	"2"	"1"	"2"	"1"	"0"	"2"	"2"	"1"	"3"	"341"	""	"341"	""
"55"	"37"	"100"	"29"	"324"	"5"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"462"	""	"462"	""
"56"	"38"	"67"	"72"	"74"	"12"	"2"	"5"	"1"	"0"	"3"	"1"	"0"	"0"	"5"	"4"	"6"	"10"	"262"	""	"262"	""
"57"	"39"	"35"	"57"	"58"	"59"	"4"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"4"	"3"	"2"	"6"	"230"	""	"230"	""
"58"	"40"	"104"	"6"	"195"	"27"	"3"	"3"	"2"	"1"	"0"	"2"	"1"	"0"	"3"	"1"	"0"	"3"	"351"	""	"351"	""
"59"	"41"	"18"	"20"	"200"	"17"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"260"	""	"260"	""
"60"	"42"	"25"	"19"	"132"	"182"	"0"	"1"	"0"	"0"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"2"	"365"	""	"365"	""
"61"	"TOTAL"	"2606"	"3080"	"4663"	"3572"	"122"	"320"	"69"	"41"	"39"	"41"	"38"	"41"	"106"	"170"	"76"	"181"	"15165"	"0"	"15165"	"0"
"62"	"fo/kku l Hkk fuokZpu {ks= dk l a[; k , oa uke 209&djxgj  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"ernku dsUnz                                                                               l a[; k"	"fuEufyf[kr ds Ik{k esa fn,  x,  fof/kekU;  erksa dh l a[; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr{ksfi r erksa dh l a[; k"	"; ksx"	"fufonÙk erksa dh l a[; k"
"64"	""	"xkU/kh vkt kn"	"ehjk dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[kh jke"	"cCcu pkS/kjh"	"cfyjke jke"	"Hkksyk i zl kn"	"jk/kk nsch"	"jke uxhuk jke"	"jke ; knh jke"	"i zeksn dqekj"	"Hkjr jke"	"eqfu; k nsch"	"jke i zos'k jke"	"l qjsUnz jke"	""	""	""	""
"65"	"BF"	"2606"	"3080"	"4663"	"3572"	"122"	"320"	"69"	"41"	"39"	"41"	"38"	"41"	"106"	"170"	"76"	"181"	"15165"	"0"	"15165"	"0"
"66"	"43"	"102"	"16"	"161"	"103"	"4"	"0"	"2"	"1"	"2"	"0"	"3"	"1"	"5"	"14"	"3"	"2"	"419"	""	"419"	""
"67"	"44"	"5"	"141"	"16"	"10"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	""	"174"	""
"68"	"45"	"8"	"124"	"74"	"55"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"5"	"3"	"2"	"275"	""	"275"	""
"69"	"46"	"4"	"12"	"134"	"147"	"5"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"6"	"8"	"2"	"1"	"321"	""	"321"	""
"70"	"47"	"94"	"69"	"31"	"10"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"1"	"0"	"2"	"211"	""	"211"	""
"71"	"48"	"73"	"52"	"187"	"111"	"1"	"4"	"1"	"2"	"1"	"2"	"1"	"1"	"1"	"6"	"0"	"0"	"443"	""	"443"	""
"72"	"49"	"6"	"59"	"260"	"36"	"2"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"2"	"2"	"1"	"4"	"375"	""	"375"	""
"73"	"50"	"3"	"76"	"235"	"42"	"4"	"6"	"2"	"3"	"1"	"2"	"0"	"2"	"4"	"5"	"2"	"4"	"391"	""	"391"	""
"74"	"51"	"16"	"117"	"167"	"82"	"3"	"9"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"1"	"3"	"2"	"404"	""	"404"	""
"75"	"52"	"9"	"178"	"120"	"53"	"2"	"4"	"2"	"2"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"375"	""	"375"	""
"76"	"53"	"28"	"163"	"209"	"45"	"2"	"1"	"1"	"1"	"0"	"3"	"1"	"1"	"5"	"3"	"2"	"5"	"470"	""	"470"	""
"77"	"54"	"108"	"100"	"121"	"169"	"4"	"0"	"0"	"2"	"3"	"1"	"1"	"2"	"2"	"4"	"1"	"4"	"522"	""	"522"	""
"78"	"55"	"2"	"153"	"129"	"76"	"2"	"0"	"4"	"0"	"1"	"1"	"0"	"0"	"1"	"2"	"0"	"3"	"374"	""	"374"	""
"79"	"56"	"13"	"170"	"227"	"47"	"2"	"6"	"2"	"1"	"5"	"0"	"1"	"4"	"2"	"3"	"2"	"5"	"490"	""	"490"	""
"80"	"TOTAL"	"3077"	"4510"	"6734"	"4558"	"155"	"351"	"86"	"55"	"57"	"53"	"49"	"53"	"134"	"225"	"96"	"216"	"20409"	"0"	"20409"	"0"
"81"	"fo/kku l Hkk fuokZpu {ks= dk l a[; k , oa uke 209&djxgj  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"ernku dsUnz                                                                               l a[; k"	"fuEufyf[kr ds Ik{k esa fn,  x,  fof/kekU;  erksa dh l a[; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr{ksfi r erksa dh l a[; k"	"; ksx"	"fufonÙk erksa dh l a[; k"
"83"	""	"xkU/kh vkt kn"	"ehjk dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[kh jke"	"cCcu pkS/kjh"	"cfyjke jke"	"Hkksyk i zl kn"	"jk/kk nsch"	"jke uxhuk jke"	"jke ; knh jke"	"i zeksn dqekj"	"Hkjr jke"	"eqfu; k nsch"	"jke i zos'k jke"	"l qjsUnz jke"	""	""	""	""
"84"	"BF"	"3077"	"4510"	"6734"	"4558"	"155"	"351"	"86"	"55"	"57"	"53"	"49"	"53"	"134"	"225"	"96"	"216"	"20409"	"0"	"20409"	"0"
"85"	"57"	"3"	"61"	"225"	"8"	"8"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"309"	""	"309"	""
"86"	"58"	"16"	"45"	"88"	"24"	"3"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"2"	"1"	"2"	"184"	""	"184"	""
"87"	"59"	"66"	"97"	"51"	"68"	"2"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"288"	""	"288"	""
"88"	"60"	"53"	"197"	"53"	"97"	"6"	"11"	"1"	"3"	"1"	"7"	"0"	"1"	"0"	"3"	"0"	"3"	"436"	""	"436"	""
"89"	"61"	"134"	"73"	"124"	"132"	"2"	"0"	"0"	"1"	"0"	"1"	"2"	"1"	"7"	"8"	"3"	"2"	"490"	""	"490"	""
"90"	"62"	"123"	"114"	"57"	"56"	"0"	"4"	"1"	"2"	"4"	"3"	"1"	"1"	"3"	"4"	"3"	"6"	"382"	""	"382"	""
"91"	"63"	"146"	"106"	"40"	"114"	"4"	"63"	"5"	"3"	"0"	"1"	"3"	"1"	"0"	"3"	"4"	"9"	"502"	""	"502"	""
"92"	"64"	"27"	"53"	"9"	"157"	"1"	"46"	"1"	"4"	"0"	"0"	"2"	"2"	"1"	"7"	"3"	"5"	"318"	""	"318"	""
"93"	"65"	"148"	"129"	"100"	"41"	"1"	"21"	"1"	"1"	"1"	"1"	"1"	"0"	"5"	"1"	"3"	"9"	"463"	""	"463"	""
"94"	"66"	"5"	"50"	"50"	"47"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"2"	"167"	""	"167"	""
"95"	"67"	"23"	"20"	"137"	"81"	"1"	"4"	"0"	"2"	"1"	"1"	"3"	"1"	"2"	"2"	"0"	"7"	"285"	""	"285"	""
"96"	"68"	"73"	"84"	"120"	"34"	"2"	"1"	"0"	"5"	"0"	"1"	"0"	"2"	"2"	"3"	"3"	"14"	"344"	""	"344"	""
"97"	"69"	"146"	"37"	"249"	"31"	"1"	"3"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"472"	""	"472"	""
"98"	"70"	"180"	"26"	"152"	"138"	"2"	"26"	"4"	"2"	"2"	"0"	"0"	"0"	"3"	"6"	"2"	"6"	"549"	""	"549"	""
"99"	"TOTAL"	"4220"	"5602"	"8189"	"5586"	"188"	"541"	"100"	"79"	"70"	"69"	"63"	"63"	"161"	"267"	"118"	"282"	"25598"	"0"	"25598"	"0"
"100"	"fo/kku l Hkk fuokZpu {ks= dk l a[; k , oa uke 209&djxgj  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"ernku dsUnz                                                                               l a[; k"	"fuEufyf[kr ds Ik{k esa fn,  x,  fof/kekU;  erksa dh l a[; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr{ksfi r erksa dh l a[; k"	"; ksx"	"fufonÙk erksa dh l a[; k"
"102"	""	"xkU/kh vkt kn"	"ehjk dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[kh jke"	"cCcu pkS/kjh"	"cfyjke jke"	"Hkksyk i zl kn"	"jk/kk nsch"	"jke uxhuk jke"	"jke ; knh jke"	"i zeksn dqekj"	"Hkjr jke"	"eqfu; k nsch"	"jke i zos'k jke"	"l qjsUnz jke"	""	""	""	""
"103"	"BF"	"4220"	"5602"	"8189"	"5586"	"188"	"541"	"100"	"79"	"70"	"69"	"63"	"63"	"161"	"267"	"118"	"282"	"25598"	"0"	"25598"	"0"
"104"	"71"	"3"	"25"	"37"	"103"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"173"	""	"173"	""
"105"	"72"	"123"	"244"	"57"	"35"	"5"	"26"	"4"	"3"	"2"	"1"	"2"	"3"	"3"	"2"	"5"	"3"	"518"	""	"518"	""
"106"	"73"	"72"	"29"	"53"	"97"	"3"	"0"	"0"	"1"	"2"	"2"	"1"	"0"	"4"	"5"	"0"	"2"	"271"	""	"271"	""
"107"	"74"	"12"	"223"	"197"	"53"	"3"	"21"	"1"	"0"	"0"	"1"	"1"	"2"	"4"	"13"	"2"	"7"	"540"	""	"540"	""
"108"	"75"	"3"	"123"	"54"	"66"	"3"	"2"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"5"	"262"	""	"262"	""
"109"	"76"	"111"	"283"	"108"	"8"	"3"	"2"	"0"	"0"	"2"	"0"	"0"	"1"	"1"	"0"	"0"	"3"	"522"	""	"522"	""
"110"	"77"	"20"	"262"	"280"	"47"	"20"	"8"	"2"	"2"	"2"	"3"	"1"	"1"	"2"	"9"	"4"	"5"	"668"	""	"668"	""
"111"	"78"	"128"	"203"	"45"	"57"	"2"	"10"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"4"	"5"	"4"	"466"	""	"466"	""
"112"	"79"	"74"	"115"	"41"	"125"	"0"	"14"	"5"	"1"	"1"	"3"	"2"	"2"	"4"	"4"	"4"	"3"	"398"	""	"398"	""
"113"	"80"	"66"	"128"	"277"	"118"	"6"	"1"	"4"	"1"	"0"	"3"	"4"	"5"	"9"	"17"	"2"	"9"	"650"	""	"650"	""
"114"	"81"	"105"	"223"	"86"	"42"	"3"	"2"	"0"	"1"	"0"	"1"	"2"	"0"	"4"	"6"	"5"	"10"	"490"	""	"490"	""
"115"	"82"	"95"	"52"	"166"	"50"	"0"	"4"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"5"	"1"	"1"	"377"	""	"377"	""
"116"	"83"	"2"	"17"	"108"	"107"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"239"	""	"239"	""
"117"	"84"	"6"	"33"	"223"	"64"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"1"	"0"	"3"	"335"	""	"335"	""
"118"	"TOTAL"	"5040"	"7562"	"9921"	"6558"	"244"	"631"	"118"	"90"	"81"	"85"	"79"	"79"	"199"	"336"	"147"	"337"	"31507"	"0"	"31507"	"0"
"119"	"fo/kku l Hkk fuokZpu {ks= dk l a[; k , oa uke 209&djxgj  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"ernku dsUnz                                                                               l a[; k"	"fuEufyf[kr ds Ik{k esa fn,  x,  fof/kekU;  erksa dh l a[; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr{ksfi r erksa dh l a[; k"	"; ksx"	"fufonÙk erksa dh l a[; k"
"121"	""	"xkU/kh vkt kn"	"ehjk dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[kh jke"	"cCcu pkS/kjh"	"cfyjke jke"	"Hkksyk i zl kn"	"jk/kk nsch"	"jke uxhuk jke"	"jke ; knh jke"	"i zeksn dqekj"	"Hkjr jke"	"eqfu; k nsch"	"jke i zos'k jke"	"l qjsUnz jke"	""	""	""	""
"122"	"BF"	"5040"	"7562"	"9921"	"6558"	"244"	"631"	"118"	"90"	"81"	"85"	"79"	"79"	"199"	"336"	"147"	"337"	"31507"	"0"	"31507"	"0"
"123"	"85"	"13"	"126"	"122"	"53"	"1"	"8"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"2"	"3"	"0"	"331"	""	"331"	""
"124"	"86"	"88"	"48"	"173"	"216"	"9"	"0"	"1"	"0"	"2"	"1"	"4"	"3"	"8"	"7"	"3"	"10"	"573"	""	"573"	""
"125"	"87"	"218"	"82"	"112"	"72"	"3"	"0"	"1"	"3"	"3"	"4"	"3"	"2"	"4"	"8"	"3"	"14"	"532"	""	"532"	""
"126"	"88"	"57"	"154"	"101"	"134"	"5"	"23"	"2"	"2"	"2"	"1"	"3"	"1"	"7"	"2"	"7"	"4"	"505"	""	"505"	""
"127"	"89"	"94"	"109"	"74"	"61"	"2"	"1"	"1"	"1"	"0"	"1"	"2"	"2"	"0"	"4"	"2"	"4"	"358"	""	"358"	""
"128"	"90"	"55"	"82"	"158"	"196"	"9"	"1"	"0"	"1"	"2"	"1"	"1"	"0"	"14"	"4"	"3"	"10"	"537"	""	"537"	""
"129"	"91"	"3"	"39"	"44"	"136"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"4"	"233"	""	"233"	""
"130"	"92"	"154"	"112"	"162"	"166"	"6"	"1"	"1"	"4"	"2"	"3"	"0"	"3"	"6"	"3"	"1"	"3"	"627"	""	"627"	""
"131"	"93"	"142"	"20"	"54"	"22"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"3"	"246"	""	"246"	""
"132"	"94"	"76"	"72"	"248"	"189"	"0"	"3"	"1"	"1"	"4"	"3"	"3"	"3"	"7"	"4"	"3"	"6"	"623"	""	"623"	""
"133"	"95"	"65"	"44"	"38"	"146"	"2"	"1"	"0"	"1"	"0"	"1"	"0"	"2"	"3"	"4"	"0"	"3"	"310"	""	"310"	""
"134"	"96"	"3"	"6"	"120"	"82"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"3"	"4"	"0"	"3"	"227"	""	"227"	""
"135"	"97"	"14"	"81"	"72"	"9"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"179"	""	"179"	""
"136"	"98"	"11"	"39"	"127"	"21"	"3"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"3"	"6"	"1"	"0"	"215"	""	"215"	""
"137"	"TOTAL"	"6033"	"8576"	"11526"	"8061"	"290"	"672"	"126"	"107"	"98"	"104"	"95"	"98"	"254"	"386"	"176"	"401"	"37003"	"0"	"37003"	"0"
"138"	"fo/kku l Hkk fuokZpu {ks= dk l a[; k , oa uke 209&djxgj  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"ernku dsUnz                                                                               l a[; k"	"fuEufyf[kr ds Ik{k esa fn,  x,  fof/kekU;  erksa dh l a[; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr{ksfi r erksa dh l a[; k"	"; ksx"	"fufonÙk erksa dh l a[; k"
